sl_100_5400_20270707 Coordinates.csv
2027/07/07 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:58 2024,
Start: 2027/07/07 07:47:00.00, Stop: 2027/07/07 09:17:00.00,
TIME_UNITS,STARLINK-1392 - X-Coordinate,STARLINK-1502 - X-Coordinate,STARLINK-31348 - X-Coordinate,STARLINK-3269 - X-Coordinate,STARLINK-5089 - X-Coordinate,STARLINK-5249 - X-Coordinate,STARLINK-3991 - X-Coordinate,STARLINK-3813 - X-Coordinate,STARLINK-3447 - X-Coordinate,STARLINK-11190 [DTC] - X-Coordinate,STARLINK-4279 - X-Coordinate,STARLINK-5667 - X-Coordinate,STARLINK-2604 - X-Coordinate,STARLINK-31181 - X-Coordinate,STARLINK-1644 - X-Coordinate,STARLINK-4521 - X-Coordinate,STARLINK-6341 - X-Coordinate,STARLINK-31823 - X-Coordinate,STARLINK-2621 - X-Coordinate,STARLINK-1534 - X-Coordinate,STARLINK-5556 - X-Coordinate,STARLINK-4358 - X-Coordinate,STARLINK-1738 - X-Coordinate,STARLINK-3661 - X-Coordinate,STARLINK-4134 - X-Coordinate,STARLINK-5743 - X-Coordinate,STARLINK-32373 - X-Coordinate,STARLINK-3458 - X-Coordinate,STARLINK-2443 - X-Coordinate,STARLINK-2102 - X-Coordinate,STARLINK-1928 - X-Coordinate,STARLINK-31035 - X-Coordinate,STARLINK-30516 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-5339 - X-Coordinate,STARLINK-3375 - X-Coordinate,STARLINK-30546 - X-Coordinate,STARLINK-1226 - X-Coordinate,STARLINK-30830 - X-Coordinate,STARLINK-2479 - X-Coordinate,STARLINK-4474 - X-Coordinate,STARLINK-5979 - X-Coordinate,STARLINK-2159 - X-Coordinate,STARLINK-6199 - X-Coordinate,STARLINK-5548 - X-Coordinate,STARLINK-30899 - X-Coordinate,STARLINK-30176 - X-Coordinate,STARLINK-6103 - X-Coordinate,STARLINK-30834 - X-Coordinate,STARLINK-32086 - X-Coordinate,STARLINK-5922 - X-Coordinate,STARLINK-5220 - X-Coordinate,STARLINK-3800 - X-Coordinate,STARLINK-3910 - X-Coordinate,STARLINK-4451 - X-Coordinate,STARLINK-3970 - X-Coordinate,STARLINK-30768 - X-Coordinate,STARLINK-5781 - X-Coordinate,STARLINK-5990 - X-Coordinate,STARLINK-32267 - X-Coordinate,STARLINK-1480 - X-Coordinate,STARLINK-31005 - X-Coordinate,STARLINK-1701 - X-Coordinate,STARLINK-11128 [DTC] - X-Coordinate,STARLINK-1999 - X-Coordinate,STARLINK-30258 - X-Coordinate,STARLINK-2648 - X-Coordinate,STARLINK-2240 - X-Coordinate,STARLINK-4286 - X-Coordinate,STARLINK-32266 - X-Coordinate,STARLINK-3154 - X-Coordinate,STARLINK-1297 - X-Coordinate,STARLINK-2403 - X-Coordinate,STARLINK-4693 - X-Coordinate,STARLINK-30206 - X-Coordinate,STARLINK-2340 - X-Coordinate,STARLINK-1506 - X-Coordinate,STARLINK-30039 - X-Coordinate,STARLINK-6196 - X-Coordinate,STARLINK-5907 - X-Coordinate,STARLINK-31516 - X-Coordinate,STARLINK-4409 - X-Coordinate,STARLINK-4026 - X-Coordinate,STARLINK-31363 - X-Coordinate,STARLINK-11132 [DTC] - X-Coordinate,STARLINK-31509 - X-Coordinate,STARLINK-31621 - X-Coordinate,STARLINK-5560 - X-Coordinate,STARLINK-32265 - X-Coordinate,STARLINK-5153 - X-Coordinate,STARLINK-1647 - X-Coordinate,STARLINK-6158 - X-Coordinate,STARLINK-3159 - X-Coordinate,STARLINK-5889 - X-Coordinate,STARLINK-6328 - X-Coordinate,STARLINK-4648 - X-Coordinate,STARLINK-1513 - X-Coordinate,STARLINK-3840 - X-Coordinate,STARLINK-3802 - X-Coordinate,STARLINK-31197 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1392 - Y-Coordinate,STARLINK-1502 - Y-Coordinate,STARLINK-31348 - Y-Coordinate,STARLINK-3269 - Y-Coordinate,STARLINK-5089 - Y-Coordinate,STARLINK-5249 - Y-Coordinate,STARLINK-3991 - Y-Coordinate,STARLINK-3813 - Y-Coordinate,STARLINK-3447 - Y-Coordinate,STARLINK-11190 [DTC] - Y-Coordinate,STARLINK-4279 - Y-Coordinate,STARLINK-5667 - Y-Coordinate,STARLINK-2604 - Y-Coordinate,STARLINK-31181 - Y-Coordinate,STARLINK-1644 - Y-Coordinate,STARLINK-4521 - Y-Coordinate,STARLINK-6341 - Y-Coordinate,STARLINK-31823 - Y-Coordinate,STARLINK-2621 - Y-Coordinate,STARLINK-1534 - Y-Coordinate,STARLINK-5556 - Y-Coordinate,STARLINK-4358 - Y-Coordinate,STARLINK-1738 - Y-Coordinate,STARLINK-3661 - Y-Coordinate,STARLINK-4134 - Y-Coordinate,STARLINK-5743 - Y-Coordinate,STARLINK-32373 - Y-Coordinate,STARLINK-3458 - Y-Coordinate,STARLINK-2443 - Y-Coordinate,STARLINK-2102 - Y-Coordinate,STARLINK-1928 - Y-Coordinate,STARLINK-31035 - Y-Coordinate,STARLINK-30516 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-5339 - Y-Coordinate,STARLINK-3375 - Y-Coordinate,STARLINK-30546 - Y-Coordinate,STARLINK-1226 - Y-Coordinate,STARLINK-30830 - Y-Coordinate,STARLINK-2479 - Y-Coordinate,STARLINK-4474 - Y-Coordinate,STARLINK-5979 - Y-Coordinate,STARLINK-2159 - Y-Coordinate,STARLINK-6199 - Y-Coordinate,STARLINK-5548 - Y-Coordinate,STARLINK-30899 - Y-Coordinate,STARLINK-30176 - Y-Coordinate,STARLINK-6103 - Y-Coordinate,STARLINK-30834 - Y-Coordinate,STARLINK-32086 - Y-Coordinate,STARLINK-5922 - Y-Coordinate,STARLINK-5220 - Y-Coordinate,STARLINK-3800 - Y-Coordinate,STARLINK-3910 - Y-Coordinate,STARLINK-4451 - Y-Coordinate,STARLINK-3970 - Y-Coordinate,STARLINK-30768 - Y-Coordinate,STARLINK-5781 - Y-Coordinate,STARLINK-5990 - Y-Coordinate,STARLINK-32267 - Y-Coordinate,STARLINK-1480 - Y-Coordinate,STARLINK-31005 - Y-Coordinate,STARLINK-1701 - Y-Coordinate,STARLINK-11128 [DTC] - Y-Coordinate,STARLINK-1999 - Y-Coordinate,STARLINK-30258 - Y-Coordinate,STARLINK-2648 - Y-Coordinate,STARLINK-2240 - Y-Coordinate,STARLINK-4286 - Y-Coordinate,STARLINK-32266 - Y-Coordinate,STARLINK-3154 - Y-Coordinate,STARLINK-1297 - Y-Coordinate,STARLINK-2403 - Y-Coordinate,STARLINK-4693 - Y-Coordinate,STARLINK-30206 - Y-Coordinate,STARLINK-2340 - Y-Coordinate,STARLINK-1506 - Y-Coordinate,STARLINK-30039 - Y-Coordinate,STARLINK-6196 - Y-Coordinate,STARLINK-5907 - Y-Coordinate,STARLINK-31516 - Y-Coordinate,STARLINK-4409 - Y-Coordinate,STARLINK-4026 - Y-Coordinate,STARLINK-31363 - Y-Coordinate,STARLINK-11132 [DTC] - Y-Coordinate,STARLINK-31509 - Y-Coordinate,STARLINK-31621 - Y-Coordinate,STARLINK-5560 - Y-Coordinate,STARLINK-32265 - Y-Coordinate,STARLINK-5153 - Y-Coordinate,STARLINK-1647 - Y-Coordinate,STARLINK-6158 - Y-Coordinate,STARLINK-3159 - Y-Coordinate,STARLINK-5889 - Y-Coordinate,STARLINK-6328 - Y-Coordinate,STARLINK-4648 - Y-Coordinate,STARLINK-1513 - Y-Coordinate,STARLINK-3840 - Y-Coordinate,STARLINK-3802 - Y-Coordinate,STARLINK-31197 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1392 - Z-Coordinate,STARLINK-1502 - Z-Coordinate,STARLINK-31348 - Z-Coordinate,STARLINK-3269 - Z-Coordinate,STARLINK-5089 - Z-Coordinate,STARLINK-5249 - Z-Coordinate,STARLINK-3991 - Z-Coordinate,STARLINK-3813 - Z-Coordinate,STARLINK-3447 - Z-Coordinate,STARLINK-11190 [DTC] - Z-Coordinate,STARLINK-4279 - Z-Coordinate,STARLINK-5667 - Z-Coordinate,STARLINK-2604 - Z-Coordinate,STARLINK-31181 - Z-Coordinate,STARLINK-1644 - Z-Coordinate,STARLINK-4521 - Z-Coordinate,STARLINK-6341 - Z-Coordinate,STARLINK-31823 - Z-Coordinate,STARLINK-2621 - Z-Coordinate,STARLINK-1534 - Z-Coordinate,STARLINK-5556 - Z-Coordinate,STARLINK-4358 - Z-Coordinate,STARLINK-1738 - Z-Coordinate,STARLINK-3661 - Z-Coordinate,STARLINK-4134 - Z-Coordinate,STARLINK-5743 - Z-Coordinate,STARLINK-32373 - Z-Coordinate,STARLINK-3458 - Z-Coordinate,STARLINK-2443 - Z-Coordinate,STARLINK-2102 - Z-Coordinate,STARLINK-1928 - Z-Coordinate,STARLINK-31035 - Z-Coordinate,STARLINK-30516 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-5339 - Z-Coordinate,STARLINK-3375 - Z-Coordinate,STARLINK-30546 - Z-Coordinate,STARLINK-1226 - Z-Coordinate,STARLINK-30830 - Z-Coordinate,STARLINK-2479 - Z-Coordinate,STARLINK-4474 - Z-Coordinate,STARLINK-5979 - Z-Coordinate,STARLINK-2159 - Z-Coordinate,STARLINK-6199 - Z-Coordinate,STARLINK-5548 - Z-Coordinate,STARLINK-30899 - Z-Coordinate,STARLINK-30176 - Z-Coordinate,STARLINK-6103 - Z-Coordinate,STARLINK-30834 - Z-Coordinate,STARLINK-32086 - Z-Coordinate,STARLINK-5922 - Z-Coordinate,STARLINK-5220 - Z-Coordinate,STARLINK-3800 - Z-Coordinate,STARLINK-3910 - Z-Coordinate,STARLINK-4451 - Z-Coordinate,STARLINK-3970 - Z-Coordinate,STARLINK-30768 - Z-Coordinate,STARLINK-5781 - Z-Coordinate,STARLINK-5990 - Z-Coordinate,STARLINK-32267 - Z-Coordinate,STARLINK-1480 - Z-Coordinate,STARLINK-31005 - Z-Coordinate,STARLINK-1701 - Z-Coordinate,STARLINK-11128 [DTC] - Z-Coordinate,STARLINK-1999 - Z-Coordinate,STARLINK-30258 - Z-Coordinate,STARLINK-2648 - Z-Coordinate,STARLINK-2240 - Z-Coordinate,STARLINK-4286 - Z-Coordinate,STARLINK-32266 - Z-Coordinate,STARLINK-3154 - Z-Coordinate,STARLINK-1297 - Z-Coordinate,STARLINK-2403 - Z-Coordinate,STARLINK-4693 - Z-Coordinate,STARLINK-30206 - Z-Coordinate,STARLINK-2340 - Z-Coordinate,STARLINK-1506 - Z-Coordinate,STARLINK-30039 - Z-Coordinate,STARLINK-6196 - Z-Coordinate,STARLINK-5907 - Z-Coordinate,STARLINK-31516 - Z-Coordinate,STARLINK-4409 - Z-Coordinate,STARLINK-4026 - Z-Coordinate,STARLINK-31363 - Z-Coordinate,STARLINK-11132 [DTC] - Z-Coordinate,STARLINK-31509 - Z-Coordinate,STARLINK-31621 - Z-Coordinate,STARLINK-5560 - Z-Coordinate,STARLINK-32265 - Z-Coordinate,STARLINK-5153 - Z-Coordinate,STARLINK-1647 - Z-Coordinate,STARLINK-6158 - Z-Coordinate,STARLINK-3159 - Z-Coordinate,STARLINK-5889 - Z-Coordinate,STARLINK-6328 - Z-Coordinate,STARLINK-4648 - Z-Coordinate,STARLINK-1513 - Z-Coordinate,STARLINK-3840 - Z-Coordinate,STARLINK-3802 - Z-Coordinate,STARLINK-31197 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5492.7074,-5806.6024,-4719.3359,4780.8084,1898.3214,-4274.8973,6539.8062,4493.9629,-2703.4939,-5248.2158,-6889.8255,3003.3676,6390.0587,6723.5884,3932.3934,-4723.1935,-4595.6767,-2650.8010,-4364.3064,-4520.4653,1234.3402,-5700.3853,-2616.9350,6908.1402,-4213.0924,3174.8845,1742.0802,4586.6266,-6653.3797,-3958.3070,5537.7900,3997.8879,5605.1419,1928.3869,1698.5930,3278.4236,-4343.6724,1270.3794,6493.1864,-4301.2647,3427.8595,4022.8913,1570.5365,2861.7343,4139.9607,5257.5427,-4045.1415,119.6457,-2044.9978,-6119.8736,-3758.3537,5368.9803,405.3111,-2912.6210,381.5719,-157.6242,736.3185,-5601.8285,3558.5336,3533.1426,2265.0725,3443.6595,-2447.6219,-6389.4353,5902.1002,3881.5583,-5771.2953,4224.9700,-1618.3479,0.0000,-2911.0835,-2475.2406,4811.4685,-6910.8866,3552.3384,-4397.4193,5842.8740,888.1793,-1157.1366,2231.2555,5108.8552,-1392.7088,5012.1599,-514.7619,-1585.2058,5916.7532,-4086.8878,-182.7532,-1870.7145,4557.1481,-2318.9185,-6044.6785,-343.3311,2185.8773,-5837.2674,3395.5205,964.6281,0.0000,-5830.7394,6641.7806,103086.2652,139596.7326,114887.3730,114586.5206,121920.7237,120253.1419,122875.3867,120422.0573,168372879.3593,168396728.8810,168360478.1178,168354223.1977,120056.8475,168362292.9961,-1748.4776,-106.5575,-1682.8399,-3463.6707,6393.9678,-748.4204,-2061.3867,4393.4202,-3644.1359,42.5864,329.2412,-4505.2700,1590.4831,-1277.4069,-1990.6490,367.8913,-4967.2066,-4222.5444,438.1713,3652.6511,-5513.2336,2860.5055,5357.0788,-20.1242,-5459.0770,5059.1375,3757.6546,-4527.2798,1468.2086,1872.3021,3690.1187,-1422.0237,-922.6098,-5326.7620,-5870.7446,-3036.2516,-4981.6409,-5243.5270,624.5904,-2441.9850,3962.5891,3250.3387,5847.0389,-5693.8064,1669.5005,135.5953,-5491.2014,-5084.2533,6498.4596,1807.0611,-5533.6296,4284.6608,-5414.0939,6170.0418,-5676.1424,-6534.2188,-6800.9344,1245.1563,3358.9533,5610.5455,-3578.7095,4489.7608,-6406.1000,1312.7635,3583.0932,-3901.0242,1415.1195,-4184.1396,-4345.0891,0.0000,3162.7955,5389.0974,-64.7606,-112.3611,3613.2201,5011.7545,3315.9761,5037.1476,5065.5732,-6472.7315,4006.4582,1752.8019,1841.7398,6113.2131,5111.1467,2429.5531,-3043.2426,-4577.1490,4010.5528,-4010.4605,-4077.9122,-657.8036,-4760.0802,-5067.6525,3555.1617,2866.8400,-4763.1339,0.0000,3588.2783,1360.9909,341255.5524,338179.2055,333949.4691,335143.8344,330572.9959,332125.8691,339888.2163,335694.1797,172375616.7133,172385736.2149,172383981.7975,172385530.8128,337255.3504,172389990.6233,-3810.7955,-3765.4142,-4636.0839,3234.0739,1881.6608,5364.6302,861.4293,2851.4199,5198.6666,4231.2392,-6.1499,4307.7140,-1397.4907,569.2221,5301.0717,-5036.2783,1547.9707,4646.4848,5295.3230,3639.1865,3975.4633,-2721.0108,3463.2997,-77.8761,-431.6141,-3480.5159,-5154.0104,-2502.1036,-438.9536,5340.8769,-1080.4087,-5405.9276,3892.9476,3932.8063,-3265.6534,5167.1729,-2236.0467,-4326.7864,-2330.1814,-4838.2924,4488.5197,4622.8129,3174.0867,-2688.7163,-5313.7348,-4514.6838,1026.4635,-4715.2764,-681.9672,-2367.6600,-1874.6407,637.4562,4266.9717,1128.4830,3944.9481,-2274.9355,552.4620,3877.9587,4959.5207,1604.5939,5453.0530,-4004.0736,-895.0323,1642.2053,383.7281,-4225.7230,3399.7932,3522.6251,-5045.9187,0.0000,-5421.7899,3467.7541,4851.6359,-85.5228,4695.8011,-29.7889,-1625.2326,-4690.9607,4592.0758,1086.0453,-2097.8980,6559.1584,-4370.3058,-3024.7279,4075.9272,-2365.4729,-4573.2058,-5245.4522,-5257.6860,-3262.8549,4860.8524,-3330.0568,4981.1781,4217.9469,-1148.2615,-5331.6022,4913.1807,0.0000,898.3094,-999.9078,66718.3349,63086.6572,63182.8645,66607.4514,68260.3183,58243.7251,55036.7223,63633.3439,9525429.8427,9507474.7648,9552790.6122,9544627.2300,62905.8088,9535364.6400,
300.000,3956.7386,-4709.0765,-5336.0899,4349.0042,3407.1173,-3920.7571,5635.1886,5700.1427,-3743.3232,-5874.6662,-6486.5373,1505.0277,6704.9581,5980.5365,3378.3439,-5156.8397,-5144.8957,-4351.0878,-4544.5145,-2706.0186,-523.4619,-4810.3906,-1573.1397,6541.1215,-4886.8362,4831.1160,3355.6212,3896.1686,-6158.8929,-2416.2514,6161.9602,2726.7022,4457.0838,719.9263,-214.7270,1280.0523,-5622.2697,-126.0472,5865.9780,-4256.5961,5092.4085,2363.0811,2660.8661,1009.5480,5238.2240,5461.8936,-5196.1088,-2001.7567,-840.2746,-5822.4472,-3803.5712,5979.3280,-1115.1844,-1537.9741,727.5450,-1429.8815,-812.9992,-5518.9403,5052.0250,4193.6900,195.3042,4442.5176,-3382.3244,-6219.6875,6317.8698,2706.1789,-4354.4680,3601.3519,-3568.0464,0.0000,-945.2753,-689.2093,3728.3818,-6565.2210,4987.2752,-3233.8389,6520.9474,2954.0954,-532.6215,611.1428,5223.5519,-3294.7706,6170.2274,1270.7623,-264.7517,5788.6887,-4936.7962,-1210.7297,-254.9498,4005.4411,-4209.8132,-6535.8078,-2203.3245,1810.7321,-4980.3276,4990.6553,-673.1718,0.0000,-4703.4034,6399.9804,95824.8505,132489.4116,107714.8284,107519.5037,114825.0507,113180.8828,115711.7143,113334.9692,164569545.2009,164593333.9339,164557734.4571,164551354.0810,112940.2045,164559016.1888,-2845.1096,1412.9844,363.1218,-4887.1317,6024.9988,1398.7969,-3047.9229,3717.1874,-1755.0300,1662.3463,1509.0051,-5804.7263,384.8226,-2671.0138,-3954.1607,2245.4890,-4629.1507,-2889.9393,2476.5164,4102.7701,-6230.1923,1925.6992,6445.7084,-1216.1217,-4365.1457,4394.7674,2216.7921,-5657.3938,2599.2925,3403.6416,2624.2821,-3197.0343,-2641.4991,-6402.2571,-5513.4536,-3886.8244,-4055.2151,-6238.0296,-1053.7537,-352.4600,3383.5675,2518.7823,4442.6352,-5692.6024,2749.9032,-1895.0533,-4508.1067,-5016.3461,6696.3393,3402.1878,-4414.9099,3235.8417,-6170.4937,6121.0390,-4076.7799,-5614.8474,-6499.2436,3113.4508,3456.8825,4294.5682,-4260.9796,2675.9674,-5438.9548,2560.1640,2430.4409,-5460.4176,2561.3048,-5567.7267,-4211.3285,0.0000,4091.4625,4991.5045,-1888.8493,1090.1501,2042.0999,5547.1016,2280.9629,4631.6227,6298.2149,-6429.6557,2450.8102,2523.1749,561.1970,5384.3767,6177.6532,611.5302,-1048.2899,-2886.1357,5235.2364,-5362.6467,-3677.3212,1022.3109,-5220.7325,-6267.2613,4800.9036,1619.4144,-5712.9415,0.0000,4320.7884,-244.7628,343312.4063,341032.0781,336537.8670,337690.2736,333042.2669,334603.6672,342321.4829,338469.7319,176015077.0225,176025867.4524,176023099.0126,176024481.7117,339744.3290,176029387.0930,-4899.3998,-4872.3096,-4241.6136,1595.8232,382.2479,5502.6795,2585.6098,1160.8563,5523.7702,2863.0393,1788.4840,3454.5331,431.3818,2057.7033,4527.2127,-4021.1141,-573.2726,4377.9596,4528.9160,4779.2524,2942.2673,-4608.9095,1883.2957,-1866.7222,-2196.0332,-2263.3166,-5249.2462,-768.2522,1378.5785,5501.9157,754.0276,-5437.7750,4534.9859,2466.1450,-4192.9421,5469.1068,-776.3461,-2981.9914,-3532.0247,-5443.5322,3200.4169,6013.2997,4459.1796,-3797.9062,-3626.0498,-3822.7113,-520.9738,-4350.1958,1141.2243,-911.4414,-3785.1129,-1179.4417,2896.6490,2822.0696,5544.8376,-3786.5050,2042.7954,2800.2738,3332.4687,3236.5564,5429.4970,-4599.8833,-2611.6610,-180.3391,-1421.1540,-3315.6060,4617.4420,1955.6039,-4060.7862,0.0000,-5499.3343,4666.7271,5404.7731,-1873.5106,4323.2579,1788.3282,172.3151,-4240.9294,2858.7325,2511.9031,-3643.4809,5554.3920,-3036.4302,-4023.8684,2654.8901,-3555.0632,-4627.7500,-6222.1158,-4443.6801,-1637.9831,3796.4388,-2069.8264,3936.8140,2393.9935,392.8278,-4543.7765,3832.6730,0.0000,2619.1288,-2441.7847,66580.9257,62933.9503,63149.5189,66313.0654,68220.5638,58336.8333,54781.0288,63918.6430,9521980.1914,9504063.4536,9549576.5070,9541553.9804,62771.2008,9532066.9331,
600.000,2040.1237,-3174.2895,-5448.1131,3463.5317,4582.2667,-3236.5247,4162.5348,6329.7716,-4466.8658,-5889.4219,-5431.1274,-109.1997,6294.7881,4638.4160,2537.3506,-5115.3917,-5174.8426,-5629.5853,-4314.3038,-606.5822,-2206.6916,-3366.2663,-392.9437,5521.8604,-5093.7948,6007.1421,4630.4873,2824.5580,-5022.1968,-675.8813,6126.4699,1230.3708,2896.7488,-533.0628,-2131.8893,-830.2658,-6362.4380,-1478.7124,4686.3055,-3850.7743,6240.4708,492.8350,3527.8741,-962.1203,5740.0120,5170.3643,-5838.9927,-3923.5991,463.6272,-4932.2659,-3506.9809,5997.9521,-2495.8710,16.5725,916.3058,-2601.8006,-2300.5007,-4923.1204,6019.8103,4453.9539,-1873.5587,5054.8434,-4009.4004,-5374.9495,6113.0980,1300.7966,-2503.2944,2639.8272,-5139.9008,0.0000,1088.2340,1199.5614,2309.2132,-5566.4092,5959.9610,-1694.3713,6548.9137,4734.0788,108.4510,-1089.2762,4830.9607,-4874.1121,6719.8255,2959.2090,1054.2179,5096.6733,-5332.5748,-2191.9967,1345.8807,3067.2003,-5643.6003,-6402.6228,-3816.5505,1282.9045,-3637.0177,6115.1859,-2209.1590,0.0000,-3092.8926,5524.5772,88523.9164,125322.7030,100493.6785,100403.2656,107678.2375,106057.0862,108498.4330,106149.9117,160687554.7970,160711268.1127,160676348.8394,160669859.4636,105771.9048,160677085.5873,-3712.7289,2839.6213,2352.7466,-5772.8566,5073.6241,3418.4324,-3759.1529,2680.6955,284.0759,3076.1899,2557.6346,-6552.5176,-867.6028,-3817.8638,-5521.8814,3874.1729,-3813.8173,-1299.9051,4246.8661,4188.6825,-6353.8861,837.8321,6886.9567,-2311.9004,-2821.9366,3320.9949,467.8103,-6218.8271,3476.4757,4642.0689,1267.8354,-4684.8750,-4133.6813,-6840.9451,-4654.1363,-4396.9611,-2749.4179,-6624.8328,-2659.5277,1784.5034,2501.6923,1443.5657,2589.1568,-5166.6236,3574.0430,-3726.1964,-3077.6004,-4505.1527,6209.1173,4640.6729,-2825.0959,1851.7188,-6327.4210,5480.2401,-2031.5635,-4149.8910,-5551.2690,4665.0130,3247.2823,2519.5480,-4576.8577,613.4836,-3923.8952,3531.9582,1022.0982,-6497.4557,3496.7371,-6389.0016,-3691.8572,0.0000,4671.6560,4129.8967,-3558.7009,2205.2397,304.7552,5479.2344,1016.4137,3820.2646,6890.5390,-5774.9694,616.2075,2950.1763,-742.4225,4136.7858,6584.3059,-1292.6703,1034.7825,-937.8091,5959.9772,-6166.7058,-2928.2120,2585.7981,-5195.2785,-6825.0715,5583.1392,260.3281,-6120.2980,0.0000,4648.0412,-1848.0882,345214.4407,343735.5474,338978.2741,340090.6623,335363.3563,336938.0076,344602.1407,341197.1977,179570642.8161,179582100.0415,179578348.9702,179579565.4681,342083.1248,179584891.9879,-5459.8576,-5456.5049,-3372.5133,-228.6838,-1158.1430,5045.3728,4030.1852,-655.6358,5251.1841,1162.1548,3388.5248,2229.9447,2209.7832,3319.3806,3261.8941,-2572.6997,-2633.4715,3617.3512,3267.0491,5391.6938,1591.1444,-6004.9806,98.5115,-3453.7725,-3723.1574,-801.6876,-4698.1033,1048.5973,3041.4648,5069.2641,2500.6513,-4874.1082,4682.6536,731.5973,-4671.6045,5161.3679,764.9813,-1315.7673,-4355.3580,-5464.5911,1565.2514,6763.3258,5247.1730,-4498.3516,-1551.7281,-2721.7123,-2011.8077,-3520.7454,2837.4219,647.9444,-5293.7346,-2868.2730,1212.9581,4211.1626,6550.1757,-4891.3221,3307.5632,1422.2814,1354.6011,4504.9249,4819.6264,-4704.2210,-4046.8929,-1981.7947,-3072.8232,-2051.6060,5322.7386,177.4359,-2626.3803,0.0000,-4986.7796,5353.1957,5355.7980,-3459.2886,3484.0337,3391.4913,1951.2037,-3339.0976,820.0710,3668.5660,-4780.7392,3957.3310,-1373.0745,-4575.4921,923.3742,-4345.5974,-4169.4284,-6544.7982,-3142.2820,165.4486,2294.2007,-587.9002,2465.6493,315.5673,1891.7420,-3272.2444,2338.8140,0.0000,4056.0235,-3613.3172,66443.1764,62781.1871,63115.4062,66013.6475,68177.2828,58436.1358,54530.3906,64111.7176,9518534.9451,9500653.2170,9546351.8411,9538464.4862,62636.5462,9528769.0704,
