TIME_UNITS,STARLINK-6254 - X-Coordinate,STARLINK-4061 - X-Coordinate,STARLINK-5221 - X-Coordinate,STARLINK-6228 - X-Coordinate,STARLINK-30106 - X-Coordinate,STARLINK-6227 - X-Coordinate,STARLINK-3260 - X-Coordinate,STARLINK-31212 - X-Coordinate,STARLINK-2712 - X-Coordinate,STARLINK-11234 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6254 - Y-Coordinate,STARLINK-4061 - Y-Coordinate,STARLINK-5221 - Y-Coordinate,STARLINK-6228 - Y-Coordinate,STARLINK-30106 - Y-Coordinate,STARLINK-6227 - Y-Coordinate,STARLINK-3260 - Y-Coordinate,STARLINK-31212 - Y-Coordinate,STARLINK-2712 - Y-Coordinate,STARLINK-11234 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6254 - Z-Coordinate,STARLINK-4061 - Z-Coordinate,STARLINK-5221 - Z-Coordinate,STARLINK-6228 - Z-Coordinate,STARLINK-30106 - Z-Coordinate,STARLINK-6227 - Z-Coordinate,STARLINK-3260 - Z-Coordinate,STARLINK-31212 - Z-Coordinate,STARLINK-2712 - Z-Coordinate,STARLINK-11234 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
2700.000,-1228.8911,-4445.0754,-6393.9730,-310.3744,5057.6460,-6833.2039,2099.2828,-5376.2272,-2140.5514,5552.3691,-98636.8439,-91305.7154,-91258.1044,-91180.8248,-82450.8538,-84810.1562,-88389.4932,-88546.8419,62455383.0133,62442009.0004,62429201.2168,62437149.2929,-88720.5103,62441183.7215,4919.8574,5234.1846,1072.2576,-6906.0757,-312.6691,-1088.7440,-6516.9527,-2372.8726,-6204.4746,123.5113,-384133.1780,-363224.4016,-373982.9355,-372966.6756,-371904.0983,-371558.1883,-365340.5934,-368767.3165,273168300.7854,273161048.9568,273145804.5323,273143964.8345,-368531.7251,273153665.9707,4714.8147,-769.9809,2358.8574,-209.2728,4709.9909,-393.0640,975.2308,-3519.6500,-2035.4686,-3752.8233,102284.4272,100617.7841,100439.0097,101100.5285,105290.7049,96961.1181,90371.0572,97414.3302,-44901798.2608,-44877140.0056,-44897097.7905,-44893502.1979,99184.4183,-44900540.1342,
3000.000,870.8291,-3173.4515,-5277.0251,-1785.7083,4779.6737,-6819.7424,759.3228,-6385.9305,-3080.9274,6168.0435,-90405.5977,-83513.6514,-83538.0357,-83372.0016,-74608.1512,-77025.8357,-80531.0514,-80264.1820,56475524.9508,56462293.1227,56449811.3038,56457944.2165,-80898.2011,56461408.6013,5288.9721,5606.1533,2208.6121,-6457.3001,-2426.6463,423.6234,-6324.7799,-873.3897,-4986.0454,-1370.0932,-386119.6184,-364725.0575,-375664.7418,-374575.9247,-373641.9306,-373236.6364,-367157.7902,-370648.9399,274468815.2847,274461896.3014,274445907.0962,274444314.7034,-370282.8032,274454124.9843,4384.6566,-2503.7056,3852.7328,-1723.0869,4374.6576,1148.0636,2686.7646,-2317.1237,-3589.5166,-2234.1604,102376.8673,100753.4476,100634.7717,101002.5584,105462.5889,97359.4733,90407.4677,97667.4980,-44906700.0193,-44881700.3338,-44901210.0864,-44897813.3517,99294.9628,-44905182.0199,
3300.000,2872.0458,-1565.8490,-3636.9649,-3103.3682,4078.8539,-6145.1368,-683.9184,-6758.8000,-3750.0323,6119.7665,-82133.8950,-75694.6914,-75782.9843,-75528.8793,-66732.0319,-69220.5248,-72635.4454,-71991.1934,50468647.6869,50455543.1455,50443427.6160,50451730.6352,-73041.5711,50454616.2632,5184.7924,5439.7273,3167.1846,-5378.4664,-4303.0237,1905.8972,-5515.7507,692.0694,-3259.4393,-2690.0762,-387928.5130,-366068.2597,-377177.3020,-376008.6193,-375212.6968,-374743.3527,-368807.4609,-372317.2632,275638434.7563,275631855.8707,275615141.2072,275613811.5073,-371867.8486,275623692.2555,3584.4777,-3967.0209,4928.3555,-3051.2173,3569.1342,2565.9962,4108.3894,-857.4669,-4749.7409,-450.9953,102469.0396,100886.4897,100827.9222,100899.2987,105631.1643,97763.6919,90448.4972,98046.0257,-44911601.1245,-44886266.6657,-44905327.1763,-44902138.2332,99405.4466,-44909823.9388,
3600.000,4582.3216,227.9026,-1641.2550,-4147.9914,3015.4698,-4877.0262,-2100.8849,-6452.6082,-4094.0145,5401.8064,-73825.5951,-67852.4285,-67996.4684,-67654.5609,-58826.0166,-61399.2010,-64706.2668,-63766.6420,44437616.1326,44424623.6914,44412913.5157,44421370.7043,-65154.1445,44423671.4749,4609.7819,4765.1475,3864.0822,-3776.3673,-5758.5888,3227.5806,-4178.5192,2179.6667,-1200.3536,-3709.9153,-389559.0226,-367252.9227,-378520.0234,-377263.0349,-376615.7956,-376077.4840,-370288.7891,-373767.4334,276676599.3748,276670367.3167,276652948.3064,276651895.5109,-373286.1945,276661808.0411,2399.9829,-5002.5603,5469.3041,-4050.9452,2379.9003,3708.5765,5086.9228,697.4391,-5389.6780,1385.6131,102560.9445,101017.1400,101018.3035,100790.8861,105796.4482,98173.4426,90494.1137,98530.7802,-44916501.4592,-44890838.8783,-44909449.6628,-44906477.1102,99515.8696,-44914465.8907,
3900.000,5839.1362,2036.2670,507.8312,-4827.8990,1681.4812,-3141.0828,-3360.0172,-5494.2636,-4085.8721,4083.1460,-65484.5748,-59990.4200,-60182.0168,-59752.0429,-50893.6394,-53567.0192,-56747.1262,-55623.8263,38385306.7640,38372410.9671,38361143.8539,38369738.1924,-57239.4582,38371450.5658,3608.8232,3659.7763,4235.5630,-1808.8013,-6651.7011,4271.1508,-2452.5708,3454.2085,981.8573,-4337.0031,-391010.3923,-368278.1035,-379692.3922,-378337.3914,-377850.6979,-377238.2147,-371601.0390,-375000.0457,277582812.0134,277576932.9822,277558832.4333,277558069.5395,-374537.2485,277567975.2902,958.1405,-5499.3966,5417.1836,-4615.1856,934.7643,4453.3070,5517.1759,2174.7795,-5439.8186,3057.7830,102652.5828,101145.5993,101205.7635,100677.5443,105958.4560,98588.2530,90544.2875,99093.4311,-44921400.9066,-44895416.8511,-44913578.1301,-44910830.2293,99626.2317,-44919107.8758,
4200.000,6525.6111,3682.3106,2593.9273,-5082.6667,192.8631,-1108.1378,-4339.8647,-3977.6563,-3727.0533,2300.9810,-57114.7272,-52112.1963,-52343.1669,-51824.1816,-42938.4466,-45729.3305,-48761.6511,-47587.4409,32314606.2496,32301791.3914,32291003.6062,32299717.1118,-49301.0604,32300840.0547,2266.1833,2238.8840,4243.6412,331.2867,-6896.4436,4942.3341,-513.2037,4401.3675,3065.3807,-4520.7880,-392281.9521,-369142.9926,-380693.9733,-379229.8399,-378916.9478,-378224.7575,-372743.5559,-376020.9459,278356638.4823,278351118.1390,278332360.4600,278331899.2219,-375620.4933,278341759.8829,-586.4300,-5404.4329,4777.7004,-4683.6539,-610.8757,4720.4690,5353.0269,3410.2487,-4894.7124,4367.1517,102743.9548,101272.0442,101390.1552,100559.6163,106117.2021,99007.4631,90598.9907,99698.5517,-44926299.3503,-44900000.4656,-44917713.1421,-44915197.8184,99736.5328,-44923749.8940,
4500.000,6581.5598,5000.7189,4408.3981,-4888.1259,-1320.3091,1022.9444,-4940.7091,-2054.2430,-3047.2239,245.9993,-48719.9591,-44221.2672,-44483.4631,-43873.6503,-34963.9945,-37891.6995,-40753.4847,-39671.1575,26228410.0739,26215660.2183,26205386.5038,26214200.3444,-41342.5090,26214735.2730,698.6800,643.5571,3879.9855,2434.7069,-6471.1194,5178.4146,1446.4782,4937.7540,4838.1531,-4256.0485,-393373.1174,-369846.9056,-381524.4110,-379938.4527,-379814.1623,-379036.3440,-373715.7662,-376840.4106,278997707.7371,278992551.1973,278973162.2954,278973013.2029,-376535.4871,278982790.8377,-2068.2050,-4727.7410,3620.0367,-4249.0311,-2090.9159,4481.5247,4612.1717,4266.5310,-3813.5243,5158.6822,102835.0610,101396.6309,101571.3375,100437.6067,106272.6996,99430.1622,90658.1976,100306.6440,-44931196.6742,-44904589.6058,-44921855.2407,-44919580.0888,99846.7729,-44928391.9452,
4800.000,6008.6104,5854.2077,5771.3573,-4258.5941,-2725.1268,3044.8501,-5094.7819,82.4628,-2102.2461,-1858.5120,-40304.1901,-36321.1267,-36606.4551,-35902.8869,-26973.8481,-30059.9182,-32726.2834,-31876.3500,20129621.1555,20116920.1555,20107193.6607,20116088.2634,-33367.3699,20116038.9844,-954.4174,-973.0731,3167.7569,4296.2432,-5420.0461,4953.9988,3234.8196,5017.8939,6119.3045,-3581.3232,-394283.3888,-370389.2765,-382183.4283,-380461.2197,-380542.0319,-379672.2135,-374517.1782,-377471.7820,279505712.0562,279500923.8838,279480931.0613,279481103.3254,-377281.8633,279490760.4895,-3328.7053,-3541.5848,2069.5786,-3357.7106,-3346.6180,3762.0799,3374.2628,4648.5798,-2314.0145,5338.8796,102925.9020,101519.4977,101749.1753,100312.2406,106424.9601,99855.1045,90721.8842,100877.7585,-44936092.7630,-44909184.1579,-44926004.9437,-44923977.2376,99956.9519,-44933034.0295,
5100.000,4868.9440,6148.0003,6549.8945,-3246.1812,-3897.3512,4762.0590,-4774.1275,2216.6355,-970.2874,-3781.1152,-31871.3496,-28415.2560,-28715.6958,-27914.0286,-18971.5796,-22240.0087,-24683.7154,-24192.2101,14021148.4632,14008479.9801,13999332.1975,14008287.3507,-25379.2154,14007659.9997,-2543.7431,-2460.2290,2160.9639,5734.5356,-3848.5237,4283.8185,4680.4509,4637.6622,6777.9501,-2573.2300,-395012.3529,-370769.6521,-382670.8270,-380796.0570,-381100.3210,-380131.6041,-375147.3815,-377929.7413,279880407.1890,279875991.3901,279855423.2377,279855924.7823,-377859.3309,279865424.6374,-4233.5078,-1973.1560,294.5084,-2105.0799,-4243.7040,2639.1918,1772.5650,4514.0306,-560.2361,4886.5144,103016.4782,101640.7680,101923.5397,100184.5424,106573.9944,100280.5970,90790.0286,101375.2270,-44940987.5019,-44913784.0103,-44930162.7439,-44928389.4493,100067.0697,-44937676.1469,
5400.000,3278.0858,5840.8573,6671.4820,-1937.0347,-4732.0713,6009.9392,-3995.0935,4132.0280,253.9673,-5307.6608,-23425.3758,-20507.1256,-20814.7402,-19908.8349,-10960.7665,-14438.2047,-16629.4586,-16597.2446,7905905.6275,7893253.1504,7884713.8620,7893708.8122,-17381.6227,7892511.7901,-3923.1916,-3683.4284,941.0306,6609.9187,-1911.7902,3222.2356,5648.9783,3834.1338,6747.2431,-1337.6798,-395559.6824,-370987.6863,-382986.4876,-380940.8398,-381488.8677,-380413.7461,-375606.0477,-378228.4815,280121612.4732,280117572.4907,280096458.7794,280097296.2375,-378267.6747,280106602.6620,-4686.4038,-191.4000,-1512.5366,-625.6371,-4686.5391,1233.2325,-20.2639,3877.7873,1255.1666,3855.0109,103106.7901,101760.5520,102094.3083,100055.9418,106719.8118,100704.3517,90862.6105,101768.9834,-44945880.7764,-44918389.0538,-44934329.1075,-44932816.8975,100177.1262,-44942318.2973,
