sl_100_5400_20270316 Coordinates.csv
2027/03/16 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:40 2024,
Start: 2027/03/16 07:47:00.00, Stop: 2027/03/16 09:17:00.00,
TIME_UNITS,STARLINK-31001 - X-Coordinate,STARLINK-4645 - X-Coordinate,STARLINK-2510 - X-Coordinate,STARLINK-31101 - X-Coordinate,STARLINK-5849 - X-Coordinate,STARLINK-1309 - X-Coordinate,STARLINK-30388 - X-Coordinate,STARLINK-6029 - X-Coordinate,STARLINK-6336 - X-Coordinate,STARLINK-31681 - X-Coordinate,STARLINK-1162 - X-Coordinate,STARLINK-1587 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-1941 - X-Coordinate,STARLINK-4028 - X-Coordinate,STARLINK-31366 - X-Coordinate,STARLINK-2426 - X-Coordinate,STARLINK-1931 - X-Coordinate,STARLINK-3784 - X-Coordinate,STARLINK-5333 - X-Coordinate,STARLINK-3803 - X-Coordinate,STARLINK-2349 - X-Coordinate,STARLINK-4515 - X-Coordinate,STARLINK-31166 - X-Coordinate,STARLINK-6286 - X-Coordinate,STARLINK-30607 - X-Coordinate,STARLINK-30965 - X-Coordinate,STARLINK-3788 - X-Coordinate,STARLINK-3949 - X-Coordinate,STARLINK-3955 - X-Coordinate,STARLINK-3849 - X-Coordinate,STARLINK-5243 - X-Coordinate,STARLINK-4758 - X-Coordinate,STARLINK-3508 - X-Coordinate,STARLINK-4528 - X-Coordinate,STARLINK-1059 - X-Coordinate,STARLINK-4738 - X-Coordinate,STARLINK-1892 - X-Coordinate,STARLINK-4578 - X-Coordinate,STARLINK-31325 - X-Coordinate,STARLINK-31343 - X-Coordinate,STARLINK-30934 - X-Coordinate,STARLINK-11133 [DTC] - X-Coordinate,STARLINK-2065 - X-Coordinate,STARLINK-1173 - X-Coordinate,STARLINK-11273 [DTC] - X-Coordinate,STARLINK-2067 - X-Coordinate,STARLINK-5896 - X-Coordinate,STARLINK-3527 - X-Coordinate,STARLINK-3976 - X-Coordinate,STARLINK-2452 - X-Coordinate,STARLINK-31677 - X-Coordinate,STARLINK-5458 - X-Coordinate,STARLINK-1637 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-5691 - X-Coordinate,STARLINK-1911 - X-Coordinate,STARLINK-3114 - X-Coordinate,STARLINK-5982 - X-Coordinate,STARLINK-3611 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-5355 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-5524 - X-Coordinate,STARLINK-31046 - X-Coordinate,STARLINK-4387 - X-Coordinate,STARLINK-5518 - X-Coordinate,STARLINK-3762 - X-Coordinate,STARLINK-2578 - X-Coordinate,STARLINK-5508 - X-Coordinate,STARLINK-4481 - X-Coordinate,STARLINK-6320 - X-Coordinate,STARLINK-31593 - X-Coordinate,STARLINK-30377 - X-Coordinate,STARLINK-1393 - X-Coordinate,STARLINK-4581 - X-Coordinate,STARLINK-2048 - X-Coordinate,STARLINK-4315 - X-Coordinate,STARLINK-31729 - X-Coordinate,STARLINK-2291 - X-Coordinate,STARLINK-5104 - X-Coordinate,STARLINK-31860 - X-Coordinate,STARLINK-1451 - X-Coordinate,STARLINK-3723 - X-Coordinate,STARLINK-31443 - X-Coordinate,STARLINK-30135 - X-Coordinate,STARLINK-31333 - X-Coordinate,STARLINK-3615 - X-Coordinate,STARLINK-4705 - X-Coordinate,STARLINK-6122 - X-Coordinate,STARLINK-5109 - X-Coordinate,STARLINK-6334 - X-Coordinate,STARLINK-30456 - X-Coordinate,STARLINK-31659 - X-Coordinate,STARLINK-5276 - X-Coordinate,STARLINK-3786 - X-Coordinate,STARLINK-3332 - X-Coordinate,STARLINK-6069 - X-Coordinate,STARLINK-1813 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31001 - Y-Coordinate,STARLINK-4645 - Y-Coordinate,STARLINK-2510 - Y-Coordinate,STARLINK-31101 - Y-Coordinate,STARLINK-5849 - Y-Coordinate,STARLINK-1309 - Y-Coordinate,STARLINK-30388 - Y-Coordinate,STARLINK-6029 - Y-Coordinate,STARLINK-6336 - Y-Coordinate,STARLINK-31681 - Y-Coordinate,STARLINK-1162 - Y-Coordinate,STARLINK-1587 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-1941 - Y-Coordinate,STARLINK-4028 - Y-Coordinate,STARLINK-31366 - Y-Coordinate,STARLINK-2426 - Y-Coordinate,STARLINK-1931 - Y-Coordinate,STARLINK-3784 - Y-Coordinate,STARLINK-5333 - Y-Coordinate,STARLINK-3803 - Y-Coordinate,STARLINK-2349 - Y-Coordinate,STARLINK-4515 - Y-Coordinate,STARLINK-31166 - Y-Coordinate,STARLINK-6286 - Y-Coordinate,STARLINK-30607 - Y-Coordinate,STARLINK-30965 - Y-Coordinate,STARLINK-3788 - Y-Coordinate,STARLINK-3949 - Y-Coordinate,STARLINK-3955 - Y-Coordinate,STARLINK-3849 - Y-Coordinate,STARLINK-5243 - Y-Coordinate,STARLINK-4758 - Y-Coordinate,STARLINK-3508 - Y-Coordinate,STARLINK-4528 - Y-Coordinate,STARLINK-1059 - Y-Coordinate,STARLINK-4738 - Y-Coordinate,STARLINK-1892 - Y-Coordinate,STARLINK-4578 - Y-Coordinate,STARLINK-31325 - Y-Coordinate,STARLINK-31343 - Y-Coordinate,STARLINK-30934 - Y-Coordinate,STARLINK-11133 [DTC] - Y-Coordinate,STARLINK-2065 - Y-Coordinate,STARLINK-1173 - Y-Coordinate,STARLINK-11273 [DTC] - Y-Coordinate,STARLINK-2067 - Y-Coordinate,STARLINK-5896 - Y-Coordinate,STARLINK-3527 - Y-Coordinate,STARLINK-3976 - Y-Coordinate,STARLINK-2452 - Y-Coordinate,STARLINK-31677 - Y-Coordinate,STARLINK-5458 - Y-Coordinate,STARLINK-1637 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-5691 - Y-Coordinate,STARLINK-1911 - Y-Coordinate,STARLINK-3114 - Y-Coordinate,STARLINK-5982 - Y-Coordinate,STARLINK-3611 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-5355 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-5524 - Y-Coordinate,STARLINK-31046 - Y-Coordinate,STARLINK-4387 - Y-Coordinate,STARLINK-5518 - Y-Coordinate,STARLINK-3762 - Y-Coordinate,STARLINK-2578 - Y-Coordinate,STARLINK-5508 - Y-Coordinate,STARLINK-4481 - Y-Coordinate,STARLINK-6320 - Y-Coordinate,STARLINK-31593 - Y-Coordinate,STARLINK-30377 - Y-Coordinate,STARLINK-1393 - Y-Coordinate,STARLINK-4581 - Y-Coordinate,STARLINK-2048 - Y-Coordinate,STARLINK-4315 - Y-Coordinate,STARLINK-31729 - Y-Coordinate,STARLINK-2291 - Y-Coordinate,STARLINK-5104 - Y-Coordinate,STARLINK-31860 - Y-Coordinate,STARLINK-1451 - Y-Coordinate,STARLINK-3723 - Y-Coordinate,STARLINK-31443 - Y-Coordinate,STARLINK-30135 - Y-Coordinate,STARLINK-31333 - Y-Coordinate,STARLINK-3615 - Y-Coordinate,STARLINK-4705 - Y-Coordinate,STARLINK-6122 - Y-Coordinate,STARLINK-5109 - Y-Coordinate,STARLINK-6334 - Y-Coordinate,STARLINK-30456 - Y-Coordinate,STARLINK-31659 - Y-Coordinate,STARLINK-5276 - Y-Coordinate,STARLINK-3786 - Y-Coordinate,STARLINK-3332 - Y-Coordinate,STARLINK-6069 - Y-Coordinate,STARLINK-1813 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31001 - Z-Coordinate,STARLINK-4645 - Z-Coordinate,STARLINK-2510 - Z-Coordinate,STARLINK-31101 - Z-Coordinate,STARLINK-5849 - Z-Coordinate,STARLINK-1309 - Z-Coordinate,STARLINK-30388 - Z-Coordinate,STARLINK-6029 - Z-Coordinate,STARLINK-6336 - Z-Coordinate,STARLINK-31681 - Z-Coordinate,STARLINK-1162 - Z-Coordinate,STARLINK-1587 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-1941 - Z-Coordinate,STARLINK-4028 - Z-Coordinate,STARLINK-31366 - Z-Coordinate,STARLINK-2426 - Z-Coordinate,STARLINK-1931 - Z-Coordinate,STARLINK-3784 - Z-Coordinate,STARLINK-5333 - Z-Coordinate,STARLINK-3803 - Z-Coordinate,STARLINK-2349 - Z-Coordinate,STARLINK-4515 - Z-Coordinate,STARLINK-31166 - Z-Coordinate,STARLINK-6286 - Z-Coordinate,STARLINK-30607 - Z-Coordinate,STARLINK-30965 - Z-Coordinate,STARLINK-3788 - Z-Coordinate,STARLINK-3949 - Z-Coordinate,STARLINK-3955 - Z-Coordinate,STARLINK-3849 - Z-Coordinate,STARLINK-5243 - Z-Coordinate,STARLINK-4758 - Z-Coordinate,STARLINK-3508 - Z-Coordinate,STARLINK-4528 - Z-Coordinate,STARLINK-1059 - Z-Coordinate,STARLINK-4738 - Z-Coordinate,STARLINK-1892 - Z-Coordinate,STARLINK-4578 - Z-Coordinate,STARLINK-31325 - Z-Coordinate,STARLINK-31343 - Z-Coordinate,STARLINK-30934 - Z-Coordinate,STARLINK-11133 [DTC] - Z-Coordinate,STARLINK-2065 - Z-Coordinate,STARLINK-1173 - Z-Coordinate,STARLINK-11273 [DTC] - Z-Coordinate,STARLINK-2067 - Z-Coordinate,STARLINK-5896 - Z-Coordinate,STARLINK-3527 - Z-Coordinate,STARLINK-3976 - Z-Coordinate,STARLINK-2452 - Z-Coordinate,STARLINK-31677 - Z-Coordinate,STARLINK-5458 - Z-Coordinate,STARLINK-1637 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-5691 - Z-Coordinate,STARLINK-1911 - Z-Coordinate,STARLINK-3114 - Z-Coordinate,STARLINK-5982 - Z-Coordinate,STARLINK-3611 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-5355 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-5524 - Z-Coordinate,STARLINK-31046 - Z-Coordinate,STARLINK-4387 - Z-Coordinate,STARLINK-5518 - Z-Coordinate,STARLINK-3762 - Z-Coordinate,STARLINK-2578 - Z-Coordinate,STARLINK-5508 - Z-Coordinate,STARLINK-4481 - Z-Coordinate,STARLINK-6320 - Z-Coordinate,STARLINK-31593 - Z-Coordinate,STARLINK-30377 - Z-Coordinate,STARLINK-1393 - Z-Coordinate,STARLINK-4581 - Z-Coordinate,STARLINK-2048 - Z-Coordinate,STARLINK-4315 - Z-Coordinate,STARLINK-31729 - Z-Coordinate,STARLINK-2291 - Z-Coordinate,STARLINK-5104 - Z-Coordinate,STARLINK-31860 - Z-Coordinate,STARLINK-1451 - Z-Coordinate,STARLINK-3723 - Z-Coordinate,STARLINK-31443 - Z-Coordinate,STARLINK-30135 - Z-Coordinate,STARLINK-31333 - Z-Coordinate,STARLINK-3615 - Z-Coordinate,STARLINK-4705 - Z-Coordinate,STARLINK-6122 - Z-Coordinate,STARLINK-5109 - Z-Coordinate,STARLINK-6334 - Z-Coordinate,STARLINK-30456 - Z-Coordinate,STARLINK-31659 - Z-Coordinate,STARLINK-5276 - Z-Coordinate,STARLINK-3786 - Z-Coordinate,STARLINK-3332 - Z-Coordinate,STARLINK-6069 - Z-Coordinate,STARLINK-1813 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,809.0534,4193.7545,1231.6373,-920.0002,-3254.4004,-5229.1498,6284.3032,-6027.7451,-6558.4062,5667.8024,-5646.2333,-4160.5989,6603.5322,6440.0372,-1848.0541,6058.2745,4934.6380,-3243.9594,-6013.6084,1326.6496,-1174.3258,-6370.9980,6140.1257,3685.2387,-3049.8878,3403.1351,3641.9240,-1147.4747,3719.3746,-4092.4196,-998.6157,-3179.3730,6818.9192,-3947.3841,-6490.5404,-2343.3239,0.0000,4193.1783,-13.6809,-4749.5612,1267.1661,4632.0954,-4599.9682,4207.8584,1881.2149,-3527.5450,-3745.5406,-2071.4639,4714.4505,-4515.0886,3971.1823,-2463.7244,-2908.3408,-3804.9485,1550.9705,-4973.2023,-1107.3420,-3641.5807,641.4846,777.8037,6158.6520,-2367.1637,4576.0967,-4939.5930,1522.8558,3190.0375,724.3323,2140.0378,4930.6835,5173.9464,3274.7598,-4744.3698,-3379.1915,3691.3889,567.3102,5295.6875,-4257.2442,-148.6948,4106.3109,-4659.5061,-3225.8597,2168.3861,3509.5203,5891.1285,-3677.8695,-4512.7137,2781.0696,5399.7814,4877.0548,-4008.7521,4618.2281,-307.8119,6121.4250,4290.0593,-2382.1755,-2203.5061,3886.7522,-3548.9551,6850.8079,2319.6046,327207.1480,315406.5725,314488.7850,316384.4511,309558.5908,311671.6802,317945.1505,317781.2700,85649752.8679,85641299.1621,85668142.0947,85650744.4396,316436.0500,85659930.0421,-5431.4366,594.1566,5334.7981,6600.6092,-5522.7452,-3047.4343,-1236.9136,-16.0374,-1116.8573,-2205.5808,2326.4489,-2085.6929,-1544.5490,1050.3908,6054.9813,-807.3820,-2085.3526,5230.4600,1294.6123,6690.8864,-4942.4087,2452.0189,-2108.1735,-2206.0089,4585.7986,-6028.4513,-4174.7886,-6595.8535,5734.2887,-4575.7456,4356.1846,-2713.4993,-972.3154,1443.4159,1723.1702,-5762.7798,0.0000,5122.2215,6731.0830,1740.2432,5618.5748,-3890.4214,-2144.1269,2199.0210,3690.7208,5866.0629,3061.1301,5002.7012,4913.0744,-3161.2684,-1423.4584,-4589.9628,-4139.1871,5688.5868,5853.6114,-1180.8052,6349.6740,-5309.5918,6004.9492,2253.0323,2523.2121,-4653.3180,2838.8480,-4268.0655,2964.9532,3069.9013,4805.9683,3258.3272,1893.6635,-2812.6371,-4365.4609,-2074.3118,5425.9948,5594.0315,-5855.9590,-696.5265,-486.7962,6209.4527,3283.8936,3356.1384,6075.3917,1318.9574,4218.0446,-1171.8890,5768.9603,679.7502,6182.9991,-3254.5362,4191.7123,-1273.6969,5114.5003,4835.8136,105.0659,-1764.7999,-4400.5650,-2787.1915,-1581.4661,-3412.9343,-78.3988,4676.1822,100864.6916,93505.2471,96981.5352,97002.8052,91704.1060,92929.9374,87526.3115,90855.1182,-61899527.1124,-61918670.6617,-61871809.5000,-61881448.5644,91156.0414,-61881824.8652,-4250.9658,5453.3626,-4134.7922,1899.6568,2644.6220,3286.7633,2635.6933,3438.2105,2008.2560,-3110.3014,2646.9867,-4929.3007,649.2386,-2293.2472,2281.8077,-3246.8720,4190.0335,3009.7188,-2448.6319,999.8584,-4715.1114,-1128.5080,2033.7191,-5422.3909,4073.0011,-226.7848,-4003.7739,1807.7500,-989.0393,2735.5471,5251.0604,-5505.4261,146.9980,-5470.7191,1641.1467,-3006.8944,0.0000,-2013.8893,1005.7580,-4725.1137,-3732.0803,3216.3815,-4586.1257,-4782.0596,-5502.7302,769.7600,-4604.7361,-4247.9230,-1402.6842,-4087.6997,-5411.1296,-4531.1475,4532.8278,-918.5264,3268.0061,4313.0909,-2695.7750,2487.9086,3373.6780,-6529.0802,-1861.1400,4253.2139,4333.1841,-2336.3279,6094.6539,-5228.2224,4930.2355,5743.9072,4442.3559,3595.4982,-4310.9555,4567.2675,-2676.1160,1293.2330,-3608.2036,-4358.1346,5410.5638,-2929.0631,-4534.1462,-3674.9311,-175.0665,6461.7800,4034.8101,-3321.6628,-699.9715,5039.9684,1425.5447,2641.3241,-2520.8794,-5486.3950,343.4902,4920.2410,-3246.6933,5011.0254,4623.7120,5951.2384,-5497.2598,-4856.7542,-1242.1804,4534.5552,172423.9164,168280.7010,168732.5582,172811.1904,173991.8949,163788.1068,161048.2083,167595.4435,33571870.1654,33549963.1097,33580030.3238,33582410.6522,168761.8731,33572530.5737,
300.000,-1068.7154,3933.4091,2527.0712,734.6278,-4074.6866,-5014.2622,6183.5790,-6746.2574,-6931.0967,5311.8460,-4176.8769,-5502.6372,6152.4106,5767.1503,-305.6294,4815.9924,4405.4681,-1511.0298,-6022.7371,2495.9229,-3208.3739,-5889.9078,5904.7126,2065.3285,-1616.3465,1913.8636,2891.7898,-2565.5417,4417.1912,-5340.2988,812.9421,-4606.5922,6266.2382,-2747.2715,-6259.1171,-3746.1758,0.0000,5275.0950,1223.0766,-4764.7579,2878.8838,3751.9686,-4307.4447,4109.4006,3734.7529,-2202.4462,-3118.6642,-135.5723,5219.7391,-4472.1010,2711.4782,-4226.2808,-4655.2532,-2473.6764,2650.5510,-4222.6638,651.5100,-4880.2175,1944.6819,2849.4680,6760.0711,-4104.6408,5011.4824,-5398.4023,3412.5363,4876.5664,364.3404,3889.4836,6119.5330,3490.5314,1658.9562,-4386.5394,-2114.5172,4939.9839,-1320.2642,5720.5151,-4766.4171,1252.8065,2467.4323,-3854.6645,-2019.7139,3766.1582,4475.9730,6099.3124,-2373.0344,-3270.2629,4161.8981,5013.1422,5952.2422,-4186.3148,5552.7086,1583.5693,6449.2916,2647.5369,-3389.5141,-2356.3819,2659.3090,-5218.6559,6869.1076,3333.5226,325033.9264,313926.0521,312627.5439,314449.4242,307563.6971,309666.1086,315945.1330,315497.0637,86985735.8573,86978032.9711,87003501.4775,86986487.3544,314466.6220,86995821.6696,-5985.3641,-1569.9343,3851.4506,6103.6206,-5583.2913,-1273.4155,-2872.1977,713.8354,-525.2348,-3900.2341,3211.9153,-676.5929,-2683.8594,-372.8663,5552.0103,-2060.0062,-4001.4438,5076.8969,2659.3342,6375.6746,-4326.3178,3562.4660,-3373.8025,-3656.8257,5893.3519,-6427.4456,-5640.8196,-5634.3414,4572.5572,-3956.8797,5237.7378,-1141.0336,-2105.4278,3261.6024,2934.8259,-5648.0489,0.0000,4469.3196,6115.7338,3564.1853,4360.3074,-5400.9622,-99.2711,65.7386,2589.2628,6025.7333,4822.7109,4559.2323,4532.0457,-1204.8257,-3209.3839,-4374.4172,-2965.3968,5884.0964,4447.6614,740.5476,5823.0134,-4825.1026,4772.1250,1598.8842,1426.9772,-4488.9542,755.4748,-2536.7475,3378.3699,1948.9085,6168.8956,3650.2555,611.7280,-3574.1440,-3688.0978,-62.8714,6473.4674,4706.8112,-5157.1283,-2372.8167,1529.2224,5218.9535,2575.0310,5021.7831,6371.6193,-74.6902,2340.3564,-2639.8389,5975.9843,2450.3834,5539.8589,-4558.9224,3412.3648,894.8036,3918.6064,3902.3858,-1598.8838,-3150.9844,-2576.0492,-644.8618,-3376.6842,-2577.0989,-703.1364,2911.0294,107826.7989,100103.3870,103616.5689,103544.3635,98291.0065,99496.1926,94193.8239,97663.8038,-60011173.9513,-60030532.0818,-59983285.0884,-59993642.7848,97756.3961,-59993431.1233,-3354.4312,5453.6529,-5084.9915,3193.8132,585.2608,4543.7302,1229.0359,1472.8047,-93.8124,-1794.0104,4062.7233,-3901.1714,-1177.2696,-3801.0273,3786.3269,-4524.1321,3294.9081,4342.0736,-684.8635,-819.6407,-4361.9553,686.5299,248.6164,-5496.6374,3098.0722,-1738.4324,-2554.8495,3119.5854,-2700.1938,1012.8630,4412.4061,-5025.7850,1933.6524,-5423.0329,-159.2313,-1339.4904,0.0000,-236.1694,2718.6484,-3535.8638,-4450.2542,1927.4087,-5312.8733,-5340.8328,-5175.4725,2501.6351,-3407.8602,-5153.6699,720.6350,-5063.9081,-5424.4587,-3265.5599,3960.5455,-2637.5292,4529.7963,5131.2400,-3808.2403,756.1658,4612.0678,-6134.0226,-72.1071,2893.9206,4699.0463,-3537.0685,5022.6043,-4398.6704,3126.7947,4446.4295,3135.9775,4756.8098,-5657.7197,5329.8423,-1275.8823,-254.4887,-4393.1912,-3026.3795,4753.0623,-4284.8580,-5957.0677,-2528.0286,1626.1240,5833.4203,4567.4641,-1710.9016,-2443.9228,5433.3832,-104.9618,918.4574,-788.3486,-5428.4921,-1199.1808,5471.6634,-1964.7266,5448.2599,5317.6698,6486.0253,-5418.0363,-3735.0564,881.6287,5311.0494,172407.0380,168387.2018,168804.4065,172626.6195,174064.8896,163978.3542,160889.9309,167241.5367,33572597.3331,33550798.1374,33581494.4016,33583220.0035,168731.9974,33573518.7532,
600.000,-2821.3282,3342.7587,3619.2453,2345.4541,-4472.0046,-4337.5942,5489.0311,-6780.0524,-6599.4733,4430.4825,-2239.3377,-6282.6751,5056.4656,4540.1063,1306.8546,3111.6727,3455.8600,405.3245,-5351.2145,3423.2986,-4936.8989,-4819.1512,5053.0103,281.7645,-49.4013,224.6065,1872.2357,-3764.9342,4701.5117,-6002.1619,2508.9700,-5611.4424,5079.5421,-1324.9698,-5403.3031,-4763.5250,0.0000,5830.4550,2363.2050,-4343.1858,4239.9552,2512.9636,-3630.0626,3631.0393,5237.3459,-632.5511,-2186.8132,1843.3773,5200.8280,-4029.1915,1227.3063,-5552.4242,-5934.4250,-872.5611,3533.5705,-3056.8347,2377.4428,-5624.9368,3104.0221,4652.1732,6686.1071,-5383.9559,5003.1799,-5365.7925,4930.9602,6079.2435,-79.3469,5218.1110,6706.6551,1458.0680,-167.4439,-3646.6172,-656.6085,5687.9352,-3106.8807,5594.6185,-4847.8937,2572.1337,607.0683,-2680.5136,-592.7884,5026.4968,5028.8242,5696.9538,-806.1535,-1733.4077,5139.3442,4117.5051,6428.3197,-4009.4144,5949.4395,3353.4060,6161.0910,766.2350,-4103.7246,-2355.0037,1220.0110,-6371.3554,6191.6228,4074.4439,322711.0881,312324.8184,310629.8850,312379.4513,305433.0774,307528.4366,313804.3220,312991.1137,88280096.3903,88273145.7542,88297226.8509,88280642.4935,312359.5932,88290089.4090,-5985.9924,-3584.3096,1999.2668,5028.2734,-5077.5525,657.9946,-4218.7643,1351.6316,120.9255,-5188.2071,3787.2992,762.8042,-3556.5630,-1797.8842,4473.7628,-3157.5265,-5500.1331,4444.7089,3714.6017,5417.1684,-3333.1440,4325.4085,-4283.9061,-4792.1345,6617.9953,-6211.0784,-6519.8403,-4131.4249,2940.9453,-2918.7055,5631.6209,500.2138,-3048.3107,4786.5078,3855.6436,-4979.2616,0.0000,3373.7282,4865.0624,5016.6215,2690.3764,-6363.3763,1977.7802,-2087.7673,1281.4284,5595.2315,6045.6972,3707.5326,3683.1656,893.9362,-4704.6553,-3755.9207,-1523.4248,5511.2335,2602.2867,2616.4428,4768.7573,-3864.3929,3083.2435,861.5550,188.9538,-3870.8337,-1399.4201,-545.5083,3510.6578,676.8962,6856.8419,3724.1806,-697.1534,-4032.2504,-2699.0102,1979.3465,6890.7118,3339.2125,-3984.2426,-3786.0430,3368.0166,3718.4124,1518.1712,6169.3281,6031.9528,-1397.9168,234.0677,-3822.6490,5595.5986,4006.6970,4358.1954,-5386.0882,2299.7910,2967.6681,2329.2979,2630.6244,-3131.6343,-4264.9907,-501.5691,1562.4298,-4869.8518,-1527.3892,-1268.4048,873.1914,114740.7723,106610.2822,110205.5379,110040.2596,104834.2664,106017.0859,100818.1082,104421.1816,-58093987.1625,-58113542.9003,-58065960.8122,-58077012.4230,104314.2805,-58076207.3146,-2100.8281,4865.1342,-5475.4588,4145.5745,-1536.7080,5305.3824,-309.5402,-649.7165,-2185.9451,-276.8875,4988.7877,-2427.4759,-2871.1123,-4899.7158,4848.5195,-5315.7412,2026.9147,5193.5133,1162.8266,-2549.9619,-3542.3535,2427.5309,-1564.6540,-4980.6114,1779.8555,-3063.5705,-820.6377,4097.6343,-4119.2343,-828.6576,3094.9819,-4004.9081,3509.1899,-4788.2696,-1942.4449,472.8391,0.0000,1566.9867,4123.9231,-1966.6913,-4678.5345,424.8168,-5449.6493,-5279.7688,-4285.0001,3960.3227,-1803.6675,-5497.2775,2767.3156,-5482.9915,-4840.9787,-1646.2996,2938.5884,-4071.0718,5296.4871,5339.7090,-4523.0434,-1057.5874,5354.2054,-5090.0292,1724.7040,1197.2843,4558.4191,-4359.8509,3418.0463,-3082.1852,987.8413,2676.2772,1489.8589,5402.5546,-6406.6226,5516.4067,261.2224,-1773.7124,-4702.5901,-1365.2809,3581.4091,-5169.8451,-6747.7441,-1096.6258,3249.0940,4586.0473,4585.6003,88.6409,-3920.1579,5212.5388,-1624.2323,-906.9237,1029.5700,-4786.5543,-2611.6849,5432.2869,-472.0750,5277.3978,5413.8233,6329.4488,-4756.5188,-2211.0858,2912.1284,5516.0541,172389.5625,168503.9727,168875.9955,172436.8655,174134.2370,164174.6576,160736.7165,166996.8655,33573324.9033,33551633.9945,33582949.3920,33584014.0338,168702.0001,33574506.9184,
