sl_100_5400_20270514 Coordinates.csv
2027/05/14 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:54 2024,
Start: 2027/05/14 07:47:00.00, Stop: 2027/05/14 09:17:00.00,
TIME_UNITS,STARLINK-3100 - X-Coordinate,STARLINK-4429 - X-Coordinate,STARLINK-31716 - X-Coordinate,STARLINK-5527 - X-Coordinate,STARLINK-30303 - X-Coordinate,STARLINK-31420 - X-Coordinate,STARLINK-30455 - X-Coordinate,STARLINK-3075 - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-6254 - X-Coordinate,STARLINK-3301 - X-Coordinate,STARLINK-4387 - X-Coordinate,STARLINK-5212 - X-Coordinate,STARLINK-5199 - X-Coordinate,STARLINK-1230 - X-Coordinate,STARLINK-3620 - X-Coordinate,STARLINK-2423 - X-Coordinate,STARLINK-5765 - X-Coordinate,STARLINK-31643 - X-Coordinate,STARLINK-1185 - X-Coordinate,STARLINK-3699 - X-Coordinate,STARLINK-4116 - X-Coordinate,STARLINK-3363 - X-Coordinate,STARLINK-3839 - X-Coordinate,STARLINK-30948 - X-Coordinate,STARLINK-30138 - X-Coordinate,STARLINK-5257 - X-Coordinate,STARLINK-31088 - X-Coordinate,STARLINK-3173 - X-Coordinate,STARLINK-5117 - X-Coordinate,STARLINK-11115 [DTC] - X-Coordinate,STARLINK-4358 - X-Coordinate,STARLINK-4159 - X-Coordinate,STARLINK-31044 - X-Coordinate,STARLINK-31479 - X-Coordinate,STARLINK-2076 - X-Coordinate,STARLINK-2612 - X-Coordinate,STARLINK-30457 - X-Coordinate,STARLINK-6299 - X-Coordinate,STARLINK-30184 - X-Coordinate,STARLINK-31417 - X-Coordinate,STARLINK-31324 - X-Coordinate,STARLINK-6072 - X-Coordinate,STARLINK-3569 - X-Coordinate,STARLINK-2741 - X-Coordinate,STARLINK-2119 - X-Coordinate,STARLINK-30237 - X-Coordinate,STARLINK-5994 - X-Coordinate,STARLINK-3956 - X-Coordinate,STARLINK-31788 - X-Coordinate,STARLINK-5096 - X-Coordinate,STARLINK-3683 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-2725 - X-Coordinate,STARLINK-11120 [DTC] - X-Coordinate,STARLINK-30393 - X-Coordinate,STARLINK-3284 - X-Coordinate,STARLINK-31332 - X-Coordinate,STARLINK-31868 - X-Coordinate,STARLINK-31061 - X-Coordinate,STARLINK-5122 - X-Coordinate,STARLINK-4168 - X-Coordinate,STARLINK-1694 - X-Coordinate,STARLINK-30305 - X-Coordinate,STARLINK-5465 - X-Coordinate,STARLINK-31267 - X-Coordinate,STARLINK-6137 - X-Coordinate,STARLINK-2463 - X-Coordinate,STARLINK-4750 - X-Coordinate,STARLINK-2056 - X-Coordinate,STARLINK-3202 - X-Coordinate,STARLINK-2521 - X-Coordinate,STARLINK-5728 - X-Coordinate,STARLINK-4590 - X-Coordinate,STARLINK-5357 - X-Coordinate,STARLINK-31366 - X-Coordinate,STARLINK-31966 - X-Coordinate,STARLINK-5576 - X-Coordinate,STARLINK-30243 - X-Coordinate,STARLINK-3447 - X-Coordinate,STARLINK-30780 - X-Coordinate,STARLINK-2409 - X-Coordinate,STARLINK-1996 - X-Coordinate,STARLINK-31261 - X-Coordinate,STARLINK-1368 - X-Coordinate,STARLINK-5077 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-2526 - X-Coordinate,STARLINK-2339 - X-Coordinate,STARLINK-5464 - X-Coordinate,STARLINK-5390 - X-Coordinate,STARLINK-1217 - X-Coordinate,STARLINK-31358 - X-Coordinate,STARLINK-5418 - X-Coordinate,STARLINK-32267 - X-Coordinate,STARLINK-30520 - X-Coordinate,STARLINK-4576 - X-Coordinate,STARLINK-3126 - X-Coordinate,STARLINK-5512 - X-Coordinate,STARLINK-3575 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3100 - Y-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-31716 - Y-Coordinate,STARLINK-5527 - Y-Coordinate,STARLINK-30303 - Y-Coordinate,STARLINK-31420 - Y-Coordinate,STARLINK-30455 - Y-Coordinate,STARLINK-3075 - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-6254 - Y-Coordinate,STARLINK-3301 - Y-Coordinate,STARLINK-4387 - Y-Coordinate,STARLINK-5212 - Y-Coordinate,STARLINK-5199 - Y-Coordinate,STARLINK-1230 - Y-Coordinate,STARLINK-3620 - Y-Coordinate,STARLINK-2423 - Y-Coordinate,STARLINK-5765 - Y-Coordinate,STARLINK-31643 - Y-Coordinate,STARLINK-1185 - Y-Coordinate,STARLINK-3699 - Y-Coordinate,STARLINK-4116 - Y-Coordinate,STARLINK-3363 - Y-Coordinate,STARLINK-3839 - Y-Coordinate,STARLINK-30948 - Y-Coordinate,STARLINK-30138 - Y-Coordinate,STARLINK-5257 - Y-Coordinate,STARLINK-31088 - Y-Coordinate,STARLINK-3173 - Y-Coordinate,STARLINK-5117 - Y-Coordinate,STARLINK-11115 [DTC] - Y-Coordinate,STARLINK-4358 - Y-Coordinate,STARLINK-4159 - Y-Coordinate,STARLINK-31044 - Y-Coordinate,STARLINK-31479 - Y-Coordinate,STARLINK-2076 - Y-Coordinate,STARLINK-2612 - Y-Coordinate,STARLINK-30457 - Y-Coordinate,STARLINK-6299 - Y-Coordinate,STARLINK-30184 - Y-Coordinate,STARLINK-31417 - Y-Coordinate,STARLINK-31324 - Y-Coordinate,STARLINK-6072 - Y-Coordinate,STARLINK-3569 - Y-Coordinate,STARLINK-2741 - Y-Coordinate,STARLINK-2119 - Y-Coordinate,STARLINK-30237 - Y-Coordinate,STARLINK-5994 - Y-Coordinate,STARLINK-3956 - Y-Coordinate,STARLINK-31788 - Y-Coordinate,STARLINK-5096 - Y-Coordinate,STARLINK-3683 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-2725 - Y-Coordinate,STARLINK-11120 [DTC] - Y-Coordinate,STARLINK-30393 - Y-Coordinate,STARLINK-3284 - Y-Coordinate,STARLINK-31332 - Y-Coordinate,STARLINK-31868 - Y-Coordinate,STARLINK-31061 - Y-Coordinate,STARLINK-5122 - Y-Coordinate,STARLINK-4168 - Y-Coordinate,STARLINK-1694 - Y-Coordinate,STARLINK-30305 - Y-Coordinate,STARLINK-5465 - Y-Coordinate,STARLINK-31267 - Y-Coordinate,STARLINK-6137 - Y-Coordinate,STARLINK-2463 - Y-Coordinate,STARLINK-4750 - Y-Coordinate,STARLINK-2056 - Y-Coordinate,STARLINK-3202 - Y-Coordinate,STARLINK-2521 - Y-Coordinate,STARLINK-5728 - Y-Coordinate,STARLINK-4590 - Y-Coordinate,STARLINK-5357 - Y-Coordinate,STARLINK-31366 - Y-Coordinate,STARLINK-31966 - Y-Coordinate,STARLINK-5576 - Y-Coordinate,STARLINK-30243 - Y-Coordinate,STARLINK-3447 - Y-Coordinate,STARLINK-30780 - Y-Coordinate,STARLINK-2409 - Y-Coordinate,STARLINK-1996 - Y-Coordinate,STARLINK-31261 - Y-Coordinate,STARLINK-1368 - Y-Coordinate,STARLINK-5077 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-2526 - Y-Coordinate,STARLINK-2339 - Y-Coordinate,STARLINK-5464 - Y-Coordinate,STARLINK-5390 - Y-Coordinate,STARLINK-1217 - Y-Coordinate,STARLINK-31358 - Y-Coordinate,STARLINK-5418 - Y-Coordinate,STARLINK-32267 - Y-Coordinate,STARLINK-30520 - Y-Coordinate,STARLINK-4576 - Y-Coordinate,STARLINK-3126 - Y-Coordinate,STARLINK-5512 - Y-Coordinate,STARLINK-3575 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3100 - Z-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-31716 - Z-Coordinate,STARLINK-5527 - Z-Coordinate,STARLINK-30303 - Z-Coordinate,STARLINK-31420 - Z-Coordinate,STARLINK-30455 - Z-Coordinate,STARLINK-3075 - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-6254 - Z-Coordinate,STARLINK-3301 - Z-Coordinate,STARLINK-4387 - Z-Coordinate,STARLINK-5212 - Z-Coordinate,STARLINK-5199 - Z-Coordinate,STARLINK-1230 - Z-Coordinate,STARLINK-3620 - Z-Coordinate,STARLINK-2423 - Z-Coordinate,STARLINK-5765 - Z-Coordinate,STARLINK-31643 - Z-Coordinate,STARLINK-1185 - Z-Coordinate,STARLINK-3699 - Z-Coordinate,STARLINK-4116 - Z-Coordinate,STARLINK-3363 - Z-Coordinate,STARLINK-3839 - Z-Coordinate,STARLINK-30948 - Z-Coordinate,STARLINK-30138 - Z-Coordinate,STARLINK-5257 - Z-Coordinate,STARLINK-31088 - Z-Coordinate,STARLINK-3173 - Z-Coordinate,STARLINK-5117 - Z-Coordinate,STARLINK-11115 [DTC] - Z-Coordinate,STARLINK-4358 - Z-Coordinate,STARLINK-4159 - Z-Coordinate,STARLINK-31044 - Z-Coordinate,STARLINK-31479 - Z-Coordinate,STARLINK-2076 - Z-Coordinate,STARLINK-2612 - Z-Coordinate,STARLINK-30457 - Z-Coordinate,STARLINK-6299 - Z-Coordinate,STARLINK-30184 - Z-Coordinate,STARLINK-31417 - Z-Coordinate,STARLINK-31324 - Z-Coordinate,STARLINK-6072 - Z-Coordinate,STARLINK-3569 - Z-Coordinate,STARLINK-2741 - Z-Coordinate,STARLINK-2119 - Z-Coordinate,STARLINK-30237 - Z-Coordinate,STARLINK-5994 - Z-Coordinate,STARLINK-3956 - Z-Coordinate,STARLINK-31788 - Z-Coordinate,STARLINK-5096 - Z-Coordinate,STARLINK-3683 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-2725 - Z-Coordinate,STARLINK-11120 [DTC] - Z-Coordinate,STARLINK-30393 - Z-Coordinate,STARLINK-3284 - Z-Coordinate,STARLINK-31332 - Z-Coordinate,STARLINK-31868 - Z-Coordinate,STARLINK-31061 - Z-Coordinate,STARLINK-5122 - Z-Coordinate,STARLINK-4168 - Z-Coordinate,STARLINK-1694 - Z-Coordinate,STARLINK-30305 - Z-Coordinate,STARLINK-5465 - Z-Coordinate,STARLINK-31267 - Z-Coordinate,STARLINK-6137 - Z-Coordinate,STARLINK-2463 - Z-Coordinate,STARLINK-4750 - Z-Coordinate,STARLINK-2056 - Z-Coordinate,STARLINK-3202 - Z-Coordinate,STARLINK-2521 - Z-Coordinate,STARLINK-5728 - Z-Coordinate,STARLINK-4590 - Z-Coordinate,STARLINK-5357 - Z-Coordinate,STARLINK-31366 - Z-Coordinate,STARLINK-31966 - Z-Coordinate,STARLINK-5576 - Z-Coordinate,STARLINK-30243 - Z-Coordinate,STARLINK-3447 - Z-Coordinate,STARLINK-30780 - Z-Coordinate,STARLINK-2409 - Z-Coordinate,STARLINK-1996 - Z-Coordinate,STARLINK-31261 - Z-Coordinate,STARLINK-1368 - Z-Coordinate,STARLINK-5077 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-2526 - Z-Coordinate,STARLINK-2339 - Z-Coordinate,STARLINK-5464 - Z-Coordinate,STARLINK-5390 - Z-Coordinate,STARLINK-1217 - Z-Coordinate,STARLINK-31358 - Z-Coordinate,STARLINK-5418 - Z-Coordinate,STARLINK-32267 - Z-Coordinate,STARLINK-30520 - Z-Coordinate,STARLINK-4576 - Z-Coordinate,STARLINK-3126 - Z-Coordinate,STARLINK-5512 - Z-Coordinate,STARLINK-3575 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3842.7395,-569.4066,0.0000,35.1157,5745.2692,-319.3407,-2883.0061,3911.5841,1449.1157,5100.8681,5183.4370,-833.3813,-4724.2228,-3388.6107,-4528.5248,-1141.6115,-1599.6706,-4184.3380,2794.5171,-4332.4525,4155.5854,3047.2740,-6675.4787,3097.8435,-1280.9450,1795.8692,-6075.8256,5689.4728,-6690.2550,2139.7956,2321.9301,-4566.9078,-5092.1816,1220.5535,-4710.1791,3652.3221,-2979.7566,4999.7263,1132.5301,-4175.4283,3496.7053,-4400.3549,-3541.3906,-1604.4161,-4080.5365,-3964.1626,38.0302,-5917.8662,6701.3578,-1166.2043,-1788.6771,4143.8869,5010.4342,1578.8454,-3314.9969,4186.7442,-3245.0467,6757.9265,-86.2779,-5641.5827,-4574.1511,4556.6182,-5399.8368,1507.4180,3992.2584,-38.1874,5016.8593,-6865.2446,-1965.7876,4256.4334,5357.5929,2985.4591,-131.5207,2715.6070,-1376.8599,6133.9563,-2762.4802,-2878.5477,-1172.2905,6711.6796,6137.4312,-2615.7129,4430.0485,-402.5462,1045.0029,67.9049,-6546.2623,3314.5766,-3727.8341,3778.2209,5483.2117,-5538.4593,-3922.6858,-5151.1865,-4899.4104,4934.0682,979.3245,-2757.8768,6083.6488,-3221.1983,369438.9550,379132.3540,360301.8174,361188.9826,361996.8177,362159.6765,370003.8403,367514.1450,165779618.7027,165815949.5793,165794149.1400,165785853.1196,366168.3857,165788607.8217,3864.4191,6335.7586,0.0000,-5394.1726,2713.9697,6277.4458,-3374.7826,-1374.2602,-3933.8208,186.1648,3730.8285,2182.2573,4181.0447,5579.2470,4282.0363,-3991.4757,-6234.5598,-3125.4242,-4096.9551,396.9201,-3054.4590,-5073.6273,-1746.2274,5732.3947,6033.8373,6270.0856,1822.5619,3423.4380,-329.8718,3625.1395,-4082.6521,3232.5586,2650.2696,5244.7128,-2154.3043,5159.9150,3415.6396,2160.5747,5616.9571,4755.5911,-2780.3682,2701.0003,-5581.9900,-3883.0174,-3397.5916,-2841.0455,6800.6213,-3587.5406,1448.4014,-4531.5205,-6117.0334,-4268.0849,1767.2040,-4487.0167,2776.4743,-3124.2898,-6092.4382,-867.8847,5785.5153,-3884.6172,-452.2001,-3170.8703,-2230.4859,-4857.2287,-1595.0663,5579.9666,-1806.4745,487.7026,-4382.6085,2686.9607,-3301.9626,4477.0090,-5065.3715,-3840.2717,-5923.8658,-1713.0697,4172.5788,-6041.4898,-6684.4000,603.8497,-1149.2651,-5542.7756,-207.4739,5644.8738,-4622.4894,-2298.4599,319.1823,-5885.8385,-1966.1311,2247.6945,2662.1737,930.6625,-2800.0732,794.2709,3313.4870,1227.2625,-6123.2405,5930.3473,692.1356,6107.0699,65486.1540,53164.3036,64655.4652,65925.3932,57320.2123,59670.0005,62181.6015,64036.3342,47484189.6835,47429709.8227,47441170.5939,47474639.6770,62840.1380,47465884.4671,-4310.7878,-2783.6440,0.0000,4365.1132,2528.5465,-2636.5518,5209.5552,5527.4191,-5377.4875,-4696.4075,2650.6001,-6527.9297,-2815.4380,-2280.1390,2910.6866,5507.7803,2529.7277,-4550.8678,-4702.5143,-5316.9191,-4617.0558,-3574.2710,-311.5206,-2297.2582,3157.2264,-2350.4091,2827.4918,1965.2466,-1740.7318,-5475.3748,4831.6106,4083.4322,-3862.3325,4342.4531,4455.0779,-2806.1930,-5147.9965,4225.9521,3885.5211,2820.5776,-5183.3301,-4485.8193,-2152.6180,5450.1898,4364.5094,4875.1928,1309.0672,-580.4643,-836.0166,4992.6764,-2694.7965,-3528.2584,4441.1326,-5019.8562,5118.5849,4540.6905,-318.2855,41.0104,-3639.7705,-967.1798,5147.8521,-4096.7853,-3661.9183,-4678.4478,-5416.1889,3917.8066,4416.6979,370.6646,4960.5007,-4762.1121,-2848.6232,-4145.9147,4716.5237,5059.8194,-3301.7356,2391.7274,4620.2321,1784.5070,1367.2387,-1524.4986,-3054.1642,-3149.3235,-5312.0135,3852.3362,-5008.0881,-6192.3017,-2195.5205,1530.7718,-5229.5331,-5333.3306,-3300.3396,4005.9659,-4864.1987,4554.5670,-3411.8555,-4715.7066,-3056.7126,-2246.6902,-3271.6587,-358.0474,45343.2211,45542.7477,44477.4988,48216.0615,49643.5646,39534.0873,36550.7242,44435.8412,40197421.0489,40201433.5681,40189953.2890,40196070.2174,44346.9564,40196198.1990,
300.000,3404.9072,-894.3953,0.0000,-801.3403,6587.0114,1076.6823,-4674.8594,3130.3752,-450.7518,4790.6169,5175.6331,-924.1312,-3082.6461,-1819.2615,-3898.7580,-3108.5623,-2933.7881,-4950.5978,706.1646,-4498.3389,3679.9114,1224.5204,-6569.4439,3814.0188,317.5352,3128.5955,-4752.5034,6572.2699,-5982.0796,3705.7946,174.8509,-5674.4930,-4933.3183,3202.6155,-5000.8938,4185.1107,-907.1352,5074.4343,2797.1645,-2360.8103,2645.8819,-4083.5759,-4256.9127,-3611.5695,-4256.4786,-4165.0961,1564.6080,-5792.5451,6413.6575,-2746.9968,-2797.7682,2333.5133,5052.0836,35.9026,-2357.1137,3062.7624,-4104.1062,6231.4596,1762.1904,-6392.6619,-5284.9114,4192.3395,-6464.7563,-634.0888,3493.6190,1877.0411,4532.7383,-6336.0264,-3863.1302,4275.6988,3793.1312,3686.2866,-2254.3765,1530.3566,-2879.9370,5866.4251,-769.3477,-4297.2379,-2575.0069,6874.1082,4978.9124,-3434.4269,4737.0682,1538.2486,-625.4191,-2104.2710,-6710.0618,1873.3048,-4962.0329,4152.0676,5457.3972,-5888.3913,-4124.3323,-4259.9646,-4530.8621,5328.5020,-283.6858,-1708.7868,6576.2477,-1957.1947,367989.7441,377985.3956,358956.1399,359877.7976,360611.0221,360790.4164,368547.6408,366030.7846,164707092.3665,164744322.7111,164722328.9355,164712790.8934,364785.2468,164716161.9783,2166.0764,5071.9727,0.0000,-6396.1534,1667.9148,5364.6696,-2436.4278,-3374.2652,-4848.2779,-1943.4281,2083.6956,-70.9733,4532.2170,5490.7634,5534.6614,-3063.2058,-6213.7076,-1118.0191,-4182.9187,2446.4127,-4785.5596,-4873.2170,-478.3049,4328.0161,6671.0805,5069.8843,2180.2219,2135.5430,960.1622,2112.8317,-4086.6718,3388.1723,4230.6718,5026.5071,-9.0052,3568.6695,4024.5381,44.0566,4410.7447,5220.8721,-4602.8032,4451.9657,-5494.5450,-3228.9263,-1390.2822,-744.4595,6178.5042,-2779.2363,146.0220,-3086.0309,-4809.3928,-4486.4939,-371.6164,-5638.5207,4589.8228,-4844.9347,-5153.5960,-2318.1549,4930.8372,-2574.4695,1389.0128,-4782.6589,-1103.0085,-5112.6195,-3607.5726,4741.4450,-3761.5280,1660.8284,-4190.5201,614.6549,-3929.4848,2611.6432,-4732.1228,-5375.6283,-4673.7307,-3318.1965,5042.7592,-5427.1980,-5803.6168,-611.6216,-2661.3175,-3990.5293,-2215.1490,4919.8957,-5587.2183,-2660.9227,1593.1127,-5865.6517,-276.3193,111.9466,710.5313,2528.7136,-693.8921,2753.3454,4773.8880,-858.9937,-6763.2468,6681.2551,-973.7200,6282.4745,73661.6320,61056.7395,72486.4505,73645.3549,65015.2513,67348.1374,69912.0740,71818.5878,51097280.7883,51043374.3516,51054561.9749,51087767.7673,70563.7853,51079034.5837,-5657.3467,-4659.4021,0.0000,2574.3672,792.0592,-4066.0297,4366.5632,5154.4287,-4773.1019,-4624.3845,4080.6202,-6871.2131,-4206.8116,-3790.5741,1231.4240,5341.3934,803.9712,-4715.0445,-5358.9775,-4579.6032,-3385.4982,-4750.2697,-2085.2095,-3804.1992,1854.2225,-3547.7664,4567.0158,472.9716,-3348.2234,-5431.5779,5353.7396,2085.6125,-2370.1192,3514.1108,4653.3253,-4195.7166,-5479.9167,4664.9595,4542.4358,3892.1515,-4317.1409,-3206.0816,-58.4176,4889.1046,5212.5175,5444.0486,2704.2779,-2639.9687,-2563.5360,5453.2924,-4115.3763,-4719.4310,4720.2559,-4002.9019,4277.5342,3881.7360,-2091.1328,-1498.2326,-4395.2472,578.8987,4218.1968,-2671.2606,-2125.2451,-4605.5915,-4753.1011,4523.5711,3641.6129,2137.4503,3901.5709,-5418.6657,-4231.6279,-5073.7377,4521.9526,4063.4419,-4214.4390,939.2006,4512.8960,276.4697,2753.8235,281.8055,-4056.7046,-4447.1335,-4531.3208,4503.5481,-3990.6361,-5669.0558,-431.1296,3165.7701,-4517.5073,-5524.4076,-4215.2297,2559.9964,-5422.5106,4709.0361,-1814.5911,-4354.0100,-1397.3890,-487.3107,-1996.0377,-2127.5377,45309.5991,45390.6070,44441.4797,47920.9247,49604.5113,39620.4325,36288.3957,43813.8441,40197044.7294,40200596.7686,40189023.0197,40195961.6865,44209.2109,40195561.9169,
600.000,2688.8103,-1057.7820,0.0000,-1523.1546,6748.9136,2404.3341,-5997.0024,2094.6555,-2270.3675,4062.1620,4690.8418,-818.8053,-1117.0307,-40.1487,-2887.3698,-4787.1817,-3968.2252,-5280.5263,-1464.5968,-4257.7940,2876.6506,-747.5153,-5814.7513,4192.3937,1868.3687,4192.3981,-2939.2328,6814.8730,-4690.7346,4944.4646,-2000.4786,-6176.2927,-4306.2405,4862.0660,-4831.1427,4348.5134,1245.6455,4694.5291,4225.2778,-304.9614,1572.7512,-3381.3880,-4539.1193,-5261.9677,-4060.4576,-4010.9941,2964.4911,-5097.2657,5494.9941,-4094.3785,-3575.9742,274.8573,4648.8207,-1472.1749,-1191.2204,1677.4023,-4575.4582,5066.1609,3463.3916,-6521.6623,-5504.4793,3435.6037,-6881.9493,-2706.4522,2701.8321,3629.3941,3643.1342,-5168.8521,-5362.3986,3933.6082,1841.8766,4059.6996,-4160.7158,236.8665,-4140.1436,5001.8246,1282.1393,-5296.2288,-3753.5218,6348.9982,3357.5546,-3959.0142,4621.2779,3351.3477,-2197.7166,-4009.4090,-6205.1688,219.1431,-5691.9132,4175.5843,4939.5967,-5667.6859,-3966.5341,-2995.0377,-3710.8037,5247.1223,-1502.9010,-494.6844,6442.5755,-477.7853,366345.0212,376672.9181,357451.1362,358408.0984,359064.2087,359263.6095,366927.6067,364292.7822,163555832.4555,163593949.2556,163571763.3459,163561009.1918,363239.1460,163564980.1518,214.6106,3262.3179,0.0000,-6754.8757,459.1706,3912.7399,-1297.7439,-5052.9073,-5303.8692,-3889.8961,202.6561,-2316.3836,4476.4923,4888.2493,6221.2316,-1885.1757,-5579.5731,984.2436,-3899.6729,4230.8255,-6033.7752,-4234.9650,859.8714,2483.5180,6667.4022,3383.9043,2376.2048,644.4773,2191.5394,435.5043,-3713.8671,3147.9693,5375.5471,4350.9677,2134.6351,1611.4026,4285.8004,-2083.8961,2802.1133,5215.1474,-5959.5025,5732.6590,-4848.9498,-2305.0557,768.7460,1431.2762,4961.1646,-1659.2404,-1198.4819,-1364.5428,-3027.6627,-4310.5214,-2478.7872,-6253.6330,5911.0093,-6103.8624,-3690.9634,-3546.0376,3608.3541,-1007.7200,3060.5577,-5902.9887,111.2542,-4912.6420,-5262.6674,3454.2533,-5345.8645,2691.2067,-3622.9257,-1529.9522,-4212.6672,475.7514,-3982.8543,-6389.0721,-2985.5012,-4574.9733,5437.4625,-4287.2387,-4359.3335,-1769.2155,-3954.0440,-2036.7068,-3982.2468,3734.9410,-6019.9118,-2788.4462,2703.3310,-5287.6033,1402.6766,-2027.0645,-1328.4688,3851.4359,1487.6118,4466.1269,5728.8297,-2847.2921,-6731.7437,6764.9799,-2528.5182,5845.0128,81790.4979,68925.5065,80286.0490,81335.4966,72680.7985,74999.4528,77609.0766,79472.1534,54686165.9204,54632855.8716,54643771.1527,54676629.5392,78257.0681,54667981.7158,-6404.7503,-6040.1960,0.0000,509.1054,-1032.7303,-5038.6484,3039.0975,4225.9758,-3633.2214,-4059.1384,5070.6684,-6483.3538,-5144.1251,-4892.7839,-582.7148,4596.3946,-1008.4623,-4374.4965,-5418.9457,-3339.6796,-1790.0880,-5415.0196,-3633.4025,-4900.4812,352.5396,-4365.9075,5820.7325,-1070.1199,-4595.9992,-4801.6832,5254.1213,-135.7413,-622.5884,2307.7180,4332.2377,-5133.9694,-5208.4570,4597.1640,4711.8460,4546.5627,-2971.4197,-1569.2593,2041.9626,3794.6747,5489.4562,5422.5865,3808.9256,-4418.5981,-4013.8504,5308.8315,-5093.8253,-5403.1922,4493.3735,-2554.8268,2931.1400,2805.9873,-3638.1371,-2868.6856,-4661.1684,2062.4957,2831.9984,-955.6151,-357.2537,-4036.0273,-3578.4503,4621.2538,2475.8340,3671.1466,2420.9194,-5496.3070,-5157.8268,-5426.5345,3842.2253,2628.5315,-4674.4739,-619.6755,3897.3834,-1261.2649,3844.1769,2057.5564,-4629.1702,-5261.4151,-3263.8247,4655.1040,-2539.5619,-4450.7839,1379.8620,4460.7764,-3275.7791,-5120.7851,-4679.5536,836.2397,-5380.7686,4358.0838,-13.9840,-3527.4416,412.8963,1324.6684,-507.4931,-3667.6172,45270.9251,45238.3150,44404.9874,47620.7311,49561.9249,39712.9595,36031.1770,43220.8822,40196667.5788,40199759.6053,40188094.0120,40195851.1448,44071.4342,40194925.4741,
