sl_100_5400_20270130 Coordinates.csv
2027/01/30 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:26 2024,
Start: 2027/01/30 07:47:00.00, Stop: 2027/01/30 09:17:00.00,
TIME_UNITS,STARLINK-5932 - X-Coordinate,STARLINK-4709 - X-Coordinate,STARLINK-4716 - X-Coordinate,STARLINK-2608 - X-Coordinate,STARLINK-5300 - X-Coordinate,STARLINK-4374 - X-Coordinate,STARLINK-2062 - X-Coordinate,STARLINK-30192 - X-Coordinate,STARLINK-30090 - X-Coordinate,STARLINK-1788 - X-Coordinate,STARLINK-6344 - X-Coordinate,STARLINK-3278 - X-Coordinate,STARLINK-6307 - X-Coordinate,STARLINK-3814 - X-Coordinate,STARLINK-31883 - X-Coordinate,STARLINK-30119 - X-Coordinate,STARLINK-31189 - X-Coordinate,STARLINK-5742 - X-Coordinate,STARLINK-5731 - X-Coordinate,STARLINK-30233 - X-Coordinate,STARLINK-6240 - X-Coordinate,STARLINK-32160 - X-Coordinate,STARLINK-31683 - X-Coordinate,STARLINK-11290 [DTC] - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-4021 - X-Coordinate,STARLINK-11270 [DTC] - X-Coordinate,STARLINK-1291 - X-Coordinate,STARLINK-32048 - X-Coordinate,STARLINK-30707 - X-Coordinate,STARLINK-2507 - X-Coordinate,STARLINK-32106 - X-Coordinate,STARLINK-32235 - X-Coordinate,STARLINK-5200 - X-Coordinate,STARLINK-31562 - X-Coordinate,STARLINK-3931 - X-Coordinate,STARLINK-3306 - X-Coordinate,STARLINK-2244 - X-Coordinate,STARLINK-1167 - X-Coordinate,STARLINK-31156 - X-Coordinate,STARLINK-31090 - X-Coordinate,STARLINK-3837 - X-Coordinate,STARLINK-3146 - X-Coordinate,STARLINK-3112 - X-Coordinate,STARLINK-30764 - X-Coordinate,STARLINK-31567 - X-Coordinate,STARLINK-1300 - X-Coordinate,STARLINK-30351 - X-Coordinate,STARLINK-31565 - X-Coordinate,STARLINK-2335 - X-Coordinate,STARLINK-30953 - X-Coordinate,STARLINK-5890 - X-Coordinate,STARLINK-30819 - X-Coordinate,STARLINK-4725 - X-Coordinate,STARLINK-30309 - X-Coordinate,STARLINK-6364 - X-Coordinate,STARLINK-31841 - X-Coordinate,STARLINK-1970 - X-Coordinate,STARLINK-11243 [DTC] - X-Coordinate,STARLINK-3971 - X-Coordinate,STARLINK-30492 - X-Coordinate,STARLINK-31167 - X-Coordinate,STARLINK-31383 - X-Coordinate,STARLINK-1938 - X-Coordinate,STARLINK-31819 - X-Coordinate,STARLINK-32202 - X-Coordinate,STARLINK-3653 - X-Coordinate,STARLINK-6273 - X-Coordinate,STARLINK-6337 - X-Coordinate,STARLINK-3660 - X-Coordinate,STARLINK-2086 - X-Coordinate,STARLINK-4752 - X-Coordinate,STARLINK-31216 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-32131 - X-Coordinate,STARLINK-5458 - X-Coordinate,STARLINK-2600 - X-Coordinate,STARLINK-2723 - X-Coordinate,STARLINK-11168 [DTC] - X-Coordinate,STARLINK-5889 - X-Coordinate,STARLINK-31461 - X-Coordinate,STARLINK-3229 - X-Coordinate,STARLINK-3283 - X-Coordinate,STARLINK-30956 - X-Coordinate,STARLINK-31817 - X-Coordinate,STARLINK-5109 - X-Coordinate,STARLINK-1423 - X-Coordinate,STARLINK-30335 - X-Coordinate,STARLINK-11164 [DTC] - X-Coordinate,STARLINK-4766 - X-Coordinate,STARLINK-3101 - X-Coordinate,STARLINK-3203 - X-Coordinate,STARLINK-2098 - X-Coordinate,STARLINK-5479 - X-Coordinate,STARLINK-31316 - X-Coordinate,STARLINK-31267 - X-Coordinate,STARLINK-1908 - X-Coordinate,STARLINK-5622 - X-Coordinate,STARLINK-31901 - X-Coordinate,STARLINK-1903 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5932 - Y-Coordinate,STARLINK-4709 - Y-Coordinate,STARLINK-4716 - Y-Coordinate,STARLINK-2608 - Y-Coordinate,STARLINK-5300 - Y-Coordinate,STARLINK-4374 - Y-Coordinate,STARLINK-2062 - Y-Coordinate,STARLINK-30192 - Y-Coordinate,STARLINK-30090 - Y-Coordinate,STARLINK-1788 - Y-Coordinate,STARLINK-6344 - Y-Coordinate,STARLINK-3278 - Y-Coordinate,STARLINK-6307 - Y-Coordinate,STARLINK-3814 - Y-Coordinate,STARLINK-31883 - Y-Coordinate,STARLINK-30119 - Y-Coordinate,STARLINK-31189 - Y-Coordinate,STARLINK-5742 - Y-Coordinate,STARLINK-5731 - Y-Coordinate,STARLINK-30233 - Y-Coordinate,STARLINK-6240 - Y-Coordinate,STARLINK-32160 - Y-Coordinate,STARLINK-31683 - Y-Coordinate,STARLINK-11290 [DTC] - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-4021 - Y-Coordinate,STARLINK-11270 [DTC] - Y-Coordinate,STARLINK-1291 - Y-Coordinate,STARLINK-32048 - Y-Coordinate,STARLINK-30707 - Y-Coordinate,STARLINK-2507 - Y-Coordinate,STARLINK-32106 - Y-Coordinate,STARLINK-32235 - Y-Coordinate,STARLINK-5200 - Y-Coordinate,STARLINK-31562 - Y-Coordinate,STARLINK-3931 - Y-Coordinate,STARLINK-3306 - Y-Coordinate,STARLINK-2244 - Y-Coordinate,STARLINK-1167 - Y-Coordinate,STARLINK-31156 - Y-Coordinate,STARLINK-31090 - Y-Coordinate,STARLINK-3837 - Y-Coordinate,STARLINK-3146 - Y-Coordinate,STARLINK-3112 - Y-Coordinate,STARLINK-30764 - Y-Coordinate,STARLINK-31567 - Y-Coordinate,STARLINK-1300 - Y-Coordinate,STARLINK-30351 - Y-Coordinate,STARLINK-31565 - Y-Coordinate,STARLINK-2335 - Y-Coordinate,STARLINK-30953 - Y-Coordinate,STARLINK-5890 - Y-Coordinate,STARLINK-30819 - Y-Coordinate,STARLINK-4725 - Y-Coordinate,STARLINK-30309 - Y-Coordinate,STARLINK-6364 - Y-Coordinate,STARLINK-31841 - Y-Coordinate,STARLINK-1970 - Y-Coordinate,STARLINK-11243 [DTC] - Y-Coordinate,STARLINK-3971 - Y-Coordinate,STARLINK-30492 - Y-Coordinate,STARLINK-31167 - Y-Coordinate,STARLINK-31383 - Y-Coordinate,STARLINK-1938 - Y-Coordinate,STARLINK-31819 - Y-Coordinate,STARLINK-32202 - Y-Coordinate,STARLINK-3653 - Y-Coordinate,STARLINK-6273 - Y-Coordinate,STARLINK-6337 - Y-Coordinate,STARLINK-3660 - Y-Coordinate,STARLINK-2086 - Y-Coordinate,STARLINK-4752 - Y-Coordinate,STARLINK-31216 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-32131 - Y-Coordinate,STARLINK-5458 - Y-Coordinate,STARLINK-2600 - Y-Coordinate,STARLINK-2723 - Y-Coordinate,STARLINK-11168 [DTC] - Y-Coordinate,STARLINK-5889 - Y-Coordinate,STARLINK-31461 - Y-Coordinate,STARLINK-3229 - Y-Coordinate,STARLINK-3283 - Y-Coordinate,STARLINK-30956 - Y-Coordinate,STARLINK-31817 - Y-Coordinate,STARLINK-5109 - Y-Coordinate,STARLINK-1423 - Y-Coordinate,STARLINK-30335 - Y-Coordinate,STARLINK-11164 [DTC] - Y-Coordinate,STARLINK-4766 - Y-Coordinate,STARLINK-3101 - Y-Coordinate,STARLINK-3203 - Y-Coordinate,STARLINK-2098 - Y-Coordinate,STARLINK-5479 - Y-Coordinate,STARLINK-31316 - Y-Coordinate,STARLINK-31267 - Y-Coordinate,STARLINK-1908 - Y-Coordinate,STARLINK-5622 - Y-Coordinate,STARLINK-31901 - Y-Coordinate,STARLINK-1903 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5932 - Z-Coordinate,STARLINK-4709 - Z-Coordinate,STARLINK-4716 - Z-Coordinate,STARLINK-2608 - Z-Coordinate,STARLINK-5300 - Z-Coordinate,STARLINK-4374 - Z-Coordinate,STARLINK-2062 - Z-Coordinate,STARLINK-30192 - Z-Coordinate,STARLINK-30090 - Z-Coordinate,STARLINK-1788 - Z-Coordinate,STARLINK-6344 - Z-Coordinate,STARLINK-3278 - Z-Coordinate,STARLINK-6307 - Z-Coordinate,STARLINK-3814 - Z-Coordinate,STARLINK-31883 - Z-Coordinate,STARLINK-30119 - Z-Coordinate,STARLINK-31189 - Z-Coordinate,STARLINK-5742 - Z-Coordinate,STARLINK-5731 - Z-Coordinate,STARLINK-30233 - Z-Coordinate,STARLINK-6240 - Z-Coordinate,STARLINK-32160 - Z-Coordinate,STARLINK-31683 - Z-Coordinate,STARLINK-11290 [DTC] - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-4021 - Z-Coordinate,STARLINK-11270 [DTC] - Z-Coordinate,STARLINK-1291 - Z-Coordinate,STARLINK-32048 - Z-Coordinate,STARLINK-30707 - Z-Coordinate,STARLINK-2507 - Z-Coordinate,STARLINK-32106 - Z-Coordinate,STARLINK-32235 - Z-Coordinate,STARLINK-5200 - Z-Coordinate,STARLINK-31562 - Z-Coordinate,STARLINK-3931 - Z-Coordinate,STARLINK-3306 - Z-Coordinate,STARLINK-2244 - Z-Coordinate,STARLINK-1167 - Z-Coordinate,STARLINK-31156 - Z-Coordinate,STARLINK-31090 - Z-Coordinate,STARLINK-3837 - Z-Coordinate,STARLINK-3146 - Z-Coordinate,STARLINK-3112 - Z-Coordinate,STARLINK-30764 - Z-Coordinate,STARLINK-31567 - Z-Coordinate,STARLINK-1300 - Z-Coordinate,STARLINK-30351 - Z-Coordinate,STARLINK-31565 - Z-Coordinate,STARLINK-2335 - Z-Coordinate,STARLINK-30953 - Z-Coordinate,STARLINK-5890 - Z-Coordinate,STARLINK-30819 - Z-Coordinate,STARLINK-4725 - Z-Coordinate,STARLINK-30309 - Z-Coordinate,STARLINK-6364 - Z-Coordinate,STARLINK-31841 - Z-Coordinate,STARLINK-1970 - Z-Coordinate,STARLINK-11243 [DTC] - Z-Coordinate,STARLINK-3971 - Z-Coordinate,STARLINK-30492 - Z-Coordinate,STARLINK-31167 - Z-Coordinate,STARLINK-31383 - Z-Coordinate,STARLINK-1938 - Z-Coordinate,STARLINK-31819 - Z-Coordinate,STARLINK-32202 - Z-Coordinate,STARLINK-3653 - Z-Coordinate,STARLINK-6273 - Z-Coordinate,STARLINK-6337 - Z-Coordinate,STARLINK-3660 - Z-Coordinate,STARLINK-2086 - Z-Coordinate,STARLINK-4752 - Z-Coordinate,STARLINK-31216 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-32131 - Z-Coordinate,STARLINK-5458 - Z-Coordinate,STARLINK-2600 - Z-Coordinate,STARLINK-2723 - Z-Coordinate,STARLINK-11168 [DTC] - Z-Coordinate,STARLINK-5889 - Z-Coordinate,STARLINK-31461 - Z-Coordinate,STARLINK-3229 - Z-Coordinate,STARLINK-3283 - Z-Coordinate,STARLINK-30956 - Z-Coordinate,STARLINK-31817 - Z-Coordinate,STARLINK-5109 - Z-Coordinate,STARLINK-1423 - Z-Coordinate,STARLINK-30335 - Z-Coordinate,STARLINK-11164 [DTC] - Z-Coordinate,STARLINK-4766 - Z-Coordinate,STARLINK-3101 - Z-Coordinate,STARLINK-3203 - Z-Coordinate,STARLINK-2098 - Z-Coordinate,STARLINK-5479 - Z-Coordinate,STARLINK-31316 - Z-Coordinate,STARLINK-31267 - Z-Coordinate,STARLINK-1908 - Z-Coordinate,STARLINK-5622 - Z-Coordinate,STARLINK-31901 - Z-Coordinate,STARLINK-1903 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,0.0000,-6855.9446,5428.8085,5236.3655,-185.6350,1889.1414,2384.3325,-3216.7508,2062.6644,1130.7573,-1980.7161,-493.9764,6588.0007,3834.4605,1654.2856,-1750.2106,1667.8119,-239.3114,-6332.2651,-2132.3093,4040.0187,-2359.7012,-5774.0074,-3795.8637,-218.0881,-274.7711,-4355.3550,-5313.5857,-3298.0056,-4889.1026,-6442.5642,-5964.8395,-3385.8312,3788.0274,4178.4638,6474.6263,661.4691,-5151.1697,-2459.8402,-832.5979,2073.9050,978.7961,-2615.4556,-4865.1713,1671.9488,-1927.2501,-2344.8698,4672.4007,-4736.6205,-4317.8283,5931.0574,-2858.6392,2849.8340,-4662.0423,-5851.3000,5892.2313,0.0000,-1002.9799,-4516.2055,-2162.4671,4184.7768,-5898.0861,-4790.0032,-1581.7719,5454.6792,3282.6974,4018.4918,2711.5073,-5924.4908,-176.4684,3514.4852,3080.2977,0.0000,462.5947,4017.3395,4836.7181,3029.4325,-4122.5519,-2967.8645,-2185.0120,3496.8473,-489.3942,6375.2050,-5914.0976,4631.8826,3215.6670,862.9984,-5439.7254,-2572.0072,-6687.0346,-1105.4770,5026.2065,3740.7354,6336.4399,-4380.9129,6372.1621,-4147.0649,-3302.1281,0.0000,1322.2938,-343814.5912,-353398.1558,-341572.5897,-339952.5155,-348538.5993,-346089.6373,-345442.6742,-344487.9110,-9375809.7920,-9392631.9804,-9365356.7034,-9358560.1094,-343982.4348,-9360045.9715,0.0000,706.2094,-576.4956,-3379.2162,2557.1124,-2087.0359,-4755.3862,-3939.4187,5259.1526,4765.8117,4666.9485,6898.5138,1923.5016,-1740.7421,5976.7816,6252.1697,-5847.7264,6548.4619,2693.9703,-5049.6520,3161.0113,4786.2609,-3572.0765,-5275.1564,-4173.0455,-5497.9321,-72.9654,-983.7033,-5870.3988,1586.4526,114.7634,2452.1285,3271.8941,-1276.2396,-4175.3243,-2076.8407,4594.6960,-4721.9083,-4712.0010,4995.5163,6508.2276,6685.5048,3252.0334,-4821.5228,-6490.3757,-5841.1879,6488.6222,-2010.3144,4240.6760,2137.8475,3102.2726,-5572.7416,5762.4473,1330.6982,3503.3464,-1335.7952,0.0000,6835.7683,2653.2028,3750.7919,3336.8068,-3516.7247,1999.4714,6165.2890,-1071.9411,4648.4302,-1709.0449,-4379.3735,1761.3922,6865.4787,2160.0059,4771.7296,0.0000,4980.5347,-714.9964,1725.2715,-6208.2145,-483.1945,-6002.4550,-4883.6712,-5845.3731,-4801.8850,1912.1497,-1824.2616,-3052.5733,-3215.4362,-6411.9130,-44.1402,3291.6085,1262.1621,5205.0968,1190.6853,4201.7718,-448.0601,3216.1080,-2432.4609,1747.3523,6084.5620,0.0000,-5042.5891,-119891.3282,-135524.3963,-119219.3445,-120646.2348,-119705.4948,-120265.0776,-128550.3140,-123189.5495,-105443370.5649,-105461400.7822,-105445226.1901,-105444348.5624,-124867.2705,-105451887.6631,0.0000,567.3353,-4255.5026,2929.9861,-6461.0773,6320.8070,4354.3076,-4734.1878,4006.2800,4867.6721,4716.4143,-148.8694,-1008.8915,-5475.3397,2875.7185,-2411.7404,3140.7050,-2183.6191,-804.6993,-4240.5969,-4657.6288,4239.5768,176.7433,-1341.7746,5378.1801,4159.0263,5150.6730,4270.4753,1047.2458,-4538.3914,-2503.0918,-2214.4213,-4886.6150,-5314.6723,3402.7301,-1227.8973,5130.3184,-278.0946,-4418.4844,4719.7771,-423.4972,1486.9594,5502.2946,926.0753,1388.6071,-2953.3163,-524.0816,-4709.5229,-2497.9857,4662.3341,1521.5392,2959.5880,-2581.5162,4919.8940,1206.1163,-3393.1519,0.0000,-20.2682,-4028.3773,5393.0862,4369.6130,32.9595,4463.6839,-2701.3419,3902.2258,-3752.9522,5331.9202,-4640.0193,3135.6258,-730.8441,5475.6870,3937.8302,0.0000,-4661.4485,-5442.5855,4606.4685,372.5700,5510.3429,-828.3523,4429.3393,134.1993,4932.0398,-1878.7952,3151.9800,3952.2789,-5211.8232,2381.1468,4264.3671,-5289.4992,-1246.5868,4434.4049,-4580.2305,4014.8970,2807.4346,4133.6743,138.7806,5066.0440,-166.3299,0.0000,-4514.8205,-154876.4404,-152717.8321,-154356.4665,-150021.0749,-149029.5086,-159300.0683,-161854.5401,-154724.3420,23550352.9509,23532024.9119,23577785.1240,23570172.1618,-154205.9473,23560168.3251,
300.000,0.0000,-6242.9081,4116.4399,4849.5539,1757.3596,3689.8650,1230.4565,-4752.8190,3922.9300,3001.9895,92.1699,726.7871,6485.3327,3101.7516,2704.0946,24.1289,-245.4354,1333.9726,-5274.9659,-4025.5010,5334.9835,-379.5052,-6234.3540,-4811.0767,-2309.0938,-1801.2993,-4822.6510,-6228.6092,-4065.5179,-4988.3432,-5484.7442,-5484.9691,-1338.2835,3050.8805,2278.9513,6080.3977,2603.4550,-5759.2160,-4191.3878,1303.8021,3429.6281,2195.4348,-994.1994,-5306.6370,290.3455,-3277.7492,-1047.5149,3518.9050,-3023.7299,-4086.0393,6642.2805,-4462.6567,3956.1431,-3148.3187,-5015.6478,4646.4865,0.0000,235.3731,-2657.5392,-30.1814,4884.7963,-6378.8909,-3080.6708,-395.9787,4247.2013,3860.9355,3573.8294,956.0224,-4599.6503,1028.0948,4440.6991,4662.6794,0.0000,2575.6631,3478.3400,4349.8888,1842.8497,-4259.3416,-3816.1767,-2384.8647,2008.3251,-2209.0618,5969.1941,-6690.2970,2869.7119,2202.8126,-376.4557,-5717.5258,-514.1013,-6442.6880,-479.5739,6040.8156,4140.3131,5128.3396,-3455.5366,5541.6430,-2527.0695,-1847.7906,0.0000,-600.8018,-341448.8828,-350579.4382,-338739.9514,-337239.4562,-345838.7076,-343413.0386,-342687.6922,-341911.0614,-7065115.5512,-7081615.5610,-7055335.5479,-7048573.6355,-341254.6719,-7049429.9828,0.0000,1853.5095,-2049.1292,-4729.1089,3381.5714,-2835.3039,-6052.2193,-2464.0017,4866.7469,4953.5784,5234.8358,6604.6066,316.8845,-3716.9135,4621.7588,5921.4129,-5472.9032,6738.2381,3881.4340,-4544.6805,1513.5816,4464.3616,-2081.3038,-4538.8744,-3501.8709,-4264.3545,1916.4973,459.3322,-4719.6440,3373.3850,1419.9859,3980.8968,3891.9652,-3326.4664,-4809.7937,-3224.4276,4862.6435,-3662.4051,-4532.3755,5137.0405,5811.9369,6555.6281,4630.0798,-3548.4924,-6117.3857,-4475.4559,6451.4849,-3825.5078,4917.3439,4007.1812,1739.2391,-5049.1542,4302.2022,2799.0991,4766.5849,-2859.8846,0.0000,6671.8825,3460.3654,4180.1042,1320.9232,-2058.8537,3116.6080,6829.4572,-2784.5058,2836.9489,-3709.7691,-5506.5902,3159.2526,6740.3172,194.1166,4468.8452,0.0000,4558.6993,-2819.2912,-269.1298,-6514.5695,1665.8282,-4937.5029,-3106.6458,-6291.9816,-3574.0153,471.1152,-293.4753,-4191.5212,-4926.7137,-6856.4637,1909.4493,4086.7729,2450.3948,6380.7194,-278.8657,2311.8367,-1085.9352,4947.7475,-3725.7288,3197.9810,6530.3670,0.0000,-4376.9058,-127384.0575,-142982.4720,-126487.3556,-127933.8151,-126921.5774,-127484.5344,-135705.3504,-130391.5816,-105620628.8816,-105639232.7917,-105622536.7424,-105621489.0403,-132091.1796,-105629109.8628,0.0000,2319.4062,-5174.8173,1254.2013,-5812.3472,5124.5505,3023.9192,-4429.5212,2984.7500,3762.9622,4531.8373,-1932.4346,-2444.6278,-4926.8698,4245.7003,-3594.0992,4099.7251,-712.2020,-2264.7832,-3341.3437,-4153.7799,5133.7898,1704.4515,506.9247,5365.7042,5113.2514,4312.2886,2908.6492,2757.1663,-3278.2906,-3962.7246,-739.1621,-5395.4304,-4883.4748,4257.2204,586.9567,4179.6063,1514.0385,-3107.6959,4454.1216,1127.4841,-319.1392,5027.5654,2643.2237,3051.4913,-3974.2361,-2276.2196,-4586.6712,-3654.0475,3496.4108,-10.4598,1612.7079,-3720.5107,5472.4173,-333.6047,-4272.6277,0.0000,1769.9503,-4963.0848,5509.1919,4703.7665,-1500.2257,5257.5435,-995.6414,4508.1534,-4849.7915,4580.6067,-4101.6618,4107.8156,1086.3454,5219.8110,2466.8432,0.0000,-4397.5267,-5121.0171,5345.5528,-1431.7037,5165.5895,-2569.4689,5733.7264,1662.8624,5472.9572,-3463.6488,1847.6015,4535.7757,-4325.8047,637.1780,3385.1802,-5334.7645,566.6681,2661.2650,-3328.6430,5025.2611,4551.5221,3196.4607,-1404.3914,5412.4154,1367.2737,0.0000,-5296.2358,-154983.4219,-152809.1948,-154336.4864,-150255.0524,-149004.8666,-159164.3759,-162067.2661,-154334.6725,23550475.2554,23532193.3038,23578046.3089,23570593.4848,-154287.3527,23560446.0364,
600.000,0.0000,-5007.2731,2426.9289,3985.5042,3485.5343,5122.2499,-13.8739,-5856.9620,5392.2454,4552.7261,2140.6010,1897.0458,5766.2618,2115.1452,3523.9903,1822.5020,-2159.3950,2769.7899,-3700.2795,-5521.5751,6137.3318,1666.1137,-6059.5051,-5284.8139,-4178.1923,-3196.6052,-4817.1524,-6530.8276,-4439.1355,-4610.1209,-3994.8689,-4449.5525,840.8485,2030.1294,142.9382,5075.5385,4265.5603,-5823.9958,-5490.5085,3305.0861,4449.2991,3197.2945,682.6043,-5242.2443,-1153.1068,-4333.0637,377.2176,2063.8456,-994.8188,-3447.6347,6689.6437,-5624.6587,4714.6279,-1356.4859,-3690.3460,2968.4873,0.0000,1470.0957,-502.0081,2094.2551,5152.2338,-6230.7778,-1075.3124,818.0838,2629.9810,4094.5999,2822.9418,-862.6627,-2841.1298,2142.1861,4966.2314,5767.7577,0.0000,4431.5314,2635.0631,3482.2860,458.5401,-4028.3087,-4283.3947,-2418.1612,300.2500,-3751.9309,4989.7846,-6826.6186,827.9020,1019.0234,-1570.8355,-5463.9703,1576.5441,-5554.8529,160.1607,6468.3560,4184.4539,3405.2522,-2211.0014,4141.6867,-677.7196,-201.8469,0.0000,-2496.8839,-338918.3022,-347601.9103,-335757.2294,-334375.0054,-342986.5648,-340583.1547,-339783.8252,-339133.4608,-4751146.8012,-4767313.2770,-4742036.3791,-4735317.6724,-338375.2451,-4735540.5712,0.0000,2842.5312,-3369.3337,-5593.7474,3930.9397,-3210.9113,-6742.6957,-786.6949,4028.8028,4684.4596,5335.6128,5656.7807,-1341.3630,-5332.2144,2795.6861,5038.3809,-4577.8402,6268.6933,4713.3202,-3630.5400,-248.8503,3732.3917,-361.2721,-3283.2582,-2526.1825,-2635.7662,3675.3664,1826.0012,-3065.3220,4795.9871,2626.8421,5097.5660,4165.0552,-5016.6766,-4995.5685,-4055.8291,4690.6488,-2237.5984,-3933.0936,4821.8127,4524.6079,5773.2749,5583.9079,-1902.7434,-5130.3097,-2664.3256,5784.5561,-5291.8557,5130.4005,5426.2408,202.3368,-4048.2373,2425.0349,4039.8689,5568.8521,-4144.1181,0.0000,5844.6047,3932.4287,4256.4486,-815.3367,-383.1013,3971.8982,6813.4528,-4244.7400,726.9379,-5336.3698,-6127.4716,4288.7360,5940.0734,-1761.2589,3745.7900,0.0000,3719.7027,-4637.5914,-2264.2152,-6180.4760,3637.7766,-3332.5970,-1007.2377,-6103.0067,-2033.4818,-1050.6572,1248.3605,-4944.7939,-6159.5503,-6613.3121,3657.9902,4501.7581,3400.8411,6905.1082,-1686.8051,184.0447,-1673.2338,6177.0935,-4652.3511,4361.8797,6346.5584,0.0000,-3323.7465,-134849.8161,-150380.4846,-133699.2672,-135165.7635,-134080.3261,-134650.2672,-142799.0273,-137661.9137,-105747261.8801,-105766429.7474,-105749251.7491,-105748046.1247,-139255.5547,-105755710.4162,0.0000,3821.0627,-5539.3960,-558.4934,-4548.4877,3378.8153,1362.0856,-3654.7578,1643.0752,2251.5003,3861.4434,-3507.9779,-3619.3045,-3846.5780,5142.1650,-4391.1515,4603.1926,836.3689,-3482.1191,-2084.2615,-3205.2252,5451.2195,3037.9713,2293.5440,4749.7529,5513.3577,2974.4573,1229.7693,4156.2180,-1655.8064,-4995.3444,819.3042,-5290.8388,-3863.5068,4633.1446,2338.2212,2779.8618,3147.9449,-1461.4070,3710.6211,2552.8543,-2090.9098,4010.0995,4074.6187,4374.9097,-4549.9017,-3783.4964,-3973.7371,-4401.9864,1918.2699,-1541.3296,92.8351,-4460.9520,5434.4090,-1837.5262,-4694.9795,0.0000,3368.4935,-5287.1860,5033.2431,4530.3709,-2868.2708,5468.5656,817.5764,4602.0026,-5402.3100,3331.6407,-3124.8739,4640.2664,2785.7231,4388.1684,729.6164,0.0000,-3644.0610,-4221.1589,5505.4347,-3081.8411,4261.5356,-4012.6843,6429.5249,3003.7837,5421.6795,-4675.6443,346.5806,4608.3670,-2974.3398,-1176.1474,2140.9106,-4761.0865,2318.7608,602.9784,-1716.4372,5493.7664,5811.4237,1901.6441,-2789.9112,5140.8942,2753.8259,0.0000,-5503.7247,-155087.4584,-152900.6856,-154316.3229,-150494.0236,-148983.6780,-159022.4455,-162274.6839,-153941.5404,23550602.1834,23532363.0887,23578298.7286,23570995.9299,-154368.6682,23560723.8628,
