sl_5_86400_20270503 Coordinates.csv
2027/05/03 07:47:00.0000 UTC

Generated: Tue Oct  8 17:06:42 2024,
Start: 2027/05/03 07:47:00.00, Stop: 2027/05/04 07:47:00.00,
TIME_UNITS,STARLINK-32181 - X-Coordinate,STARLINK-6103 - X-Coordinate,STARLINK-5450 - X-Coordinate,STARLINK-11164 [DTC] - X-Coordinate,STARLINK-31754 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-32181 - Y-Coordinate,STARLINK-6103 - Y-Coordinate,STARLINK-5450 - Y-Coordinate,STARLINK-11164 [DTC] - Y-Coordinate,STARLINK-31754 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-32181 - Z-Coordinate,STARLINK-6103 - Z-Coordinate,STARLINK-5450 - Z-Coordinate,STARLINK-11164 [DTC] - Z-Coordinate,STARLINK-31754 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2824.2935,-2047.5803,-1253.0651,4017.2382,532.3637,-352347.7748,-342536.1572,-358955.0853,-357812.3666,-358617.8660,-358032.9800,-349848.1473,-353475.9179,156026107.8603,156002909.0260,156015949.3724,156008208.3578,-353498.1208,156009451.5805,-5943.1144,-4967.9109,-5167.3693,4704.3540,5316.3539,168821.6523,143800.5227,158685.5219,159828.7845,151224.4476,153515.1947,154498.4741,155571.2896,23570984.6445,23585591.6572,23569850.2703,23560361.5460,155867.6315,23570912.9686,1772.5965,-4385.0283,-4426.0107,2657.2415,4189.8788,34866.2754,32643.1036,31555.0858,35356.2088,36743.6637,26614.3415,23673.2279,33189.2150,41441653.3438,41432178.5324,41411115.6886,41433300.4573,31454.5424,41429823.5604,
3600.000,577.5397,4997.2426,3772.0662,-5479.2611,-4624.2759,-384580.9950,-366967.8801,-385558.9834,-384089.4235,-386083.3073,-385004.7414,-378232.9569,-381290.5242,144628370.8936,144602993.0717,144615742.4389,144615697.0054,-380984.4164,144610910.0562,4432.6184,2090.0614,5764.3838,-3115.1826,-2820.1098,75806.4173,51831.4496,65855.6073,65650.3063,57015.5933,59326.1313,60629.4575,62037.5673,63241510.1391,63253327.4291,63247546.0161,63234735.6191,61952.6120,63241972.9865,-5150.4727,4313.8679,598.1972,2365.1165,-4109.9788,36699.6975,34092.6465,34335.9914,34750.6747,39340.1030,31341.9754,24128.0327,31282.4916,41438583.0784,41437011.8250,41411218.3218,41425689.8336,33083.3771,41427986.5931,
7200.000,-4680.1445,-6704.0607,-4434.7741,3965.3027,6750.0994,-392472.2616,-367378.9839,-387243.9861,-384275.7046,-388883.2231,-385829.0261,-382044.9537,-383503.8483,123326125.8566,123300754.4407,123307644.0926,123311557.2600,-383972.3717,123307637.0881,-1801.4036,662.7344,-3909.4433,-1095.0070,-93.0753,-22903.0198,-43013.0087,-30992.1034,-33209.2251,-40897.1256,-36775.6118,-37493.7013,-35458.9705,98611981.7619,98619812.9285,98622810.2217,98614487.5282,-35761.2655,98612488.5116,4605.9852,-1635.2534,3575.5724,-5337.7715,773.5187,38458.3266,35526.8548,36778.3296,33557.5033,41462.0675,36568.2638,25255.4251,36382.0845,41434806.0321,41440755.6346,41412801.9131,41420243.6916,34709.3421,41426129.0962,
10800.000,6779.1631,5999.2536,4154.2489,-1474.0839,-5366.6730,-375170.5200,-343899.4147,-364020.9918,-359335.7015,-366971.5386,-360686.2437,-360898.9433,-362751.9641,93570174.1355,93547013.1831,93544300.4764,93545906.3040,-362319.8133,93550706.2954,-408.8032,-2798.5753,-103.6930,5478.6578,2714.4575,-120918.1323,-134626.6814,-125570.9528,-132476.5763,-136211.2620,-128064.5190,-133494.5451,-131645.5300,127258792.5509,127263000.0872,127270343.2252,127264950.4073,-130993.3213,127258805.8577,-595.1648,-2062.8983,-5532.4404,3622.2932,3155.2250,40153.9563,36949.2451,38663.1632,35533.5214,43123.4635,37036.9563,27020.4359,34684.8879,41430446.5059,41443061.4876,41415879.3072,41421626.3749,36332.2860,41424251.0565,
14400.000,-5138.7432,-2960.8766,-3684.4373,-736.7029,1286.0033,-333514.7285,-298176.2158,-317528.8025,-313618.2026,-321851.1429,-315248.4217,-316100.0264,-317259.5422,57390881.7188,57371422.5458,57358880.6128,57361005.1786,-317467.5398,57370743.3529,2222.3394,4368.8884,4263.1099,-6576.6522,-4827.3714,-211798.2954,-217147.7712,-211817.7339,-221489.0779,-222792.9097,-213321.4396,-221054.0211,-216576.5158,147216705.2688,147218851.2570,147224449.3087,147216983.5413,-217635.9738,147215781.9088,-3892.4689,4481.7449,3999.0155,1242.6674,-4612.4984,41794.7369,38362.4986,39920.1550,39706.2629,44313.2641,34918.6841,29424.3511,39355.0873,41425665.1931,41443977.7529,41420109.0181,41425936.7896,37952.0574,41422352.4609,
18000.000,836.4401,-1004.6556,2799.7800,2918.5598,2967.1116,-269995.8104,-233259.8170,-250870.6910,-248045.0859,-256487.5764,-250567.4567,-250586.5906,-252205.7278,17259676.2413,17244394.0493,17225535.0499,17231937.1545,-252343.0261,17239354.9789,-4051.6765,-5433.5100,-6321.7006,3389.2446,5611.4154,-289494.8811,-285328.8946,-284281.7310,-294942.7298,-295048.6577,-285836.4620,-294346.7312,-291397.5608,157113683.3795,157115928.9377,157114533.1152,157106391.8095,-290146.8395,157111590.4303,5406.7308,-4190.5050,16.3606,-5040.8582,2418.4642,43386.5252,39768.7669,40646.3771,43378.2919,44992.2123,33715.6988,32504.6834,38259.7918,41420648.7716,41443723.4561,41424672.6316,41428768.3426,39568.5045,41420433.2960,
21600.000,3222.2431,4147.2050,-635.4893,-4855.7012,-5222.8359,-188605.6238,-153402.0766,-168372.9128,-166503.7596,-175111.4541,-169815.2658,-168796.5098,-171798.8433,-24079752.2731,-24091423.4580,-24110948.0459,-24100496.5055,-171168.7711,-24099717.2556,5291.7564,5390.5566,5572.8093,1506.0670,-4012.5832,-348771.8635,-334865.3595,-338435.2346,-349003.4527,-348234.7005,-340247.8800,-348428.1740,-342543.5601,156265240.1265,156269803.3657,156259095.4335,156254004.8639,-343903.5075,156262016.0358,-2849.2410,1328.3689,-4051.1767,4409.6443,1665.9575,44933.6438,41169.8681,41080.2558,46470.9058,45082.3656,33399.8136,36341.9819,42142.4919,41415597.8132,41442535.2470,41428509.7083,41429153.2116,41181.4753,41418493.5489,
25200.000,-4925.7332,-5463.1875,-2752.9274,4930.5722,5137.6722,-94581.2549,-63779.7045,-75303.3810,-74229.1147,-82872.1362,-77876.3535,-76544.0745,-78132.2418,-63799024.6376,-63808564.7053,-63823382.4708,-63811998.2152,-79187.8747,-63818183.6621,-4316.3201,-3571.5903,-3108.0284,-4587.2618,8.8206,-385574.5281,-362661.3896,-370908.1281,-380576.1303,-378618.7985,-372741.3006,-379506.9281,-376710.1449,144721810.1604,144730537.7628,144711529.0959,144711946.2738,-375498.2602,144717754.6970,-1892.4727,2320.3874,5518.8725,59.2078,-4453.7378,46439.3376,42567.4209,41537.6328,49047.6437,44457.2170,33835.3155,41050.3210,41969.8323,41410713.7935,41440613.4400,41430832.4255,41427044.7544,42790.8179,41416533.2064,
28800.000,4385.1959,5210.7718,5901.0335,-1754.1638,-3529.3253,5939.2716,29838.7997,22431.2253,22832.1117,15125.2069,19399.7312,18696.7300,16185.0475,-99178598.1305,-99188173.3734,-99194818.2496,-99186776.7828,17675.2734,-99196708.6081,599.3873,36.2175,647.6337,4701.6396,4456.1123,-397320.5532,-367018.0504,-379663.3526,-387842.9645,-383267.2090,-381019.1393,-384805.3653,-382043.4924,123265855.6469,123279899.1902,123255802.6443,123261654.7770,-382953.9446,123261451.3689,5173.9416,-4576.9690,-3551.1131,-4497.9914,3714.8558,47906.0618,43962.9475,42327.0796,51149.0080,43243.8921,34942.4780,46255.9681,44799.2079,41406186.0431,41438114.7508,41431380.6839,41422558.7430,44396.3798,41414552.2553,
32400.000,-3022.6223,-4070.0077,-6793.3046,-3277.4661,1145.9825,106327.2201,121461.2067,118612.7443,118435.0614,114668.4627,115692.6480,110260.7141,114909.2234,-127793999.6414,-127806157.5310,-127803430.1885,-127802831.6213,113197.1904,-127811089.3906,4072.6401,3893.4776,1110.8595,-3118.7168,-6698.1951,-383092.5741,-347731.6839,-364124.5392,-370476.8869,-362856.4400,-364415.5972,-364225.9878,-366322.9507,93358857.1105,93378453.8239,93353203.0686,93361314.9239,-365847.3282,93354642.9314,-4559.7996,4029.1073,-672.2425,4980.7573,-63.3458,49335.6717,45357.9593,43667.1607,52788.9029,45200.0177,36686.3390,46701.7171,45759.7917,41402179.4849,41435159.0751,41430277.9374,41415954.6555,45998.0086,41412550.6824,
36000.000,1461.7172,2438.0974,4633.3168,6529.8154,1844.9666,199911.7185,205251.1408,207073.7516,206431.4518,205092.5575,204668.1324,196931.5254,199463.7774,-147682005.4852,-147699314.8504,-147687876.3488,-147696765.7226,201255.6804,-147698365.1842,-6639.6642,-6403.7187,-2549.7010,1209.7615,5427.0374,-343717.8479,-306097.3702,-325247.7236,-329693.9467,-321466.3652,-323949.7940,-323131.8010,-325385.4471,57041773.1324,57066144.2766,57043305.7109,57046674.5984,-325332.2705,57038203.1198,469.0075,-1047.4301,4443.8968,-1127.1578,-3656.3667,50729.5520,46754.0400,45627.8176,53956.2999,49350.5026,39068.1911,44561.3599,47392.2807,41398823.9531,41431838.1917,41427800.1559,41408154.9544,47595.5517,41410528.4748,
39600.000,732.4553,-112.3387,-648.4512,-5495.5296,-4799.9506,280436.0546,275895.2110,282093.6916,281142.2411,281000.1854,280415.0798,271904.7489,277882.3854,-157475367.4834,-157500038.6796,-157481750.8050,-157495689.9525,276222.6023,-157491474.2346,5498.7388,6429.0918,4208.3796,1121.0436,-1738.0019,-281728.2937,-244817.9398,-265510.2567,-268185.1639,-259743.0795,-262286.6521,-262304.5669,-263534.0263,16795746.3752,16823128.4587,16805317.8985,16794262.4040,-264061.5083,16793070.7869,3952.1237,-2595.9697,-5453.6898,-3735.4816,4476.0822,52088.7079,48152.9361,48111.5839,54611.9409,52999.1729,42125.5536,43335.4865,49561.3716,41396205.7835,41428223.0874,41424239.7326,41402595.4392,49188.8563,41408485.6192,
43200.000,-3725.2806,-2828.8184,-2925.5439,1274.9197,6236.6155,342490.1893,328934.7187,338803.2926,337671.8614,338403.8525,337838.1873,329662.5860,331984.1173,-156496830.1044,-156530361.1012,-156507632.7576,-156514052.5933,333323.8003,-156513222.1417,-1858.1439,-4294.4341,-5483.9813,-3933.0771,-2032.2216,-201202.4261,-167824.9641,-188786.1649,-189936.5245,-181325.6296,-183620.3426,-184674.5542,-186951.3654,-24627434.1455,-24599619.9360,-24610927.9647,-24637046.4292,-186012.3842,-24629234.4101,-5402.2674,4635.9930,3021.9267,5307.7170,-1783.5135,53413.8336,49556.6682,50879.6653,54677.8838,56067.5092,45938.9838,42995.7608,49991.7842,41394362.2216,41424369.4690,41419855.6670,41403879.9600,50777.7697,41406422.1026,
46800.000,6006.5068,5595.2940,4569.7801,2742.6788,-4682.6542,381889.3196,361041.4053,373548.7840,372079.1727,373999.9182,372940.0977,366180.7510,369881.2619,-144805967.0095,-144848866.1902,-144824112.8933,-144816966.6187,368943.1616,-144823102.3860,-1677.0793,1337.4657,5026.3745,5723.9162,4340.2057,-107498.9598,-80023.5945,-100093.9345,-99898.7676,-91247.5924,-93566.9363,-94928.1391,-95055.1528,-64393522.2761,-64368375.0491,-64372769.8745,-64402395.3757,-96228.0043,-64394730.6315,2740.6404,-3872.0688,1278.2368,-2258.2430,-2334.2025,54705.3694,50967.6813,53615.8947,54027.6396,58619.0647,50622.5469,43406.4787,53300.2650,41393279.0095,41420321.7627,41414864.8674,41408001.2959,52362.1389,41404337.9118,
50400.000,-5487.7139,-6765.4698,-4518.9823,-4395.2233,458.3690,395971.8518,370220.4083,384160.9495,381174.6176,385718.5322,382697.5936,378909.2738,380398.1407,-123195596.1925,-123247227.7696,-123222488.6793,-123204804.8647,380851.4333,-123213732.4806,3524.4850,1314.8282,-2089.7015,-4277.9950,-4978.8494,-6899.5329,13022.2541,-5233.3854,-3038.7731,4687.0047,537.8214,1225.7293,-1708.5082,-99779775.4485,-99760527.5684,-99758417.0093,-99782315.1519,-490.7191,-99780865.3072,1974.4569,730.0185,-4805.0287,-2790.3732,4592.7600,55963.5620,52389.0665,56011.4234,52788.6746,60694.3417,55802.0656,44487.9243,52662.5963,41392891.3085,41416115.9936,41409447.6690,41410615.7876,53941.8108,41402233.0339,
54000.000,1695.5214,5416.9606,3823.4376,4029.1231,4109.5839,383795.6558,355928.3426,370089.7055,365347.7167,372952.6400,366736.2581,366902.7643,368397.5753,-93137988.5407,-93196571.4136,-93173299.5846,-93150977.7115,368345.3333,-93157115.0740,-4051.2869,-3256.2363,-2248.1860,-378.2623,4334.6134,93815.4459,105444.3627,89642.2345,96510.1461,100308.5949,92106.7886,97540.5319,96136.7484,-128361403.3967,-128350993.3205,-128343273.1616,-128357712.7059,95050.8877,-128362914.0583,-5217.4363,2833.6632,5294.4743,5374.5546,-3247.1447,57188.5503,53824.9080,57847.4507,54719.4154,62307.2434,56219.3791,46205.1436,56905.1733,41393087.8975,41411781.8673,41403756.5700,41410781.5041,55516.6324,41400107.4557,
57600.000,3157.1954,-1971.3462,-3057.2566,-2885.3495,-6356.4928,346218.7248,319099.9410,332396.1319,328405.8963,336627.9695,330106.5219,330890.8844,332551.9440,-56684526.8800,-56747294.7488,-56726316.3957,-56704750.9585,332288.3012,-56704367.2930,4032.3178,4711.7169,5682.9669,5130.2936,-2308.6650,187828.8391,191442.1364,178459.5839,188097.9720,189471.9070,179943.6981,187684.1843,183488.9332,-148177730.1391,-148178397.6297,-148166107.5434,-148171634.8271,184277.3931,-148180125.4097,4487.6585,-4692.1051,-2489.2809,-3278.6875,-676.5673,58380.5271,55280.8703,59053.8208,58842.1467,63446.7401,54051.4402,48559.4357,55457.8357,41393718.3750,41407344.2914,41397924.6056,41408455.2975,57086.4504,41397961.1642,
61200.000,-5980.3810,-1958.5881,1646.7336,971.7251,5343.3563,285859.1622,262082.7509,273625.4532,270711.7511,279153.2748,273312.3084,273257.3449,274665.2262,-16325664.1974,-16389168.2263,-16370789.1768,-16353007.4810,275050.5905,-16345748.5983,-3250.4180,-5533.1055,-6442.2064,-6444.5259,-1079.7367,268754.6305,265649.2288,255613.8763,266250.0399,266428.2219,257165.6029,265675.8342,261905.3802,-157866680.4188,-157879646.2704,-157863673.3795,-157863423.6615,261490.8516,-157870227.0143,-380.9491,3676.3417,-1907.2829,-1708.7137,4048.1825,59540.1057,56765.2677,59727.7839,62461.9573,64073.5729,52797.1777,51588.3276,60317.6265,41394602.8981,41402824.5024,41392072.5779,41403753.0617,58651.1118,41395794.1463,
64800.000,5441.0597,4674.8472,995.5786,2115.8175,-2305.5666,206940.1160,188485.9832,197601.2172,195644.4624,204258.4008,199030.7436,197941.0980,200698.9807,25179248.7275,25118737.9096,25134515.9923,25148900.2978,200352.8753,25159460.8661,755.4542,5098.0469,4574.8876,3738.6100,4785.2436,331078.3708,323473.3065,316288.2302,326838.9192,326143.7023,318112.1187,326282.8737,321739.0550,-156758368.9485,-156783649.2358,-156764527.6878,-156762067.2793,321778.8527,-156763066.5472,-4040.0520,-441.8891,5077.6075,5177.9966,-4244.4595,60669.2755,58291.2148,60107.8916,65500.5116,64109.8010,52428.1070,55372.3848,58414.1354,41395543.8296,41398240.9140,41386315.2748,41396937.1372,60210.4632,41393606.3890,
68400.000,-2759.8594,-5552.9511,-4361.2819,-5305.0426,-944.2091,115040.8733,102957.8629,109176.4262,108021.7572,116680.9313,111735.5446,110345.4475,112924.8896,64990631.1407,64936682.5032,64949885.7905,64964606.2027,113023.7311,64971609.5784,3134.9463,-2781.2058,-1718.4040,360.4522,-6641.6001,370537.5465,361390.9004,356706.0095,366362.5979,364478.4725,358559.2346,365312.1769,361052.0351,-144921369.5267,-144957752.5026,-144935591.3256,-144931880.3605,361327.0470,-144926950.8036,5376.2757,-3085.4129,-5088.7564,-4138.6891,1078.3662,61774.3332,59881.5493,60510.0250,68021.3770,63428.9537,52808.5335,60025.6644,63500.7420,41396338.5358,41393609.7652,41380767.0534,41388947.8874,61764.3514,41391397.8793,
72000.000,41.6756,4974.8991,6622.1275,5938.3034,3382.4431,16813.8665,10922.5990,13957.5381,13488.3275,21232.8469,16978.4362,17651.2462,18474.9562,100382932.9619,100338541.6813,100348944.9826,100367229.7903,18686.8437,100364953.8339,-6277.3632,-991.1952,-618.7622,-3134.3052,5114.5359,384411.3108,377186.1395,374331.8691,382505.3443,377993.3483,375710.7750,379501.1287,378086.2880,-123158478.6619,-123203665.0678,-123178217.7409,-123168203.5558,377660.2557,-123164479.2953,-2663.6102,4712.0528,1885.2157,-543.3529,2920.6441,62877.3929,61582.4565,61242.6985,70065.0568,62158.8389,53858.7522,65173.5441,61548.6027,41396792.5089,41388945.6267,41375547.1800,41383275.2754,63312.6234,41389168.6042,
75600.000,1887.9745,-3690.1309,-6101.1733,-2617.0757,-4901.4526,-80057.9230,-81616.4947,-82003.4118,-81879.1941,-78048.9590,-79085.5291,-73650.0748,-75952.2268,128931201.2470,128898462.9916,128905367.0730,128920350.0491,-76601.7452,128914274.9499,6207.5011,4722.0511,2102.4364,4009.3432,-861.8064,371730.9631,370125.1588,368031.0103,374381.9078,366792.6414,368343.5548,368200.1640,369385.9584,-92952242.5624,-93003122.9104,-92973991.7542,-92953050.6581,369796.9381,-92958122.8664,-2092.7463,-3488.5203,2472.6254,4727.6198,-4633.0763,64088.6940,63514.7229,62524.3373,71645.4535,64058.6828,55543.8177,65556.9106,66444.8620,41396731.9630,41384261.8025,41370785.2405,41384459.3779,64855.1258,41386918.5506,
79200.000,-3435.3704,1873.0342,2823.1189,-2673.9788,5128.0511,-165466.3376,-167498.2649,-172560.3654,-171956.0741,-170547.1211,-170143.9763,-162399.7572,-167698.9386,148677189.1508,148657104.8439,148659226.3183,148662018.2909,-166742.9114,148661057.8716,-2669.5945,-6672.4499,-3427.5874,-3905.3255,-3559.0827,336306.3451,340500.1552,338176.2955,342624.9892,334408.5736,336895.0753,336144.3617,338522.3720,-56363950.9755,-56416971.8950,-56383920.0072,-56359460.5856,338307.4094,-56369237.2809,5237.2352,119.2815,-5306.5464,-4796.4142,2677.8921,66386.4155,66160.8972,64424.6990,72751.5367,68148.1472,57865.0367,63355.8771,64857.2687,41396015.0878,41379570.6576,41366626.7285,41388389.7629,66391.7056,41384647.7055,
82800.000,4785.0388,599.9264,1356.9706,6048.2957,-3359.6451,-241326.7379,-241833.6879,-251867.9501,-250940.1964,-250725.8903,-250162.5909,-241652.6205,-244733.4106,158263639.0390,158256068.4807,158251590.2523,158242469.1465,-245985.1839,158247844.5736,-1979.9427,6059.8515,4788.2324,2891.9072,5743.5721,287727.5258,285564.7505,286673.9153,289354.0498,280913.2415,283460.8098,283552.8215,285438.7402,-15892982.2611,-15944542.5288,-15907866.5716,-15890134.0509,285272.4131,-15897390.9939,-4438.1115,3299.1546,4790.7024,648.6374,1372.4053,69328.7456,69050.7823,66846.1379,73344.0474,71733.5841,60859.9440,62067.7116,69168.6348,41394541.2320,41374883.8916,41363238.3901,41390786.0545,67922.2097,41382356.0561,
86400.000,-4764.2844,-3603.9315,-4224.9480,-5373.6307,-475.9647,-305759.5126,-302336.1864,-314793.5479,-313673.4432,-314331.8734,-313785.4535,-305619.6984,-310581.0864,157027541.7721,157031298.3737,157018117.0008,157003523.1719,-309291.8847,157011545.8605,4866.4124,-3571.4123,-5319.1229,-216.2723,-5197.5510,221156.9366,212856.4786,216874.5517,218031.8997,209415.0750,211713.5929,212838.6501,213563.6442,25693904.9815,25647087.7027,25686189.2357,25690937.4585,214145.0609,25690393.0425,254.2079,-4728.4910,-1296.2166,4045.4084,-4357.6957,71681.5828,70969.3235,69549.7328,73345.0466,74736.8424,64609.1144,61663.7819,68314.9771,41392257.4204,41370212.7747,41360811.5228,41390731.5903,69446.4851,41380043.5894,
