sl_100_5400_20271013 Coordinates.csv
2027/10/13 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:54 2024,
Start: 2027/10/13 07:47:00.00, Stop: 2027/10/13 09:17:00.00,
TIME_UNITS,STARLINK-31912 - X-Coordinate,STARLINK-4334 - X-Coordinate,STARLINK-3812 - X-Coordinate,STARLINK-2413 - X-Coordinate,STARLINK-30702 - X-Coordinate,STARLINK-4122 - X-Coordinate,STARLINK-30477 - X-Coordinate,STARLINK-11155 [DTC] - X-Coordinate,STARLINK-2699 - X-Coordinate,STARLINK-1609 - X-Coordinate,STARLINK-5279 - X-Coordinate,STARLINK-31664 - X-Coordinate,STARLINK-31627 - X-Coordinate,STARLINK-1213 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-4340 - X-Coordinate,STARLINK-31120 - X-Coordinate,STARLINK-4601 - X-Coordinate,STARLINK-2119 - X-Coordinate,STARLINK-5079 - X-Coordinate,STARLINK-1206 - X-Coordinate,STARLINK-1505 - X-Coordinate,STARLINK-30936 - X-Coordinate,STARLINK-31470 - X-Coordinate,STARLINK-1680 - X-Coordinate,STARLINK-5971 - X-Coordinate,STARLINK-32103 - X-Coordinate,STARLINK-31160 - X-Coordinate,STARLINK-3127 - X-Coordinate,STARLINK-5910 - X-Coordinate,STARLINK-4494 - X-Coordinate,STARLINK-2182 - X-Coordinate,STARLINK-5532 - X-Coordinate,STARLINK-11081 [DTC] - X-Coordinate,STARLINK-4034 - X-Coordinate,STARLINK-31783 - X-Coordinate,STARLINK-31544 - X-Coordinate,STARLINK-32075 - X-Coordinate,STARLINK-2384 - X-Coordinate,STARLINK-4560 - X-Coordinate,STARLINK-5725 - X-Coordinate,STARLINK-6081 - X-Coordinate,STARLINK-3549 - X-Coordinate,STARLINK-5797 - X-Coordinate,STARLINK-4546 - X-Coordinate,STARLINK-5000 - X-Coordinate,STARLINK-6298 - X-Coordinate,STARLINK-1966 - X-Coordinate,STARLINK-3460 - X-Coordinate,STARLINK-32134 - X-Coordinate,STARLINK-3167 - X-Coordinate,STARLINK-31710 - X-Coordinate,STARLINK-2058 - X-Coordinate,STARLINK-4055 - X-Coordinate,STARLINK-4505 - X-Coordinate,STARLINK-4650 - X-Coordinate,STARLINK-5040 - X-Coordinate,STARLINK-6209 - X-Coordinate,STARLINK-4706 - X-Coordinate,STARLINK-5028 - X-Coordinate,STARLINK-4452 - X-Coordinate,STARLINK-32009 - X-Coordinate,STARLINK-2227 - X-Coordinate,STARLINK-3241 - X-Coordinate,STARLINK-6365 - X-Coordinate,STARLINK-4734 - X-Coordinate,STARLINK-30913 - X-Coordinate,STARLINK-31320 - X-Coordinate,STARLINK-30929 - X-Coordinate,STARLINK-30539 - X-Coordinate,STARLINK-4323 - X-Coordinate,STARLINK-1408 - X-Coordinate,STARLINK-4678 - X-Coordinate,STARLINK-5867 - X-Coordinate,STARLINK-31558 - X-Coordinate,STARLINK-31268 - X-Coordinate,STARLINK-2588 - X-Coordinate,STARLINK-31245 - X-Coordinate,STARLINK-6167 - X-Coordinate,STARLINK-4708 - X-Coordinate,STARLINK-3985 - X-Coordinate,STARLINK-31307 - X-Coordinate,STARLINK-2520 - X-Coordinate,STARLINK-30754 - X-Coordinate,STARLINK-31248 - X-Coordinate,STARLINK-3192 - X-Coordinate,STARLINK-3723 - X-Coordinate,STARLINK-5997 - X-Coordinate,STARLINK-5314 - X-Coordinate,STARLINK-1808 - X-Coordinate,STARLINK-11255 [DTC] - X-Coordinate,STARLINK-31605 - X-Coordinate,STARLINK-5836 - X-Coordinate,STARLINK-31140 - X-Coordinate,STARLINK-30449 - X-Coordinate,STARLINK-3130 - X-Coordinate,STARLINK-1738 - X-Coordinate,STARLINK-6168 - X-Coordinate,STARLINK-31388 - X-Coordinate,STARLINK-31186 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31912 - Y-Coordinate,STARLINK-4334 - Y-Coordinate,STARLINK-3812 - Y-Coordinate,STARLINK-2413 - Y-Coordinate,STARLINK-30702 - Y-Coordinate,STARLINK-4122 - Y-Coordinate,STARLINK-30477 - Y-Coordinate,STARLINK-11155 [DTC] - Y-Coordinate,STARLINK-2699 - Y-Coordinate,STARLINK-1609 - Y-Coordinate,STARLINK-5279 - Y-Coordinate,STARLINK-31664 - Y-Coordinate,STARLINK-31627 - Y-Coordinate,STARLINK-1213 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-4340 - Y-Coordinate,STARLINK-31120 - Y-Coordinate,STARLINK-4601 - Y-Coordinate,STARLINK-2119 - Y-Coordinate,STARLINK-5079 - Y-Coordinate,STARLINK-1206 - Y-Coordinate,STARLINK-1505 - Y-Coordinate,STARLINK-30936 - Y-Coordinate,STARLINK-31470 - Y-Coordinate,STARLINK-1680 - Y-Coordinate,STARLINK-5971 - Y-Coordinate,STARLINK-32103 - Y-Coordinate,STARLINK-31160 - Y-Coordinate,STARLINK-3127 - Y-Coordinate,STARLINK-5910 - Y-Coordinate,STARLINK-4494 - Y-Coordinate,STARLINK-2182 - Y-Coordinate,STARLINK-5532 - Y-Coordinate,STARLINK-11081 [DTC] - Y-Coordinate,STARLINK-4034 - Y-Coordinate,STARLINK-31783 - Y-Coordinate,STARLINK-31544 - Y-Coordinate,STARLINK-32075 - Y-Coordinate,STARLINK-2384 - Y-Coordinate,STARLINK-4560 - Y-Coordinate,STARLINK-5725 - Y-Coordinate,STARLINK-6081 - Y-Coordinate,STARLINK-3549 - Y-Coordinate,STARLINK-5797 - Y-Coordinate,STARLINK-4546 - Y-Coordinate,STARLINK-5000 - Y-Coordinate,STARLINK-6298 - Y-Coordinate,STARLINK-1966 - Y-Coordinate,STARLINK-3460 - Y-Coordinate,STARLINK-32134 - Y-Coordinate,STARLINK-3167 - Y-Coordinate,STARLINK-31710 - Y-Coordinate,STARLINK-2058 - Y-Coordinate,STARLINK-4055 - Y-Coordinate,STARLINK-4505 - Y-Coordinate,STARLINK-4650 - Y-Coordinate,STARLINK-5040 - Y-Coordinate,STARLINK-6209 - Y-Coordinate,STARLINK-4706 - Y-Coordinate,STARLINK-5028 - Y-Coordinate,STARLINK-4452 - Y-Coordinate,STARLINK-32009 - Y-Coordinate,STARLINK-2227 - Y-Coordinate,STARLINK-3241 - Y-Coordinate,STARLINK-6365 - Y-Coordinate,STARLINK-4734 - Y-Coordinate,STARLINK-30913 - Y-Coordinate,STARLINK-31320 - Y-Coordinate,STARLINK-30929 - Y-Coordinate,STARLINK-30539 - Y-Coordinate,STARLINK-4323 - Y-Coordinate,STARLINK-1408 - Y-Coordinate,STARLINK-4678 - Y-Coordinate,STARLINK-5867 - Y-Coordinate,STARLINK-31558 - Y-Coordinate,STARLINK-31268 - Y-Coordinate,STARLINK-2588 - Y-Coordinate,STARLINK-31245 - Y-Coordinate,STARLINK-6167 - Y-Coordinate,STARLINK-4708 - Y-Coordinate,STARLINK-3985 - Y-Coordinate,STARLINK-31307 - Y-Coordinate,STARLINK-2520 - Y-Coordinate,STARLINK-30754 - Y-Coordinate,STARLINK-31248 - Y-Coordinate,STARLINK-3192 - Y-Coordinate,STARLINK-3723 - Y-Coordinate,STARLINK-5997 - Y-Coordinate,STARLINK-5314 - Y-Coordinate,STARLINK-1808 - Y-Coordinate,STARLINK-11255 [DTC] - Y-Coordinate,STARLINK-31605 - Y-Coordinate,STARLINK-5836 - Y-Coordinate,STARLINK-31140 - Y-Coordinate,STARLINK-30449 - Y-Coordinate,STARLINK-3130 - Y-Coordinate,STARLINK-1738 - Y-Coordinate,STARLINK-6168 - Y-Coordinate,STARLINK-31388 - Y-Coordinate,STARLINK-31186 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31912 - Z-Coordinate,STARLINK-4334 - Z-Coordinate,STARLINK-3812 - Z-Coordinate,STARLINK-2413 - Z-Coordinate,STARLINK-30702 - Z-Coordinate,STARLINK-4122 - Z-Coordinate,STARLINK-30477 - Z-Coordinate,STARLINK-11155 [DTC] - Z-Coordinate,STARLINK-2699 - Z-Coordinate,STARLINK-1609 - Z-Coordinate,STARLINK-5279 - Z-Coordinate,STARLINK-31664 - Z-Coordinate,STARLINK-31627 - Z-Coordinate,STARLINK-1213 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-4340 - Z-Coordinate,STARLINK-31120 - Z-Coordinate,STARLINK-4601 - Z-Coordinate,STARLINK-2119 - Z-Coordinate,STARLINK-5079 - Z-Coordinate,STARLINK-1206 - Z-Coordinate,STARLINK-1505 - Z-Coordinate,STARLINK-30936 - Z-Coordinate,STARLINK-31470 - Z-Coordinate,STARLINK-1680 - Z-Coordinate,STARLINK-5971 - Z-Coordinate,STARLINK-32103 - Z-Coordinate,STARLINK-31160 - Z-Coordinate,STARLINK-3127 - Z-Coordinate,STARLINK-5910 - Z-Coordinate,STARLINK-4494 - Z-Coordinate,STARLINK-2182 - Z-Coordinate,STARLINK-5532 - Z-Coordinate,STARLINK-11081 [DTC] - Z-Coordinate,STARLINK-4034 - Z-Coordinate,STARLINK-31783 - Z-Coordinate,STARLINK-31544 - Z-Coordinate,STARLINK-32075 - Z-Coordinate,STARLINK-2384 - Z-Coordinate,STARLINK-4560 - Z-Coordinate,STARLINK-5725 - Z-Coordinate,STARLINK-6081 - Z-Coordinate,STARLINK-3549 - Z-Coordinate,STARLINK-5797 - Z-Coordinate,STARLINK-4546 - Z-Coordinate,STARLINK-5000 - Z-Coordinate,STARLINK-6298 - Z-Coordinate,STARLINK-1966 - Z-Coordinate,STARLINK-3460 - Z-Coordinate,STARLINK-32134 - Z-Coordinate,STARLINK-3167 - Z-Coordinate,STARLINK-31710 - Z-Coordinate,STARLINK-2058 - Z-Coordinate,STARLINK-4055 - Z-Coordinate,STARLINK-4505 - Z-Coordinate,STARLINK-4650 - Z-Coordinate,STARLINK-5040 - Z-Coordinate,STARLINK-6209 - Z-Coordinate,STARLINK-4706 - Z-Coordinate,STARLINK-5028 - Z-Coordinate,STARLINK-4452 - Z-Coordinate,STARLINK-32009 - Z-Coordinate,STARLINK-2227 - Z-Coordinate,STARLINK-3241 - Z-Coordinate,STARLINK-6365 - Z-Coordinate,STARLINK-4734 - Z-Coordinate,STARLINK-30913 - Z-Coordinate,STARLINK-31320 - Z-Coordinate,STARLINK-30929 - Z-Coordinate,STARLINK-30539 - Z-Coordinate,STARLINK-4323 - Z-Coordinate,STARLINK-1408 - Z-Coordinate,STARLINK-4678 - Z-Coordinate,STARLINK-5867 - Z-Coordinate,STARLINK-31558 - Z-Coordinate,STARLINK-31268 - Z-Coordinate,STARLINK-2588 - Z-Coordinate,STARLINK-31245 - Z-Coordinate,STARLINK-6167 - Z-Coordinate,STARLINK-4708 - Z-Coordinate,STARLINK-3985 - Z-Coordinate,STARLINK-31307 - Z-Coordinate,STARLINK-2520 - Z-Coordinate,STARLINK-30754 - Z-Coordinate,STARLINK-31248 - Z-Coordinate,STARLINK-3192 - Z-Coordinate,STARLINK-3723 - Z-Coordinate,STARLINK-5997 - Z-Coordinate,STARLINK-5314 - Z-Coordinate,STARLINK-1808 - Z-Coordinate,STARLINK-11255 [DTC] - Z-Coordinate,STARLINK-31605 - Z-Coordinate,STARLINK-5836 - Z-Coordinate,STARLINK-31140 - Z-Coordinate,STARLINK-30449 - Z-Coordinate,STARLINK-3130 - Z-Coordinate,STARLINK-1738 - Z-Coordinate,STARLINK-6168 - Z-Coordinate,STARLINK-31388 - Z-Coordinate,STARLINK-31186 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4289.0410,4647.1682,-5126.7425,-3332.4121,4400.0721,-2780.2937,1057.4103,-3956.6559,-3806.5025,-5124.2533,4859.4813,-2351.5320,-757.0778,0.0000,3436.4847,-500.3638,6903.9126,-5702.0480,-2640.3770,6373.1587,1135.6560,0.0000,4094.3579,-4453.6775,-2543.0379,5762.0501,4433.3420,6208.5264,-4093.6501,2706.5275,33.2548,5126.7449,-2168.2656,4894.8799,3800.0325,-4094.6407,1221.6753,-5482.8147,6366.8488,-2365.7143,1023.0519,-4519.3598,4773.3640,-733.6748,5133.4107,2376.9097,3456.0896,1598.6386,-4072.0759,2297.5759,-3642.2841,3746.5482,6741.3679,-3645.4996,2754.5314,-2924.4875,1501.8940,6343.0123,796.2115,3655.4387,5545.0765,2142.7203,6632.9617,-3817.3401,-4856.5965,2988.4252,-4682.9991,-5454.4565,740.9485,-3638.7803,-5346.3899,0.0000,5978.2023,-718.5327,4897.0761,0.0000,5750.6362,-5506.9849,-836.8260,-3724.6906,3208.2284,-4439.9034,-1779.9636,-1177.2754,-3419.2237,-4311.0954,-1141.9989,-4368.3221,6783.9573,-6402.0153,167.8446,-2676.7071,3342.8200,1899.8804,-4713.8928,2302.6726,-4145.1936,-6678.7610,5033.3757,5975.2498,323312.6391,329173.5060,331819.8374,331160.8669,335005.5718,333590.8600,325649.6867,327516.4091,37726032.7562,37735150.4405,37742096.8681,37736415.3827,328498.5853,37740248.3233,5247.8747,-1440.7672,-3687.1409,-4811.7055,126.5938,-6286.0887,-5414.9423,-827.7797,5656.0855,-3954.0689,3498.0885,4937.6543,-4272.7217,0.0000,2843.2022,4624.6749,-404.5425,1318.2182,3305.9099,2569.0771,-4338.4850,0.0000,-977.7519,3596.6584,-5792.9880,3526.4163,-2951.3130,1910.6688,-4809.8336,-4395.9031,4181.3110,-2146.7425,5258.3766,4429.1829,1777.4881,-3428.7853,6665.5238,886.6240,-1212.7007,393.0064,-6837.1566,2663.8418,1265.8566,-2453.5972,497.9411,-5990.4686,6000.1360,5812.8991,852.2059,-3366.8664,-3444.0369,-2754.2728,-824.6072,-3672.0913,4020.8559,-5527.8402,-6087.3208,-2524.8404,-5068.0814,2351.2291,-2943.1885,-6408.1046,-1810.7879,-1580.2336,2220.5855,-3965.7425,-3933.1185,-2774.2041,-5018.3519,-4848.5103,-2493.9024,0.0000,-3311.9698,-3437.6027,4728.2712,0.0000,1409.9935,3099.5462,-4991.6245,-2103.5710,3900.8630,-3486.9805,3954.4262,6442.1323,-5191.2207,658.1126,-5243.1461,-3360.0888,189.5240,-2626.4324,4749.9387,6031.1598,-4180.4146,-3912.6083,4988.4509,5620.6453,-168.2069,-1730.7577,-1242.7632,-2408.0614,-228110.1133,-204409.3217,-229449.9412,-229536.3922,-221806.3117,-223427.1304,-221799.1464,-224869.7033,294355432.7293,294412801.8780,294384777.4351,294357058.4856,-224311.2827,294365379.0643,-407.1405,-4966.4129,2780.3504,-3653.3626,5258.4790,-727.1857,4144.9092,-5340.6433,1021.6379,2357.1830,3425.0653,4056.9861,5294.9384,0.0000,-5061.3590,-5132.2461,-378.0307,3660.6835,-5454.3481,-770.5503,5253.2581,0.0000,5420.0480,-3729.0290,2787.2221,1509.0259,4218.8734,2394.5081,-2805.5073,-4634.2077,-5504.2754,-4133.8121,-4011.4707,-1341.5936,-5458.4320,4250.6210,-752.4930,-3981.2291,2492.3606,6493.0180,-362.0225,-4551.2288,4829.9198,-6470.6152,-4589.0991,-2516.7011,-321.1156,-3349.7142,-5559.9731,-5431.5514,-4717.6782,4915.8338,1279.3420,4564.5825,-4898.4576,-2045.7105,-2884.1307,-1223.6486,-4646.9130,5363.5035,-2932.5893,-1124.3653,628.7021,5514.8406,4416.0531,-4782.7229,-3031.3188,3026.7443,-4617.7878,-3350.5906,-3647.0930,0.0000,1047.1422,5993.3624,-314.2019,0.0000,3357.9123,2539.2387,4714.0584,-5442.3438,4678.8055,-3867.2987,-5377.8332,2260.4569,2921.6622,5351.6207,4270.6597,-4225.9876,-1498.9731,-54.8217,4740.2032,-1387.8802,4384.6071,5367.4153,-873.8931,3271.1841,-5512.7353,-669.5481,4431.0952,-2411.3632,6816.8577,4084.8648,5527.4689,8378.5638,10438.6195,606.8605,-3007.9930,3582.9689,-110519802.7294,-110533889.9377,-110545435.1716,-110533306.5661,4986.5888,-110530590.1592,
300.000,-2955.2604,3044.0773,-5105.8610,-4835.7382,4873.7833,-3814.5048,-1005.8059,-4023.1881,-2756.6015,-6123.2804,4808.1393,-238.1287,-2642.4005,0.0000,5058.9953,-798.9214,6587.1260,-4272.7377,-662.4890,6325.4416,-653.0345,0.0000,3063.9453,-3552.8697,-3383.1705,6557.6965,3540.7148,5922.1780,-5341.6365,661.1496,2155.0996,3462.2075,-1775.8984,5211.0889,4823.6053,-4805.4663,2676.8813,-5841.0144,6420.9679,-453.4317,-490.9701,-3594.8356,4187.2725,-2439.2049,5939.6242,806.8977,4614.6196,3076.8053,-3444.8371,367.2435,-5287.8880,1799.3915,5928.7610,-4053.2296,4569.9774,-3667.9833,-61.0419,5229.6484,-1075.0561,4155.7964,4620.8989,772.8220,5823.3715,-4413.1465,-3390.1867,912.5422,-5889.2455,-5147.7843,-1138.1658,-5206.2983,-5893.3329,0.0000,5333.6317,-2354.0966,5742.2138,0.0000,6577.9351,-5141.2582,-2906.6989,-4958.2659,4935.4982,-4931.7315,382.8244,540.2692,-4001.4475,-4363.9696,-2830.0844,-2789.2333,6009.2857,-6550.6907,1991.5454,-984.5094,1923.0555,-260.3428,-3256.4549,3763.1206,-4059.7109,-6591.5605,4692.4394,5537.2046,328017.6354,333474.6573,336390.1540,335765.8611,339696.4397,338260.2425,330384.5079,332592.3361,31291116.5062,31299178.3885,31306545.4831,31301873.4422,333171.2246,31305286.3424,6001.8501,-429.5738,-2010.5362,-4442.4867,-1853.6973,-5657.4400,-5004.4565,1379.1566,6270.7468,-3100.0824,1688.6430,5036.6593,-3170.6954,0.0000,1664.4294,2700.7743,-1584.4236,2505.1447,4217.0046,1245.8160,-5267.1199,0.0000,-2906.7009,5222.3645,-4340.7153,2221.6151,-4739.1999,128.7719,-4240.4107,-5066.4261,4234.2095,-3160.1763,6377.4668,3021.7880,-70.0807,-1409.6906,6216.5425,2488.0423,-2536.1815,-803.9129,-6802.1636,4491.7734,-742.8267,-1054.6585,-1098.5791,-5604.6296,5024.7249,5919.1102,2911.8111,-4384.9983,-2634.1491,-3671.9903,-1969.1774,-1668.9169,3522.6372,-4106.9355,-5432.2297,-3721.3958,-4229.2262,234.0268,-1956.8961,-6194.4292,-2845.9971,504.7413,3771.8752,-4163.9198,-3167.2175,-1053.5738,-4160.2017,-4057.4873,-3297.7149,0.0000,-4335.2365,-4388.1008,3450.8680,0.0000,154.3159,4397.5691,-4451.5407,-426.3978,3315.3581,-1472.9716,4175.3362,5965.2244,-3578.2867,2709.6829,-5532.7836,-2724.7816,-482.6253,-1390.4991,5300.0002,6065.3601,-5597.4618,-4164.7903,5645.2025,5544.9761,1987.9952,-156.8629,-3270.3916,-3963.5502,-221481.9992,-197392.6325,-222479.0467,-222462.8451,-214759.2779,-216359.8657,-214810.8187,-217689.9105,295109699.8168,295166902.5816,295138772.0111,295110739.2808,-217286.9604,295119576.7903,1149.3727,-6235.8532,4178.9586,-2114.8546,4456.0899,1089.3432,4642.5552,-5174.4101,-793.8418,610.1595,4645.5932,4575.3733,5461.1469,0.0000,-4140.0514,-6327.8025,1427.7993,4805.2092,-5424.8928,-2504.1933,4422.1892,0.0000,5409.3630,-2601.0227,4180.3755,-17.7354,3344.7338,3580.3215,-1108.9066,-4692.1456,-5020.8796,-5100.6488,-2143.9095,-3018.5144,-4911.4503,4637.3036,806.0803,-2524.9661,764.9037,6859.4626,1178.9307,-3889.3069,5441.6410,-6430.8858,-3341.5571,-3977.7791,1217.6395,-1746.2993,-5280.0433,-5171.9679,-3532.2163,5390.3685,2950.1071,5326.6499,-3801.3647,-3603.8291,-4258.0881,-2630.9877,-5373.9729,5506.7866,-4778.1011,-2822.5053,2372.5252,5268.1648,4721.8174,-5419.2114,-1363.0792,4356.0256,-5334.4139,-2095.7951,-1575.8690,0.0000,-769.4380,4846.8473,1236.6926,0.0000,1752.6604,801.3508,4425.2132,-4811.5308,3475.0579,-4510.0282,-5490.9765,3478.1538,4281.6659,4613.7701,2905.3412,-5747.2043,-3460.7698,1736.0908,3609.3037,-2779.0682,3586.7806,5505.1371,-2326.6914,1648.6775,-5212.5335,-2143.2719,3717.5817,-966.9338,7019.1406,4201.4950,5760.9374,8348.8624,10660.6581,975.3077,-2988.5357,3473.1653,-110523284.8834,-110537697.7237,-110549246.1055,-110536483.7462,5120.7724,-110534195.5068,
600.000,-1306.2587,1078.0126,-4613.1793,-5842.7335,4895.6804,-4478.9036,-2988.6374,-3710.4791,-1421.9233,-6502.9533,4322.0476,1907.9021,-4291.1855,0.0000,6153.4214,-922.0624,5615.6136,-2431.6746,1354.5954,5661.7188,-2341.7411,0.0000,1777.5367,-2316.8786,-3933.9631,6714.8461,2316.5324,5082.6856,-6049.6853,-1434.6209,4052.0946,1468.5429,-1231.5817,4993.6485,5404.8534,-5073.6274,3866.1253,-5614.7451,5848.2027,1555.6456,-1968.5072,-2361.2421,3239.3626,-3951.5877,6173.5501,-877.7166,5335.2298,4230.5716,-2538.4872,-1568.8577,-6400.0735,-319.7792,4526.1557,-4116.4175,5923.8690,-4030.6665,-1657.4028,3606.4276,-2876.7367,4303.1054,3159.2903,-705.1239,4426.1815,-4622.4286,-1624.3587,-1260.7500,-6479.3098,-4347.2880,-2938.5932,-6261.3130,-5786.3263,0.0000,4153.0903,-3708.8452,6007.6641,0.0000,6722.1396,-4245.9556,-4698.2955,-5737.0447,6160.1310,-4971.2077,2502.6883,2233.4231,-4225.4843,-4031.8628,-4206.9886,-951.9837,4630.7442,-6055.8309,3570.4314,833.4632,348.3788,-2389.3496,-1467.9779,4833.0707,-3627.6999,-5873.2456,3909.9639,4555.2961,332594.0579,337626.2187,340807.9331,340215.7390,344235.1544,342772.2710,334971.0246,337553.8773,24841255.9155,24848267.4853,24856062.8324,24852424.6763,337693.6405,24855383.4666,6141.1863,548.6259,-106.0461,-3648.9039,-3620.1001,-4458.1761,-4144.1608,3429.5063,6259.7889,-1940.3760,-314.5601,4665.1009,-1797.1831,0.0000,353.5034,481.0667,-2623.3239,3494.3125,4762.9489,-226.4285,-5707.1069,0.0000,-4568.9294,6314.6305,-2453.8819,700.3817,-6039.1708,-1691.5131,-3258.2514,-5291.1658,3922.2191,-3917.9242,6846.4973,1266.9136,-1874.9067,744.6366,5129.7833,3810.3128,-3602.7563,-1829.6504,-6105.4484,5892.4016,-2705.4759,384.1940,-2554.0922,-4691.7400,3555.3564,5443.3521,4697.8853,-4993.4140,-1598.8234,-4260.4161,-2950.8107,503.4453,2716.0438,-2202.3578,-4262.2056,-4583.0195,-3020.6116,-1894.1074,-814.9121,-5361.0254,-3622.9446,2517.6197,4993.2709,-4006.6340,-2087.5611,808.4183,-2927.6375,-2891.1037,-3760.7248,0.0000,-4933.9843,-4941.9593,1811.0444,0.0000,-1097.4247,5230.3493,-3520.4909,1252.1260,2435.2750,691.8509,4043.0199,4927.6224,-1592.2417,4476.4218,-5282.8392,-1727.6642,-1151.0643,1.8152,5305.3939,5476.5402,-6482.4825,-4064.8897,5769.5581,4926.8980,3941.7592,1451.3705,-4958.2036,-5118.3293,-214751.0934,-190286.4737,-215407.9777,-215289.6956,-207614.5478,-209196.5596,-207722.7792,-210363.9333,295723314.0690,295780325.6168,295752090.6153,295723817.2395,-210165.3377,295733120.0161,2574.7844,-6846.4210,5124.1608,-346.6296,3162.2920,2788.0109,4637.3190,-4396.5124,-2522.9572,-1203.4475,5361.9914,4578.1182,5022.4087,0.0000,-2738.8399,-6847.3392,3080.1140,5429.5424,-4809.1940,-3967.9336,3113.6915,0.0000,4803.8954,-1182.1179,5122.6102,-1542.6096,2090.9863,4381.4157,707.6138,-4249.8333,-3996.7878,-5521.7884,-49.4231,-4343.9254,-3829.0557,4505.1448,2273.8164,-786.5175,-1044.0416,6492.2456,2592.9639,-2813.6755,5466.1644,-5713.5601,-1732.0329,-5011.3383,2625.8157,47.0712,-4439.4120,-4325.3903,-1960.8846,5246.7225,4301.9470,5511.8732,-2293.8344,-4713.4689,-5171.0942,-3757.2563,-5525.0896,5055.0459,-6112.6013,-4207.7808,3859.0231,4449.0995,4522.5548,-5468.0081,458.1173,5197.7927,-5463.6907,-615.9351,663.9168,0.0000,-2503.0465,3186.3965,2648.0353,0.0000,-50.5637,-1026.9795,3660.4217,-3664.5840,1892.2338,-4652.0351,-5012.2522,4322.8327,5170.9061,3377.1296,1219.2742,-6658.7859,-5055.4287,3339.9110,2053.9513,-3847.4739,2403.3883,5049.3015,-3529.0798,-152.8058,-4348.0311,-3387.5864,2587.0063,583.5309,7218.8816,4318.1742,5993.1845,8314.2691,10879.2556,1350.0313,-2964.0475,3488.8094,-110526771.7974,-110541505.2132,-110553052.8852,-110539651.2167,5254.9535,-110537800.6811,
