sl_100_86400_20270512 Coordinates.csv
2027/05/12 07:47:00.0000 UTC

Generated: Tue Oct  8 16:25:46 2024,
Start: 2027/05/12 07:47:00.00, Stop: 2027/05/13 07:47:00.00,
TIME_UNITS,STARLINK-30173 - X-Coordinate,STARLINK-4053 - X-Coordinate,STARLINK-3284 - X-Coordinate,STARLINK-30171 - X-Coordinate,STARLINK-31796 - X-Coordinate,STARLINK-3914 - X-Coordinate,STARLINK-5344 - X-Coordinate,STARLINK-1917 - X-Coordinate,STARLINK-30823 - X-Coordinate,STARLINK-6227 - X-Coordinate,STARLINK-3666 - X-Coordinate,STARLINK-3943 - X-Coordinate,STARLINK-6332 - X-Coordinate,STARLINK-30756 - X-Coordinate,STARLINK-1500 - X-Coordinate,STARLINK-4211 - X-Coordinate,STARLINK-30135 - X-Coordinate,STARLINK-5878 - X-Coordinate,STARLINK-31539 - X-Coordinate,STARLINK-31104 - X-Coordinate,STARLINK-4411 - X-Coordinate,STARLINK-6207 - X-Coordinate,STARLINK-1393 - X-Coordinate,STARLINK-2727 - X-Coordinate,STARLINK-5863 - X-Coordinate,STARLINK-1184 - X-Coordinate,STARLINK-2659 - X-Coordinate,STARLINK-31841 - X-Coordinate,STARLINK-32180 - X-Coordinate,STARLINK-5852 - X-Coordinate,STARLINK-5187 - X-Coordinate,STARLINK-31829 - X-Coordinate,STARLINK-6198 - X-Coordinate,STARLINK-31962 - X-Coordinate,STARLINK-30411 - X-Coordinate,STARLINK-4636 - X-Coordinate,STARLINK-31500 - X-Coordinate,STARLINK-31587 - X-Coordinate,STARLINK-5086 - X-Coordinate,STARLINK-3798 - X-Coordinate,STARLINK-31905 - X-Coordinate,STARLINK-6281 - X-Coordinate,STARLINK-30777 - X-Coordinate,STARLINK-1171 - X-Coordinate,STARLINK-5338 - X-Coordinate,STARLINK-11289 [DTC] - X-Coordinate,STARLINK-5362 - X-Coordinate,STARLINK-2028 - X-Coordinate,STARLINK-31234 - X-Coordinate,STARLINK-4546 - X-Coordinate,STARLINK-3956 - X-Coordinate,STARLINK-30940 - X-Coordinate,STARLINK-30899 - X-Coordinate,STARLINK-3341 - X-Coordinate,STARLINK-4086 - X-Coordinate,STARLINK-31264 - X-Coordinate,STARLINK-1043 - X-Coordinate,STARLINK-30915 - X-Coordinate,STARLINK-3898 - X-Coordinate,STARLINK-6056 - X-Coordinate,STARLINK-30793 - X-Coordinate,STARLINK-1769 - X-Coordinate,STARLINK-2120 - X-Coordinate,STARLINK-32159 - X-Coordinate,STARLINK-31980 - X-Coordinate,STARLINK-3258 - X-Coordinate,STARLINK-2607 - X-Coordinate,STARLINK-5676 - X-Coordinate,STARLINK-1582 - X-Coordinate,STARLINK-11245 [DTC] - X-Coordinate,STARLINK-1580 - X-Coordinate,STARLINK-4039 - X-Coordinate,STARLINK-30962 - X-Coordinate,STARLINK-6209 - X-Coordinate,STARLINK-2153 - X-Coordinate,STARLINK-30080 - X-Coordinate,STARLINK-4580 - X-Coordinate,STARLINK-4656 - X-Coordinate,STARLINK-32012 - X-Coordinate,STARLINK-1890 - X-Coordinate,STARLINK-5755 - X-Coordinate,STARLINK-2005 - X-Coordinate,STARLINK-3195 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-3556 - X-Coordinate,STARLINK-31651 - X-Coordinate,STARLINK-4070 - X-Coordinate,STARLINK-2624 - X-Coordinate,STARLINK-1784 - X-Coordinate,STARLINK-31783 - X-Coordinate,STARLINK-31596 - X-Coordinate,STARLINK-3331 - X-Coordinate,STARLINK-5151 - X-Coordinate,STARLINK-30154 - X-Coordinate,STARLINK-30819 - X-Coordinate,STARLINK-11147 [DTC] - X-Coordinate,STARLINK-30973 - X-Coordinate,STARLINK-4570 - X-Coordinate,STARLINK-6174 - X-Coordinate,STARLINK-5071 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30173 - Y-Coordinate,STARLINK-4053 - Y-Coordinate,STARLINK-3284 - Y-Coordinate,STARLINK-30171 - Y-Coordinate,STARLINK-31796 - Y-Coordinate,STARLINK-3914 - Y-Coordinate,STARLINK-5344 - Y-Coordinate,STARLINK-1917 - Y-Coordinate,STARLINK-30823 - Y-Coordinate,STARLINK-6227 - Y-Coordinate,STARLINK-3666 - Y-Coordinate,STARLINK-3943 - Y-Coordinate,STARLINK-6332 - Y-Coordinate,STARLINK-30756 - Y-Coordinate,STARLINK-1500 - Y-Coordinate,STARLINK-4211 - Y-Coordinate,STARLINK-30135 - Y-Coordinate,STARLINK-5878 - Y-Coordinate,STARLINK-31539 - Y-Coordinate,STARLINK-31104 - Y-Coordinate,STARLINK-4411 - Y-Coordinate,STARLINK-6207 - Y-Coordinate,STARLINK-1393 - Y-Coordinate,STARLINK-2727 - Y-Coordinate,STARLINK-5863 - Y-Coordinate,STARLINK-1184 - Y-Coordinate,STARLINK-2659 - Y-Coordinate,STARLINK-31841 - Y-Coordinate,STARLINK-32180 - Y-Coordinate,STARLINK-5852 - Y-Coordinate,STARLINK-5187 - Y-Coordinate,STARLINK-31829 - Y-Coordinate,STARLINK-6198 - Y-Coordinate,STARLINK-31962 - Y-Coordinate,STARLINK-30411 - Y-Coordinate,STARLINK-4636 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,STARLINK-31587 - Y-Coordinate,STARLINK-5086 - Y-Coordinate,STARLINK-3798 - Y-Coordinate,STARLINK-31905 - Y-Coordinate,STARLINK-6281 - Y-Coordinate,STARLINK-30777 - Y-Coordinate,STARLINK-1171 - Y-Coordinate,STARLINK-5338 - Y-Coordinate,STARLINK-11289 [DTC] - Y-Coordinate,STARLINK-5362 - Y-Coordinate,STARLINK-2028 - Y-Coordinate,STARLINK-31234 - Y-Coordinate,STARLINK-4546 - Y-Coordinate,STARLINK-3956 - Y-Coordinate,STARLINK-30940 - Y-Coordinate,STARLINK-30899 - Y-Coordinate,STARLINK-3341 - Y-Coordinate,STARLINK-4086 - Y-Coordinate,STARLINK-31264 - Y-Coordinate,STARLINK-1043 - Y-Coordinate,STARLINK-30915 - Y-Coordinate,STARLINK-3898 - Y-Coordinate,STARLINK-6056 - Y-Coordinate,STARLINK-30793 - Y-Coordinate,STARLINK-1769 - Y-Coordinate,STARLINK-2120 - Y-Coordinate,STARLINK-32159 - Y-Coordinate,STARLINK-31980 - Y-Coordinate,STARLINK-3258 - Y-Coordinate,STARLINK-2607 - Y-Coordinate,STARLINK-5676 - Y-Coordinate,STARLINK-1582 - Y-Coordinate,STARLINK-11245 [DTC] - Y-Coordinate,STARLINK-1580 - Y-Coordinate,STARLINK-4039 - Y-Coordinate,STARLINK-30962 - Y-Coordinate,STARLINK-6209 - Y-Coordinate,STARLINK-2153 - Y-Coordinate,STARLINK-30080 - Y-Coordinate,STARLINK-4580 - Y-Coordinate,STARLINK-4656 - Y-Coordinate,STARLINK-32012 - Y-Coordinate,STARLINK-1890 - Y-Coordinate,STARLINK-5755 - Y-Coordinate,STARLINK-2005 - Y-Coordinate,STARLINK-3195 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-3556 - Y-Coordinate,STARLINK-31651 - Y-Coordinate,STARLINK-4070 - Y-Coordinate,STARLINK-2624 - Y-Coordinate,STARLINK-1784 - Y-Coordinate,STARLINK-31783 - Y-Coordinate,STARLINK-31596 - Y-Coordinate,STARLINK-3331 - Y-Coordinate,STARLINK-5151 - Y-Coordinate,STARLINK-30154 - Y-Coordinate,STARLINK-30819 - Y-Coordinate,STARLINK-11147 [DTC] - Y-Coordinate,STARLINK-30973 - Y-Coordinate,STARLINK-4570 - Y-Coordinate,STARLINK-6174 - Y-Coordinate,STARLINK-5071 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30173 - Z-Coordinate,STARLINK-4053 - Z-Coordinate,STARLINK-3284 - Z-Coordinate,STARLINK-30171 - Z-Coordinate,STARLINK-31796 - Z-Coordinate,STARLINK-3914 - Z-Coordinate,STARLINK-5344 - Z-Coordinate,STARLINK-1917 - Z-Coordinate,STARLINK-30823 - Z-Coordinate,STARLINK-6227 - Z-Coordinate,STARLINK-3666 - Z-Coordinate,STARLINK-3943 - Z-Coordinate,STARLINK-6332 - Z-Coordinate,STARLINK-30756 - Z-Coordinate,STARLINK-1500 - Z-Coordinate,STARLINK-4211 - Z-Coordinate,STARLINK-30135 - Z-Coordinate,STARLINK-5878 - Z-Coordinate,STARLINK-31539 - Z-Coordinate,STARLINK-31104 - Z-Coordinate,STARLINK-4411 - Z-Coordinate,STARLINK-6207 - Z-Coordinate,STARLINK-1393 - Z-Coordinate,STARLINK-2727 - Z-Coordinate,STARLINK-5863 - Z-Coordinate,STARLINK-1184 - Z-Coordinate,STARLINK-2659 - Z-Coordinate,STARLINK-31841 - Z-Coordinate,STARLINK-32180 - Z-Coordinate,STARLINK-5852 - Z-Coordinate,STARLINK-5187 - Z-Coordinate,STARLINK-31829 - Z-Coordinate,STARLINK-6198 - Z-Coordinate,STARLINK-31962 - Z-Coordinate,STARLINK-30411 - Z-Coordinate,STARLINK-4636 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,STARLINK-31587 - Z-Coordinate,STARLINK-5086 - Z-Coordinate,STARLINK-3798 - Z-Coordinate,STARLINK-31905 - Z-Coordinate,STARLINK-6281 - Z-Coordinate,STARLINK-30777 - Z-Coordinate,STARLINK-1171 - Z-Coordinate,STARLINK-5338 - Z-Coordinate,STARLINK-11289 [DTC] - Z-Coordinate,STARLINK-5362 - Z-Coordinate,STARLINK-2028 - Z-Coordinate,STARLINK-31234 - Z-Coordinate,STARLINK-4546 - Z-Coordinate,STARLINK-3956 - Z-Coordinate,STARLINK-30940 - Z-Coordinate,STARLINK-30899 - Z-Coordinate,STARLINK-3341 - Z-Coordinate,STARLINK-4086 - Z-Coordinate,STARLINK-31264 - Z-Coordinate,STARLINK-1043 - Z-Coordinate,STARLINK-30915 - Z-Coordinate,STARLINK-3898 - Z-Coordinate,STARLINK-6056 - Z-Coordinate,STARLINK-30793 - Z-Coordinate,STARLINK-1769 - Z-Coordinate,STARLINK-2120 - Z-Coordinate,STARLINK-32159 - Z-Coordinate,STARLINK-31980 - Z-Coordinate,STARLINK-3258 - Z-Coordinate,STARLINK-2607 - Z-Coordinate,STARLINK-5676 - Z-Coordinate,STARLINK-1582 - Z-Coordinate,STARLINK-11245 [DTC] - Z-Coordinate,STARLINK-1580 - Z-Coordinate,STARLINK-4039 - Z-Coordinate,STARLINK-30962 - Z-Coordinate,STARLINK-6209 - Z-Coordinate,STARLINK-2153 - Z-Coordinate,STARLINK-30080 - Z-Coordinate,STARLINK-4580 - Z-Coordinate,STARLINK-4656 - Z-Coordinate,STARLINK-32012 - Z-Coordinate,STARLINK-1890 - Z-Coordinate,STARLINK-5755 - Z-Coordinate,STARLINK-2005 - Z-Coordinate,STARLINK-3195 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-3556 - Z-Coordinate,STARLINK-31651 - Z-Coordinate,STARLINK-4070 - Z-Coordinate,STARLINK-2624 - Z-Coordinate,STARLINK-1784 - Z-Coordinate,STARLINK-31783 - Z-Coordinate,STARLINK-31596 - Z-Coordinate,STARLINK-3331 - Z-Coordinate,STARLINK-5151 - Z-Coordinate,STARLINK-30154 - Z-Coordinate,STARLINK-30819 - Z-Coordinate,STARLINK-11147 [DTC] - Z-Coordinate,STARLINK-30973 - Z-Coordinate,STARLINK-4570 - Z-Coordinate,STARLINK-6174 - Z-Coordinate,STARLINK-5071 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1510.9873,2194.4499,3196.4702,6798.0549,-1864.4410,3729.1433,-2797.6440,1149.7746,-4031.1863,-5087.9650,-287.1993,-3198.3212,-2913.2884,-1533.5393,-1550.4317,-3587.3162,-4895.2279,1819.4180,5742.8937,-2473.4534,4821.3285,2623.4139,3660.3056,-978.5927,-792.0178,-1913.3396,-4183.5892,0.0000,4674.2139,1275.8073,3822.4161,-2665.0177,-3178.9909,6553.1429,2342.7312,5130.0541,4314.6535,5620.9553,80.4743,-689.9803,-2971.5960,5614.8043,1730.9424,5032.5785,-3190.5432,-4350.5404,4171.5901,-4984.3003,-4103.3236,-3137.6371,-775.0967,-3397.9214,1911.0111,-5099.0261,-3546.0652,-991.9271,1185.0588,-209.4098,3014.4112,4714.7217,2518.1122,-6422.8165,266.1660,-6327.2317,284.0501,2431.7290,4496.1157,-6544.7329,5804.3544,4029.7519,5791.1921,6651.2645,4628.3506,272.7168,-6774.8551,-2280.6069,1298.6016,-6202.2577,-6776.9014,-5785.9144,5919.2382,-5832.6454,6774.1127,-6359.6503,-1284.8666,4942.2309,5939.3424,-2615.7943,-2697.2175,-158.2526,-5167.2479,740.7183,458.8042,-3769.7733,-3977.6985,-1315.3950,6559.5824,2457.2325,436.0036,349.7653,287817.6298,298787.9126,284691.3317,285625.1613,286144.0761,286383.2804,294309.9159,289966.9503,164216790.3094,164246372.3081,164225931.2441,164221634.1935,290497.6418,164219971.7067,6740.9895,-3724.7430,-2624.4064,842.9505,4961.2188,-1832.0312,-4732.2069,4770.7282,-4977.8874,1121.6021,-6773.7579,-3372.0259,6239.8650,-5840.5289,5372.0883,-2058.3489,1515.5247,-2288.6647,-2458.2862,-4898.7930,-1814.2833,5910.4025,-3329.3705,-4656.2461,2395.4927,-6113.1926,5482.5860,0.0000,-2073.5028,-2635.2696,-5488.9624,6052.5749,1047.7200,402.2359,5175.2528,4544.9248,2533.2524,656.6370,-6417.1228,-5839.4892,-5297.2937,1918.3955,6551.4577,-3933.6315,-591.1296,4638.5450,4289.0780,3304.6430,2964.0423,-4256.7700,4065.9533,-3765.2454,5548.2289,3959.6528,-3584.6640,4907.4837,-6730.2120,4345.7044,-2889.6250,1913.9431,-4540.3224,-1898.1666,-6909.4615,2624.7785,5560.4222,6425.9466,5063.3702,566.9480,-475.3301,4912.6971,2155.1139,-1788.1888,2245.6367,6862.2758,1182.5228,6277.2125,-5597.5294,-957.5613,159.5908,-2365.6220,2417.0587,3563.9389,1189.6233,-2663.4738,6284.8302,2743.6087,-203.2903,5508.5518,5556.6070,-5399.5308,-1384.3517,-5790.9115,-4185.1041,5795.7364,-5088.6042,-5520.7488,1816.2457,-2396.4490,-6544.3816,4799.0380,211279.3338,179109.7262,198683.5458,199934.6201,191307.3110,193652.7043,195895.6305,195944.8802,43051100.9179,42993191.0656,43008869.4204,43021396.9243,196683.4977,43031546.2711,-566.6584,-5403.9374,5523.6441,996.1501,-4264.2948,-5531.1890,4214.0486,-4752.1596,-2615.2095,4561.0658,-1356.6339,-5120.5411,-696.6708,-3399.7182,-4065.6203,5499.7995,4654.3749,-6320.0921,-2730.7232,4065.7051,4648.4979,-2512.9257,-4798.5494,-4986.6402,6474.1170,2601.5147,126.9859,0.0000,4502.5241,-6304.4229,1727.4595,-1881.6019,6083.5025,-1820.6761,3954.7590,870.4938,-4632.4449,3809.2667,-2580.1097,-3639.1212,3099.2255,3575.5120,1324.7779,1984.0911,-6142.6836,-1741.9963,-3505.4631,3453.8953,-4604.6925,-4441.7876,5516.3985,-4660.0787,-3688.3336,-2486.1031,4710.2462,-4761.8121,919.2266,5233.5605,-5507.1976,4727.9780,-4558.6166,-1414.7888,-155.2384,116.4650,-3992.2969,-714.4617,-188.8129,-2223.8470,-3677.8249,-1958.4256,-2980.8067,492.8149,-4641.4096,945.7576,726.9826,-1833.5035,-3833.7097,-2918.6837,-537.0855,-2847.5097,-2679.0032,-773.3376,-86.9072,627.1220,-2585.2147,-3799.2443,3506.2891,-3228.3453,-3090.2816,4171.5224,4226.4821,-3698.1309,5419.4810,-656.5964,-2503.5591,3520.0616,-1304.3080,6006.8707,-2232.1000,4996.9845,119170.3019,114500.5896,115603.8110,119353.8438,120773.6246,110660.6470,107685.2067,116986.4874,40541111.8324,40538334.9259,40525618.2768,40537774.5839,115478.7167,40536124.3409,
3600.000,-870.8409,452.9119,-645.8634,-5329.1685,-1546.3866,-2115.0057,5737.9429,-4301.6736,4931.2442,3100.8534,1810.2259,6268.5217,461.2067,4152.0978,-202.5166,5800.9003,2888.0026,-1389.0136,-1978.0059,5666.2574,-465.0951,-4354.8456,-2721.5500,4166.2907,-2002.1570,3461.9625,1764.3421,0.0000,-4612.9108,-48.2122,-736.6087,-428.9898,-832.6782,-4267.5498,-4817.0554,-4839.4712,-5777.6994,-6352.7911,2303.1807,3186.0186,5488.5680,-6914.1148,-3750.7940,-2962.1774,6291.1261,-526.7717,-6358.4775,4521.3280,1663.7303,5735.5407,-3400.8591,5898.3287,-4472.7139,4119.1490,4330.9492,-3087.7555,582.5239,-4382.5097,-550.8156,-6606.8359,544.5567,4620.0320,1447.5460,4073.1004,-3445.1578,-3528.0636,-4778.4739,4201.1181,-2599.1368,-4048.1270,-3922.2040,-4996.0879,-6349.2329,-2380.7649,5422.4218,43.6584,449.7417,3844.6619,5079.7434,4053.1815,-6859.0328,3057.2034,-5397.1038,5773.6505,-1556.4114,-4774.2751,-6549.3101,-1069.5975,1279.6385,4255.2473,6431.7378,2508.9050,3998.8851,1004.7645,5786.0758,3848.3855,-6255.1680,-6360.1264,2484.4557,-2333.6433,224815.2818,244163.1885,227434.4881,228894.9817,228231.6894,228963.6897,235437.6500,232660.1744,147491908.9435,147531370.3252,147507365.6316,147501523.3382,232519.7779,147495628.0595,-6194.4558,6300.2124,5810.2507,1822.1716,-6521.3065,5527.2286,3627.4416,-5224.9952,1368.6184,-4694.6758,5965.6064,2151.6984,-6263.3568,5543.2637,-6905.9957,-1386.5891,-5026.5174,5947.8521,4573.7393,3732.9603,-844.2268,-2781.4842,6212.9741,5247.5273,-5302.4317,5732.4085,-5215.3528,0.0000,5006.6913,6135.8774,4693.9479,-4566.2036,-3439.6932,2835.7601,-1910.3553,-1810.3915,1718.8184,2483.8694,6423.0233,2643.8587,3986.1074,432.7851,-3982.6709,5107.1227,-981.1855,-3972.3568,-2751.4611,-5170.9212,-6202.5955,3795.6605,-4531.9108,347.3255,-2446.2540,-5221.5547,-761.0343,-3171.4106,5982.4158,-2764.5333,6013.0901,-2157.9881,6513.4110,-932.0853,5514.4580,-3676.2150,-2316.6812,-4772.9063,-2223.6159,-3125.8449,3215.0685,-178.7933,1456.4302,3011.4812,1001.8069,-5946.8852,-2530.5910,-6662.1964,6882.3669,-1905.6693,-2112.0102,-1200.6212,-261.6957,-4119.9891,858.2608,-168.7452,-4108.8375,1946.4197,2059.5848,-4053.0543,-6664.1540,3266.8173,-1982.1102,3285.0289,3617.5888,-5731.1338,3619.5070,5228.2233,-163.4500,2042.4010,4592.6876,-755.2673,277213.8986,248403.3691,266558.5588,266532.6836,257693.5493,260145.4878,262473.4885,264003.6937,84184684.4827,84135209.6061,84148479.3873,84162077.7943,263358.2988,84166115.3735,-2989.8828,2806.8388,-3689.1777,-4032.3852,1134.9872,3563.6566,-1418.1739,883.9970,4642.3452,-4055.4188,-2995.4764,1950.4149,-2913.5218,-25.1417,27.1985,-3456.1313,-3802.9039,3329.4745,4637.1689,-829.6970,-6878.3480,4615.2582,1190.6321,1586.3201,-4040.4653,1725.1187,-4162.2652,0.0000,-420.1597,3250.4678,-5025.3905,5111.7664,-5985.4921,4478.2568,-4603.4831,-4595.0774,3168.3102,-325.6448,-1121.3575,5522.8329,749.7212,-289.7661,-4220.2909,3139.1713,2762.0828,5224.0872,144.1218,756.5374,2344.5034,576.4679,-3953.0137,3523.2069,4679.9150,-1906.9765,-5333.0422,5289.3444,3371.2939,-4428.8648,3343.5006,-210.3054,2217.6570,4951.7699,-3921.3070,4096.8072,5437.1412,-3541.2065,-4260.9294,4533.9290,5493.1888,5259.4391,5423.1514,3683.6490,2564.4762,2646.2739,3458.4485,-1890.8208,-335.0572,5414.3564,-4001.3295,5399.6585,-954.5894,4571.4653,4165.0720,-3823.9983,5325.8919,4434.4378,725.1531,5465.6947,-1274.7444,-4238.1846,-1149.1113,5521.8225,-4264.4345,3782.0187,-1174.7750,1576.8493,-2984.2017,-1849.1275,4540.4464,-6496.6316,118017.2839,113054.3878,115497.7397,115859.6052,120477.6007,112510.5711,105260.4410,112515.6794,40537245.2379,40529356.7057,40516069.9933,40525558.1223,114222.1059,40529581.2356,
7200.000,3605.2324,-2083.9621,-1172.3788,2328.5955,3833.2647,663.8342,-6390.7164,4901.5278,-5112.7321,-910.4077,-3410.5288,-6441.6255,2774.9580,-5150.3839,1826.3747,-5947.0644,-702.9921,1427.4196,-2328.9656,-6052.3247,-4744.8661,5604.7848,877.5096,-5033.7155,2682.2851,-3997.9036,2219.1613,0.0000,2099.9744,-84.6833,-3411.4501,4338.7670,3144.3172,577.8563,6348.5437,3597.9853,5045.0211,4005.0192,-4032.8471,-5631.8571,-5464.2461,5592.4977,5315.6755,-1880.2136,-6481.8110,5623.4046,6094.8402,-1843.3388,900.9685,-5591.4882,5595.4530,-6437.0099,6276.5222,-954.2749,-4720.5226,6262.2278,-3088.4135,6722.9378,-1166.0226,5156.7548,-2838.3651,-1463.9212,-3638.8491,463.4800,6082.7159,4071.9532,3441.1462,-884.3639,-755.5313,2843.8501,1534.9524,1001.2417,5996.3058,4293.7406,-1673.2347,2650.0217,-2067.3604,-953.0473,-673.0804,-1767.3115,5215.7826,1486.6495,1980.2359,-3622.0184,4880.1383,3445.0725,4111.5748,5007.6225,1066.1078,-6700.1798,-4668.4945,-5702.0997,-6361.7459,2715.4893,-5541.4199,-4124.4729,3588.1664,5980.7848,-5358.7541,5005.8952,147342.7388,173746.1273,155700.3458,158965.8330,155546.5225,157965.8240,161787.5362,159760.5759,120665425.3253,120711929.8903,120683892.0551,120670113.6715,159618.0113,120669147.3462,3580.3433,-6414.0033,-6790.8835,-4653.0167,4823.2248,-6851.9906,-1464.7696,3075.1330,2735.9168,6786.6931,-2553.2658,-582.8453,4252.9130,-3120.5646,5323.3722,3365.8463,6865.7531,-6638.3450,-5645.3100,-962.2849,478.6554,-1068.0213,-6044.3880,-3743.7174,6375.4510,-2620.2914,3551.7114,0.0000,-5110.0569,-6742.2449,-3122.1801,2121.0002,5714.8500,-5679.1912,-1348.1351,-2382.9499,-4527.4927,-4349.3975,-3833.4854,730.2706,-533.6563,-2574.1420,42.6720,-3579.8647,1127.5663,1778.8344,225.1878,4898.8742,6585.0874,-1768.0402,4044.7174,2434.3325,-828.2116,4587.3105,4351.2537,1560.2770,-2806.9116,1073.5679,-6742.7996,1370.0778,-6105.1530,4499.1208,-2009.3429,4160.9648,-882.1969,773.2558,-2610.4250,5514.7829,-5774.5960,-5057.1360,-5289.0317,-4017.6675,-3289.8414,2830.4315,3836.6750,4609.0463,-5016.3741,5118.3708,4126.9831,5098.1966,-2207.5208,4111.7755,-3691.6040,3632.8948,1246.2876,-5633.1363,-3221.2203,2256.6638,4844.1208,-640.1918,4113.3265,-620.9751,-2591.1588,4352.4600,-545.6044,-893.5880,-2366.3858,398.7349,-1643.2131,-2435.0489,324829.1962,301836.1283,317767.4912,315978.8422,307686.0875,312266.5263,312101.2049,313160.6734,119586910.3123,119548321.1848,119558551.4433,119574131.4907,313520.5346,119569399.7631,4703.0951,1518.4361,-513.4803,4557.1314,2866.6767,618.7722,-2260.2541,3612.2420,-3776.3610,1063.2415,5433.4082,2424.1401,4691.7191,3412.0911,3997.7123,-891.7798,609.9768,1528.6348,-3035.3801,-3033.5130,5035.5180,-3949.4880,3175.3813,2834.3097,-737.7725,-5007.2573,5469.4133,0.0000,-4002.7613,1675.1232,5125.5826,-4898.7037,2390.6981,-3722.9477,2412.2900,5386.1252,692.4322,-3419.2453,4094.3599,-3944.7517,-4060.0509,-3194.2388,4399.0101,-5335.9695,2219.0569,-2950.0123,3282.9245,-4519.4824,1604.8019,3629.2205,-163.9866,-47.1449,-2820.4219,5075.7723,2540.2172,-2462.2595,-5496.2322,228.1983,923.9846,-4459.1759,1526.0464,-4950.1056,5516.4034,-5428.5687,-3028.4683,5514.6907,5207.8200,-4115.3099,-3678.7821,-3250.6071,-4093.6286,-5531.9533,1075.2524,-4657.8226,-5513.2718,4425.5325,4259.3834,-4561.2852,5349.8781,-4250.9166,3982.5183,-5315.6389,-5460.5331,4639.6892,-4740.9070,-1664.7758,-4523.1342,-4177.5802,4790.8488,1156.3993,-2809.6664,-3853.5180,171.3345,-4687.9159,4106.3653,-5187.4401,5423.7906,-3484.5948,-4075.7528,4138.4449,116796.4806,111607.1944,115037.9291,111780.7394,119698.8909,114835.6448,103498.7240,114670.5201,40532859.4879,40520356.7684,40506972.8561,40517466.2584,112953.6225,40523015.3120,
