sl_100_5400_20270918 Coordinates.csv
2027/09/18 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:40 2024,
Start: 2027/09/18 07:47:00.00, Stop: 2027/09/18 09:17:00.00,
TIME_UNITS,STARLINK-30351 - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-1236 - X-Coordinate,STARLINK-4694 - X-Coordinate,STARLINK-6092 - X-Coordinate,STARLINK-2474 - X-Coordinate,STARLINK-31176 - X-Coordinate,STARLINK-1764 - X-Coordinate,STARLINK-4705 - X-Coordinate,STARLINK-31329 - X-Coordinate,STARLINK-5439 - X-Coordinate,STARLINK-1670 - X-Coordinate,STARLINK-5985 - X-Coordinate,STARLINK-1604 - X-Coordinate,STARLINK-5071 - X-Coordinate,STARLINK-31503 - X-Coordinate,STARLINK-4606 - X-Coordinate,STARLINK-1304 - X-Coordinate,STARLINK-3882 - X-Coordinate,STARLINK-4715 - X-Coordinate,STARLINK-6130 - X-Coordinate,STARLINK-3122 - X-Coordinate,STARLINK-30098 - X-Coordinate,STARLINK-31982 - X-Coordinate,STARLINK-6129 - X-Coordinate,STARLINK-3813 - X-Coordinate,STARLINK-30768 - X-Coordinate,STARLINK-5946 - X-Coordinate,STARLINK-4158 - X-Coordinate,STARLINK-31413 - X-Coordinate,STARLINK-4210 - X-Coordinate,STARLINK-30428 - X-Coordinate,STARLINK-5555 - X-Coordinate,STARLINK-5530 - X-Coordinate,STARLINK-5113 - X-Coordinate,STARLINK-4340 - X-Coordinate,STARLINK-32077 - X-Coordinate,STARLINK-31623 - X-Coordinate,STARLINK-2443 - X-Coordinate,STARLINK-5429 - X-Coordinate,STARLINK-32181 - X-Coordinate,STARLINK-2598 - X-Coordinate,STARLINK-2702 - X-Coordinate,STARLINK-5218 - X-Coordinate,STARLINK-4299 - X-Coordinate,STARLINK-1986 - X-Coordinate,STARLINK-31298 - X-Coordinate,STARLINK-4293 - X-Coordinate,STARLINK-6216 - X-Coordinate,STARLINK-6121 - X-Coordinate,STARLINK-31439 - X-Coordinate,STARLINK-3198 - X-Coordinate,STARLINK-2068 - X-Coordinate,STARLINK-5770 - X-Coordinate,STARLINK-3663 - X-Coordinate,STARLINK-3242 - X-Coordinate,STARLINK-3365 - X-Coordinate,STARLINK-1312 - X-Coordinate,STARLINK-31598 - X-Coordinate,STARLINK-31595 - X-Coordinate,STARLINK-5744 - X-Coordinate,STARLINK-5503 - X-Coordinate,STARLINK-3972 - X-Coordinate,STARLINK-4290 - X-Coordinate,STARLINK-11099 [DTC] - X-Coordinate,STARLINK-1364 - X-Coordinate,STARLINK-3706 - X-Coordinate,STARLINK-2240 - X-Coordinate,STARLINK-30289 - X-Coordinate,STARLINK-31602 - X-Coordinate,STARLINK-4183 - X-Coordinate,STARLINK-5930 - X-Coordinate,STARLINK-3847 - X-Coordinate,STARLINK-5813 - X-Coordinate,STARLINK-6086 - X-Coordinate,STARLINK-3529 - X-Coordinate,STARLINK-6048 - X-Coordinate,STARLINK-1573 - X-Coordinate,STARLINK-2488 - X-Coordinate,STARLINK-30769 - X-Coordinate,STARLINK-2695 - X-Coordinate,STARLINK-2333 - X-Coordinate,STARLINK-5495 - X-Coordinate,STARLINK-30972 - X-Coordinate,STARLINK-31273 - X-Coordinate,STARLINK-1696 - X-Coordinate,STARLINK-3835 - X-Coordinate,STARLINK-2114 - X-Coordinate,STARLINK-4111 - X-Coordinate,STARLINK-5575 - X-Coordinate,STARLINK-6138 - X-Coordinate,STARLINK-32114 - X-Coordinate,STARLINK-5095 - X-Coordinate,STARLINK-30395 - X-Coordinate,STARLINK-3781 - X-Coordinate,STARLINK-3546 - X-Coordinate,STARLINK-3701 - X-Coordinate,STARLINK-2750 - X-Coordinate,STARLINK-30185 - X-Coordinate,STARLINK-30198 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30351 - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-1236 - Y-Coordinate,STARLINK-4694 - Y-Coordinate,STARLINK-6092 - Y-Coordinate,STARLINK-2474 - Y-Coordinate,STARLINK-31176 - Y-Coordinate,STARLINK-1764 - Y-Coordinate,STARLINK-4705 - Y-Coordinate,STARLINK-31329 - Y-Coordinate,STARLINK-5439 - Y-Coordinate,STARLINK-1670 - Y-Coordinate,STARLINK-5985 - Y-Coordinate,STARLINK-1604 - Y-Coordinate,STARLINK-5071 - Y-Coordinate,STARLINK-31503 - Y-Coordinate,STARLINK-4606 - Y-Coordinate,STARLINK-1304 - Y-Coordinate,STARLINK-3882 - Y-Coordinate,STARLINK-4715 - Y-Coordinate,STARLINK-6130 - Y-Coordinate,STARLINK-3122 - Y-Coordinate,STARLINK-30098 - Y-Coordinate,STARLINK-31982 - Y-Coordinate,STARLINK-6129 - Y-Coordinate,STARLINK-3813 - Y-Coordinate,STARLINK-30768 - Y-Coordinate,STARLINK-5946 - Y-Coordinate,STARLINK-4158 - Y-Coordinate,STARLINK-31413 - Y-Coordinate,STARLINK-4210 - Y-Coordinate,STARLINK-30428 - Y-Coordinate,STARLINK-5555 - Y-Coordinate,STARLINK-5530 - Y-Coordinate,STARLINK-5113 - Y-Coordinate,STARLINK-4340 - Y-Coordinate,STARLINK-32077 - Y-Coordinate,STARLINK-31623 - Y-Coordinate,STARLINK-2443 - Y-Coordinate,STARLINK-5429 - Y-Coordinate,STARLINK-32181 - Y-Coordinate,STARLINK-2598 - Y-Coordinate,STARLINK-2702 - Y-Coordinate,STARLINK-5218 - Y-Coordinate,STARLINK-4299 - Y-Coordinate,STARLINK-1986 - Y-Coordinate,STARLINK-31298 - Y-Coordinate,STARLINK-4293 - Y-Coordinate,STARLINK-6216 - Y-Coordinate,STARLINK-6121 - Y-Coordinate,STARLINK-31439 - Y-Coordinate,STARLINK-3198 - Y-Coordinate,STARLINK-2068 - Y-Coordinate,STARLINK-5770 - Y-Coordinate,STARLINK-3663 - Y-Coordinate,STARLINK-3242 - Y-Coordinate,STARLINK-3365 - Y-Coordinate,STARLINK-1312 - Y-Coordinate,STARLINK-31598 - Y-Coordinate,STARLINK-31595 - Y-Coordinate,STARLINK-5744 - Y-Coordinate,STARLINK-5503 - Y-Coordinate,STARLINK-3972 - Y-Coordinate,STARLINK-4290 - Y-Coordinate,STARLINK-11099 [DTC] - Y-Coordinate,STARLINK-1364 - Y-Coordinate,STARLINK-3706 - Y-Coordinate,STARLINK-2240 - Y-Coordinate,STARLINK-30289 - Y-Coordinate,STARLINK-31602 - Y-Coordinate,STARLINK-4183 - Y-Coordinate,STARLINK-5930 - Y-Coordinate,STARLINK-3847 - Y-Coordinate,STARLINK-5813 - Y-Coordinate,STARLINK-6086 - Y-Coordinate,STARLINK-3529 - Y-Coordinate,STARLINK-6048 - Y-Coordinate,STARLINK-1573 - Y-Coordinate,STARLINK-2488 - Y-Coordinate,STARLINK-30769 - Y-Coordinate,STARLINK-2695 - Y-Coordinate,STARLINK-2333 - Y-Coordinate,STARLINK-5495 - Y-Coordinate,STARLINK-30972 - Y-Coordinate,STARLINK-31273 - Y-Coordinate,STARLINK-1696 - Y-Coordinate,STARLINK-3835 - Y-Coordinate,STARLINK-2114 - Y-Coordinate,STARLINK-4111 - Y-Coordinate,STARLINK-5575 - Y-Coordinate,STARLINK-6138 - Y-Coordinate,STARLINK-32114 - Y-Coordinate,STARLINK-5095 - Y-Coordinate,STARLINK-30395 - Y-Coordinate,STARLINK-3781 - Y-Coordinate,STARLINK-3546 - Y-Coordinate,STARLINK-3701 - Y-Coordinate,STARLINK-2750 - Y-Coordinate,STARLINK-30185 - Y-Coordinate,STARLINK-30198 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30351 - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-1236 - Z-Coordinate,STARLINK-4694 - Z-Coordinate,STARLINK-6092 - Z-Coordinate,STARLINK-2474 - Z-Coordinate,STARLINK-31176 - Z-Coordinate,STARLINK-1764 - Z-Coordinate,STARLINK-4705 - Z-Coordinate,STARLINK-31329 - Z-Coordinate,STARLINK-5439 - Z-Coordinate,STARLINK-1670 - Z-Coordinate,STARLINK-5985 - Z-Coordinate,STARLINK-1604 - Z-Coordinate,STARLINK-5071 - Z-Coordinate,STARLINK-31503 - Z-Coordinate,STARLINK-4606 - Z-Coordinate,STARLINK-1304 - Z-Coordinate,STARLINK-3882 - Z-Coordinate,STARLINK-4715 - Z-Coordinate,STARLINK-6130 - Z-Coordinate,STARLINK-3122 - Z-Coordinate,STARLINK-30098 - Z-Coordinate,STARLINK-31982 - Z-Coordinate,STARLINK-6129 - Z-Coordinate,STARLINK-3813 - Z-Coordinate,STARLINK-30768 - Z-Coordinate,STARLINK-5946 - Z-Coordinate,STARLINK-4158 - Z-Coordinate,STARLINK-31413 - Z-Coordinate,STARLINK-4210 - Z-Coordinate,STARLINK-30428 - Z-Coordinate,STARLINK-5555 - Z-Coordinate,STARLINK-5530 - Z-Coordinate,STARLINK-5113 - Z-Coordinate,STARLINK-4340 - Z-Coordinate,STARLINK-32077 - Z-Coordinate,STARLINK-31623 - Z-Coordinate,STARLINK-2443 - Z-Coordinate,STARLINK-5429 - Z-Coordinate,STARLINK-32181 - Z-Coordinate,STARLINK-2598 - Z-Coordinate,STARLINK-2702 - Z-Coordinate,STARLINK-5218 - Z-Coordinate,STARLINK-4299 - Z-Coordinate,STARLINK-1986 - Z-Coordinate,STARLINK-31298 - Z-Coordinate,STARLINK-4293 - Z-Coordinate,STARLINK-6216 - Z-Coordinate,STARLINK-6121 - Z-Coordinate,STARLINK-31439 - Z-Coordinate,STARLINK-3198 - Z-Coordinate,STARLINK-2068 - Z-Coordinate,STARLINK-5770 - Z-Coordinate,STARLINK-3663 - Z-Coordinate,STARLINK-3242 - Z-Coordinate,STARLINK-3365 - Z-Coordinate,STARLINK-1312 - Z-Coordinate,STARLINK-31598 - Z-Coordinate,STARLINK-31595 - Z-Coordinate,STARLINK-5744 - Z-Coordinate,STARLINK-5503 - Z-Coordinate,STARLINK-3972 - Z-Coordinate,STARLINK-4290 - Z-Coordinate,STARLINK-11099 [DTC] - Z-Coordinate,STARLINK-1364 - Z-Coordinate,STARLINK-3706 - Z-Coordinate,STARLINK-2240 - Z-Coordinate,STARLINK-30289 - Z-Coordinate,STARLINK-31602 - Z-Coordinate,STARLINK-4183 - Z-Coordinate,STARLINK-5930 - Z-Coordinate,STARLINK-3847 - Z-Coordinate,STARLINK-5813 - Z-Coordinate,STARLINK-6086 - Z-Coordinate,STARLINK-3529 - Z-Coordinate,STARLINK-6048 - Z-Coordinate,STARLINK-1573 - Z-Coordinate,STARLINK-2488 - Z-Coordinate,STARLINK-30769 - Z-Coordinate,STARLINK-2695 - Z-Coordinate,STARLINK-2333 - Z-Coordinate,STARLINK-5495 - Z-Coordinate,STARLINK-30972 - Z-Coordinate,STARLINK-31273 - Z-Coordinate,STARLINK-1696 - Z-Coordinate,STARLINK-3835 - Z-Coordinate,STARLINK-2114 - Z-Coordinate,STARLINK-4111 - Z-Coordinate,STARLINK-5575 - Z-Coordinate,STARLINK-6138 - Z-Coordinate,STARLINK-32114 - Z-Coordinate,STARLINK-5095 - Z-Coordinate,STARLINK-30395 - Z-Coordinate,STARLINK-3781 - Z-Coordinate,STARLINK-3546 - Z-Coordinate,STARLINK-3701 - Z-Coordinate,STARLINK-2750 - Z-Coordinate,STARLINK-30185 - Z-Coordinate,STARLINK-30198 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3636.8929,-5673.0852,-1729.1666,1703.6666,2604.5028,-5319.4549,3723.9166,5025.5911,-5943.6433,2640.1624,-4082.2912,-2943.1509,-3574.7676,-1526.2876,-129.7579,5460.1590,1826.0824,-1746.5268,-4690.2030,-3750.0165,779.8463,-240.5001,-4301.1493,-3273.0443,-6695.7247,1075.0135,-5976.9944,6303.5797,-5704.3590,311.4011,367.3216,6220.8241,-6477.9787,6073.8576,-4331.6877,-747.1419,2122.3223,6842.8190,5885.6715,-2213.9726,6588.9846,-5973.5725,2926.7417,-3007.0235,-2968.6162,-3895.9480,-570.0728,4969.7253,-6842.0214,6614.0291,-3059.9512,6051.5018,4494.2135,5024.6655,5883.5225,5057.1843,369.9401,1906.7232,2341.6303,-229.0191,-4454.2254,-1794.5264,-3426.0943,6244.0668,-5092.1756,-2281.4297,5005.6605,5049.7747,2791.8031,2257.9972,-4067.4021,586.6186,-3245.3154,-4518.8349,28.6038,4688.5004,-3514.9500,3843.6936,-4907.3132,3683.2876,-1764.9886,5572.9128,-2639.3538,-374.5042,-3041.9807,3488.2706,-3192.1122,3145.2930,2416.1799,649.9540,4765.2400,-3644.5979,97.2949,-1017.9088,4157.2617,4382.4204,2756.7107,3595.9160,4998.0727,-5011.0144,30780.8882,29892.4852,33854.5292,33065.9915,39755.7943,37789.9347,31240.9695,33565.8687,72939380.1109,72936321.6669,72944166.5779,72927302.1303,32805.3609,72928016.4350,3923.5332,-3170.7623,6186.0616,6575.9097,4403.2325,1654.8928,5840.6783,-3489.5955,-1613.6971,-6037.1820,682.3387,5817.7559,2576.4646,-3706.2327,2489.1022,4075.7440,-4616.9377,4757.1479,-590.5614,-5183.6783,-5109.7916,-4462.7538,2701.3610,5073.9811,-1750.3417,-5385.7151,-501.9234,1747.4517,-3612.6124,5299.7187,-6408.7862,-3029.2932,2389.3754,2977.3109,-1291.6285,-5602.4429,-4045.4766,-97.5235,3255.4633,3931.8312,793.1105,-919.2067,-6023.2478,-5765.2903,6039.8311,-1420.9504,6640.6758,-1732.4071,-174.9284,-1922.6700,3947.2448,-2170.6858,-445.6824,-1495.7332,2270.3525,-157.8456,-4483.8920,5049.4449,-3516.0166,4171.5075,3447.4206,4773.6661,-2467.4782,2879.2050,871.9854,-6264.5853,-1174.6993,1092.3495,-4424.6446,5600.9908,-4287.4811,-3439.1693,3560.1947,-5006.7367,-6330.8793,-5081.9095,5556.0484,-4466.1901,-170.8376,3201.1487,6042.5667,3219.2680,-4535.5439,4221.0736,-4044.2592,3005.9251,-6050.0667,3852.0410,-5946.3179,-5184.2223,-2720.2156,5666.2925,-5136.3857,5157.8421,4001.6457,1989.1238,3191.3288,5540.4159,-4557.3928,1685.3737,-397213.6434,-370927.7203,-386479.7947,-386306.1707,-380845.0518,-381785.2514,-376969.4355,-380342.9186,282475369.4354,282521391.2226,282496193.3017,282477275.7066,-380446.2269,282487738.1420,-4404.0320,2028.8342,2488.0313,-1236.1201,-4671.1933,-4088.8049,141.6645,-3216.6338,-3136.5817,1898.0567,5516.6207,-2261.4580,-5375.5625,-5233.6446,6465.5171,-344.8840,4794.1690,4652.6737,5016.5486,2573.3492,-4629.5089,5303.5367,4707.5167,-3210.1599,-10.0062,-4190.2786,-3327.3593,2286.7374,-1483.9831,-4310.2384,-2606.6003,-146.8898,380.2227,1079.7578,-5230.2713,-4003.1982,5072.0173,-420.0954,-1111.6472,5228.7791,1541.3678,3248.8503,-1665.6339,2455.8344,1571.7362,5492.9112,1568.4888,-4461.2813,-1102.2519,826.8683,4636.2954,2536.8326,5201.5000,4525.0890,2015.2584,4690.1218,5238.8122,4173.9607,-5389.6470,5411.2343,-4042.9081,-4750.3979,-5469.9888,-555.5518,4302.9834,-1755.9171,-4623.9889,4584.4910,4539.5847,3249.8178,-3596.7592,5993.7404,-4957.2853,-1709.1772,-2809.6278,106.4746,-2259.8148,-3270.7487,-4883.0746,4546.7084,2473.8608,2447.9836,4613.1624,-5455.0715,-4602.9502,5074.0523,913.3111,-4654.2611,-2556.6818,-4531.5372,-4238.6101,1319.0955,4640.6560,4511.9606,-3642.1954,-4946.3431,-5294.4272,-1928.5245,1473.6133,4478.0837,91912.4309,91420.8024,90279.0602,93276.4821,95235.3593,85353.7929,81841.8912,91416.9030,-80933504.7508,-80904406.4066,-80907464.0107,-80914138.0411,89805.3692,-80921874.5085,
300.000,4643.1643,-5551.5733,-560.5270,2873.3200,4202.4677,-5452.8696,4817.3674,4623.6577,-5294.4556,1238.5828,-3660.5165,-1381.4560,-3952.0168,-3554.5648,1898.1901,6023.3075,439.3397,274.9694,-3923.2947,-4992.5126,-1363.8732,-2231.4800,-3075.5578,-1497.6500,-6747.0365,-322.7546,-5241.3909,5979.5176,-6394.3042,2318.0859,-908.5444,5236.3905,-5563.1737,6330.2444,-4054.0035,-369.2795,-36.7611,6367.9023,5926.3110,-755.0699,5996.5508,-6658.0841,1465.8849,-3785.6472,-1525.6452,-4569.7046,1039.6054,3341.9356,-6312.7300,5699.2926,-1282.1374,5911.3068,4773.5748,3851.5727,5519.8046,5648.9368,-1673.9625,3606.4764,258.6751,1871.9170,-3547.2321,281.4108,-4788.5094,6306.7024,-3653.4641,-3488.4985,3521.0606,6033.9683,726.3423,3723.6753,-5476.1092,-1133.9568,-2317.5918,-4436.9505,-1615.0626,3555.0667,-3143.8665,3088.6930,-5581.4773,4941.1083,-587.7062,5425.8741,-3929.4284,1690.9700,-4784.3006,5130.8210,-3996.3327,4885.8701,834.2678,-1472.8051,3124.8299,-2615.9396,-1994.1344,951.1650,4373.6155,5675.8050,3896.3760,4220.9949,3962.1783,-3745.5106,39263.4356,37788.0326,41775.8606,41061.4422,47817.4955,45843.1993,39317.6574,41128.8145,66754265.5383,66750556.1722,66759027.4719,66742762.1036,40841.2691,66742900.2024,2044.5815,-1622.9920,6826.1345,6249.1492,2957.7056,3301.2455,4783.3534,-4884.5251,4.6262,-6734.8205,2788.9465,5613.1725,4179.4305,-2945.6125,3151.5965,2613.6577,-5847.6777,4311.8445,1396.7467,-4684.9415,-4922.3591,-4793.0042,4437.5637,4937.5886,-222.0425,-6308.4084,1331.9158,-9.0884,-2602.2287,5407.0306,-6809.2976,-4210.2588,3647.4964,2401.1386,845.4291,-6622.1287,-4100.9264,-1300.0782,1863.0655,5302.2310,-544.6088,381.6434,-5892.1998,-5820.4560,5926.5307,620.5522,6100.6031,-2930.5246,1357.3893,-3225.5398,5150.1027,-3494.1532,-2429.7209,-3295.6185,721.6337,-1881.8047,-3783.0897,5082.1378,-4184.2648,4442.9507,5124.4183,5282.1918,-865.4513,1580.6454,2331.0138,-5944.4452,-2586.0059,-405.6922,-5020.0353,5528.0471,-3700.3543,-2141.5712,5219.3489,-3934.0902,-6580.2676,-5618.2190,6195.4856,-5758.2929,1580.2660,1419.6624,6701.2407,1608.3110,-5009.8460,4593.1778,-3538.0566,1916.2408,-4968.8694,3246.8738,-5566.2998,-4845.7941,-4042.5685,6329.6745,-5199.7919,5702.3696,2139.4439,595.3237,1309.9738,4157.6112,-5678.3680,3414.2553,-396382.1101,-369969.3085,-385672.1441,-385417.5293,-380014.0445,-380927.4082,-376211.0837,-379493.3395,284001264.0586,284047753.4977,284022789.8388,284003351.7884,-379628.4150,284013713.1594,-4720.3952,3587.3662,754.8454,579.1645,-4645.9504,-2666.0468,-1390.7153,-1589.1446,-4444.0895,393.0173,5137.7668,-3771.5789,-3899.7737,-4705.5897,5874.0858,-1857.3031,3643.5410,5351.6896,5491.5021,846.5218,-4697.3204,4491.2463,4337.4484,-4488.7725,1516.6473,-2793.7475,-4220.0232,3498.2417,323.3099,-3485.9430,-885.9599,-1664.4865,1881.3470,-1060.8646,-5535.3194,-1988.6789,5455.7885,-2189.6461,-2811.2437,4363.5588,3183.4778,1625.0832,-3282.0390,382.9831,3205.4026,5109.8623,2925.2934,-5277.6124,-2526.2729,2283.3932,4275.2291,807.0735,4333.8384,4717.7734,3579.1320,3489.2434,5528.5833,2783.7335,-5414.8403,4847.7946,-3036.8677,-4538.8042,-4905.5849,-2310.7257,5138.5336,37.1978,-5360.7941,3341.5737,4716.3111,1622.6347,-2040.4305,6497.4151,-3893.1754,-3642.2676,-1432.8620,1892.7280,-171.5421,-1644.2355,-3781.0559,4250.1167,726.6083,3918.2362,2885.8043,-4873.7957,-3373.8387,4120.0677,2632.8279,-3459.8599,-4008.5983,-4710.1080,-4687.3297,-497.7652,4113.6708,3819.5757,-4781.8260,-3879.3916,-5377.5285,-3501.7476,-55.2034,4723.2968,92001.5012,91534.6461,90494.6772,93229.3370,95440.7548,85702.1427,81841.3320,91687.3181,-80937911.5298,-80909061.7860,-80912162.9997,-80918338.6290,89921.1307,-80926369.0171,
600.000,5242.5567,-4879.3157,655.8778,3761.3154,5422.4958,-5065.2977,5454.3973,3775.5587,-4150.2452,-283.3128,-2930.9774,349.5068,-3973.0147,-5185.8046,3701.4945,5984.9750,-953.1982,2294.4296,-2817.9748,-5727.9957,-3380.9387,-3981.0167,-1589.5750,459.3784,-6144.1802,-1658.9369,-4009.7502,5096.4250,-6447.5780,4074.8251,-2084.6638,3735.5504,-4099.4615,5920.6681,-3435.1639,76.7458,-2197.2282,5244.0073,5371.0416,735.8424,4790.5701,-6668.9009,-170.9459,-4175.6466,98.5264,-4836.0429,2571.4118,1402.1672,-5177.3642,4230.0166,597.0294,5187.3227,4618.0414,2340.9752,4554.8991,5703.2283,-3576.0613,4914.2251,-1831.5119,3762.9059,-2325.8797,2315.7977,-5709.1323,5750.1812,-1849.7666,-4345.0262,1717.8390,6434.6863,-1399.9857,4795.8965,-6331.8177,-2794.8236,-1202.9541,-3945.4580,-3089.3359,2051.8825,-2454.9399,2019.1845,-5733.4056,5692.5481,643.5860,4765.1147,-4801.7510,3567.7155,-6026.9175,6260.8500,-4427.9797,6112.3466,-865.2433,-3462.4181,1203.3209,-1315.9155,-3880.5113,2806.6834,4190.5991,6419.6086,4677.5469,4457.8912,2540.1733,-2151.0248,47724.5113,45657.3639,49676.2517,49033.5125,55857.5975,53869.6515,47377.1674,48649.3119,60537289.2505,60532911.6794,60541998.4537,60526351.4596,48857.2033,60525918.4329,-16.3724,124.2477,6778.9090,5293.8681,1259.4490,4598.6979,3254.4593,-5782.4168,1661.7455,-6756.6962,4620.5904,4876.7441,5333.0857,-1903.3629,3564.0066,871.5929,-6510.4988,3487.1924,3274.4381,-3723.7092,-4305.3564,-4697.5658,5760.7825,4337.3523,1342.0749,-6612.9815,3062.9614,-1791.0833,-1328.6914,4998.4031,-6537.1761,-4995.8415,4566.5336,1557.1963,2911.7779,-6917.0345,-3795.7647,-2394.9023,251.3618,6168.6252,-1860.6947,1625.4787,-5194.6718,-5287.5852,5244.1044,2574.2730,4955.9510,-3891.7460,2781.9410,-4238.0583,5857.8688,-4461.8392,-4148.4367,-4803.5003,-943.9181,-3389.0244,-2763.0651,4614.8367,-4483.9696,4310.7227,6303.5061,5329.1362,779.2613,100.8187,3590.1885,-5025.9930,-3793.2008,-1829.8933,-5173.2214,4903.8739,-2766.6629,-691.6329,6363.9563,-2435.7888,-6195.8125,-5609.6304,6203.7904,-6424.0448,3144.8419,-486.5465,6646.3538,-194.7485,-5012.1401,4559.1253,-2706.0367,676.7865,-3378.7956,2343.0965,-4661.3873,-4079.7704,-5014.2891,6351.1984,-4796.1830,5724.1721,40.1618,-817.9352,-678.3335,2342.3163,-6246.8296,4842.8460,-395367.8455,-368846.7808,-384691.1904,-384355.1738,-379012.1664,-379897.9225,-375281.6652,-378505.4111,285391750.8487,285438693.4786,285413978.7704,285394058.0692,-378640.8816,285404280.5160,-4531.9537,4740.6815,-1060.7011,2331.5670,-4123.3918,-955.1248,-2773.9852,210.0822,-5272.6551,-1155.5051,4202.1492,-4873.1643,-2010.1195,-3596.0349,4655.9453,-3161.2437,2098.4510,5466.1104,5370.2881,-972.3481,-4264.8337,3200.0541,3502.5064,-5268.0745,2879.9055,-1094.9515,-4647.3448,4334.7985,2095.6149,-2273.2883,929.7942,-3003.0552,3179.3248,-3083.9352,-5244.8382,239.4757,5229.9004,-3717.1570,-4194.8893,3027.1951,4466.6087,-177.9443,-4542.7478,-1730.5635,4492.5651,4169.6549,3957.0155,-5522.7516,-3680.0208,3495.7520,3433.4815,-1009.8594,2994.5461,4404.8816,4704.7533,1910.1108,5221.5345,1081.4752,-4840.8257,3744.9133,-1705.9407,-3849.9737,-3812.1887,-3815.0933,5373.0624,1826.2279,-5521.3064,1737.6343,4387.9106,-183.8791,-264.1936,6309.6368,-2409.0943,-5190.3208,97.8182,3474.5545,1934.9275,173.7456,-2273.3444,3445.2534,-1104.3128,4960.6304,857.1899,-3766.3989,-1769.2018,2710.5042,4066.4097,-1875.4594,-5027.8575,-4382.0768,-4635.6325,-2259.7992,3145.3038,2718.1708,-5386.4224,-2391.9798,-4844.8859,-4692.2780,-1578.1044,4463.0068,92090.3288,91647.7753,90709.1478,93177.2212,95642.6453,86056.7071,81845.7689,91823.7676,-80942313.0177,-80913718.2229,-80916866.2284,-80922552.8717,90036.8377,-80930863.4538,
