sl_100_5400_20270428 Coordinates.csv
2027/04/28 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:26 2024,
Start: 2027/04/28 07:47:00.00, Stop: 2027/04/28 09:17:00.00,
TIME_UNITS,STARLINK-31697 - X-Coordinate,STARLINK-4324 - X-Coordinate,STARLINK-30378 - X-Coordinate,STARLINK-4692 - X-Coordinate,STARLINK-1789 - X-Coordinate,STARLINK-4636 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-30796 - X-Coordinate,STARLINK-31760 - X-Coordinate,STARLINK-1729 - X-Coordinate,STARLINK-30462 - X-Coordinate,STARLINK-1682 - X-Coordinate,STARLINK-30205 - X-Coordinate,STARLINK-3139 - X-Coordinate,STARLINK-5882 - X-Coordinate,STARLINK-32211 - X-Coordinate,STARLINK-4470 - X-Coordinate,STARLINK-5339 - X-Coordinate,STARLINK-5966 - X-Coordinate,STARLINK-31665 - X-Coordinate,STARLINK-31981 - X-Coordinate,STARLINK-6245 - X-Coordinate,STARLINK-5859 - X-Coordinate,STARLINK-6163 - X-Coordinate,STARLINK-30286 - X-Coordinate,STARLINK-3734 - X-Coordinate,STARLINK-6250 - X-Coordinate,STARLINK-32103 - X-Coordinate,STARLINK-3227 - X-Coordinate,STARLINK-31317 - X-Coordinate,STARLINK-32315 - X-Coordinate,STARLINK-31639 - X-Coordinate,STARLINK-31861 - X-Coordinate,STARLINK-3957 - X-Coordinate,STARLINK-30974 - X-Coordinate,STARLINK-1152 - X-Coordinate,STARLINK-1563 - X-Coordinate,STARLINK-3597 - X-Coordinate,STARLINK-2742 - X-Coordinate,STARLINK-3325 - X-Coordinate,STARLINK-1723 - X-Coordinate,STARLINK-30910 - X-Coordinate,STARLINK-1526 - X-Coordinate,STARLINK-5805 - X-Coordinate,STARLINK-2061 - X-Coordinate,STARLINK-5491 - X-Coordinate,STARLINK-31231 - X-Coordinate,STARLINK-11261 [DTC] - X-Coordinate,STARLINK-4280 - X-Coordinate,STARLINK-31735 - X-Coordinate,STARLINK-31647 - X-Coordinate,STARLINK-6193 - X-Coordinate,STARLINK-31058 - X-Coordinate,STARLINK-5847 - X-Coordinate,STARLINK-2466 - X-Coordinate,STARLINK-2582 - X-Coordinate,STARLINK-31664 - X-Coordinate,STARLINK-31840 - X-Coordinate,STARLINK-31150 - X-Coordinate,STARLINK-31443 - X-Coordinate,STARLINK-6349 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-5952 - X-Coordinate,STARLINK-6286 - X-Coordinate,STARLINK-1471 - X-Coordinate,STARLINK-3926 - X-Coordinate,STARLINK-5738 - X-Coordinate,STARLINK-5712 - X-Coordinate,STARLINK-5249 - X-Coordinate,STARLINK-6185 - X-Coordinate,STARLINK-3769 - X-Coordinate,STARLINK-31148 - X-Coordinate,STARLINK-5415 - X-Coordinate,STARLINK-4295 - X-Coordinate,STARLINK-30327 - X-Coordinate,STARLINK-30547 - X-Coordinate,STARLINK-3974 - X-Coordinate,STARLINK-3746 - X-Coordinate,STARLINK-4123 - X-Coordinate,STARLINK-2336 - X-Coordinate,STARLINK-2068 - X-Coordinate,STARLINK-5185 - X-Coordinate,STARLINK-3532 - X-Coordinate,STARLINK-30836 - X-Coordinate,STARLINK-3633 - X-Coordinate,STARLINK-5777 - X-Coordinate,STARLINK-11254 [DTC] - X-Coordinate,STARLINK-32138 - X-Coordinate,STARLINK-31107 - X-Coordinate,STARLINK-5109 - X-Coordinate,STARLINK-4728 - X-Coordinate,STARLINK-31652 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-1803 - X-Coordinate,STARLINK-6199 - X-Coordinate,STARLINK-31313 - X-Coordinate,STARLINK-2279 - X-Coordinate,STARLINK-3642 - X-Coordinate,STARLINK-5714 - X-Coordinate,STARLINK-4282 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31697 - Y-Coordinate,STARLINK-4324 - Y-Coordinate,STARLINK-30378 - Y-Coordinate,STARLINK-4692 - Y-Coordinate,STARLINK-1789 - Y-Coordinate,STARLINK-4636 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-30796 - Y-Coordinate,STARLINK-31760 - Y-Coordinate,STARLINK-1729 - Y-Coordinate,STARLINK-30462 - Y-Coordinate,STARLINK-1682 - Y-Coordinate,STARLINK-30205 - Y-Coordinate,STARLINK-3139 - Y-Coordinate,STARLINK-5882 - Y-Coordinate,STARLINK-32211 - Y-Coordinate,STARLINK-4470 - Y-Coordinate,STARLINK-5339 - Y-Coordinate,STARLINK-5966 - Y-Coordinate,STARLINK-31665 - Y-Coordinate,STARLINK-31981 - Y-Coordinate,STARLINK-6245 - Y-Coordinate,STARLINK-5859 - Y-Coordinate,STARLINK-6163 - Y-Coordinate,STARLINK-30286 - Y-Coordinate,STARLINK-3734 - Y-Coordinate,STARLINK-6250 - Y-Coordinate,STARLINK-32103 - Y-Coordinate,STARLINK-3227 - Y-Coordinate,STARLINK-31317 - Y-Coordinate,STARLINK-32315 - Y-Coordinate,STARLINK-31639 - Y-Coordinate,STARLINK-31861 - Y-Coordinate,STARLINK-3957 - Y-Coordinate,STARLINK-30974 - Y-Coordinate,STARLINK-1152 - Y-Coordinate,STARLINK-1563 - Y-Coordinate,STARLINK-3597 - Y-Coordinate,STARLINK-2742 - Y-Coordinate,STARLINK-3325 - Y-Coordinate,STARLINK-1723 - Y-Coordinate,STARLINK-30910 - Y-Coordinate,STARLINK-1526 - Y-Coordinate,STARLINK-5805 - Y-Coordinate,STARLINK-2061 - Y-Coordinate,STARLINK-5491 - Y-Coordinate,STARLINK-31231 - Y-Coordinate,STARLINK-11261 [DTC] - Y-Coordinate,STARLINK-4280 - Y-Coordinate,STARLINK-31735 - Y-Coordinate,STARLINK-31647 - Y-Coordinate,STARLINK-6193 - Y-Coordinate,STARLINK-31058 - Y-Coordinate,STARLINK-5847 - Y-Coordinate,STARLINK-2466 - Y-Coordinate,STARLINK-2582 - Y-Coordinate,STARLINK-31664 - Y-Coordinate,STARLINK-31840 - Y-Coordinate,STARLINK-31150 - Y-Coordinate,STARLINK-31443 - Y-Coordinate,STARLINK-6349 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-5952 - Y-Coordinate,STARLINK-6286 - Y-Coordinate,STARLINK-1471 - Y-Coordinate,STARLINK-3926 - Y-Coordinate,STARLINK-5738 - Y-Coordinate,STARLINK-5712 - Y-Coordinate,STARLINK-5249 - Y-Coordinate,STARLINK-6185 - Y-Coordinate,STARLINK-3769 - Y-Coordinate,STARLINK-31148 - Y-Coordinate,STARLINK-5415 - Y-Coordinate,STARLINK-4295 - Y-Coordinate,STARLINK-30327 - Y-Coordinate,STARLINK-30547 - Y-Coordinate,STARLINK-3974 - Y-Coordinate,STARLINK-3746 - Y-Coordinate,STARLINK-4123 - Y-Coordinate,STARLINK-2336 - Y-Coordinate,STARLINK-2068 - Y-Coordinate,STARLINK-5185 - Y-Coordinate,STARLINK-3532 - Y-Coordinate,STARLINK-30836 - Y-Coordinate,STARLINK-3633 - Y-Coordinate,STARLINK-5777 - Y-Coordinate,STARLINK-11254 [DTC] - Y-Coordinate,STARLINK-32138 - Y-Coordinate,STARLINK-31107 - Y-Coordinate,STARLINK-5109 - Y-Coordinate,STARLINK-4728 - Y-Coordinate,STARLINK-31652 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-1803 - Y-Coordinate,STARLINK-6199 - Y-Coordinate,STARLINK-31313 - Y-Coordinate,STARLINK-2279 - Y-Coordinate,STARLINK-3642 - Y-Coordinate,STARLINK-5714 - Y-Coordinate,STARLINK-4282 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31697 - Z-Coordinate,STARLINK-4324 - Z-Coordinate,STARLINK-30378 - Z-Coordinate,STARLINK-4692 - Z-Coordinate,STARLINK-1789 - Z-Coordinate,STARLINK-4636 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-30796 - Z-Coordinate,STARLINK-31760 - Z-Coordinate,STARLINK-1729 - Z-Coordinate,STARLINK-30462 - Z-Coordinate,STARLINK-1682 - Z-Coordinate,STARLINK-30205 - Z-Coordinate,STARLINK-3139 - Z-Coordinate,STARLINK-5882 - Z-Coordinate,STARLINK-32211 - Z-Coordinate,STARLINK-4470 - Z-Coordinate,STARLINK-5339 - Z-Coordinate,STARLINK-5966 - Z-Coordinate,STARLINK-31665 - Z-Coordinate,STARLINK-31981 - Z-Coordinate,STARLINK-6245 - Z-Coordinate,STARLINK-5859 - Z-Coordinate,STARLINK-6163 - Z-Coordinate,STARLINK-30286 - Z-Coordinate,STARLINK-3734 - Z-Coordinate,STARLINK-6250 - Z-Coordinate,STARLINK-32103 - Z-Coordinate,STARLINK-3227 - Z-Coordinate,STARLINK-31317 - Z-Coordinate,STARLINK-32315 - Z-Coordinate,STARLINK-31639 - Z-Coordinate,STARLINK-31861 - Z-Coordinate,STARLINK-3957 - Z-Coordinate,STARLINK-30974 - Z-Coordinate,STARLINK-1152 - Z-Coordinate,STARLINK-1563 - Z-Coordinate,STARLINK-3597 - Z-Coordinate,STARLINK-2742 - Z-Coordinate,STARLINK-3325 - Z-Coordinate,STARLINK-1723 - Z-Coordinate,STARLINK-30910 - Z-Coordinate,STARLINK-1526 - Z-Coordinate,STARLINK-5805 - Z-Coordinate,STARLINK-2061 - Z-Coordinate,STARLINK-5491 - Z-Coordinate,STARLINK-31231 - Z-Coordinate,STARLINK-11261 [DTC] - Z-Coordinate,STARLINK-4280 - Z-Coordinate,STARLINK-31735 - Z-Coordinate,STARLINK-31647 - Z-Coordinate,STARLINK-6193 - Z-Coordinate,STARLINK-31058 - Z-Coordinate,STARLINK-5847 - Z-Coordinate,STARLINK-2466 - Z-Coordinate,STARLINK-2582 - Z-Coordinate,STARLINK-31664 - Z-Coordinate,STARLINK-31840 - Z-Coordinate,STARLINK-31150 - Z-Coordinate,STARLINK-31443 - Z-Coordinate,STARLINK-6349 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-5952 - Z-Coordinate,STARLINK-6286 - Z-Coordinate,STARLINK-1471 - Z-Coordinate,STARLINK-3926 - Z-Coordinate,STARLINK-5738 - Z-Coordinate,STARLINK-5712 - Z-Coordinate,STARLINK-5249 - Z-Coordinate,STARLINK-6185 - Z-Coordinate,STARLINK-3769 - Z-Coordinate,STARLINK-31148 - Z-Coordinate,STARLINK-5415 - Z-Coordinate,STARLINK-4295 - Z-Coordinate,STARLINK-30327 - Z-Coordinate,STARLINK-30547 - Z-Coordinate,STARLINK-3974 - Z-Coordinate,STARLINK-3746 - Z-Coordinate,STARLINK-4123 - Z-Coordinate,STARLINK-2336 - Z-Coordinate,STARLINK-2068 - Z-Coordinate,STARLINK-5185 - Z-Coordinate,STARLINK-3532 - Z-Coordinate,STARLINK-30836 - Z-Coordinate,STARLINK-3633 - Z-Coordinate,STARLINK-5777 - Z-Coordinate,STARLINK-11254 [DTC] - Z-Coordinate,STARLINK-32138 - Z-Coordinate,STARLINK-31107 - Z-Coordinate,STARLINK-5109 - Z-Coordinate,STARLINK-4728 - Z-Coordinate,STARLINK-31652 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-1803 - Z-Coordinate,STARLINK-6199 - Z-Coordinate,STARLINK-31313 - Z-Coordinate,STARLINK-2279 - Z-Coordinate,STARLINK-3642 - Z-Coordinate,STARLINK-5714 - Z-Coordinate,STARLINK-4282 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2009.1144,-5606.7985,-4944.1309,267.8970,-6855.1013,-3301.8081,210.6952,3169.6192,4416.4137,2773.9187,-1268.5221,2051.8076,-2376.3471,5245.1353,4430.1658,147.3850,-3823.0810,3235.0372,-6398.8745,-2088.5277,-2520.8952,575.0527,301.6288,-6594.5008,-5866.3334,-3800.5585,-2177.5001,-6268.9959,-2909.6224,3173.0039,-6054.6218,3140.0489,4449.3665,1107.3021,0.0000,-2497.7119,-4815.1155,-4047.5017,-6274.4306,5752.4063,6142.7973,-4327.0425,208.0237,1855.7599,5882.8664,-1248.7548,-3927.8170,-2784.8971,-4717.2144,-1347.6285,-1530.0692,6726.0609,3878.1218,-5187.5792,-4102.4105,2652.7389,-2748.0525,-3204.9420,2902.1389,2005.0761,1840.0691,3371.0525,3934.0636,903.1171,-3325.0312,-2757.1703,-482.5019,5058.8916,-1209.5715,-6431.6933,-5231.4380,834.6146,2646.3112,-5692.4190,-6191.8195,2401.2200,-2495.2068,-1248.7966,-3890.1691,-6264.8396,2970.4669,172.5687,889.4678,4803.9281,-3505.1208,-3678.5913,273.2203,-3436.4281,-300.7193,-2969.1537,112.7274,494.3020,6343.4446,-2072.0935,-5691.6218,814.2320,-3769.8291,-3594.9680,2150.9334,1673.7765,-341546.0369,-323421.3188,-338176.3284,-336922.1331,-338464.4180,-337688.0550,-329444.8714,-334521.6920,150689925.3740,150690739.1589,150682275.0363,150669999.2207,-332966.1831,150677761.6929,-6505.2401,-3861.8303,-4603.2602,-4430.0534,-802.5240,-2758.5836,6598.7679,4384.5064,-4685.1207,-3097.6966,-5476.8895,4542.7775,-5253.4764,-2960.8640,3780.2139,6680.6319,3663.5580,-3943.6104,-2507.1442,-5134.5343,-4624.9679,5193.8036,2989.0667,-754.6790,-1073.5229,-2214.7225,-6014.3034,157.6002,5258.4094,3024.2537,2167.5810,-5696.4200,2288.8975,5101.4227,0.0000,4020.5432,-1277.6908,-5582.9069,-229.6845,3359.4814,286.5815,5258.5176,4580.8922,-4825.4010,-3395.0974,-4948.4541,-3162.8407,-3320.2819,-3199.0085,3898.2057,5592.8477,1641.3450,4253.3495,4449.8547,-4774.1161,5829.8667,6234.9862,2497.7783,-5820.7697,-6414.8466,-5010.4849,-5036.1306,4263.1260,5798.3508,4266.2245,-4523.9572,6530.1983,-352.8830,-5852.5362,2416.0075,956.7101,-5232.5215,4496.5317,2291.4061,3095.9015,-3697.9064,-3312.1845,6243.2453,4788.0059,2363.3870,-2894.4526,6538.3711,-5960.1837,2181.0281,-5904.9708,-5152.2694,5030.5275,-2683.2958,-6701.8090,-4475.7797,-5332.8210,-6366.3145,-736.7559,-3806.9118,-3330.2835,5375.6491,-4632.9975,-3909.7816,6052.8186,3806.3147,-163765.1949,-186203.1664,-174428.3792,-173362.4828,-181865.6007,-179624.9511,-179360.5840,-178281.3103,13134502.1514,13107161.8943,13162570.0743,13152233.0320,-177680.4393,13149826.4042,104.5777,1367.1020,-1561.7736,5296.3388,-119.4275,5397.3250,-2043.8570,4316.5099,-2233.8422,5524.9050,4036.3951,4695.5401,3815.4153,3375.9737,3807.2450,-1342.3955,-4422.9936,4676.7717,-854.4912,3978.2657,4267.4418,4552.2114,6143.3112,1967.4157,-3553.4881,-5334.5063,-2678.9099,-2646.9395,-3397.4086,-5265.7980,-2195.1872,2136.1920,-4647.7870,4495.4701,0.0000,-5026.0807,-4772.0768,198.9110,-2900.3800,1836.5147,-3180.8662,633.6199,5089.0858,-4624.5334,-1163.4327,4670.9850,4630.2767,5138.2775,-3905.0341,5470.7692,-3619.7584,218.6446,-3702.4948,1129.3385,-2833.4705,-2591.0661,-190.5689,-5180.2883,1983.0903,-1075.4121,-4440.0603,2898.5551,3789.8550,-3684.1214,-4324.2195,-4439.0652,2258.9778,-4725.4227,-3470.0582,936.2152,-4407.1208,4457.0431,4515.9141,-3169.6623,150.9919,5322.3079,5514.6381,2662.3460,3099.4701,1576.5788,5504.9470,2212.4755,-3390.2936,4444.1939,-780.4473,-2839.7880,-4442.4247,5249.2773,-1422.3791,4340.3767,4384.6378,-2465.9058,2610.8681,5367.3765,-2091.1890,-4186.0435,3298.0616,-4419.9539,-2610.9065,5498.5619,-142288.0784,-142727.6842,-144197.0397,-140367.0726,-139000.3269,-149137.8729,-152058.4353,-144972.3717,41511039.0868,41486998.2444,41497600.3827,41515570.0066,-144284.0384,41505157.5300,
300.000,-3352.3869,-4694.4099,-5515.4518,-1785.9041,-6623.2098,-4846.3468,1469.8987,4351.2308,2695.4365,1056.8899,-2942.3885,3211.0908,-4177.8987,3592.6627,5556.6852,1377.6573,-4994.1173,1578.4543,-6807.6628,-3962.8324,-3413.0232,2565.6231,2067.6303,-6864.1088,-6500.4402,-5144.1665,-3782.3481,-5379.7982,-1932.0169,4844.6578,-5836.6875,2130.5045,5148.5492,2509.0607,0.0000,-375.1658,-5867.7449,-4783.9677,-6717.9035,5699.1564,5156.7219,-3277.8820,2101.8730,-279.1624,4714.0323,-3198.0899,-5218.1856,-3799.6835,-4627.9070,692.8759,-277.1071,6801.0730,4652.5776,-3758.9569,-4482.4615,3972.6845,-1246.7534,-2070.9762,1530.6833,638.1761,29.0096,2464.3795,5493.5933,2726.2671,-1339.5237,-3576.5865,1085.5249,4713.1496,-2692.7612,-5396.8231,-5577.7899,-1128.8895,4395.2942,-5607.8683,-5191.5032,278.6427,-4019.6676,251.8566,-2150.3138,-5893.4429,1295.9424,1445.3844,-414.9065,5045.7151,-4465.4977,-5161.7207,1934.2122,-4062.3391,-1830.6743,-4653.3788,-1555.8476,-899.8383,5233.4839,-4017.4532,-5845.7494,2779.9156,-5169.2080,-5219.9820,3422.5050,3480.3993,-338068.6521,-319394.2525,-334308.3849,-333049.9787,-334669.7104,-333883.3082,-325708.1637,-330775.8849,150371029.5773,150372617.4173,150362860.4412,150350897.1141,-329161.2486,150358771.0034,-5751.6495,-3760.9641,-3025.8473,-3739.7833,435.8735,-1375.7097,6746.0267,2620.0563,-5220.3247,-4403.9172,-4240.5246,2806.0518,-4796.7127,-3669.4055,3734.2671,5957.5163,4053.5941,-5250.6157,-1055.5245,-4702.5281,-2808.4735,4381.3036,3953.7948,783.4185,603.4198,-682.3073,-5668.2094,1805.3176,6377.5026,1855.0837,3451.6816,-6498.8709,239.0012,3627.6706,0.0000,4167.5669,244.1082,-4555.0582,1089.8106,1866.9230,-1162.2659,5885.9759,3549.9295,-5096.9512,-4142.4464,-4022.9037,-1475.8010,-1368.7485,-1296.8226,4573.9949,6508.0344,125.1910,2360.6739,5227.8143,-3130.3790,5583.2366,6560.6988,4307.8646,-6609.8295,-6180.3287,-5889.3345,-6135.4765,3270.0728,5844.0273,4364.7536,-2685.3491,6796.5553,-2460.9755,-6076.8806,3641.5409,2656.5803,-5734.0259,4223.3158,3727.7704,4264.5181,-4147.2797,-1764.4300,5550.6180,4848.9424,3545.0814,-4270.3601,6739.1280,-6664.2358,48.3528,-5169.0257,-4395.6981,3783.2516,-590.0521,-6606.4752,-4134.1095,-4217.9169,-5529.3353,-1952.7237,-3109.3847,-1580.3606,5352.1579,-4127.9755,-3294.3522,4729.6521,2591.2121,-171072.6409,-193171.9335,-181348.9182,-180400.1158,-188907.5568,-186688.1780,-186348.7437,-185448.4226,16425593.8625,16398646.3332,16453996.1358,16442724.6313,-184695.6329,16440929.4242,-1438.1112,3462.6475,-2917.5744,5529.1382,-1902.4668,4720.5514,-267.0770,4700.9387,-3455.2955,5226.2049,4609.3252,5356.5632,2713.9247,4612.7658,1902.6907,-3014.1451,-2491.6458,4224.0307,691.9799,2960.1612,5137.6833,4716.8710,5183.9415,475.0131,-2357.6750,-4568.2789,-1279.3089,-3760.2678,-1798.5659,-4475.0520,-419.1938,361.4979,-4479.9409,5290.3021,0.0000,-5491.5002,-3617.7968,1981.2479,-1221.8171,3428.2115,-4472.3060,-1189.5206,5468.0403,-4696.3517,-2850.9928,4632.0981,4179.9681,5372.7401,-4963.9552,5054.3932,-2068.7138,-1316.8559,-4430.0355,2549.7409,-4215.5520,-870.9238,1355.6595,-4527.2456,480.7887,-2782.9788,-3675.5910,1201.5249,2677.3219,-2532.0409,-5207.1784,-5270.0221,798.6224,-4446.5856,-1886.2547,2380.5973,-3085.8524,3715.6428,3239.1595,-1528.6289,1667.8177,5521.6193,5324.1050,4089.3623,4416.0292,-226.8728,5253.5796,449.6536,-1790.5948,4702.9792,1036.7830,-1469.0963,-5202.2241,5450.1401,115.9309,2995.9831,5239.0552,-3935.4091,4045.3081,4669.7321,-3346.7283,-3271.7432,1681.6655,-3103.3455,-3742.4603,5357.6182,-142231.9382,-142651.3703,-144011.0231,-140439.4185,-138816.0982,-148830.4528,-152099.5578,-144414.9314,41510852.8943,41486870.0919,41498132.9148,41515734.0801,-144199.6135,41505202.3648,
600.000,-4365.7111,-3299.3593,-5576.9085,-3685.7229,-5732.1989,-5932.9515,2579.4095,5151.3472,685.6825,-724.4244,-4364.9515,4099.0474,-5561.8876,1578.2954,6109.0462,2499.1558,-5632.8313,-199.8777,-6555.3380,-5424.6657,-4003.9233,4327.7231,3571.2338,-6466.5853,-6517.6397,-6005.1230,-5011.9419,-3956.2266,-781.2238,6038.0916,-5007.3033,906.3792,5366.2466,3711.5780,0.0000,1788.9234,-6353.0330,-5058.9850,-6496.2739,5104.0742,3683.3710,-1880.3139,3816.8574,-2382.4050,3059.7454,-4854.3152,-6010.1945,-4461.1552,-4129.5381,2636.8068,981.1085,6218.2721,5002.1631,-1952.9200,-4459.9754,4888.2360,394.4581,-750.0102,6.4542,-824.4530,-1758.5174,1303.4608,6518.6879,4268.9992,792.3201,-4099.6820,2540.6422,3954.1079,-3889.8396,-3834.4901,-5392.6883,-2961.7309,5691.7115,-4974.2003,-3679.0093,-1861.7242,-5182.8212,1767.3477,-172.2957,-4924.8676,-466.4903,2568.6654,-1658.3539,4837.6881,-4989.6350,-6139.0148,3432.7321,-4329.5835,-3177.9934,-5861.1480,-3114.6153,-2243.5109,3609.2828,-5566.8816,-5455.6007,4453.0950,-6023.8618,-6317.9676,4398.7942,4969.7888,-334433.8297,-315218.8316,-330289.3789,-329025.6576,-330725.0584,-329924.6093,-321825.3555,-326755.1430,149980256.8718,149982607.0728,149971552.2921,149959953.4602,-325208.4903,149967902.6690,-4404.5987,-3211.5268,-1140.9517,-2735.9407,1651.9686,97.3101,6220.2002,619.6423,-5253.8775,-5316.4779,-2619.6222,805.5512,-3896.1468,-4063.9300,3332.6232,4620.2986,3966.5960,-6072.7920,505.3826,-3819.9256,-705.9859,3185.7207,4553.8028,2240.7104,2202.1486,874.8011,-4781.4161,3301.2837,6855.9634,544.7698,4368.5924,-6633.1777,-1817.3255,1818.9638,0.0000,3961.3805,1705.8859,-3057.3575,2287.5858,159.7384,-2541.2043,5915.6011,2208.1440,-4921.4577,-4503.7223,-2746.9504,328.2091,705.1078,757.1471,4834.8568,6756.0731,-1415.4471,232.3444,5519.1243,-1158.0328,4785.1086,6220.5343,5639.6342,-6717.8591,-5314.3428,-6224.0681,-6563.8758,1985.7900,5340.8940,4089.2780,-588.9511,6404.8539,-4331.9403,-5707.1060,4536.6870,4067.3314,-5707.7832,3562.2439,4778.6111,5032.5769,-4246.5171,-85.9068,4326.2110,4469.9118,4370.4862,-5261.1311,6267.3827,-6709.3135,-2088.7901,-3910.0847,-3226.3569,2164.5973,1549.1875,-5847.6219,-3411.7522,-2720.9590,-4142.8502,-3018.0326,-2153.9099,343.6455,4821.8995,-3212.4365,-2384.8953,2953.8373,1169.0881,-178307.6228,-200051.9020,-188189.9697,-187356.9812,-195867.7511,-193668.1332,-193258.2091,-192477.1476,19709027.1583,19682487.6016,19737733.6085,19725547.8664,-191629.3957,19724370.2652,-2818.4574,5189.1303,-3961.4468,5166.3081,-3479.3805,3533.3471,1538.5698,4580.7086,-4288.0443,4365.6165,4687.2028,5424.5081,1319.8752,5350.5020,-203.2158,-4346.9219,-289.6400,3317.6483,2164.0211,1610.1983,5421.4303,4377.2032,3648.6946,-1068.4630,-910.4045,-3310.0456,257.2479,-4449.1570,-4.6275,-3189.1258,1404.4639,-1453.3819,-3811.5405,5509.6137,0.0000,-5363.8017,-2070.8165,3548.1056,588.5957,4649.3147,-5284.2063,-2880.1610,5242.4680,-4267.3279,-4228.2238,4095.4541,3266.0988,4978.8452,-5487.5715,4079.3511,-286.6116,-2711.0883,-4665.8797,3696.3756,-5141.5246,943.4874,2749.0378,-3311.5060,-1076.0475,-4176.2422,-2519.6968,-636.7197,1278.0558,-1108.4127,-5532.6005,-5533.5417,-747.4398,-3692.3741,-98.4713,3570.0744,-1430.6484,2575.6748,1611.4021,278.0224,3005.2395,5126.4591,4557.5363,5072.9284,5254.5217,-2005.5092,4431.9530,-1361.8969,2.4283,4451.9026,2741.8058,58.6068,-5352.2194,5041.3955,1641.3881,1327.6102,5527.3137,-4968.2492,5040.6616,3466.3572,-4242.1722,-1996.5281,-123.3495,-1451.3320,-4474.1893,4635.4992,-142175.9153,-142575.2859,-143825.2857,-140516.7189,-138635.3012,-148516.7532,-152135.4478,-143841.1801,41510664.0156,41486742.4423,41498672.7603,41515880.6710,-144115.1088,41505247.0684,
