sl_5_86400_20271004 Coordinates.csv
2027/10/04 07:47:00.0000 UTC

Generated: Tue Oct  8 17:06:44 2024,
Start: 2027/10/04 07:47:00.00, Stop: 2027/10/05 07:47:00.00,
TIME_UNITS,STARLINK-11132 [DTC] - X-Coordinate,STARLINK-31889 - X-Coordinate,STARLINK-30342 - X-Coordinate,STARLINK-1191 - X-Coordinate,STARLINK-3916 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11132 [DTC] - Y-Coordinate,STARLINK-31889 - Y-Coordinate,STARLINK-30342 - Y-Coordinate,STARLINK-1191 - Y-Coordinate,STARLINK-3916 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11132 [DTC] - Z-Coordinate,STARLINK-31889 - Z-Coordinate,STARLINK-30342 - Z-Coordinate,STARLINK-1191 - Z-Coordinate,STARLINK-3916 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-884.5205,2348.9215,5076.1942,2995.5297,257.1239,132037.1493,128968.2703,135781.3524,135067.0195,140048.7832,138400.1884,130798.9378,132856.1660,49653578.1508,49658301.8385,49652539.3982,49655445.0063,133236.7784,49660857.9366,5048.1383,-4767.3725,46.5435,-3310.3172,4210.5148,325510.7336,337173.8053,317969.5482,317964.6998,325018.1909,323612.4410,326455.8347,323307.6537,291205215.7497,291178435.7967,291183457.7877,291182232.6615,323536.1032,291187601.6144,-4373.0605,-4248.1510,4703.3822,5269.0961,-5461.8137,-167723.9959,-166334.8062,-167166.5059,-164262.4000,-162243.1980,-172091.8699,-175667.1997,-169418.2226,-100632734.8549,-100624928.4388,-100654454.4940,-100644345.1010,-167683.8904,-100640091.9961,
3600.000,-1822.4100,2420.9833,-4506.3710,1130.8338,-4464.3138,43813.5480,40836.8517,49394.2222,49035.9382,55230.4862,52867.9801,46621.6748,48197.6144,-27464317.4220,-27457783.8395,-27462486.3780,-27456450.6113,48270.6241,-27456008.8437,-6480.5616,4881.4937,3899.2292,4838.2306,-3013.9966,343901.1660,360223.5837,340698.1462,341947.7306,348273.5259,347003.7724,349058.0887,346622.2552,294138589.0450,294115772.2039,294109948.8270,294109602.4336,346522.2483,294120508.6044,-174.9533,4059.5159,-3534.7906,-4813.0033,4296.2927,-166864.6328,-167091.3247,-166671.9676,-167142.2029,-161986.1801,-169455.6508,-177312.8854,-166465.3908,-100683587.2543,-100669050.9693,-100698057.7349,-100687275.1861,-168267.7246,-100688218.2112,
7200.000,3363.9227,-5714.8030,3083.7639,-4025.8910,6657.1109,-42837.4508,-50497.0935,-40231.6553,-41064.9361,-32815.1469,-38385.9139,-40496.1513,-39516.7730,-102712129.4248,-102705977.9931,-102704081.2794,-102696702.9116,-39736.8166,-102702649.1101,3645.2727,-3616.8653,-6199.8380,-5462.7328,1768.8647,340452.3750,360337.1969,341885.9260,345915.9759,349618.6733,347334.0238,350171.0719,347633.5137,276996639.1086,276978132.1689,276964269.3728,276969183.5125,347581.3262,276978613.3320,4541.9056,-712.3289,177.3991,1308.8430,-364.0507,-166601.9389,-167852.5880,-166589.9898,-170308.2407,-162176.3586,-166641.6178,-178277.5343,-170600.6942,-100734719.5062,-100714508.2962,-100740305.3238,-100730365.0061,-168836.4603,-100736324.3682,
10800.000,-4300.8550,5964.4981,-532.6848,4820.5604,-5732.1665,-124779.5268,-139136.5071,-127379.3433,-127080.4845,-118467.7821,-128411.7232,-125237.7810,-125623.3146,-170953595.0344,-170949944.6418,-170938472.5037,-170934009.8325,-125220.0433,-170943076.2250,1561.5674,635.2727,6077.0665,3944.4088,216.9752,316741.2406,337442.8607,321376.9526,329923.7117,328918.9046,324629.0682,329734.5363,326170.9563,240948404.1759,240933367.0054,240917202.0514,240927621.5166,326649.4144,240930956.8528,-4945.7601,-3210.4384,3271.4594,2992.7880,-3834.5615,-166607.6775,-168612.2698,-167094.9370,-169704.3822,-162800.4286,-169278.5580,-178590.5473,-167684.2272,-100785935.6099,-100761071.8990,-100781906.1099,-100775014.6138,-169390.0726,-100784410.4427,
14400.000,4054.3009,-3706.9446,-2885.6972,-4272.0001,2695.0177,-197840.2757,-219361.5681,-206442.3357,-204204.4333,-196293.7190,-206775.0501,-202398.3807,-202474.2021,-227530446.3732,-227530872.4457,-227510541.3088,-227512074.4648,-202773.8077,-227519263.7044,-5284.6284,3348.0472,-4167.7915,-194.2420,-3127.9268,274432.1571,292953.5112,280439.0776,290477.3189,287433.9642,282248.8446,288932.5204,285788.1206,188453512.1930,188440192.1710,188428036.1155,188440687.3971,285052.3782,188437032.8879,981.5436,4604.7896,-4724.3546,-5436.8699,5513.5248,-166764.5010,-169365.9255,-168199.8279,-167746.3234,-163869.8270,-173445.4951,-178245.6905,-171509.1158,-100837032.8335,-100808505.6911,-100823907.2066,-100821761.7211,-169928.5378,-100832476.4102,
18000.000,-1458.4307,635.0635,5880.7996,3411.5520,416.0001,-258069.5357,-285996.8802,-272331.4476,-268844.9402,-261389.7917,-271042.0908,-267171.3096,-267577.1242,-268580425.9421,-268585665.6381,-268560135.6586,-268567982.2977,-267494.4773,-268569097.3892,5342.5391,-6327.3774,1645.8192,-4040.5407,5850.6378,216148.4444,229675.3457,221701.1786,231793.6314,227711.9858,222525.3690,230128.1795,224273.1422,123094335.0603,123080411.9814,123076735.4646,123086854.9731,225421.9586,123078977.2443,3818.3978,-2414.5873,3260.9890,4442.8521,-3635.2756,-167020.5696,-170110.2323,-169752.8395,-166354.1494,-165423.8787,-176635.4563,-177200.0772,-169036.4694,-100887814.8418,-100856612.7674,-100867199.4530,-100870950.1657,-170451.8337,-100880522.2463,
21600.000,-3026.1865,2137.1364,-6888.1815,-2402.4283,-2396.2502,-302153.1390,-334744.0688,-320845.9007,-316800.8183,-309726.1893,-318198.9167,-315388.5572,-315559.5582,-291300966.5910,-291310769.3276,-291284809.4872,-291295971.0054,-315289.6989,-291290017.8523,-2873.9603,6234.7872,694.2581,6448.7487,-6436.1717,145391.3469,151625.7390,148962.4834,158335.1556,153383.5164,149079.2985,156692.5702,152789.2746,49331483.4136,49314447.3196,49320855.6375,49323868.9055,151529.4511,49317124.4680,-5289.9427,-1682.6231,191.4645,-677.8309,-633.0717,-167347.8345,-170842.5625,-171477.9898,-165518.9924,-167539.2510,-178943.5607,-175367.1764,-172162.4892,-100938104.4100,-100905239.9446,-100912169.6448,-100922843.1919,-170959.9396,-100928547.9267,
25200.000,6396.2258,-4254.4938,5234.2731,492.3994,3423.8035,-327654.9481,-362457.7574,-348956.2497,-344917.7792,-338565.9521,-345665.7166,-343638.2689,-342399.1075,-294140529.0157,-294153643.2844,-294131545.3885,-294138746.7105,-343136.8364,-294130355.8729,121.5217,-2880.2500,-2838.8147,-5920.0642,3982.9648,66359.3167,63772.7640,66900.5376,74999.9234,68832.1130,66387.8779,72642.3667,66680.5526,-27800661.0168,-27823121.5537,-27807524.3080,-27813959.4174,68047.4749,-27814387.4420,2092.4095,4445.2062,-3543.7993,-3540.8487,4459.9812,-167729.1446,-171560.7242,-173049.0942,-165171.2459,-170328.2071,-180498.1204,-172639.8338,-170486.9108,-100987754.8997,-100954270.2591,-100958775.3985,-100977110.7372,-171452.8358,-100976553.4270,
28800.000,-5732.3443,5418.8119,-1739.6535,2535.3996,-4264.4532,-333177.6860,-367346.8491,-354971.1374,-351340.7670,-347604.1150,-351860.6486,-349031.9146,-350407.1018,-276904533.5372,-276918828.7990,-276903578.4210,-276896380.9714,-349273.8869,-276895298.2651,1974.7683,-1695.1267,4770.2806,3306.5171,358.8363,-16280.1693,-28286.5458,-19273.0445,-12832.0586,-21066.6778,-20515.4316,-18394.5031,-18580.1897,-103037582.9625,-103067213.3468,-103044894.4234,-103055625.5780,-19745.1401,-103051190.7155,2917.3448,-3747.7891,4702.1856,5506.7949,-5414.2264,-168153.1385,-172262.7907,-174177.1777,-165270.5532,-173402.6863,-181371.5294,-169735.2484,-172605.5263,-101036659.7532,-101003614.2052,-101006775.8927,-101030249.1502,-171930.5044,-101024538.7229,
