sl_20_5400_20270422 Coordinates.csv
2027/04/22 07:47:00.0000 UTC

Generated: Tue Oct  8 14:47:54 2024,
Start: 2027/04/22 07:47:00.00, Stop: 2027/04/22 09:17:00.00,
TIME_UNITS,STARLINK-2570 - X-Coordinate,STARLINK-11196 [DTC] - X-Coordinate,STARLINK-5824 - X-Coordinate,STARLINK-30100 - X-Coordinate,STARLINK-4508 - X-Coordinate,STARLINK-30088 - X-Coordinate,STARLINK-30867 - X-Coordinate,STARLINK-3457 - X-Coordinate,STARLINK-11137 [DTC] - X-Coordinate,STARLINK-30829 - X-Coordinate,STARLINK-31910 - X-Coordinate,STARLINK-31350 - X-Coordinate,STARLINK-1238 - X-Coordinate,STARLINK-2015 - X-Coordinate,STARLINK-5595 - X-Coordinate,STARLINK-1028 - X-Coordinate,STARLINK-3612 - X-Coordinate,STARLINK-31390 - X-Coordinate,STARLINK-31674 - X-Coordinate,STARLINK-1471 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2570 - Y-Coordinate,STARLINK-11196 [DTC] - Y-Coordinate,STARLINK-5824 - Y-Coordinate,STARLINK-30100 - Y-Coordinate,STARLINK-4508 - Y-Coordinate,STARLINK-30088 - Y-Coordinate,STARLINK-30867 - Y-Coordinate,STARLINK-3457 - Y-Coordinate,STARLINK-11137 [DTC] - Y-Coordinate,STARLINK-30829 - Y-Coordinate,STARLINK-31910 - Y-Coordinate,STARLINK-31350 - Y-Coordinate,STARLINK-1238 - Y-Coordinate,STARLINK-2015 - Y-Coordinate,STARLINK-5595 - Y-Coordinate,STARLINK-1028 - Y-Coordinate,STARLINK-3612 - Y-Coordinate,STARLINK-31390 - Y-Coordinate,STARLINK-31674 - Y-Coordinate,STARLINK-1471 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2570 - Z-Coordinate,STARLINK-11196 [DTC] - Z-Coordinate,STARLINK-5824 - Z-Coordinate,STARLINK-30100 - Z-Coordinate,STARLINK-4508 - Z-Coordinate,STARLINK-30088 - Z-Coordinate,STARLINK-30867 - Z-Coordinate,STARLINK-3457 - Z-Coordinate,STARLINK-11137 [DTC] - Z-Coordinate,STARLINK-30829 - Z-Coordinate,STARLINK-31910 - Z-Coordinate,STARLINK-31350 - Z-Coordinate,STARLINK-1238 - Z-Coordinate,STARLINK-2015 - Z-Coordinate,STARLINK-5595 - Z-Coordinate,STARLINK-1028 - Z-Coordinate,STARLINK-3612 - Z-Coordinate,STARLINK-31390 - Z-Coordinate,STARLINK-31674 - Z-Coordinate,STARLINK-1471 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4437.5777,-3779.0051,-722.8124,935.9117,5866.3858,377.9272,4873.5701,3842.2830,-4808.4840,-3732.5066,2441.6493,411.2084,-253.0521,-3669.6404,-4602.7405,-614.2973,-4790.0092,3159.7420,-1463.1797,1997.3718,74930.0018,83191.0601,69828.6053,71208.2805,68800.4124,69802.8729,78033.8702,72993.9269,143593138.2603,143603317.5758,143594270.0588,143590216.6127,74698.7563,143597340.5978,-3573.5714,2063.7454,6670.7286,5787.5851,-2834.6062,-6664.0283,1417.2251,5691.4791,956.7695,-5168.3830,4411.2243,-4492.9713,-4154.9333,-2362.5921,-4777.9488,4442.1107,-4792.5156,-5983.7654,-6647.5788,-5803.6535,-335080.0121,-366329.1006,-348525.3520,-347567.4657,-355867.5647,-353703.8199,-354300.7297,-352800.9964,1039835.0015,1021043.3784,1066894.6064,1063265.3933,-352267.7699,1059082.7876,-3687.8604,5185.0128,1718.4468,3703.8853,2257.4341,-1810.6236,-4730.4851,-799.0998,-4588.6059,2479.9456,-4604.4430,-5236.5798,-5520.1691,5241.2047,2068.3225,-5223.1039,-1334.8934,1035.4133,360.5495,3186.2833,-143493.3686,-146171.4606,-147274.8829,-143409.5716,-142071.5903,-152217.8099,-155111.6049,-147535.7854,41232974.2624,41213177.0058,41252377.0590,41248405.8408,-147345.6989,41238382.0032,
300.000,3950.5883,-3157.3339,898.9739,2598.2665,5534.2473,-1164.1999,5254.5393,4539.6167,-5091.2534,-4963.8164,4281.9457,-1483.7140,-2380.9711,-4107.7448,-4424.6586,1264.7672,-5653.6118,1783.8646,-2876.8763,324.9076,81880.4398,90876.5205,77299.6072,78671.9304,76186.8846,77196.4511,85368.2200,80455.0594,143540100.1859,143550962.6391,143540783.6480,143536868.5590,82098.1040,143544220.2476,-5078.4897,4028.0634,6152.9755,4636.5593,-4086.6666,-6809.0610,-686.9435,4561.4558,2787.0691,-4652.2266,3361.7443,-5137.6734,-3763.5965,-221.6630,-3619.4744,5160.1841,-3933.9817,-6009.4794,-6065.1082,-5259.8274,-333357.1313,-364585.2003,-346767.0870,-345926.3491,-354223.1716,-352081.7341,-352596.3625,-351233.3064,4179143.3814,4160602.9839,4205685.4266,4201948.0659,-350597.7187,4198341.8196,-2156.1494,4387.3943,3046.8765,4453.0227,497.5924,-303.3108,-4477.8230,-2529.7647,-3376.1408,738.1488,-4120.3774,-4379.0033,-5287.8827,5439.7744,3947.5695,-4376.7453,477.9872,2744.2985,-1191.5246,4474.9838,-143578.7462,-146270.2838,-147257.5604,-143650.3992,-142055.7379,-152079.5966,-155321.9742,-147131.9929,41233000.4846,41213300.2142,41252927.5002,41248829.3959,-147430.0895,41238641.9061,
600.000,3069.9242,-2248.0627,2460.4094,4044.7386,4650.0576,-2589.6820,5169.5846,4810.3734,-4852.1442,-5679.0713,5699.0559,-3201.7972,-4278.4224,-4182.9519,-3839.1718,2985.7918,-5954.5911,198.9078,-4008.0282,-1416.8051,88791.5280,98524.7081,84736.4079,86102.5675,83538.2794,84559.0651,92663.3195,88007.6850,143418436.9609,143429974.3275,143418696.6567,143414932.3749,89460.2201,143422477.0815,-6037.8890,5561.2967,5048.8389,3061.8608,-4923.9488,-6288.9425,-2711.8808,2963.9602,4290.7295,-3664.1324,2010.1057,-5311.2487,-3058.1714,1932.6877,-2062.4040,5397.7627,-2677.2496,-5436.0219,-4860.1218,-4228.0535,-331491.6968,-362678.7434,-344855.7096,-344130.9513,-352423.2883,-350303.1229,-350739.1625,-349456.1842,7316638.0855,7298362.5689,7342641.1232,7338800.3186,-348772.2957,7335784.1331,-378.5344,3080.3482,4048.1861,4726.6341,-1316.3891,1236.7275,-3747.7989,-3987.6039,-1766.6115,-1085.8682,-3175.4347,-3049.2665,-4486.5931,5029.1757,5407.4375,-3052.7809,2239.0086,4147.8956,-2609.4822,5281.6662,-143664.3415,-146369.1292,-147240.4758,-143896.1754,-142043.3070,-151935.0941,-155527.0958,-146751.1041,41233029.1399,41213424.3115,41253465.4027,41249235.2617,-147514.3895,41238901.6912,
900.000,1868.9460,-1133.3913,3818.3312,5137.2064,3290.1648,-3773.6082,4619.4014,4643.5107,-4100.4835,-5818.5809,6545.1188,-4579.7323,-5754.4238,-3882.4662,-2922.6468,4383.5197,-5675.3842,-1444.7178,-4755.2883,-3060.4836,95660.3868,106132.1696,92135.7382,93497.2102,90851.2308,91887.8115,99916.0874,95633.0862,143228202.5067,143240406.2978,143228063.9818,143224462.6777,96781.8433,143232165.1498,-6357.7382,6497.0139,3470.4854,1218.1059,-5279.0301,-5151.2399,-4463.2685,1051.7204,5313.8765,-2289.8799,484.4217,-4982.7841,-2099.3473,3876.9382,-255.0674,5117.5312,-1132.5738,-4332.8353,-3153.4093,-2818.3275,-329484.5932,-360610.5535,-342792.0377,-342182.2806,-350468.7081,-348368.3615,-348730.0811,-347460.6890,10450819.0818,10432821.8804,10476263.0669,10472324.5776,-346792.3287,10469909.7999,1442.2851,1415.4211,4615.0485,4495.6391,-2987.3798,2643.1575,-2617.8251,-5016.0691,51.0132,-2789.1333,-1874.8513,-1390.1825,-3201.8939,4055.2377,6293.3910,-1395.1176,3757.1487,5090.2431,-3734.0345,5519.7540,-143750.1516,-146467.9938,-147223.8220,-144146.9937,-142034.2681,-151784.2303,-155727.0266,-146429.7242,41233060.3328,41213549.3075,41253990.7735,41249623.4896,-147598.5989,41239161.3586,
1200.000,455.2346,86.4506,4845.4935,5767.7323,1580.3033,-4613.6062,3646.0179,4067.2597,-2900.4759,-5382.0929,6729.4856,-5490.4455,-6659.2560,-3225.9117,-1778.9907,5327.8131,-4855.7888,-2986.0979,-5054.0108,-4443.8956,102484.1562,113695.4702,99494.3425,100852.9208,98122.3963,99179.8279,107123.4598,103302.7539,142969483.5309,142982344.9974,142968973.2253,142965546.7335,104059.7304,142973371.2841,-6012.9373,6733.8798,1574.5833,-717.0837,-5132.5198,-3505.1792,-5774.2939,-989.1321,5757.0955,-656.4955,-1072.6401,-4168.9149,-967.6068,5410.5675,1624.2249,4332.0118,558.1267,-2821.0499,-1117.7926,-1173.6135,-327336.7624,-358381.5271,-340576.9552,-340081.4414,-348360.2939,-346277.8546,-346570.1262,-345243.8453,13580187.8282,13562482.1505,13605054.1476,13601024.7577,-344658.7141,13599220.3868,3098.2258,-413.9976,4686.8134,3784.6975,-4334.3152,3764.0519,-1208.1244,-5505.1393,1862.5918,-4182.6810,-364.0068,419.2917,-1571.6090,2626.8210,6511.9320,415.2745,4867.8841,5466.8350,-4439.2223,5163.7775,-143836.1740,-146566.8746,-147207.7911,-144402.9475,-142028.5927,-151626.9388,-155921.8210,-146200.6420,41233094.1667,41213675.2122,41254503.6372,41249994.1369,-147682.7176,41239420.9082,
1500.000,-1038.7913,1301.8095,5442.3779,5869.3255,-316.3561,-5038.4635,2330.2792,3144.6736,-1366.4384,-4426.7512,6229.0217,-5855.1411,-6900.2151,-2264.8376,-527.6746,5736.1036,-3587.2819,-4269.5647,-4881.1945,-5425.8676,109259.9965,121211.1952,106808.9801,108166.8102,105348.4581,106432.2978,114282.3920,110980.3949,142642399.4884,142655909.6260,142641544.6551,142638304.4208,111290.6583,142646215.0588,-5049.1013,6247.1612,-453.5073,-2560.2073,-4512.8479,-1510.8590,-6521.8153,-2957.2284,5585.3390,1079.6804,-2516.9671,-2934.3563,242.9350,6377.0958,3384.9034,3104.4746,2234.4702,-1059.7545,1039.6718,544.7875,-325049.2030,-355992.6338,-338211.4112,-337829.6391,-346098.9773,-344032.0326,-344260.3626,-342809.5737,16703247.9886,16685846.8134,16727519.4859,16723406.9748,-342372.4164,16722219.6722,4400.0456,-2195.3636,4255.8537,2669.6248,-5211.8238,4478.4531,330.8185,-5402.5995,3454.3801,-5112.5780,1187.6876,2183.3004,228.5714,903.8941,6040.0270,2180.1192,5451.1073,5235.9718,-4646.2411,4251.9793,-143922.4061,-146665.7684,-147192.5737,-144664.1285,-142026.2543,-151463.1618,-156111.5302,-146089.7218,41233130.7437,41213802.0356,41255004.0350,41250347.2667,-147766.7456,41239680.3401,
1800.000,-2468.2618,2403.1531,5546.8268,5423.2979,-2214.9705,-5013.7891,785.6367,1966.6263,348.0063,-3059.2269,5091.3457,-5650.2343,-6451.8078,-1079.3769,708.7737,5580.7025,-2002.3758,-5160.3747,-4256.6851,-5900.8456,115985.0896,128675.9515,114076.4264,115436.0413,112526.1243,113642.4564,121389.8593,118624.9278,142247102.5260,142261252.0799,142245931.1499,142242888.1776,118471.4252,142250848.7351,-3576.2999,5091.3117,-2417.9312,-4139.3278,-3491.4050,636.6908,-6638.3243,-4655.5691,4830.2081,2748.0257,-3716.2785,-1387.3433,1431.8775,6680.5869,4843.4200,1544.3801,3732.9125,770.9236,3098.7109,2173.0407,-322622.9698,-353444.9154,-335696.4203,-335428.1849,-343685.7582,-341631.3458,-341801.9119,-340168.8595,19818506.1489,19801422.2207,19842167.1438,19837980.2580,-339934.4675,19837414.3612,5199.2190,-3722.1126,3368.3381,1269.4311,-5525.5459,4709.3880,1834.3168,-4719.2897,4638.6912,-5476.5521,2605.9390,3710.5764,2003.9787,-920.3781,4927.3939,3705.8970,5443.9152,4423.2157,-4331.9225,2882.3297,-144008.8451,-146764.6724,-147178.3587,-144930.6253,-142027.2272,-151292.8534,-156296.2032,-146113.2704,41233170.1643,41213929.7878,41255492.0233,41250682.9462,-147850.6829,41239939.6543,
2100.000,-3689.8646,3290.5536,5140.6733,4462.2860,-3926.9129,-4544.4234,-851.4128,643.0463,2065.4978,-1423.4444,3430.3324,-4908.3268,-5358.8309,227.9656,1816.6897,4890.0869,-260.5000,-5558.9713,-3240.8497,-5810.5986,122656.6401,136086.3693,121293.4747,122657.8349,119652.1295,120807.5973,128442.8591,126194.1467,141783777.4122,141798556.8819,141782318.1296,141779482.9333,125598.8515,141787457.1904,-1755.9112,3393.2988,-4131.2916,-5310.2571,-2174.0568,2726.8073,-6118.2512,-5910.9981,3584.5510,4180.1831,-4562.1802,329.7747,2500.5291,6295.4954,5842.4893,-202.3751,4902.6735,2488.2420,4848.0597,3560.4236,-320059.1738,-350739.4854,-333033.0620,-332878.5025,-341121.7048,-339076.2590,-339195.9520,-337339.0493,22924472.5308,22907718.3559,22947508.8353,22943257.2601,-337345.9665,22943314.7998,5404.7677,-4817.8549,2119.3851,-266.3384,-5241.7923,4432.0181,3141.3117,-3528.0642,5276.1616,-5234.6908,3731.4365,4835.5253,3562.3317,-2641.6116,3291.5626,4825.4355,4847.1580,3118.6630,-3531.2273,1202.2122,-144095.4887,-146863.5839,-147165.3330,-145202.5208,-142031.4877,-151115.9842,-156475.8863,-146276.3049,41233212.5282,41214058.4790,41255967.6724,41251001.2466,-147934.5293,41240198.8507,
2400.000,-4576.0853,3882.1867,4252.6162,3068.3249,-5278.2110,-3673.6195,-2433.3699,-706.9686,3603.3736,314.5206,1414.3667,-3713.3077,-3731.7482,1540.9273,2701.6656,3744.2402,1468.0773,-5412.4505,-1929.0197,-5151.6142,129271.8762,143439.1034,128456.9371,129829.4734,126723.2363,127925.0799,135438.4114,133648.5656,141252641.4508,141268041.0949,141250923.4696,141248306.0245,132669.7821,141256257.8321,217.4592,1337.8865,-5432.6779,-5969.8611,-690.1801,4553.9327,-5017.8466,-6591.9807,1990.5654,5226.7045,-4979.7307,2053.7731,3359.8023,5268.5152,6268.5011,-1967.3104,5620.9350,3925.1451,6106.9940,4583.4044,-317358.9812,-347877.5286,-330222.4807,-330182.1358,-338407.9527,-336367.2447,-336443.7176,-334342.3243,26019661.7049,26003249.5467,26042060.6339,26037754.9663,-334608.0792,26038435.6873,4993.3372,-5356.5246,642.9798,-1773.7007,-4390.9410,3676.2356,4111.8553,-1956.4857,5291.9151,-4413.5234,4437.9224,5436.3015,4734.9416,-4067.4976,1305.9044,5416.3213,3725.3194,1467.2053,-2333.5752,-607.3996,-144182.3344,-146962.5000,-147153.6809,-145479.8886,-142039.0130,-150932.5468,-156650.6232,-146572.0290,41233257.9332,41214188.1197,41256431.0659,41251302.2423,-148018.2850,41240457.9293,
