sl_100_5400_20271107 Coordinates.csv
2027/11/07 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:35 2024,
Start: 2027/11/07 07:47:00.00, Stop: 2027/11/07 09:17:00.00,
TIME_UNITS,STARLINK-2333 - X-Coordinate,STARLINK-2450 - X-Coordinate,STARLINK-5431 - X-Coordinate,STARLINK-3227 - X-Coordinate,STARLINK-3861 - X-Coordinate,STARLINK-2322 - X-Coordinate,STARLINK-6260 - X-Coordinate,STARLINK-3930 - X-Coordinate,STARLINK-5716 - X-Coordinate,STARLINK-31051 - X-Coordinate,STARLINK-4790 - X-Coordinate,STARLINK-31265 - X-Coordinate,STARLINK-2486 - X-Coordinate,STARLINK-31679 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-3415 - X-Coordinate,STARLINK-5212 - X-Coordinate,STARLINK-4404 - X-Coordinate,STARLINK-3219 - X-Coordinate,STARLINK-6230 - X-Coordinate,STARLINK-30424 - X-Coordinate,STARLINK-30049 - X-Coordinate,STARLINK-2515 - X-Coordinate,STARLINK-30597 - X-Coordinate,STARLINK-3244 - X-Coordinate,STARLINK-5949 - X-Coordinate,STARLINK-5987 - X-Coordinate,STARLINK-30756 - X-Coordinate,STARLINK-1588 - X-Coordinate,STARLINK-5196 - X-Coordinate,STARLINK-1279 - X-Coordinate,STARLINK-2022 - X-Coordinate,STARLINK-6273 - X-Coordinate,STARLINK-5618 - X-Coordinate,STARLINK-6214 - X-Coordinate,STARLINK-31489 - X-Coordinate,STARLINK-3247 - X-Coordinate,STARLINK-6347 - X-Coordinate,STARLINK-31067 - X-Coordinate,STARLINK-31523 - X-Coordinate,STARLINK-30526 - X-Coordinate,STARLINK-1167 - X-Coordinate,STARLINK-30884 - X-Coordinate,STARLINK-3746 - X-Coordinate,STARLINK-3842 - X-Coordinate,STARLINK-3776 - X-Coordinate,STARLINK-3540 - X-Coordinate,STARLINK-3124 - X-Coordinate,STARLINK-11210 [DTC] - X-Coordinate,STARLINK-3705 - X-Coordinate,STARLINK-4155 - X-Coordinate,STARLINK-11104 [DTC] - X-Coordinate,STARLINK-31218 - X-Coordinate,STARLINK-2460 - X-Coordinate,STARLINK-1975 - X-Coordinate,STARLINK-4710 - X-Coordinate,STARLINK-3849 - X-Coordinate,STARLINK-6318 - X-Coordinate,STARLINK-3105 - X-Coordinate,STARLINK-1493 - X-Coordinate,STARLINK-31195 - X-Coordinate,STARLINK-6106 - X-Coordinate,STARLINK-30562 - X-Coordinate,STARLINK-2455 - X-Coordinate,STARLINK-1277 - X-Coordinate,STARLINK-5412 - X-Coordinate,STARLINK-30574 - X-Coordinate,STARLINK-31340 - X-Coordinate,STARLINK-5864 - X-Coordinate,STARLINK-32241 - X-Coordinate,STARLINK-3557 - X-Coordinate,STARLINK-5642 - X-Coordinate,STARLINK-5265 - X-Coordinate,STARLINK-11105 [DTC] - X-Coordinate,STARLINK-31047 - X-Coordinate,STARLINK-2140 - X-Coordinate,STARLINK-3995 - X-Coordinate,STARLINK-5558 - X-Coordinate,STARLINK-30961 - X-Coordinate,STARLINK-4159 - X-Coordinate,STARLINK-6164 - X-Coordinate,STARLINK-30916 - X-Coordinate,STARLINK-30524 - X-Coordinate,STARLINK-11255 [DTC] - X-Coordinate,STARLINK-30185 - X-Coordinate,STARLINK-31889 - X-Coordinate,STARLINK-2196 - X-Coordinate,STARLINK-1933 - X-Coordinate,STARLINK-4543 - X-Coordinate,STARLINK-31215 - X-Coordinate,STARLINK-11107 [DTC] - X-Coordinate,STARLINK-1934 - X-Coordinate,STARLINK-30968 - X-Coordinate,STARLINK-31754 - X-Coordinate,STARLINK-2582 - X-Coordinate,STARLINK-1959 - X-Coordinate,STARLINK-5048 - X-Coordinate,STARLINK-5613 - X-Coordinate,STARLINK-5062 - X-Coordinate,STARLINK-1458 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2333 - Y-Coordinate,STARLINK-2450 - Y-Coordinate,STARLINK-5431 - Y-Coordinate,STARLINK-3227 - Y-Coordinate,STARLINK-3861 - Y-Coordinate,STARLINK-2322 - Y-Coordinate,STARLINK-6260 - Y-Coordinate,STARLINK-3930 - Y-Coordinate,STARLINK-5716 - Y-Coordinate,STARLINK-31051 - Y-Coordinate,STARLINK-4790 - Y-Coordinate,STARLINK-31265 - Y-Coordinate,STARLINK-2486 - Y-Coordinate,STARLINK-31679 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-3415 - Y-Coordinate,STARLINK-5212 - Y-Coordinate,STARLINK-4404 - Y-Coordinate,STARLINK-3219 - Y-Coordinate,STARLINK-6230 - Y-Coordinate,STARLINK-30424 - Y-Coordinate,STARLINK-30049 - Y-Coordinate,STARLINK-2515 - Y-Coordinate,STARLINK-30597 - Y-Coordinate,STARLINK-3244 - Y-Coordinate,STARLINK-5949 - Y-Coordinate,STARLINK-5987 - Y-Coordinate,STARLINK-30756 - Y-Coordinate,STARLINK-1588 - Y-Coordinate,STARLINK-5196 - Y-Coordinate,STARLINK-1279 - Y-Coordinate,STARLINK-2022 - Y-Coordinate,STARLINK-6273 - Y-Coordinate,STARLINK-5618 - Y-Coordinate,STARLINK-6214 - Y-Coordinate,STARLINK-31489 - Y-Coordinate,STARLINK-3247 - Y-Coordinate,STARLINK-6347 - Y-Coordinate,STARLINK-31067 - Y-Coordinate,STARLINK-31523 - Y-Coordinate,STARLINK-30526 - Y-Coordinate,STARLINK-1167 - Y-Coordinate,STARLINK-30884 - Y-Coordinate,STARLINK-3746 - Y-Coordinate,STARLINK-3842 - Y-Coordinate,STARLINK-3776 - Y-Coordinate,STARLINK-3540 - Y-Coordinate,STARLINK-3124 - Y-Coordinate,STARLINK-11210 [DTC] - Y-Coordinate,STARLINK-3705 - Y-Coordinate,STARLINK-4155 - Y-Coordinate,STARLINK-11104 [DTC] - Y-Coordinate,STARLINK-31218 - Y-Coordinate,STARLINK-2460 - Y-Coordinate,STARLINK-1975 - Y-Coordinate,STARLINK-4710 - Y-Coordinate,STARLINK-3849 - Y-Coordinate,STARLINK-6318 - Y-Coordinate,STARLINK-3105 - Y-Coordinate,STARLINK-1493 - Y-Coordinate,STARLINK-31195 - Y-Coordinate,STARLINK-6106 - Y-Coordinate,STARLINK-30562 - Y-Coordinate,STARLINK-2455 - Y-Coordinate,STARLINK-1277 - Y-Coordinate,STARLINK-5412 - Y-Coordinate,STARLINK-30574 - Y-Coordinate,STARLINK-31340 - Y-Coordinate,STARLINK-5864 - Y-Coordinate,STARLINK-32241 - Y-Coordinate,STARLINK-3557 - Y-Coordinate,STARLINK-5642 - Y-Coordinate,STARLINK-5265 - Y-Coordinate,STARLINK-11105 [DTC] - Y-Coordinate,STARLINK-31047 - Y-Coordinate,STARLINK-2140 - Y-Coordinate,STARLINK-3995 - Y-Coordinate,STARLINK-5558 - Y-Coordinate,STARLINK-30961 - Y-Coordinate,STARLINK-4159 - Y-Coordinate,STARLINK-6164 - Y-Coordinate,STARLINK-30916 - Y-Coordinate,STARLINK-30524 - Y-Coordinate,STARLINK-11255 [DTC] - Y-Coordinate,STARLINK-30185 - Y-Coordinate,STARLINK-31889 - Y-Coordinate,STARLINK-2196 - Y-Coordinate,STARLINK-1933 - Y-Coordinate,STARLINK-4543 - Y-Coordinate,STARLINK-31215 - Y-Coordinate,STARLINK-11107 [DTC] - Y-Coordinate,STARLINK-1934 - Y-Coordinate,STARLINK-30968 - Y-Coordinate,STARLINK-31754 - Y-Coordinate,STARLINK-2582 - Y-Coordinate,STARLINK-1959 - Y-Coordinate,STARLINK-5048 - Y-Coordinate,STARLINK-5613 - Y-Coordinate,STARLINK-5062 - Y-Coordinate,STARLINK-1458 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2333 - Z-Coordinate,STARLINK-2450 - Z-Coordinate,STARLINK-5431 - Z-Coordinate,STARLINK-3227 - Z-Coordinate,STARLINK-3861 - Z-Coordinate,STARLINK-2322 - Z-Coordinate,STARLINK-6260 - Z-Coordinate,STARLINK-3930 - Z-Coordinate,STARLINK-5716 - Z-Coordinate,STARLINK-31051 - Z-Coordinate,STARLINK-4790 - Z-Coordinate,STARLINK-31265 - Z-Coordinate,STARLINK-2486 - Z-Coordinate,STARLINK-31679 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-3415 - Z-Coordinate,STARLINK-5212 - Z-Coordinate,STARLINK-4404 - Z-Coordinate,STARLINK-3219 - Z-Coordinate,STARLINK-6230 - Z-Coordinate,STARLINK-30424 - Z-Coordinate,STARLINK-30049 - Z-Coordinate,STARLINK-2515 - Z-Coordinate,STARLINK-30597 - Z-Coordinate,STARLINK-3244 - Z-Coordinate,STARLINK-5949 - Z-Coordinate,STARLINK-5987 - Z-Coordinate,STARLINK-30756 - Z-Coordinate,STARLINK-1588 - Z-Coordinate,STARLINK-5196 - Z-Coordinate,STARLINK-1279 - Z-Coordinate,STARLINK-2022 - Z-Coordinate,STARLINK-6273 - Z-Coordinate,STARLINK-5618 - Z-Coordinate,STARLINK-6214 - Z-Coordinate,STARLINK-31489 - Z-Coordinate,STARLINK-3247 - Z-Coordinate,STARLINK-6347 - Z-Coordinate,STARLINK-31067 - Z-Coordinate,STARLINK-31523 - Z-Coordinate,STARLINK-30526 - Z-Coordinate,STARLINK-1167 - Z-Coordinate,STARLINK-30884 - Z-Coordinate,STARLINK-3746 - Z-Coordinate,STARLINK-3842 - Z-Coordinate,STARLINK-3776 - Z-Coordinate,STARLINK-3540 - Z-Coordinate,STARLINK-3124 - Z-Coordinate,STARLINK-11210 [DTC] - Z-Coordinate,STARLINK-3705 - Z-Coordinate,STARLINK-4155 - Z-Coordinate,STARLINK-11104 [DTC] - Z-Coordinate,STARLINK-31218 - Z-Coordinate,STARLINK-2460 - Z-Coordinate,STARLINK-1975 - Z-Coordinate,STARLINK-4710 - Z-Coordinate,STARLINK-3849 - Z-Coordinate,STARLINK-6318 - Z-Coordinate,STARLINK-3105 - Z-Coordinate,STARLINK-1493 - Z-Coordinate,STARLINK-31195 - Z-Coordinate,STARLINK-6106 - Z-Coordinate,STARLINK-30562 - Z-Coordinate,STARLINK-2455 - Z-Coordinate,STARLINK-1277 - Z-Coordinate,STARLINK-5412 - Z-Coordinate,STARLINK-30574 - Z-Coordinate,STARLINK-31340 - Z-Coordinate,STARLINK-5864 - Z-Coordinate,STARLINK-32241 - Z-Coordinate,STARLINK-3557 - Z-Coordinate,STARLINK-5642 - Z-Coordinate,STARLINK-5265 - Z-Coordinate,STARLINK-11105 [DTC] - Z-Coordinate,STARLINK-31047 - Z-Coordinate,STARLINK-2140 - Z-Coordinate,STARLINK-3995 - Z-Coordinate,STARLINK-5558 - Z-Coordinate,STARLINK-30961 - Z-Coordinate,STARLINK-4159 - Z-Coordinate,STARLINK-6164 - Z-Coordinate,STARLINK-30916 - Z-Coordinate,STARLINK-30524 - Z-Coordinate,STARLINK-11255 [DTC] - Z-Coordinate,STARLINK-30185 - Z-Coordinate,STARLINK-31889 - Z-Coordinate,STARLINK-2196 - Z-Coordinate,STARLINK-1933 - Z-Coordinate,STARLINK-4543 - Z-Coordinate,STARLINK-31215 - Z-Coordinate,STARLINK-11107 [DTC] - Z-Coordinate,STARLINK-1934 - Z-Coordinate,STARLINK-30968 - Z-Coordinate,STARLINK-31754 - Z-Coordinate,STARLINK-2582 - Z-Coordinate,STARLINK-1959 - Z-Coordinate,STARLINK-5048 - Z-Coordinate,STARLINK-5613 - Z-Coordinate,STARLINK-5062 - Z-Coordinate,STARLINK-1458 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5833.0788,-5581.4055,5339.7799,-1373.1146,5196.5476,3899.6878,-3532.1524,-4101.3257,-418.0416,295.8568,-2070.5569,3176.4214,-4248.8926,6227.7743,-2090.9921,4023.7522,-2566.1389,-123.9281,4774.9534,3144.9106,-1589.7907,6697.8494,4368.6122,4922.0081,-6388.7758,-6198.7788,-1593.3010,-4768.8720,4708.5639,-1522.7712,-3638.0860,2926.5519,-4825.6135,-4581.5220,-1937.9764,1813.2621,6663.0111,-3003.2628,-3539.2343,4109.2498,6655.7510,181.6333,-4517.6527,1306.9795,6281.3301,-1815.3642,3541.4784,5795.9742,3742.1598,-4856.0442,-2784.9561,-2196.7588,6639.7669,3467.7734,-2468.0179,1290.3499,6569.0049,-5845.1635,-6892.9836,1971.7925,5149.8735,6511.5111,2577.6722,-209.1442,-5699.8768,-1774.0521,-6263.6427,4575.1145,-1891.2490,-3972.9536,-5710.3200,-6406.8060,-1573.9464,4303.1206,-1520.7821,-4892.4229,4687.6663,1016.2050,-165.4071,4971.4917,504.2888,5045.5957,5223.0192,-4674.2810,-3928.7267,-4996.0270,5826.3341,-4017.0105,-3883.5734,-4275.7233,-1548.4603,5528.9257,-3128.8100,4240.8641,-714.9508,-4634.7219,3944.6647,-6764.4145,-2837.4767,4900.4533,388270.5645,382073.9153,385411.3495,384935.5261,385253.3005,384602.0615,376731.3507,381062.1562,9894540.1689,9881065.6497,9901903.5262,9896277.7298,380350.1243,9899517.4616,-3603.6687,-1783.3003,1581.1840,5881.3991,-3169.3170,-3347.2642,3790.6902,583.7534,-5380.8766,6822.5622,-4180.5680,6010.7422,4229.3660,1177.3617,4068.3070,1002.2406,3359.8271,1109.6880,1199.0615,-4020.1097,-4306.6899,-105.3510,-4821.0928,-4862.2735,-2503.3432,1868.0888,-2134.2065,4348.7093,-2589.4652,3792.9001,-5553.7596,-4450.1858,-4753.2054,-3112.9544,1310.2009,5165.6895,1706.0743,-4541.0680,3656.8849,-4256.0783,-719.0536,-5100.3338,3199.5823,5861.6883,-163.9983,6136.9074,5731.9928,799.9694,4680.9619,1953.4444,5857.2127,-6373.8016,1503.2462,4991.0382,3369.1969,-6203.0296,1141.7806,-2481.8006,250.1958,-4111.7433,-2187.5007,72.3853,3377.3379,4829.8411,-688.0305,3940.7764,2140.6248,1893.4778,-1759.7337,-4376.0116,-3491.1462,1699.5711,-6622.3320,1496.3773,5163.5493,3815.0066,-2228.5137,3950.7007,-5110.1482,-2147.3778,5129.4092,866.1858,-2254.5955,2452.1653,-4566.0498,1518.9273,3578.7804,-4395.6944,4607.3498,-3163.8300,-5712.5992,-3467.0463,6193.0156,3373.9083,-4840.9700,1282.9928,-3332.8910,-1564.4366,-2585.6281,882.1554,92328.5881,107315.9935,105425.3677,105200.7109,113825.7378,111801.3728,109960.0563,109862.2849,299968627.5675,299985604.3966,299935045.7180,299955662.1472,108852.2429,299949025.1363,-654.8394,-3658.8638,4076.1545,-3337.3428,-3260.8101,4545.8738,4597.6912,-5537.0534,-4355.3311,-1125.6457,4909.8155,-778.1020,-3432.7855,-2501.7503,-5188.5056,-5527.4359,5447.5239,6840.6282,4830.5797,4677.4512,5092.5940,-1808.2282,-2217.0338,-650.6438,-974.2569,-2489.1048,6405.4766,2497.4108,-4283.6072,-5604.0747,-1938.8491,-4404.4502,1442.5113,4116.2867,-6348.7091,-4105.2832,-957.2939,-4297.0044,4710.0166,3492.6074,1795.6179,4636.5905,-4144.3233,3395.0655,2834.9599,2551.3555,1544.6865,-3689.0191,-3061.9799,-4523.9822,2372.3888,-61.0207,-578.4178,3196.2350,5487.9246,2748.0736,-1809.7043,2771.1239,371.7666,5081.5426,3939.8346,2357.0167,-5471.0658,4778.7397,-3860.8411,5373.8143,2076.0692,-4612.8908,-6444.7417,-3472.0023,1684.5264,-1990.3637,-1347.7545,-4860.0911,4331.2752,-3069.8311,-4567.2208,5630.5105,4673.1069,4291.7516,4620.2686,-4532.3011,3907.4279,-4162.4663,-3420.2319,-4359.8379,-688.4354,2976.7479,-3375.2550,4329.4247,-3274.1344,-2083.6359,-72.4918,-4095.8295,4860.0839,4946.9330,-4554.4080,-245.4120,5776.7391,4784.4183,-76883.9126,-80662.3812,-79862.2515,-77157.5276,-74997.7286,-84777.9932,-88495.2859,-79170.5698,-131220025.9880,-131240261.7667,-131212970.3449,-131219481.8488,-80470.2017,-131217136.0364,
300.000,5047.9870,-4967.8094,6369.6411,-133.0846,3547.4755,1923.7989,-2070.4493,-3613.3980,-2406.5669,1490.7303,-3986.7666,4277.4721,-3617.6562,6717.9520,-621.2654,4473.9972,-1022.4818,-2136.1055,4164.4399,1222.8093,-3556.8043,5973.4588,2810.6440,3736.0234,-6284.8278,-4958.5620,-2542.3030,-3827.5011,4498.1453,-904.6715,-4256.1778,918.4263,-5449.4014,-5807.6354,-390.9780,3727.7996,6870.0599,-4776.5433,-1946.2379,3454.2213,5789.4761,-1589.8038,-3646.9783,2467.7628,6632.8853,-273.5520,4616.9972,6548.6944,4175.9803,-4846.3184,-1213.0428,-3233.3126,6709.9334,4019.2832,-510.3529,-227.0644,6906.9870,-5719.7652,-6603.4010,469.7000,3624.8645,6697.2651,4351.3671,1659.6112,-4756.8811,394.0855,-5865.8073,5159.0938,-3766.8754,-4305.5062,-5710.7810,-5326.2591,-2028.5779,5455.2895,368.1403,-3223.1342,4562.9429,2482.1952,-2268.6338,3271.6603,2540.5336,5964.3985,4781.6260,-2871.1378,-4695.5255,-3744.3677,6314.9187,-5331.4140,-3141.8963,-4898.0530,-2651.9739,5021.2405,-1641.3163,5668.4931,-2563.5045,-3146.9672,3367.4889,-6629.7007,-2525.3522,5828.1667,386326.2338,379272.5286,382962.3673,382476.8562,382886.0057,382204.7033,374428.0707,378416.9493,3345384.6605,3331291.7487,3353305.0150,3346780.3085,377975.4717,3350440.9916,-4537.4202,-31.3452,293.8920,6678.4298,-3815.9152,-3911.0896,5261.5207,2685.0662,-5462.8561,6144.5382,-3883.5897,4847.3187,5587.1115,-386.4005,5395.3615,-1094.5102,4785.2115,2030.5669,-805.6173,-4998.8408,-4148.1364,-1655.0230,-5039.5162,-5788.7360,-1158.2515,3193.1046,-136.9441,5667.9000,-4291.2571,5417.9194,-4174.0284,-4405.5380,-3209.1010,-2963.5738,2908.8896,4797.0373,518.9904,-3675.6236,5057.7731,-5624.7415,-2196.1186,-4045.7581,4931.0000,4481.6210,-1499.7064,5597.7897,5140.4912,-552.7459,2954.5800,3718.4398,5591.5728,-5647.7739,279.5576,3304.9003,4320.5334,-5509.1897,-57.8469,-621.0538,1437.1262,-5407.4364,-3612.4783,-1518.9627,2259.8899,3830.1669,955.6675,4147.9922,3659.2069,-196.9115,-801.1892,-2575.7252,-2022.9505,2109.9814,-5741.1423,-94.9951,4520.7732,4271.4751,-4003.2636,4896.1520,-5017.4364,-3174.8473,4418.5392,-674.5679,-4085.8246,3357.9981,-2747.4821,3278.5754,2459.7400,-3775.9027,5888.8358,-1113.7484,-4271.8108,-4647.8666,6552.7914,2027.6663,-5189.1501,2790.0246,-5020.9631,-898.9007,-497.7973,-722.9377,100563.4503,115070.5825,113383.5542,113265.3062,121901.1894,119884.4873,118001.4318,117616.6828,300113730.8412,300130242.2998,300080434.9217,300100231.4391,116899.3271,300094187.7481,1159.8833,-4800.4793,2645.0584,-1726.9710,-4532.6912,5297.3229,4003.1788,-5249.3127,-3529.6554,-2818.2345,3862.2357,-2247.2370,-1846.3049,-1066.1080,-4283.2979,-5151.2616,4859.7299,6275.2271,5437.3515,4630.8775,4144.6968,-3120.6231,-3736.1305,892.8471,-2684.9458,-3652.5504,6453.5973,1068.7287,-2927.0987,-4234.1711,-3509.1005,-5245.7956,2817.4520,2269.2485,-6095.4844,-3148.8904,856.0260,-3431.3619,4326.6815,1914.6885,3109.5288,5351.0638,-3193.6537,4625.2764,1141.3151,4003.2892,-259.9742,-2154.2101,-4374.0903,-3247.2285,3863.2819,1753.6720,1244.6252,4477.5671,5351.2847,4154.7247,-17.4807,3857.1949,-1437.6272,4144.5491,4541.5590,908.8588,-4893.0343,5363.7587,-4932.7929,5494.3902,595.7555,-4374.8356,-5776.5892,-4671.5649,3301.2623,-3883.7217,-3329.3880,-3821.2113,5209.6678,-4391.6947,-3308.9598,4271.2815,4203.0683,5190.4583,4683.0627,-3272.1699,2844.9312,-5066.8911,-4288.8391,-4637.7912,1128.7848,1292.4388,-1772.3504,4668.9240,-4525.7813,-307.2192,-1592.8044,-3145.3352,3753.7121,5468.0597,-3294.6715,1864.5309,6440.0774,3635.6536,-76776.0318,-80379.8746,-79645.8048,-77204.5573,-74793.8576,-84424.2602,-88490.6397,-78758.2997,-131222313.9366,-131242447.2177,-131214482.0231,-131222049.7923,-80352.4098,-131219170.4356,
600.000,3746.0790,-3899.3503,6770.1997,1100.9720,1538.7281,-245.1592,-442.1190,-2825.9383,-4147.0047,2569.4511,-5470.7276,4967.7928,-2644.5669,6522.6978,867.9234,4534.3270,578.6815,-3956.0303,3192.2891,-796.4605,-5149.1549,4681.2303,945.7459,2183.5631,-5574.5777,-3244.7409,-3309.8600,-2522.6970,3861.5666,-249.8610,-4489.0070,-1198.2446,-5566.4436,-6421.1729,1136.2874,5256.5742,6402.6689,-6087.9519,-198.0722,2469.4300,4367.7130,-3244.0208,-2451.0937,3432.6776,6322.3502,1333.2280,5234.5822,6657.6091,4208.7402,-4387.2397,512.4849,-3941.0637,6088.4032,4213.0486,1468.8834,-1761.9492,6554.3989,-5068.7854,-5653.4783,-1039.5021,1755.2370,6235.1385,5715.1422,3393.3151,-3377.3330,2518.4402,-4904.2877,5245.5153,-5287.4037,-4250.6987,-5165.1513,-3691.7367,-2319.9026,6023.6570,2254.5510,-1222.0725,4018.0845,3655.9394,-4144.3499,1260.6924,4345.5999,6287.7746,3896.7166,-767.3954,-5048.3840,-2142.8629,6168.1477,-6043.7273,-2105.3049,-5075.8037,-3525.6608,4000.8755,18.1387,6518.8311,-4131.1706,-1381.7830,2487.8493,-5825.4982,-2039.3081,6198.0304,384206.5664,376263.0793,380339.8388,379842.3284,380346.5125,379631.0598,371955.1746,375582.8379,-3205388.3739,-3220087.3859,-3196926.1563,-3204279.7607,375430.5295,-3200255.5308,-5024.3424,1760.8164,-993.7289,6809.0823,-4133.0459,-4137.9473,6240.2790,4527.5455,-5046.7843,4860.3471,-3219.4670,3187.5750,6379.2894,-1900.3807,6210.6546,-3062.9072,5763.9933,2652.7618,-2758.2219,-5531.3704,-3612.8228,-3073.5482,-4784.0548,-6163.1554,327.8511,4244.3483,1837.2133,6430.6156,-5543.3043,6496.4407,-2366.6354,-3979.9764,-1338.7886,-2535.4085,4243.8613,3973.8224,-728.7553,-2487.7370,5995.5060,-6415.3925,-3489.5424,-2630.2600,6179.6884,2665.3052,-2672.4140,4521.6353,4034.8045,-1827.3787,895.9825,5096.1029,4796.9946,-4306.5707,-987.2746,1274.0143,4893.0312,-4290.1387,-1251.5540,1322.7963,2496.7994,-6168.8588,-4713.2281,-2954.4077,970.8986,2478.9064,2548.2961,4002.6211,4819.3504,-2250.1514,167.4973,-498.9770,-324.8291,2354.6968,-4268.2334,-1637.3074,3476.2385,4353.0437,-5363.8175,5384.8250,-4478.0556,-3943.4630,3320.8360,-2113.3711,-5506.2908,3959.2426,-661.1691,4732.7580,1079.4067,-2748.4789,6575.6843,1040.8438,-2386.7505,-5349.4094,6286.8389,502.3422,-5052.9186,4068.2491,-6196.4331,-117.7535,1660.1132,-2222.0030,108758.5683,122824.0076,121291.6799,121278.2326,129924.4823,127911.5433,125994.0445,125253.7007,300115855.7534,300131890.4528,300082879.0276,300101758.6488,124894.6620,300096374.8859,2847.8312,-5424.0650,927.2712,70.9678,-5314.7659,5465.5351,2979.8700,-4397.1434,-2326.8562,-4207.9433,2372.5829,-3466.4461,-59.9976,489.7860,-2917.2667,-4219.8973,3744.8759,5041.2688,5454.8226,4087.6121,2739.4016,-4100.1697,-4845.6032,2341.2750,-4108.2046,-4426.1694,5815.7594,-474.9567,-1249.0431,-2412.3686,-4701.6272,-5522.2009,3889.6712,176.2262,-5144.0934,-1842.2717,2578.0235,-2199.1446,3481.3989,126.3437,4090.2169,5485.0316,-1898.7145,5353.8118,-676.5647,5018.8964,-2036.5905,-387.1472,-5175.9502,-1620.9279,4935.9995,3364.1195,2928.2931,5266.3870,4634.7323,5111.8315,1776.6111,4529.8294,-3091.5260,2744.4259,4638.8282,-636.8957,-3791.2599,5341.9451,-5474.9805,5019.4079,-948.2180,-3634.5902,-4495.0549,-5355.2604,4559.8040,-5359.8846,-4956.0208,-2322.3853,5526.0028,-5242.2830,-1693.8353,2460.0566,3282.8037,5529.3465,4243.2932,-1647.1779,1474.0968,-5378.7260,-4698.1238,-4391.7538,2821.7984,-547.6061,22.5104,4493.4059,-5257.4716,1503.2878,-2943.1320,-1837.2672,2240.0570,5397.1581,-1675.2509,3775.9085,6418.2253,2093.8251,-76668.3479,-80096.3168,-79430.6584,-77256.4036,-74593.3679,-84064.1941,-88480.9326,-78465.1516,-131224600.2043,-131244631.5448,-131215999.0034,-131224592.5010,-80234.5731,-131221204.5753,
