sl_100_5400_20270513 Coordinates.csv
2027/05/13 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:22 2024,
Start: 2027/05/13 07:47:00.00, Stop: 2027/05/13 09:17:00.00,
TIME_UNITS,STARLINK-6328 - X-Coordinate,STARLINK-2581 - X-Coordinate,STARLINK-6361 - X-Coordinate,STARLINK-30386 - X-Coordinate,STARLINK-30204 - X-Coordinate,STARLINK-31288 - X-Coordinate,STARLINK-30071 - X-Coordinate,STARLINK-1404 - X-Coordinate,STARLINK-2392 - X-Coordinate,STARLINK-2324 - X-Coordinate,STARLINK-2058 - X-Coordinate,STARLINK-31872 - X-Coordinate,STARLINK-2574 - X-Coordinate,STARLINK-5308 - X-Coordinate,STARLINK-3682 - X-Coordinate,STARLINK-11133 [DTC] - X-Coordinate,STARLINK-1663 - X-Coordinate,STARLINK-3930 - X-Coordinate,STARLINK-4728 - X-Coordinate,STARLINK-3867 - X-Coordinate,STARLINK-1708 - X-Coordinate,STARLINK-3294 - X-Coordinate,STARLINK-32006 - X-Coordinate,STARLINK-1523 - X-Coordinate,STARLINK-11077 [DTC] - X-Coordinate,STARLINK-30354 - X-Coordinate,STARLINK-1038 - X-Coordinate,STARLINK-30964 - X-Coordinate,STARLINK-30280 - X-Coordinate,STARLINK-31734 - X-Coordinate,STARLINK-31606 - X-Coordinate,STARLINK-5637 - X-Coordinate,STARLINK-30255 - X-Coordinate,STARLINK-30598 - X-Coordinate,STARLINK-6160 - X-Coordinate,STARLINK-5786 - X-Coordinate,STARLINK-5558 - X-Coordinate,STARLINK-2093 - X-Coordinate,STARLINK-31901 - X-Coordinate,STARLINK-2012 - X-Coordinate,STARLINK-6267 - X-Coordinate,STARLINK-6265 - X-Coordinate,STARLINK-2133 - X-Coordinate,STARLINK-31489 - X-Coordinate,STARLINK-31266 - X-Coordinate,STARLINK-30098 - X-Coordinate,STARLINK-5758 - X-Coordinate,STARLINK-1240 - X-Coordinate,STARLINK-5831 - X-Coordinate,STARLINK-1941 - X-Coordinate,STARLINK-31581 - X-Coordinate,STARLINK-30856 - X-Coordinate,STARLINK-30909 - X-Coordinate,STARLINK-30214 - X-Coordinate,STARLINK-3749 - X-Coordinate,STARLINK-1332 - X-Coordinate,STARLINK-2106 - X-Coordinate,STARLINK-3122 - X-Coordinate,STARLINK-5903 - X-Coordinate,STARLINK-30937 - X-Coordinate,STARLINK-30303 - X-Coordinate,STARLINK-5993 - X-Coordinate,STARLINK-1734 - X-Coordinate,STARLINK-31609 - X-Coordinate,STARLINK-31782 - X-Coordinate,STARLINK-3051 - X-Coordinate,STARLINK-5077 - X-Coordinate,STARLINK-30346 - X-Coordinate,STARLINK-31532 - X-Coordinate,STARLINK-31546 - X-Coordinate,STARLINK-31998 - X-Coordinate,STARLINK-1412 - X-Coordinate,STARLINK-31778 - X-Coordinate,STARLINK-30362 - X-Coordinate,STARLINK-5436 - X-Coordinate,STARLINK-31583 - X-Coordinate,STARLINK-31986 - X-Coordinate,STARLINK-1959 - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-6245 - X-Coordinate,STARLINK-5064 - X-Coordinate,STARLINK-31016 - X-Coordinate,STARLINK-2706 - X-Coordinate,STARLINK-31006 - X-Coordinate,STARLINK-5178 - X-Coordinate,STARLINK-2117 - X-Coordinate,STARLINK-4674 - X-Coordinate,STARLINK-2260 - X-Coordinate,STARLINK-3207 - X-Coordinate,STARLINK-30356 - X-Coordinate,STARLINK-2484 - X-Coordinate,STARLINK-6060 - X-Coordinate,STARLINK-1475 - X-Coordinate,STARLINK-4700 - X-Coordinate,STARLINK-3155 - X-Coordinate,STARLINK-32247 - X-Coordinate,STARLINK-31225 - X-Coordinate,STARLINK-3893 - X-Coordinate,STARLINK-1375 - X-Coordinate,STARLINK-4499 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6328 - Y-Coordinate,STARLINK-2581 - Y-Coordinate,STARLINK-6361 - Y-Coordinate,STARLINK-30386 - Y-Coordinate,STARLINK-30204 - Y-Coordinate,STARLINK-31288 - Y-Coordinate,STARLINK-30071 - Y-Coordinate,STARLINK-1404 - Y-Coordinate,STARLINK-2392 - Y-Coordinate,STARLINK-2324 - Y-Coordinate,STARLINK-2058 - Y-Coordinate,STARLINK-31872 - Y-Coordinate,STARLINK-2574 - Y-Coordinate,STARLINK-5308 - Y-Coordinate,STARLINK-3682 - Y-Coordinate,STARLINK-11133 [DTC] - Y-Coordinate,STARLINK-1663 - Y-Coordinate,STARLINK-3930 - Y-Coordinate,STARLINK-4728 - Y-Coordinate,STARLINK-3867 - Y-Coordinate,STARLINK-1708 - Y-Coordinate,STARLINK-3294 - Y-Coordinate,STARLINK-32006 - Y-Coordinate,STARLINK-1523 - Y-Coordinate,STARLINK-11077 [DTC] - Y-Coordinate,STARLINK-30354 - Y-Coordinate,STARLINK-1038 - Y-Coordinate,STARLINK-30964 - Y-Coordinate,STARLINK-30280 - Y-Coordinate,STARLINK-31734 - Y-Coordinate,STARLINK-31606 - Y-Coordinate,STARLINK-5637 - Y-Coordinate,STARLINK-30255 - Y-Coordinate,STARLINK-30598 - Y-Coordinate,STARLINK-6160 - Y-Coordinate,STARLINK-5786 - Y-Coordinate,STARLINK-5558 - Y-Coordinate,STARLINK-2093 - Y-Coordinate,STARLINK-31901 - Y-Coordinate,STARLINK-2012 - Y-Coordinate,STARLINK-6267 - Y-Coordinate,STARLINK-6265 - Y-Coordinate,STARLINK-2133 - Y-Coordinate,STARLINK-31489 - Y-Coordinate,STARLINK-31266 - Y-Coordinate,STARLINK-30098 - Y-Coordinate,STARLINK-5758 - Y-Coordinate,STARLINK-1240 - Y-Coordinate,STARLINK-5831 - Y-Coordinate,STARLINK-1941 - Y-Coordinate,STARLINK-31581 - Y-Coordinate,STARLINK-30856 - Y-Coordinate,STARLINK-30909 - Y-Coordinate,STARLINK-30214 - Y-Coordinate,STARLINK-3749 - Y-Coordinate,STARLINK-1332 - Y-Coordinate,STARLINK-2106 - Y-Coordinate,STARLINK-3122 - Y-Coordinate,STARLINK-5903 - Y-Coordinate,STARLINK-30937 - Y-Coordinate,STARLINK-30303 - Y-Coordinate,STARLINK-5993 - Y-Coordinate,STARLINK-1734 - Y-Coordinate,STARLINK-31609 - Y-Coordinate,STARLINK-31782 - Y-Coordinate,STARLINK-3051 - Y-Coordinate,STARLINK-5077 - Y-Coordinate,STARLINK-30346 - Y-Coordinate,STARLINK-31532 - Y-Coordinate,STARLINK-31546 - Y-Coordinate,STARLINK-31998 - Y-Coordinate,STARLINK-1412 - Y-Coordinate,STARLINK-31778 - Y-Coordinate,STARLINK-30362 - Y-Coordinate,STARLINK-5436 - Y-Coordinate,STARLINK-31583 - Y-Coordinate,STARLINK-31986 - Y-Coordinate,STARLINK-1959 - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-6245 - Y-Coordinate,STARLINK-5064 - Y-Coordinate,STARLINK-31016 - Y-Coordinate,STARLINK-2706 - Y-Coordinate,STARLINK-31006 - Y-Coordinate,STARLINK-5178 - Y-Coordinate,STARLINK-2117 - Y-Coordinate,STARLINK-4674 - Y-Coordinate,STARLINK-2260 - Y-Coordinate,STARLINK-3207 - Y-Coordinate,STARLINK-30356 - Y-Coordinate,STARLINK-2484 - Y-Coordinate,STARLINK-6060 - Y-Coordinate,STARLINK-1475 - Y-Coordinate,STARLINK-4700 - Y-Coordinate,STARLINK-3155 - Y-Coordinate,STARLINK-32247 - Y-Coordinate,STARLINK-31225 - Y-Coordinate,STARLINK-3893 - Y-Coordinate,STARLINK-1375 - Y-Coordinate,STARLINK-4499 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6328 - Z-Coordinate,STARLINK-2581 - Z-Coordinate,STARLINK-6361 - Z-Coordinate,STARLINK-30386 - Z-Coordinate,STARLINK-30204 - Z-Coordinate,STARLINK-31288 - Z-Coordinate,STARLINK-30071 - Z-Coordinate,STARLINK-1404 - Z-Coordinate,STARLINK-2392 - Z-Coordinate,STARLINK-2324 - Z-Coordinate,STARLINK-2058 - Z-Coordinate,STARLINK-31872 - Z-Coordinate,STARLINK-2574 - Z-Coordinate,STARLINK-5308 - Z-Coordinate,STARLINK-3682 - Z-Coordinate,STARLINK-11133 [DTC] - Z-Coordinate,STARLINK-1663 - Z-Coordinate,STARLINK-3930 - Z-Coordinate,STARLINK-4728 - Z-Coordinate,STARLINK-3867 - Z-Coordinate,STARLINK-1708 - Z-Coordinate,STARLINK-3294 - Z-Coordinate,STARLINK-32006 - Z-Coordinate,STARLINK-1523 - Z-Coordinate,STARLINK-11077 [DTC] - Z-Coordinate,STARLINK-30354 - Z-Coordinate,STARLINK-1038 - Z-Coordinate,STARLINK-30964 - Z-Coordinate,STARLINK-30280 - Z-Coordinate,STARLINK-31734 - Z-Coordinate,STARLINK-31606 - Z-Coordinate,STARLINK-5637 - Z-Coordinate,STARLINK-30255 - Z-Coordinate,STARLINK-30598 - Z-Coordinate,STARLINK-6160 - Z-Coordinate,STARLINK-5786 - Z-Coordinate,STARLINK-5558 - Z-Coordinate,STARLINK-2093 - Z-Coordinate,STARLINK-31901 - Z-Coordinate,STARLINK-2012 - Z-Coordinate,STARLINK-6267 - Z-Coordinate,STARLINK-6265 - Z-Coordinate,STARLINK-2133 - Z-Coordinate,STARLINK-31489 - Z-Coordinate,STARLINK-31266 - Z-Coordinate,STARLINK-30098 - Z-Coordinate,STARLINK-5758 - Z-Coordinate,STARLINK-1240 - Z-Coordinate,STARLINK-5831 - Z-Coordinate,STARLINK-1941 - Z-Coordinate,STARLINK-31581 - Z-Coordinate,STARLINK-30856 - Z-Coordinate,STARLINK-30909 - Z-Coordinate,STARLINK-30214 - Z-Coordinate,STARLINK-3749 - Z-Coordinate,STARLINK-1332 - Z-Coordinate,STARLINK-2106 - Z-Coordinate,STARLINK-3122 - Z-Coordinate,STARLINK-5903 - Z-Coordinate,STARLINK-30937 - Z-Coordinate,STARLINK-30303 - Z-Coordinate,STARLINK-5993 - Z-Coordinate,STARLINK-1734 - Z-Coordinate,STARLINK-31609 - Z-Coordinate,STARLINK-31782 - Z-Coordinate,STARLINK-3051 - Z-Coordinate,STARLINK-5077 - Z-Coordinate,STARLINK-30346 - Z-Coordinate,STARLINK-31532 - Z-Coordinate,STARLINK-31546 - Z-Coordinate,STARLINK-31998 - Z-Coordinate,STARLINK-1412 - Z-Coordinate,STARLINK-31778 - Z-Coordinate,STARLINK-30362 - Z-Coordinate,STARLINK-5436 - Z-Coordinate,STARLINK-31583 - Z-Coordinate,STARLINK-31986 - Z-Coordinate,STARLINK-1959 - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-6245 - Z-Coordinate,STARLINK-5064 - Z-Coordinate,STARLINK-31016 - Z-Coordinate,STARLINK-2706 - Z-Coordinate,STARLINK-31006 - Z-Coordinate,STARLINK-5178 - Z-Coordinate,STARLINK-2117 - Z-Coordinate,STARLINK-4674 - Z-Coordinate,STARLINK-2260 - Z-Coordinate,STARLINK-3207 - Z-Coordinate,STARLINK-30356 - Z-Coordinate,STARLINK-2484 - Z-Coordinate,STARLINK-6060 - Z-Coordinate,STARLINK-1475 - Z-Coordinate,STARLINK-4700 - Z-Coordinate,STARLINK-3155 - Z-Coordinate,STARLINK-32247 - Z-Coordinate,STARLINK-31225 - Z-Coordinate,STARLINK-3893 - Z-Coordinate,STARLINK-1375 - Z-Coordinate,STARLINK-4499 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1467.1757,-2934.3834,-5503.7742,4851.5992,2298.6333,-2739.4129,-3321.6055,2763.2237,2110.7018,3808.6509,-4689.6311,5144.9126,5408.3341,5896.0585,-3202.7570,-1187.4847,-2966.0615,-5617.2436,4934.3573,5702.7100,2918.0876,-5106.0683,-4309.5768,4589.0433,4200.3501,1113.9715,775.0642,3977.8622,-4901.2671,-761.4026,1799.2865,-2506.8224,-895.0271,-4884.6617,-260.2889,5899.9091,-5165.1640,-2945.6644,0.0000,-3543.8965,116.1678,-5908.7620,-4082.0895,1327.4786,-5876.6564,-899.5073,2785.3337,3742.8365,-5323.6046,3907.8784,5750.5409,-5753.4765,-5126.3331,4877.8353,-1297.1749,3587.2681,-2249.9542,1979.4886,4893.6027,2328.7078,-6202.1731,2644.2233,-3215.3080,2757.9056,5938.7297,2375.8877,5240.3084,2425.7234,-3658.2832,-2562.4783,2249.2593,-4017.1758,3837.6450,6914.1022,-3676.0536,-4829.4029,-1941.1089,-3740.6290,-4619.6554,2894.6955,1738.4942,5127.1015,4041.3773,-4854.2185,-4744.7290,-4581.5203,-409.5017,-2377.9811,3910.1131,1330.4047,4098.8430,-6465.0526,570.2534,4574.8174,-2878.0449,0.0000,-2478.5570,-49.1578,242.2568,-1497.4638,337632.5901,349213.4177,331183.1009,332093.5965,332757.2015,332958.2387,340844.7545,336255.3121,165010141.4111,165013579.5942,165022082.6671,165008618.6553,337020.3033,165016314.3448,4992.2655,5373.4576,2024.1434,1939.0214,5327.0985,3426.4952,-4694.9381,5346.6004,6383.5320,-1885.1574,-410.7007,-4485.3603,-646.8868,-2241.6761,-5935.7039,4810.5769,6200.7331,-2678.3660,4529.9361,2758.1801,-5058.4832,4573.3006,-141.6998,3354.1325,-222.7908,4980.0118,6869.0208,3318.3912,1304.8528,4923.7316,-5976.8972,90.4026,-6431.0860,-2331.6518,5460.7327,511.7894,4501.8479,-3880.1615,0.0000,-5742.1335,5151.3079,889.7441,-895.3010,6662.8055,-188.1261,-5325.5347,-6124.8840,-4418.5785,3327.5441,-2230.7289,495.9126,997.2069,3370.5994,-1944.3861,-5070.1199,-3385.7905,-5447.7413,5964.7498,1508.9128,-3375.1773,1569.9865,-1541.0227,-2709.8198,-3425.4465,-1076.4529,543.5172,-615.0718,6368.2013,-4347.0812,-4557.2682,5232.0607,4595.5219,3179.0107,396.1637,-2501.5047,-1262.8287,6515.4298,-2005.1440,4572.9398,-4789.0466,-4936.9846,-3239.0113,1282.9743,2837.1048,-2788.3456,4616.8964,4504.4702,-3652.7631,-3018.4993,4912.0358,-3239.4343,-2205.9050,5651.5918,-629.5386,-3024.1170,0.0000,-5962.2565,-4172.8591,-6794.0232,-4416.2978,143820.7697,117468.4971,134914.9110,136175.5914,127558.1277,129906.1632,132283.9538,132661.4788,45263293.3047,45240961.1798,45220235.6589,45241832.2953,133007.0830,45244073.8989,4565.9371,-2934.2522,-3700.2013,4520.8715,-3784.4892,5245.9706,-3838.5774,-3378.5566,1589.7288,5395.4780,5052.5334,620.7785,4110.3357,2899.4609,1427.0128,4552.5808,841.7395,-3017.1371,-1709.2203,2753.2859,-3707.6150,-914.9855,5323.1294,3922.8990,-5229.2820,4676.8778,-239.9758,-4614.9186,4710.4298,4640.5756,-2791.3610,-6481.5347,-2501.2190,4327.5918,4257.3859,-3582.5121,-1210.4943,4841.5371,0.0000,-476.6414,4630.0177,-3514.0341,5479.3588,-772.7596,-3509.1439,-4351.5847,1692.9524,-3749.2406,-2912.7162,4965.2469,3616.0669,-3727.5925,-3228.7407,4527.3051,-4521.7013,-4857.8737,3611.3131,-2953.5099,-4673.2015,5465.3500,2419.3348,6248.2550,5498.1867,-5251.7253,3147.4632,-6487.8392,-3972.3192,1223.5270,3754.7251,-4399.0554,-3675.4696,3205.1828,4642.0044,239.1401,5279.3858,4608.9539,961.1647,5440.8341,2118.1694,-4107.0228,4551.9237,-3197.0364,5467.7621,3844.3678,4125.5807,2300.6544,-5262.7669,-5349.7331,-4804.6882,4704.5934,-4450.3240,1309.9178,-3632.8117,5134.8862,-5515.2043,0.0000,-2219.2254,-5515.4798,-533.4340,-5084.7855,85325.5911,82464.7417,82462.4579,86206.7761,87630.3084,77519.1112,74539.7692,80719.4139,40375922.7125,40344819.2608,40364349.2481,40383671.9607,82334.6362,40372777.8914,
300.000,3297.6497,-1936.8934,-5189.6810,5738.7534,4096.4676,-652.3784,-4344.5846,3539.7986,3066.2455,3089.9230,-3874.6583,4003.3041,4064.5337,6162.3668,-3957.6712,331.0734,-1628.0821,-6577.5099,5843.1167,6605.6929,1068.5160,-4223.2579,-4714.0567,5955.9343,3379.4264,3089.9728,1935.9921,4910.0492,-4221.8583,1391.9721,-59.8066,-1684.8843,-2508.1833,-5079.9099,1744.0685,6374.9739,-4209.8941,-3749.9856,0.0000,-4330.9385,2202.0803,-5963.3061,-4589.3233,2715.6725,-6250.9121,-2747.0244,1089.0207,2993.1754,-4661.8225,3413.8454,6227.0796,-4393.6538,-3445.6517,4256.2392,-3047.9109,2824.9436,-3186.1312,3370.8289,5496.4207,412.7801,-4968.4808,594.7330,-4639.6097,676.7642,5917.0954,2302.2202,3605.4213,3817.8947,-4525.0496,-4021.1527,3825.9321,-3287.8418,5006.4270,6718.0705,-4120.5971,-5281.5429,-752.3033,-4896.3385,-3875.1111,1426.8937,1261.8050,4784.8197,4184.4874,-3153.0341,-6069.6345,-3852.6421,1481.7952,-3703.3300,1959.2969,3350.6032,2160.4265,-5970.7580,1961.8019,3374.8915,-4446.4560,0.0000,-3668.6798,-2180.9460,-977.5595,-3445.5103,334441.6927,346670.5096,328377.7451,329320.9418,329909.6039,330126.8142,337927.3545,333149.5080,163986359.6384,163989753.1348,163998972.1187,163985093.1694,334175.8375,163992605.3692,3858.7431,6384.1818,3822.9208,87.5054,4905.9440,4057.9996,-2920.4886,3723.4932,5286.4668,-3854.1303,1561.4781,-5486.9624,-2099.0451,-3081.9625,-4725.0559,5845.6627,6221.0059,-1648.5157,3689.4104,1734.0830,-4832.2800,5398.4987,1885.5874,2497.6794,-2274.0636,4114.6615,6451.9254,1379.6742,3323.5170,5056.4250,-5641.7636,2137.7791,-6399.1628,-217.7981,4792.1791,-1228.2129,4518.8297,-1930.8644,0.0000,-4687.1885,4605.4128,2675.8661,1173.7667,5862.4344,1578.9300,-4280.5848,-6145.5778,-5798.6762,4871.3425,-4160.3167,-1281.3030,2270.1891,4337.6683,-3894.1843,-5292.1736,-5092.3508,-3854.7686,5932.4950,-503.2606,-4408.3775,2621.2853,-2312.7008,-1137.1251,-4060.8657,-2821.4956,-1660.2760,-1323.3300,5769.3448,-2472.1584,-2969.6606,5169.9220,5854.2799,1355.9060,-1108.0973,-380.7812,829.4759,6771.9953,-250.2069,5624.7548,-6027.6285,-6218.3783,-4653.7104,-889.3498,4034.8051,-1775.2356,5699.8384,5149.1821,-1930.1204,-3769.8732,4267.7094,-3852.0380,-1357.1681,4357.9442,-2408.0185,-1587.8155,0.0000,-4615.7052,-3758.8491,-6622.5813,-4340.7091,151071.8697,124768.6273,142110.6053,143259.6656,134618.5180,136949.3209,139381.0035,139433.8272,48860028.0778,48837999.7458,48817321.4384,48838039.1070,140096.0307,48840875.2155,4706.7064,-1250.9232,-2553.6920,3848.3935,-2669.1916,5464.7882,-4517.9090,-4610.2001,3216.7425,4773.3922,5497.7630,-932.9627,5060.9105,865.6781,3082.7864,3320.7329,2563.0023,-1351.6774,88.2446,1049.9545,-4834.1942,902.2484,4600.4046,2453.3165,-5333.4070,4629.9304,1559.5491,-4703.6009,4364.6352,4342.5478,-3864.7619,-6395.2879,-1075.2981,4707.4096,4689.8170,-2396.8638,-3206.9833,5419.2462,0.0000,-2248.0188,4682.3124,-2306.5406,5006.0318,-2243.0872,-2303.3941,-4716.0675,3025.6018,-2233.6373,-1555.5472,3995.2810,2448.8200,-4852.1411,-4170.0119,3847.4664,-3244.0463,-3742.8173,4768.8457,-1280.4538,-4194.8724,5204.1893,3898.0872,6534.0437,5010.4621,-5475.0380,1840.6707,-6323.1570,-5373.5206,-315.7508,4446.3594,-4658.9878,-2136.8530,1575.3191,4413.9381,-1296.9431,5523.8988,4193.7013,-860.8451,4857.3257,340.5681,-3131.4749,2807.7811,-1559.5191,5438.2635,4488.8467,2710.9775,549.3230,-4408.5048,-5493.4034,-5425.6063,4312.6457,-5253.4105,3294.4614,-4756.9087,5522.2745,-5054.5690,0.0000,-3444.4906,-5380.3276,1287.5928,-4108.2789,85233.1567,82322.1965,82439.3966,85924.6404,87604.2849,77618.3482,74290.3380,80870.1601,40375584.6669,40344408.9124,40363477.4803,40383092.9812,82209.8503,40372187.7148,
600.000,4833.7802,-749.5185,-4394.4386,6091.3444,5486.0168,1486.7949,-4986.8169,4015.2254,3751.9688,2112.2217,-2727.8340,2453.2769,2328.6701,5806.0876,-4348.1742,1779.3381,-104.0126,-6880.9337,6169.2330,6847.3747,-914.4733,-2911.9234,-4684.6159,6725.4655,2248.9770,4782.4107,2921.7352,5409.9783,-3173.9181,3394.0896,-1938.8663,-771.5759,-3871.9555,-4828.5792,3601.6431,6241.8963,-2803.8554,-4234.9154,0.0000,-4680.4544,4086.5503,-5455.6259,-4688.9020,3851.2489,-6008.7532,-4357.6171,-734.5206,1967.9749,-3558.4822,2593.9095,6080.7953,-2618.9205,-1433.4121,3260.1120,-4473.5100,1825.0097,-3859.1256,4419.0774,5602.4079,-1512.4286,-3226.2173,-1486.5551,-5640.2176,-1458.6064,5301.2109,2077.5338,1559.9841,4841.1577,-4972.6927,-5110.0200,4981.5999,-2245.4555,5697.3964,5870.7677,-4216.2633,-5227.9488,522.6442,-5602.3139,-2734.4648,-150.2519,693.5227,3967.3882,3974.6930,-1143.3324,-6782.3442,-2743.1893,3198.1910,-4709.6679,-176.9405,5051.3141,5.6213,-4888.7652,3193.8272,1886.6780,-5605.4529,0.0000,-4520.3529,-4104.9090,-2110.6259,-5034.2274,331094.8806,343974.3244,325426.8501,326403.5796,326914.8073,327151.7048,334859.8689,329982.6260,162884190.3735,162887525.2657,162897460.0268,162883211.1995,331182.2137,162890506.0971,2387.7813,6719.6365,5239.6569,-1746.2538,4031.6888,4334.0867,-870.2452,1727.6371,3657.2630,-5440.1545,3409.1665,-5943.9989,-3385.1820,-3598.0069,-3028.4428,6267.6320,5639.7477,-469.6155,2479.7174,548.7273,-4174.2878,5692.6051,3697.4794,1419.7156,-4102.6017,2891.1291,5390.1691,-673.7043,5025.7565,4713.9680,-4764.5574,3998.6620,-5758.6729,1920.4176,3698.8810,-2829.4391,4112.8111,200.6606,0.0000,-3121.4880,3656.7179,4187.2002,3102.9054,4468.1712,3168.7961,-2857.9606,-5591.2235,-6591.6013,5932.7431,-5630.8450,-2907.8107,3370.5931,4925.3872,-5466.1866,-5017.2773,-6294.3197,-1884.2358,5325.2371,-2446.4745,-5037.7860,3447.7250,-2932.6711,503.5730,-4342.7102,-4263.8752,-3694.7839,-1950.7028,4607.6112,-349.2228,-1108.9578,4579.4430,6519.4468,-578.1667,-2517.2848,1768.9971,2819.5924,6341.5432,1490.8713,6094.5784,-6694.6151,-6863.4766,-5581.7488,-2968.3503,4862.2045,-613.7415,6208.4673,5327.8557,-51.1734,-4204.0376,3251.6064,-4133.5609,-331.0230,2619.8985,-3987.2065,-41.7358,0.0000,-2800.9110,-3032.4486,-5762.0384,-3874.9830,158248.8583,132014.6251,149244.4415,150283.4326,141618.9731,143935.1463,146414.1864,146184.3498,52433626.1813,52411898.0011,52391293.0549,52411123.6783,147124.2019,52414542.4812,4342.5249,574.9962,-1133.9273,2760.4967,-1267.4625,5076.2885,-4710.8979,-5343.0498,4495.7076,3627.4714,5349.4272,-2383.4226,5444.8732,-1260.3859,4402.8450,1701.1185,4008.7306,459.6547,1876.1364,-766.9766,-5441.3472,2622.0058,3368.7653,718.4078,-4810.8319,4086.1765,3190.7159,-4291.0315,3550.4244,3555.0312,-4507.8829,-5632.8852,464.5953,4583.6808,4620.3941,-953.3241,-4864.3057,5402.2668,0.0000,-3760.8390,4233.2725,-851.9919,3988.8620,-3463.3911,-841.7178,-4577.5909,4034.9806,-475.2853,-30.8834,2553.7472,1005.4799,-5457.5842,-4665.8120,2756.5525,-1616.7877,-2225.8397,5412.1911,529.1366,-3268.2050,4363.1700,4942.6472,6131.0497,3985.5322,-5093.0945,325.9065,-5484.2944,-6115.1098,-1821.1209,4636.7879,-4399.4681,-353.5390,-225.8977,3688.7437,-2694.0588,5171.3264,3302.7242,-2588.0565,3748.1602,-1475.0552,-1822.0731,763.9490,250.7154,4825.1798,4627.5727,999.6488,-1261.6710,-3084.4289,-5042.8587,-5457.2109,3459.5274,-5478.8552,4929.6847,-5329.6295,5313.6072,-4050.6238,0.0000,-4284.4110,-4666.9786,2963.6340,-2686.2302,85139.7600,82179.5863,82415.8397,85637.4199,87574.7005,77723.7388,74045.9900,81119.3596,40375244.9257,40344003.2447,40362607.4835,40382496.9322,82085.0060,40371597.3786,
