sl_5_86400_20270722 Coordinates.csv
2027/07/22 07:47:00.0000 UTC

Generated: Tue Oct  8 17:06:46 2024,
Start: 2027/07/22 07:47:00.00, Stop: 2027/07/23 07:47:00.00,
TIME_UNITS,STARLINK-31732 - X-Coordinate,STARLINK-1960 - X-Coordinate,STARLINK-30760 - X-Coordinate,STARLINK-6127 - X-Coordinate,STARLINK-11121 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31732 - Y-Coordinate,STARLINK-1960 - Y-Coordinate,STARLINK-30760 - Y-Coordinate,STARLINK-6127 - Y-Coordinate,STARLINK-11121 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31732 - Z-Coordinate,STARLINK-1960 - Z-Coordinate,STARLINK-30760 - Z-Coordinate,STARLINK-6127 - Z-Coordinate,STARLINK-11121 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4709.7781,5496.2579,5978.7719,-1786.7855,-4664.5098,-104003.7540,-73582.0988,-96197.8668,-96727.6212,-88480.2154,-90452.3073,-89903.6098,-91279.7616,155304704.8832,155288815.9215,155312184.0662,155300198.2594,-91966.1848,155304609.5303,-590.6272,-234.8010,-1029.3663,4820.8694,4827.3291,-398506.4233,-390741.7916,-394945.8441,-393930.0522,-396505.3877,-395418.5347,-387257.3669,-392042.6018,203995364.0209,203974392.9125,203984098.7847,203971620.4053,-390504.9749,203978978.0885,-4866.9164,-4176.2444,-3328.8624,4632.8540,298.5762,-39759.0849,-42459.8051,-40701.4158,-37365.0379,-35644.4989,-45635.5870,-48907.6782,-41564.4479,-6058580.6587,-6074161.9036,-6089954.8111,-6060392.3051,-41018.6312,-6070781.9988,
3600.000,2592.3936,-6446.5979,-5867.9651,-2258.6370,1638.5660,1527.4442,26661.2666,4382.0519,5197.6665,13172.3599,11201.3799,11278.9407,8210.2875,97156410.4323,97141537.1780,97156391.8109,97158428.7411,9391.3657,97155544.6718,-3949.3712,2466.8374,3658.8038,-5292.5634,-4883.9351,-411639.9088,-397603.7447,-404397.4546,-403348.3903,-407195.7739,-405500.1496,-398768.2071,-399765.6245,237310021.6991,237285764.3865,237299703.5153,237285608.8784,-401145.1667,237293099.9376,4873.0438,179.7624,-154.1092,-3862.0045,4305.4881,-38584.4156,-41049.4716,-38008.8143,-38059.1284,-33167.8599,-40898.1712,-48447.8424,-39274.4020,-6106244.8571,-6114058.6145,-6136297.8889,-6106912.1596,-39443.5536,-6117659.1034,
7200.000,-547.3638,4481.0881,3433.7495,5089.4214,3317.1104,106975.3074,125486.6170,104694.5675,107898.9834,114203.3142,110575.4623,112343.2057,111644.2308,32351137.4757,32339480.6226,32344185.6324,32358369.0763,110175.8859,32349887.0149,6689.1301,-3499.4656,-4857.5221,4644.3730,2934.8608,-396944.4423,-379191.5166,-387622.4595,-385397.2217,-391813.7759,-387582.0440,-384378.3123,-386868.0362,254420985.0244,254394954.9684,254407650.4437,254400232.4450,-385894.7273,254403151.1932,-1061.9734,3908.0632,3521.3695,703.6485,-5057.5587,-37430.4857,-39617.6254,-35697.7091,-39203.1154,-31155.2356,-35812.5639,-47314.5773,-37794.0096,-6154666.3331,-6154431.4044,-6181327.3921,-6155912.6350,-37865.4656,-6164554.2744,
10800.000,-1486.2286,-326.3523,608.0956,-5837.5982,-6566.4517,204980.1346,216626.7349,198190.2125,206207.0338,208057.1282,201151.1997,206720.4761,202180.0379,-34685090.1733,-34692672.0277,-34696353.9396,-34677163.5290,203877.6282,-34686203.4986,-5562.9854,4147.3323,5043.2924,-2373.6694,-686.5854,-355223.7659,-336697.1196,-345758.5622,-343029.4171,-351416.6648,-343399.7362,-344816.4880,-345204.1564,254153890.5988,254128402.6498,254134353.8385,254138910.2087,-345730.0382,254135008.7811,-3613.0227,-5514.4077,-4699.8939,2868.0002,1243.3654,-36290.8177,-38159.2617,-33964.6704,-36834.1477,-29593.0610,-35887.1400,-45540.0196,-36715.8072,-6203746.2274,-6195991.3576,-6224862.7950,-6207367.3773,-36284.4907,-6211467.4992,
14400.000,3812.4436,-3735.2969,-4410.0039,4930.5265,5400.4998,288452.0339,294326.4364,278819.0915,289095.1615,288633.0420,280609.9912,288168.2485,286065.4575,-99372345.9248,-99376540.8134,-99383752.6722,-99369601.3896,284442.3902,-99372800.9192,1482.6574,-4570.4785,-4450.6239,-1292.3136,-1568.2344,-289175.2840,-272845.3975,-281599.5896,-280241.2466,-288641.9751,-280229.0702,-282508.1242,-283267.7767,236521443.1946,236498623.3709,236494482.7744,236509176.6577,-283238.0128,236501653.6768,5414.3939,3574.3309,2921.6593,-4695.7296,3669.2615,-35143.8525,-36667.2742,-32850.5748,-32719.2009,-28492.6380,-37989.2811,-43120.3907,-34020.9994,-6253344.2091,-6239004.3844,-6266883.8779,-6260468.7212,-34700.7528,-6258398.7654,
18000.000,-5538.0141,5638.9608,6263.6815,-3228.3224,-887.9962,350717.0032,353710.4612,341427.9645,352281.2657,350654.9567,342816.8986,351196.8091,345175.7034,-157289703.8216,-157292286.0609,-157296839.8650,-157293166.8149,346663.2165,-157289116.5338,2586.3729,3931.3724,2856.1361,4933.5969,4037.7817,-203367.6071,-191717.9455,-199360.9006,-199226.5298,-207545.7565,-199891.6308,-201455.5398,-202858.6255,202722964.9695,202704103.3818,202690189.5074,202704188.1854,-202449.3523,202702647.7350,-2972.5834,632.9359,669.7006,3626.6731,-5301.3593,-33888.3111,-35130.9185,-32229.6833,-29148.9347,-27893.3540,-39142.4507,-40015.4824,-34098.1056,-6303287.5634,-6283374.8480,-6307727.3645,-6311234.4690,-33114.3759,-6305348.0602,
21600.000,4758.2900,-5106.0958,-5742.9786,1231.3537,-3347.8345,384992.7312,391095.8988,382059.5382,392502.9669,389962.8424,383261.1703,391424.4215,387604.1057,-204477399.4703,-204480614.1040,-204477498.6445,-204478196.2259,386517.4074,-204475623.8304,-4490.8989,-1329.6222,39.0494,-6808.4851,-5412.4847,-106916.1935,-98496.1233,-104364.5830,-105066.7532,-113325.0495,-106529.6716,-107042.9715,-107890.7005,155062854.6516,155048177.3381,155028477.9832,155034649.3056,-108578.3019,155042530.0563,-1839.1120,-4458.2682,-3860.2922,-347.1256,2148.7891,-31627.2537,-33532.5455,-31843.3730,-26151.0713,-27872.6816,-39414.8605,-36141.7146,-30322.3415,-6353382.3760,-6328871.7133,-6348210.4608,-6355114.7316,-31525.4847,-6352315.3712,
25200.000,-913.1733,3343.5678,3669.2285,1175.8925,4789.7828,397857.8192,404230.9381,398154.6729,407461.5150,403647.8540,399042.1261,405773.8020,400684.1321,-237707591.2148,-237713624.6072,-237700952.5341,-237700568.7821,401426.9866,-237704757.3316,4295.0568,-2670.8718,-3602.5879,6051.1114,3694.8317,-11316.4057,850.9241,-2689.6271,-3878.9350,-11869.7641,-5808.1941,-5856.9271,-8551.7015,96793491.5412,96782183.3276,96762589.6480,96763991.3768,-7685.7280,96773684.2014,5174.1025,5409.2868,4616.9952,-3165.0080,2917.0546,-28577.5173,-31839.5020,-31369.4798,-23658.4386,-28550.6761,-38938.6330,-31387.9038,-31360.7846,-6403426.0906,-6375261.7510,-6389393.3015,-6396310.9205,-29934.2040,-6399300.6857,
28800.000,-3940.5198,-1630.0171,-1216.4323,-3864.4261,-3892.9022,389357.7586,392441.2600,388676.1499,396327.6916,389937.0955,388900.1035,392110.2477,390709.5996,-254705198.4598,-254715766.6465,-254694976.8678,-254692919.4259,390425.7334,-254701678.5405,-3291.9185,6043.0800,6336.9673,-3274.5091,1055.3786,86078.0030,99876.0941,99186.9669,97765.3889,91434.6099,95873.7925,94118.7417,94456.7269,31893288.7015,31883655.1269,31869518.1591,31869540.4618,93712.6856,31874390.2650,-4454.7560,-2918.7501,-2498.5114,4715.7181,-5378.5352,-26137.8110,-29978.7128,-30508.6720,-21630.5540,-29678.8396,-37789.7379,-26287.2098,-26764.0511,-6453220.6259,-6422351.7679,-6432064.4074,-6438568.3713,-28340.6590,-6446303.9911,
