sl_100_5400_20270529 Coordinates.csv
2027/05/29 07:47:00.0000 UTC

Generated: Tue Oct  8 15:36:40 2024,
Start: 2027/05/29 07:47:00.00, Stop: 2027/05/29 09:17:00.00,
TIME_UNITS,STARLINK-32088 - X-Coordinate,STARLINK-6204 - X-Coordinate,STARLINK-31309 - X-Coordinate,STARLINK-30146 - X-Coordinate,STARLINK-1773 - X-Coordinate,STARLINK-4679 - X-Coordinate,STARLINK-31891 - X-Coordinate,STARLINK-2220 - X-Coordinate,STARLINK-6157 - X-Coordinate,STARLINK-31953 - X-Coordinate,STARLINK-3959 - X-Coordinate,STARLINK-5039 - X-Coordinate,STARLINK-30269 - X-Coordinate,STARLINK-6232 - X-Coordinate,STARLINK-1559 - X-Coordinate,STARLINK-3961 - X-Coordinate,STARLINK-3122 - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-31415 - X-Coordinate,STARLINK-30766 - X-Coordinate,STARLINK-5568 - X-Coordinate,STARLINK-5741 - X-Coordinate,STARLINK-4006 - X-Coordinate,STARLINK-1560 - X-Coordinate,STARLINK-30767 - X-Coordinate,STARLINK-5909 - X-Coordinate,STARLINK-30232 - X-Coordinate,STARLINK-31543 - X-Coordinate,STARLINK-2089 - X-Coordinate,STARLINK-4483 - X-Coordinate,STARLINK-31804 - X-Coordinate,STARLINK-1365 - X-Coordinate,STARLINK-6283 - X-Coordinate,STARLINK-3628 - X-Coordinate,STARLINK-4204 - X-Coordinate,STARLINK-4278 - X-Coordinate,STARLINK-3691 - X-Coordinate,STARLINK-30989 - X-Coordinate,STARLINK-6348 - X-Coordinate,STARLINK-1637 - X-Coordinate,STARLINK-1021 - X-Coordinate,STARLINK-5824 - X-Coordinate,STARLINK-2369 - X-Coordinate,STARLINK-2006 - X-Coordinate,STARLINK-11130 [DTC] - X-Coordinate,STARLINK-4010 - X-Coordinate,STARLINK-2674 - X-Coordinate,STARLINK-30308 - X-Coordinate,STARLINK-1677 - X-Coordinate,STARLINK-30786 - X-Coordinate,STARLINK-5611 - X-Coordinate,STARLINK-5186 - X-Coordinate,STARLINK-4510 - X-Coordinate,STARLINK-3349 - X-Coordinate,STARLINK-6315 - X-Coordinate,STARLINK-30774 - X-Coordinate,STARLINK-32049 - X-Coordinate,STARLINK-1483 - X-Coordinate,STARLINK-5255 - X-Coordinate,STARLINK-32013 - X-Coordinate,STARLINK-2634 - X-Coordinate,STARLINK-1136 - X-Coordinate,STARLINK-31817 - X-Coordinate,STARLINK-4290 - X-Coordinate,STARLINK-1277 - X-Coordinate,STARLINK-30898 - X-Coordinate,STARLINK-30100 - X-Coordinate,STARLINK-4602 - X-Coordinate,STARLINK-5030 - X-Coordinate,STARLINK-31811 - X-Coordinate,STARLINK-6148 - X-Coordinate,STARLINK-4277 - X-Coordinate,STARLINK-1054 - X-Coordinate,STARLINK-30227 - X-Coordinate,STARLINK-6085 - X-Coordinate,STARLINK-6263 - X-Coordinate,STARLINK-5472 - X-Coordinate,STARLINK-30838 - X-Coordinate,STARLINK-32269 - X-Coordinate,STARLINK-30298 - X-Coordinate,STARLINK-1850 - X-Coordinate,STARLINK-3779 - X-Coordinate,STARLINK-5627 - X-Coordinate,STARLINK-3772 - X-Coordinate,STARLINK-4538 - X-Coordinate,STARLINK-2008 - X-Coordinate,STARLINK-5829 - X-Coordinate,STARLINK-5280 - X-Coordinate,STARLINK-3744 - X-Coordinate,STARLINK-30705 - X-Coordinate,STARLINK-5096 - X-Coordinate,STARLINK-5163 - X-Coordinate,STARLINK-3619 - X-Coordinate,STARLINK-31308 - X-Coordinate,STARLINK-31056 - X-Coordinate,STARLINK-4130 - X-Coordinate,STARLINK-31590 - X-Coordinate,STARLINK-5064 - X-Coordinate,STARLINK-30577 - X-Coordinate,STARLINK-1332 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-32088 - Y-Coordinate,STARLINK-6204 - Y-Coordinate,STARLINK-31309 - Y-Coordinate,STARLINK-30146 - Y-Coordinate,STARLINK-1773 - Y-Coordinate,STARLINK-4679 - Y-Coordinate,STARLINK-31891 - Y-Coordinate,STARLINK-2220 - Y-Coordinate,STARLINK-6157 - Y-Coordinate,STARLINK-31953 - Y-Coordinate,STARLINK-3959 - Y-Coordinate,STARLINK-5039 - Y-Coordinate,STARLINK-30269 - Y-Coordinate,STARLINK-6232 - Y-Coordinate,STARLINK-1559 - Y-Coordinate,STARLINK-3961 - Y-Coordinate,STARLINK-3122 - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-31415 - Y-Coordinate,STARLINK-30766 - Y-Coordinate,STARLINK-5568 - Y-Coordinate,STARLINK-5741 - Y-Coordinate,STARLINK-4006 - Y-Coordinate,STARLINK-1560 - Y-Coordinate,STARLINK-30767 - Y-Coordinate,STARLINK-5909 - Y-Coordinate,STARLINK-30232 - Y-Coordinate,STARLINK-31543 - Y-Coordinate,STARLINK-2089 - Y-Coordinate,STARLINK-4483 - Y-Coordinate,STARLINK-31804 - Y-Coordinate,STARLINK-1365 - Y-Coordinate,STARLINK-6283 - Y-Coordinate,STARLINK-3628 - Y-Coordinate,STARLINK-4204 - Y-Coordinate,STARLINK-4278 - Y-Coordinate,STARLINK-3691 - Y-Coordinate,STARLINK-30989 - Y-Coordinate,STARLINK-6348 - Y-Coordinate,STARLINK-1637 - Y-Coordinate,STARLINK-1021 - Y-Coordinate,STARLINK-5824 - Y-Coordinate,STARLINK-2369 - Y-Coordinate,STARLINK-2006 - Y-Coordinate,STARLINK-11130 [DTC] - Y-Coordinate,STARLINK-4010 - Y-Coordinate,STARLINK-2674 - Y-Coordinate,STARLINK-30308 - Y-Coordinate,STARLINK-1677 - Y-Coordinate,STARLINK-30786 - Y-Coordinate,STARLINK-5611 - Y-Coordinate,STARLINK-5186 - Y-Coordinate,STARLINK-4510 - Y-Coordinate,STARLINK-3349 - Y-Coordinate,STARLINK-6315 - Y-Coordinate,STARLINK-30774 - Y-Coordinate,STARLINK-32049 - Y-Coordinate,STARLINK-1483 - Y-Coordinate,STARLINK-5255 - Y-Coordinate,STARLINK-32013 - Y-Coordinate,STARLINK-2634 - Y-Coordinate,STARLINK-1136 - Y-Coordinate,STARLINK-31817 - Y-Coordinate,STARLINK-4290 - Y-Coordinate,STARLINK-1277 - Y-Coordinate,STARLINK-30898 - Y-Coordinate,STARLINK-30100 - Y-Coordinate,STARLINK-4602 - Y-Coordinate,STARLINK-5030 - Y-Coordinate,STARLINK-31811 - Y-Coordinate,STARLINK-6148 - Y-Coordinate,STARLINK-4277 - Y-Coordinate,STARLINK-1054 - Y-Coordinate,STARLINK-30227 - Y-Coordinate,STARLINK-6085 - Y-Coordinate,STARLINK-6263 - Y-Coordinate,STARLINK-5472 - Y-Coordinate,STARLINK-30838 - Y-Coordinate,STARLINK-32269 - Y-Coordinate,STARLINK-30298 - Y-Coordinate,STARLINK-1850 - Y-Coordinate,STARLINK-3779 - Y-Coordinate,STARLINK-5627 - Y-Coordinate,STARLINK-3772 - Y-Coordinate,STARLINK-4538 - Y-Coordinate,STARLINK-2008 - Y-Coordinate,STARLINK-5829 - Y-Coordinate,STARLINK-5280 - Y-Coordinate,STARLINK-3744 - Y-Coordinate,STARLINK-30705 - Y-Coordinate,STARLINK-5096 - Y-Coordinate,STARLINK-5163 - Y-Coordinate,STARLINK-3619 - Y-Coordinate,STARLINK-31308 - Y-Coordinate,STARLINK-31056 - Y-Coordinate,STARLINK-4130 - Y-Coordinate,STARLINK-31590 - Y-Coordinate,STARLINK-5064 - Y-Coordinate,STARLINK-30577 - Y-Coordinate,STARLINK-1332 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-32088 - Z-Coordinate,STARLINK-6204 - Z-Coordinate,STARLINK-31309 - Z-Coordinate,STARLINK-30146 - Z-Coordinate,STARLINK-1773 - Z-Coordinate,STARLINK-4679 - Z-Coordinate,STARLINK-31891 - Z-Coordinate,STARLINK-2220 - Z-Coordinate,STARLINK-6157 - Z-Coordinate,STARLINK-31953 - Z-Coordinate,STARLINK-3959 - Z-Coordinate,STARLINK-5039 - Z-Coordinate,STARLINK-30269 - Z-Coordinate,STARLINK-6232 - Z-Coordinate,STARLINK-1559 - Z-Coordinate,STARLINK-3961 - Z-Coordinate,STARLINK-3122 - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-31415 - Z-Coordinate,STARLINK-30766 - Z-Coordinate,STARLINK-5568 - Z-Coordinate,STARLINK-5741 - Z-Coordinate,STARLINK-4006 - Z-Coordinate,STARLINK-1560 - Z-Coordinate,STARLINK-30767 - Z-Coordinate,STARLINK-5909 - Z-Coordinate,STARLINK-30232 - Z-Coordinate,STARLINK-31543 - Z-Coordinate,STARLINK-2089 - Z-Coordinate,STARLINK-4483 - Z-Coordinate,STARLINK-31804 - Z-Coordinate,STARLINK-1365 - Z-Coordinate,STARLINK-6283 - Z-Coordinate,STARLINK-3628 - Z-Coordinate,STARLINK-4204 - Z-Coordinate,STARLINK-4278 - Z-Coordinate,STARLINK-3691 - Z-Coordinate,STARLINK-30989 - Z-Coordinate,STARLINK-6348 - Z-Coordinate,STARLINK-1637 - Z-Coordinate,STARLINK-1021 - Z-Coordinate,STARLINK-5824 - Z-Coordinate,STARLINK-2369 - Z-Coordinate,STARLINK-2006 - Z-Coordinate,STARLINK-11130 [DTC] - Z-Coordinate,STARLINK-4010 - Z-Coordinate,STARLINK-2674 - Z-Coordinate,STARLINK-30308 - Z-Coordinate,STARLINK-1677 - Z-Coordinate,STARLINK-30786 - Z-Coordinate,STARLINK-5611 - Z-Coordinate,STARLINK-5186 - Z-Coordinate,STARLINK-4510 - Z-Coordinate,STARLINK-3349 - Z-Coordinate,STARLINK-6315 - Z-Coordinate,STARLINK-30774 - Z-Coordinate,STARLINK-32049 - Z-Coordinate,STARLINK-1483 - Z-Coordinate,STARLINK-5255 - Z-Coordinate,STARLINK-32013 - Z-Coordinate,STARLINK-2634 - Z-Coordinate,STARLINK-1136 - Z-Coordinate,STARLINK-31817 - Z-Coordinate,STARLINK-4290 - Z-Coordinate,STARLINK-1277 - Z-Coordinate,STARLINK-30898 - Z-Coordinate,STARLINK-30100 - Z-Coordinate,STARLINK-4602 - Z-Coordinate,STARLINK-5030 - Z-Coordinate,STARLINK-31811 - Z-Coordinate,STARLINK-6148 - Z-Coordinate,STARLINK-4277 - Z-Coordinate,STARLINK-1054 - Z-Coordinate,STARLINK-30227 - Z-Coordinate,STARLINK-6085 - Z-Coordinate,STARLINK-6263 - Z-Coordinate,STARLINK-5472 - Z-Coordinate,STARLINK-30838 - Z-Coordinate,STARLINK-32269 - Z-Coordinate,STARLINK-30298 - Z-Coordinate,STARLINK-1850 - Z-Coordinate,STARLINK-3779 - Z-Coordinate,STARLINK-5627 - Z-Coordinate,STARLINK-3772 - Z-Coordinate,STARLINK-4538 - Z-Coordinate,STARLINK-2008 - Z-Coordinate,STARLINK-5829 - Z-Coordinate,STARLINK-5280 - Z-Coordinate,STARLINK-3744 - Z-Coordinate,STARLINK-30705 - Z-Coordinate,STARLINK-5096 - Z-Coordinate,STARLINK-5163 - Z-Coordinate,STARLINK-3619 - Z-Coordinate,STARLINK-31308 - Z-Coordinate,STARLINK-31056 - Z-Coordinate,STARLINK-4130 - Z-Coordinate,STARLINK-31590 - Z-Coordinate,STARLINK-5064 - Z-Coordinate,STARLINK-30577 - Z-Coordinate,STARLINK-1332 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3534.0269,-3266.7528,2427.3943,6722.6508,155.9277,2517.8776,-1124.8002,-4473.2233,-1801.1539,6776.5977,3687.5257,-5208.3197,1478.9431,6125.2390,5992.1584,-2565.6988,3446.0484,316.6106,6186.2735,-6022.5252,-2953.8699,4827.7623,-3915.3844,-4153.1021,-6563.1504,-3861.0443,3853.2440,4033.8397,-2015.3410,-2263.0695,4148.5234,3730.5775,906.5246,4289.9937,2058.8297,-1063.6109,3175.0795,-4325.4668,-265.4068,-6296.2744,-3705.2592,-4638.1652,-4991.9571,2058.6345,-5613.7380,6216.9070,-5327.9580,4987.0262,-2860.5906,0.0000,4307.1354,-5900.8645,683.5194,-3285.5403,2625.6221,2105.2824,-1856.9019,0.0000,-4394.9409,4596.6690,-4260.8348,-5412.6018,2013.8790,-5011.7620,51.5590,-4164.4520,-3664.8765,2652.7348,-5045.7473,3948.9868,5507.0594,-3173.0080,2645.7115,4181.8126,2704.2605,-1091.9742,646.9518,2464.2816,5744.6756,-3922.6458,-5552.8688,4137.2079,-4499.7817,2791.0439,3303.6237,6544.3369,-4051.8742,-5268.4345,3587.6801,-2481.2051,-3607.7670,-3902.1978,-3113.2018,5774.3746,5131.9819,124.1310,4722.2027,4795.8456,-5399.4788,-5350.0234,-391334.7103,-363489.2855,-384544.4529,-384015.9104,-381059.6982,-381473.8265,-374547.5360,-377596.6067,174376104.0439,174399923.7067,174369873.1921,174367912.9197,-378415.0459,174375200.8629,5676.2896,491.4618,6384.6135,1474.7520,-4195.6655,-3465.3341,-5098.8598,5107.5986,6111.4835,343.5310,2461.2457,-626.0485,6570.6748,-2616.1474,-3112.8866,-3254.3772,2431.8692,5932.4934,2116.9038,1344.3379,-4122.2714,1532.9626,-1798.3570,17.1470,685.1186,5465.5646,5607.7031,5439.1990,4417.9543,4941.9588,2896.0870,-5771.5461,-6834.4761,-206.2465,-3804.0208,5922.6494,-3683.9256,-3181.2465,5610.2410,2477.8315,-5344.2179,4126.0325,4147.5580,6392.6888,3286.9808,-936.7798,-527.4735,-3221.3053,3824.4634,0.0000,-1277.6586,-574.5881,-6513.1885,-5955.3295,-6235.0305,5064.4980,4701.5865,0.0000,-140.2842,-4529.6356,999.0202,4316.5007,5812.2822,469.2320,-5097.4016,5374.3078,-4330.0856,3219.5251,3975.8077,-1824.5720,-2522.7977,-2660.8354,3547.2456,3377.4414,-4712.8789,-6233.4600,-4150.1882,6457.3321,-491.3570,2903.1591,-769.6721,-2086.0661,-3028.7300,-6228.3731,-6046.0095,653.2679,-3264.2828,-4454.9408,2344.2170,-5206.0680,3764.3230,1430.0030,-6031.4258,1664.6198,4531.6159,4446.7893,4151.6426,-4247.1153,-100.2777,-2434.6889,-104337.1440,-130901.2275,-117135.6658,-115770.8863,-123891.4151,-121602.6201,-117169.4850,-116507.8971,81724810.4927,81717846.7247,81740012.1432,81749890.9721,-117496.5251,81742981.0485,1291.0462,-6106.7133,601.4270,-777.0038,-5503.2453,-5291.0697,4366.1211,903.8050,2715.7075,350.4580,-5283.6697,-4536.8403,1623.1797,1926.2870,-1375.8756,-5531.1427,5502.1583,3526.5942,-1955.3553,3159.9310,-4726.2536,4712.1853,5344.1214,5518.7809,2077.4702,1884.4217,1343.4627,787.3339,-4922.3873,-4255.9847,4564.2469,-706.0822,-717.5423,5387.2311,5381.9961,3385.4252,4907.4439,4390.0265,4047.6294,-1263.1522,-2332.0189,-3081.7692,-2399.6255,-1525.8001,-1731.8955,2856.2175,-4368.7005,-3575.9622,4960.8269,0.0000,5282.6095,-3552.6233,2127.8540,-1243.5561,1402.4488,4098.4666,4475.9875,0.0000,-5333.4921,-1863.0175,5319.2345,-197.6243,2927.5995,4708.2547,-4682.1415,-761.2335,3989.1458,5510.8275,2616.1134,5275.5104,-3354.2130,5515.0496,5304.8337,4354.5319,-4309.5956,-2833.9755,5469.2761,637.5808,-3660.3499,4782.5561,3618.7875,-5143.0224,-4318.8564,1038.2404,-464.9142,2042.4811,-4602.4598,-22.2058,-5403.5483,-3666.9603,4533.6994,-5510.5740,1232.9669,-3215.7246,-5.9378,5269.5077,2620.4785,-2676.1287,-4352.5774,3638.2015,-17122.2131,-21145.9631,-20559.5570,-16909.0551,-15412.5319,-25498.6364,-28547.5006,-19492.0685,35894972.3042,35876745.2848,35921529.1849,35907497.5216,-20730.5190,35904267.2349,
300.000,4806.6635,-4251.8261,3668.8496,6554.4101,-1990.3380,418.3328,-3148.3310,-3486.0698,-299.0807,6583.9778,4122.7635,-4854.0416,2842.8027,4841.9478,5438.4411,-4098.3185,4767.8847,1760.4579,5996.4651,-5937.5702,-4549.3189,5320.9962,-4129.5458,-3968.5388,-6514.1183,-3469.2800,5082.8955,5149.5167,82.7384,-321.0575,5373.4591,2630.0651,-600.4088,3519.2106,-86.7892,220.6699,1105.3506,-5683.6626,1605.1325,-5832.5869,-4905.4160,-2856.1039,-4382.6828,3248.3118,-4272.5757,5017.4266,-4352.9849,4297.4310,-1749.9622,0.0000,2397.5042,-4939.0373,-687.1343,-4337.8661,1210.6404,3595.9185,-524.9311,0.0000,-3688.6412,3093.3808,-3063.4302,-4434.9582,3342.0101,-5492.4079,-1640.7666,-3114.5184,-5294.9754,4322.2578,-3734.4280,2389.4220,3977.4547,-4510.5087,4484.6046,4881.5627,615.3435,-2756.3518,-1527.5016,3791.1446,4485.8643,-3372.3328,-4611.4143,3765.8071,-5803.0947,1427.6436,2144.2955,5828.4222,-2401.4396,-5774.7530,4948.2080,-3343.4625,-1602.2270,-2829.7109,-4183.9010,5405.4166,5665.7156,2109.3687,5967.9679,3484.1985,-4714.1692,-6449.4389,-389093.1354,-360659.3209,-381948.3137,-381359.6053,-378470.4740,-378863.1974,-372034.8034,-374926.5511,172552537.0200,172576730.5622,172546528.9124,172543941.3820,-375830.3015,172551631.6313,4819.5957,2161.9555,5400.9047,-103.9429,-3866.4960,-4089.6217,-4844.9352,5826.5125,6793.6817,-1177.0446,339.0669,1489.9648,5574.8207,-3777.0979,-4206.8855,-1727.5646,787.1750,6390.7763,370.1028,3062.6602,-2695.3571,-543.1460,374.4557,2168.1861,2257.1898,6022.7782,4716.7539,4402.7891,4230.1463,4564.3595,1180.1143,-6289.2308,-6854.1373,-2246.1357,-4171.3445,6668.5131,-4083.3024,-1710.5618,6007.5994,3609.5064,-4827.1054,4826.6656,5311.7638,6064.3774,3984.7087,-2128.4542,1220.4844,-4884.2422,5388.6365,0.0000,-1877.1615,982.0818,-5784.2205,-5351.1936,-6802.7244,3568.7851,5921.5611,0.0000,1909.4496,-4860.6995,2815.8779,5070.5618,4424.3978,2235.4643,-5753.2021,5995.7350,-3365.1751,1897.1614,3844.7234,-3353.1744,-3753.4418,-982.0983,2674.2883,1366.0835,-5056.6466,-6191.2874,-3981.8029,5744.6914,-1885.3475,4696.3267,903.8020,-4011.7142,-1537.7118,-6169.2845,-6421.7377,-709.9521,-2541.6308,-3314.7681,775.2496,-3537.6218,4110.8433,3319.0768,-5456.7877,-268.9106,3395.3029,4830.8702,3059.2410,-4036.4961,1908.8405,-1351.1859,-112657.7685,-138615.1735,-125019.8971,-123753.9021,-131917.2072,-129639.2976,-125179.7748,-124199.2378,85517547.8533,85511151.8612,85532102.8926,85542127.5991,-125494.0248,85535630.7557,-258.0752,-5045.6338,2087.7732,-2240.1414,-5385.5833,-5426.3322,3599.3871,-917.7033,1322.5109,-1203.7469,-5519.3293,-4724.6877,2968.3152,3215.3027,433.6587,-5290.1344,4972.2629,1955.5778,-3239.3693,1857.4277,-4482.7421,4388.4814,5470.4215,5220.9528,595.6096,-223.6359,-190.0763,-771.1104,-5469.5093,-5170.1727,4021.4753,1106.7513,828.1984,5480.4024,5501.1741,1785.1022,5461.0100,3589.6551,3046.2112,550.1954,-584.2446,-4072.9497,-659.7024,279.0830,-3347.0202,4236.3632,-5227.0431,-2387.9491,3916.5296,0.0000,6228.0773,-4735.5595,3667.6474,570.2241,-131.3032,4604.2464,3205.2705,0.0000,-5525.8360,-3455.1160,5488.9595,1599.0928,3955.0817,3517.0828,-3479.7881,1063.3092,2958.1683,5049.9075,4398.1293,5458.5597,-4247.5897,5124.7995,4525.0105,4706.4550,-4706.7311,-1462.2318,5419.2095,-906.7122,-4792.5807,3644.6547,4734.3853,-4199.6026,-3468.4849,2743.4526,1347.4740,3594.1655,-6002.7790,-1815.2855,-4740.8776,-4797.9264,5315.2726,-5349.3489,-582.8462,-4143.8002,1793.4310,4448.6962,1204.5249,-4447.7807,-4716.5791,2096.9880,-16998.1869,-21028.5896,-20323.1722,-16932.2872,-15179.9934,-25138.6241,-28536.1018,-19746.0177,35893441.9849,35875267.0473,35920264.8411,35906613.0690,-20595.5831,35902906.1004,
600.000,5588.6557,-4855.5263,4561.8648,5757.0486,-3946.1641,-1708.6471,-4840.0482,-2133.3270,1219.4222,5712.2099,4207.9843,-4075.2897,3959.1298,3087.5202,4333.9104,-5262.1408,5657.1505,3009.0421,5217.1162,-5290.0877,-5729.3737,5335.5561,-3987.2818,-3448.1150,-5832.0891,-2722.8537,5821.7646,5744.9215,2188.0939,1680.8011,6075.0968,1255.6301,-2057.0810,2453.4384,-2214.7620,1463.0675,-1072.8050,-6506.5253,3299.4232,-4776.1027,-5610.9362,-791.9420,-3343.5044,4113.0238,-2458.1587,3327.1545,-2987.0352,3212.7476,-506.7381,0.0000,257.9815,-3515.7629,-2027.5929,-4962.7896,-324.1071,4763.3232,827.5207,0.0000,-2674.2710,1233.0282,-1609.2830,-3006.1183,4366.5598,-5451.8435,-3141.1030,-1733.4669,-6412.0057,5590.4673,-2013.7642,626.4504,2071.0035,-5437.2469,5885.8513,5150.8391,-1533.4210,-4142.3764,-3552.2685,4759.8088,2787.4840,-2516.1339,-3194.3102,3068.3053,-6558.0177,-105.3092,756.4977,4539.4015,-537.4393,-5716.1673,5845.0708,-3916.7207,567.4053,-1529.4167,-4840.5526,4517.6088,5631.1245,3860.1832,6599.6521,1787.4715,-3613.9929,-6907.7458,-386673.6343,-357666.3962,-379179.3607,-378530.0009,-375710.5525,-376079.2132,-369353.0311,-372167.0211,170646486.0486,170671039.3986,170640729.4073,170637528.8289,-373076.5112,170645582.2538,3467.3984,3569.4827,3869.9664,-1692.7287,-3215.5167,-4349.0576,-4129.0526,5954.6711,6817.8119,-2588.0626,-1808.1897,3472.9444,4039.1757,-4603.0900,-4881.1375,-75.0039,-892.5512,6222.1226,-1439.1431,4471.5550,-1043.1737,-2550.1495,2504.8313,4102.3001,3603.8032,5970.0529,3367.9446,2911.6699,3682.6971,3783.2605,-625.5348,-6184.4105,-6208.6781,-4083.7740,-4184.8517,6752.5755,-4138.3595,-106.2521,5842.3553,4381.7889,-3832.4368,5098.8278,5943.3345,5122.4821,4289.7313,-3154.5854,2889.1218,-6066.1595,6421.0103,0.0000,-2366.6204,2485.9208,-4487.1477,-4209.4155,-6704.3940,1738.2008,6520.2359,0.0000,3792.8072,-4698.5706,4386.6198,5335.9063,2592.8082,3750.6956,-5864.7115,6006.2825,-2103.3455,436.2142,3372.1595,-4584.2775,-4659.5748,752.7815,1585.6745,-769.9320,-4957.4570,-5557.4799,-3476.7182,4473.6854,-3135.0376,5999.9022,2521.5305,-5532.9354,71.5188,-5508.9172,-6161.3869,-2040.0622,-1474.6356,-1827.0803,-827.7942,-1509.1445,4108.4130,4903.6714,-4331.3694,-2199.9605,1894.7562,4776.3755,1665.2393,-3465.4555,3754.8940,-157.0099,-120931.1137,-146267.2753,-132847.4132,-131678.4354,-139884.8807,-137614.2460,-133136.4591,-131929.5557,89269624.2503,89263801.9075,89283544.0130,89293669.8090,-133434.7146,89287619.9631,-1778.0822,-3448.3882,3342.9420,-3462.9400,-4690.6376,-4950.6487,2426.3000,-2637.4461,-212.6455,-2621.1605,-5157.2026,-4408.5628,3994.9419,4160.2102,2195.8354,-4479.3638,3911.7229,173.2249,-4160.4289,356.1666,-3760.2156,3593.0416,4995.7082,4359.7768,-950.4235,-2307.9903,-1703.3068,-2242.7983,-5428.6226,-5525.7113,3026.3291,2799.6657,2285.1094,4977.9525,5026.3080,-8.5222,5425.6974,2406.0362,1717.7072,2303.2547,1226.7795,-4628.5276,1151.3042,2053.4230,-4571.6926,5157.9921,-5522.2646,-944.0491,2445.3625,0.0000,6509.8646,-5408.3697,4806.8562,2322.3503,-1650.8765,4599.4652,1563.9775,0.0000,-5123.6162,-4641.6678,5061.7278,3223.8790,4536.8829,1943.5451,-1903.4251,2769.2602,1611.1485,4045.2105,5710.3784,5034.8202,-4685.4748,4179.1561,3256.9394,4552.3451,-4601.7566,66.0661,4781.7865,-2354.3037,-5389.7838,2100.1607,5284.0277,-2805.2923,-2247.2531,4151.0431,3013.6767,4753.4049,-6767.1041,-3411.4004,-3563.9660,-5394.4252,5523.5658,-4609.7539,-2335.3963,-4606.1416,3393.2711,3145.4014,-347.2825,-5746.5378,-4577.6048,329.5514,-16874.3872,-20911.1802,-20087.2937,-16960.5203,-14950.9416,-24772.3828,-28519.5605,-20064.6219,35891915.7701,35873789.8325,35918989.6429,35905716.8856,-20460.6351,35901544.7912,
