sl_20_5400_20310208 Coordinates.csv
2031/02/08 07:47:00.0000 UTC

Generated: Tue Oct  8 21:54:51 2024,
Start: 2031/02/08 07:47:00.00, Stop: 2031/02/08 09:17:00.00,
TIME_UNITS,STARLINK-5857 - X-Coordinate,STARLINK-3548 - X-Coordinate,STARLINK-3608 - X-Coordinate,STARLINK-3350 - X-Coordinate,STARLINK-3576 - X-Coordinate,STARLINK-5701 - X-Coordinate,STARLINK-3049 - X-Coordinate,STARLINK-30526 - X-Coordinate,STARLINK-1749 - X-Coordinate,STARLINK-6276 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-3888 - X-Coordinate,STARLINK-1152 - X-Coordinate,STARLINK-4287 - X-Coordinate,STARLINK-2294 - X-Coordinate,STARLINK-31454 - X-Coordinate,STARLINK-6051 - X-Coordinate,STARLINK-6090 - X-Coordinate,STARLINK-11136 [DTC] - X-Coordinate,STARLINK-4459 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5857 - Y-Coordinate,STARLINK-3548 - Y-Coordinate,STARLINK-3608 - Y-Coordinate,STARLINK-3350 - Y-Coordinate,STARLINK-3576 - Y-Coordinate,STARLINK-5701 - Y-Coordinate,STARLINK-3049 - Y-Coordinate,STARLINK-30526 - Y-Coordinate,STARLINK-1749 - Y-Coordinate,STARLINK-6276 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-3888 - Y-Coordinate,STARLINK-1152 - Y-Coordinate,STARLINK-4287 - Y-Coordinate,STARLINK-2294 - Y-Coordinate,STARLINK-31454 - Y-Coordinate,STARLINK-6051 - Y-Coordinate,STARLINK-6090 - Y-Coordinate,STARLINK-11136 [DTC] - Y-Coordinate,STARLINK-4459 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5857 - Z-Coordinate,STARLINK-3548 - Z-Coordinate,STARLINK-3608 - Z-Coordinate,STARLINK-3350 - Z-Coordinate,STARLINK-3576 - Z-Coordinate,STARLINK-5701 - Z-Coordinate,STARLINK-3049 - Z-Coordinate,STARLINK-30526 - Z-Coordinate,STARLINK-1749 - Z-Coordinate,STARLINK-6276 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-3888 - Z-Coordinate,STARLINK-1152 - Z-Coordinate,STARLINK-4287 - Z-Coordinate,STARLINK-2294 - Z-Coordinate,STARLINK-31454 - Z-Coordinate,STARLINK-6051 - Z-Coordinate,STARLINK-6090 - Z-Coordinate,STARLINK-11136 [DTC] - Z-Coordinate,STARLINK-4459 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4550.0076,-3620.8842,-5299.6620,-3295.6384,3567.1326,279.9985,5127.5894,-3589.1539,2571.3231,-5562.5989,-5481.6502,3255.3551,3496.5215,-6082.1008,2128.3664,3254.9260,6282.5894,5847.1620,-4880.4063,1710.8965,119084.2782,90526.1289,113920.8426,112025.0689,103912.7362,105584.3669,106627.8026,109564.4228,-137645432.9238,-137617267.9362,-137647489.3954,-137622794.3356,108751.7962,-137629958.1586,-107.8560,-4823.6644,2117.2587,4462.1047,5899.9422,-6960.1692,2454.7693,-4046.7976,4430.7975,-3152.5905,-1425.0462,5926.7382,-5638.5029,1148.6618,5002.2576,-6003.8212,-2848.5714,3581.5329,-3152.4415,113.6679,-360627.4671,-382155.1851,-378433.5631,-373413.1495,-369930.7282,-373279.3211,-379571.6742,-376453.6729,-101556031.4986,-101533262.2810,-101552938.9384,-101541030.9140,-376260.2705,-101543121.3970,-5279.1006,3345.6562,3852.6245,4136.8791,505.5396,559.1717,3904.5278,-4333.8060,4630.9478,2565.3478,-3666.2745,-1249.5268,-1691.0373,2827.5291,4162.8315,-206.7171,-758.0207,848.4853,-3435.8573,-6734.6777,52735.9276,47914.2069,52880.0717,49918.7763,55756.6606,50044.3782,41598.3362,48816.1610,-40001935.2104,-40002647.3219,-40017025.2998,-40004956.4602,50372.7153,-40005288.0432,
300.000,5747.3716,-4108.0138,-5299.8980,-2433.0863,4482.8269,-1228.8788,4753.2036,-4594.6169,3503.6232,-6540.8123,-6400.9861,4016.1224,2013.9211,-6215.6285,3154.6793,1999.3772,5494.4231,6190.2444,-6098.1875,-298.3017,126621.2309,98544.1184,121803.9847,119899.0283,111796.2751,113678.4466,114529.2968,117374.2197,-135389427.1938,-135361551.5453,-135390997.3003,-135367146.4576,116688.8199,-135373979.2867,-1177.3027,-3097.2125,3713.4014,5880.1815,5100.3245,-6568.3539,581.1233,-2178.6702,2597.0422,-1842.6169,-136.2301,4752.3581,-5649.0004,2537.2097,3306.7912,-6223.6201,-3182.9935,2019.8668,-2229.3109,1182.2335,-357987.7609,-380119.8852,-376185.7413,-371296.7070,-367542.6285,-371002.9503,-377154.7843,-374533.0887,-104535928.3803,-104512947.4803,-104533128.1487,-104520263.6765,-373877.6525,-104522923.4016,-3762.5650,4590.4258,2358.8325,2723.5727,-1306.8784,2039.2879,4960.2789,-4709.6747,5352.7290,1144.9928,-2125.1534,-2931.1268,-3305.5177,1125.3969,5096.4180,-1994.5624,-2802.3055,2304.8003,-1840.5650,-6842.2079,52610.4531,47779.6359,52764.6144,49666.4714,55655.2946,50230.1274,41452.6158,48782.3287,-40002258.8025,-40002145.9628,-40017334.5360,-40004382.7907,50267.2373,-40005359.3295,
600.000,6387.2695,-4234.8109,-4787.0009,-1360.0082,4964.3598,-2640.7427,3950.4503,-5198.4327,4145.7242,-6871.7975,-6638.1177,4402.0914,297.7204,-5705.7460,3915.0735,517.7494,4132.6053,5941.0629,-6658.4101,-2318.3048,134099.1413,106517.5645,129633.5749,127714.7369,119627.5510,121742.2125,122377.2140,125096.5519,-133068917.9334,-133041345.3132,-133069991.7918,-133047084.4761,124573.7054,-133053500.6086,-2083.4690,-1050.2586,4918.2880,6712.7900,3784.6013,-5557.9093,-1380.9236,-114.5018,519.1725,-361.7454,1142.9505,3085.9359,-5107.0012,3649.0351,1286.4363,-5812.7330,-3227.3617,243.1635,-1088.2370,2038.5918,-355191.7133,-377916.0486,-373769.5828,-369030.2594,-364989.5170,-368568.0345,-374572.0044,-372399.2026,-107465724.4820,-107442548.6925,-107463196.4611,-107449436.9604,-371327.5996,-107452625.5398,-1850.0955,5336.8502,607.6108,1017.4514,-2978.2948,3306.0073,5477.7060,-4582.1373,5496.3866,-400.2210,-337.2793,-4291.6442,-4553.2919,-704.0123,5465.1990,-3559.6207,-4547.7827,3511.6798,-31.7987,-6226.7712,52484.7962,47645.1877,52644.3736,49417.8418,55551.2530,50416.0320,41311.1967,48867.3426,-40002583.6534,-40001647.3432,-40017639.9219,-40003818.2846,50161.7306,-40005430.4725,
900.000,6392.9328,-3997.3120,-3797.1816,-163.5713,4980.9096,-3833.9068,2805.5654,-5340.5216,4434.8939,-6524.7520,-6161.6432,4390.0524,-1485.6138,-4595.9791,4335.6066,-1051.8872,2329.8667,5132.3349,-6502.8283,-4125.6987,141514.7985,114442.9137,137406.1175,135466.7603,127403.1149,129774.2979,130168.0816,132737.9644,-130685017.3292,-130657760.6067,-130685585.7941,-130663716.1352,132402.9206,-130669634.2681,-2757.3294,1112.3151,5623.1423,6878.4243,2074.7654,-4027.1136,-3236.7895,1945.4768,-1593.9957,1158.6522,2295.3107,1092.4841,-4079.7531,4386.8019,-849.6368,-4824.7786,-2999.8067,-1582.8267,169.5256,2597.0573,-352240.6581,-375544.6301,-371186.0973,-366615.8904,-362272.5081,-365976.7615,-371824.5511,-370021.0870,-110344023.8416,-110320670.6116,-110341747.5160,-110327164.0453,-368611.2514,-110330832.0090,257.4003,5504.1005,-1209.9272,-798.0634,-4328.8551,4226.9003,5400.7923,-3964.6705,5046.4434,-1901.8447,1489.7819,-5182.8630,-5296.7540,-2453.9140,5228.4646,-4727.7533,-5809.1916,4338.6050,1780.6257,-4952.7142,52358.9584,47510.8633,52519.3774,49174.4979,55444.5596,50600.0474,41174.0560,49056.3111,-40002909.6483,-40001151.9873,-40017941.3383,-40003269.3090,50056.1951,-40005501.4723,
1200.000,5751.9198,-3421.4171,-2414.9708,1057.9896,4545.3397,-4704.2179,1433.1187,-5000.7252,4336.8720,-5536.7501,-5018.3140,3991.9464,-3158.8477,-2993.9899,4370.1723,-2558.6981,266.1767,3849.5178,-5651.5543,-5515.6505,148865.0216,122316.6325,145118.1377,143149.2471,135119.5437,137773.4549,137898.4559,140305.9892,-128238867.7730,-128211938.9503,-128238922.4537,-128218177.5954,140172.9578,-128223522.6075,-3156.0430,3172.8015,5771.2384,6363.2817,134.1044,-2123.3805,-4798.8943,3802.9660,-3531.9379,2583.0380,3217.7796,-1028.4606,-2679.8603,4692.3505,-2882.2286,-3370.6416,-2540.2760,-3284.5770,1429.7403,2812.1612,-349135.9942,-373006.6593,-368436.3691,-364055.5925,-359392.7900,-363231.5766,-368913.7108,-367373.9585,-113169455.1772,-113145942.5566,-113167409.6591,-113152082.1220,-365729.8221,-113156171.6848,2337.6997,5074.0337,-2895.6337,-2527.8999,-5213.8723,4705.9018,4737.7855,-2922.8952,4051.2867,-3196.4700,3143.4526,-5508.1235,-5454.2347,-3927.0143,4412.3281,-5369.5672,-6453.2779,4696.2713,3386.0635,-3153.7038,52232.9409,47376.6636,52389.6630,48938.4832,55335.2374,50779.4506,41041.1729,49325.4980,-40003236.6720,-40000660.4151,-40018238.6638,-40002742.1625,49950.6311,-40005572.3290,
1500.000,4518.9660,-2560.0185,-766.0179,2203.1567,3710.8500,-5173.9506,-35.4461,-4201.7110,3850.0302,-4008.3923,-3328.4944,3252.1217,-4551.3360,-1060.6518,4005.6453,-3853.3577,-1849.5593,2221.4532,-4200.4659,-6325.3083,156146.6617,130135.2093,152766.1837,150755.8658,142773.4416,145738.4472,145564.9234,147808.3748,-125731641.3141,-125705051.4823,-125731174.5909,-125711633.0347,147880.3362,-125716337.6198,-3264.8767,4922.6405,5361.9846,5222.2189,-1848.6893,-28.6457,-5905.6915,5280.5937,-5103.4634,3783.6456,3830.3006,-3062.8467,-1052.6915,4550.4217,-4604.6248,-1605.4986,-1904.3645,-4697.2975,2575.2827,2682.3400,-345879.1849,-370303.2408,-365521.5569,-361351.1001,-356351.6242,-360335.1805,-365840.8396,-364441.5457,-115940672.5402,-115917019.1220,-115938836.5956,-115922852.6343,-362684.5998,-115927298.7740,4171.1985,4093.1073,-4266.2995,-3986.6895,-5538.9569,4693.2212,3560.3682,-1567.9020,2618.1610,-4143.6252,4431.3134,-5232.2779,-5008.4834,-4957.9233,3106.9618,-5414.2216,-6412.2055,4546.1025,4597.9497,-1019.6087,52106.7450,47242.5896,52255.2763,48712.3791,55223.3076,50950.6380,40912.5280,49644.5736,-40003564.6086,-40000173.1397,-40018531.7752,-40002242.8439,49845.0386,-40005643.0424,
1800.000,2811.2216,-1488.3302,994.5516,3175.2375,2564.2673,-5198.5749,-1464.2937,-3008.2561,3007.0521,-2093.0361,-1273.0058,2242.3169,-5516.1323,1006.5834,3264.5567,-4802.4767,-3800.4967,407.2546,-2309.8774,-6453.5718,163356.6029,137895.1560,160346.8279,158279.7723,150361.4412,153667.8510,153164.1024,155252.3751,-123164539.0979,-123138298.3969,-123163544.1378,-123145274.3381,155521.6028,-123149280.3876,-3095.9928,6183.6965,4448.9406,3572.3201,-3677.8053,2058.2551,-6438.6934,6239.0499,-6155.8871,4651.6299,4082.2316,-4803.4147,638.5772,3987.8850,-5843.8391,287.8496,-1156.6199,-5680.8691,3496.7755,2248.2841,-342471.7575,-367435.5535,-362442.8933,-358503.6345,-353150.3444,-357290.4904,-362607.3622,-361217.5046,-118656355.9576,-118632580.8168,-118654708.0324,-118638161.6618,-359476.9462,-118642893.4562,5564.6320,2667.5498,-5173.6130,-5018.7744,-5269.5739,4190.3639,1996.1516,-44.6851,901.8536,-4640.8746,5203.7237,-4385.2208,-4008.4256,-5431.4282,1456.9064,-4856.7793,-5690.1901,3904.3082,5275.6568,1223.0170,51980.3719,47108.6423,52116.2723,48499.4146,55108.7906,51108.8911,40788.1041,49979.5260,-40003893.3418,-39999690.6645,-40018820.5468,-40001776.8298,49739.4176,-40005713.6127,
2100.000,796.5230,-297.6762,2696.8252,3890.0717,1216.9724,-4770.9539,-2725.7049,-1522.5925,1873.6017,18.9199,926.7653,1054.9399,-5945.5059,2993.9364,2204.6983,-5302.1113,-5383.7695,-1419.2510,-186.2439,-5874.3405,170491.7632,145593.0093,167856.6682,165713.6498,157880.2054,161559.7211,160692.6439,162644.1827,-120538790.7902,-120512908.3732,-120537261.5616,-120520320.8550,163093.3342,-120523580.5073,-2684.5243,6826.8457,3132.4775,1580.1877,-5169.3540,3940.5381,-6335.6842,6590.6003,-6590.3345,5106.5111,3955.8125,-6070.5782,2228.9988,3069.1275,-6478.4520,2117.6242,-364.0981,-6133.8279,4102.7242,1585.9807,-338915.3023,-364404.8499,-359201.6847,-355513.5353,-349790.3563,-354100.5344,-359214.7715,-357705.7492,-121315212.0598,-121291334.6916,-121313730.3076,-121296720.3669,-356108.2956,-121301662.5117,6371.5868,952.0890,-5519.8421,-5514.5476,-4434.4493,3249.9036,215.0081,1483.3122,-912.0118,-4634.5759,5371.0751,-3058.8505,-2564.1240,-5294.8041,-354.8162,-3758.7197,-4363.1346,2840.1760,5340.6441,3335.1724,51853.8228,46974.8226,51972.7145,48303.5511,54991.7056,51248.1403,40667.8852,50295.8028,-40004222.7549,-39999213.4812,-40019104.8510,-40001348.8863,49633.7681,-40005784.0398,
2400.000,-1323.6582,911.9396,4172.3146,4282.8096,-205.6630,-3922.6259,-3711.4787,124.0522,543.7383,2118.9392,3032.9618,-204.9309,-5783.3754,4693.1092,915.2699,-5289.2800,-6431.6230,-3086.1698,1940.6674,-4640.9718,177549.0966,153225.3327,175292.3303,173049.8942,165326.4291,169411.0766,168147.2333,169988.5508,-117855653.9885,-117830137.9900,-117853585.2752,-117838019.1921,170592.1381,-117840495.5005,-2082.7982,6785.7836,1548.3964,-555.2572,-6169.6778,5442.1115,-5598.3610,6307.3880,-6371.3194,5103.3029,3466.7585,-6731.1402,3567.7443,1888.5590,-6450.9189,3702.1743,409.3446,-6004.1022,4328.3527,795.3115,-335211.4717,-361212.4561,-355799.3111,-352379.7722,-346273.1365,-350768.2347,-355664.6277,-353919.7743,-123915974.6974,-123892014.9529,-123914637.0071,-123897265.5215,-352580.1545,-123902339.9378,6507.5664,-866.8487,-5267.8361,-5421.5821,-3122.6924,1970.0536,-1589.5178,2851.9138,-2627.3415,-4125.4075,4913.9141,-1397.6011,-835.1870,-4563.2992,-2127.2206,-2241.5892,-2571.2561,1468.7267,4785.3098,5091.5192,51727.0991,46841.1317,51824.6753,48129.4889,54872.0706,51360.8053,40551.8574,50561.2646,-40004552.7308,-39998742.0669,-40019384.5580,-40000962.9296,49528.0903,-40005854.3237,
