sl_100_86400_20310409 Coordinates.csv
2031/04/09 07:47:00.0000 UTC

Generated: Tue Oct  8 21:59:18 2024,
Start: 2031/04/09 07:47:00.00, Stop: 2031/04/10 07:47:00.00,
TIME_UNITS,STARLINK-1502 - X-Coordinate,STARLINK-3507 - X-Coordinate,STARLINK-5878 - X-Coordinate,STARLINK-30376 - X-Coordinate,STARLINK-30534 - X-Coordinate,STARLINK-31962 - X-Coordinate,STARLINK-5896 - X-Coordinate,STARLINK-31787 - X-Coordinate,STARLINK-31593 - X-Coordinate,STARLINK-31822 - X-Coordinate,STARLINK-4200 - X-Coordinate,STARLINK-5861 - X-Coordinate,STARLINK-5291 - X-Coordinate,STARLINK-31391 - X-Coordinate,STARLINK-30088 - X-Coordinate,STARLINK-1418 - X-Coordinate,STARLINK-30076 - X-Coordinate,STARLINK-1246 - X-Coordinate,STARLINK-6157 - X-Coordinate,STARLINK-30844 - X-Coordinate,STARLINK-5160 - X-Coordinate,STARLINK-4489 - X-Coordinate,STARLINK-1497 - X-Coordinate,STARLINK-31181 - X-Coordinate,STARLINK-5602 - X-Coordinate,STARLINK-31684 - X-Coordinate,STARLINK-31002 - X-Coordinate,STARLINK-31219 - X-Coordinate,STARLINK-5650 - X-Coordinate,STARLINK-3558 - X-Coordinate,STARLINK-31310 - X-Coordinate,STARLINK-5795 - X-Coordinate,STARLINK-5577 - X-Coordinate,STARLINK-3394 - X-Coordinate,STARLINK-3128 - X-Coordinate,STARLINK-5897 - X-Coordinate,STARLINK-30304 - X-Coordinate,STARLINK-6190 - X-Coordinate,STARLINK-2557 - X-Coordinate,STARLINK-31604 - X-Coordinate,STARLINK-3553 - X-Coordinate,STARLINK-31522 - X-Coordinate,STARLINK-31989 - X-Coordinate,STARLINK-5072 - X-Coordinate,STARLINK-1422 - X-Coordinate,STARLINK-2257 - X-Coordinate,STARLINK-30775 - X-Coordinate,STARLINK-4403 - X-Coordinate,STARLINK-32194 - X-Coordinate,STARLINK-4257 - X-Coordinate,STARLINK-5634 - X-Coordinate,STARLINK-1489 - X-Coordinate,STARLINK-31963 - X-Coordinate,STARLINK-4360 - X-Coordinate,STARLINK-5762 - X-Coordinate,STARLINK-4429 - X-Coordinate,STARLINK-30583 - X-Coordinate,STARLINK-30126 - X-Coordinate,STARLINK-1369 - X-Coordinate,STARLINK-5630 - X-Coordinate,STARLINK-3318 - X-Coordinate,STARLINK-4371 - X-Coordinate,STARLINK-3706 - X-Coordinate,STARLINK-31554 - X-Coordinate,STARLINK-1272 - X-Coordinate,STARLINK-31572 - X-Coordinate,STARLINK-5226 - X-Coordinate,STARLINK-31995 - X-Coordinate,STARLINK-5347 - X-Coordinate,STARLINK-30982 - X-Coordinate,STARLINK-4599 - X-Coordinate,STARLINK-3614 - X-Coordinate,STARLINK-6313 - X-Coordinate,STARLINK-30792 - X-Coordinate,STARLINK-31168 - X-Coordinate,STARLINK-30395 - X-Coordinate,STARLINK-4182 - X-Coordinate,STARLINK-31156 - X-Coordinate,STARLINK-6138 - X-Coordinate,STARLINK-30112 - X-Coordinate,STARLINK-1932 - X-Coordinate,STARLINK-3984 - X-Coordinate,STARLINK-30799 - X-Coordinate,STARLINK-30712 - X-Coordinate,STARLINK-3612 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-2327 - X-Coordinate,STARLINK-30415 - X-Coordinate,STARLINK-1399 - X-Coordinate,STARLINK-31766 - X-Coordinate,STARLINK-5339 - X-Coordinate,STARLINK-3398 - X-Coordinate,STARLINK-4258 - X-Coordinate,STARLINK-1208 - X-Coordinate,STARLINK-4346 - X-Coordinate,STARLINK-4158 - X-Coordinate,STARLINK-1677 - X-Coordinate,STARLINK-4579 - X-Coordinate,STARLINK-5768 - X-Coordinate,STARLINK-31675 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1502 - Y-Coordinate,STARLINK-3507 - Y-Coordinate,STARLINK-5878 - Y-Coordinate,STARLINK-30376 - Y-Coordinate,STARLINK-30534 - Y-Coordinate,STARLINK-31962 - Y-Coordinate,STARLINK-5896 - Y-Coordinate,STARLINK-31787 - Y-Coordinate,STARLINK-31593 - Y-Coordinate,STARLINK-31822 - Y-Coordinate,STARLINK-4200 - Y-Coordinate,STARLINK-5861 - Y-Coordinate,STARLINK-5291 - Y-Coordinate,STARLINK-31391 - Y-Coordinate,STARLINK-30088 - Y-Coordinate,STARLINK-1418 - Y-Coordinate,STARLINK-30076 - Y-Coordinate,STARLINK-1246 - Y-Coordinate,STARLINK-6157 - Y-Coordinate,STARLINK-30844 - Y-Coordinate,STARLINK-5160 - Y-Coordinate,STARLINK-4489 - Y-Coordinate,STARLINK-1497 - Y-Coordinate,STARLINK-31181 - Y-Coordinate,STARLINK-5602 - Y-Coordinate,STARLINK-31684 - Y-Coordinate,STARLINK-31002 - Y-Coordinate,STARLINK-31219 - Y-Coordinate,STARLINK-5650 - Y-Coordinate,STARLINK-3558 - Y-Coordinate,STARLINK-31310 - Y-Coordinate,STARLINK-5795 - Y-Coordinate,STARLINK-5577 - Y-Coordinate,STARLINK-3394 - Y-Coordinate,STARLINK-3128 - Y-Coordinate,STARLINK-5897 - Y-Coordinate,STARLINK-30304 - Y-Coordinate,STARLINK-6190 - Y-Coordinate,STARLINK-2557 - Y-Coordinate,STARLINK-31604 - Y-Coordinate,STARLINK-3553 - Y-Coordinate,STARLINK-31522 - Y-Coordinate,STARLINK-31989 - Y-Coordinate,STARLINK-5072 - Y-Coordinate,STARLINK-1422 - Y-Coordinate,STARLINK-2257 - Y-Coordinate,STARLINK-30775 - Y-Coordinate,STARLINK-4403 - Y-Coordinate,STARLINK-32194 - Y-Coordinate,STARLINK-4257 - Y-Coordinate,STARLINK-5634 - Y-Coordinate,STARLINK-1489 - Y-Coordinate,STARLINK-31963 - Y-Coordinate,STARLINK-4360 - Y-Coordinate,STARLINK-5762 - Y-Coordinate,STARLINK-4429 - Y-Coordinate,STARLINK-30583 - Y-Coordinate,STARLINK-30126 - Y-Coordinate,STARLINK-1369 - Y-Coordinate,STARLINK-5630 - Y-Coordinate,STARLINK-3318 - Y-Coordinate,STARLINK-4371 - Y-Coordinate,STARLINK-3706 - Y-Coordinate,STARLINK-31554 - Y-Coordinate,STARLINK-1272 - Y-Coordinate,STARLINK-31572 - Y-Coordinate,STARLINK-5226 - Y-Coordinate,STARLINK-31995 - Y-Coordinate,STARLINK-5347 - Y-Coordinate,STARLINK-30982 - Y-Coordinate,STARLINK-4599 - Y-Coordinate,STARLINK-3614 - Y-Coordinate,STARLINK-6313 - Y-Coordinate,STARLINK-30792 - Y-Coordinate,STARLINK-31168 - Y-Coordinate,STARLINK-30395 - Y-Coordinate,STARLINK-4182 - Y-Coordinate,STARLINK-31156 - Y-Coordinate,STARLINK-6138 - Y-Coordinate,STARLINK-30112 - Y-Coordinate,STARLINK-1932 - Y-Coordinate,STARLINK-3984 - Y-Coordinate,STARLINK-30799 - Y-Coordinate,STARLINK-30712 - Y-Coordinate,STARLINK-3612 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-2327 - Y-Coordinate,STARLINK-30415 - Y-Coordinate,STARLINK-1399 - Y-Coordinate,STARLINK-31766 - Y-Coordinate,STARLINK-5339 - Y-Coordinate,STARLINK-3398 - Y-Coordinate,STARLINK-4258 - Y-Coordinate,STARLINK-1208 - Y-Coordinate,STARLINK-4346 - Y-Coordinate,STARLINK-4158 - Y-Coordinate,STARLINK-1677 - Y-Coordinate,STARLINK-4579 - Y-Coordinate,STARLINK-5768 - Y-Coordinate,STARLINK-31675 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1502 - Z-Coordinate,STARLINK-3507 - Z-Coordinate,STARLINK-5878 - Z-Coordinate,STARLINK-30376 - Z-Coordinate,STARLINK-30534 - Z-Coordinate,STARLINK-31962 - Z-Coordinate,STARLINK-5896 - Z-Coordinate,STARLINK-31787 - Z-Coordinate,STARLINK-31593 - Z-Coordinate,STARLINK-31822 - Z-Coordinate,STARLINK-4200 - Z-Coordinate,STARLINK-5861 - Z-Coordinate,STARLINK-5291 - Z-Coordinate,STARLINK-31391 - Z-Coordinate,STARLINK-30088 - Z-Coordinate,STARLINK-1418 - Z-Coordinate,STARLINK-30076 - Z-Coordinate,STARLINK-1246 - Z-Coordinate,STARLINK-6157 - Z-Coordinate,STARLINK-30844 - Z-Coordinate,STARLINK-5160 - Z-Coordinate,STARLINK-4489 - Z-Coordinate,STARLINK-1497 - Z-Coordinate,STARLINK-31181 - Z-Coordinate,STARLINK-5602 - Z-Coordinate,STARLINK-31684 - Z-Coordinate,STARLINK-31002 - Z-Coordinate,STARLINK-31219 - Z-Coordinate,STARLINK-5650 - Z-Coordinate,STARLINK-3558 - Z-Coordinate,STARLINK-31310 - Z-Coordinate,STARLINK-5795 - Z-Coordinate,STARLINK-5577 - Z-Coordinate,STARLINK-3394 - Z-Coordinate,STARLINK-3128 - Z-Coordinate,STARLINK-5897 - Z-Coordinate,STARLINK-30304 - Z-Coordinate,STARLINK-6190 - Z-Coordinate,STARLINK-2557 - Z-Coordinate,STARLINK-31604 - Z-Coordinate,STARLINK-3553 - Z-Coordinate,STARLINK-31522 - Z-Coordinate,STARLINK-31989 - Z-Coordinate,STARLINK-5072 - Z-Coordinate,STARLINK-1422 - Z-Coordinate,STARLINK-2257 - Z-Coordinate,STARLINK-30775 - Z-Coordinate,STARLINK-4403 - Z-Coordinate,STARLINK-32194 - Z-Coordinate,STARLINK-4257 - Z-Coordinate,STARLINK-5634 - Z-Coordinate,STARLINK-1489 - Z-Coordinate,STARLINK-31963 - Z-Coordinate,STARLINK-4360 - Z-Coordinate,STARLINK-5762 - Z-Coordinate,STARLINK-4429 - Z-Coordinate,STARLINK-30583 - Z-Coordinate,STARLINK-30126 - Z-Coordinate,STARLINK-1369 - Z-Coordinate,STARLINK-5630 - Z-Coordinate,STARLINK-3318 - Z-Coordinate,STARLINK-4371 - Z-Coordinate,STARLINK-3706 - Z-Coordinate,STARLINK-31554 - Z-Coordinate,STARLINK-1272 - Z-Coordinate,STARLINK-31572 - Z-Coordinate,STARLINK-5226 - Z-Coordinate,STARLINK-31995 - Z-Coordinate,STARLINK-5347 - Z-Coordinate,STARLINK-30982 - Z-Coordinate,STARLINK-4599 - Z-Coordinate,STARLINK-3614 - Z-Coordinate,STARLINK-6313 - Z-Coordinate,STARLINK-30792 - Z-Coordinate,STARLINK-31168 - Z-Coordinate,STARLINK-30395 - Z-Coordinate,STARLINK-4182 - Z-Coordinate,STARLINK-31156 - Z-Coordinate,STARLINK-6138 - Z-Coordinate,STARLINK-30112 - Z-Coordinate,STARLINK-1932 - Z-Coordinate,STARLINK-3984 - Z-Coordinate,STARLINK-30799 - Z-Coordinate,STARLINK-30712 - Z-Coordinate,STARLINK-3612 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-2327 - Z-Coordinate,STARLINK-30415 - Z-Coordinate,STARLINK-1399 - Z-Coordinate,STARLINK-31766 - Z-Coordinate,STARLINK-5339 - Z-Coordinate,STARLINK-3398 - Z-Coordinate,STARLINK-4258 - Z-Coordinate,STARLINK-1208 - Z-Coordinate,STARLINK-4346 - Z-Coordinate,STARLINK-4158 - Z-Coordinate,STARLINK-1677 - Z-Coordinate,STARLINK-4579 - Z-Coordinate,STARLINK-5768 - Z-Coordinate,STARLINK-31675 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,385.9484,-4969.0186,-921.3716,-235.7518,1165.9442,-6438.8457,-2844.1347,-6523.3636,-4264.8665,-2973.6867,562.3676,-1937.8718,1448.2907,5365.1938,6610.3254,-2040.4932,2138.6120,6843.6940,5236.7511,-3193.5791,1042.5525,1856.1026,4338.8777,5395.4135,-413.0237,5638.8180,-6095.2635,949.9273,3629.8354,-6151.3764,-198.4052,-4380.0550,-3572.8070,5944.0385,2395.5496,-2046.8057,2385.3414,-4368.9632,-958.3936,5879.3755,-4572.6230,-4069.1739,2989.1611,2059.2461,1237.1085,-3400.7173,-2860.1458,-5611.1535,-5725.9884,-5280.1757,-3672.8358,0.0000,0.0000,2381.7522,242.1951,-49.8155,-5498.7106,6044.7699,-5045.5828,-3288.2892,1575.9016,6173.7218,-5091.3667,-4653.1555,-508.9135,-1501.2349,-4564.6503,-5962.1972,-1591.8895,2948.8365,-2214.1082,3623.6194,5586.7730,-250.5771,4638.9472,4469.4181,-2229.3193,1436.0487,-5324.5048,-690.4286,-4749.8256,-3450.2174,5517.2097,4115.0930,4763.6528,-436.5633,-3167.0766,5277.4431,-571.8421,4058.2557,-543.4826,-2295.4053,6822.6599,1200.7278,1275.8720,3583.4022,5867.8384,2637.2480,-3134.6991,-3450.1614,42520.7345,37056.1001,47935.9208,42550.4998,35197.3710,39121.8309,44910.3404,42233.0681,-7644934.8000,-7632214.9149,-7645971.9956,-7646619.7663,43182.2911,-7640001.8731,4402.9701,-3382.1297,-2688.2526,-5084.8039,6013.1058,-2039.7531,1044.7901,-146.2249,4924.6377,-4873.9178,6554.5558,-5096.0683,-3745.0988,4068.8365,-696.9366,-5600.9064,-4693.7442,-635.5554,3639.7715,4225.6826,-5572.4415,4943.4696,-4815.5192,715.0082,3666.7365,-980.0115,-1479.5951,5921.5874,-5495.9254,2758.7814,5065.0598,2663.8797,-5589.2764,2164.2045,-4173.9999,1908.3092,-6067.4139,1063.3395,-4000.6383,1039.8308,4770.1235,174.3633,-5582.5712,-2370.0728,5393.2521,5465.0638,4224.4678,3082.0635,3165.3741,4080.8748,-2106.4369,0.0000,0.0000,6390.4555,-5107.5473,-6669.6196,2804.9337,-706.9452,1967.7711,5162.1374,6505.0738,-3158.9171,-1594.8067,-1909.1950,-5464.4280,-6557.4392,-4537.4792,2097.4074,-6733.6227,5300.8614,4448.1328,2595.7913,3787.1124,5249.4211,-3038.8561,-4814.4792,4730.2518,-4996.8790,-474.5782,-5467.6435,-3944.7594,-2323.1851,-3259.3043,2337.8517,-1337.0077,5252.6980,2948.9513,1491.6166,4172.3810,-3546.8828,5064.6049,-6166.5980,-1485.8184,6056.5170,-574.8765,2512.5213,2391.9956,-1503.1636,6156.7666,-4663.3752,-339582.5654,-371857.0120,-350179.8617,-349033.3315,-354050.6602,-354324.7547,-356766.0582,-353472.3790,-93450023.4125,-93502757.9399,-93464451.8349,-93475524.2135,-353165.1599,-93469291.7999,-5315.5525,-3239.0803,-6370.4219,4675.4057,3222.7382,-738.9889,6247.9659,1936.7549,-2092.0274,-3771.7762,-2001.7045,4202.1894,-5627.7602,-277.9000,-1739.5948,3406.2492,4629.5667,-751.6795,-2686.1417,-4268.4335,-3945.2430,4406.8750,2268.8168,4185.8857,5887.5752,-3635.0547,-2996.2879,3142.5909,1991.3009,-1498.8043,4635.0300,-4776.5023,2087.7303,2628.2607,4957.4637,6352.0943,1358.6626,-5297.4574,5361.0525,-3236.7987,-1808.9808,5386.1983,2629.7749,-6194.9707,-3853.0003,-2322.0104,-4692.4344,-2675.2978,-1624.7047,-961.5462,-5489.8701,0.0000,0.0000,-1027.3234,-4667.8894,1889.1044,-3132.2013,-3273.1374,4095.0449,-3238.6344,1633.5742,311.7889,-4379.9609,-4557.1772,3612.9637,-352.4494,2492.2699,2441.1685,406.9406,-3380.6156,4839.5860,-5221.8396,-1479.6451,-4520.0319,3975.6733,-2214.4406,-4491.7926,4547.1108,4388.9363,-4079.5336,-2394.2558,5505.3957,2661.2400,4956.7820,-4787.8187,3993.2107,5051.9375,-4227.5201,5453.8229,-4171.2126,-4674.5161,540.0324,-58.8010,-2755.4763,6762.1026,5327.8605,-2533.4316,-6209.2678,418.4556,-3532.0790,-101486.6761,-108015.6491,-102233.0174,-105337.8852,-99400.8878,-104838.0121,-113499.6067,-103194.8839,-27969593.3713,-27948921.5067,-27947154.2269,-27958698.1026,-104727.0256,-27964926.8895,
3600.000,-3913.8517,3995.5226,4336.4189,4010.7660,-3904.5280,5920.0542,-911.1128,5969.4574,2024.9632,5848.4638,-2600.9465,2285.3584,2702.8810,-5448.3200,-5773.8760,3749.0271,1038.3872,-4743.9407,-6635.5957,-1459.6440,798.2581,-4497.4787,-2926.8884,-4036.5337,-785.9268,-2368.0328,4711.5504,-4265.7670,27.7241,4896.7759,-4016.2632,2236.6284,2677.8668,-4051.1486,2005.5314,-2284.9100,1955.1841,6416.6001,5311.8727,-3120.4336,1052.4069,3086.4787,-1431.1023,-2135.9463,-3860.9343,1710.7301,-273.7463,2714.6931,3794.8756,1650.2648,1754.7484,0.0000,0.0000,314.0221,3503.6469,-1503.0279,4581.9892,-6037.0717,4978.5977,3403.6485,-3053.4578,-4701.2651,6878.6334,5188.1597,3375.5572,3918.5992,4307.0891,5005.2109,3495.3317,-5359.9469,508.9582,-6520.8281,-6336.0967,-3716.8457,-3140.7568,-2694.0125,522.0038,2736.7092,6076.5038,4390.8428,5683.4648,5946.7309,-2189.5305,-4054.1814,-5225.1985,-2482.2487,954.5930,-6629.4640,-3192.5532,693.6428,-3259.8444,3752.1344,-5184.3137,-3254.2734,-5129.6649,-6404.4157,-4049.0838,1774.0892,637.3925,6126.2870,124203.8947,127950.9863,135373.6634,131866.4105,121540.4701,129583.5434,131015.3593,130852.5249,16875746.2769,16898802.9151,16874273.1517,16879574.8158,129768.1185,16881839.8822,-5102.3045,-878.5571,4161.3907,4897.5253,-3233.2237,-929.6696,-3774.1594,-2488.0744,-6249.3979,3531.5283,-3705.9977,602.5212,1311.4098,-420.4374,3040.6866,1762.2947,6360.8214,2249.8205,-1697.1801,-5269.0738,6856.8034,-5187.2845,5788.5471,3487.2419,-6543.0452,4521.8084,-1949.8518,-2586.2166,5211.3190,-3921.3987,-4297.2585,-5594.5323,2660.1505,1296.1456,4101.5907,-3501.2519,4578.2247,-2442.9130,3263.5622,2609.7327,-4418.1212,-4905.2857,6421.8124,5930.9439,-5445.5658,-6196.3041,-6308.5463,65.9394,-4467.5815,-4306.3028,-2166.4862,0.0000,0.0000,-3908.1009,5319.7086,3051.0555,-5169.7527,3347.0710,-4613.1540,-5730.7337,-3624.6013,334.5263,-281.3792,-2784.1675,5338.5792,3758.3698,954.0561,-3866.8210,4734.1019,-4413.4141,-6763.1457,-398.1582,-1557.9176,-4136.4327,6031.3814,6215.3247,-6842.6832,4923.9091,-2793.0631,2913.6988,1545.6609,-784.8534,4663.9111,2349.9881,4332.2531,-6019.5147,-6491.1904,1423.7229,-5245.9588,4169.8528,-5438.1029,2308.6077,2604.7484,-5503.7584,-2502.8079,-233.9530,1228.7193,-2044.3918,-6148.5343,2911.6217,-317141.9110,-350565.4696,-329374.5004,-330673.0168,-332408.7804,-329869.1579,-334816.8395,-330570.2538,-92194078.0664,-92246364.2556,-92215403.0451,-92225696.8427,-330912.3051,-92213508.6165,2515.6638,5452.9402,3522.8432,-2795.9415,-4724.0931,-3206.4897,-5771.3467,2122.6153,-1899.9426,264.4253,5162.2768,-6471.5981,6214.6366,3934.3557,-2151.6755,-5486.9458,-2570.9849,4485.9464,-982.6392,4032.2203,-175.1207,-490.2628,2253.2547,-4336.3057,-2239.3882,4448.4535,4708.9532,-4589.4440,-4502.1822,-2893.8089,-3566.8640,3558.1856,-5844.5341,-5378.4864,-5199.2324,-5556.6132,-4431.1696,1019.3565,-2635.1503,5424.7914,5116.3106,-3487.1336,1929.1599,2892.6956,-934.8709,-2345.7484,2842.5941,6370.5521,-3332.9284,4907.0625,6335.4786,0.0000,0.0000,5661.1827,2696.8576,-6048.3631,-416.3392,-264.8333,324.2792,-1857.8595,-5008.9862,-5103.7633,470.2494,3359.5692,1820.5305,3977.0583,-5317.7599,2426.4576,-3671.3323,1.5857,-1480.7654,2093.4472,-2276.5989,4123.0439,-634.1668,-1473.5368,621.4330,-4012.9669,-1792.4946,4372.2396,-3028.1231,-3430.1506,-4659.1306,-5013.7560,1132.4253,1178.0108,-1149.2147,1382.3632,-3150.8701,5331.4987,2739.1328,-4923.1058,3874.5042,-2197.9869,-3902.7620,-2566.5669,5340.8614,6348.4776,3104.3938,-283.5577,-102274.8457,-109135.2359,-103569.6696,-106814.2988,-100392.7226,-103336.2821,-114487.2870,-106903.4958,-27955093.7584,-27939551.5788,-27934124.7635,-27950782.8982,-105555.1421,-27953449.9012,
7200.000,5205.2413,-2577.1925,-5030.1879,-5944.9265,6082.2018,-2681.4117,2838.8157,-2349.7001,1578.8917,-5889.6933,4877.6633,-3629.9258,-6263.8572,3272.8135,2314.3291,-5221.1969,-3307.9968,872.0689,5511.3340,4911.8757,-2303.5861,4891.4956,-475.5761,2031.7179,862.0586,-1219.3659,-2658.7715,6243.6217,-4123.0029,-1135.3460,6367.2819,-242.5859,-2415.4021,1459.6720,-5373.9631,4565.2754,-5817.0183,-5342.2342,-6215.2058,-74.0912,3555.9516,-1353.3100,-1426.6774,2123.3936,4250.7719,1501.6748,2651.6198,2748.9559,1059.6125,3524.1541,-1055.1027,0.0000,0.0000,-648.5521,-5512.9509,-151.7439,-1808.3018,3569.6480,-1949.0319,-1185.3926,4605.2490,-390.4361,-5501.0829,-3829.7779,-3976.0309,-5193.4543,-3668.2874,-744.9249,-4992.5350,5762.8727,993.1537,6262.3026,4869.1948,6339.3918,255.5671,-392.4661,1213.8256,-5628.4509,-4756.3610,-6668.6870,-2719.1167,-6313.4220,-1722.8984,3523.6849,3447.1308,3818.2776,1581.5073,5547.9276,4933.0003,-4760.8358,5363.3062,-3913.3395,1631.8768,3984.5972,4536.0224,6494.2055,1465.5890,-6098.3073,2757.2339,-5564.0573,197635.3991,210583.5978,214055.3613,209757.2210,199846.2790,211251.3266,208973.6586,206806.3207,40220974.4010,40254274.1237,40222575.4391,40232532.2557,207987.3696,40228194.6945,4142.1123,5178.2054,-4661.8156,-3436.9721,-43.2483,4212.4480,6042.1354,4478.0973,4904.1306,-597.4364,-295.8979,3788.4720,-209.9839,-4158.3711,-4592.3341,2336.9851,-6008.0426,-4205.5622,-1126.1214,4656.0167,-4999.3917,3035.9553,-4401.7392,-6387.9673,6342.5605,-6460.3661,5272.5490,-1317.1245,-3796.9357,4121.5670,2587.5645,6976.7423,1957.4075,-5115.2493,-3770.9130,5015.3990,-949.1577,2236.5342,-1375.9187,-5926.6068,3356.0013,6485.6980,-4290.3530,-6267.6827,1833.1941,4057.2167,6356.8262,-944.3608,3911.6810,3404.3289,5963.0276,0.0000,0.0000,-1725.6406,-4073.8951,2211.3826,5563.8814,-4673.7313,4695.8817,3616.1468,-631.7708,906.5631,1858.3969,5573.1818,-337.7813,1166.3737,3433.2246,4104.3453,-1028.1817,1906.2140,6284.7609,-1320.1020,-1763.0939,2517.6887,-6032.3635,-5458.2557,5721.9774,-3903.5428,4645.8215,-82.6847,2961.3962,2674.2797,-5493.8690,-5674.9758,-4981.1834,1755.4107,5157.2059,-3432.0359,4669.0157,-4217.4550,4256.9273,3517.2550,-3860.9055,1335.2395,5021.8717,-1412.9538,-5197.6918,2059.8651,4254.6619,442.6093,-275744.6916,-307321.5768,-287691.0875,-291578.0004,-289968.4138,-285123.6469,-292229.6226,-288365.5904,-84618285.2168,-84666693.1976,-84645898.3208,-84649999.1267,-287816.9509,-84637338.8788,1853.7281,-3627.2051,1252.8420,-850.2733,3304.6591,4596.8640,1927.6878,-4564.6388,4488.8744,3413.9706,-4839.0119,4449.6250,-2923.9341,-4178.0605,4544.4729,3796.1542,-1053.9820,-5422.6671,4017.1848,-657.6698,4158.0551,-3779.1356,-5258.9904,1503.1260,-2727.0164,-1651.5468,-3664.9631,2267.8682,3986.1605,5413.5547,55.2076,-484.0051,6211.3771,4313.0125,2170.7976,1501.2253,3094.6387,3825.5445,-2298.9202,-3314.3917,-4800.2046,-1354.2130,-5163.6501,2092.7283,4887.8205,5288.4177,731.3104,-6303.5660,5375.8400,-4634.6160,-3380.2294,0.0000,0.0000,-6645.1842,935.4545,6562.2926,3685.4926,3614.0433,-4514.7020,5772.0399,5079.2763,6863.7212,3717.9627,529.8533,-5231.3621,-4133.4672,4728.9557,-5347.8227,4689.0068,3358.5051,-2783.4598,2466.2062,4562.9186,-1217.4194,-3196.6009,4243.3147,3632.7183,930.9673,-1934.8113,-1584.9015,5249.2020,-851.9003,3870.3878,1552.2833,3256.0797,-5117.8629,-3911.1652,2302.4158,-1219.4999,-2444.7004,918.4862,3979.3919,-5586.8287,5283.1703,-1426.5850,-1871.6904,-4175.3580,-2509.7992,-4717.3239,3854.7106,-103111.8864,-110215.8015,-105427.6112,-105128.5609,-101720.8896,-107330.4737,-114863.5410,-105096.6932,-27940491.6119,-27930311.3277,-27922283.3461,-27943657.4259,-106372.4462,-27941976.8390,
