sl_20_86400_20311125 Coordinates.csv
2031/11/25 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:55 2024,
Start: 2031/11/25 07:47:00.00, Stop: 2031/11/26 07:47:00.00,
TIME_UNITS,STARLINK-4296 - X-Coordinate,STARLINK-31654 - X-Coordinate,STARLINK-3639 - X-Coordinate,STARLINK-5640 - X-Coordinate,STARLINK-4110 - X-Coordinate,STARLINK-4007 - X-Coordinate,STARLINK-4603 - X-Coordinate,STARLINK-4293 - X-Coordinate,STARLINK-31203 - X-Coordinate,STARLINK-3143 - X-Coordinate,STARLINK-11134 [DTC] - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-3312 - X-Coordinate,STARLINK-4216 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-5594 - X-Coordinate,STARLINK-32090 - X-Coordinate,STARLINK-5709 - X-Coordinate,STARLINK-5795 - X-Coordinate,STARLINK-11255 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4296 - Y-Coordinate,STARLINK-31654 - Y-Coordinate,STARLINK-3639 - Y-Coordinate,STARLINK-5640 - Y-Coordinate,STARLINK-4110 - Y-Coordinate,STARLINK-4007 - Y-Coordinate,STARLINK-4603 - Y-Coordinate,STARLINK-4293 - Y-Coordinate,STARLINK-31203 - Y-Coordinate,STARLINK-3143 - Y-Coordinate,STARLINK-11134 [DTC] - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-3312 - Y-Coordinate,STARLINK-4216 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-5594 - Y-Coordinate,STARLINK-32090 - Y-Coordinate,STARLINK-5709 - Y-Coordinate,STARLINK-5795 - Y-Coordinate,STARLINK-11255 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4296 - Z-Coordinate,STARLINK-31654 - Z-Coordinate,STARLINK-3639 - Z-Coordinate,STARLINK-5640 - Z-Coordinate,STARLINK-4110 - Z-Coordinate,STARLINK-4007 - Z-Coordinate,STARLINK-4603 - Z-Coordinate,STARLINK-4293 - Z-Coordinate,STARLINK-31203 - Z-Coordinate,STARLINK-3143 - Z-Coordinate,STARLINK-11134 [DTC] - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-3312 - Z-Coordinate,STARLINK-4216 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-5594 - Z-Coordinate,STARLINK-32090 - Z-Coordinate,STARLINK-5709 - Z-Coordinate,STARLINK-5795 - Z-Coordinate,STARLINK-11255 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3985.9998,-4393.7025,-2456.8400,-5328.3250,2833.2911,-820.8626,1983.4424,3397.2680,1469.0871,3170.6007,-391.4423,2236.1291,-775.9520,-116.2940,4787.5497,474.4809,711.6292,4133.5759,-5977.7825,-559.8765,362040.6076,355479.9972,359395.7823,364572.4290,367047.8536,363718.4304,357986.7668,361021.4337,126954332.9652,126916020.4454,126952112.7649,126945907.2090,361986.4366,126952262.1867,-2743.9194,-3117.7680,-4519.6057,4440.9907,3139.4235,4840.4686,3791.1717,-2296.2833,-6414.0837,-3463.0942,-6048.5616,4096.3880,6851.3749,-5544.7652,-3980.3136,-3151.7482,-5819.7215,-4647.0596,-3073.8898,4533.1149,-110823.6642,-88171.8716,-111460.4167,-108791.3309,-99824.4747,-103220.0829,-104930.1044,-107618.5055,177502996.3561,177544018.0341,177535311.0371,177533049.8733,-106406.5806,177521520.7797,4815.5372,4140.8781,-4585.1771,-161.9026,-5432.7715,-4829.4721,5413.4072,5480.4891,-1488.9580,4986.8680,2954.3888,-4963.9333,-321.1168,4036.7821,-3060.0034,6176.6157,-3486.5128,2945.9305,1936.9062,4869.0021,68712.0660,62465.4091,69547.3887,66085.4192,72251.0479,67899.5377,58477.6974,66234.2108,-82869582.6151,-82871009.0528,-82858593.5089,-82877521.0474,67207.2329,-82877945.5200,
3600.000,-3307.3074,6733.4642,4316.0372,3792.3224,-5332.5590,-3352.9215,-5608.8971,-875.7496,1529.6169,1418.6912,3293.6164,-5673.2149,-1155.1588,2343.7029,-3421.7340,3572.5185,3356.2279,-123.6140,6703.1237,-2949.2317,381829.1699,366824.4703,373005.3728,374723.9291,381724.8282,377655.9842,373015.6279,377831.5125,76668569.1056,76624482.8160,76659408.9723,76656819.0173,377035.4697,76666557.2528,5885.2152,373.7203,428.1964,-3611.3766,557.4915,-3007.5288,-2808.9239,5816.9585,5972.8562,4498.0410,2363.6952,-3540.3558,-5298.6711,6449.2344,6016.5320,909.7827,3772.9746,5043.5407,1233.2420,-5958.9993,-17666.9427,3749.7464,-16714.3160,-13406.1988,-5121.3773,-14168.3804,-10355.6921,-10915.3482,204365646.3685,204396292.7282,204398571.6969,204388759.7230,-12336.5622,204383135.0571,-1062.5591,-883.5978,5341.3686,-4550.0741,4304.8293,5196.4425,-2894.8953,-3519.8397,-2741.2440,-4980.3136,-5400.8570,1276.5379,4259.7826,161.3052,-458.3773,-5907.0584,4574.9639,-4691.4215,1540.0738,-685.5721,70651.8821,63401.9642,69860.9317,67657.5169,73059.6915,70128.0772,59603.5893,69008.1235,-82849770.7365,-82855653.3527,-82842259.3198,-82864026.4770,68336.9017,-82860137.9344,
7200.000,1159.4496,-5596.9538,-5606.1564,367.3579,6194.7170,6419.6962,6595.8454,-1043.7411,-4396.9246,-4744.8361,-5647.5208,5745.9811,3776.4163,-3470.7616,686.4594,-6583.8361,-6371.9308,-3993.1606,-5419.7804,4135.7285,376886.3171,354856.1768,362975.7615,363975.9934,372092.8574,367700.5502,363745.8840,367498.2211,21130240.9042,21083597.7061,21114398.2877,21121878.0828,368040.5492,21128774.8380,-5760.0658,2335.8367,3056.9906,2342.5184,-2979.7803,1302.6364,1415.5092,-6706.3179,-2233.9803,-4728.5695,1826.2479,1402.3371,1846.1244,-4107.3954,-5831.8544,-97.2732,-996.7960,-4530.7870,1375.3220,3188.5649,79147.1993,95631.6470,79023.6287,84322.4123,90070.9669,77988.9028,84893.4673,80809.2353,217292473.0552,217311420.1607,217322922.5762,217307320.8531,82485.9000,217309156.5543,-3494.8045,-3081.5789,-2585.6071,6508.8098,-314.7899,-2119.2379,-1490.6871,-955.8052,4591.6042,1455.0313,3201.5218,3367.5151,-5478.1448,-4271.9826,3680.2975,2237.8590,-2223.1392,3298.4163,-4213.2658,-4177.5323,72210.6653,64373.4960,69759.8195,71379.6641,73543.5146,67660.7490,61312.5828,68983.5144,-82830596.4651,-82840292.6781,-82826552.6782,-82849112.9156,69460.3514,-82842296.5539,
10800.000,2488.4017,1714.9589,4807.1334,-4746.3250,-4109.5750,-6444.1086,-4745.7873,2709.8418,5891.0938,5370.0435,5149.1664,-3302.3909,-5972.0844,4202.4206,2940.2253,6421.4385,6353.0227,6206.6441,2994.8674,-3757.1156,346940.9955,320338.2334,329962.3989,330996.2776,338886.6288,335023.3319,330865.9388,335835.0895,-35872867.2109,-35918645.5894,-35893877.6099,-35871487.9448,335584.9215,-35873478.9995,3244.7855,-4676.2013,-4552.9768,-2110.5255,3900.4220,385.2339,1027.4597,4141.9421,-2135.7388,2947.2268,-4005.7957,2406.9612,1403.9593,-369.8566,4176.4616,17.0410,-1683.8032,2968.1977,-4324.2051,2279.8447,172441.8409,181678.2868,169754.5603,175599.5416,179553.3726,167151.1547,174643.3029,173760.1484,215395527.8893,215402532.5680,215420875.0859,215406980.8292,172014.1151,215411847.3366,5465.1448,4621.0665,-1905.7379,-4602.8958,-3910.3777,-2395.7208,4903.1038,4729.2708,-2502.0808,3070.7052,1712.5247,-5451.7024,3154.7738,5405.7344,-4696.6961,2676.8069,-1822.3780,274.5100,4599.3930,5025.1142,73572.8242,65383.7614,69572.1351,74186.8260,73719.6050,65784.3130,63618.0919,70697.3115,-82812146.1193,-82824910.3490,-82811347.6685,-82830140.4176,70577.4857,-82824421.3759,
14400.000,-5885.4796,2479.9331,-1430.4172,6513.9379,-209.1931,3542.8146,1655.4933,-4487.1471,-4451.2375,-4039.0619,-1093.6598,459.9046,5999.4706,-4536.4879,-5982.3971,-3209.4192,-3201.2502,-5820.8292,-552.2960,2485.7500,293699.7387,265446.3372,276005.9487,276590.2667,284383.2338,281035.1112,276687.0318,281877.3361,-90451407.8924,-90493059.9709,-90475154.0495,-90443638.0089,281747.7612,-90451116.1246,-433.1977,5792.7511,4378.2419,2375.3037,-4125.3440,-2599.8986,-4222.6224,213.5514,4754.2312,967.9052,4183.9935,-5910.4554,-3198.6285,4312.9360,-2016.9054,999.7436,4018.7334,-53.2995,6494.9274,-6107.6273,255587.4775,256476.1980,249769.7021,255124.4802,257458.0799,245940.1240,253108.9541,248729.6543,198798120.7515,198793981.4308,198816645.5977,198815387.5651,250541.7486,198814612.0071,-3449.8136,-2563.4221,5111.3828,-85.0407,5494.3086,5288.9818,-5212.9743,-5179.4409,-1761.3696,-5459.1219,-5186.8722,3341.8759,1177.0261,-2822.2844,2863.8965,-6096.3732,4476.3819,-3683.7333,-2533.9038,-1096.1504,74808.7661,66437.5371,69647.4709,76259.4890,73598.0297,64846.0625,66566.9546,71760.9734,-82794456.9457,-82809491.5745,-82796529.1205,-82805526.1337,71688.2087,-82806512.3981,
18000.000,6552.4720,-4924.6007,-3061.3595,-4909.7025,4340.2348,269.3567,936.9187,5426.5098,160.5929,2238.7660,-4006.2321,1587.9939,-3131.6934,3388.8750,6898.6107,-729.8423,-1157.7615,3621.7682,-1532.1338,227.4604,220547.7541,193626.7578,204446.3221,204108.1720,212258.1724,208960.0505,205085.5324,209571.3643,-138879878.6635,-138914608.1396,-138903474.2698,-138876817.2457,209970.8005,-138878906.1817,-1589.0185,-4440.1985,-3679.5468,-1397.5667,4104.6827,5047.8869,6482.7659,-3701.3630,-5023.1016,-5096.4247,-3432.4183,6490.5677,3883.1493,-5713.2754,-156.4021,-3416.6102,-5570.6525,-3583.1919,-6767.2994,5423.9329,322739.7209,315331.6189,313967.8972,318101.6750,318541.4854,308832.1067,315298.4343,314739.8733,168626838.1257,168613239.7118,168637988.5963,168650009.2771,313066.6196,168643991.0786,-1119.9126,-1515.2515,-4956.6494,4689.3900,-3420.3103,-4676.2206,2185.6765,1945.5347,4489.0335,3994.4775,4197.7598,1308.4745,-4774.4480,-1738.3516,680.3111,6007.5256,-3764.5513,4622.4232,-924.3929,-3905.1356,75953.6068,67541.0158,70263.2131,77805.4932,73206.7235,64674.5236,70236.8379,72345.9216,-82777514.7069,-82794022.9936,-82781988.2346,-82781434.3708,72792.4254,-82788569.6179,
21600.000,-3678.2796,5154.4447,6124.3243,1705.8509,-6061.9417,-2967.2494,-2462.1609,-4054.3661,4566.1610,-582.3013,6445.5957,-3196.2439,-1310.0305,-153.8873,-5230.6774,3003.2797,4373.1750,-951.2669,3305.4516,-3966.7503,132277.2710,109375.6134,119773.8676,118234.1889,127211.7538,123378.4731,121644.9609,125578.6178,-177850960.6238,-177876649.6565,-177871572.7449,-177855693.1810,124838.1123,-177849743.9825,3100.6583,556.9641,2767.4148,-1663.1634,-3111.8189,-6141.2768,-6058.9477,4847.0177,3655.3749,6825.9442,1960.8856,-3379.5736,-4235.9707,4613.1120,2469.4218,5754.5815,5227.9769,6347.5746,4793.9079,-1515.6246,369181.7872,354561.9715,358179.8877,360642.7418,358204.5409,351603.1647,357327.4870,354078.4551,126935069.6952,126914352.3237,126939522.0885,126957453.4639,355609.3743,126953199.6176,4843.2459,4391.9967,1503.0329,-6517.5019,-967.9388,924.9811,2212.3071,2641.2086,-3364.9735,256.5595,358.3701,-4977.7790,5280.2143,5071.3694,-3832.8521,-2517.8143,197.1372,-2499.4179,3857.6094,5150.6817,77027.7360,68702.4276,71550.1775,78933.5459,72767.7501,65160.5934,74583.2048,74504.0250,-82761254.6031,-82778492.3098,-82767617.9192,-82761502.5599,73890.0417,-82770593.0328,
25200.000,-917.4694,-3912.4566,-6149.2389,619.0811,5018.4315,3975.3235,3562.8850,143.9797,-6617.0827,-1474.3541,-4827.2069,4616.5961,4863.7678,-4039.8665,1922.9736,-3097.9142,-5358.9115,-1506.2130,-4944.4077,6147.6440,34743.7615,17953.5435,27389.1244,24547.7199,32861.9515,29819.2865,33613.5391,30948.4325,-204701414.2730,-204716734.8568,-204716744.3182,-204710694.2522,31783.1535,-204700489.3203,-4531.6773,4019.1063,-1015.7817,5295.2717,385.5134,4451.8990,2790.2015,-4245.3988,-1123.5270,-5094.1271,903.1172,-1339.7267,4265.0403,-2580.1434,-4758.6423,-5731.4181,-2336.5531,-6591.8369,-1452.7309,-2155.3661,391627.4287,371723.6364,379479.2991,380125.2214,373158.8417,371438.0382,376094.8332,376724.9992,76563235.9421,76538132.5246,76562762.3430,76580244.8142,375466.7286,76582400.6059,-5036.0393,-3850.4343,2921.9977,4426.0194,4683.2664,3420.2974,-5222.2471,-5382.0892,-675.8463,-4350.4842,-4635.3119,4814.1472,-2409.9911,-4917.8649,4655.1822,-2446.0390,3504.5004,-1307.3834,-4735.9673,-1500.0144,78044.2117,69933.0673,73457.5260,79703.2738,74302.3528,66247.9153,76771.4485,74022.1341,-82745565.4688,-82762887.9911,-82753307.7458,-82744735.2956,74980.9642,-82752582.6404,
28800.000,4369.8729,1717.9302,3720.2044,-1201.9847,-2673.7001,-4125.3262,-4623.9334,4330.4171,4845.1158,4057.4147,1026.0941,-4903.6709,-5880.7146,6690.9339,1403.0467,2429.7841,4575.2504,3646.4709,6002.7880,-4134.6084,-65543.8307,-74946.1822,-66740.9005,-70860.7474,-65077.8262,-65647.4379,-58759.5544,-62240.6789,-217594095.3679,-217598528.0334,-217602773.3760,-217602955.2100,-63258.1950,-217593956.8025,5028.2883,-6573.3326,-2026.5106,-6826.9287,3512.5438,-321.5888,1529.0400,3109.4813,-2234.9375,1283.8605,-4492.3355,4624.0027,-2989.6409,731.9606,6241.1284,2590.6180,-2166.7044,4024.4324,-1894.1293,3820.6636,388437.1801,365762.9097,376433.9709,375402.9227,367310.7059,367077.7411,371062.3835,370375.2448,20945237.3873,20918619.9330,20942406.3190,20956196.0508,371383.1692,20965221.6645,1515.2899,283.4700,-5435.1020,286.7595,-5282.9701,-5505.0811,4889.4639,4296.5778,4116.7002,5366.3439,4919.0418,-982.7228,-2035.8536,1342.3770,-2683.8247,5975.0194,-4573.4429,4223.6957,3045.3666,-3609.1450,79011.9942,71249.1090,75766.3659,80147.6442,77985.1196,67917.7578,74264.5954,77149.2949,-82730296.9719,-82747199.0180,-82738938.1992,-82729915.9730,76065.1004,-82734538.4382,
