sl_20_86400_20310810 Coordinates.csv
2031/08/10 07:47:00.0000 UTC

Generated: Tue Oct  8 21:56:01 2024,
Start: 2031/08/10 07:47:00.00, Stop: 2031/08/11 07:47:00.00,
TIME_UNITS,STARLINK-2524 - X-Coordinate,STARLINK-30380 - X-Coordinate,STARLINK-5446 - X-Coordinate,STARLINK-2427 - X-Coordinate,STARLINK-4577 - X-Coordinate,STARLINK-2222 - X-Coordinate,STARLINK-2356 - X-Coordinate,STARLINK-1007 - X-Coordinate,STARLINK-1217 - X-Coordinate,STARLINK-11242 [DTC] - X-Coordinate,STARLINK-1503 - X-Coordinate,STARLINK-30489 - X-Coordinate,STARLINK-30905 - X-Coordinate,STARLINK-30370 - X-Coordinate,STARLINK-3366 - X-Coordinate,STARLINK-30548 - X-Coordinate,STARLINK-30307 - X-Coordinate,STARLINK-5078 - X-Coordinate,STARLINK-31477 - X-Coordinate,STARLINK-3838 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2524 - Y-Coordinate,STARLINK-30380 - Y-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-2427 - Y-Coordinate,STARLINK-4577 - Y-Coordinate,STARLINK-2222 - Y-Coordinate,STARLINK-2356 - Y-Coordinate,STARLINK-1007 - Y-Coordinate,STARLINK-1217 - Y-Coordinate,STARLINK-11242 [DTC] - Y-Coordinate,STARLINK-1503 - Y-Coordinate,STARLINK-30489 - Y-Coordinate,STARLINK-30905 - Y-Coordinate,STARLINK-30370 - Y-Coordinate,STARLINK-3366 - Y-Coordinate,STARLINK-30548 - Y-Coordinate,STARLINK-30307 - Y-Coordinate,STARLINK-5078 - Y-Coordinate,STARLINK-31477 - Y-Coordinate,STARLINK-3838 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2524 - Z-Coordinate,STARLINK-30380 - Z-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-2427 - Z-Coordinate,STARLINK-4577 - Z-Coordinate,STARLINK-2222 - Z-Coordinate,STARLINK-2356 - Z-Coordinate,STARLINK-1007 - Z-Coordinate,STARLINK-1217 - Z-Coordinate,STARLINK-11242 [DTC] - Z-Coordinate,STARLINK-1503 - Z-Coordinate,STARLINK-30489 - Z-Coordinate,STARLINK-30905 - Z-Coordinate,STARLINK-30370 - Z-Coordinate,STARLINK-3366 - Z-Coordinate,STARLINK-30548 - Z-Coordinate,STARLINK-30307 - Z-Coordinate,STARLINK-5078 - Z-Coordinate,STARLINK-31477 - Z-Coordinate,STARLINK-3838 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4832.0486,4984.5486,-1686.4031,980.4508,421.0432,-5049.4674,6052.0564,0.0000,-3883.5399,0.0000,-6378.9601,-1450.1317,2020.7504,5564.9801,-5823.8059,-6370.2303,-6790.9418,-2484.6225,4801.5690,6858.9474,-346136.6233,-333259.2699,-339411.3951,-337902.9223,-329858.9952,-331940.9344,-332466.6537,-334061.6553,120011570.2236,120029070.4893,119999390.1435,120016164.3880,-334806.3804,120013239.2241,3176.7786,1090.5702,4571.2110,4309.1947,4153.9334,1780.0867,2762.4240,0.0000,4548.9189,0.0000,-1919.4299,-5179.7771,6342.3349,1420.8487,-3477.4907,370.0006,502.0857,-5175.4132,1769.0069,-485.2901,-180583.5919,-164122.0819,-166084.9264,-171600.7349,-175851.9387,-172022.5752,-165936.6273,-170466.5849,59937771.2904,59973094.0718,59949503.3376,59961621.4836,-169337.8916,59954960.1199,3704.2912,4656.3474,-4760.9439,-5285.5076,-5286.1687,-4317.7591,222.3337,0.0000,3346.7999,0.0000,1737.4546,4331.9335,-1910.8837,-3771.5376,845.8072,-2572.7562,-1095.2186,-3893.6027,-4515.8936,-585.5165,127198.9602,125363.3050,126450.7577,123111.5057,129193.4824,124335.7739,115255.4218,125170.5592,-49275488.3741,-49243449.9217,-49262287.8767,-49272320.9479,124013.3133,-49264573.2859,
3600.000,623.5681,-5000.2372,-3098.8853,-4627.0954,-4749.3215,5277.8215,-4911.4174,0.0000,2731.0620,0.0000,6326.3096,4753.1026,-3952.2224,-4314.2608,5646.6384,3391.6569,5749.5802,4803.2002,-6247.2636,-5492.8318,-289358.0655,-278893.2415,-285382.7127,-282539.6009,-276079.5580,-283134.0613,-278866.6777,-282714.9769,100396644.7174,100411455.6232,100389181.7444,100393581.1201,-281709.3576,100398544.2698,-4089.8716,3010.4314,-3380.9965,-4508.9580,-4295.2023,-4394.5737,400.8837,0.0000,-6193.0398,0.0000,211.1220,2570.5887,-3543.8568,2761.9436,1282.0673,-2680.5021,-2736.5719,1856.9369,1933.1813,2032.9178,-262782.9587,-240058.9838,-243198.8255,-245632.2048,-254160.5043,-248170.0908,-244576.3792,-246569.3463,89008649.7460,89051438.0708,89016823.3431,89029318.5844,-247797.0694,89026825.6945,-5494.0666,-3713.2051,5022.7558,2370.9700,2071.1459,281.6561,4465.1717,0.0000,1099.0000,0.0000,2702.3485,-4316.7036,4433.8905,4565.0926,3624.6423,5339.2600,-2653.3036,4631.6943,1937.6263,-3656.0211,127771.8332,125704.7186,126428.9291,123684.6760,129602.1501,126714.8876,115835.7691,123787.8452,-49299934.3653,-49271124.8581,-49282514.7811,-49297099.1297,124670.6081,-49290801.6128,
7200.000,3572.1761,3945.3765,6358.9260,5703.4120,5609.8289,-3005.6290,1083.1420,0.0000,126.3268,0.0000,-3572.0057,-6732.1905,5474.9545,2357.6917,-3251.6244,393.9626,-2336.5308,-6274.0145,4932.4535,1745.3624,-213437.8365,-208004.7848,-213250.4257,-208051.4612,-204501.1678,-214798.7172,-207284.2295,-209397.0967,73912784.0803,73921846.5262,73911611.0952,73909346.1692,-210654.6182,73914377.5155,4689.2621,-5662.9157,1956.3282,3233.8946,2272.3278,4775.0082,-4546.4928,0.0000,4899.7828,0.0000,2411.2749,110.3792,-319.0343,-6055.1899,2502.1088,5167.2805,4514.2003,1444.5178,-4225.0089,-3744.6956,-327749.3099,-300295.2556,-304920.3312,-306997.7853,-316350.3681,-308986.0909,-307132.7190,-311481.7627,112008360.8178,112057806.1249,112016676.2024,112022273.6376,-310453.9766,112027574.3025,3524.4925,414.6154,-1452.3357,2092.7094,2939.0499,3916.7053,-4745.0437,0.0000,-4803.6156,0.0000,-5377.1387,1558.4818,-4230.9347,-2230.1739,-5472.8107,-4525.9897,4650.3970,-2577.9670,2083.6008,5518.1622,128294.5834,125900.9350,125925.2740,126930.5901,129668.2651,123904.4546,117000.2717,126020.7008,-49323793.7323,-49299082.7401,-49303826.8637,-49316748.7475,125317.3020,-49317034.7723,
10800.000,-5518.5741,-1437.1367,-5980.7979,-4527.6060,-3506.8448,-1294.8474,2194.3651,0.0000,-3965.1112,0.0000,97.4698,6134.9039,-5799.7603,65.6127,590.8940,-3005.2038,-1694.9196,5766.2449,-968.4486,2135.4880,-123485.2910,-124873.2888,-127518.6500,-121673.1671,-119832.5959,-130727.6920,-122409.7444,-127709.3751,42366799.0319,42367501.9769,42370993.2912,42370338.1888,-126172.9153,42367594.5720,-4012.1832,5993.3942,116.2015,77.5758,1999.7438,-3949.4008,6277.2113,0.0000,-2225.0302,0.0000,-5233.2151,-2328.0123,3511.6571,6665.5468,-5947.3847,-6152.9920,-5617.7550,-3702.9832,4991.6212,5319.6277,-371166.2057,-341012.7158,-347363.5468,-349787.7340,-358524.0723,-351519.1152,-349660.1734,-352410.7643,127362738.2860,127416895.0667,127374832.5336,127377735.1494,-353315.0685,127382767.3993,817.8216,3124.6358,-3257.9044,-5192.4608,-5392.5915,-5481.0864,296.0390,0.0000,5124.3327,0.0000,4464.9485,2164.7992,1392.9027,-1660.5829,3310.3245,637.5426,-3628.1412,-1061.1587,-4552.2264,-3847.0155,128772.8600,126050.5061,125248.0452,129395.1647,129407.2975,121418.5560,118760.0714,125567.4339,-49347220.1919,-49327261.1239,-49326523.5086,-49336610.4955,125953.3573,-49343272.7492,
14400.000,4950.5676,-2221.9518,2651.8099,2568.9861,693.9685,5292.8879,-3693.8656,0.0000,6595.0106,0.0000,2318.9541,-3087.2531,4134.3635,-2870.2312,1344.8563,3961.9707,4532.5207,-2973.4530,-3585.0997,-4321.2414,-25530.4929,-34657.8560,-33556.7786,-28018.3992,-27659.0296,-37929.5736,-29782.5939,-31990.5720,7912117.9674,7902688.9898,7918975.7635,7918713.1428,-33650.6228,7911797.6115,1155.8008,-4549.3071,-3096.1973,-4181.8735,-5932.3336,2875.2323,-3316.2153,0.0000,-121.5607,0.0000,6455.3317,4207.4801,-5055.7182,-4426.6594,6584.2484,4261.7401,5192.1030,4781.5490,-4554.0273,-5372.0110,-390199.6194,-359746.0992,-367786.0974,-369865.5789,-378086.1279,-371820.0749,-369610.4969,-374219.4801,134019348.8317,134075381.1912,134037588.8983,134042355.4317,-373648.9405,134039757.2380,-4631.6820,-4714.8481,5443.5040,4818.4254,3098.3000,3302.3172,4424.8342,0.0000,-1886.3595,0.0000,-618.2352,-4539.2489,2286.9521,4387.6812,1244.9060,3656.6101,219.7161,4034.4478,3591.8759,-326.8161,129211.0087,126184.8559,124749.1624,131100.5651,128824.8251,119883.3254,121160.0597,126741.9726,-49370395.8088,-49355611.0390,-49350604.0915,-49361351.9627,126578.7366,-49369515.5282,
18000.000,-3163.6546,5576.3607,1042.4916,-854.2749,1518.0684,-6626.6858,4022.2308,0.0000,-6030.4469,0.0000,-3483.7013,-882.6361,-562.4242,5445.0934,-2992.9432,-4127.8813,-5424.0109,-1093.3654,6187.7718,4576.0210,73894.8186,57003.6379,62683.0470,67284.8650,65843.2084,57202.1911,64574.3702,59213.7278,-27098188.2342,-27118416.8484,-27092107.4279,-27095108.4089,61013.6531,-27099685.3649,3058.2205,2369.5929,5764.8516,6714.8233,6277.4280,-1458.7722,-2313.6821,0.0000,1849.2920,0.0000,-4677.5831,-5539.0437,5174.5894,828.5863,-3696.4752,-3.7342,-2664.3368,-5095.4859,2873.3639,2900.9757,-383676.7560,-355437.2842,-364786.9428,-365859.5190,-373893.8398,-368185.9036,-366080.9046,-369875.4821,131519595.9595,131574149.0336,131544574.1320,131549898.5523,-370160.3305,131539846.9873,5269.2975,3322.5433,-3474.5559,-1267.2188,1892.2915,1093.0396,-4777.8273,0.0000,-2700.5020,0.0000,-3668.5335,4031.1088,-4570.6642,-4108.4188,-4915.5657,-5505.4250,3312.8270,-4578.1756,53.9530,4264.5889,129612.4892,126317.2155,124729.8890,132257.2324,127935.3846,119128.5523,124278.9898,127347.8206,-49393519.2037,-49384093.3995,-49375933.3784,-49389545.4409,127193.4040,-49395763.0940,
21600.000,1426.3583,-6911.5720,-3246.9873,-899.8286,-3414.2605,4844.8144,-3009.6468,0.0000,2449.7289,0.0000,4103.4132,3950.3113,-3497.6146,-6373.3925,4599.1306,4011.0395,4855.6652,4602.3398,-5746.1255,-3967.1179,168205.8096,144376.7194,155019.7047,158278.1193,154060.2765,148373.6912,154457.0624,153498.6726,-60272071.5145,-60302557.3791,-60269979.5795,-60276133.0129,151785.0757,-60274533.2141,-6302.8567,-117.5557,-5867.6358,-6056.1762,-2492.7998,-1021.8816,5925.3991,0.0000,-3477.2669,0.0000,520.1684,5585.8585,-4419.8293,2359.6690,-830.5770,-4246.2635,-1393.4686,4628.7571,257.5606,1396.0985,-352149.7753,-328477.3479,-338454.5560,-338097.2147,-346159.1456,-340747.0812,-340196.1811,-343017.2632,120030296.0849,120079933.4388,120060889.8800,120063042.7593,-343072.5767,120049893.1146,-2346.9955,143.2942,-1185.2030,-3156.3186,-5244.5786,-4774.3253,369.2967,0.0000,5369.5490,0.0000,5494.9965,-994.3160,4010.4975,982.4625,4979.7624,3622.4518,-4699.3505,2328.2854,-3672.7618,-5475.8866,129980.1502,126454.1871,125360.0842,132977.2202,126894.9514,119039.4878,128120.6787,127400.1824,-49416792.6894,-49412676.4495,-49402337.7323,-49419485.4510,127797.3240,-49422015.4313,
25200.000,297.1636,5503.3107,3966.9063,3154.3773,4825.9674,-1547.3626,-132.4748,0.0000,1862.4328,0.0000,-4497.2707,-5276.7115,6157.7374,4609.8145,-5221.7940,-3063.9877,-3472.0898,-6118.0244,3131.9800,3200.1520,251211.7228,222000.4607,237460.8195,239216.6546,230715.0362,229644.0974,233255.7239,231215.1870,-89341901.6018,-89380956.9390,-89346071.9543,-89352627.0336,232877.2303,-89344898.1835,6506.6766,-2245.3431,2532.5610,2756.9369,-2477.5734,4221.3816,-4998.5851,0.0000,5006.1026,0.0000,3677.4260,-3568.7898,3007.9604,-4244.6833,4174.4395,6117.9264,5140.2876,-2979.6980,-4028.5718,-5241.4159,-297841.1583,-280672.9698,-290421.4088,-288456.0967,-294951.8428,-291284.0858,-295537.6263,-294468.6690,100332556.6626,100374195.9026,100366352.9509,100361975.8162,-294113.2864,100351173.0177,-2201.8249,-3539.4536,4910.3223,5453.1741,3978.1414,5189.1168,4383.8668,0.0000,-4308.5699,0.0000,-3704.3217,-2691.6292,-986.6987,2802.1174,-1433.8906,682.3798,3003.6568,1314.3347,4520.8797,3140.9906,130316.4232,126599.5281,126632.6718,133321.5566,127405.1753,119555.8561,130434.2452,129068.0451,-49440409.1674,-49441333.9254,-49429646.0994,-49450014.2458,128390.4622,-49448272.5249,
28800.000,-2527.2919,-2186.0462,-4090.1127,-5405.3029,-4293.3076,-1239.5438,4410.8693,0.0000,-4519.3852,0.0000,3807.1223,5095.1549,-6358.2108,-606.6061,3400.5017,425.8430,1462.7671,5535.2385,-33.5267,-1938.3799,317531.0508,285032.9695,304644.1062,304990.9474,295653.6308,295784.8184,297670.6751,300528.4819,-112319439.7690,-112364447.5742,-112330811.2305,-112332624.7288,299120.9130,-112322436.6627,-3668.7163,4576.9416,2402.2515,1003.7377,5129.0105,-6427.6095,1331.0079,0.0000,-5154.5650,0.0000,-5710.9884,-198.5533,-645.3273,5001.4359,-5007.3447,-5143.3800,-6708.1274,-88.9892,6528.2576,6512.4095,-224475.7140,-215128.7198,-223785.9997,-220225.2920,-223815.2387,-223047.7638,-230554.7533,-225859.9934,73768696.0280,73799978.1996,73802602.1460,73790611.3017,-226404.1390,73786260.3291,5222.9728,4689.2749,-4889.1130,-4151.2782,755.8900,-2105.9843,-4809.5327,0.0000,208.1356,0.0000,-570.4695,4657.4447,-2669.3143,-4672.9199,-3183.8575,-4551.1267,636.0479,-4180.1432,-1986.6497,1195.3306,130623.4738,126755.6595,128365.5277,133323.1545,130586.8228,120656.1520,127559.0037,128064.8932,-49464539.6345,-49470043.7170,-49457703.0745,-49480126.2126,128972.7851,-49474534.3595,
