sl_100_5400_20310310 Coordinates.csv
2031/03/10 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:42 2024,
Start: 2031/03/10 07:47:00.00, Stop: 2031/03/10 09:17:00.00,
TIME_UNITS,STARLINK-30975 - X-Coordinate,STARLINK-4507 - X-Coordinate,STARLINK-3457 - X-Coordinate,STARLINK-31096 - X-Coordinate,STARLINK-3800 - X-Coordinate,STARLINK-5275 - X-Coordinate,STARLINK-31902 - X-Coordinate,STARLINK-31256 - X-Coordinate,STARLINK-1926 - X-Coordinate,STARLINK-32114 - X-Coordinate,STARLINK-30890 - X-Coordinate,STARLINK-1358 - X-Coordinate,STARLINK-1135 - X-Coordinate,STARLINK-4645 - X-Coordinate,STARLINK-5377 - X-Coordinate,STARLINK-30446 - X-Coordinate,STARLINK-1682 - X-Coordinate,STARLINK-2112 - X-Coordinate,STARLINK-1276 - X-Coordinate,STARLINK-4037 - X-Coordinate,STARLINK-5630 - X-Coordinate,STARLINK-3790 - X-Coordinate,STARLINK-11149 [DTC] - X-Coordinate,STARLINK-5797 - X-Coordinate,STARLINK-3924 - X-Coordinate,STARLINK-30558 - X-Coordinate,STARLINK-5593 - X-Coordinate,STARLINK-31132 - X-Coordinate,STARLINK-3647 - X-Coordinate,STARLINK-31757 - X-Coordinate,STARLINK-31394 - X-Coordinate,STARLINK-5623 - X-Coordinate,STARLINK-31542 - X-Coordinate,STARLINK-1953 - X-Coordinate,STARLINK-2064 - X-Coordinate,STARLINK-32123 - X-Coordinate,STARLINK-1017 - X-Coordinate,STARLINK-32290 - X-Coordinate,STARLINK-1481 - X-Coordinate,STARLINK-31009 - X-Coordinate,STARLINK-3895 - X-Coordinate,STARLINK-30339 - X-Coordinate,STARLINK-30887 - X-Coordinate,STARLINK-4015 - X-Coordinate,STARLINK-31374 - X-Coordinate,STARLINK-30775 - X-Coordinate,STARLINK-5271 - X-Coordinate,STARLINK-2333 - X-Coordinate,STARLINK-30556 - X-Coordinate,STARLINK-5942 - X-Coordinate,STARLINK-31134 - X-Coordinate,STARLINK-3302 - X-Coordinate,STARLINK-4258 - X-Coordinate,STARLINK-5765 - X-Coordinate,STARLINK-4482 - X-Coordinate,STARLINK-4809 - X-Coordinate,STARLINK-2493 - X-Coordinate,STARLINK-5679 - X-Coordinate,STARLINK-4539 - X-Coordinate,STARLINK-11129 [DTC] - X-Coordinate,STARLINK-30940 - X-Coordinate,STARLINK-5693 - X-Coordinate,STARLINK-3909 - X-Coordinate,STARLINK-1474 - X-Coordinate,STARLINK-3287 - X-Coordinate,STARLINK-3074 - X-Coordinate,STARLINK-5896 - X-Coordinate,STARLINK-4466 - X-Coordinate,STARLINK-31734 - X-Coordinate,STARLINK-2410 - X-Coordinate,STARLINK-1394 - X-Coordinate,STARLINK-3508 - X-Coordinate,STARLINK-30111 - X-Coordinate,STARLINK-31897 - X-Coordinate,STARLINK-6150 - X-Coordinate,STARLINK-2706 - X-Coordinate,STARLINK-5543 - X-Coordinate,STARLINK-6166 - X-Coordinate,STARLINK-3826 - X-Coordinate,STARLINK-2692 - X-Coordinate,STARLINK-3522 - X-Coordinate,STARLINK-3259 - X-Coordinate,STARLINK-4341 - X-Coordinate,STARLINK-2257 - X-Coordinate,STARLINK-5388 - X-Coordinate,STARLINK-1700 - X-Coordinate,STARLINK-5868 - X-Coordinate,STARLINK-4592 - X-Coordinate,STARLINK-30160 - X-Coordinate,STARLINK-31450 - X-Coordinate,STARLINK-5607 - X-Coordinate,STARLINK-30892 - X-Coordinate,STARLINK-6215 - X-Coordinate,STARLINK-5883 - X-Coordinate,STARLINK-5841 - X-Coordinate,STARLINK-3791 - X-Coordinate,STARLINK-31721 - X-Coordinate,STARLINK-5709 - X-Coordinate,STARLINK-6202 - X-Coordinate,STARLINK-1216 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30975 - Y-Coordinate,STARLINK-4507 - Y-Coordinate,STARLINK-3457 - Y-Coordinate,STARLINK-31096 - Y-Coordinate,STARLINK-3800 - Y-Coordinate,STARLINK-5275 - Y-Coordinate,STARLINK-31902 - Y-Coordinate,STARLINK-31256 - Y-Coordinate,STARLINK-1926 - Y-Coordinate,STARLINK-32114 - Y-Coordinate,STARLINK-30890 - Y-Coordinate,STARLINK-1358 - Y-Coordinate,STARLINK-1135 - Y-Coordinate,STARLINK-4645 - Y-Coordinate,STARLINK-5377 - Y-Coordinate,STARLINK-30446 - Y-Coordinate,STARLINK-1682 - Y-Coordinate,STARLINK-2112 - Y-Coordinate,STARLINK-1276 - Y-Coordinate,STARLINK-4037 - Y-Coordinate,STARLINK-5630 - Y-Coordinate,STARLINK-3790 - Y-Coordinate,STARLINK-11149 [DTC] - Y-Coordinate,STARLINK-5797 - Y-Coordinate,STARLINK-3924 - Y-Coordinate,STARLINK-30558 - Y-Coordinate,STARLINK-5593 - Y-Coordinate,STARLINK-31132 - Y-Coordinate,STARLINK-3647 - Y-Coordinate,STARLINK-31757 - Y-Coordinate,STARLINK-31394 - Y-Coordinate,STARLINK-5623 - Y-Coordinate,STARLINK-31542 - Y-Coordinate,STARLINK-1953 - Y-Coordinate,STARLINK-2064 - Y-Coordinate,STARLINK-32123 - Y-Coordinate,STARLINK-1017 - Y-Coordinate,STARLINK-32290 - Y-Coordinate,STARLINK-1481 - Y-Coordinate,STARLINK-31009 - Y-Coordinate,STARLINK-3895 - Y-Coordinate,STARLINK-30339 - Y-Coordinate,STARLINK-30887 - Y-Coordinate,STARLINK-4015 - Y-Coordinate,STARLINK-31374 - Y-Coordinate,STARLINK-30775 - Y-Coordinate,STARLINK-5271 - Y-Coordinate,STARLINK-2333 - Y-Coordinate,STARLINK-30556 - Y-Coordinate,STARLINK-5942 - Y-Coordinate,STARLINK-31134 - Y-Coordinate,STARLINK-3302 - Y-Coordinate,STARLINK-4258 - Y-Coordinate,STARLINK-5765 - Y-Coordinate,STARLINK-4482 - Y-Coordinate,STARLINK-4809 - Y-Coordinate,STARLINK-2493 - Y-Coordinate,STARLINK-5679 - Y-Coordinate,STARLINK-4539 - Y-Coordinate,STARLINK-11129 [DTC] - Y-Coordinate,STARLINK-30940 - Y-Coordinate,STARLINK-5693 - Y-Coordinate,STARLINK-3909 - Y-Coordinate,STARLINK-1474 - Y-Coordinate,STARLINK-3287 - Y-Coordinate,STARLINK-3074 - Y-Coordinate,STARLINK-5896 - Y-Coordinate,STARLINK-4466 - Y-Coordinate,STARLINK-31734 - Y-Coordinate,STARLINK-2410 - Y-Coordinate,STARLINK-1394 - Y-Coordinate,STARLINK-3508 - Y-Coordinate,STARLINK-30111 - Y-Coordinate,STARLINK-31897 - Y-Coordinate,STARLINK-6150 - Y-Coordinate,STARLINK-2706 - Y-Coordinate,STARLINK-5543 - Y-Coordinate,STARLINK-6166 - Y-Coordinate,STARLINK-3826 - Y-Coordinate,STARLINK-2692 - Y-Coordinate,STARLINK-3522 - Y-Coordinate,STARLINK-3259 - Y-Coordinate,STARLINK-4341 - Y-Coordinate,STARLINK-2257 - Y-Coordinate,STARLINK-5388 - Y-Coordinate,STARLINK-1700 - Y-Coordinate,STARLINK-5868 - Y-Coordinate,STARLINK-4592 - Y-Coordinate,STARLINK-30160 - Y-Coordinate,STARLINK-31450 - Y-Coordinate,STARLINK-5607 - Y-Coordinate,STARLINK-30892 - Y-Coordinate,STARLINK-6215 - Y-Coordinate,STARLINK-5883 - Y-Coordinate,STARLINK-5841 - Y-Coordinate,STARLINK-3791 - Y-Coordinate,STARLINK-31721 - Y-Coordinate,STARLINK-5709 - Y-Coordinate,STARLINK-6202 - Y-Coordinate,STARLINK-1216 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30975 - Z-Coordinate,STARLINK-4507 - Z-Coordinate,STARLINK-3457 - Z-Coordinate,STARLINK-31096 - Z-Coordinate,STARLINK-3800 - Z-Coordinate,STARLINK-5275 - Z-Coordinate,STARLINK-31902 - Z-Coordinate,STARLINK-31256 - Z-Coordinate,STARLINK-1926 - Z-Coordinate,STARLINK-32114 - Z-Coordinate,STARLINK-30890 - Z-Coordinate,STARLINK-1358 - Z-Coordinate,STARLINK-1135 - Z-Coordinate,STARLINK-4645 - Z-Coordinate,STARLINK-5377 - Z-Coordinate,STARLINK-30446 - Z-Coordinate,STARLINK-1682 - Z-Coordinate,STARLINK-2112 - Z-Coordinate,STARLINK-1276 - Z-Coordinate,STARLINK-4037 - Z-Coordinate,STARLINK-5630 - Z-Coordinate,STARLINK-3790 - Z-Coordinate,STARLINK-11149 [DTC] - Z-Coordinate,STARLINK-5797 - Z-Coordinate,STARLINK-3924 - Z-Coordinate,STARLINK-30558 - Z-Coordinate,STARLINK-5593 - Z-Coordinate,STARLINK-31132 - Z-Coordinate,STARLINK-3647 - Z-Coordinate,STARLINK-31757 - Z-Coordinate,STARLINK-31394 - Z-Coordinate,STARLINK-5623 - Z-Coordinate,STARLINK-31542 - Z-Coordinate,STARLINK-1953 - Z-Coordinate,STARLINK-2064 - Z-Coordinate,STARLINK-32123 - Z-Coordinate,STARLINK-1017 - Z-Coordinate,STARLINK-32290 - Z-Coordinate,STARLINK-1481 - Z-Coordinate,STARLINK-31009 - Z-Coordinate,STARLINK-3895 - Z-Coordinate,STARLINK-30339 - Z-Coordinate,STARLINK-30887 - Z-Coordinate,STARLINK-4015 - Z-Coordinate,STARLINK-31374 - Z-Coordinate,STARLINK-30775 - Z-Coordinate,STARLINK-5271 - Z-Coordinate,STARLINK-2333 - Z-Coordinate,STARLINK-30556 - Z-Coordinate,STARLINK-5942 - Z-Coordinate,STARLINK-31134 - Z-Coordinate,STARLINK-3302 - Z-Coordinate,STARLINK-4258 - Z-Coordinate,STARLINK-5765 - Z-Coordinate,STARLINK-4482 - Z-Coordinate,STARLINK-4809 - Z-Coordinate,STARLINK-2493 - Z-Coordinate,STARLINK-5679 - Z-Coordinate,STARLINK-4539 - Z-Coordinate,STARLINK-11129 [DTC] - Z-Coordinate,STARLINK-30940 - Z-Coordinate,STARLINK-5693 - Z-Coordinate,STARLINK-3909 - Z-Coordinate,STARLINK-1474 - Z-Coordinate,STARLINK-3287 - Z-Coordinate,STARLINK-3074 - Z-Coordinate,STARLINK-5896 - Z-Coordinate,STARLINK-4466 - Z-Coordinate,STARLINK-31734 - Z-Coordinate,STARLINK-2410 - Z-Coordinate,STARLINK-1394 - Z-Coordinate,STARLINK-3508 - Z-Coordinate,STARLINK-30111 - Z-Coordinate,STARLINK-31897 - Z-Coordinate,STARLINK-6150 - Z-Coordinate,STARLINK-2706 - Z-Coordinate,STARLINK-5543 - Z-Coordinate,STARLINK-6166 - Z-Coordinate,STARLINK-3826 - Z-Coordinate,STARLINK-2692 - Z-Coordinate,STARLINK-3522 - Z-Coordinate,STARLINK-3259 - Z-Coordinate,STARLINK-4341 - Z-Coordinate,STARLINK-2257 - Z-Coordinate,STARLINK-5388 - Z-Coordinate,STARLINK-1700 - Z-Coordinate,STARLINK-5868 - Z-Coordinate,STARLINK-4592 - Z-Coordinate,STARLINK-30160 - Z-Coordinate,STARLINK-31450 - Z-Coordinate,STARLINK-5607 - Z-Coordinate,STARLINK-30892 - Z-Coordinate,STARLINK-6215 - Z-Coordinate,STARLINK-5883 - Z-Coordinate,STARLINK-5841 - Z-Coordinate,STARLINK-3791 - Z-Coordinate,STARLINK-31721 - Z-Coordinate,STARLINK-5709 - Z-Coordinate,STARLINK-6202 - Z-Coordinate,STARLINK-1216 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6106.2602,3869.4127,-1935.6355,-5383.5751,-4717.7895,-6847.6768,-4529.6502,1104.6019,0.0000,-6692.9633,-553.0240,5811.3137,0.0000,-4312.3195,-265.0567,-1889.1383,236.0349,-3075.6741,746.1696,-1423.2786,-5358.3214,5853.0105,-6659.1909,-4829.0127,4506.8008,-2356.1753,1380.0407,1873.1817,3803.8100,6647.4981,-5618.1312,-4806.0608,-5567.2782,4299.1637,-4915.1249,4238.3319,-4603.8553,-5094.4228,-6347.6779,6686.6660,-1593.7956,-3851.1659,-6362.7557,3385.8630,0.0000,6239.7028,5148.2181,4799.3016,-3341.8027,-819.2886,1239.9459,-544.6119,-4935.6849,3023.1260,3996.7421,1040.7770,1206.4403,-6102.6010,-3663.6252,-5942.0144,-2813.8536,1789.4133,3377.7231,6121.4390,-3555.3059,-2792.8479,-2451.0848,-2057.6860,-5371.2424,5159.0549,326.2683,3323.6451,640.1370,-472.6370,-1716.1898,6858.6647,-6150.7442,-2121.1087,-1063.4247,-5038.0911,-611.7592,-5539.7500,-3342.0434,-4665.5957,451.9183,-3317.6658,2219.8324,6004.5321,-3786.7558,3891.4779,-3932.5282,4624.5304,6431.4200,-1445.1923,3874.6484,-3509.4069,721.8123,259.4692,3686.3668,-1270.0461,90390.8579,78345.4386,91896.8823,87771.6938,78949.6221,82139.2373,86060.6137,85789.9568,-69579971.7671,-69581150.9431,-69553697.5551,-69566420.6957,86305.5776,-69563422.1690,2855.2990,1495.4436,-4044.1070,-4259.4739,-1876.5807,552.3926,2082.3520,6614.1697,0.0000,-481.2816,-5473.3308,1537.2376,0.0000,-2736.3468,-5567.1234,-4877.6800,4737.1554,2950.1889,6262.2400,4862.5533,-1917.8397,-3594.5982,-53.7292,1953.4810,3775.1143,4532.4015,1935.5522,5401.5054,2076.3001,-602.6085,270.4441,3269.0974,-963.0886,616.1939,-1878.4285,959.9456,443.5107,1149.1116,2418.6722,-1142.0162,3861.9319,3802.6108,1661.6501,2452.4655,0.0000,-131.2443,-4266.4660,-974.2891,3113.7013,6447.8699,-4989.5409,5122.4681,2391.4492,4089.4614,-2283.4704,-5862.2055,6640.5552,-3251.2122,5056.0765,-2451.5374,5000.7540,-5181.8604,3843.1846,-1112.9644,3831.7640,5482.8028,66.6611,3174.0734,267.7240,-2420.8178,-4430.0146,5622.1283,-5958.1022,5276.6419,6426.0411,39.6848,-1715.7281,-4603.4122,-6077.1529,-3858.9910,4576.8801,3120.4006,-186.3043,941.4088,6890.3404,-3392.5698,-5276.4011,2720.2952,-3241.8697,-1684.3809,-1083.5251,3851.0106,-2438.2370,-3485.0315,1348.7822,-4066.2140,6298.4230,6876.7095,-3499.2692,-3979.2840,-354339.8738,-370102.5322,-370916.8936,-367371.9095,-368226.0615,-370359.0822,-375327.5741,-369661.5330,-106396653.9105,-106434086.3586,-106395967.3007,-106395601.0353,-371371.6081,-106399556.5457,1415.2313,-5529.5092,-5248.0702,770.0867,4663.8422,907.6605,4627.8465,776.3474,0.0000,-1534.4218,4179.1409,-3405.0833,0.0000,-4644.4829,-4149.5652,-4509.6004,4575.6772,-5428.4020,2834.6447,-4651.8483,3929.5581,612.9638,-1105.6978,4604.1943,-3562.1365,4718.8066,6522.6973,-3780.2912,5335.3814,-1433.5851,3806.2121,-3796.3783,-3827.9654,-5175.7573,-4347.8475,-5321.8533,5087.7439,-4413.6119,657.7622,1509.4214,-5460.4129,4398.6720,-1917.2226,5495.0341,0.0000,-3012.6693,1852.6153,-4756.4598,-5055.0873,-2401.8431,-4584.8042,4594.2600,-4322.6156,4655.1274,5114.7195,3261.3974,-1505.1210,-339.7213,-2933.7560,1671.8402,3829.5104,4196.8393,4552.8094,3039.6767,4504.0766,-3222.1922,-6507.9557,-5784.4421,4163.0812,3672.0012,5272.8243,-2259.3466,-3481.5309,-4262.8256,1859.2572,993.0797,-2635.8344,-4723.6890,-3092.7460,2574.8330,5086.6172,2700.6621,-6054.0165,4905.5336,-160.4603,4996.4776,-3931.3808,2057.3323,4636.0645,-5392.5407,5601.9799,-3431.7839,716.2091,-5858.6218,-5571.3960,-4223.1525,-2495.7864,-383.0165,-4728.1971,5511.5654,-31945.8970,-38233.8341,-32541.9577,-35577.3658,-29687.8379,-35263.1792,-43817.8246,-35275.2392,-36231735.9267,-36246392.4572,-36231535.1714,-36213410.7666,-35043.8817,-36220114.1334,
300.000,6179.6154,4381.3179,-3356.1067,-5921.8916,-4319.6204,-6722.2265,-3337.5870,2526.1445,0.0000,-6835.9497,-2501.8823,6658.0620,0.0000,-5761.1811,-2155.8986,-3588.5618,2053.8552,-1792.4237,2110.4852,557.2898,-6443.0861,4790.1571,-6605.1550,-3021.1739,5838.9380,-310.0645,3149.5582,3457.4120,4142.9434,5821.3729,-4657.9645,-3187.0749,-6196.2443,3781.2676,-6092.5198,3966.6558,-4955.2410,-5363.8676,-5750.0340,6428.3093,556.8414,-2623.3213,-5242.5049,4696.5383,0.0000,5343.3757,3731.3832,5056.8143,-2432.6600,885.8343,-920.3310,1047.5928,-3209.6265,4701.1932,2215.1841,-563.3116,2303.6681,-6443.9954,-1958.1253,-6510.7665,-1371.6852,49.4244,3914.1677,6302.6665,-1546.6239,-2450.6230,-2814.4917,-3481.8800,-5539.3310,3477.5638,-1622.0487,4539.6860,-1221.8801,1493.0615,-13.7787,6783.5940,-4882.1746,-3959.9759,-2474.2469,-6093.0851,1419.0145,-4029.7307,-4984.9127,-4885.0644,1919.0569,-3953.3413,1834.2645,6700.0276,-4957.1576,2496.8233,-5480.9639,5981.8599,5734.8398,-2081.9904,5466.0289,-3977.0653,2266.2452,1744.8661,2108.1524,-3302.8772,97776.6577,86347.0398,99730.2399,95667.2010,86717.2756,90154.3358,93830.5474,93830.8743,-67234671.5258,-67235123.4839,-67208388.9762,-67221855.6044,94122.9464,-67218188.2989,1187.8067,-609.0168,-2415.9846,-2762.0028,149.7813,1166.5362,3898.8359,5838.7910,0.0000,742.0764,-5561.3841,309.8069,0.0000,-1659.0718,-4678.3104,-3561.0618,5267.1058,4602.4956,6485.9341,4275.9622,-1471.0534,-4358.6002,1176.7500,2235.4490,3026.1967,5191.4710,662.7628,5464.4866,-77.3581,-1782.1430,2115.0100,3154.1294,813.0003,-1514.2299,-588.9045,-1201.4120,2378.3975,2887.3122,3490.2630,-2644.6950,4230.5499,5373.8745,2689.0447,781.7388,0.0000,-1810.2069,-4727.7113,-2826.6820,4871.3304,5863.3826,-4982.7520,5945.6174,3336.4319,2806.5813,-3486.0152,-5030.6694,5712.7203,-1739.0331,5032.2285,-1314.0385,6185.3270,-6077.4927,1856.4450,-2518.5457,4139.0523,6381.3478,2177.9389,4154.1569,2240.6336,-3304.8586,-4995.0893,5184.8040,-5275.2544,5685.7948,6137.9462,-1169.8939,-1814.5761,-3508.2317,-6278.6701,-3014.9756,3875.7377,3806.2656,-1004.4473,2847.4177,6420.8670,-1360.7897,-6376.2463,1656.4583,-1415.3522,-3366.5448,-284.4770,2713.0758,-3776.8879,-1468.8275,662.0647,-2127.7499,5287.9908,6563.8843,-4928.3430,-3322.7607,-352264.3550,-368224.9222,-369134.3394,-365715.0241,-366321.9417,-368444.7729,-373390.1959,-367800.2727,-107888094.0203,-107925790.2168,-107886856.5176,-107887577.4339,-369444.9843,-107891041.4055,2795.9666,-5312.1496,-5526.7560,2234.9997,5369.5348,-1220.9667,4465.1765,2251.8513,0.0000,273.1421,3249.5432,-1812.7665,0.0000,-3421.3190,-4664.1965,-4705.3163,3391.1850,-4819.6166,1147.3508,-5359.2041,2044.7066,2363.0580,730.2979,5846.4313,-1997.0524,4616.1232,6151.6092,-2268.9359,5483.7307,-3091.4522,4465.3246,-5300.6383,-2740.5790,-5390.7315,-3019.0798,-5480.0988,4134.1622,-3104.7751,-1164.8201,-14.6188,-5391.0988,3588.9329,-3496.0095,5001.3877,0.0000,-4026.1412,3440.4943,-3610.6333,-4094.9567,-3586.6990,-4666.3069,3349.5149,-5228.7272,4191.1569,5502.5811,4520.2995,-3144.8708,-1843.5826,-4294.8013,-159.9210,2735.7078,3278.4365,5302.9768,1384.0249,5297.7586,-1226.5399,-5975.1312,-4285.0926,3251.1470,4787.4437,4469.2233,-500.6969,-4326.1445,-3416.4759,3161.6085,-817.7034,-4540.4707,-4473.8445,-1438.6961,847.7979,5490.9196,4118.7504,-4690.1301,3843.4744,-1678.3705,5476.5333,-2048.2072,281.7059,4446.3624,-5430.9732,4233.5317,-2199.8410,-831.3282,-6485.9568,-4190.3581,-5132.8586,-3651.0933,1161.8076,-4411.2561,5088.1442,-32064.7797,-38282.4201,-32663.8513,-35828.7847,-29793.7651,-35080.7039,-43964.3537,-35799.1077,-36230994.1862,-36245704.9632,-36230335.3563,-36212430.6604,-35151.9906,-36219289.6262,
600.000,5658.8868,4515.2697,-4492.0976,-5895.1315,-3544.7365,-5905.8639,-1842.1281,3704.1445,0.0000,-6287.3504,-4189.8014,6842.9524,0.0000,-6640.0811,-3867.6259,-4967.5537,3608.4595,-379.2943,3252.9576,2511.3756,-6860.6893,3233.8810,-5840.9760,-904.8876,6572.9962,1749.7591,4642.8278,4670.1656,4125.6859,4396.3369,-3248.7814,-1221.1411,-6210.2594,2921.1733,-6648.6934,3355.4969,-4846.9786,-5108.4016,-4551.2211,5551.6154,2638.8762,-1179.0038,-3585.1973,5577.2686,0.0000,3949.7565,1929.5649,4826.2035,-1316.4282,2534.4365,-2991.1431,2503.6357,-1186.1749,5933.5855,239.7498,-2151.0493,3207.4421,-6167.9127,-30.6288,-6346.2321,179.6008,-1669.3095,4111.3621,5867.6256,622.6869,-1874.1027,-2969.8683,-4564.7632,-5165.6833,1433.9680,-3380.8052,5298.2857,-2994.5662,3284.9589,1715.5297,6037.3074,-3091.8337,-5432.4316,-3622.9428,-6520.0538,3333.3131,-2109.7280,-6060.8298,-4640.5095,3214.3233,-4254.1137,1288.4235,6725.0479,-5655.0417,896.2297,-6481.8134,6756.7113,4474.6973,-2592.9511,6504.1965,-4094.3383,3613.1010,3069.1505,359.9020,-5017.8344,105114.7569,94309.6265,107518.9886,103522.7649,94443.1289,98150.6403,101557.1438,101856.3102,-64857412.7283,-64857133.3234,-64831151.2095,-64845285.8366,101897.4010,-64840993.4154,-618.2794,-2634.2205,-584.5151,-978.6884,2185.6757,1677.1359,5336.5255,4447.8339,0.0000,1893.5742,-5132.4177,-928.3212,0.0000,-454.2628,-3375.5369,-1929.8224,5222.9932,5818.9903,6069.7418,3311.6763,-899.7346,-4708.7654,2289.4690,2368.3541,1992.3407,5394.6443,-608.4580,4987.3000,-2215.5591,-2812.8294,3772.7508,2784.7818,2484.3887,-3501.6816,728.2061,-3251.3501,4049.4609,4305.4254,4212.4636,-3893.0735,4232.3180,6441.8590,3481.3759,-924.8827,0.0000,-3347.0114,-4757.9979,-4364.1204,6126.5917,4728.9046,-4529.8016,6196.0838,4017.3780,1284.6937,-4393.0251,-3700.4763,4217.3337,-42.6592,4546.1669,-26.6531,6768.9264,-6395.6082,-318.3415,-3661.1463,4092.6418,6624.7854,4049.4058,4634.0939,3966.1672,-3895.6256,-5102.9132,4233.5726,-4111.6955,5537.2149,5264.8442,-2272.9856,-1652.0690,-2112.6434,-5858.9878,-1871.0911,2838.9204,4158.5007,-1774.8241,4438.8886,5321.8220,797.3448,-6821.7186,430.2210,528.7504,-4746.2161,488.9822,1332.6621,-4753.8644,675.2858,-37.7673,33.4039,3749.5517,5601.5357,-5909.3560,-2393.5649,-350036.3983,-366174.9277,-367187.0244,-363912.3274,-364255.4662,-366362.7235,-371290.3183,-365888.6701,-109327849.7174,-109365793.1544,-109326064.1368,-109327920.6433,-367353.8193,-109330844.7809,3871.4234,-4523.0229,-5208.1684,3457.8805,5492.4392,-3218.7720,3797.9111,3466.2578,0.0000,2050.7632,1968.9288,-24.2535,0.0000,-1827.5251,-4684.0860,-4392.7904,1786.8878,-3689.1287,-663.7079,-5481.2620,-60.4501,3855.9465,2481.5187,6469.9500,-212.6177,4024.7826,5127.7428,-506.2071,5031.9206,-4403.2857,4617.0875,-6241.7059,-1345.7749,-4985.2619,-1351.9704,-5037.9004,2728.1660,-1449.8041,-2856.8283,-1537.1247,-4732.2215,2401.4530,-4687.5248,3967.4742,0.0000,-4608.9341,4660.9577,-2060.6146,-2672.2539,-4387.5978,-4239.7717,1742.0780,-5588.6560,3272.0202,5290.0519,5264.9301,-4445.7934,-3149.3616,-5190.3404,-1972.2761,1345.0777,2005.2291,5466.1425,-420.2379,5517.7510,899.7533,-4811.2731,-2323.3500,1971.2620,5356.3114,3180.5960,1312.0987,-4708.1168,-2182.9875,4121.5899,-2540.9045,-5955.3068,-3745.1658,371.5674,-973.3330,5293.2253,5091.5303,-2822.1361,2353.2115,-3014.6970,5361.5397,53.1708,-1524.4492,3755.4477,-4871.5927,2412.4494,-731.8287,-2289.2358,-6432.9057,-2358.9238,-5470.6859,-4395.3957,2579.9025,-3624.8630,4117.8096,-32183.8796,-38328.7091,-32790.4589,-36075.7950,-29902.2927,-34898.7112,-44106.5451,-36273.5474,-36230247.0926,-36245016.4165,-36229123.7073,-36211493.2789,-35260.0763,-36218465.0585,
