TIME_UNITS,STARLINK-4394 - X-Coordinate,STARLINK-4308 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-3760 - X-Coordinate,STARLINK-1646 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4394 - Y-Coordinate,STARLINK-4308 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-3760 - Y-Coordinate,STARLINK-1646 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4394 - Z-Coordinate,STARLINK-4308 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-3760 - Z-Coordinate,STARLINK-1646 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-4958.0559,186.2102,592.9221,-5144.3814,-1452.7744,348363.1364,325528.1322,336810.5394,338467.1634,329870.5617,329486.6137,327143.6072,329167.5279,-93276299.9414,-93323237.2692,-93285094.9684,-93295756.1360,330878.4776,-93294297.4272,150.1002,946.9144,-6544.8794,2745.0949,6279.3153,-186368.4030,-167957.7635,-187118.0322,-182553.5950,-180052.1239,-180636.0709,-188815.7876,-186272.3612,63958077.3155,63981290.1834,63963404.1872,63976798.1154,-185651.0817,63965988.4135,-4631.8284,6838.5300,1910.5242,-3650.6370,-2301.0084,101422.0523,95649.3582,101035.4613,103949.9652,103807.2892,93159.6821,95949.2754,100536.2011,-33134236.2315,-33111674.5718,-33113183.9277,-33122676.6263,100412.7433,-33128678.7497,
36000.000,-828.0515,4905.7435,2016.7703,4830.0095,-1646.4026,382985.8874,358068.3649,372034.7519,373574.2024,366124.3994,365134.4653,363186.1363,368290.1419,-106700059.1361,-106753515.5471,-106712382.1140,-106727367.8451,366812.5185,-106718990.9769,815.0205,-1813.8563,4012.0073,-4846.9629,-4017.8209,-92262.6095,-81193.4937,-99473.8550,-93597.4342,-90046.4713,-91455.3817,-99682.2488,-95863.3766,37591292.0740,37606958.7930,37602311.5684,37608738.6099,-96765.6882,37598514.2045,6672.6395,-4529.0433,-5171.0328,-687.9738,5276.2939,102052.5211,96500.3144,103131.3236,103700.5147,105870.7957,95868.4378,94710.1234,101033.1338,-33151019.3823,-33133435.7138,-33130222.4415,-33146137.7219,101364.0691,-33148410.3976,
39600.000,5612.2750,-6885.1627,-4957.0242,-2040.4242,5122.5258,392532.3379,367966.1596,383398.0499,384925.9124,378484.8379,377436.1740,375795.5592,378022.0675,-112829959.0291,-112887440.5985,-112848296.1425,-112861782.1533,379314.1104,-112849429.7818,1662.3659,-253.7001,-298.3273,4738.9069,843.8631,7111.7543,11060.5123,-5608.4351,785.3666,5803.4509,3366.5827,-4156.3763,-2842.1596,8637747.3725,8643577.2350,8651919.0113,8648913.8987,-1721.8121,8643912.7443,-3448.1801,-632.9894,4701.1266,4537.6917,-4459.7679,102665.0917,97391.3949,104744.8158,103137.8211,107382.6267,99298.2043,94258.3180,102955.2262,-33167647.1366,-33155356.0121,-33148585.6697,-33170153.1292,102306.6448,-33168155.6122,
43200.000,-4867.2909,3918.3527,6341.1448,-2368.1385,-6649.5490,376633.2969,354571.5689,370292.6504,371459.3459,366285.7199,366293.8674,363965.8526,368564.0602,-111242651.2717,-111300956.0494,-111267868.2461,-111273224.9142,367590.9373,-111262135.3294,-3968.7647,1905.5019,-2428.2906,-3631.4629,1557.9763,105138.1501,103009.6325,88469.4986,94026.0478,101450.0423,97192.6223,91503.8369,94605.4917,-20923158.5377,-20928465.1304,-20909187.9175,-20919930.6778,93409.0876,-20918174.3253,-2565.3932,5360.5492,-879.9296,-5342.1617,395.9092,103263.3207,98329.3759,105696.0674,102402.6326,108455.7130,103463.0242,94477.4831,102392.6399,-33184321.3791,-33177400.5012,-33168106.0407,-33193715.9790,103240.4037,-33187914.3852,
46800.000,415.8313,1292.3286,-4535.4748,5927.0504,4724.0297,336654.4121,318693.6711,333655.4079,332258.5496,330431.3219,333740.0286,328420.4267,331659.5176,-102042463.6797,-102098089.9630,-102073770.0661,-102065990.6451,332398.1302,-102061442.7723,1902.7744,-282.4026,3656.4760,2401.4564,-2994.3030,195360.8675,188887.0123,176819.9267,180293.0556,190786.1473,182342.4042,181058.5657,181291.2309,-49069405.1188,-49085977.6156,-49058916.7548,-49071441.3536,182551.7626,-49065450.5544,6489.1863,-6792.8005,-3598.2897,2520.0454,3929.2095,103852.4928,99323.3690,105980.3250,103107.5196,109151.4531,106261.8432,95306.1843,105266.6817,-33201241.8623,-33199540.5030,-33188607.0048,-33215646.4734,104165.2803,-33207686.7078,
50400.000,2355.4063,-4268.6109,155.0737,-6531.6865,-310.2415,275597.9953,262547.5343,275855.1012,272125.1730,273348.1088,278935.6907,271496.0852,276491.6052,-85854553.2283,-85904134.5068,-85889819.6981,-85868675.0989,275989.5227,-85872651.9999,3546.2396,-3705.8688,-4099.5321,-814.4946,4148.5258,271932.3330,263315.5356,253912.9629,258154.1711,268094.3717,256799.0480,258698.6060,261140.3651,-73874619.2706,-73901403.8198,-73870119.9872,-73875247.6937,260015.2302,-73871306.7161,-5294.2753,3978.7510,5469.8207,1983.7403,-5435.4652,104441.3837,100386.0941,105769.2082,106610.6477,109502.7438,103772.7049,96722.0788,103822.5569,-33218593.2686,-33221752.0749,-33209924.8490,-33234164.6297,105081.2100,-33227472.5715,
54000.000,-1035.6007,3102.0306,4188.6231,4178.5185,-3826.6887,197903.8359,189614.7490,200530.1964,196378.3170,198843.0829,205153.8051,196963.8763,201630.3054,-63782446.4462,-63823147.2621,-63818733.9246,-63793173.8834,201973.1894,-63799530.5778,-6699.5910,6046.5428,4186.8478,-1776.3995,-4811.6721,330022.7354,321646.3300,314918.2755,319824.5305,328431.5067,317134.8194,319442.4191,319775.0713,-93639884.1996,-93674788.4102,-93642662.6889,-93633112.3513,320856.1357,-93636691.5566,-154.2440,1270.0201,-3439.6200,-5168.8023,2992.7850,105046.6277,101536.2125,105364.6988,109383.1259,109524.6488,101524.0166,98735.6142,107419.6078,-33236533.2503,-33244014.8697,-33231913.4828,-33247689.7857,105988.1290,-33247271.9676,
57600.000,-1146.1929,-125.9464,-5994.7109,-733.2486,5456.2141,109185.3617,104428.1757,112393.4164,108364.0651,111883.3005,118012.4380,109777.3494,115391.4753,-37332845.6263,-37362663.6354,-37367016.7390,-37350128.1089,115080.5343,-37349056.7887,3887.3228,-3822.5826,-3122.5432,4817.0696,3803.1427,366180.7060,360254.8005,355961.3022,360477.5418,367942.1422,357580.2600,359493.0239,362052.7068,-107010077.5329,-107050239.8969,-107020040.0656,-107000900.5377,361194.2197,-107006485.1449,5434.1647,-5768.5689,-1083.0380,4843.5495,1591.0675,105706.1229,102803.0453,105118.1935,111392.8787,109221.6438,100231.6517,101391.0426,105373.2848,-33255182.2183,-33266311.2840,-33254442.6689,-33260825.8305,106885.9744,-33267084.8875,
61200.000,89.7636,-855.3577,4866.0298,-1875.7324,-4603.5084,16014.0247,12300.6744,16993.4700,13341.8012,18332.7207,23313.1761,15783.5707,20600.6262,-8312815.5284,-8330755.3723,-8342117.9096,-8335631.6530,20863.7199,-8328534.0053,2178.0512,-1651.3951,166.8316,-6494.9794,-420.3650,378719.6879,376780.6420,374360.4184,377598.3825,384060.4653,374951.4241,376559.7862,377636.8503,-113066777.2304,-113108910.5331,-113082542.2711,-113063294.9494,378459.7588,-113062404.1441,-6433.3461,6651.9132,4802.6327,-1266.4038,-5048.1296,106538.1970,104237.4957,105336.3135,112850.6081,108605.0797,99726.2067,104767.0913,109375.8294,-33274615.5440,-33288625.8099,-33277394.0534,-33278968.2938,107774.6841,-33286911.3225,
64800.000,3502.9002,-1244.9831,-2395.1530,3229.1044,2741.9494,-74059.1461,-80956.8649,-79588.0534,-82694.7692,-75292.0843,-72738.5043,-78436.5668,-74235.3938,21293644.0180,21287534.5195,21271107.6273,21271356.2698,-74659.2042,21277899.2411,-5336.5596,5871.1608,3895.8326,5168.4277,-3976.8633,369538.2004,370308.9595,368835.7842,370217.5727,375422.3131,367939.9414,370244.1866,372248.4598,-111391365.8055,-111432117.4002,-111410567.4870,-111394852.7966,371557.2042,-111386069.6790,2277.3673,-3440.5471,-5098.6986,-3190.6562,4834.7652,108233.8429,105942.9311,106198.7141,113869.2438,107815.8406,99891.3234,108877.7184,107074.2522,-33294858.6772,-33310944.5338,-33300656.5820,-33300786.6549,108654.1970,-33306751.2638,
68400.000,-4738.3527,3680.3553,152.7652,-3986.0451,-975.1752,-163054.8266,-169114.9346,-171115.6846,-173614.9010,-163129.1032,-163878.4698,-165184.0128,-165807.1387,49461218.0894,49465934.9811,49446189.0586,49443742.2069,-165388.7833,49444925.5875,3201.4446,-5526.2756,-6621.8158,-1181.4297,6673.6087,344509.4704,341480.6124,339654.3100,338932.4617,340803.4172,336962.8931,342278.2077,340177.4381,-102093992.0148,-102130268.8753,-102113724.6903,-102101087.7715,340934.6037,-102087906.4914,3649.3521,-1949.5488,1716.4305,5468.5059,-1148.5248,110935.9537,108192.7670,107709.9209,114510.1869,108467.2950,100665.5818,111620.5789,111113.8268,-33315885.4977,-33333254.7383,-33324121.7140,-33324382.9556,109524.4529,-33326604.7029,
72000.000,788.7432,-2852.5583,1601.9280,4534.5433,-957.4479,-246705.4404,-244348.8206,-251636.5191,-253601.5795,-243656.3706,-244197.5617,-242329.9080,-244905.4792,74261823.8445,74275584.8937,74253783.6252,74249904.4979,-245533.6796,74244596.6545,637.9641,1585.1752,5999.1053,-3190.3745,-5865.5996,295494.6070,290558.3648,288664.2283,285878.2780,284697.5714,284066.2404,291514.5283,289380.3162,-85806377.7798,-85835598.6142,-85823707.2581,-85812086.1453,288554.4176,-85799877.5311,-6714.8242,6087.3574,2874.4295,-4072.9405,-3394.4425,112657.4139,111312.2407,109698.1015,114806.3397,111915.5905,102026.6508,109075.9456,108930.4519,-33337620.0060,-33355544.5806,-33347678.3546,-33348520.3728,110385.3924,-33346471.6309,
75600.000,4960.7015,-1574.7849,-3467.8654,-4057.2329,3419.2061,-315645.9654,-304652.3586,-315923.9167,-317542.2707,-308925.0768,-308544.8088,-306272.6604,-310530.0447,93996607.3047,94017079.5133,93993872.6859,93987414.1475,-309980.3549,93978294.5888,-1382.8968,1852.0856,-2333.7911,5551.3616,2281.9672,225193.5337,217967.8493,219186.6498,214604.9678,212176.9501,212764.1168,220964.1045,216774.9659,-63638928.8065,-63659185.0805,-63651398.0591,-63639008.4932,217767.6370,-63632531.4070,4401.6149,-6478.9087,-5425.2775,-96.0803,5458.1317,113979.9913,112599.9573,111861.0994,114772.7747,114632.4048,103984.9886,106772.2001,112631.6044,-33359941.2447,-33377802.8241,-33371207.1927,-33372192.4201,111236.9570,-33366352.0391,
79200.000,-6588.9475,6037.4501,5150.8789,1600.2868,-5605.9141,-364407.5291,-346478.1622,-359862.8320,-361353.3520,-353874.0894,-352895.0071,-351017.8430,-353986.6870,107312348.2321,107336885.1496,107312349.1474,107300456.1145,-354619.3153,107293075.0595,-881.2873,-1851.1759,-1929.2810,-5216.7166,1567.3821,138669.2501,132825.9119,135765.3172,129873.1364,126385.6898,127803.3276,136046.4840,134324.0958,-37105051.7218,-37115179.1086,-37111116.2058,-37098146.5176,133099.2901,-37099282.0704,1374.4504,2816.7015,4064.5844,4176.5891,-3598.7779,115096.5981,113149.4605,113847.3962,114413.9825,116586.1711,106584.8569,105424.3897,110923.0287,-33382691.1317,-33400018.6082,-33394574.0051,-33394213.1863,112079.0891,-33386245.9186,
82800.000,2377.1007,-6401.7658,-5231.6397,2458.7229,5640.2533,-389336.7857,-366197.8967,-380721.7812,-382196.6152,-375713.6386,-374685.1329,-373109.0500,-377014.2470,113294288.3312,113320146.9611,113293997.6627,113274254.4268,-376607.1054,113274423.1529,1792.9357,-500.3124,4411.3068,3394.8169,-3770.6994,41931.6197,40554.3746,43812.8924,37404.3059,32440.6388,34887.2682,42423.3816,38562.7924,-8017830.8011,-8017407.7105,-8017167.1537,-8007473.9041,39959.0763,-8013083.6219,-6101.3317,2557.6335,191.0606,-5455.6459,-887.6749,116080.0991,113545.8722,115350.3019,113741.3470,117987.5981,109904.9869,104863.1042,113948.1078,-33405684.6969,-33422181.2425,-33417621.4459,-33412790.6222,112911.7320,-33406153.2607,
86400.000,3031.6814,2196.9838,2529.6173,-5984.0486,-2589.1911,-388544.7522,-362495.0040,-377288.4385,-378409.0978,-373173.3308,-373218.4181,-370937.9790,-374268.6797,111529004.7591,111553526.1686,111525478.8216,111502000.1828,-374547.3541,111509063.0993,1217.4499,1541.5331,-4659.2480,-1495.6940,4225.0791,-58378.3097,-53190.9154,-50786.3296,-56353.1434,-63734.3885,-59475.4835,-53768.2434,-54067.3421,21633881.8272,21644584.4905,21640243.4563,21639283.2969,-55704.3604,21637445.3713,5932.7038,-6379.5681,-4334.4202,3031.8947,4706.2626,116966.6445,113893.0649,116190.1317,112895.8882,118949.6140,113959.2519,104972.0032,113013.1735,-33428722.0609,-33444280.0177,-33440159.0542,-33426377.4137,113734.8298,-33426074.0566,
