sl_100_5400_20311125 Coordinates.csv
2031/11/25 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:14 2024,
Start: 2031/11/25 07:47:00.00, Stop: 2031/11/25 09:17:00.00,
TIME_UNITS,STARLINK-31881 - X-Coordinate,STARLINK-30961 - X-Coordinate,STARLINK-31144 - X-Coordinate,STARLINK-3004 - X-Coordinate,STARLINK-1039 - X-Coordinate,STARLINK-3986 - X-Coordinate,STARLINK-31680 - X-Coordinate,STARLINK-31075 - X-Coordinate,STARLINK-4783 - X-Coordinate,STARLINK-1137 - X-Coordinate,STARLINK-6324 - X-Coordinate,STARLINK-3231 - X-Coordinate,STARLINK-30399 - X-Coordinate,STARLINK-5593 - X-Coordinate,STARLINK-6263 - X-Coordinate,STARLINK-32188 - X-Coordinate,STARLINK-2252 - X-Coordinate,STARLINK-30332 - X-Coordinate,STARLINK-32206 - X-Coordinate,STARLINK-4017 - X-Coordinate,STARLINK-5533 - X-Coordinate,STARLINK-5897 - X-Coordinate,STARLINK-4616 - X-Coordinate,STARLINK-5761 - X-Coordinate,STARLINK-3968 - X-Coordinate,STARLINK-31849 - X-Coordinate,STARLINK-3813 - X-Coordinate,STARLINK-32235 - X-Coordinate,STARLINK-31437 - X-Coordinate,STARLINK-31504 - X-Coordinate,STARLINK-31398 - X-Coordinate,STARLINK-30582 - X-Coordinate,STARLINK-11116 [DTC] - X-Coordinate,STARLINK-1066 - X-Coordinate,STARLINK-4347 - X-Coordinate,STARLINK-4599 - X-Coordinate,STARLINK-31082 - X-Coordinate,STARLINK-1277 - X-Coordinate,STARLINK-6060 - X-Coordinate,STARLINK-3579 - X-Coordinate,STARLINK-2039 - X-Coordinate,STARLINK-4373 - X-Coordinate,STARLINK-4315 - X-Coordinate,STARLINK-4473 - X-Coordinate,STARLINK-32032 - X-Coordinate,STARLINK-6255 - X-Coordinate,STARLINK-4050 - X-Coordinate,STARLINK-30253 - X-Coordinate,STARLINK-30214 - X-Coordinate,STARLINK-5822 - X-Coordinate,STARLINK-30238 - X-Coordinate,STARLINK-32360 - X-Coordinate,STARLINK-5094 - X-Coordinate,STARLINK-4370 - X-Coordinate,STARLINK-4080 - X-Coordinate,STARLINK-4357 - X-Coordinate,STARLINK-31280 - X-Coordinate,STARLINK-30415 - X-Coordinate,STARLINK-3109 - X-Coordinate,STARLINK-1681 - X-Coordinate,STARLINK-31741 - X-Coordinate,STARLINK-5405 - X-Coordinate,STARLINK-30895 - X-Coordinate,STARLINK-4577 - X-Coordinate,STARLINK-3827 - X-Coordinate,STARLINK-5473 - X-Coordinate,STARLINK-4636 - X-Coordinate,STARLINK-32270 - X-Coordinate,STARLINK-4295 - X-Coordinate,STARLINK-5448 - X-Coordinate,STARLINK-31208 - X-Coordinate,STARLINK-30150 - X-Coordinate,STARLINK-30483 - X-Coordinate,STARLINK-2113 - X-Coordinate,STARLINK-3350 - X-Coordinate,STARLINK-31584 - X-Coordinate,STARLINK-6294 - X-Coordinate,STARLINK-31522 - X-Coordinate,STARLINK-6197 - X-Coordinate,STARLINK-5076 - X-Coordinate,STARLINK-2197 - X-Coordinate,STARLINK-4787 - X-Coordinate,STARLINK-1271 - X-Coordinate,STARLINK-1999 - X-Coordinate,STARLINK-1565 - X-Coordinate,STARLINK-5566 - X-Coordinate,STARLINK-5202 - X-Coordinate,STARLINK-2523 - X-Coordinate,STARLINK-5435 - X-Coordinate,STARLINK-2589 - X-Coordinate,STARLINK-32129 - X-Coordinate,STARLINK-5046 - X-Coordinate,STARLINK-11254 [DTC] - X-Coordinate,STARLINK-5948 - X-Coordinate,STARLINK-30452 - X-Coordinate,STARLINK-30602 - X-Coordinate,STARLINK-30701 - X-Coordinate,STARLINK-30527 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-1067 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31881 - Y-Coordinate,STARLINK-30961 - Y-Coordinate,STARLINK-31144 - Y-Coordinate,STARLINK-3004 - Y-Coordinate,STARLINK-1039 - Y-Coordinate,STARLINK-3986 - Y-Coordinate,STARLINK-31680 - Y-Coordinate,STARLINK-31075 - Y-Coordinate,STARLINK-4783 - Y-Coordinate,STARLINK-1137 - Y-Coordinate,STARLINK-6324 - Y-Coordinate,STARLINK-3231 - Y-Coordinate,STARLINK-30399 - Y-Coordinate,STARLINK-5593 - Y-Coordinate,STARLINK-6263 - Y-Coordinate,STARLINK-32188 - Y-Coordinate,STARLINK-2252 - Y-Coordinate,STARLINK-30332 - Y-Coordinate,STARLINK-32206 - Y-Coordinate,STARLINK-4017 - Y-Coordinate,STARLINK-5533 - Y-Coordinate,STARLINK-5897 - Y-Coordinate,STARLINK-4616 - Y-Coordinate,STARLINK-5761 - Y-Coordinate,STARLINK-3968 - Y-Coordinate,STARLINK-31849 - Y-Coordinate,STARLINK-3813 - Y-Coordinate,STARLINK-32235 - Y-Coordinate,STARLINK-31437 - Y-Coordinate,STARLINK-31504 - Y-Coordinate,STARLINK-31398 - Y-Coordinate,STARLINK-30582 - Y-Coordinate,STARLINK-11116 [DTC] - Y-Coordinate,STARLINK-1066 - Y-Coordinate,STARLINK-4347 - Y-Coordinate,STARLINK-4599 - Y-Coordinate,STARLINK-31082 - Y-Coordinate,STARLINK-1277 - Y-Coordinate,STARLINK-6060 - Y-Coordinate,STARLINK-3579 - Y-Coordinate,STARLINK-2039 - Y-Coordinate,STARLINK-4373 - Y-Coordinate,STARLINK-4315 - Y-Coordinate,STARLINK-4473 - Y-Coordinate,STARLINK-32032 - Y-Coordinate,STARLINK-6255 - Y-Coordinate,STARLINK-4050 - Y-Coordinate,STARLINK-30253 - Y-Coordinate,STARLINK-30214 - Y-Coordinate,STARLINK-5822 - Y-Coordinate,STARLINK-30238 - Y-Coordinate,STARLINK-32360 - Y-Coordinate,STARLINK-5094 - Y-Coordinate,STARLINK-4370 - Y-Coordinate,STARLINK-4080 - Y-Coordinate,STARLINK-4357 - Y-Coordinate,STARLINK-31280 - Y-Coordinate,STARLINK-30415 - Y-Coordinate,STARLINK-3109 - Y-Coordinate,STARLINK-1681 - Y-Coordinate,STARLINK-31741 - Y-Coordinate,STARLINK-5405 - Y-Coordinate,STARLINK-30895 - Y-Coordinate,STARLINK-4577 - Y-Coordinate,STARLINK-3827 - Y-Coordinate,STARLINK-5473 - Y-Coordinate,STARLINK-4636 - Y-Coordinate,STARLINK-32270 - Y-Coordinate,STARLINK-4295 - Y-Coordinate,STARLINK-5448 - Y-Coordinate,STARLINK-31208 - Y-Coordinate,STARLINK-30150 - Y-Coordinate,STARLINK-30483 - Y-Coordinate,STARLINK-2113 - Y-Coordinate,STARLINK-3350 - Y-Coordinate,STARLINK-31584 - Y-Coordinate,STARLINK-6294 - Y-Coordinate,STARLINK-31522 - Y-Coordinate,STARLINK-6197 - Y-Coordinate,STARLINK-5076 - Y-Coordinate,STARLINK-2197 - Y-Coordinate,STARLINK-4787 - Y-Coordinate,STARLINK-1271 - Y-Coordinate,STARLINK-1999 - Y-Coordinate,STARLINK-1565 - Y-Coordinate,STARLINK-5566 - Y-Coordinate,STARLINK-5202 - Y-Coordinate,STARLINK-2523 - Y-Coordinate,STARLINK-5435 - Y-Coordinate,STARLINK-2589 - Y-Coordinate,STARLINK-32129 - Y-Coordinate,STARLINK-5046 - Y-Coordinate,STARLINK-11254 [DTC] - Y-Coordinate,STARLINK-5948 - Y-Coordinate,STARLINK-30452 - Y-Coordinate,STARLINK-30602 - Y-Coordinate,STARLINK-30701 - Y-Coordinate,STARLINK-30527 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31881 - Z-Coordinate,STARLINK-30961 - Z-Coordinate,STARLINK-31144 - Z-Coordinate,STARLINK-3004 - Z-Coordinate,STARLINK-1039 - Z-Coordinate,STARLINK-3986 - Z-Coordinate,STARLINK-31680 - Z-Coordinate,STARLINK-31075 - Z-Coordinate,STARLINK-4783 - Z-Coordinate,STARLINK-1137 - Z-Coordinate,STARLINK-6324 - Z-Coordinate,STARLINK-3231 - Z-Coordinate,STARLINK-30399 - Z-Coordinate,STARLINK-5593 - Z-Coordinate,STARLINK-6263 - Z-Coordinate,STARLINK-32188 - Z-Coordinate,STARLINK-2252 - Z-Coordinate,STARLINK-30332 - Z-Coordinate,STARLINK-32206 - Z-Coordinate,STARLINK-4017 - Z-Coordinate,STARLINK-5533 - Z-Coordinate,STARLINK-5897 - Z-Coordinate,STARLINK-4616 - Z-Coordinate,STARLINK-5761 - Z-Coordinate,STARLINK-3968 - Z-Coordinate,STARLINK-31849 - Z-Coordinate,STARLINK-3813 - Z-Coordinate,STARLINK-32235 - Z-Coordinate,STARLINK-31437 - Z-Coordinate,STARLINK-31504 - Z-Coordinate,STARLINK-31398 - Z-Coordinate,STARLINK-30582 - Z-Coordinate,STARLINK-11116 [DTC] - Z-Coordinate,STARLINK-1066 - Z-Coordinate,STARLINK-4347 - Z-Coordinate,STARLINK-4599 - Z-Coordinate,STARLINK-31082 - Z-Coordinate,STARLINK-1277 - Z-Coordinate,STARLINK-6060 - Z-Coordinate,STARLINK-3579 - Z-Coordinate,STARLINK-2039 - Z-Coordinate,STARLINK-4373 - Z-Coordinate,STARLINK-4315 - Z-Coordinate,STARLINK-4473 - Z-Coordinate,STARLINK-32032 - Z-Coordinate,STARLINK-6255 - Z-Coordinate,STARLINK-4050 - Z-Coordinate,STARLINK-30253 - Z-Coordinate,STARLINK-30214 - Z-Coordinate,STARLINK-5822 - Z-Coordinate,STARLINK-30238 - Z-Coordinate,STARLINK-32360 - Z-Coordinate,STARLINK-5094 - Z-Coordinate,STARLINK-4370 - Z-Coordinate,STARLINK-4080 - Z-Coordinate,STARLINK-4357 - Z-Coordinate,STARLINK-31280 - Z-Coordinate,STARLINK-30415 - Z-Coordinate,STARLINK-3109 - Z-Coordinate,STARLINK-1681 - Z-Coordinate,STARLINK-31741 - Z-Coordinate,STARLINK-5405 - Z-Coordinate,STARLINK-30895 - Z-Coordinate,STARLINK-4577 - Z-Coordinate,STARLINK-3827 - Z-Coordinate,STARLINK-5473 - Z-Coordinate,STARLINK-4636 - Z-Coordinate,STARLINK-32270 - Z-Coordinate,STARLINK-4295 - Z-Coordinate,STARLINK-5448 - Z-Coordinate,STARLINK-31208 - Z-Coordinate,STARLINK-30150 - Z-Coordinate,STARLINK-30483 - Z-Coordinate,STARLINK-2113 - Z-Coordinate,STARLINK-3350 - Z-Coordinate,STARLINK-31584 - Z-Coordinate,STARLINK-6294 - Z-Coordinate,STARLINK-31522 - Z-Coordinate,STARLINK-6197 - Z-Coordinate,STARLINK-5076 - Z-Coordinate,STARLINK-2197 - Z-Coordinate,STARLINK-4787 - Z-Coordinate,STARLINK-1271 - Z-Coordinate,STARLINK-1999 - Z-Coordinate,STARLINK-1565 - Z-Coordinate,STARLINK-5566 - Z-Coordinate,STARLINK-5202 - Z-Coordinate,STARLINK-2523 - Z-Coordinate,STARLINK-5435 - Z-Coordinate,STARLINK-2589 - Z-Coordinate,STARLINK-32129 - Z-Coordinate,STARLINK-5046 - Z-Coordinate,STARLINK-11254 [DTC] - Z-Coordinate,STARLINK-5948 - Z-Coordinate,STARLINK-30452 - Z-Coordinate,STARLINK-30602 - Z-Coordinate,STARLINK-30701 - Z-Coordinate,STARLINK-30527 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5181.1440,-2743.8918,4569.2957,637.8687,4036.8568,2562.1014,2900.0974,6083.1551,-3528.0855,-5309.5298,-5805.8751,-2722.8879,-5508.9583,5453.0995,-5075.8256,4469.0466,-4181.5112,-4563.2930,786.8764,4791.0875,5439.9471,2581.7721,1483.3772,4930.1272,-6182.1048,5201.8528,-10.1415,-6119.1159,3868.2406,5066.3951,-6322.8623,5123.0854,4772.5129,1595.7750,-2843.4419,-4891.4519,4188.0185,-832.7976,4173.0585,-503.2759,-6099.0596,-2530.7929,519.7881,3625.5244,-4282.0486,5444.7247,-6216.4770,-76.6047,-4666.0944,-4901.6772,-5134.5549,0.0000,2383.5664,5556.4381,4638.1134,5146.7438,-4386.6119,6850.5352,-6038.3479,-1233.8047,-4707.8358,5847.5170,-4310.3914,3903.7782,2321.7224,42.0370,-6523.7496,-877.9897,398.5833,-2166.1886,-3139.1064,-2171.6885,4516.5913,4319.2041,-2382.0044,-2901.1805,5087.9831,6427.8580,2193.6839,898.4299,-5877.2001,-2239.4396,3969.8964,1921.9366,0.0000,4283.1396,6566.9414,2346.6727,3927.9654,355.8164,4759.2063,3674.1297,-469.3336,-6158.1387,922.2407,-5304.7682,3959.4853,-366.4223,5639.4672,-5693.3698,362040.6076,355479.9972,359395.7823,364572.4290,367047.8536,363718.4304,357986.7668,361021.4337,126954332.9652,126916020.4454,126952112.7649,126945907.2090,361986.4366,126952262.1867,1775.5907,4911.1953,4297.2555,5318.9275,-2358.2312,6156.1200,-6142.7582,-717.2238,3170.8085,2794.4232,-1750.1252,-6350.2863,-507.7013,-435.9196,-4021.8403,3480.3682,615.3735,-3586.9281,5813.8299,-1893.5398,1804.7371,-1433.9659,4006.2332,3778.1269,710.0700,-1594.7263,5775.4153,-2783.7141,-5059.1563,799.0343,2284.8291,-931.9788,-3466.6177,-3850.2877,-2065.2321,-4545.8376,-3158.5041,-6746.2917,5215.5397,6635.4965,2671.7763,2748.6872,-771.1286,-3220.8798,439.8452,-3022.8449,-2293.1208,6849.1205,-3846.6565,-1620.5832,-1197.0569,0.0000,-3417.5547,-3657.7830,475.7255,-4526.8094,3639.7472,961.8926,2463.5168,4974.8041,-4277.0156,3251.4139,-4427.9526,-1117.5200,-4259.6436,6159.9424,994.7225,-4128.1671,4541.2385,-3541.6991,4401.7827,5925.3874,5056.8431,-5059.1510,-6146.3592,6112.7417,3022.5948,-1891.9467,1394.8353,-2314.4705,2893.5573,-4228.2097,2331.4563,-3865.6889,0.0000,2865.2939,-1805.2389,-3452.9440,-1356.5637,-4121.7201,513.6537,2392.2064,6066.5396,-1066.1173,-5958.2131,-2666.8785,1863.0225,-4979.3944,-2305.7651,2400.6248,-110823.6642,-88171.8716,-111460.4167,-108791.3309,-99824.4747,-103220.0829,-104930.1044,-107618.5055,177502996.3561,177544018.0341,177535311.0371,177533049.8733,-106406.5806,177521520.7797,-4020.9439,4035.0609,-2574.3637,-4394.5622,-5040.6798,526.0173,-522.9384,3157.8406,-5031.9929,-3214.2498,3333.8352,-10.9817,-3995.7330,-4293.4674,2434.8831,-3783.3172,5455.1160,3655.7355,-3484.3922,-4583.1583,-3898.9438,-6294.5697,-5319.3422,-3056.9502,-2996.3808,-4152.2393,-3742.7444,-484.0207,2499.3847,4429.2268,1096.8717,4596.1101,3061.4412,5538.1013,5963.2837,-1910.9215,-4434.7007,1179.5363,-1965.3240,1746.0073,1869.6853,5830.0816,6864.2703,-4911.8344,5352.0389,3018.9220,-1996.2290,-885.6414,3409.2295,-4617.4962,-4454.9424,0.0000,-5502.6695,-1976.3797,5059.7929,-914.0930,-3466.9419,-152.6580,2349.4831,4178.3953,-2225.3013,1840.2259,-3113.9592,-5356.0342,-4902.3569,-3199.0198,1985.1789,-5374.1935,-5148.8192,-5434.1040,-4098.9399,-2899.4982,-575.4400,1694.7842,2125.3312,-1115.8685,3602.3321,822.1764,-6403.6830,-6446.5804,-1942.7251,4799.9310,5109.1276,5368.4877,0.0000,4585.1360,415.5884,-5270.2905,5476.3807,-5461.4721,-4848.0508,4883.2725,-2636.5334,2934.2304,-3422.1604,-3613.0097,-5275.8381,-4649.7158,-2982.4215,2943.0236,68712.0660,62465.4091,69547.3887,66085.4192,72251.0479,67899.5377,58477.6974,66234.2108,-82869582.6151,-82871009.0528,-82858593.5089,-82877521.0474,67207.2329,-82877945.5200,
300.000,5029.3800,-674.3845,5842.6966,-25.5396,3573.4868,3499.3036,1712.6149,6173.0056,-2731.7125,-3686.5611,-6600.7656,-3686.7994,-4498.3871,6354.3418,-6213.7908,4498.9088,-4030.4041,-5003.8287,2273.9261,4780.9147,6158.3004,2695.4053,3183.8774,5280.6110,-6445.9480,4896.5450,1449.3785,-6410.0290,2233.0116,4774.0313,-5247.5729,4847.2764,4314.7980,-457.1648,-813.0943,-5160.8002,2430.4201,-1975.9311,4118.8717,812.2575,-5732.0024,-4114.8256,2471.8619,2579.5917,-4389.0981,3862.3154,-6813.6118,1441.5794,-5109.7785,-5607.6046,-4961.2454,0.0000,402.8098,6032.4067,3854.3921,4932.6321,-3865.5891,6755.4305,-6136.4334,207.1289,-5210.1605,5988.2812,-5719.2939,3353.7584,1045.5221,757.9145,-5505.8432,-2966.2355,2350.4176,-4033.4508,-1715.3595,-706.8373,5330.2415,3437.7391,-3631.2569,-1489.0519,6276.5399,5951.0569,2460.3440,-825.6429,-4563.0338,-3355.4979,4138.3714,222.0476,0.0000,5498.2841,6014.0514,752.5708,2833.9909,-1783.3928,3901.5949,3928.0713,983.4785,-5597.6441,-749.5451,-5333.4514,5171.0945,-2486.8953,5514.0595,-5547.7730,364581.4547,357308.2919,361423.4351,366383.0530,369189.1389,365823.9764,360154.6840,362920.4940,123051443.3799,123012538.6409,123048669.1267,123042550.3707,364145.7069,123049356.7326,-331.0119,5120.2599,3240.4376,3696.2905,-4250.2868,5211.1237,-6462.4893,-2443.6378,4923.7573,3554.0920,-185.1534,-5562.7285,1160.4166,-1339.2466,-2879.0191,1571.1527,2718.6341,-1600.6934,6144.8054,-3682.9245,2575.6186,-3450.6131,2627.3638,1897.9725,2091.3913,-3532.8145,6349.8559,-1577.8487,-5109.4471,-1356.9021,3528.4631,-2979.0930,-4864.1102,-4507.3492,-1355.1887,-3073.3128,-4398.4152,-5954.5406,4077.2449,5949.4314,3873.2198,3480.8935,345.2532,-1636.0146,2508.5600,-4089.9202,-1181.4003,6338.2451,-1927.5205,335.9330,940.6805,0.0000,-4314.9443,-3418.3556,-1516.5401,-3758.0966,5102.0081,-557.6773,3217.7926,5985.8115,-2528.8654,1540.1338,-3452.3181,-3200.7709,-5651.9340,6793.5383,2129.5594,-3922.0630,4885.1307,-2523.9635,5757.0420,6733.7653,3691.9555,-5943.4935,-5889.0385,6679.0925,1660.5309,-3025.8994,-803.3014,-3573.4097,3678.4780,-2416.6390,186.7346,-5050.5195,0.0000,1176.2403,-2904.3686,-4833.4615,-3244.2475,-4287.0483,-1429.4198,200.6441,5152.3207,747.6941,-6534.7589,-666.6711,217.9494,-4558.0623,-3727.4241,3806.9183,-103387.8160,-80653.4052,-103749.9399,-101134.3534,-92103.2665,-95835.8449,-97226.3154,-99967.7918,180234842.5529,180275075.3222,180267327.1760,180264469.7195,-98744.3946,180253278.3445,-4556.7995,4609.5760,-1148.2404,-5860.9745,-4052.2500,2303.6339,1301.3426,1854.5448,-4013.8187,-4485.3516,2075.3568,1782.8173,-4999.5472,-2486.2134,997.1219,-4867.7030,4899.5869,4408.7024,-1902.4072,-3333.8870,-1868.0054,-5401.5243,-5431.9140,-4055.2550,-1327.1957,-3222.4123,-2220.2065,1348.4644,3960.8407,4613.8853,2528.1869,3985.9043,1386.7122,5246.7381,6737.3783,-3489.0602,-4683.0322,2864.3384,-3860.8844,3353.8076,86.4270,4351.0956,6461.9353,-6190.3959,4651.6526,4028.9529,-217.2894,-2338.0545,4284.2961,-4050.8447,-4705.9404,0.0000,-5371.8797,249.3076,5493.2102,-3062.7819,-1876.4918,1381.1041,265.3353,2808.4242,-3446.6144,3145.9276,-1799.9755,-4866.2313,-3810.8500,-1200.1483,3551.3934,-4744.1042,-4230.6412,-4911.5463,-3152.3638,-1540.5812,-2068.5628,-104.6928,357.4255,433.8562,2423.5867,-1014.3569,-6409.1194,-5855.0498,-3514.4970,5368.4945,5489.1237,4681.9701,0.0000,3997.2006,-1405.3574,-4612.2381,5357.9363,-5037.5784,-5399.2109,5252.5088,-4058.6760,3969.2904,-2187.2329,-4406.5088,-4493.7055,-4425.6646,-1303.0104,1266.0305,68898.4337,62542.1969,69595.6931,66081.2195,72331.5079,68266.3436,58549.0154,66719.5455,-82867910.1812,-82869729.1527,-82857205.0387,-82876410.3801,67301.6071,-82876462.8452,
600.000,4402.9449,1467.7556,6505.0678,-606.0799,2794.4119,4076.7142,332.4557,5665.1469,-1709.2238,-1676.9554,-6758.9969,-4301.1792,-3059.4358,6622.0475,-6743.2638,4113.6726,-3532.2722,-4986.7435,3506.5166,4324.3184,6193.3967,2606.2525,4595.8292,5154.9048,-6071.6606,4127.4646,2739.9469,-6015.3866,342.5066,4031.2259,-3631.0710,4143.1830,3386.1057,-2441.4008,1267.4934,-4956.7411,453.4391,-2953.5102,3692.5883,2082.3981,-4795.4911,-5283.7344,4112.0635,1185.1018,-4102.3605,1906.3915,-6732.6335,2840.7609,-5101.4273,-5800.9375,-4346.5804,0.0000,-1590.1332,5849.5548,2737.4221,4148.7199,-2935.0749,6002.7572,-5607.7841,1593.2146,-5193.1989,5572.7215,-6565.9998,2497.7784,-294.5510,1380.8105,-3937.9974,-4742.6195,4041.4771,-5504.2518,-143.7316,811.5891,5613.3968,2205.4376,-4517.3629,76.6537,6859.7580,4832.3038,2558.5455,-2413.0425,-2769.9992,-4175.5144,3952.0673,-1460.2802,0.0000,6196.9504,4832.7548,-879.2131,1508.2089,-3727.8239,2691.1350,3790.0965,2369.5515,-4513.6277,-2329.9869,-4889.7503,5886.7535,-4358.2288,4815.7622,-4842.3848,366967.9572,358977.9517,363290.6441,368009.5430,371165.6831,367763.5851,362158.5888,364743.7721,119089786.3469,119050308.3209,119086450.8787,119080453.8218,366142.7963,119087687.6570,-2417.3812,4875.9460,1857.5216,1654.4102,-5706.8024,3682.9153,-6113.7173,-3914.8957,6189.7796,3995.2267,1378.7428,-4211.7195,2753.2633,-2075.8839,-1464.8170,-521.4294,4544.0262,551.6414,5849.9079,-5084.7754,3088.9665,-5104.2554,1024.6640,-179.5812,3250.0246,-5104.3463,6294.1824,-186.9868,-4672.2034,-3381.4612,4435.4530,-4733.3038,-5705.7876,-4774.9122,-411.1591,-1277.6642,-5240.5699,-4566.5399,2501.2632,4672.8147,4688.6010,3782.5693,1503.6104,70.8636,4307.7599,-4797.7865,45.4561,5210.1204,185.9133,2236.9673,2994.5856,0.0000,-4835.9739,-2809.7030,-3386.0351,-2609.0507,5987.6984,-2036.0919,3639.3644,6329.0984,-499.1160,-340.4653,-2156.7263,-4942.8632,-6491.8742,6736.1569,3090.5465,-3366.2088,4777.5944,-1300.5401,6525.4231,6894.6492,1936.2794,-6223.5242,-5050.5964,6576.2133,160.5195,-3846.6434,-2907.7059,-4522.5102,4123.7076,-373.4692,-1978.6465,-5763.8339,0.0000,-597.6260,-3717.7908,-5723.2998,-4832.4345,-4070.9486,-3258.2492,-2013.3212,3676.3214,2517.0999,-6487.3986,1412.8462,-1408.8262,-3716.8690,-4743.7385,4811.5150,-95876.4506,-73097.9597,-95994.3122,-93425.7255,-84339.1598,-88438.9742,-89478.4506,-92195.3932,182880894.5779,182920322.8234,182913527.9594,182910062.2146,-91038.4725,182899241.6134,-4575.9496,4689.5385,409.3072,-6701.5578,-2619.6929,3806.9702,2978.6865,349.2664,-2563.3379,-5250.7316,593.6324,3383.6327,-5444.1761,-415.2693,-548.0162,-5404.5056,3814.0315,4675.3640,-106.8208,-1722.1539,362.9941,-3937.2054,-4936.7837,-4618.3550,485.7756,-1934.4011,-454.6888,3023.7089,4981.5582,4271.2369,3674.1500,2952.1771,-456.2511,4395.2660,6790.3842,-4696.2499,-4417.3362,4237.8636,-5349.2103,4594.3005,-1706.1757,2406.0478,5369.7062,-6800.8420,3440.7350,4605.8581,1585.0427,-3537.5194,4703.2022,-3049.9342,-4447.7741,0.0000,-4660.2892,2448.3212,5327.1356,-4881.5296,-60.8798,2765.9830,-1847.2481,1093.9185,-4267.0580,4115.7500,-292.1141,-3807.2781,-2305.5244,926.8077,4730.6586,-3585.0610,-2849.3318,-3842.8364,-1846.1576,-17.4854,-3327.7535,-1892.6628,-1448.8695,1935.5406,985.1170,-2733.4380,-5725.7141,-4632.8113,-4694.1175,5324.3608,5269.3241,3486.2386,0.0000,2975.7198,-3068.6546,-3415.0877,4653.4069,-4056.6866,-5343.7351,4964.6594,-4986.1616,4574.5637,-718.0685,-4732.7159,-3215.0153,-3705.7532,525.3480,-551.7223,69078.8692,62619.2080,69639.5873,66089.6559,72409.5220,68623.0278,58624.4725,67246.6825,-82866241.3799,-82868449.3374,-82855821.8063,-82875299.5675,67395.9388,-82874979.9358,
