sl_100_86400_20310906 Coordinates.csv
2031/09/06 07:47:00.0000 UTC

Generated: Tue Oct  8 21:58:49 2024,
Start: 2031/09/06 07:47:00.00, Stop: 2031/09/07 07:47:00.00,
TIME_UNITS,STARLINK-31475 - X-Coordinate,STARLINK-31471 - X-Coordinate,STARLINK-30857 - X-Coordinate,STARLINK-4102 - X-Coordinate,STARLINK-2637 - X-Coordinate,STARLINK-1395 - X-Coordinate,STARLINK-3277 - X-Coordinate,STARLINK-5605 - X-Coordinate,STARLINK-3749 - X-Coordinate,STARLINK-6049 - X-Coordinate,STARLINK-5856 - X-Coordinate,STARLINK-3660 - X-Coordinate,STARLINK-5238 - X-Coordinate,STARLINK-11253 [DTC] - X-Coordinate,STARLINK-6358 - X-Coordinate,STARLINK-4347 - X-Coordinate,STARLINK-4627 - X-Coordinate,STARLINK-5914 - X-Coordinate,STARLINK-3372 - X-Coordinate,STARLINK-1696 - X-Coordinate,STARLINK-2170 - X-Coordinate,STARLINK-31976 - X-Coordinate,STARLINK-31313 - X-Coordinate,STARLINK-5326 - X-Coordinate,STARLINK-31121 - X-Coordinate,STARLINK-32252 - X-Coordinate,STARLINK-11082 [DTC] - X-Coordinate,STARLINK-1328 - X-Coordinate,STARLINK-1645 - X-Coordinate,STARLINK-31416 - X-Coordinate,STARLINK-30559 - X-Coordinate,STARLINK-3301 - X-Coordinate,STARLINK-5700 - X-Coordinate,STARLINK-31438 - X-Coordinate,STARLINK-1544 - X-Coordinate,STARLINK-5502 - X-Coordinate,STARLINK-30240 - X-Coordinate,STARLINK-11118 [DTC] - X-Coordinate,STARLINK-4210 - X-Coordinate,STARLINK-6334 - X-Coordinate,STARLINK-5565 - X-Coordinate,STARLINK-30545 - X-Coordinate,STARLINK-1404 - X-Coordinate,STARLINK-5161 - X-Coordinate,STARLINK-5114 - X-Coordinate,STARLINK-5697 - X-Coordinate,STARLINK-31666 - X-Coordinate,STARLINK-1761 - X-Coordinate,STARLINK-4324 - X-Coordinate,STARLINK-30070 - X-Coordinate,STARLINK-2064 - X-Coordinate,STARLINK-4317 - X-Coordinate,STARLINK-31002 - X-Coordinate,STARLINK-1960 - X-Coordinate,STARLINK-1733 - X-Coordinate,STARLINK-31660 - X-Coordinate,STARLINK-11162 [DTC] - X-Coordinate,STARLINK-5187 - X-Coordinate,STARLINK-31380 - X-Coordinate,STARLINK-31455 - X-Coordinate,STARLINK-6034 - X-Coordinate,STARLINK-1187 - X-Coordinate,STARLINK-5574 - X-Coordinate,STARLINK-31369 - X-Coordinate,STARLINK-6205 - X-Coordinate,STARLINK-30787 - X-Coordinate,STARLINK-1482 - X-Coordinate,STARLINK-4655 - X-Coordinate,STARLINK-1238 - X-Coordinate,STARLINK-2139 - X-Coordinate,STARLINK-2112 - X-Coordinate,STARLINK-30236 - X-Coordinate,STARLINK-3549 - X-Coordinate,STARLINK-3178 - X-Coordinate,STARLINK-30489 - X-Coordinate,STARLINK-5079 - X-Coordinate,STARLINK-5180 - X-Coordinate,STARLINK-31094 - X-Coordinate,STARLINK-5101 - X-Coordinate,STARLINK-5302 - X-Coordinate,STARLINK-6069 - X-Coordinate,STARLINK-31262 - X-Coordinate,STARLINK-4496 - X-Coordinate,STARLINK-2241 - X-Coordinate,STARLINK-31545 - X-Coordinate,STARLINK-5094 - X-Coordinate,STARLINK-2448 - X-Coordinate,STARLINK-30592 - X-Coordinate,STARLINK-5022 - X-Coordinate,STARLINK-30975 - X-Coordinate,STARLINK-1270 - X-Coordinate,STARLINK-30578 - X-Coordinate,STARLINK-5738 - X-Coordinate,STARLINK-30598 - X-Coordinate,STARLINK-31796 - X-Coordinate,STARLINK-6356 - X-Coordinate,STARLINK-4536 - X-Coordinate,STARLINK-30980 - X-Coordinate,STARLINK-1112 - X-Coordinate,STARLINK-4155 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31475 - Y-Coordinate,STARLINK-31471 - Y-Coordinate,STARLINK-30857 - Y-Coordinate,STARLINK-4102 - Y-Coordinate,STARLINK-2637 - Y-Coordinate,STARLINK-1395 - Y-Coordinate,STARLINK-3277 - Y-Coordinate,STARLINK-5605 - Y-Coordinate,STARLINK-3749 - Y-Coordinate,STARLINK-6049 - Y-Coordinate,STARLINK-5856 - Y-Coordinate,STARLINK-3660 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,STARLINK-11253 [DTC] - Y-Coordinate,STARLINK-6358 - Y-Coordinate,STARLINK-4347 - Y-Coordinate,STARLINK-4627 - Y-Coordinate,STARLINK-5914 - Y-Coordinate,STARLINK-3372 - Y-Coordinate,STARLINK-1696 - Y-Coordinate,STARLINK-2170 - Y-Coordinate,STARLINK-31976 - Y-Coordinate,STARLINK-31313 - Y-Coordinate,STARLINK-5326 - Y-Coordinate,STARLINK-31121 - Y-Coordinate,STARLINK-32252 - Y-Coordinate,STARLINK-11082 [DTC] - Y-Coordinate,STARLINK-1328 - Y-Coordinate,STARLINK-1645 - Y-Coordinate,STARLINK-31416 - Y-Coordinate,STARLINK-30559 - Y-Coordinate,STARLINK-3301 - Y-Coordinate,STARLINK-5700 - Y-Coordinate,STARLINK-31438 - Y-Coordinate,STARLINK-1544 - Y-Coordinate,STARLINK-5502 - Y-Coordinate,STARLINK-30240 - Y-Coordinate,STARLINK-11118 [DTC] - Y-Coordinate,STARLINK-4210 - Y-Coordinate,STARLINK-6334 - Y-Coordinate,STARLINK-5565 - Y-Coordinate,STARLINK-30545 - Y-Coordinate,STARLINK-1404 - Y-Coordinate,STARLINK-5161 - Y-Coordinate,STARLINK-5114 - Y-Coordinate,STARLINK-5697 - Y-Coordinate,STARLINK-31666 - Y-Coordinate,STARLINK-1761 - Y-Coordinate,STARLINK-4324 - Y-Coordinate,STARLINK-30070 - Y-Coordinate,STARLINK-2064 - Y-Coordinate,STARLINK-4317 - Y-Coordinate,STARLINK-31002 - Y-Coordinate,STARLINK-1960 - Y-Coordinate,STARLINK-1733 - Y-Coordinate,STARLINK-31660 - Y-Coordinate,STARLINK-11162 [DTC] - Y-Coordinate,STARLINK-5187 - Y-Coordinate,STARLINK-31380 - Y-Coordinate,STARLINK-31455 - Y-Coordinate,STARLINK-6034 - Y-Coordinate,STARLINK-1187 - Y-Coordinate,STARLINK-5574 - Y-Coordinate,STARLINK-31369 - Y-Coordinate,STARLINK-6205 - Y-Coordinate,STARLINK-30787 - Y-Coordinate,STARLINK-1482 - Y-Coordinate,STARLINK-4655 - Y-Coordinate,STARLINK-1238 - Y-Coordinate,STARLINK-2139 - Y-Coordinate,STARLINK-2112 - Y-Coordinate,STARLINK-30236 - Y-Coordinate,STARLINK-3549 - Y-Coordinate,STARLINK-3178 - Y-Coordinate,STARLINK-30489 - Y-Coordinate,STARLINK-5079 - Y-Coordinate,STARLINK-5180 - Y-Coordinate,STARLINK-31094 - Y-Coordinate,STARLINK-5101 - Y-Coordinate,STARLINK-5302 - Y-Coordinate,STARLINK-6069 - Y-Coordinate,STARLINK-31262 - Y-Coordinate,STARLINK-4496 - Y-Coordinate,STARLINK-2241 - Y-Coordinate,STARLINK-31545 - Y-Coordinate,STARLINK-5094 - Y-Coordinate,STARLINK-2448 - Y-Coordinate,STARLINK-30592 - Y-Coordinate,STARLINK-5022 - Y-Coordinate,STARLINK-30975 - Y-Coordinate,STARLINK-1270 - Y-Coordinate,STARLINK-30578 - Y-Coordinate,STARLINK-5738 - Y-Coordinate,STARLINK-30598 - Y-Coordinate,STARLINK-31796 - Y-Coordinate,STARLINK-6356 - Y-Coordinate,STARLINK-4536 - Y-Coordinate,STARLINK-30980 - Y-Coordinate,STARLINK-1112 - Y-Coordinate,STARLINK-4155 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31475 - Z-Coordinate,STARLINK-31471 - Z-Coordinate,STARLINK-30857 - Z-Coordinate,STARLINK-4102 - Z-Coordinate,STARLINK-2637 - Z-Coordinate,STARLINK-1395 - Z-Coordinate,STARLINK-3277 - Z-Coordinate,STARLINK-5605 - Z-Coordinate,STARLINK-3749 - Z-Coordinate,STARLINK-6049 - Z-Coordinate,STARLINK-5856 - Z-Coordinate,STARLINK-3660 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,STARLINK-11253 [DTC] - Z-Coordinate,STARLINK-6358 - Z-Coordinate,STARLINK-4347 - Z-Coordinate,STARLINK-4627 - Z-Coordinate,STARLINK-5914 - Z-Coordinate,STARLINK-3372 - Z-Coordinate,STARLINK-1696 - Z-Coordinate,STARLINK-2170 - Z-Coordinate,STARLINK-31976 - Z-Coordinate,STARLINK-31313 - Z-Coordinate,STARLINK-5326 - Z-Coordinate,STARLINK-31121 - Z-Coordinate,STARLINK-32252 - Z-Coordinate,STARLINK-11082 [DTC] - Z-Coordinate,STARLINK-1328 - Z-Coordinate,STARLINK-1645 - Z-Coordinate,STARLINK-31416 - Z-Coordinate,STARLINK-30559 - Z-Coordinate,STARLINK-3301 - Z-Coordinate,STARLINK-5700 - Z-Coordinate,STARLINK-31438 - Z-Coordinate,STARLINK-1544 - Z-Coordinate,STARLINK-5502 - Z-Coordinate,STARLINK-30240 - Z-Coordinate,STARLINK-11118 [DTC] - Z-Coordinate,STARLINK-4210 - Z-Coordinate,STARLINK-6334 - Z-Coordinate,STARLINK-5565 - Z-Coordinate,STARLINK-30545 - Z-Coordinate,STARLINK-1404 - Z-Coordinate,STARLINK-5161 - Z-Coordinate,STARLINK-5114 - Z-Coordinate,STARLINK-5697 - Z-Coordinate,STARLINK-31666 - Z-Coordinate,STARLINK-1761 - Z-Coordinate,STARLINK-4324 - Z-Coordinate,STARLINK-30070 - Z-Coordinate,STARLINK-2064 - Z-Coordinate,STARLINK-4317 - Z-Coordinate,STARLINK-31002 - Z-Coordinate,STARLINK-1960 - Z-Coordinate,STARLINK-1733 - Z-Coordinate,STARLINK-31660 - Z-Coordinate,STARLINK-11162 [DTC] - Z-Coordinate,STARLINK-5187 - Z-Coordinate,STARLINK-31380 - Z-Coordinate,STARLINK-31455 - Z-Coordinate,STARLINK-6034 - Z-Coordinate,STARLINK-1187 - Z-Coordinate,STARLINK-5574 - Z-Coordinate,STARLINK-31369 - Z-Coordinate,STARLINK-6205 - Z-Coordinate,STARLINK-30787 - Z-Coordinate,STARLINK-1482 - Z-Coordinate,STARLINK-4655 - Z-Coordinate,STARLINK-1238 - Z-Coordinate,STARLINK-2139 - Z-Coordinate,STARLINK-2112 - Z-Coordinate,STARLINK-30236 - Z-Coordinate,STARLINK-3549 - Z-Coordinate,STARLINK-3178 - Z-Coordinate,STARLINK-30489 - Z-Coordinate,STARLINK-5079 - Z-Coordinate,STARLINK-5180 - Z-Coordinate,STARLINK-31094 - Z-Coordinate,STARLINK-5101 - Z-Coordinate,STARLINK-5302 - Z-Coordinate,STARLINK-6069 - Z-Coordinate,STARLINK-31262 - Z-Coordinate,STARLINK-4496 - Z-Coordinate,STARLINK-2241 - Z-Coordinate,STARLINK-31545 - Z-Coordinate,STARLINK-5094 - Z-Coordinate,STARLINK-2448 - Z-Coordinate,STARLINK-30592 - Z-Coordinate,STARLINK-5022 - Z-Coordinate,STARLINK-30975 - Z-Coordinate,STARLINK-1270 - Z-Coordinate,STARLINK-30578 - Z-Coordinate,STARLINK-5738 - Z-Coordinate,STARLINK-30598 - Z-Coordinate,STARLINK-31796 - Z-Coordinate,STARLINK-6356 - Z-Coordinate,STARLINK-4536 - Z-Coordinate,STARLINK-30980 - Z-Coordinate,STARLINK-1112 - Z-Coordinate,STARLINK-4155 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4420.1394,0.0000,-1275.4860,-4920.2883,3615.8710,-1038.2159,4275.8382,2675.6257,-3661.1804,5610.0986,-2956.4472,-718.9740,6300.0301,6657.1104,1359.6845,-4943.4890,-2189.9879,-4110.8111,-645.1726,-3125.2880,-662.0696,6556.8134,-6154.5456,-4225.1039,1314.0450,0.0000,-4025.2952,-2721.2932,821.7240,-85.1173,-3497.7476,4158.6481,-1194.1050,-4952.6103,4362.7988,4711.9679,-2050.5526,-1255.8057,-3259.0743,-4176.9177,-4544.0316,-3573.9089,-36.2412,4457.1912,-3176.7022,5046.5494,0.0000,6399.5135,-2768.7650,4753.6499,2165.3184,-2009.2110,4609.4749,4984.0036,2803.7284,3827.1148,0.0000,4266.3475,-1627.9922,-4932.2941,-6396.9466,-6317.3944,106.9711,-1880.1988,-2476.0091,-5429.1133,4996.4406,-4266.7408,6268.7435,4618.0426,276.7205,-3066.2687,3643.8418,-1101.6920,4653.7551,-3322.5034,6443.5218,5168.2050,4984.0858,3330.0024,2616.5040,5075.5543,1707.0544,-6264.5932,-3993.6968,-5168.0790,3961.0530,3408.7436,-4358.8913,-3543.8835,-2904.5019,4159.0274,-4525.7409,-4963.6602,-1595.3783,1811.4164,-50.3645,5790.1660,2568.2925,-3095.5811,-200254.1654,-194300.3041,-203905.6694,-200129.0827,-190988.2442,-194660.6088,-197757.9703,-198357.7977,121796366.5993,121830253.9580,121830279.0610,121808867.2035,-198353.1969,121814168.9258,-2333.6726,0.0000,-4886.8988,4665.2189,-4584.2163,-6839.8983,5424.1812,6261.9428,-5226.2052,-2029.2921,-3614.1661,4133.6878,-129.7142,-456.4451,5410.0952,-1457.3652,-6478.0260,-4724.6069,-4190.4836,-3504.7643,-4550.6311,1139.5044,-2471.6614,1114.8072,-6243.6668,0.0000,400.7708,-3462.9756,-4333.3707,6750.6561,5894.7695,5353.7098,5190.2934,-4651.6707,-4472.7390,-2894.9105,-5912.9673,-4791.2636,-5934.6110,5184.3720,4250.2628,-3659.6137,-5874.3613,-4584.8290,4035.8426,1968.9376,0.0000,-43.7639,-2843.8213,2011.1712,-6212.7623,-2429.0942,2296.8502,4344.8623,-3831.8729,-3522.6266,0.0000,-3015.0317,-6243.8194,841.7420,647.2054,-1981.0692,5067.0601,-3538.5449,5607.0597,1982.7266,51.8414,529.3066,1845.1804,121.4890,-4381.9254,5833.9368,2321.8683,-6122.4351,-5097.1547,5714.4998,847.2526,2728.5409,-2362.5485,-3820.4661,-5283.7536,-2120.7043,4335.4039,-2449.3820,-4407.9823,2168.7444,1750.0934,2786.1462,2902.1767,5745.6809,-3823.4957,3501.9435,-2734.6872,-1894.7361,5842.3407,4718.0168,-6423.3030,-3702.4843,5147.3095,-3376.1009,-333084.7893,-304140.0715,-313608.9146,-317947.7443,-318267.9713,-315744.0666,-310519.5241,-313503.0103,91667441.4513,91711028.3020,91676469.3746,91671577.6300,-314637.6851,91670246.9618,-4653.9055,0.0000,4685.9675,1318.2609,3563.0852,-9.9385,324.3482,-1362.5227,2616.2096,-3555.3272,5113.3583,-5449.1650,-2827.3147,-53.8792,4088.8857,-4639.6391,-982.1810,2976.1789,5455.4285,-4736.8802,-5113.8849,-1328.4651,-1700.0645,-5390.7470,-2165.3126,0.0000,5295.0260,5294.1503,-5079.7533,-400.1787,-805.2108,-1390.0809,-4449.2290,-945.2574,2788.5709,4189.4819,-2939.6713,4534.9401,-1502.5464,-1836.5078,-2985.7325,4683.9767,3480.1250,2589.8235,-4638.7759,4298.0307,0.0000,-2518.0669,5691.2369,-4554.2245,1749.4980,6180.9887,-4668.1588,1832.2233,4866.9734,4332.4429,0.0000,4492.9732,-2206.3085,-4662.0835,2396.5334,1915.0122,4688.1674,5260.9339,-3241.3426,3806.4532,-4628.5831,-5424.9216,2122.9111,-5124.7513,5307.0447,2034.7028,-5396.1039,-2955.8138,363.8096,-2015.7777,-2326.5341,-3662.7161,-4201.6901,-4716.2886,-3740.3739,-4201.9524,-5047.7026,-949.0249,3298.7910,-4029.9919,-5329.1592,5233.5428,-4507.5427,1345.0253,4940.1052,-4326.5187,-4460.1585,4447.9386,-2970.0126,-4647.8450,2506.8799,912.5391,3728.7515,5140.6901,117946.4381,115784.9660,117837.8139,114460.3990,120567.9660,115837.9667,106668.9779,116835.4866,-66489094.0199,-66493611.5236,-66481118.1377,-66504840.8570,115421.0478,-66498716.2260,
3600.000,5995.8075,0.0000,5046.6021,1936.5205,-2384.4423,2463.1239,-4560.6628,-2239.0184,4063.8457,-6331.3220,4917.8873,-3100.0523,-6470.7272,-4062.4967,-4432.6197,5384.3740,3288.7443,4456.3955,4431.8637,4502.2811,4046.8357,-5961.7223,6461.5350,6306.3865,1684.8785,0.0000,3680.8253,5052.1740,4274.3644,-2840.3270,1525.8910,-4939.3402,-1958.7627,5332.3252,-304.7442,-5721.2455,4449.7081,4554.3068,4276.0141,2105.2302,4616.6770,5827.8033,2110.6303,-811.8470,2003.6198,-4898.1687,0.0000,-6325.3326,-1541.4517,-5203.3516,-174.4770,-2118.5570,-5551.1951,-4492.8794,2126.6022,602.7290,0.0000,-33.8083,3345.9815,3660.7432,5839.8916,6411.9589,-3964.3399,5905.7404,-1322.5253,4953.4538,-6161.2546,2578.2092,-4325.7520,-2705.0272,4010.4128,865.7704,-6320.7375,3158.3677,-2180.3263,1793.9962,-6253.2794,-6877.5182,-4130.2868,-226.3997,-2932.4711,-5235.8005,-4689.2239,4745.7467,6304.0187,5242.7244,-4367.9318,-4780.6937,199.4683,173.3834,5971.8510,-5343.1298,5334.3692,6565.1660,-1443.8445,-5516.5599,1676.2951,-3044.4979,-4010.7831,4738.4479,-109529.6575,-110631.7212,-118571.9929,-114950.6411,-105379.6475,-114544.9355,-112172.9679,-113355.9487,93909701.9412,93932101.5077,93941485.6180,93922861.4148,-113289.2966,93926589.3333,-1674.6949,0.0000,3243.3477,-4547.2655,6355.4537,5066.9121,-2997.9473,-3617.9199,1564.8468,2499.0000,4829.6701,-5352.7945,1820.9969,2695.7981,-5196.9511,4338.0955,3908.2782,4906.1364,4314.0742,-1923.9364,5234.3893,1693.8187,-99.7370,-2655.4092,6161.3017,0.0000,-5116.1402,-358.3978,2929.8052,-4680.5671,-5760.2826,-3853.2110,-6359.1094,1357.6518,4199.1372,3884.0172,5243.8416,584.2167,4694.1454,-6282.2697,-4631.8958,392.9687,6415.3902,4293.5776,-6547.6238,2200.9211,0.0000,1785.0377,-408.2045,2293.6303,6128.7295,-1167.3461,1552.4805,-877.0745,4220.4331,5546.3543,0.0000,4292.0623,2719.5323,-4959.2542,1690.1781,333.6890,-4865.2310,-49.8953,-4891.2507,-4800.5163,2833.7294,-4521.6045,1181.3520,3953.4206,3126.6278,-6619.6255,252.9530,2797.5524,5739.1580,-6225.8502,-609.0623,-389.6288,5395.4833,6176.7040,6257.9568,4515.3077,-749.9801,-555.6021,2506.2989,-4485.3093,2831.0672,1717.8042,-4274.8242,-5414.0987,3083.3487,359.4627,-1377.6332,-1064.4598,-6473.6265,-3139.5011,6410.4372,4803.8361,-1001.8687,-830.9636,-372619.7560,-341549.7090,-351643.1417,-352578.9646,-357453.0200,-355244.3991,-350079.0148,-355168.7583,120115619.7295,120162735.0774,120131593.6008,120111710.5416,-354274.7525,120118027.1266,2789.3286,0.0000,-3407.3555,-4835.1721,878.6905,-4018.3897,-4253.9538,5474.2472,-5358.9840,-1389.0709,-702.1873,2986.2603,-1583.5955,-4561.6234,-1130.6421,-425.6761,4638.0740,2029.4438,-3105.0363,4514.4356,1851.2025,-2767.6568,-2263.4789,1148.9711,-2144.2964,0.0000,-2194.5841,-4684.0171,4274.0121,3960.2118,-3487.1601,-2946.3297,1950.7530,4083.5040,-5403.5728,573.6792,-692.2810,-4916.1676,-2795.0941,-1947.8076,-2216.5431,-3757.1789,1033.2189,-5349.9016,972.0558,-4370.9040,0.0000,-2020.0393,-6766.5186,3863.5300,2955.6196,-6517.6885,3870.3908,-5118.2350,-4903.5789,-3850.5589,0.0000,-5405.0925,5268.6542,2947.1925,3190.4423,2507.0317,-2899.3143,-2999.5818,4720.9046,-633.1584,577.2450,4545.1033,-5213.5963,4950.3575,-4663.3505,1735.9382,2767.4322,5428.9288,3168.3397,-2406.9533,-2871.1619,268.6843,1354.4875,3101.7886,-1000.7867,259.2441,4947.2964,4817.8130,540.9398,-75.3753,4462.0111,-4595.4821,5408.2677,-4255.2301,-1557.3721,4413.5946,4169.1602,-1972.9497,-1219.6207,2599.9790,1910.2265,-3969.8177,-5479.8269,-4943.2641,118475.0863,116038.3519,117875.5975,115259.7804,121053.4389,118162.0514,107363.0057,114632.5027,-66513192.5854,-66521802.7883,-66509031.0102,-66523906.8370,116173.5922,-66524435.4053,
7200.000,-5188.3756,0.0000,-6801.8020,2415.7178,-365.4774,-3988.4324,4007.0029,2568.1285,-4232.4868,3672.7440,-4143.8300,4788.4956,3636.8458,-1215.3981,5606.0683,-2143.2937,-4340.4646,-3076.8770,-5915.0186,-4060.5602,-5059.3523,2340.2119,-3958.8644,-5296.9977,-4289.9276,0.0000,-1333.5697,-6096.5046,-6627.9997,5272.8592,1941.5145,4281.5058,3950.3690,-4343.6011,-4233.4947,3680.9734,-5199.6055,-6030.9375,-4216.6860,1212.0411,-1627.6997,-6524.1857,-3410.5900,-3570.5951,-258.6275,3950.5906,0.0000,3144.3216,2929.6386,4403.3197,-2835.0362,2994.0953,5348.0504,3253.1934,-5528.7064,-4060.8958,0.0000,-3653.3663,-4903.4581,-1469.0146,-969.1543,-3787.6687,5968.9501,-5583.2856,4967.8627,-2669.6567,3955.6794,-1130.1239,1438.6428,1020.8654,-6575.1446,2134.4744,6447.1355,-5253.7354,-1662.8513,1147.1179,2851.9301,5712.7306,2036.0843,-2251.9580,1577.9106,3149.1080,6397.8581,-1572.9531,-5460.8406,-2895.8140,3965.4047,4972.0110,3424.7757,3839.6835,-6128.9436,5609.4556,-5057.9421,-5914.3051,3970.7709,6690.7408,-3143.5382,-1004.7780,5080.4733,-5482.9162,-11908.2360,-20703.4564,-25709.1341,-20171.1434,-12846.0970,-25404.4047,-19482.4021,-21014.6593,59599179.0716,59609536.2139,59626072.8594,59619320.2319,-21010.3753,59615533.2508,4282.9293,0.0000,-1132.1387,3754.0638,-4953.2048,-1198.1262,-1217.9814,-1001.6846,2870.7886,-2135.0390,-3679.2954,4698.5117,-3136.7152,-4546.3137,3165.2221,-4053.9695,370.1498,-2115.5515,-3380.6514,5285.9378,-3821.4881,-4372.2042,3183.0893,2439.5099,-2469.0926,0.0000,5774.6469,3058.5650,-1083.5629,366.3884,3666.6985,198.2636,5438.9622,3007.0299,-3439.4113,-3065.1750,-2391.1104,2835.0111,-1132.8735,5119.5205,3044.0057,2296.7491,-3455.1431,-3627.0341,6082.8206,-5415.4873,0.0000,-3264.6683,4970.0688,-5254.2986,-2998.5486,5486.9977,-4363.8735,-3615.2283,-3799.6127,-5419.6692,0.0000,-5138.6899,1839.2683,6611.4570,-1498.1794,2224.1426,3402.0457,2594.8846,3496.4943,5672.0639,-3932.1503,6770.7646,-4758.9407,-6637.3910,-1835.6070,4872.2013,-1894.7322,1114.5391,-4778.6262,4302.0633,-951.5480,-2015.3401,-6209.6233,-6528.7413,-4417.1918,-4828.8625,-2024.4442,4436.7953,840.2506,4722.9730,-5578.1712,-4661.9217,5263.4761,3739.4569,-1346.7709,-3630.5823,4543.1171,3193.0565,3289.2072,876.3145,-3401.9197,-5076.6950,-3113.5934,3901.0727,-387768.1065,-356897.1096,-367440.0097,-367080.2106,-373875.2199,-371902.9873,-366831.2308,-370518.7198,140372702.7677,140419925.2550,140394231.9652,140369852.6782,-371360.2984,140374332.2759,1140.5016,0.0000,-112.4540,5262.9524,-4715.5554,5512.7165,5492.0629,-6373.6085,4622.3067,5482.8106,-4167.9863,1483.2922,4948.8020,4722.0703,-2548.0903,5185.4649,-5365.8663,-5849.3026,-1211.0852,96.2337,2645.6796,4621.0926,4578.3548,3746.0623,4558.7688,0.0000,-3068.6811,992.6976,313.5465,-4223.9398,5503.5648,5420.5362,1706.4547,-4385.2673,4127.1127,-5029.8344,3866.6838,876.7733,5375.6749,4462.0129,5965.9867,575.8838,-4813.3958,4653.1262,3271.7178,1710.9823,0.0000,5158.2055,3857.9102,-588.0501,-5422.8924,3022.1416,-809.9469,4831.6522,1140.3005,204.6126,0.0000,2789.0969,-4369.1172,912.2160,-6635.9807,-5320.1104,-747.3775,-2442.5255,-3343.9823,-2948.7224,3893.2616,-855.3176,4735.1931,-1577.2437,958.8496,-4400.5300,1591.7825,-4313.0563,-4714.7720,5271.9171,6204.5378,3282.1520,2301.0442,429.0730,5159.8539,3813.8583,-1453.7060,-4901.6591,-3980.2604,4101.7335,-522.1605,646.6430,-2877.9591,4312.1041,-2865.5933,-1907.0931,-1270.3053,-1712.2395,4335.2158,1241.0321,-5118.4303,4604.5712,3389.2507,1488.3835,118971.5710,116284.4200,117446.8930,118607.8639,121199.9402,115404.2927,108640.0864,118509.4342,-66538012.7732,-66550003.6393,-66537462.3304,-66543326.7620,116915.7815,-66550148.0975,
