sl_100_5400_20310909 Coordinates.csv
2031/09/09 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:46 2024,
Start: 2031/09/09 07:47:00.00, Stop: 2031/09/09 09:17:00.00,
TIME_UNITS,STARLINK-3112 - X-Coordinate,STARLINK-1221 - X-Coordinate,STARLINK-2308 - X-Coordinate,STARLINK-3335 - X-Coordinate,STARLINK-3923 - X-Coordinate,STARLINK-31181 - X-Coordinate,STARLINK-31462 - X-Coordinate,STARLINK-2542 - X-Coordinate,STARLINK-11244 [DTC] - X-Coordinate,STARLINK-11189 [DTC] - X-Coordinate,STARLINK-5293 - X-Coordinate,STARLINK-31150 - X-Coordinate,STARLINK-30525 - X-Coordinate,STARLINK-5940 - X-Coordinate,STARLINK-6261 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-31297 - X-Coordinate,STARLINK-6148 - X-Coordinate,STARLINK-1720 - X-Coordinate,STARLINK-31699 - X-Coordinate,STARLINK-2421 - X-Coordinate,STARLINK-4622 - X-Coordinate,STARLINK-3599 - X-Coordinate,STARLINK-1695 - X-Coordinate,STARLINK-6378 - X-Coordinate,STARLINK-4150 - X-Coordinate,STARLINK-31668 - X-Coordinate,STARLINK-5408 - X-Coordinate,STARLINK-5148 - X-Coordinate,STARLINK-31927 - X-Coordinate,STARLINK-3182 - X-Coordinate,STARLINK-4202 - X-Coordinate,STARLINK-11149 [DTC] - X-Coordinate,STARLINK-6313 - X-Coordinate,STARLINK-31794 - X-Coordinate,STARLINK-32002 - X-Coordinate,STARLINK-3236 - X-Coordinate,STARLINK-2546 - X-Coordinate,STARLINK-3700 - X-Coordinate,STARLINK-5143 - X-Coordinate,STARLINK-5724 - X-Coordinate,STARLINK-31162 - X-Coordinate,STARLINK-3633 - X-Coordinate,STARLINK-1538 - X-Coordinate,STARLINK-31189 - X-Coordinate,STARLINK-1202 - X-Coordinate,STARLINK-4410 - X-Coordinate,STARLINK-4022 - X-Coordinate,STARLINK-2582 - X-Coordinate,STARLINK-5636 - X-Coordinate,STARLINK-32044 - X-Coordinate,STARLINK-3144 - X-Coordinate,STARLINK-4043 - X-Coordinate,STARLINK-5569 - X-Coordinate,STARLINK-4415 - X-Coordinate,STARLINK-6095 - X-Coordinate,STARLINK-31744 - X-Coordinate,STARLINK-4682 - X-Coordinate,STARLINK-30146 - X-Coordinate,STARLINK-1468 - X-Coordinate,STARLINK-32277 - X-Coordinate,STARLINK-5305 - X-Coordinate,STARLINK-1304 - X-Coordinate,STARLINK-2467 - X-Coordinate,STARLINK-5809 - X-Coordinate,STARLINK-32211 - X-Coordinate,STARLINK-3685 - X-Coordinate,STARLINK-2156 - X-Coordinate,STARLINK-5493 - X-Coordinate,STARLINK-4483 - X-Coordinate,STARLINK-3978 - X-Coordinate,STARLINK-31288 - X-Coordinate,STARLINK-4314 - X-Coordinate,STARLINK-31151 - X-Coordinate,STARLINK-31636 - X-Coordinate,STARLINK-31503 - X-Coordinate,STARLINK-3198 - X-Coordinate,STARLINK-31692 - X-Coordinate,STARLINK-31278 - X-Coordinate,STARLINK-30496 - X-Coordinate,STARLINK-5745 - X-Coordinate,STARLINK-2603 - X-Coordinate,STARLINK-2594 - X-Coordinate,STARLINK-2242 - X-Coordinate,STARLINK-1094 - X-Coordinate,STARLINK-31966 - X-Coordinate,STARLINK-31628 - X-Coordinate,STARLINK-5645 - X-Coordinate,STARLINK-5381 - X-Coordinate,STARLINK-2025 - X-Coordinate,STARLINK-30759 - X-Coordinate,STARLINK-1010 - X-Coordinate,STARLINK-3739 - X-Coordinate,STARLINK-5277 - X-Coordinate,STARLINK-31565 - X-Coordinate,STARLINK-4575 - X-Coordinate,STARLINK-3514 - X-Coordinate,STARLINK-31500 - X-Coordinate,STARLINK-32226 - X-Coordinate,STARLINK-6227 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3112 - Y-Coordinate,STARLINK-1221 - Y-Coordinate,STARLINK-2308 - Y-Coordinate,STARLINK-3335 - Y-Coordinate,STARLINK-3923 - Y-Coordinate,STARLINK-31181 - Y-Coordinate,STARLINK-31462 - Y-Coordinate,STARLINK-2542 - Y-Coordinate,STARLINK-11244 [DTC] - Y-Coordinate,STARLINK-11189 [DTC] - Y-Coordinate,STARLINK-5293 - Y-Coordinate,STARLINK-31150 - Y-Coordinate,STARLINK-30525 - Y-Coordinate,STARLINK-5940 - Y-Coordinate,STARLINK-6261 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-31297 - Y-Coordinate,STARLINK-6148 - Y-Coordinate,STARLINK-1720 - Y-Coordinate,STARLINK-31699 - Y-Coordinate,STARLINK-2421 - Y-Coordinate,STARLINK-4622 - Y-Coordinate,STARLINK-3599 - Y-Coordinate,STARLINK-1695 - Y-Coordinate,STARLINK-6378 - Y-Coordinate,STARLINK-4150 - Y-Coordinate,STARLINK-31668 - Y-Coordinate,STARLINK-5408 - Y-Coordinate,STARLINK-5148 - Y-Coordinate,STARLINK-31927 - Y-Coordinate,STARLINK-3182 - Y-Coordinate,STARLINK-4202 - Y-Coordinate,STARLINK-11149 [DTC] - Y-Coordinate,STARLINK-6313 - Y-Coordinate,STARLINK-31794 - Y-Coordinate,STARLINK-32002 - Y-Coordinate,STARLINK-3236 - Y-Coordinate,STARLINK-2546 - Y-Coordinate,STARLINK-3700 - Y-Coordinate,STARLINK-5143 - Y-Coordinate,STARLINK-5724 - Y-Coordinate,STARLINK-31162 - Y-Coordinate,STARLINK-3633 - Y-Coordinate,STARLINK-1538 - Y-Coordinate,STARLINK-31189 - Y-Coordinate,STARLINK-1202 - Y-Coordinate,STARLINK-4410 - Y-Coordinate,STARLINK-4022 - Y-Coordinate,STARLINK-2582 - Y-Coordinate,STARLINK-5636 - Y-Coordinate,STARLINK-32044 - Y-Coordinate,STARLINK-3144 - Y-Coordinate,STARLINK-4043 - Y-Coordinate,STARLINK-5569 - Y-Coordinate,STARLINK-4415 - Y-Coordinate,STARLINK-6095 - Y-Coordinate,STARLINK-31744 - Y-Coordinate,STARLINK-4682 - Y-Coordinate,STARLINK-30146 - Y-Coordinate,STARLINK-1468 - Y-Coordinate,STARLINK-32277 - Y-Coordinate,STARLINK-5305 - Y-Coordinate,STARLINK-1304 - Y-Coordinate,STARLINK-2467 - Y-Coordinate,STARLINK-5809 - Y-Coordinate,STARLINK-32211 - Y-Coordinate,STARLINK-3685 - Y-Coordinate,STARLINK-2156 - Y-Coordinate,STARLINK-5493 - Y-Coordinate,STARLINK-4483 - Y-Coordinate,STARLINK-3978 - Y-Coordinate,STARLINK-31288 - Y-Coordinate,STARLINK-4314 - Y-Coordinate,STARLINK-31151 - Y-Coordinate,STARLINK-31636 - Y-Coordinate,STARLINK-31503 - Y-Coordinate,STARLINK-3198 - Y-Coordinate,STARLINK-31692 - Y-Coordinate,STARLINK-31278 - Y-Coordinate,STARLINK-30496 - Y-Coordinate,STARLINK-5745 - Y-Coordinate,STARLINK-2603 - Y-Coordinate,STARLINK-2594 - Y-Coordinate,STARLINK-2242 - Y-Coordinate,STARLINK-1094 - Y-Coordinate,STARLINK-31966 - Y-Coordinate,STARLINK-31628 - Y-Coordinate,STARLINK-5645 - Y-Coordinate,STARLINK-5381 - Y-Coordinate,STARLINK-2025 - Y-Coordinate,STARLINK-30759 - Y-Coordinate,STARLINK-1010 - Y-Coordinate,STARLINK-3739 - Y-Coordinate,STARLINK-5277 - Y-Coordinate,STARLINK-31565 - Y-Coordinate,STARLINK-4575 - Y-Coordinate,STARLINK-3514 - Y-Coordinate,STARLINK-31500 - Y-Coordinate,STARLINK-32226 - Y-Coordinate,STARLINK-6227 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3112 - Z-Coordinate,STARLINK-1221 - Z-Coordinate,STARLINK-2308 - Z-Coordinate,STARLINK-3335 - Z-Coordinate,STARLINK-3923 - Z-Coordinate,STARLINK-31181 - Z-Coordinate,STARLINK-31462 - Z-Coordinate,STARLINK-2542 - Z-Coordinate,STARLINK-11244 [DTC] - Z-Coordinate,STARLINK-11189 [DTC] - Z-Coordinate,STARLINK-5293 - Z-Coordinate,STARLINK-31150 - Z-Coordinate,STARLINK-30525 - Z-Coordinate,STARLINK-5940 - Z-Coordinate,STARLINK-6261 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-31297 - Z-Coordinate,STARLINK-6148 - Z-Coordinate,STARLINK-1720 - Z-Coordinate,STARLINK-31699 - Z-Coordinate,STARLINK-2421 - Z-Coordinate,STARLINK-4622 - Z-Coordinate,STARLINK-3599 - Z-Coordinate,STARLINK-1695 - Z-Coordinate,STARLINK-6378 - Z-Coordinate,STARLINK-4150 - Z-Coordinate,STARLINK-31668 - Z-Coordinate,STARLINK-5408 - Z-Coordinate,STARLINK-5148 - Z-Coordinate,STARLINK-31927 - Z-Coordinate,STARLINK-3182 - Z-Coordinate,STARLINK-4202 - Z-Coordinate,STARLINK-11149 [DTC] - Z-Coordinate,STARLINK-6313 - Z-Coordinate,STARLINK-31794 - Z-Coordinate,STARLINK-32002 - Z-Coordinate,STARLINK-3236 - Z-Coordinate,STARLINK-2546 - Z-Coordinate,STARLINK-3700 - Z-Coordinate,STARLINK-5143 - Z-Coordinate,STARLINK-5724 - Z-Coordinate,STARLINK-31162 - Z-Coordinate,STARLINK-3633 - Z-Coordinate,STARLINK-1538 - Z-Coordinate,STARLINK-31189 - Z-Coordinate,STARLINK-1202 - Z-Coordinate,STARLINK-4410 - Z-Coordinate,STARLINK-4022 - Z-Coordinate,STARLINK-2582 - Z-Coordinate,STARLINK-5636 - Z-Coordinate,STARLINK-32044 - Z-Coordinate,STARLINK-3144 - Z-Coordinate,STARLINK-4043 - Z-Coordinate,STARLINK-5569 - Z-Coordinate,STARLINK-4415 - Z-Coordinate,STARLINK-6095 - Z-Coordinate,STARLINK-31744 - Z-Coordinate,STARLINK-4682 - Z-Coordinate,STARLINK-30146 - Z-Coordinate,STARLINK-1468 - Z-Coordinate,STARLINK-32277 - Z-Coordinate,STARLINK-5305 - Z-Coordinate,STARLINK-1304 - Z-Coordinate,STARLINK-2467 - Z-Coordinate,STARLINK-5809 - Z-Coordinate,STARLINK-32211 - Z-Coordinate,STARLINK-3685 - Z-Coordinate,STARLINK-2156 - Z-Coordinate,STARLINK-5493 - Z-Coordinate,STARLINK-4483 - Z-Coordinate,STARLINK-3978 - Z-Coordinate,STARLINK-31288 - Z-Coordinate,STARLINK-4314 - Z-Coordinate,STARLINK-31151 - Z-Coordinate,STARLINK-31636 - Z-Coordinate,STARLINK-31503 - Z-Coordinate,STARLINK-3198 - Z-Coordinate,STARLINK-31692 - Z-Coordinate,STARLINK-31278 - Z-Coordinate,STARLINK-30496 - Z-Coordinate,STARLINK-5745 - Z-Coordinate,STARLINK-2603 - Z-Coordinate,STARLINK-2594 - Z-Coordinate,STARLINK-2242 - Z-Coordinate,STARLINK-1094 - Z-Coordinate,STARLINK-31966 - Z-Coordinate,STARLINK-31628 - Z-Coordinate,STARLINK-5645 - Z-Coordinate,STARLINK-5381 - Z-Coordinate,STARLINK-2025 - Z-Coordinate,STARLINK-30759 - Z-Coordinate,STARLINK-1010 - Z-Coordinate,STARLINK-3739 - Z-Coordinate,STARLINK-5277 - Z-Coordinate,STARLINK-31565 - Z-Coordinate,STARLINK-4575 - Z-Coordinate,STARLINK-3514 - Z-Coordinate,STARLINK-31500 - Z-Coordinate,STARLINK-32226 - Z-Coordinate,STARLINK-6227 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5547.4813,0.0000,4332.1005,3030.7751,3015.6670,-1688.1401,3832.7421,-6721.8264,3841.0589,0.0000,3237.1836,-1040.7747,3505.4555,652.4635,-77.9381,-2047.2193,-6511.0495,4472.4713,-470.0173,-3760.9445,-4183.5874,-1987.6462,3363.6959,2847.5261,5605.3797,6122.4154,4340.2048,1767.9557,3724.4561,-761.7603,-267.2312,2419.4530,1311.9710,-5144.8942,725.0098,203.2528,6832.4769,-6466.7354,4436.1636,-6228.9305,-3205.2961,-4017.6449,-2018.2739,3192.6699,1759.4708,6822.2749,2057.4484,5295.0593,-3327.3446,-5217.6454,-5062.4499,-3903.5238,-5157.0003,-1095.9502,2590.2196,1919.3134,5896.4564,0.0000,5381.9984,0.0000,-3708.2849,-6470.7908,6717.1348,5012.5231,1145.6990,-1836.4853,-6402.9425,6484.8945,-4672.1485,4111.1521,-5529.8228,-5584.0797,-2195.2835,-1222.6742,622.7536,-4557.5853,6613.2855,0.0000,-4683.0402,-6091.1443,4301.4859,3672.1962,5517.7009,4158.1289,109.6371,3598.8830,-4555.7513,821.9967,495.2525,-1434.0736,-5013.8557,-1864.2963,405.9885,-3115.9007,-4691.3696,-6578.2089,-5807.7856,5496.9243,5666.9262,-5844.2522,-355568.7147,-333547.7192,-355274.5259,-351287.6644,-342135.6044,-345943.2170,-349292.4537,-349933.2777,121851635.8668,121877305.0605,121878491.1083,121861707.3744,-349679.0823,121867385.4292,3093.9079,0.0000,325.5390,2845.7007,6133.1254,4974.7663,5191.7959,661.5124,-2431.8075,0.0000,-1727.4546,-5641.3179,-3643.6897,-5703.9771,-5440.7617,2051.2774,2048.5612,3427.3610,5035.9400,3595.0749,910.9187,5342.0491,-2456.7273,-3909.6554,3099.4772,-448.9851,4358.7822,4030.9556,2385.8820,4948.2747,4185.0501,-5724.3263,3862.6579,-500.9271,6778.4441,6499.1194,857.4058,-2221.2572,3712.4265,-2792.9573,-4024.4073,-3890.3788,-4481.5016,2823.9554,-6530.5165,892.9260,-2589.4961,-1658.6342,-5102.9171,-4495.9510,994.9270,-1644.5528,4102.1656,-4961.8056,2042.4923,-6654.6180,3173.8125,0.0000,506.9158,0.0000,2186.1202,2403.0848,1021.2168,-2098.0837,-2534.6217,-4579.7142,2403.0378,1912.3647,5073.4089,3627.5174,-4025.3744,3933.1166,38.7136,6472.7697,6771.6289,4703.4253,1916.1414,0.0000,2035.2804,-144.7117,-3550.5214,1752.1320,-498.1040,-2382.6113,4105.2479,4355.9581,2325.2835,-6274.8079,-5161.4900,4481.3420,2056.0309,5068.8596,6838.3858,5887.0268,-1851.7889,-860.8595,322.3339,-560.5295,3838.7938,-2364.1016,-148080.1374,-129266.2864,-138862.6468,-143013.4557,-142882.3033,-140545.3478,-135482.3860,-138375.9633,94861761.4809,94885301.2587,94874334.9562,94873974.9616,-139628.5942,94873760.7225,-2700.6009,0.0000,4949.1428,5528.6664,19.7819,-4435.0616,-2191.6746,-1241.5208,4783.4692,0.0000,-5883.1110,-3571.1815,4711.6954,3860.8576,4240.0750,-6334.5415,-724.6121,-3974.0444,4682.0916,-4408.7044,5363.6157,-3840.0819,5482.6990,-4793.4596,-2455.2380,-3147.3424,2902.5840,-5305.2630,5280.4514,4585.6686,-5228.2927,2998.0688,5367.0544,4570.4039,-622.9422,-2119.0754,572.6635,-490.5676,3703.7771,1018.5236,4594.5698,-3792.1689,4827.9643,5186.1608,705.8826,183.1134,-6087.8452,-4018.8520,3158.4110,121.8841,4510.1975,-5468.9918,2060.7574,-4698.3228,6001.4219,-148.6658,956.1513,0.0000,-4302.5249,0.0000,-5318.2033,638.7759,306.1430,-4195.4004,6379.6758,-4599.8198,694.6203,-19.5273,654.4976,-4130.5171,18.8060,8.0822,-6573.1984,-2058.4093,-851.0892,1904.7965,582.5772,0.0000,4368.6559,3418.1130,4093.1298,-5314.4598,-3654.1791,-4941.2017,5438.0717,3792.7957,-4558.7268,2752.8332,4544.2997,-5024.7117,-4223.9497,4233.1652,779.8581,-1910.0972,-4634.0681,-1774.0098,-3613.6074,-3970.7629,390.6391,2848.2966,144196.5593,136623.7409,143724.4097,140342.5063,146451.1498,141735.9244,132557.5824,142599.8544,-68327788.3518,-68366142.7671,-68312973.6584,-68338428.6059,141309.1638,-68332823.2362,
300.000,-5215.5015,0.0000,3555.3890,4266.8559,3937.9316,461.1149,5194.5845,-5941.8926,3324.8744,0.0000,3737.6051,-2882.4562,1806.2140,-1138.3622,-2042.0536,117.2900,-5579.9681,4963.0399,1375.0673,-2472.4323,-4016.4244,-2779.4805,1757.7440,741.5789,6546.3885,4968.2345,4931.9862,3756.8634,5152.3761,1349.5867,1866.6833,749.4932,3366.3821,-5433.3416,2200.5397,1479.8721,6790.2339,-6411.0840,4530.4739,-6653.9727,-4872.5202,-5541.9560,-3881.4178,4816.6625,249.0865,6584.7289,3684.3430,3723.4009,-3926.5095,-5914.7017,-3614.3761,-4218.4344,-4528.3515,-3093.3720,3469.2105,402.5992,6502.8098,0.0000,4831.2017,0.0000,-2959.9014,-6106.8355,6465.7669,4986.1786,-128.5828,-3060.0826,-5827.1332,6486.2839,-3242.2869,5605.6718,-5947.7735,-4596.5288,-3995.2196,476.4734,2112.4731,-3484.8603,6764.0632,0.0000,-3994.2847,-5260.1736,3323.4646,4193.2943,5947.1674,3767.7578,2265.8719,4493.9355,-3662.3671,-44.0145,-1548.9644,161.3891,-4514.8945,-597.7666,1598.7176,-2096.6196,-5098.2489,-5960.2185,-6277.8514,4467.0614,5968.6708,-6695.9250,-352357.6370,-330753.2787,-352255.3608,-348362.2224,-339069.8747,-343184.9212,-346234.5188,-346582.6818,119753047.6125,119778267.4970,119780034.2383,119762844.4448,-346665.4140,119768703.1076,4408.6781,0.0000,-1744.5959,1062.4715,5277.9845,5009.0301,4351.2735,1828.7983,-4326.1761,0.0000,-3508.0733,-5623.6671,-4953.9287,-6235.3624,-4646.3704,2425.6822,3341.3271,1410.1152,4094.3597,5185.5366,2987.3403,6022.5971,-3931.8014,-4114.9730,1775.2342,-1763.5131,2532.5230,3598.1843,943.0531,5229.9389,3610.3514,-5307.3827,3216.0302,1553.1085,6412.7601,6666.1514,-355.3838,-918.3341,1835.0845,-1659.6699,-2773.3209,-2766.7027,-4330.5119,1530.2543,-6743.3853,-354.4740,-3459.0639,-2805.6724,-3439.9382,-3120.9607,2444.7538,508.0590,5207.3492,-4157.4209,3666.3633,-6774.2056,1767.6149,0.0000,-1543.3602,0.0000,4113.0726,2929.0673,-247.9074,-3790.1806,-4154.2515,-2874.7124,3472.8867,643.1210,5737.8848,2881.0298,-2840.0774,4714.0703,-956.2951,6032.0814,6478.8294,5852.3590,712.3292,0.0000,3989.3929,1629.4266,-5208.8455,-396.0245,-2047.4329,-4252.8896,3984.8420,2485.6602,4214.1934,-5222.3120,-5466.6828,5583.4864,3965.3294,6211.1137,6628.0420,5391.6419,276.9956,493.6113,1794.8180,-2391.9672,2582.9927,-926.1698,-155757.0748,-136337.2054,-146072.5392,-150049.6586,-150205.2591,-147904.2753,-142836.2469,-145980.8471,97501363.1829,97524854.1104,97514500.7785,97512846.7294,-146980.5600,97513383.5518,-989.0884,0.0000,5260.6673,5340.5600,1820.3171,-4687.0753,-713.2341,-2920.8704,3715.3116,0.0000,-4667.6352,-2390.8025,4468.2705,2777.1131,4670.8928,-6528.4809,-2197.8680,-4574.5911,5369.2566,-3673.6960,4696.3975,-1794.1350,5372.5636,-5375.2648,-1015.7482,-4450.8950,3936.7950,-4522.4162,4475.7545,4114.7870,-5329.3711,4341.5386,4876.7482,3961.0127,931.8515,-341.5555,-1241.6367,-2251.7998,4822.7738,-799.6409,4019.9795,-2698.0726,3698.2089,4420.4029,-854.0743,1964.2407,-4738.9437,-5021.0558,4450.1861,1644.0573,5282.4692,-5458.6239,285.3284,-4587.1347,4632.5478,1384.0233,-606.9938,0.0000,-4692.0147,0.0000,-4596.8663,-1484.9951,2087.3249,-2809.0417,5584.6599,-5280.2161,-1126.1741,1787.6658,2129.9458,-2717.1413,1818.8722,1808.6222,-5580.9953,-3320.8885,703.3127,396.9254,-1231.9573,0.0000,3647.6370,4297.2214,3115.1376,-5201.6726,-2114.2859,-3885.0902,5042.8607,4463.2058,-3973.3296,4508.4026,3907.3055,-4022.5342,-3330.5568,2860.3314,-1039.2099,-3815.4536,-4565.7896,-3378.1357,-2059.4518,-4541.5164,2162.4170,1478.8746,144213.8778,136604.1124,143683.2781,140223.4037,146437.5838,142012.5630,132525.5712,142809.2831,-68329651.6929,-68368209.2470,-68315111.0669,-68340104.8812,141304.8184,-68334923.9575,
600.000,-4368.6607,0.0000,2427.8370,5127.4018,4472.3479,2568.6181,6020.8483,-4560.6336,2472.2042,0.0000,3911.0387,-4406.5206,-38.9664,-2797.2167,-3830.1973,2256.6393,-4087.7457,5009.9763,3120.9557,-966.4209,-3494.4932,-3282.5320,18.5950,-1446.2561,6829.9762,3334.0246,5054.9193,5365.9943,6087.6991,3307.1822,3814.5477,-1030.3191,5067.5909,-5223.2686,3462.9402,2600.0645,6071.8438,-5710.6909,4217.1372,-6415.8583,-6074.8323,-6485.2544,-5340.3112,5938.2264,-1295.2122,5685.3785,4948.2599,1788.0723,-4176.3685,-6037.3377,-1828.7448,-4176.3233,-3449.4392,-4804.0500,3904.1220,-1166.1583,6430.9896,0.0000,3849.6282,0.0000,-1960.2025,-5110.5353,5541.3984,4479.2741,-1326.8484,-4012.8233,-4655.5684,5801.4176,-1483.9536,6524.6899,-5765.2508,-3121.3510,-5328.5494,2156.2551,3396.4074,-2060.4421,6243.4884,0.0000,-2916.7588,-3958.2527,2051.8323,4314.2706,5720.0308,3041.0339,4182.4009,4972.1505,-2439.3464,-962.8089,-3423.7619,1702.8182,-3598.0451,697.8521,2642.5667,-821.2947,-5036.7786,-4750.3406,-6114.9902,3011.6976,5674.9121,-6895.9972,-348978.7152,-327809.7688,-349079.8671,-345282.1185,-335850.9270,-340301.0868,-343021.9900,-343071.3376,117597295.9347,117622073.1997,117624391.3098,117606894.6027,-343497.1918,117612856.9346,5273.6695,0.0000,-3641.6494,-788.1830,3868.4838,4591.8487,3071.1753,2843.6493,-5719.0804,0.0000,-4901.7937,-5034.1702,-5811.3368,-6175.9719,-3433.7564,2641.2822,4321.3684,-747.3907,2789.6210,6258.6249,4752.4277,6017.0976,-5054.9399,-3954.5102,282.8271,-2949.2976,437.0801,2855.8496,-549.9721,5010.1038,2702.3978,-4394.2195,2281.1176,3438.2785,5397.9004,6146.3543,-1546.7093,502.0622,-247.2761,-351.7098,-1286.3178,-1379.5813,-3784.1774,118.1904,-6263.7859,-1588.1970,-3897.7468,-3721.4494,-1418.8828,-1425.3604,3697.0427,2600.4926,5789.6877,-2990.8681,4916.1075,-6238.6725,170.8786,0.0000,-3461.8188,0.0000,5624.4151,3173.4529,-1514.8177,-5079.0196,-5393.3184,-886.9444,4202.4807,-714.8072,5860.3537,1871.8822,-1345.2096,5024.3236,-1918.4017,5016.0981,5532.5190,6402.9042,-576.0530,0.0000,5517.7525,3281.1393,-6359.8578,-2483.5776,-3344.8173,-5686.2831,3509.0818,366.5625,5685.5032,-3646.7867,-5267.9664,6148.8398,5472.8664,6729.5602,5750.5863,4373.2839,2367.7417,1834.2241,3062.4446,-4009.5546,1043.1836,587.8149,-163361.2708,-143348.3698,-153218.4602,-156998.8287,-157460.9721,-155202.1831,-150123.1924,-153579.4685,100094556.6178,100117984.0767,100108264.0793,100105304.2757,-154267.5392,100106594.3057,829.8100,0.0000,4920.5191,4578.9286,3417.2727,-4425.9659,845.6252,-4279.0164,2187.7822,0.0000,-2953.6748,-934.1755,3743.1277,1394.5653,4595.2491,-6036.7635,-3428.8895,-4678.6004,5473.1228,-2526.0649,3512.5262,449.0207,4677.4907,-5352.4453,536.0474,-5272.1223,4525.2387,-3248.1517,3184.0029,3176.1181,-4802.5575,5214.1056,3820.8590,2922.3937,2382.8836,1474.0646,-2921.7988,-3763.9958,5411.9601,-2531.1338,3009.3940,-1292.3231,2165.9881,3135.7978,-2317.2362,3530.2719,-2882.9598,-5468.2402,5251.3505,2986.6494,5471.0014,-4862.0102,-1521.0390,-3983.3935,2751.1629,2768.0373,-2100.2598,0.0000,-4575.2961,0.0000,-3364.8676,-3449.8528,3631.7258,-1113.1263,4201.2357,-5349.7045,-2823.4218,3388.4898,3376.7163,-1004.2096,3415.9858,3406.5119,-3992.7846,-4223.4907,2179.6242,-1155.5624,-2913.4114,0.0000,2499.1647,4727.2226,1801.9992,-4473.5586,-317.2010,-2404.7094,4081.3348,4629.5010,-2947.5819,5775.4071,2845.9290,-2581.2125,-2071.2453,1172.2532,-2745.2747,-5312.4308,-3991.9226,-4610.8813,-276.4862,-4599.4694,3694.6460,-49.8330,144230.1139,136584.6754,143637.5387,140113.9233,146421.4702,142282.7231,132497.7021,142907.0603,-68331517.3637,-68370273.0301,-68317254.8200,-68341739.7373,141300.3936,-68337024.6247,
