sl_100_5400_20310729 Coordinates.csv
2031/07/29 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:46 2024,
Start: 2031/07/29 07:47:00.00, Stop: 2031/07/29 09:17:00.00,
TIME_UNITS,STARLINK-30595 - X-Coordinate,STARLINK-3519 - X-Coordinate,STARLINK-30802 - X-Coordinate,STARLINK-3658 - X-Coordinate,STARLINK-5634 - X-Coordinate,STARLINK-5283 - X-Coordinate,STARLINK-31768 - X-Coordinate,STARLINK-1191 - X-Coordinate,STARLINK-30356 - X-Coordinate,STARLINK-1183 - X-Coordinate,STARLINK-6318 - X-Coordinate,STARLINK-4667 - X-Coordinate,STARLINK-1302 - X-Coordinate,STARLINK-3929 - X-Coordinate,STARLINK-5435 - X-Coordinate,STARLINK-5504 - X-Coordinate,STARLINK-31359 - X-Coordinate,STARLINK-31721 - X-Coordinate,STARLINK-4588 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-31449 - X-Coordinate,STARLINK-4132 - X-Coordinate,STARLINK-5462 - X-Coordinate,STARLINK-2363 - X-Coordinate,STARLINK-5273 - X-Coordinate,STARLINK-2133 - X-Coordinate,STARLINK-5043 - X-Coordinate,STARLINK-3055 - X-Coordinate,STARLINK-1212 - X-Coordinate,STARLINK-4462 - X-Coordinate,STARLINK-6292 - X-Coordinate,STARLINK-3642 - X-Coordinate,STARLINK-5712 - X-Coordinate,STARLINK-30479 - X-Coordinate,STARLINK-6041 - X-Coordinate,STARLINK-6077 - X-Coordinate,STARLINK-2462 - X-Coordinate,STARLINK-5246 - X-Coordinate,STARLINK-3299 - X-Coordinate,STARLINK-3086 - X-Coordinate,STARLINK-30131 - X-Coordinate,STARLINK-30616 - X-Coordinate,STARLINK-5244 - X-Coordinate,STARLINK-4348 - X-Coordinate,STARLINK-30947 - X-Coordinate,STARLINK-3252 - X-Coordinate,STARLINK-31346 - X-Coordinate,STARLINK-5871 - X-Coordinate,STARLINK-30836 - X-Coordinate,STARLINK-4459 - X-Coordinate,STARLINK-31825 - X-Coordinate,STARLINK-1993 - X-Coordinate,STARLINK-5962 - X-Coordinate,STARLINK-4479 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-6361 - X-Coordinate,STARLINK-1019 - X-Coordinate,STARLINK-4141 - X-Coordinate,STARLINK-30710 - X-Coordinate,STARLINK-31668 - X-Coordinate,STARLINK-30704 - X-Coordinate,STARLINK-4087 - X-Coordinate,STARLINK-6211 - X-Coordinate,STARLINK-4540 - X-Coordinate,STARLINK-5929 - X-Coordinate,STARLINK-4797 - X-Coordinate,STARLINK-6260 - X-Coordinate,STARLINK-31826 - X-Coordinate,STARLINK-30886 - X-Coordinate,STARLINK-30374 - X-Coordinate,STARLINK-5412 - X-Coordinate,STARLINK-31407 - X-Coordinate,STARLINK-31444 - X-Coordinate,STARLINK-31470 - X-Coordinate,STARLINK-3419 - X-Coordinate,STARLINK-1320 - X-Coordinate,STARLINK-30152 - X-Coordinate,STARLINK-30099 - X-Coordinate,STARLINK-5284 - X-Coordinate,STARLINK-5834 - X-Coordinate,STARLINK-31800 - X-Coordinate,STARLINK-31968 - X-Coordinate,STARLINK-4464 - X-Coordinate,STARLINK-3640 - X-Coordinate,STARLINK-3107 - X-Coordinate,STARLINK-6200 - X-Coordinate,STARLINK-1727 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-4090 - X-Coordinate,STARLINK-5434 - X-Coordinate,STARLINK-6112 - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-30440 - X-Coordinate,STARLINK-31199 - X-Coordinate,STARLINK-3366 - X-Coordinate,STARLINK-31604 - X-Coordinate,STARLINK-30355 - X-Coordinate,STARLINK-30994 - X-Coordinate,STARLINK-4035 - X-Coordinate,STARLINK-5736 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30595 - Y-Coordinate,STARLINK-3519 - Y-Coordinate,STARLINK-30802 - Y-Coordinate,STARLINK-3658 - Y-Coordinate,STARLINK-5634 - Y-Coordinate,STARLINK-5283 - Y-Coordinate,STARLINK-31768 - Y-Coordinate,STARLINK-1191 - Y-Coordinate,STARLINK-30356 - Y-Coordinate,STARLINK-1183 - Y-Coordinate,STARLINK-6318 - Y-Coordinate,STARLINK-4667 - Y-Coordinate,STARLINK-1302 - Y-Coordinate,STARLINK-3929 - Y-Coordinate,STARLINK-5435 - Y-Coordinate,STARLINK-5504 - Y-Coordinate,STARLINK-31359 - Y-Coordinate,STARLINK-31721 - Y-Coordinate,STARLINK-4588 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-31449 - Y-Coordinate,STARLINK-4132 - Y-Coordinate,STARLINK-5462 - Y-Coordinate,STARLINK-2363 - Y-Coordinate,STARLINK-5273 - Y-Coordinate,STARLINK-2133 - Y-Coordinate,STARLINK-5043 - Y-Coordinate,STARLINK-3055 - Y-Coordinate,STARLINK-1212 - Y-Coordinate,STARLINK-4462 - Y-Coordinate,STARLINK-6292 - Y-Coordinate,STARLINK-3642 - Y-Coordinate,STARLINK-5712 - Y-Coordinate,STARLINK-30479 - Y-Coordinate,STARLINK-6041 - Y-Coordinate,STARLINK-6077 - Y-Coordinate,STARLINK-2462 - Y-Coordinate,STARLINK-5246 - Y-Coordinate,STARLINK-3299 - Y-Coordinate,STARLINK-3086 - Y-Coordinate,STARLINK-30131 - Y-Coordinate,STARLINK-30616 - Y-Coordinate,STARLINK-5244 - Y-Coordinate,STARLINK-4348 - Y-Coordinate,STARLINK-30947 - Y-Coordinate,STARLINK-3252 - Y-Coordinate,STARLINK-31346 - Y-Coordinate,STARLINK-5871 - Y-Coordinate,STARLINK-30836 - Y-Coordinate,STARLINK-4459 - Y-Coordinate,STARLINK-31825 - Y-Coordinate,STARLINK-1993 - Y-Coordinate,STARLINK-5962 - Y-Coordinate,STARLINK-4479 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-6361 - Y-Coordinate,STARLINK-1019 - Y-Coordinate,STARLINK-4141 - Y-Coordinate,STARLINK-30710 - Y-Coordinate,STARLINK-31668 - Y-Coordinate,STARLINK-30704 - Y-Coordinate,STARLINK-4087 - Y-Coordinate,STARLINK-6211 - Y-Coordinate,STARLINK-4540 - Y-Coordinate,STARLINK-5929 - Y-Coordinate,STARLINK-4797 - Y-Coordinate,STARLINK-6260 - Y-Coordinate,STARLINK-31826 - Y-Coordinate,STARLINK-30886 - Y-Coordinate,STARLINK-30374 - Y-Coordinate,STARLINK-5412 - Y-Coordinate,STARLINK-31407 - Y-Coordinate,STARLINK-31444 - Y-Coordinate,STARLINK-31470 - Y-Coordinate,STARLINK-3419 - Y-Coordinate,STARLINK-1320 - Y-Coordinate,STARLINK-30152 - Y-Coordinate,STARLINK-30099 - Y-Coordinate,STARLINK-5284 - Y-Coordinate,STARLINK-5834 - Y-Coordinate,STARLINK-31800 - Y-Coordinate,STARLINK-31968 - Y-Coordinate,STARLINK-4464 - Y-Coordinate,STARLINK-3640 - Y-Coordinate,STARLINK-3107 - Y-Coordinate,STARLINK-6200 - Y-Coordinate,STARLINK-1727 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-4090 - Y-Coordinate,STARLINK-5434 - Y-Coordinate,STARLINK-6112 - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-30440 - Y-Coordinate,STARLINK-31199 - Y-Coordinate,STARLINK-3366 - Y-Coordinate,STARLINK-31604 - Y-Coordinate,STARLINK-30355 - Y-Coordinate,STARLINK-30994 - Y-Coordinate,STARLINK-4035 - Y-Coordinate,STARLINK-5736 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30595 - Z-Coordinate,STARLINK-3519 - Z-Coordinate,STARLINK-30802 - Z-Coordinate,STARLINK-3658 - Z-Coordinate,STARLINK-5634 - Z-Coordinate,STARLINK-5283 - Z-Coordinate,STARLINK-31768 - Z-Coordinate,STARLINK-1191 - Z-Coordinate,STARLINK-30356 - Z-Coordinate,STARLINK-1183 - Z-Coordinate,STARLINK-6318 - Z-Coordinate,STARLINK-4667 - Z-Coordinate,STARLINK-1302 - Z-Coordinate,STARLINK-3929 - Z-Coordinate,STARLINK-5435 - Z-Coordinate,STARLINK-5504 - Z-Coordinate,STARLINK-31359 - Z-Coordinate,STARLINK-31721 - Z-Coordinate,STARLINK-4588 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-31449 - Z-Coordinate,STARLINK-4132 - Z-Coordinate,STARLINK-5462 - Z-Coordinate,STARLINK-2363 - Z-Coordinate,STARLINK-5273 - Z-Coordinate,STARLINK-2133 - Z-Coordinate,STARLINK-5043 - Z-Coordinate,STARLINK-3055 - Z-Coordinate,STARLINK-1212 - Z-Coordinate,STARLINK-4462 - Z-Coordinate,STARLINK-6292 - Z-Coordinate,STARLINK-3642 - Z-Coordinate,STARLINK-5712 - Z-Coordinate,STARLINK-30479 - Z-Coordinate,STARLINK-6041 - Z-Coordinate,STARLINK-6077 - Z-Coordinate,STARLINK-2462 - Z-Coordinate,STARLINK-5246 - Z-Coordinate,STARLINK-3299 - Z-Coordinate,STARLINK-3086 - Z-Coordinate,STARLINK-30131 - Z-Coordinate,STARLINK-30616 - Z-Coordinate,STARLINK-5244 - Z-Coordinate,STARLINK-4348 - Z-Coordinate,STARLINK-30947 - Z-Coordinate,STARLINK-3252 - Z-Coordinate,STARLINK-31346 - Z-Coordinate,STARLINK-5871 - Z-Coordinate,STARLINK-30836 - Z-Coordinate,STARLINK-4459 - Z-Coordinate,STARLINK-31825 - Z-Coordinate,STARLINK-1993 - Z-Coordinate,STARLINK-5962 - Z-Coordinate,STARLINK-4479 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-6361 - Z-Coordinate,STARLINK-1019 - Z-Coordinate,STARLINK-4141 - Z-Coordinate,STARLINK-30710 - Z-Coordinate,STARLINK-31668 - Z-Coordinate,STARLINK-30704 - Z-Coordinate,STARLINK-4087 - Z-Coordinate,STARLINK-6211 - Z-Coordinate,STARLINK-4540 - Z-Coordinate,STARLINK-5929 - Z-Coordinate,STARLINK-4797 - Z-Coordinate,STARLINK-6260 - Z-Coordinate,STARLINK-31826 - Z-Coordinate,STARLINK-30886 - Z-Coordinate,STARLINK-30374 - Z-Coordinate,STARLINK-5412 - Z-Coordinate,STARLINK-31407 - Z-Coordinate,STARLINK-31444 - Z-Coordinate,STARLINK-31470 - Z-Coordinate,STARLINK-3419 - Z-Coordinate,STARLINK-1320 - Z-Coordinate,STARLINK-30152 - Z-Coordinate,STARLINK-30099 - Z-Coordinate,STARLINK-5284 - Z-Coordinate,STARLINK-5834 - Z-Coordinate,STARLINK-31800 - Z-Coordinate,STARLINK-31968 - Z-Coordinate,STARLINK-4464 - Z-Coordinate,STARLINK-3640 - Z-Coordinate,STARLINK-3107 - Z-Coordinate,STARLINK-6200 - Z-Coordinate,STARLINK-1727 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-4090 - Z-Coordinate,STARLINK-5434 - Z-Coordinate,STARLINK-6112 - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-30440 - Z-Coordinate,STARLINK-31199 - Z-Coordinate,STARLINK-3366 - Z-Coordinate,STARLINK-31604 - Z-Coordinate,STARLINK-30355 - Z-Coordinate,STARLINK-30994 - Z-Coordinate,STARLINK-4035 - Z-Coordinate,STARLINK-5736 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4929.6953,0.0000,-5425.2808,2372.3004,1769.8767,-5695.9291,-5014.2700,6324.7176,3373.0556,4178.0754,6660.9459,-3611.6637,-4156.5878,-2842.2553,-1142.1473,-1015.5634,0.0000,-5262.9343,4120.5790,2113.4011,-6565.2104,912.3616,-2253.0228,968.5342,217.3797,1069.9231,6171.4214,306.6438,-6512.1102,-6584.8277,3645.3409,3577.5239,-3758.0562,614.0499,1455.0428,-6594.1875,5807.7866,3630.0859,6400.8393,1135.6079,-5642.1963,4325.2202,141.7615,1961.6594,4737.4598,-6253.2808,-2547.0461,-456.9078,-1872.6481,-3569.4245,-2318.7507,-1247.0176,-2341.8577,-5469.3463,-4448.1801,-899.5551,-1621.0486,-3414.4858,-191.4689,-6406.3403,3289.8742,5414.4012,-1025.5368,-4020.5453,2128.8922,1186.3514,-3880.7023,3139.9209,-5811.2649,6458.5946,-4110.1660,4897.5834,0.0000,-4383.6039,-3774.0698,3239.2133,6420.4140,5865.8062,-2339.9496,1245.7238,4916.3810,4935.8458,4274.4398,-2576.8523,-5163.3940,-5008.3004,-1298.3966,-1821.8436,-2122.9366,6645.1275,1838.1789,-4050.8884,1673.1373,3344.7644,4236.9737,3250.7550,2727.1675,-5242.5780,5722.3406,6663.4227,335106.0358,362001.1046,342968.8126,343350.7174,350361.2489,349138.6127,349845.1298,346899.5846,117525176.8142,117579579.6631,117558014.2892,117548944.4691,346865.6658,117541866.9174,-589.5831,0.0000,-3285.3466,3345.4152,-4608.1245,3694.7669,575.1631,-1553.3209,3813.2071,-2034.5430,1092.6504,-4459.9813,361.8571,3083.8573,-4895.0090,-5366.7229,0.0000,3776.1626,2012.8281,6049.8874,-85.0157,-6235.1091,1935.0191,-6368.4292,-4324.1360,5238.5086,-2120.5012,3135.1385,-181.6284,1103.5980,271.7412,-5801.4902,-5718.9780,-6384.4374,-2078.7888,-1533.4422,1384.0941,1976.3862,-2488.4316,4214.5850,3308.8452,5201.8996,4710.7502,1558.3144,2328.4134,-2821.7582,-6325.0258,3537.3894,4620.2734,2721.7000,3818.2932,4507.4087,6465.6584,-1308.1524,-5205.6764,-5250.7891,6688.0956,5968.9955,6786.4466,1421.4045,-2267.9393,2192.4658,6427.4677,-2247.7298,-4472.7341,4501.4298,-4016.2828,3628.5128,3683.8920,868.7272,5092.4984,-3631.5822,0.0000,-5114.6737,-2692.3191,5517.5713,2417.0359,3050.4253,547.9859,6250.1964,3881.5462,-3897.5336,-4209.9770,-3231.7688,-4589.4477,-4289.9336,-6384.8159,5218.8492,-4062.4350,981.6588,4707.5969,-3787.2617,4748.3512,5938.2952,-5182.0922,2482.1919,-6134.6437,4028.8400,-3651.7627,1855.4839,19435.8322,38521.4923,38059.7927,32368.9983,26611.7305,30747.3294,36827.5547,32258.1640,44106341.3706,44120430.8554,44093374.5245,44104357.0413,33986.9872,44098678.3012,4654.3708,0.0000,-2580.5024,5480.5336,4854.4777,1282.1035,-4590.8659,2256.2870,-4719.0452,4988.3614,-1552.6150,-3874.4400,5523.8657,-5456.9960,-4708.1246,-4239.0627,0.0000,2094.5786,-5160.8656,2100.0516,1877.7803,2798.7988,-6284.3580,-1940.5401,-5318.2722,4257.3468,2258.6600,6206.1237,-2239.9696,1782.4931,-5918.3395,-971.0529,-971.5792,-2594.7773,6447.0513,-1529.5873,-3463.3562,-5418.0739,545.2365,5400.8258,2185.2531,582.2855,5027.0346,-6452.1153,4482.6455,462.9654,-713.5270,5939.4346,4646.7847,-5299.7358,-5165.9832,4981.8197,-871.2902,3738.6640,-247.5600,4405.3635,-675.8778,-648.8418,-835.8308,-1814.0274,-5329.9268,3585.4840,-2365.3555,4889.9438,-4867.1583,5084.2850,4093.2110,-4898.4464,986.6006,-2305.5801,2117.1083,3033.8043,0.0000,1149.1803,5063.0301,2318.0475,-1070.9078,-1578.4172,-6562.2331,-2737.7088,-2679.0070,-2621.5636,3443.6345,-5502.8706,-823.6406,2183.1694,1122.0006,-3785.3899,5123.3760,1702.4614,-4708.7738,-3845.8360,-4684.5327,96.9279,1382.9897,5405.5567,1490.8026,-1777.0273,-418.4158,152.2531,-123208.1621,-126205.1749,-122707.4421,-126025.1019,-119946.6127,-124864.0911,-133906.9562,-124781.4801,-41959263.9413,-41962493.8916,-41950513.2659,-41975434.6624,-125147.9069,-41968213.7118,
300.000,-5769.0314,0.0000,-6379.5178,4014.5340,1299.6579,-4720.6367,-4316.2479,6257.3288,4882.3358,2449.7641,6912.1758,-5130.8592,-3676.1828,-1390.1789,-2597.0876,-2977.0296,0.0000,-3697.0352,4138.4744,3392.8713,-5758.7456,-570.2133,-108.2176,-443.4368,-1788.7962,2762.7496,5990.9462,2004.9326,-6783.7508,-5601.5807,2154.1071,2227.8619,-4948.5839,-978.1996,174.0962,-6310.2818,6637.7603,4247.4803,5507.2970,2516.2177,-4165.9244,4935.9446,1992.2639,-190.4750,5061.9038,-6542.1792,-3476.2139,748.1057,205.1182,-5053.2462,-894.7277,396.0024,-882.0034,-4695.6434,-5099.7267,-2777.2946,-322.2112,-2113.7553,1023.9977,-6122.1032,1891.6274,4924.0627,522.0419,-4049.1186,1768.7761,3139.1104,-5456.9050,4899.5435,-4541.7676,6824.5109,-2564.0669,3158.5395,0.0000,-5485.1815,-4088.9343,4488.3159,6857.1344,5982.3647,-1969.9109,2893.1727,6112.1321,3242.1083,5168.3123,-4069.2173,-5496.6484,-6134.5940,-2509.9542,-585.5149,-4054.4610,6193.7553,3735.8922,-4260.9856,3629.3112,4474.3353,2826.6002,4566.3147,1322.4260,-3721.0137,4677.6883,6772.3449,334666.5138,361190.5393,342244.4052,342667.8600,349598.8006,348136.3820,349057.3003,345891.7044,116536111.0137,116590073.5175,116569288.2088,116559163.2137,346046.3908,116552727.4476,1052.3966,0.0000,-2333.7832,1923.5147,-6005.4354,3832.8850,2633.4872,-2852.2516,2322.2619,-3313.4727,-416.6284,-3989.9025,2474.8193,4618.2395,-3417.2903,-5268.6264,0.0000,4630.8441,-134.8689,5822.3213,1202.9950,-5441.5847,2399.6027,-5720.6486,-4782.2560,5543.2561,-3401.8056,4147.6606,1087.6106,2214.5271,-1249.5266,-5936.2146,-4788.7436,-6745.7452,-3769.6437,114.4711,128.5963,-126.4972,-3435.5775,5139.9084,4299.5587,4027.3935,3651.3841,911.4683,209.2803,-1634.7580,-5376.0551,4977.7930,5212.9080,3111.9849,5237.0214,5549.7720,6840.6532,448.1638,-4105.0809,-4229.0114,6473.3320,6125.5550,6688.8023,2960.7106,-3960.7973,402.0439,6843.0257,-85.8544,-5896.2729,4559.8925,-2913.5180,2902.5213,4667.9962,-686.2012,5226.5499,-4491.5265,0.0000,-4058.5204,-569.4183,5087.7360,973.0392,1347.1981,2677.9261,6156.9932,2724.0585,-4681.8809,-4400.2840,-1653.1870,-4057.1649,-3183.1602,-6075.4097,6272.7759,-3648.5722,-656.8166,3706.1760,-1856.4518,3879.5321,4875.0499,-5422.6421,775.9851,-6750.4232,4843.0834,-4424.6367,337.5603,26414.0511,46069.3914,45430.1740,39918.1971,33861.5441,38168.4587,44058.3407,39496.5061,46664705.1810,46679693.3159,46652242.6275,46663005.5944,41250.3473,46657091.2364,3456.6690,0.0000,-850.4231,5200.7715,3197.8130,3274.5386,-4581.2942,500.1410,-4353.4254,5430.3798,-28.4901,-2385.3890,5318.8978,-4909.4254,-5386.1120,-3342.7614,0.0000,3347.5756,-5524.4355,310.3162,3463.5199,4192.9085,-6522.0260,-3514.8304,-4577.6620,2895.4011,499.9132,5219.9807,-481.0970,3383.1882,-6494.9420,-2685.7757,575.3325,-1180.3380,5812.8349,-2890.2187,-1882.9044,-5327.3681,2302.0259,3938.8259,3419.3863,2344.2179,5492.8762,-6858.1660,4721.2400,-1352.8522,-2456.8105,4764.4418,4385.8888,-3607.5962,-4291.1613,3969.8021,674.4777,4829.8971,-2027.8346,4709.9368,-2414.5884,-2394.6777,989.5050,-296.4717,-5010.7407,4748.4175,-917.9355,5358.6461,-3211.0090,4110.6121,3114.5718,-3819.2055,2424.0013,-849.4616,3659.2060,4025.3134,0.0000,-402.3215,5484.0059,558.3316,470.7252,-2935.1281,-6146.4244,-1348.2014,-1272.7408,-3742.6068,1342.3413,-5298.3375,1300.3611,715.5642,-726.9965,-2275.6622,4186.9964,3033.6297,-4474.2309,-4893.5600,-4366.4976,1627.5758,3048.5447,4950.5735,-41.6372,-3096.1783,-2194.9075,-1381.5526,-123261.2411,-126274.6899,-122769.8874,-126178.5770,-119984.2290,-124610.9656,-133967.8951,-125260.1202,-41961108.3321,-41964719.6872,-41952690.2464,-41977619.0004,-125178.8357,-41970235.3548,
600.000,-6030.0919,0.0000,-6675.7914,5280.4738,738.6635,-3236.3563,-3222.6158,5563.7580,5944.8225,498.2423,6490.6736,-6131.1003,-2891.9172,154.8845,-3842.8588,-4634.4901,0.0000,-1743.8985,3806.3092,4304.3312,-4366.4260,-2037.4195,2031.0592,-1845.5233,-3588.5002,4148.2056,5214.6787,3457.0578,-6372.4118,-4061.7259,502.4970,629.7583,-5658.5941,-2464.2128,-1058.8419,-5430.7541,6806.8848,4482.5204,4051.0709,3601.5616,-2274.6240,5048.9339,3681.0904,-2289.9145,4940.8495,-6174.3796,-4077.3335,1821.1475,2244.8129,-6011.9681,577.7815,1961.4591,669.8591,-3460.0199,-5247.8220,-4410.8301,1034.4510,-579.7173,2145.3677,-5210.5923,333.1589,3973.0993,2010.2001,-3701.6950,1270.6649,4759.7402,-6505.4075,6158.8663,-2826.6128,6524.1371,-733.9842,1094.0802,0.0000,-6033.2791,-4051.7710,5263.6709,6632.5441,5503.3224,-1483.8147,4250.1464,6679.1148,1210.6294,5506.7130,-5192.5843,-5283.3223,-6667.6153,-3443.8065,688.5798,-5570.2001,5153.8238,5283.7561,-4070.9059,5236.5110,5160.5786,1101.5044,5440.0016,-214.0602,-1814.7868,3131.0238,6224.4486,334082.5228,360221.0516,341368.7517,341846.4241,348684.8529,346958.6490,348118.8312,344742.3408,115491366.9010,115544866.5821,115524865.5418,115513679.1298,345075.0934,115507908.0302,2552.2551,0.0000,-1151.8351,353.5955,-6785.6860,3613.0100,4438.0548,-3859.4213,642.1082,-4303.8582,-1885.1370,-3149.1419,4352.1074,5717.6893,-1629.3806,-4685.4036,0.0000,5042.7790,-2274.9786,4970.6111,2405.3643,-4125.1829,2706.0287,-4470.8482,-4799.6059,5301.4043,-4338.2007,4795.0281,2241.8785,3142.9881,-2708.7143,-5491.6384,-3385.7132,-6452.2386,-5115.9257,1775.7618,-1118.8648,-2196.5996,-4061.6539,5576.9492,4899.7026,2412.8052,2275.4684,74.7778,-1927.6750,-267.9417,-3870.0801,5939.7291,5313.8882,3120.0974,6137.9492,6047.7781,6553.0329,2197.0404,-2570.2556,-2831.6042,5623.7017,5686.0825,5901.1647,4193.4635,-5246.3825,-1464.0743,6594.3466,2092.9841,-6714.9114,4204.6853,-1557.7234,1924.1692,5224.7218,-2165.9950,4865.7538,-4931.5103,0.0000,-2587.9998,1609.5424,4130.7555,-569.4150,-515.6967,4549.7289,5475.3587,1299.7735,-5024.4898,-4092.8848,47.1864,-3100.0197,-1776.3009,-5071.1143,6642.7225,-2913.3710,-2258.0025,2382.6508,287.1565,2667.0104,3305.7522,-5130.2140,-970.2323,-6695.5240,5198.4396,-4756.5388,-1226.0998,33383.4747,53599.8380,52779.3014,47464.5017,41094.4229,45585.6056,51271.0585,46846.8209,49200902.7672,49216779.3860,49188957.7051,49199443.4961,48494.2444,49193334.4870,1868.6485,0.0000,974.1960,4344.7931,1198.1827,4912.7191,-4058.5906,-1310.4875,-3524.3433,5263.4194,1498.6777,-640.0206,4544.0054,-3826.1425,-5478.0388,-2085.9463,0.0000,4222.2829,-5291.3336,-1515.5075,4661.5038,5131.2696,-6070.2387,-4678.7363,-3331.9948,1210.5735,-1312.9911,3683.7019,1330.2977,4618.2487,-6386.5825,-4107.2448,2059.9996,361.3150,4558.1723,-3942.7687,-98.0998,-4638.5271,3807.5030,2058.3960,4281.7415,3838.9744,5361.9098,-6530.5904,4453.9459,-3020.3371,-3928.4498,3080.2631,3632.2066,-1531.7814,-2936.9069,2515.1797,2147.9028,5363.4034,-3583.4976,4507.0840,-3893.0685,-3881.5099,2704.4375,1254.6019,-4090.6032,5386.4263,628.1537,5199.9194,-1212.9402,2690.4696,1801.7284,-2318.0871,3603.7704,698.4642,4800.3881,4562.7744,0.0000,-1908.8908,5302.4684,-1264.5446,1962.1118,-3959.1247,-5090.7807,185.5250,277.1591,-4442.5105,-903.5505,-4515.9786,3286.3672,-828.1999,-2486.6910,-496.1336,2792.1487,4039.5611,-3756.4561,-5375.5260,-3570.5649,2974.7559,4373.5859,3930.8227,-1569.5332,-4071.6771,-3722.8807,-2766.6124,-123314.3581,-126343.9959,-122836.8297,-126323.6650,-120024.2633,-124362.5111,-134024.5025,-125732.1316,-41962956.9106,-41966945.7933,-41954871.8247,-41979784.4110,-125209.6751,-41972257.0585,
