sl_5_5400_20310929 Coordinates.csv
2031/09/29 07:47:00.0000 UTC

Generated: Tue Oct  8 21:12:16 2024,
Start: 2031/09/29 07:47:00.00, Stop: 2031/09/29 09:17:00.00,
TIME_UNITS,STARLINK-5532 - X-Coordinate,STARLINK-2541 - X-Coordinate,STARLINK-6288 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-31602 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5532 - Y-Coordinate,STARLINK-2541 - Y-Coordinate,STARLINK-6288 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-31602 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5532 - Z-Coordinate,STARLINK-2541 - Z-Coordinate,STARLINK-6288 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-31602 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1255.0616,3196.8512,-5507.9115,4526.4091,-3375.8747,273955.1607,284145.3871,271777.4769,276925.1231,285556.6621,281108.8945,276312.6987,278383.1688,122412639.1518,122405382.7016,122402685.0482,122411067.2597,277337.1951,122402341.2884,2905.8449,4005.0164,1800.8084,4207.0039,2728.2463,-244445.8279,-243345.5664,-244433.6050,-247057.9659,-243912.5755,-243007.1003,-239329.4104,-243170.3483,115156817.7829,115184188.7115,115155666.4433,115145347.6782,-243392.8750,115139785.5672,6196.0633,4570.1674,-3801.9300,-2713.1619,-5334.1665,-5669.9355,-9697.3674,-4380.9509,-7785.8434,-1655.0755,-6277.5778,-15521.7308,-5362.1854,-79177809.8564,-79192493.6857,-79187584.7147,-79165841.1631,-6775.8396,-79173201.3631,
300.000,2190.1967,3837.7527,-4115.6511,4716.4036,-2373.1127,278941.0285,289015.0580,276809.2680,281805.1275,290668.0014,285937.1742,281426.3646,283754.6660,119871733.9844,119863632.9930,119861331.6964,119870161.9323,282409.3441,119861532.6940,934.3031,2049.3784,3288.6611,2516.5116,4525.5331,-239032.1600,-237493.2623,-238408.9918,-240896.9082,-237978.1709,-237215.7048,-233426.5869,-237550.7374,117803020.0467,117830361.6684,117801561.9412,117792182.6201,-237504.0774,117785996.7288,6537.3059,5310.2495,-4503.8241,-4121.2140,-4602.6234,-5439.1519,-9501.7354,-4308.3813,-7784.9602,-1553.7973,-5886.9219,-15436.3792,-5521.0583,-79179652.6170,-79194269.1188,-79189362.4392,-79167656.0352,-6664.0884,-79174802.7826,
600.000,2983.7302,4149.9348,-2345.3948,4444.6928,-1181.2902,283845.1515,293756.8058,281718.0824,286553.1196,295652.2698,290613.9599,286414.3518,288906.2021,117273632.8501,117264689.6507,117262795.9218,117272021.1696,287356.4660,117263527.3919,-1097.1882,-109.0217,4496.5674,534.9427,5878.7802,-233505.7259,-231544.1826,-232279.1063,-234608.8796,-231936.3922,-231332.3531,-227416.2633,-231810.6718,120393162.3197,120420457.0154,120391378.9369,120382947.8462,-231509.5766,120376151.6600,6189.6427,5466.9252,-4724.1964,-5052.4345,-3367.2463,-5216.9259,-9302.7268,-4240.2917,-7773.6308,-1454.9672,-5503.5519,-15346.8118,-5770.7822,-79181493.0672,-79196043.7763,-79191134.2514,-79169483.9198,-6552.3323,-79176404.0846,
900.000,3550.6886,4103.4074,-370.4069,3751.4509,92.7335,288660.8350,298368.2114,286501.7927,291169.0467,300507.2207,295134.5415,291274.3759,293817.5377,114619572.3791,114609789.6592,114608315.1185,114617882.6026,292176.3581,114609561.8508,-2984.0527,-2249.7080,5309.1457,-1529.1731,6645.8599,-227866.8152,-225501.0761,-226046.7047,-228194.1473,-225789.9855,-225360.2207,-221301.1105,-225937.0808,122926008.6115,122953238.8446,122923881.9229,122916405.1034,-225412.0268,122909014.3350,5189.5608,5023.0138,-4439.6180,-5399.9330,-1762.7498,-5002.3584,-9100.1210,-4176.5992,-7748.8486,-1358.5623,-5131.7831,-15253.0474,-6083.0810,-79183331.0988,-79197817.6519,-79192899.9868,-79171324.1245,-6440.5713,-79178005.2691,
1200.000,3821.0365,3697.5288,1618.7640,2715.3101,1337.7015,293382.1116,302846.8522,291158.3295,295653.9189,305230.6649,299494.4661,296004.2105,298477.2492,111910815.9047,111900196.7042,111899153.3704,111909010.6694,296866.8737,111900899.2448,-4539.9914,-4154.7262,5644.6651,-3455.7666,6743.3490,-222116.4510,-219366.7271,-219714.5845,-221653.1739,-219541.7443,-219302.0996,-215083.8505,-219919.8674,125400350.2069,125427498.5287,125397862.6999,125391343.5014,-219214.1283,125383375.9958,3642.0657,4027.0717,-3680.2910,-5123.9424,35.2482,-4794.6558,-8893.6740,-4117.2122,-7706.9559,-1264.5604,-4777.1866,-15155.1031,-6424.0936,-79185166.6048,-79199590.7388,-79194659.4784,-79173175.9770,-6328.8054,-79179606.3362,
1500.000,3748.3698,2961.8092,3432.4302,1444.3904,2447.3401,298003.6257,307190.2918,295685.6814,300010.0766,309820.4709,303689.9580,300601.6879,302883.8276,109148652.8623,109137200.5711,109136600.8480,109146696.0083,301425.9235,109138828.8513,-5615.6203,-5630.9437,5463.3271,-5036.3077,6156.2520,-216256.1651,-213143.9498,-213285.5839,-214987.0033,-213194.5082,-213160.1482,-208767.2552,-213752.7878,127815006.2420,127842055.2982,127812140.9533,127806580.0905,-212918.6260,127798055.7295,1710.0748,2588.2813,-2527.0077,-4256.0587,1829.3470,-4593.1257,-8683.1144,-4062.0311,-7643.6374,-1172.9407,-4446.7759,-15052.9943,-6757.4832,-79186999.4791,-79201363.0306,-79196412.5563,-79175038.8245,-6217.0348,-79181207.2858,
1800.000,3317.0009,1954.4345,4899.7582,65.3336,3329.1575,302520.5308,311396.0668,300081.8963,304241.3910,314274.5665,307718.5733,305064.7005,307045.7086,106334398.1747,106322116.5309,106321973.1934,106332254.8382,305851.4765,106324665.4382,-6113.3147,-6530.0156,4772.2150,-6096.1240,4940.4405,-210287.8495,-206835.5804,-206762.5802,-208197.8607,-206751.1617,-206935.5886,-202354.1451,-207433.9005,130168824.2683,130195756.8047,130165564.8167,130160960.4256,-206528.3081,130151901.0310,-402.5290,864.7269,-1102.8730,-2895.8689,3422.2936,-4397.1664,-8468.1399,-4010.9483,-7554.0595,-1083.6833,-4149.0196,-14946.7347,-7047.8326,-79188829.6169,-79203134.5206,-79198159.0477,-79176912.0311,-6105.2595,-79182808.1179,
2100.000,2546.2280,758.2980,5885.0241,-1288.8576,3911.7826,306928.4061,315461.6719,304345.0815,308353.2344,318590.9395,311580.0754,309391.2019,310980.2428,103469391.6266,103456284.7140,103456610.8921,103467028.3275,310141.5607,103459748.6372,-5996.4502,-6763.8427,3626.1445,-6513.9750,3217.2473,-204213.6592,-200444.4668,-200148.4882,-201289.9553,-200214.6332,-200628.4141,-195847.3875,-200965.5411,132460680.8022,132487479.6708,132457011.4218,132453359.1169,-200046.0055,132443788.3542,-2472.6732,-953.9748,439.6023,-1200.1168,4639.0144,-4206.2559,-8248.4134,-3963.8483,-7433.2672,-996.7695,-3893.4830,-14836.3365,-7263.8508,-79190656.9145,-79204905.2022,-79199898.7774,-79178794.9772,-5993.4797,-79184408.8325,
2400.000,1490.8832,-525.3860,6300.4585,-2491.3180,4150.1825,311223.1878,319384.5393,308473.4043,312351.9956,322767.6386,315277.3581,313579.2078,314711.8103,100554997.2264,100541069.4725,100541878.6342,100552381.9511,314294.2644,100545442.3069,-5291.7602,-6313.5343,2123.9263,-6236.6425,1160.8963,-198035.9464,-193973.4537,-193446.2590,-194270.3139,-193587.8934,-194237.2551,-189249.8960,-194353.8740,134689481.8612,134716130.0260,134685387.4346,134682680.3671,-193474.5898,134672623.6474,-4282.1894,-2667.8529,1934.8410,634.9098,5345.9778,-4019.9402,-8023.5571,-3920.6080,-7276.9253,-912.1813,-3689.8651,-14721.8103,-7380.9764,-79192481.2693,-79206675.0687,-79201631.5671,-79180687.0574,-5881.6953,-79186009.4296,
