sl_100_5400_20310326 Coordinates.csv
2031/03/26 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:10 2024,
Start: 2031/03/26 07:47:00.00, Stop: 2031/03/26 09:17:00.00,
TIME_UNITS,STARLINK-6272 - X-Coordinate,STARLINK-2050 - X-Coordinate,STARLINK-30794 - X-Coordinate,STARLINK-2372 - X-Coordinate,STARLINK-31742 - X-Coordinate,STARLINK-30994 - X-Coordinate,STARLINK-30199 - X-Coordinate,STARLINK-32084 - X-Coordinate,STARLINK-1781 - X-Coordinate,STARLINK-4209 - X-Coordinate,STARLINK-6122 - X-Coordinate,STARLINK-31511 - X-Coordinate,STARLINK-31671 - X-Coordinate,STARLINK-30770 - X-Coordinate,STARLINK-5782 - X-Coordinate,STARLINK-5583 - X-Coordinate,STARLINK-3982 - X-Coordinate,STARLINK-5727 - X-Coordinate,STARLINK-2636 - X-Coordinate,STARLINK-5382 - X-Coordinate,STARLINK-11250 [DTC] - X-Coordinate,STARLINK-31658 - X-Coordinate,STARLINK-5574 - X-Coordinate,STARLINK-1456 - X-Coordinate,STARLINK-30406 - X-Coordinate,STARLINK-30956 - X-Coordinate,STARLINK-4492 - X-Coordinate,STARLINK-31547 - X-Coordinate,STARLINK-3249 - X-Coordinate,STARLINK-30526 - X-Coordinate,STARLINK-2010 - X-Coordinate,STARLINK-6336 - X-Coordinate,STARLINK-5586 - X-Coordinate,STARLINK-31406 - X-Coordinate,STARLINK-30383 - X-Coordinate,STARLINK-5993 - X-Coordinate,STARLINK-31956 - X-Coordinate,STARLINK-31449 - X-Coordinate,STARLINK-31759 - X-Coordinate,STARLINK-6261 - X-Coordinate,STARLINK-1801 - X-Coordinate,STARLINK-2035 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-5397 - X-Coordinate,STARLINK-5088 - X-Coordinate,STARLINK-5780 - X-Coordinate,STARLINK-2252 - X-Coordinate,STARLINK-30335 - X-Coordinate,STARLINK-5499 - X-Coordinate,STARLINK-31663 - X-Coordinate,STARLINK-31566 - X-Coordinate,STARLINK-4479 - X-Coordinate,STARLINK-5058 - X-Coordinate,STARLINK-1263 - X-Coordinate,STARLINK-5336 - X-Coordinate,STARLINK-4311 - X-Coordinate,STARLINK-5708 - X-Coordinate,STARLINK-31288 - X-Coordinate,STARLINK-30353 - X-Coordinate,STARLINK-31262 - X-Coordinate,STARLINK-3893 - X-Coordinate,STARLINK-30814 - X-Coordinate,STARLINK-31272 - X-Coordinate,STARLINK-4040 - X-Coordinate,STARLINK-4029 - X-Coordinate,STARLINK-5460 - X-Coordinate,STARLINK-31388 - X-Coordinate,STARLINK-2598 - X-Coordinate,STARLINK-4634 - X-Coordinate,STARLINK-31870 - X-Coordinate,STARLINK-31758 - X-Coordinate,STARLINK-4193 - X-Coordinate,STARLINK-1506 - X-Coordinate,STARLINK-32269 - X-Coordinate,STARLINK-4734 - X-Coordinate,STARLINK-4036 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-32041 - X-Coordinate,STARLINK-30400 - X-Coordinate,STARLINK-4360 - X-Coordinate,STARLINK-2533 - X-Coordinate,STARLINK-30175 - X-Coordinate,STARLINK-4537 - X-Coordinate,STARLINK-5795 - X-Coordinate,STARLINK-4422 - X-Coordinate,STARLINK-30604 - X-Coordinate,STARLINK-2556 - X-Coordinate,STARLINK-5465 - X-Coordinate,STARLINK-4088 - X-Coordinate,STARLINK-3109 - X-Coordinate,STARLINK-4287 - X-Coordinate,STARLINK-30364 - X-Coordinate,STARLINK-1303 - X-Coordinate,STARLINK-4376 - X-Coordinate,STARLINK-31126 - X-Coordinate,STARLINK-4621 - X-Coordinate,STARLINK-3343 - X-Coordinate,STARLINK-30821 - X-Coordinate,STARLINK-11108 [DTC] - X-Coordinate,STARLINK-3930 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6272 - Y-Coordinate,STARLINK-2050 - Y-Coordinate,STARLINK-30794 - Y-Coordinate,STARLINK-2372 - Y-Coordinate,STARLINK-31742 - Y-Coordinate,STARLINK-30994 - Y-Coordinate,STARLINK-30199 - Y-Coordinate,STARLINK-32084 - Y-Coordinate,STARLINK-1781 - Y-Coordinate,STARLINK-4209 - Y-Coordinate,STARLINK-6122 - Y-Coordinate,STARLINK-31511 - Y-Coordinate,STARLINK-31671 - Y-Coordinate,STARLINK-30770 - Y-Coordinate,STARLINK-5782 - Y-Coordinate,STARLINK-5583 - Y-Coordinate,STARLINK-3982 - Y-Coordinate,STARLINK-5727 - Y-Coordinate,STARLINK-2636 - Y-Coordinate,STARLINK-5382 - Y-Coordinate,STARLINK-11250 [DTC] - Y-Coordinate,STARLINK-31658 - Y-Coordinate,STARLINK-5574 - Y-Coordinate,STARLINK-1456 - Y-Coordinate,STARLINK-30406 - Y-Coordinate,STARLINK-30956 - Y-Coordinate,STARLINK-4492 - Y-Coordinate,STARLINK-31547 - Y-Coordinate,STARLINK-3249 - Y-Coordinate,STARLINK-30526 - Y-Coordinate,STARLINK-2010 - Y-Coordinate,STARLINK-6336 - Y-Coordinate,STARLINK-5586 - Y-Coordinate,STARLINK-31406 - Y-Coordinate,STARLINK-30383 - Y-Coordinate,STARLINK-5993 - Y-Coordinate,STARLINK-31956 - Y-Coordinate,STARLINK-31449 - Y-Coordinate,STARLINK-31759 - Y-Coordinate,STARLINK-6261 - Y-Coordinate,STARLINK-1801 - Y-Coordinate,STARLINK-2035 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-5397 - Y-Coordinate,STARLINK-5088 - Y-Coordinate,STARLINK-5780 - Y-Coordinate,STARLINK-2252 - Y-Coordinate,STARLINK-30335 - Y-Coordinate,STARLINK-5499 - Y-Coordinate,STARLINK-31663 - Y-Coordinate,STARLINK-31566 - Y-Coordinate,STARLINK-4479 - Y-Coordinate,STARLINK-5058 - Y-Coordinate,STARLINK-1263 - Y-Coordinate,STARLINK-5336 - Y-Coordinate,STARLINK-4311 - Y-Coordinate,STARLINK-5708 - Y-Coordinate,STARLINK-31288 - Y-Coordinate,STARLINK-30353 - Y-Coordinate,STARLINK-31262 - Y-Coordinate,STARLINK-3893 - Y-Coordinate,STARLINK-30814 - Y-Coordinate,STARLINK-31272 - Y-Coordinate,STARLINK-4040 - Y-Coordinate,STARLINK-4029 - Y-Coordinate,STARLINK-5460 - Y-Coordinate,STARLINK-31388 - Y-Coordinate,STARLINK-2598 - Y-Coordinate,STARLINK-4634 - Y-Coordinate,STARLINK-31870 - Y-Coordinate,STARLINK-31758 - Y-Coordinate,STARLINK-4193 - Y-Coordinate,STARLINK-1506 - Y-Coordinate,STARLINK-32269 - Y-Coordinate,STARLINK-4734 - Y-Coordinate,STARLINK-4036 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-32041 - Y-Coordinate,STARLINK-30400 - Y-Coordinate,STARLINK-4360 - Y-Coordinate,STARLINK-2533 - Y-Coordinate,STARLINK-30175 - Y-Coordinate,STARLINK-4537 - Y-Coordinate,STARLINK-5795 - Y-Coordinate,STARLINK-4422 - Y-Coordinate,STARLINK-30604 - Y-Coordinate,STARLINK-2556 - Y-Coordinate,STARLINK-5465 - Y-Coordinate,STARLINK-4088 - Y-Coordinate,STARLINK-3109 - Y-Coordinate,STARLINK-4287 - Y-Coordinate,STARLINK-30364 - Y-Coordinate,STARLINK-1303 - Y-Coordinate,STARLINK-4376 - Y-Coordinate,STARLINK-31126 - Y-Coordinate,STARLINK-4621 - Y-Coordinate,STARLINK-3343 - Y-Coordinate,STARLINK-30821 - Y-Coordinate,STARLINK-11108 [DTC] - Y-Coordinate,STARLINK-3930 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6272 - Z-Coordinate,STARLINK-2050 - Z-Coordinate,STARLINK-30794 - Z-Coordinate,STARLINK-2372 - Z-Coordinate,STARLINK-31742 - Z-Coordinate,STARLINK-30994 - Z-Coordinate,STARLINK-30199 - Z-Coordinate,STARLINK-32084 - Z-Coordinate,STARLINK-1781 - Z-Coordinate,STARLINK-4209 - Z-Coordinate,STARLINK-6122 - Z-Coordinate,STARLINK-31511 - Z-Coordinate,STARLINK-31671 - Z-Coordinate,STARLINK-30770 - Z-Coordinate,STARLINK-5782 - Z-Coordinate,STARLINK-5583 - Z-Coordinate,STARLINK-3982 - Z-Coordinate,STARLINK-5727 - Z-Coordinate,STARLINK-2636 - Z-Coordinate,STARLINK-5382 - Z-Coordinate,STARLINK-11250 [DTC] - Z-Coordinate,STARLINK-31658 - Z-Coordinate,STARLINK-5574 - Z-Coordinate,STARLINK-1456 - Z-Coordinate,STARLINK-30406 - Z-Coordinate,STARLINK-30956 - Z-Coordinate,STARLINK-4492 - Z-Coordinate,STARLINK-31547 - Z-Coordinate,STARLINK-3249 - Z-Coordinate,STARLINK-30526 - Z-Coordinate,STARLINK-2010 - Z-Coordinate,STARLINK-6336 - Z-Coordinate,STARLINK-5586 - Z-Coordinate,STARLINK-31406 - Z-Coordinate,STARLINK-30383 - Z-Coordinate,STARLINK-5993 - Z-Coordinate,STARLINK-31956 - Z-Coordinate,STARLINK-31449 - Z-Coordinate,STARLINK-31759 - Z-Coordinate,STARLINK-6261 - Z-Coordinate,STARLINK-1801 - Z-Coordinate,STARLINK-2035 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-5397 - Z-Coordinate,STARLINK-5088 - Z-Coordinate,STARLINK-5780 - Z-Coordinate,STARLINK-2252 - Z-Coordinate,STARLINK-30335 - Z-Coordinate,STARLINK-5499 - Z-Coordinate,STARLINK-31663 - Z-Coordinate,STARLINK-31566 - Z-Coordinate,STARLINK-4479 - Z-Coordinate,STARLINK-5058 - Z-Coordinate,STARLINK-1263 - Z-Coordinate,STARLINK-5336 - Z-Coordinate,STARLINK-4311 - Z-Coordinate,STARLINK-5708 - Z-Coordinate,STARLINK-31288 - Z-Coordinate,STARLINK-30353 - Z-Coordinate,STARLINK-31262 - Z-Coordinate,STARLINK-3893 - Z-Coordinate,STARLINK-30814 - Z-Coordinate,STARLINK-31272 - Z-Coordinate,STARLINK-4040 - Z-Coordinate,STARLINK-4029 - Z-Coordinate,STARLINK-5460 - Z-Coordinate,STARLINK-31388 - Z-Coordinate,STARLINK-2598 - Z-Coordinate,STARLINK-4634 - Z-Coordinate,STARLINK-31870 - Z-Coordinate,STARLINK-31758 - Z-Coordinate,STARLINK-4193 - Z-Coordinate,STARLINK-1506 - Z-Coordinate,STARLINK-32269 - Z-Coordinate,STARLINK-4734 - Z-Coordinate,STARLINK-4036 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-32041 - Z-Coordinate,STARLINK-30400 - Z-Coordinate,STARLINK-4360 - Z-Coordinate,STARLINK-2533 - Z-Coordinate,STARLINK-30175 - Z-Coordinate,STARLINK-4537 - Z-Coordinate,STARLINK-5795 - Z-Coordinate,STARLINK-4422 - Z-Coordinate,STARLINK-30604 - Z-Coordinate,STARLINK-2556 - Z-Coordinate,STARLINK-5465 - Z-Coordinate,STARLINK-4088 - Z-Coordinate,STARLINK-3109 - Z-Coordinate,STARLINK-4287 - Z-Coordinate,STARLINK-30364 - Z-Coordinate,STARLINK-1303 - Z-Coordinate,STARLINK-4376 - Z-Coordinate,STARLINK-31126 - Z-Coordinate,STARLINK-4621 - Z-Coordinate,STARLINK-3343 - Z-Coordinate,STARLINK-30821 - Z-Coordinate,STARLINK-11108 [DTC] - Z-Coordinate,STARLINK-3930 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1430.3058,4060.2616,5896.9884,-4081.1213,4709.8267,-1390.6165,229.1730,-3596.6156,-4292.7991,1799.3900,6168.6519,-5122.4270,5823.6628,-3473.1362,-4686.2899,4205.6367,-3533.9549,4000.3648,3775.3784,-1963.9799,4927.6987,0.0000,6294.5758,4767.1084,0.0000,-912.2754,-3706.3891,3945.5018,-522.0148,6009.0615,-747.8134,4751.6599,-4649.7181,4041.8945,4728.3856,-2649.4814,6155.9561,6496.2793,-5204.8588,2618.7334,-5376.3195,-2937.2129,-5745.4706,-16.2383,-6076.7243,4631.8211,5289.3879,3289.8322,2155.3468,-3951.9732,2009.6485,5175.8955,-6221.5949,-1801.4925,2393.4163,6471.7541,5013.3136,-2239.6250,-2393.2655,-2068.5219,-4903.3715,-1996.6115,585.9228,2897.7918,1552.4053,-1024.1697,-4964.9758,5602.9673,5526.5694,-4492.6884,5176.7067,-719.6205,-5997.4911,2.2212,-690.4522,600.2944,-5249.2701,1961.4515,5845.7077,-153.1872,6165.4630,5236.9973,-953.6533,6635.9798,-3544.8131,-2437.2315,3919.1287,3351.9400,163.4706,-334.3468,-2913.2913,380.9572,-3893.1050,1752.5497,5794.0554,4563.1838,-4666.5689,4499.8498,2691.0412,1943.5641,60557.0764,69259.7690,72966.4887,68020.1074,59718.3002,63423.7602,68512.4010,68324.6060,-35515299.7475,-35533634.8952,-35542064.7495,-35522525.4997,67673.9633,-35528690.0622,-6560.5501,-1522.8586,2561.3690,220.6474,-1627.0625,5131.6666,5358.6395,4110.5470,-1013.2581,3854.2234,2263.0470,-1977.3103,-3007.1533,3868.9734,2090.4499,4773.8220,3173.6494,4448.9083,4341.7013,-6398.9728,-3782.7866,0.0000,-641.6456,2750.3255,0.0000,-6828.8542,-5361.9412,-4121.9370,4178.2616,2747.0508,4528.0438,-4490.0839,-4519.8718,-509.5012,-1787.3715,-671.6808,-2555.4209,1367.9665,478.0234,4351.4690,3500.9783,3999.9541,208.6641,6900.4685,1654.7625,-4892.5667,3313.6745,4875.3335,5579.1450,3551.1592,6138.7903,2856.4441,1448.5223,4677.2320,4498.8964,2172.0311,2546.1005,6111.3445,6297.7656,6195.3068,-4320.4223,-4486.8699,4997.7206,-3961.0624,-6324.2609,-4832.3928,-877.1543,1040.1340,2907.1605,5092.6658,359.0327,4345.8201,3384.4104,-5744.7643,-4051.9023,4203.7029,3508.0847,-4190.7232,1566.9806,-2729.4633,2834.9302,2113.9624,6511.8038,-1322.0731,2188.8318,-4900.9021,-1236.4572,-5979.2058,-6770.9313,-2458.7124,-5765.9580,-5089.9149,3580.3085,-77.9423,-380.5025,-4513.1559,4935.9224,2785.3505,5362.0494,-3654.9196,385620.7287,371370.0711,371730.7199,374075.4619,370900.1062,369710.3469,365983.5123,368379.3357,-101463383.9463,-101500450.5285,-101475649.1818,-101453760.0369,369871.9969,-101453520.3147,1665.6978,-5287.5218,-2469.6087,-5408.8485,4614.4244,4303.1195,4384.8324,4170.1957,5278.6432,5424.0191,1745.7533,4029.2122,1915.7549,-4545.6410,-4654.2823,2792.8939,5030.3884,3481.0419,3779.4697,1830.8261,2344.1814,0.0000,-2788.9994,3580.7658,0.0000,-1057.3442,-2237.3841,3764.7775,-5459.5623,2074.7768,-4902.7179,2335.2887,2332.8202,5434.2064,4616.9240,6414.5182,-1136.6704,-1615.5126,4441.6490,-4685.4550,-2483.6258,-4489.2146,-3516.5521,-771.8878,2803.6050,-1408.3836,-2972.0593,3549.7447,3510.8342,-4263.4534,-2092.7744,-3307.5237,-2668.7498,4631.7099,4696.1544,-1123.2147,4016.2527,2068.4943,1146.4092,2275.6568,2207.8060,-4778.5757,4530.6704,4843.2609,2158.8339,4886.0716,4599.9377,3572.6304,-2855.3906,-680.9755,-4435.2016,5256.7495,-25.2160,-3694.2532,5467.6275,5413.9839,-2869.8337,-4689.7133,-3243.5920,6317.6879,852.8296,-3942.7881,-2033.9225,-1790.3524,5517.8605,4237.4346,-5412.7630,-774.8690,1609.7294,-6481.4810,-2146.1048,4614.6735,-4461.4970,6697.7218,3536.5610,2575.8965,1310.2797,-4461.6830,3074.5678,5516.3368,117719.1994,117234.9672,119176.7077,116100.8420,122008.7989,116509.3466,107899.8587,117454.4503,-31933479.0853,-31950132.5405,-31941985.6422,-31952750.3319,116674.0290,-31945344.5315,
300.000,-233.0375,2641.2342,6708.7977,-3653.0381,3675.1508,475.2532,2227.5183,-2838.9581,-5143.7701,3441.2852,6748.1153,-6089.8800,4436.5194,-1541.8857,-3406.4897,5058.1361,-1534.6297,4735.6658,5266.8886,-3250.9677,3342.3336,0.0000,5285.7680,4517.5769,0.0000,-2386.8329,-4267.4844,1993.6054,1541.5598,5986.7015,1304.8653,4567.8378,-5207.2799,3592.0586,3566.7790,-2052.8379,5008.5501,6013.7042,-5183.8634,4246.1831,-3867.5630,-845.9863,-4780.4727,1488.4471,-6094.8697,3502.1580,6351.3468,4293.3494,3111.2685,-2055.8862,3555.7841,4905.4122,-6066.4858,240.5621,4227.0050,5638.9122,6143.1745,-1116.3309,-1235.3080,-555.6534,-5916.1119,-3856.8420,2637.3923,808.3996,372.6199,-1668.8330,-5311.8070,4749.6743,6491.1281,-3231.4838,5471.8830,1173.2721,-5099.3742,-1462.8683,-2764.6668,2590.2952,-4540.5219,-195.4584,6663.3895,729.3845,6561.1076,6227.9150,262.4036,6390.8019,-2436.5223,-4298.5042,2915.0436,2029.9331,-1096.2015,-2455.3499,-4148.4101,-1711.6411,-1928.6780,-151.5329,5995.2793,5231.9659,-3783.9815,5716.3832,4128.9325,19.3726,52355.6632,61779.6686,65200.1733,60351.6745,51857.3754,55802.1219,60645.0481,60210.6557,-33286525.7277,-33303871.8745,-33312713.8702,-33293695.4107,59854.7972,-33299920.3713,-6225.8469,-3182.0628,1157.5887,2367.2942,-3542.3158,5874.6147,5495.9693,5613.0365,838.8712,2417.8867,812.6154,-295.0899,-4077.6045,4821.3632,3824.2097,4707.4764,3891.7078,2602.6725,3810.3453,-5264.7106,-4261.5768,0.0000,-2215.5387,823.6197,0.0000,-6529.9932,-3896.4128,-4781.0164,4601.5624,992.9024,3842.7063,-5224.2608,-2805.9803,-2640.1780,-3621.0757,1450.2043,-3750.6188,-20.5249,2523.9132,2937.3186,4099.8436,4116.5573,2008.3526,6404.5051,3030.4515,-5922.1538,2393.5324,3129.7389,6002.3662,4551.7529,5751.4959,1058.5060,3083.5019,4264.9727,3444.0117,2351.5404,1008.4838,6733.7789,6689.2298,5760.0330,-3523.4296,-4344.1117,4248.4004,-4156.0771,-6841.6268,-3043.6855,1214.0535,-651.1523,1909.2750,5945.1337,-1672.8338,5089.0307,4260.2166,-6310.8308,-3374.6046,3304.7278,5020.4105,-3997.9445,353.9060,-672.8797,1678.3285,499.1821,6877.2505,-2838.7703,4011.7706,-4278.8498,-3182.8889,-6098.1305,-6062.9503,-2693.0674,-5382.8697,-5265.1384,4038.6037,1179.8738,-2194.6383,-4510.9062,5771.5418,1163.6126,5142.3742,-4607.9348,386719.0527,372324.0589,372935.8952,375173.9093,372204.3168,371095.0339,367320.4136,369837.9103,-102212645.1542,-102249749.9014,-102225196.5193,-102202227.7907,371212.0436,-102202702.2414,3003.5811,-5446.1105,-1034.0679,-5196.9153,4480.2322,3473.6423,3583.8124,2771.9364,4492.1045,5461.2612,222.4866,3039.0360,3207.1895,-4698.1252,-4665.3020,748.8029,5509.5749,4323.8353,2272.3951,3138.1992,3837.1969,0.0000,-3869.4331,4690.2740,0.0000,481.5822,-3756.4764,4459.0172,-4897.2005,3333.4951,-5350.8172,251.5985,3532.3417,5124.3357,4586.3857,6503.2728,-2565.4592,-3245.4738,3718.0059,-4592.1747,-3946.6966,-5207.8524,-4305.7574,-2234.2844,1105.8349,127.9997,-1303.6745,4352.7607,1555.3361,-4632.8647,-600.5983,-4551.2653,-1266.7801,5320.8248,4278.1524,-3249.4532,3001.9698,286.2541,-677.9774,3784.9821,443.6080,-3633.5072,4565.2953,5441.2050,386.1016,6016.2566,4111.4886,4714.8166,-1161.6967,876.4957,-3721.6764,4447.7551,-1815.6178,-2160.9291,5269.0885,5450.9006,-1504.7754,-5232.9479,-1615.2292,6811.7509,-969.7244,-2897.4926,-253.8541,-288.7406,5077.7549,3338.6816,-5249.4331,-2509.4083,3236.6397,-5906.7303,-365.8421,4087.5806,-5277.5016,6820.0542,2342.6217,383.7494,-501.3021,-3725.2707,1408.4581,5132.5501,117759.4265,117474.4212,119227.7650,116026.5080,122076.8935,116866.5909,107929.1936,117870.8452,-31932558.0408,-31949345.1450,-31941296.8549,-31951443.2585,116740.9261,-31944352.2163,
600.000,-1899.0835,997.1356,6856.1769,-2899.8824,2302.2199,2268.5371,3993.8942,-1824.9719,-5515.0981,4779.4415,6632.7042,-6449.3071,2594.2141,522.4977,-1832.9484,5389.8312,604.0005,5052.2222,6218.2952,-4254.0868,1364.4363,0.0000,3776.4184,3793.5599,0.0000,-3638.1348,-4440.5114,-159.7353,3429.3494,5405.3292,3243.5747,3920.8798,-5282.8029,2824.8758,2085.2303,-1332.8883,3332.1169,4925.6849,-4678.5990,5486.1440,-1956.9577,1348.1541,-3338.6527,2870.8581,-5507.6386,2023.7958,6776.6929,4911.6077,3731.6395,35.3804,4729.0216,4159.5648,-5327.9275,2282.3546,5664.1876,4202.4092,6683.1359,119.0748,57.6530,1047.7313,-6333.0707,-5307.9934,4430.3034,-1367.2945,-840.6725,-2222.5513,-5156.6331,3418.5080,6792.3720,-1633.9412,5243.2643,2915.6218,-3677.8074,-2754.4934,-4569.9375,4345.0170,-3404.6101,-2345.4561,6804.9502,1440.8730,6285.3157,6615.0562,1449.1525,5544.5671,-1139.5058,-5736.9455,1661.6763,481.2000,-2284.3226,-4311.2678,-4946.2361,-3621.4483,228.7140,-2089.9806,5595.6244,5329.7500,-2520.6162,6395.7781,5111.3228,-1874.2067,44135.7010,54225.9794,57405.7324,52664.6938,43971.7288,48176.7827,52751.4593,52037.1960,-31041974.4892,-31058332.5643,-31067577.3750,-31049148.6283,52009.2206,-31055377.2844,-5297.8168,-4557.1283,-350.8138,4271.6560,-5110.7424,6048.5067,5131.0801,6542.2792,2573.2232,786.1844,-719.2191,1391.1274,-4765.0308,5343.9469,5213.8975,4170.0400,4285.3713,501.8362,2919.1825,-3622.4462,-4303.3411,0.0000,-3607.5698,-1226.7226,0.0000,-5606.8548,-2025.9125,-5000.7377,4615.2866,-880.3459,2797.5579,-5423.5771,-802.3488,-4500.0347,-5113.9009,3450.0612,-4578.3568,-1441.1557,4304.7696,1271.2635,4328.4220,3842.9259,3628.9752,5294.2111,4091.0933,-6364.6491,1249.0360,1078.2102,5823.0158,5130.9491,4772.2307,-881.9346,4408.5233,3468.2912,2094.8740,2230.2040,-600.7314,6659.3361,6392.2343,4776.6002,-2377.5590,-3796.0966,3099.8156,-3996.7709,-6661.1030,-960.8009,3166.1024,-2314.6551,730.0008,6196.8893,-3517.1316,5354.6134,4725.0108,-6235.3844,-2410.0810,2129.6282,6039.4982,-3407.2389,-876.8958,1491.2419,338.5934,-1139.5023,6549.0094,-4085.4963,5458.7637,-3272.6520,-4820.8556,-5622.3449,-4770.7758,-2730.2571,-4439.2127,-4956.7263,4156.6815,2228.3765,-3766.0400,-4009.0828,6036.6349,-540.7521,4381.6289,-5148.6093,387641.6388,373088.7142,373975.6147,376089.5404,373341.4536,372324.2857,368489.9760,371217.8516,-102912952.6441,-102950072.8609,-102925770.3159,-102901742.3983,372386.8171,-102902930.4606,4017.8419,-4999.5694,514.4540,-4392.4438,3837.3042,2257.7042,2398.9304,1069.3674,3214.7885,4905.8510,-1326.0319,1706.3248,4139.3290,-4343.0834,-4176.9502,-1374.9134,5397.2206,4702.2243,517.1532,4110.5758,4863.4303,0.0000,-4533.0862,5213.1053,0.0000,1969.7078,-4866.9218,4656.3159,-3803.2829,4234.2771,-5172.1589,-1858.9376,4347.0482,4233.2395,4047.3808,5910.9163,-3698.6597,-4513.1010,2584.1741,-4003.5266,-4978.3421,-5310.1543,-4594.7484,-3458.7038,-712.2845,1650.3449,505.5779,4677.6724,-566.3925,-4481.0048,960.0441,-5274.6111,271.4661,5414.8330,3402.5434,-5026.2455,1663.5392,-1528.0473,-2426.6720,4886.4944,-1368.8035,-2086.1397,4076.9580,5449.0094,-1429.2847,6508.7252,3162.8553,5306.1330,660.0685,2335.4953,-2591.3818,3148.4524,-3407.8968,-385.6864,4485.5386,4893.1191,21.3024,-5127.8249,191.1661,6565.3311,-2684.2725,-1536.0344,1553.9230,1242.9619,4091.4307,2081.3687,-4491.9320,-3971.5395,4520.7417,-4704.3276,1455.7900,3113.9603,-5527.1317,6213.4359,883.1477,-1849.7941,-2258.9048,-2588.6415,-421.4604,4192.5972,117799.4963,117688.8708,119274.0178,115956.8602,122142.3102,117222.8851,107962.7654,118204.2713,-31931642.3182,-31948557.5587,-31940608.7222,-31950103.7970,116807.7534,-31943359.8901,
