sl_100_86400_20310902 Coordinates.csv
2031/09/02 07:47:00.0000 UTC

Generated: Tue Oct  8 21:59:18 2024,
Start: 2031/09/02 07:47:00.00, Stop: 2031/09/03 07:47:00.00,
TIME_UNITS,STARLINK-1282 - X-Coordinate,STARLINK-1374 - X-Coordinate,STARLINK-3607 - X-Coordinate,STARLINK-1822 - X-Coordinate,STARLINK-4614 - X-Coordinate,STARLINK-1215 - X-Coordinate,STARLINK-31213 - X-Coordinate,STARLINK-3683 - X-Coordinate,STARLINK-30892 - X-Coordinate,STARLINK-1669 - X-Coordinate,STARLINK-3835 - X-Coordinate,STARLINK-30808 - X-Coordinate,STARLINK-31659 - X-Coordinate,STARLINK-5244 - X-Coordinate,STARLINK-4316 - X-Coordinate,STARLINK-3119 - X-Coordinate,STARLINK-2582 - X-Coordinate,STARLINK-2144 - X-Coordinate,STARLINK-30486 - X-Coordinate,STARLINK-4307 - X-Coordinate,STARLINK-4347 - X-Coordinate,STARLINK-4034 - X-Coordinate,STARLINK-4410 - X-Coordinate,STARLINK-2417 - X-Coordinate,STARLINK-5023 - X-Coordinate,STARLINK-3298 - X-Coordinate,STARLINK-30814 - X-Coordinate,STARLINK-6111 - X-Coordinate,STARLINK-6058 - X-Coordinate,STARLINK-6059 - X-Coordinate,STARLINK-5818 - X-Coordinate,STARLINK-4281 - X-Coordinate,STARLINK-5991 - X-Coordinate,STARLINK-31305 - X-Coordinate,STARLINK-32278 - X-Coordinate,STARLINK-6163 - X-Coordinate,STARLINK-4625 - X-Coordinate,STARLINK-31734 - X-Coordinate,STARLINK-5385 - X-Coordinate,STARLINK-4332 - X-Coordinate,STARLINK-31677 - X-Coordinate,STARLINK-31796 - X-Coordinate,STARLINK-1953 - X-Coordinate,STARLINK-30295 - X-Coordinate,STARLINK-3983 - X-Coordinate,STARLINK-6212 - X-Coordinate,STARLINK-30603 - X-Coordinate,STARLINK-1271 - X-Coordinate,STARLINK-2509 - X-Coordinate,STARLINK-32178 - X-Coordinate,STARLINK-4296 - X-Coordinate,STARLINK-30506 - X-Coordinate,STARLINK-4264 - X-Coordinate,STARLINK-6372 - X-Coordinate,STARLINK-11242 [DTC] - X-Coordinate,STARLINK-4530 - X-Coordinate,STARLINK-32027 - X-Coordinate,STARLINK-4563 - X-Coordinate,STARLINK-4436 - X-Coordinate,STARLINK-1680 - X-Coordinate,STARLINK-3325 - X-Coordinate,STARLINK-6361 - X-Coordinate,STARLINK-31598 - X-Coordinate,STARLINK-5144 - X-Coordinate,STARLINK-2125 - X-Coordinate,STARLINK-2157 - X-Coordinate,STARLINK-3256 - X-Coordinate,STARLINK-30800 - X-Coordinate,STARLINK-6332 - X-Coordinate,STARLINK-3927 - X-Coordinate,STARLINK-31093 - X-Coordinate,STARLINK-2645 - X-Coordinate,STARLINK-4542 - X-Coordinate,STARLINK-5055 - X-Coordinate,STARLINK-6323 - X-Coordinate,STARLINK-4145 - X-Coordinate,STARLINK-31261 - X-Coordinate,STARLINK-31854 - X-Coordinate,STARLINK-31902 - X-Coordinate,STARLINK-11187 [DTC] - X-Coordinate,STARLINK-3185 - X-Coordinate,STARLINK-3957 - X-Coordinate,STARLINK-3907 - X-Coordinate,STARLINK-31397 - X-Coordinate,STARLINK-5357 - X-Coordinate,STARLINK-31654 - X-Coordinate,STARLINK-5724 - X-Coordinate,STARLINK-1277 - X-Coordinate,STARLINK-5843 - X-Coordinate,STARLINK-5218 - X-Coordinate,STARLINK-1015 - X-Coordinate,STARLINK-11190 [DTC] - X-Coordinate,STARLINK-3833 - X-Coordinate,STARLINK-31568 - X-Coordinate,STARLINK-30440 - X-Coordinate,STARLINK-3976 - X-Coordinate,STARLINK-5447 - X-Coordinate,STARLINK-1526 - X-Coordinate,STARLINK-4107 - X-Coordinate,STARLINK-3697 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1282 - Y-Coordinate,STARLINK-1374 - Y-Coordinate,STARLINK-3607 - Y-Coordinate,STARLINK-1822 - Y-Coordinate,STARLINK-4614 - Y-Coordinate,STARLINK-1215 - Y-Coordinate,STARLINK-31213 - Y-Coordinate,STARLINK-3683 - Y-Coordinate,STARLINK-30892 - Y-Coordinate,STARLINK-1669 - Y-Coordinate,STARLINK-3835 - Y-Coordinate,STARLINK-30808 - Y-Coordinate,STARLINK-31659 - Y-Coordinate,STARLINK-5244 - Y-Coordinate,STARLINK-4316 - Y-Coordinate,STARLINK-3119 - Y-Coordinate,STARLINK-2582 - Y-Coordinate,STARLINK-2144 - Y-Coordinate,STARLINK-30486 - Y-Coordinate,STARLINK-4307 - Y-Coordinate,STARLINK-4347 - Y-Coordinate,STARLINK-4034 - Y-Coordinate,STARLINK-4410 - Y-Coordinate,STARLINK-2417 - Y-Coordinate,STARLINK-5023 - Y-Coordinate,STARLINK-3298 - Y-Coordinate,STARLINK-30814 - Y-Coordinate,STARLINK-6111 - Y-Coordinate,STARLINK-6058 - Y-Coordinate,STARLINK-6059 - Y-Coordinate,STARLINK-5818 - Y-Coordinate,STARLINK-4281 - Y-Coordinate,STARLINK-5991 - Y-Coordinate,STARLINK-31305 - Y-Coordinate,STARLINK-32278 - Y-Coordinate,STARLINK-6163 - Y-Coordinate,STARLINK-4625 - Y-Coordinate,STARLINK-31734 - Y-Coordinate,STARLINK-5385 - Y-Coordinate,STARLINK-4332 - Y-Coordinate,STARLINK-31677 - Y-Coordinate,STARLINK-31796 - Y-Coordinate,STARLINK-1953 - Y-Coordinate,STARLINK-30295 - Y-Coordinate,STARLINK-3983 - Y-Coordinate,STARLINK-6212 - Y-Coordinate,STARLINK-30603 - Y-Coordinate,STARLINK-1271 - Y-Coordinate,STARLINK-2509 - Y-Coordinate,STARLINK-32178 - Y-Coordinate,STARLINK-4296 - Y-Coordinate,STARLINK-30506 - Y-Coordinate,STARLINK-4264 - Y-Coordinate,STARLINK-6372 - Y-Coordinate,STARLINK-11242 [DTC] - Y-Coordinate,STARLINK-4530 - Y-Coordinate,STARLINK-32027 - Y-Coordinate,STARLINK-4563 - Y-Coordinate,STARLINK-4436 - Y-Coordinate,STARLINK-1680 - Y-Coordinate,STARLINK-3325 - Y-Coordinate,STARLINK-6361 - Y-Coordinate,STARLINK-31598 - Y-Coordinate,STARLINK-5144 - Y-Coordinate,STARLINK-2125 - Y-Coordinate,STARLINK-2157 - Y-Coordinate,STARLINK-3256 - Y-Coordinate,STARLINK-30800 - Y-Coordinate,STARLINK-6332 - Y-Coordinate,STARLINK-3927 - Y-Coordinate,STARLINK-31093 - Y-Coordinate,STARLINK-2645 - Y-Coordinate,STARLINK-4542 - Y-Coordinate,STARLINK-5055 - Y-Coordinate,STARLINK-6323 - Y-Coordinate,STARLINK-4145 - Y-Coordinate,STARLINK-31261 - Y-Coordinate,STARLINK-31854 - Y-Coordinate,STARLINK-31902 - Y-Coordinate,STARLINK-11187 [DTC] - Y-Coordinate,STARLINK-3185 - Y-Coordinate,STARLINK-3957 - Y-Coordinate,STARLINK-3907 - Y-Coordinate,STARLINK-31397 - Y-Coordinate,STARLINK-5357 - Y-Coordinate,STARLINK-31654 - Y-Coordinate,STARLINK-5724 - Y-Coordinate,STARLINK-1277 - Y-Coordinate,STARLINK-5843 - Y-Coordinate,STARLINK-5218 - Y-Coordinate,STARLINK-1015 - Y-Coordinate,STARLINK-11190 [DTC] - Y-Coordinate,STARLINK-3833 - Y-Coordinate,STARLINK-31568 - Y-Coordinate,STARLINK-30440 - Y-Coordinate,STARLINK-3976 - Y-Coordinate,STARLINK-5447 - Y-Coordinate,STARLINK-1526 - Y-Coordinate,STARLINK-4107 - Y-Coordinate,STARLINK-3697 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1282 - Z-Coordinate,STARLINK-1374 - Z-Coordinate,STARLINK-3607 - Z-Coordinate,STARLINK-1822 - Z-Coordinate,STARLINK-4614 - Z-Coordinate,STARLINK-1215 - Z-Coordinate,STARLINK-31213 - Z-Coordinate,STARLINK-3683 - Z-Coordinate,STARLINK-30892 - Z-Coordinate,STARLINK-1669 - Z-Coordinate,STARLINK-3835 - Z-Coordinate,STARLINK-30808 - Z-Coordinate,STARLINK-31659 - Z-Coordinate,STARLINK-5244 - Z-Coordinate,STARLINK-4316 - Z-Coordinate,STARLINK-3119 - Z-Coordinate,STARLINK-2582 - Z-Coordinate,STARLINK-2144 - Z-Coordinate,STARLINK-30486 - Z-Coordinate,STARLINK-4307 - Z-Coordinate,STARLINK-4347 - Z-Coordinate,STARLINK-4034 - Z-Coordinate,STARLINK-4410 - Z-Coordinate,STARLINK-2417 - Z-Coordinate,STARLINK-5023 - Z-Coordinate,STARLINK-3298 - Z-Coordinate,STARLINK-30814 - Z-Coordinate,STARLINK-6111 - Z-Coordinate,STARLINK-6058 - Z-Coordinate,STARLINK-6059 - Z-Coordinate,STARLINK-5818 - Z-Coordinate,STARLINK-4281 - Z-Coordinate,STARLINK-5991 - Z-Coordinate,STARLINK-31305 - Z-Coordinate,STARLINK-32278 - Z-Coordinate,STARLINK-6163 - Z-Coordinate,STARLINK-4625 - Z-Coordinate,STARLINK-31734 - Z-Coordinate,STARLINK-5385 - Z-Coordinate,STARLINK-4332 - Z-Coordinate,STARLINK-31677 - Z-Coordinate,STARLINK-31796 - Z-Coordinate,STARLINK-1953 - Z-Coordinate,STARLINK-30295 - Z-Coordinate,STARLINK-3983 - Z-Coordinate,STARLINK-6212 - Z-Coordinate,STARLINK-30603 - Z-Coordinate,STARLINK-1271 - Z-Coordinate,STARLINK-2509 - Z-Coordinate,STARLINK-32178 - Z-Coordinate,STARLINK-4296 - Z-Coordinate,STARLINK-30506 - Z-Coordinate,STARLINK-4264 - Z-Coordinate,STARLINK-6372 - Z-Coordinate,STARLINK-11242 [DTC] - Z-Coordinate,STARLINK-4530 - Z-Coordinate,STARLINK-32027 - Z-Coordinate,STARLINK-4563 - Z-Coordinate,STARLINK-4436 - Z-Coordinate,STARLINK-1680 - Z-Coordinate,STARLINK-3325 - Z-Coordinate,STARLINK-6361 - Z-Coordinate,STARLINK-31598 - Z-Coordinate,STARLINK-5144 - Z-Coordinate,STARLINK-2125 - Z-Coordinate,STARLINK-2157 - Z-Coordinate,STARLINK-3256 - Z-Coordinate,STARLINK-30800 - Z-Coordinate,STARLINK-6332 - Z-Coordinate,STARLINK-3927 - Z-Coordinate,STARLINK-31093 - Z-Coordinate,STARLINK-2645 - Z-Coordinate,STARLINK-4542 - Z-Coordinate,STARLINK-5055 - Z-Coordinate,STARLINK-6323 - Z-Coordinate,STARLINK-4145 - Z-Coordinate,STARLINK-31261 - Z-Coordinate,STARLINK-31854 - Z-Coordinate,STARLINK-31902 - Z-Coordinate,STARLINK-11187 [DTC] - Z-Coordinate,STARLINK-3185 - Z-Coordinate,STARLINK-3957 - Z-Coordinate,STARLINK-3907 - Z-Coordinate,STARLINK-31397 - Z-Coordinate,STARLINK-5357 - Z-Coordinate,STARLINK-31654 - Z-Coordinate,STARLINK-5724 - Z-Coordinate,STARLINK-1277 - Z-Coordinate,STARLINK-5843 - Z-Coordinate,STARLINK-5218 - Z-Coordinate,STARLINK-1015 - Z-Coordinate,STARLINK-11190 [DTC] - Z-Coordinate,STARLINK-3833 - Z-Coordinate,STARLINK-31568 - Z-Coordinate,STARLINK-30440 - Z-Coordinate,STARLINK-3976 - Z-Coordinate,STARLINK-5447 - Z-Coordinate,STARLINK-1526 - Z-Coordinate,STARLINK-4107 - Z-Coordinate,STARLINK-3697 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3313.2640,6147.4008,1716.2072,-4975.3977,1709.2946,-2190.4252,-3262.0187,-5081.8377,3955.1201,6252.1060,-3406.1494,-3744.7236,-4096.2935,5568.7029,1884.3074,-2754.0510,-4298.2526,-4106.6309,2119.1457,-3718.7029,2678.1735,1350.4909,-4243.4489,72.1256,-5675.6330,-4146.0151,-707.2327,5085.0928,1371.5146,-4065.0048,754.0542,2903.3074,2777.0960,-2762.3101,-1413.3267,5655.6747,-2576.8608,-24.9610,5701.2010,-6782.4951,-3841.3819,5876.1118,2548.3142,3577.7298,-4321.1143,-1959.7176,5298.0710,5708.0245,1263.9728,-6462.7229,6480.3423,4563.5877,-5984.1693,-4858.8136,0.0000,-2995.1888,1105.9274,-5227.1684,-1303.1209,-5731.5903,-5200.5394,-198.3350,-2172.3298,4936.1137,4082.0201,5551.0336,5061.9000,5956.6659,-1051.4056,4341.2869,-600.3917,5901.8265,2182.7546,-123.7735,-4787.8797,-4969.4151,5327.8706,-4997.5658,-6149.1612,0.0000,-6809.6021,4884.9170,-5073.0879,5744.9918,3352.8552,1872.8226,-4439.1223,-4088.5200,6613.6436,877.9723,-4595.7910,-4111.6830,4895.7812,5516.5450,5814.6265,5289.6148,-6622.2924,-6091.7640,5147.6591,-4160.9496,110569.2768,117240.1881,100148.5063,103628.3883,112718.0820,109242.8290,106498.6603,106417.2237,121715180.1879,121749072.3293,121748502.6214,121734343.0593,105623.9872,121728166.5331,5494.8436,-2504.7369,5038.7687,-4004.7780,5907.5778,-5468.8182,-5140.9786,-2106.4074,5671.2997,-664.2895,-2517.5153,-3575.2195,-113.9475,-3818.9478,2935.5729,-4751.9993,1414.4038,-2959.0017,4632.0568,-811.1966,2047.8729,3851.7485,3867.2754,4801.1794,2588.8109,1123.5025,4115.3745,2985.8430,2358.1125,-925.5578,6790.4253,3258.9000,3501.2363,-5683.8159,-5450.0053,-2164.7420,4033.5450,6048.6473,1078.1437,-1592.0368,-4427.6273,1877.7465,-3887.6835,2637.6988,157.7221,-4885.0400,-779.0641,-3420.0200,3846.9850,-575.6385,66.0427,-4120.9030,2474.9525,3908.2318,0.0000,3094.0449,-4626.1815,4395.0581,-5186.9097,-1801.0332,4468.8988,-5106.9589,6471.2870,-2534.0799,5341.4889,78.2494,-4521.9934,-2304.3225,-6785.3187,673.1326,-4804.0447,2246.6288,4006.6047,4364.3359,1828.8816,2019.2061,-1198.1540,2493.5207,-1863.4473,0.0000,-1147.8997,-365.5912,-725.7595,2791.7861,-5037.9289,-6165.3227,-2427.1117,3991.9334,515.8291,6872.5320,1281.1314,5284.8425,4763.5160,-275.7583,-782.7581,-1030.1995,-1714.8286,-1595.5064,73.3580,-194.9311,-362235.1366,-352417.9808,-350768.1453,-355343.3654,-356269.4247,-353505.8589,-348083.3349,-353676.0956,87321389.5327,87352882.1972,87323311.2623,87308458.0121,-352147.3518,87311502.6818,2502.2526,-1974.1258,-4359.4046,-2678.2606,-3152.3104,3515.3434,2944.4226,-4173.6891,357.5082,-2795.0945,5406.8172,-4586.5929,5425.9937,1393.5991,5951.9010,4241.9878,5153.4970,-4255.6821,-4692.8257,-5795.7812,-6057.4916,-5447.3370,3870.4024,-4706.3341,2699.2617,-5387.1111,-5431.8151,3595.2452,-6400.4645,5518.2046,-1287.9019,-5316.0866,5325.1047,-2271.8694,-3848.8780,-3317.8742,-4981.6493,-3124.2245,3832.7776,-627.3022,3312.4896,2713.5399,-4870.0338,5166.2537,-5375.0483,-4492.3209,-4413.4317,1768.8465,5234.5144,2193.0873,-2185.5430,3193.2827,-1611.2666,2992.0732,0.0000,5377.1509,-4856.7266,772.4107,4351.3630,-3404.5901,-801.7003,-4668.6152,183.4681,4070.1694,1326.3147,-4037.0927,1106.2633,-2579.8720,-550.3971,-5257.5563,4948.6657,2740.8931,-5129.2283,5309.3484,4250.4333,4295.6589,-4093.9644,-3883.7979,2240.4707,0.0000,9.4401,-4786.7540,4574.0078,-2113.7804,-3271.3892,-2184.4678,4688.5339,3861.7947,-1952.1065,-562.9827,-5013.4865,-682.3883,864.8052,-4037.2939,-3583.9074,3775.2632,539.3205,-1866.8112,-4473.7466,5507.8117,5412.1193,1844.0250,8640.7809,5269.9631,11377.5390,6627.3079,-2529.5679,5860.0397,-63989878.6226,-64003266.5089,-63991061.0828,-63993771.4179,6222.9356,-64002166.2418,
3600.000,-4727.8032,-3095.7005,-4342.2256,4370.3099,-3504.9335,4261.8985,5714.2435,6883.1298,-5004.9966,-6198.1808,6263.0818,6412.6137,3571.0292,-2501.2626,-734.8387,3748.2498,1116.3444,3588.4092,-5543.3739,5381.0437,2180.2086,-5527.5118,6355.3021,-3395.8003,1587.5311,3975.9541,-3242.2770,-6855.4524,-4053.7031,6772.8883,-815.9196,-5055.5598,1109.1325,4708.3747,3853.8268,-2328.9403,5700.4212,-2915.8332,-6761.9040,3858.9847,6286.5962,-4224.9777,2759.0136,-4585.3336,2798.2372,5326.7381,-5268.1496,-2416.5463,-5844.8196,6298.2459,-6121.9867,-804.0505,3929.5034,1139.9763,0.0000,-954.1563,3634.8797,3219.5644,-878.6437,6840.5598,3300.3719,3955.5461,-328.7823,-863.0976,-4902.5714,-2582.3545,-3233.1619,-4986.8365,3199.6454,-5882.2610,4007.2806,-6639.4325,-4856.6193,-4170.6984,937.7272,1012.9315,-2330.3551,1020.5991,6506.4681,0.0000,5547.0817,-5882.0282,6637.2717,-4661.5031,-1209.0270,2007.0674,5806.5790,-115.5990,-6430.4748,-945.6165,5024.1091,1286.6244,-5240.9075,-3160.1096,-3037.8222,-5028.2397,5714.9296,5336.1779,-2134.7456,4570.2063,197358.4834,200146.4990,185289.8467,188841.7592,198060.1209,189093.9212,191792.8529,189327.8186,94959024.5291,94981572.8503,94988038.5275,94981238.1465,190391.8833,94971613.1261,-4622.0599,3522.3300,-5321.0971,495.9760,-5834.5675,5312.7388,3437.3818,490.6345,-3085.8378,2444.1385,-133.5088,1092.0788,-4495.5589,4176.4220,-6669.8255,5821.4159,-4794.8528,-2856.7916,-3000.3909,4138.8865,606.0353,-1917.9684,-2389.2313,-5782.1380,-3827.4278,-4925.7305,-5275.7401,-846.9552,1357.1728,397.3865,-5894.2426,774.6454,18.0363,1406.1581,1479.4843,4477.8176,-3889.0382,-6095.9925,1459.9505,2786.0556,2301.6061,2555.2348,4040.8581,2090.4340,-4348.2803,3913.5008,4107.7543,3997.9967,-2505.0981,-1191.1461,1744.1680,5011.2171,-4064.4484,-4945.9125,0.0000,-5099.0019,3002.3149,-4906.8481,474.8188,211.0759,-4966.5822,4986.8040,-5245.0863,4074.2863,-3579.8822,3272.7110,5096.1562,4592.2278,5249.5557,2749.9832,2136.7038,-702.0836,-166.5614,-2932.0942,-5569.4486,-4104.8876,4766.9231,-5101.0620,-814.6551,0.0000,-763.9475,3352.9418,-1630.3439,1639.4939,6759.5002,4611.6826,-1422.7610,-4154.5231,1788.9560,-5469.7131,-4418.8885,-5197.0173,-2814.8768,4200.1691,4061.0766,3941.9154,-319.5057,-1223.5767,3834.5218,-3789.3937,-320681.1819,-313594.4743,-311718.6991,-312894.6232,-318392.0072,-315565.0232,-310576.8663,-313330.3295,115897366.4206,115932493.9481,115905435.9861,115890750.6584,-314681.4364,115886649.0612,1935.3483,5084.3447,344.3593,5337.3233,-1192.8588,859.8807,1142.7177,147.8449,-3659.8134,-1710.6493,-2842.0391,2331.4615,-3665.1524,-4892.0912,-1625.2840,493.9939,-4791.9862,4749.0586,2851.3568,1373.7652,6537.6231,3460.8404,1356.5879,424.7033,-5397.9562,2701.5510,2917.1401,-247.6211,5476.4449,-1366.7867,-3605.4774,4582.2058,-6873.2728,4564.3895,5412.9984,4698.5359,-68.8070,-813.5837,-783.2364,5115.4049,749.9042,-4597.2208,4608.9551,-4604.2299,4549.8755,2026.4461,1853.1743,-5065.5304,-1868.5299,2407.6590,-2502.5595,-4726.8419,-3548.3249,-4708.5790,0.0000,-4551.0834,4881.1446,3567.2969,-6832.1390,-897.8998,-3485.4794,2702.0093,-4366.4357,-5491.5636,3174.2937,5438.7694,3288.4894,-1214.3399,-3111.7211,2164.8408,-5241.1255,1688.9603,4832.4406,-4628.5434,-3543.8131,-5431.0028,4278.0100,4367.4877,1817.6582,0.0000,4029.8033,998.2327,-752.1781,4553.4329,-371.5431,4568.0582,-3459.7146,-5515.5617,-1805.0088,-4193.9597,1739.9292,-4078.8988,3457.7024,4360.8423,4627.6857,1586.4059,3774.7665,-3631.0586,5204.8616,-3551.7136,6499.1777,3664.4571,9294.4044,6660.3758,12475.4087,9581.9424,-1227.6871,8205.9401,-64016424.3210,-64032010.7545,-64020616.0322,-64021442.0934,7585.4610,-64028426.2376,
7200.000,4442.4169,-1150.5409,4750.8811,-3416.7686,4021.7441,-4460.0324,-5211.1959,-5510.6486,5002.9373,3052.8498,-6392.9879,-6664.3820,-2207.9104,-1993.8092,-1557.9410,-2991.3949,1377.8307,-1911.7099,6814.7984,-2944.8949,-4024.2120,6696.1156,-3799.7256,4295.9969,3110.2294,-2724.8042,4920.9757,5876.5017,6074.2237,-5879.0204,1693.4326,5869.1444,-2175.1120,-5073.9677,-5697.7666,-1314.9493,-4627.6599,4552.6635,5475.1704,659.5151,-5101.3588,1267.8582,-5951.1236,4472.2103,-1387.5048,-6423.0758,3662.8067,-2125.2975,5649.2780,-2972.3726,2538.9583,-3108.6018,1399.9057,2865.2291,0.0000,3604.8686,-6589.7116,935.6943,-148.0543,-4845.8212,642.0161,-5854.2406,3802.7289,-3004.6476,4113.8053,-359.6186,-748.9308,1738.1859,-4800.3226,4828.0524,-6524.1976,4392.1468,6206.6751,6662.6445,2651.8182,2594.1944,-805.8923,2722.5516,-3633.3936,0.0000,-2281.6496,4015.0478,-5034.3850,1957.9201,-1534.0988,-5631.8453,-5516.8995,4221.0867,3697.7927,1964.6400,-3663.2423,3308.8974,3981.4070,405.0581,-123.3447,177.5645,-2481.7008,-273.8077,-627.1044,-3913.5430,269669.7714,270713.1637,258693.0402,264249.7189,271098.0318,258713.5837,264965.4391,264247.7186,61707076.5961,61717899.2363,61729748.9677,61727083.5013,263129.4175,61719793.4382,1228.9655,-4556.9049,3102.3313,3729.1922,2980.9160,-2345.4141,452.2895,1277.1346,-952.4413,-3542.1855,1910.7709,1209.0999,6372.0858,-4068.3696,5577.2468,-3820.8313,6633.3771,6324.0621,961.8347,-4953.5593,-4721.9682,55.8918,-308.2026,2976.3277,4635.2267,6073.3512,4460.1732,-1591.9019,-3069.7682,-122.2638,2145.4909,-3497.4089,-4853.7387,3459.3361,2366.5421,-6045.2880,910.2851,2946.7576,-3315.0194,-660.8944,1413.2221,-6134.5062,-3126.2875,-5120.3960,6708.3183,-1921.2955,-5603.6953,-4238.3702,-177.7199,3135.9931,-3416.3923,-5190.2001,3863.0000,5244.8703,0.0000,5832.3534,-1257.5055,4013.3527,4835.4389,1722.3304,4096.5725,-3565.1304,2001.5372,-5266.0257,-541.6066,-6124.6612,-4080.2004,-5180.7081,-1515.8923,-4186.4825,127.0481,-1705.1064,-2670.9096,1509.7277,6079.8216,5673.5051,-6656.5765,6061.4495,3608.8060,0.0000,3475.6591,-4307.6655,2993.6325,-5720.3568,-5554.3978,-1731.5494,4151.2936,4096.1638,-3827.6062,1474.1516,5258.1718,2708.0690,-1124.8847,-6656.1463,-6392.7908,-4027.1182,3291.6022,4259.2291,-6507.6259,5661.3779,-258591.4333,-255799.1957,-252970.3834,-252974.4620,-260252.1256,-257425.0350,-252775.4105,-258225.0299,136570326.3744,136605847.5446,136582369.6159,136569393.9033,-257183.9113,136558664.3848,-5127.9346,-5091.1959,3874.2483,-4735.2338,4749.5641,-4668.2031,-4298.5901,3943.4416,4679.8843,5032.9086,-1672.4119,1377.3764,-939.9294,5189.9533,-3769.2855,-4972.7677,1100.9707,-199.6665,739.9726,3839.9068,-3096.0500,1187.3196,-5787.3705,4214.2684,3875.7315,1751.5647,1658.3690,-3276.5187,-1423.0438,-3660.4888,6383.3511,-760.0685,4476.5223,-2718.4010,-2904.9383,-3066.6625,5032.7150,4100.5428,-2735.6740,-6936.1577,-4173.4184,2486.5335,-303.8107,575.6641,-776.9411,1692.5739,1807.2163,4984.3008,-3463.7601,-5321.4610,5339.9604,3374.2972,5246.1150,3478.2057,0.0000,745.8543,-1078.8719,-5506.6660,4914.2217,4593.3930,5508.3140,934.4422,5297.7322,3259.0737,-5461.0295,-3078.6013,-5491.6398,4180.3417,4691.4010,2449.4384,2328.1223,-5030.6241,-1192.5344,829.1380,-654.8988,2889.3379,-1262.8021,-1445.1436,-4491.7122,0.0000,-5518.8661,3479.1634,-3608.0931,-2952.8663,3743.1950,-3403.2511,-8.7694,3600.8493,4402.5113,6494.4652,2594.9263,5181.8968,-5509.8110,-1518.0225,-2524.7335,-5212.2415,-5491.6145,4979.9082,-1922.8720,-662.0038,7680.8158,5700.9652,9489.1612,10628.9251,13243.1306,7448.6792,666.8547,8065.8039,-64043742.4695,-64060731.1595,-64050408.5423,-64051101.3115,8947.1125,-64054681.4134,
