sl_100_5400_20310817 Coordinates.csv
2031/08/17 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:10 2024,
Start: 2031/08/17 07:47:00.00, Stop: 2031/08/17 09:17:00.00,
TIME_UNITS,STARLINK-5029 - X-Coordinate,STARLINK-32046 - X-Coordinate,STARLINK-6207 - X-Coordinate,STARLINK-4705 - X-Coordinate,STARLINK-4422 - X-Coordinate,STARLINK-3042 - X-Coordinate,STARLINK-31434 - X-Coordinate,STARLINK-31212 - X-Coordinate,STARLINK-4173 - X-Coordinate,STARLINK-3239 - X-Coordinate,STARLINK-2182 - X-Coordinate,STARLINK-31774 - X-Coordinate,STARLINK-31698 - X-Coordinate,STARLINK-3916 - X-Coordinate,STARLINK-6243 - X-Coordinate,STARLINK-31571 - X-Coordinate,STARLINK-30593 - X-Coordinate,STARLINK-31559 - X-Coordinate,STARLINK-1283 - X-Coordinate,STARLINK-31642 - X-Coordinate,STARLINK-5099 - X-Coordinate,STARLINK-1368 - X-Coordinate,STARLINK-5364 - X-Coordinate,STARLINK-3537 - X-Coordinate,STARLINK-2420 - X-Coordinate,STARLINK-32252 - X-Coordinate,STARLINK-3820 - X-Coordinate,STARLINK-6192 - X-Coordinate,STARLINK-31027 - X-Coordinate,STARLINK-31504 - X-Coordinate,STARLINK-2309 - X-Coordinate,STARLINK-31676 - X-Coordinate,STARLINK-30864 - X-Coordinate,STARLINK-31065 - X-Coordinate,STARLINK-30170 - X-Coordinate,STARLINK-31325 - X-Coordinate,STARLINK-6274 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-3973 - X-Coordinate,STARLINK-30779 - X-Coordinate,STARLINK-31539 - X-Coordinate,STARLINK-4581 - X-Coordinate,STARLINK-31394 - X-Coordinate,STARLINK-31851 - X-Coordinate,STARLINK-31203 - X-Coordinate,STARLINK-30929 - X-Coordinate,STARLINK-5196 - X-Coordinate,STARLINK-4112 - X-Coordinate,STARLINK-6197 - X-Coordinate,STARLINK-11228 [DTC] - X-Coordinate,STARLINK-5357 - X-Coordinate,STARLINK-31595 - X-Coordinate,STARLINK-3791 - X-Coordinate,STARLINK-3243 - X-Coordinate,STARLINK-3610 - X-Coordinate,STARLINK-4640 - X-Coordinate,STARLINK-3120 - X-Coordinate,STARLINK-31759 - X-Coordinate,STARLINK-5352 - X-Coordinate,STARLINK-31367 - X-Coordinate,STARLINK-31270 - X-Coordinate,STARLINK-1686 - X-Coordinate,STARLINK-4328 - X-Coordinate,STARLINK-6365 - X-Coordinate,STARLINK-3181 - X-Coordinate,STARLINK-11196 [DTC] - X-Coordinate,STARLINK-31584 - X-Coordinate,STARLINK-3162 - X-Coordinate,STARLINK-31544 - X-Coordinate,STARLINK-30752 - X-Coordinate,STARLINK-1098 - X-Coordinate,STARLINK-31113 - X-Coordinate,STARLINK-31635 - X-Coordinate,STARLINK-2040 - X-Coordinate,STARLINK-11080 [DTC] - X-Coordinate,STARLINK-4555 - X-Coordinate,STARLINK-4210 - X-Coordinate,STARLINK-30460 - X-Coordinate,STARLINK-4753 - X-Coordinate,STARLINK-32085 - X-Coordinate,STARLINK-4218 - X-Coordinate,STARLINK-2377 - X-Coordinate,STARLINK-4725 - X-Coordinate,STARLINK-5717 - X-Coordinate,STARLINK-5167 - X-Coordinate,STARLINK-30991 - X-Coordinate,STARLINK-30859 - X-Coordinate,STARLINK-6129 - X-Coordinate,STARLINK-5214 - X-Coordinate,STARLINK-31102 - X-Coordinate,STARLINK-2578 - X-Coordinate,STARLINK-30484 - X-Coordinate,STARLINK-31782 - X-Coordinate,STARLINK-4572 - X-Coordinate,STARLINK-4405 - X-Coordinate,STARLINK-1458 - X-Coordinate,STARLINK-5420 - X-Coordinate,STARLINK-2175 - X-Coordinate,STARLINK-30770 - X-Coordinate,STARLINK-3240 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5029 - Y-Coordinate,STARLINK-32046 - Y-Coordinate,STARLINK-6207 - Y-Coordinate,STARLINK-4705 - Y-Coordinate,STARLINK-4422 - Y-Coordinate,STARLINK-3042 - Y-Coordinate,STARLINK-31434 - Y-Coordinate,STARLINK-31212 - Y-Coordinate,STARLINK-4173 - Y-Coordinate,STARLINK-3239 - Y-Coordinate,STARLINK-2182 - Y-Coordinate,STARLINK-31774 - Y-Coordinate,STARLINK-31698 - Y-Coordinate,STARLINK-3916 - Y-Coordinate,STARLINK-6243 - Y-Coordinate,STARLINK-31571 - Y-Coordinate,STARLINK-30593 - Y-Coordinate,STARLINK-31559 - Y-Coordinate,STARLINK-1283 - Y-Coordinate,STARLINK-31642 - Y-Coordinate,STARLINK-5099 - Y-Coordinate,STARLINK-1368 - Y-Coordinate,STARLINK-5364 - Y-Coordinate,STARLINK-3537 - Y-Coordinate,STARLINK-2420 - Y-Coordinate,STARLINK-32252 - Y-Coordinate,STARLINK-3820 - Y-Coordinate,STARLINK-6192 - Y-Coordinate,STARLINK-31027 - Y-Coordinate,STARLINK-31504 - Y-Coordinate,STARLINK-2309 - Y-Coordinate,STARLINK-31676 - Y-Coordinate,STARLINK-30864 - Y-Coordinate,STARLINK-31065 - Y-Coordinate,STARLINK-30170 - Y-Coordinate,STARLINK-31325 - Y-Coordinate,STARLINK-6274 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-3973 - Y-Coordinate,STARLINK-30779 - Y-Coordinate,STARLINK-31539 - Y-Coordinate,STARLINK-4581 - Y-Coordinate,STARLINK-31394 - Y-Coordinate,STARLINK-31851 - Y-Coordinate,STARLINK-31203 - Y-Coordinate,STARLINK-30929 - Y-Coordinate,STARLINK-5196 - Y-Coordinate,STARLINK-4112 - Y-Coordinate,STARLINK-6197 - Y-Coordinate,STARLINK-11228 [DTC] - Y-Coordinate,STARLINK-5357 - Y-Coordinate,STARLINK-31595 - Y-Coordinate,STARLINK-3791 - Y-Coordinate,STARLINK-3243 - Y-Coordinate,STARLINK-3610 - Y-Coordinate,STARLINK-4640 - Y-Coordinate,STARLINK-3120 - Y-Coordinate,STARLINK-31759 - Y-Coordinate,STARLINK-5352 - Y-Coordinate,STARLINK-31367 - Y-Coordinate,STARLINK-31270 - Y-Coordinate,STARLINK-1686 - Y-Coordinate,STARLINK-4328 - Y-Coordinate,STARLINK-6365 - Y-Coordinate,STARLINK-3181 - Y-Coordinate,STARLINK-11196 [DTC] - Y-Coordinate,STARLINK-31584 - Y-Coordinate,STARLINK-3162 - Y-Coordinate,STARLINK-31544 - Y-Coordinate,STARLINK-30752 - Y-Coordinate,STARLINK-1098 - Y-Coordinate,STARLINK-31113 - Y-Coordinate,STARLINK-31635 - Y-Coordinate,STARLINK-2040 - Y-Coordinate,STARLINK-11080 [DTC] - Y-Coordinate,STARLINK-4555 - Y-Coordinate,STARLINK-4210 - Y-Coordinate,STARLINK-30460 - Y-Coordinate,STARLINK-4753 - Y-Coordinate,STARLINK-32085 - Y-Coordinate,STARLINK-4218 - Y-Coordinate,STARLINK-2377 - Y-Coordinate,STARLINK-4725 - Y-Coordinate,STARLINK-5717 - Y-Coordinate,STARLINK-5167 - Y-Coordinate,STARLINK-30991 - Y-Coordinate,STARLINK-30859 - Y-Coordinate,STARLINK-6129 - Y-Coordinate,STARLINK-5214 - Y-Coordinate,STARLINK-31102 - Y-Coordinate,STARLINK-2578 - Y-Coordinate,STARLINK-30484 - Y-Coordinate,STARLINK-31782 - Y-Coordinate,STARLINK-4572 - Y-Coordinate,STARLINK-4405 - Y-Coordinate,STARLINK-1458 - Y-Coordinate,STARLINK-5420 - Y-Coordinate,STARLINK-2175 - Y-Coordinate,STARLINK-30770 - Y-Coordinate,STARLINK-3240 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5029 - Z-Coordinate,STARLINK-32046 - Z-Coordinate,STARLINK-6207 - Z-Coordinate,STARLINK-4705 - Z-Coordinate,STARLINK-4422 - Z-Coordinate,STARLINK-3042 - Z-Coordinate,STARLINK-31434 - Z-Coordinate,STARLINK-31212 - Z-Coordinate,STARLINK-4173 - Z-Coordinate,STARLINK-3239 - Z-Coordinate,STARLINK-2182 - Z-Coordinate,STARLINK-31774 - Z-Coordinate,STARLINK-31698 - Z-Coordinate,STARLINK-3916 - Z-Coordinate,STARLINK-6243 - Z-Coordinate,STARLINK-31571 - Z-Coordinate,STARLINK-30593 - Z-Coordinate,STARLINK-31559 - Z-Coordinate,STARLINK-1283 - Z-Coordinate,STARLINK-31642 - Z-Coordinate,STARLINK-5099 - Z-Coordinate,STARLINK-1368 - Z-Coordinate,STARLINK-5364 - Z-Coordinate,STARLINK-3537 - Z-Coordinate,STARLINK-2420 - Z-Coordinate,STARLINK-32252 - Z-Coordinate,STARLINK-3820 - Z-Coordinate,STARLINK-6192 - Z-Coordinate,STARLINK-31027 - Z-Coordinate,STARLINK-31504 - Z-Coordinate,STARLINK-2309 - Z-Coordinate,STARLINK-31676 - Z-Coordinate,STARLINK-30864 - Z-Coordinate,STARLINK-31065 - Z-Coordinate,STARLINK-30170 - Z-Coordinate,STARLINK-31325 - Z-Coordinate,STARLINK-6274 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-3973 - Z-Coordinate,STARLINK-30779 - Z-Coordinate,STARLINK-31539 - Z-Coordinate,STARLINK-4581 - Z-Coordinate,STARLINK-31394 - Z-Coordinate,STARLINK-31851 - Z-Coordinate,STARLINK-31203 - Z-Coordinate,STARLINK-30929 - Z-Coordinate,STARLINK-5196 - Z-Coordinate,STARLINK-4112 - Z-Coordinate,STARLINK-6197 - Z-Coordinate,STARLINK-11228 [DTC] - Z-Coordinate,STARLINK-5357 - Z-Coordinate,STARLINK-31595 - Z-Coordinate,STARLINK-3791 - Z-Coordinate,STARLINK-3243 - Z-Coordinate,STARLINK-3610 - Z-Coordinate,STARLINK-4640 - Z-Coordinate,STARLINK-3120 - Z-Coordinate,STARLINK-31759 - Z-Coordinate,STARLINK-5352 - Z-Coordinate,STARLINK-31367 - Z-Coordinate,STARLINK-31270 - Z-Coordinate,STARLINK-1686 - Z-Coordinate,STARLINK-4328 - Z-Coordinate,STARLINK-6365 - Z-Coordinate,STARLINK-3181 - Z-Coordinate,STARLINK-11196 [DTC] - Z-Coordinate,STARLINK-31584 - Z-Coordinate,STARLINK-3162 - Z-Coordinate,STARLINK-31544 - Z-Coordinate,STARLINK-30752 - Z-Coordinate,STARLINK-1098 - Z-Coordinate,STARLINK-31113 - Z-Coordinate,STARLINK-31635 - Z-Coordinate,STARLINK-2040 - Z-Coordinate,STARLINK-11080 [DTC] - Z-Coordinate,STARLINK-4555 - Z-Coordinate,STARLINK-4210 - Z-Coordinate,STARLINK-30460 - Z-Coordinate,STARLINK-4753 - Z-Coordinate,STARLINK-32085 - Z-Coordinate,STARLINK-4218 - Z-Coordinate,STARLINK-2377 - Z-Coordinate,STARLINK-4725 - Z-Coordinate,STARLINK-5717 - Z-Coordinate,STARLINK-5167 - Z-Coordinate,STARLINK-30991 - Z-Coordinate,STARLINK-30859 - Z-Coordinate,STARLINK-6129 - Z-Coordinate,STARLINK-5214 - Z-Coordinate,STARLINK-31102 - Z-Coordinate,STARLINK-2578 - Z-Coordinate,STARLINK-30484 - Z-Coordinate,STARLINK-31782 - Z-Coordinate,STARLINK-4572 - Z-Coordinate,STARLINK-4405 - Z-Coordinate,STARLINK-1458 - Z-Coordinate,STARLINK-5420 - Z-Coordinate,STARLINK-2175 - Z-Coordinate,STARLINK-30770 - Z-Coordinate,STARLINK-3240 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6433.8775,-2300.2899,-4918.0727,3411.4857,2798.7585,1975.8330,3802.4627,-5785.9661,-4879.5891,-238.2019,-1370.6476,-5942.8213,5421.8267,4116.6674,3800.0670,5645.9260,3668.9650,6098.2884,5777.6594,-4411.1106,-5554.4347,-516.8273,-1798.5432,3226.3206,-1360.8854,0.0000,6862.8247,-3207.0143,5480.5173,-4252.0837,-2882.8402,-2724.0962,-1521.1604,1663.1052,-2646.3245,4855.4335,2803.6933,4668.6333,3583.3099,-539.9665,-4953.5675,4879.3457,3944.5832,4722.0088,-3834.4031,-1855.6684,2263.1659,1175.5078,2669.1866,-4436.5469,-6205.0149,-5728.3954,4071.4293,1990.0728,-2752.4120,-4089.3181,4209.6543,5856.4910,6380.6643,-2347.2493,-4211.0746,4766.4337,-3734.4827,1739.6769,-932.8996,-4913.1058,-2863.1326,2474.6282,-865.3485,4547.8897,-5825.8903,1474.1810,-5665.8564,5751.7521,1175.0349,5985.1780,-3122.8007,4213.7315,-972.7401,1818.0523,-5523.1318,-2139.8388,975.0053,5528.6915,4549.4695,-2799.1884,3601.0190,68.6720,-3808.4426,-3484.2154,6359.8799,-6314.0404,-3495.8565,-4525.7255,-889.3904,5278.5537,-1322.7626,6002.0517,4031.5444,5470.7966,-242142.1004,-220804.4232,-240800.3195,-238667.8164,-230178.5411,-232717.8238,-233932.3813,-236398.1361,120873347.3663,120886666.0044,120855163.2611,120868829.6151,-235864.0125,120855936.0550,629.4379,6319.6129,-4623.8170,-3668.1348,-5756.3530,-2429.8615,-2469.5249,-3229.6935,-4582.5778,4906.1938,-3980.1686,668.1694,1583.9625,-78.2450,4261.9807,-3262.2740,5245.7116,-2763.9956,2023.5785,-832.9681,-855.6124,5488.1024,4813.6044,5870.2380,6036.5077,0.0000,-838.2262,3935.6552,-3533.2546,-2618.4696,-3912.4910,-5195.8139,6640.0158,-6553.8461,4696.4278,-1363.5478,-5925.6483,5033.8208,4145.1745,5922.0155,-1616.2649,4250.4263,5532.4420,-3781.7835,5555.8260,6466.0671,695.4503,6481.6658,-3299.2211,-3652.7886,2830.6098,793.5834,-369.4588,5951.1711,4720.9385,856.5720,-68.5572,1036.8679,-1555.3383,4530.8031,-2684.8232,-814.8737,-1047.1375,6501.5732,-3987.2501,2569.5061,-4234.6445,-3306.2895,5161.1573,4769.6580,-627.9144,6677.1311,-108.9360,133.7245,5783.3015,-3404.1241,6117.4894,-2958.9469,-6635.6962,5389.4303,3645.9515,-5655.3079,4108.1553,-4154.8927,-822.6947,4261.7337,-3555.9658,6503.0716,-5632.8747,3516.0934,-110.7423,-2206.3588,-4238.1007,5167.7474,-387.6242,-1018.1688,4375.5251,-3273.5840,5580.0069,-3730.2004,299490.1089,315714.3821,319832.0266,314515.9929,311211.3186,314784.2802,320761.1131,318849.2227,68717048.1693,68748933.7026,68727918.3151,68724914.0404,317102.7923,68721065.5134,2230.0002,-773.2306,-1585.7837,4724.4005,2622.4961,6180.1853,4899.2157,-1593.9113,1696.4290,-4872.1313,5483.4865,3262.4206,3728.5960,-5492.7321,-3881.1885,1984.2570,-1847.3071,1278.8661,-2700.4757,-5158.6268,4080.7722,-3978.5389,-4639.6051,1122.5169,-2983.3480,0.0000,-261.4264,4702.5972,2184.6571,-4598.5353,-4799.1504,3344.7663,-1377.7392,1063.1264,-4342.2020,-4638.1323,2218.6564,-880.5117,-4168.8418,-3395.6653,4366.0860,2355.9089,1.8802,-2722.1066,-168.7629,1335.5138,-6494.0904,1991.5069,-5457.6711,-3557.5007,873.9077,-3636.2540,-5464.7886,2926.3220,4203.6699,-5443.1329,5554.0820,3438.7439,-2139.5835,-4387.5187,4643.8654,-4471.2848,5686.0719,1662.0651,-5362.0511,3851.7271,-4569.9979,5507.3073,4352.6264,-1689.1443,3560.3128,-421.7621,3770.1831,-3672.6344,3236.7063,615.5602,936.0700,4608.3964,1652.9619,-3608.1032,1925.9155,-2942.2464,-5470.9407,-284.1954,-5099.6241,4688.7359,4659.3818,2279.8671,1008.7107,4818.9636,-2552.3353,-1699.0093,3987.6053,683.2941,-6840.0960,-4315.4354,5150.8285,138.3129,-481.7302,1833.9145,83885.3216,77068.2885,84424.8512,81075.6109,87165.5412,82340.5573,73236.8088,81911.0079,-53736273.6750,-53750091.1686,-53742916.2261,-53724761.2939,81993.1377,-53726369.7487,
300.000,5665.8118,-1102.0636,-5974.2987,1368.6563,1182.7529,-212.1946,1904.4051,-6548.5101,-5798.7935,1494.5446,-3233.7149,-4856.7224,6393.7336,3808.2692,4630.8274,4194.5239,4247.0127,4891.9977,6560.7142,-5246.6082,-4657.8648,1160.0453,337.8744,3997.1709,-133.1561,0.0000,6441.8864,-1343.3569,4038.2645,-5038.6502,-3708.4812,-3894.7137,108.5222,39.3495,-1040.4808,3895.8473,1752.9349,5672.2763,5169.8775,999.1514,-5760.4612,5924.7625,4970.1353,3844.3198,-2364.9272,-472.6829,2747.8630,2441.7191,2588.1806,-5782.3693,-5090.6068,-4401.8265,3697.0549,3381.5272,-1725.6081,-3164.1142,3774.0595,6475.2620,5264.4848,-573.1704,-5226.9206,3334.6754,-1632.6490,3231.2361,-3037.8410,-3156.8931,-4624.6294,586.5553,1099.7892,5516.7431,-6518.2413,2850.8046,-6021.7128,6345.3773,2652.4525,5234.7727,-1777.8691,2588.1805,-2100.0021,3651.8016,-4137.0930,-3569.4670,2907.9437,4411.7060,4746.8852,-811.4003,2062.6007,1672.1788,-4480.2983,-2682.5454,6651.8383,-6179.4330,-4458.5549,-4458.0538,689.3830,3843.2263,357.0753,5147.7101,4988.5937,4882.3005,-248355.4074,-227546.4026,-247408.8781,-245294.9776,-236786.0643,-239614.1673,-240558.4185,-242886.0573,119345598.1392,119358314.8232,119326923.6464,119341036.1286,-242530.1953,119328271.8506,-754.6022,6592.3099,-3515.9707,-4056.9370,-5472.1164,-2362.3909,-3537.9654,-1881.9401,-3752.6035,5612.3889,-2854.3412,2322.8602,318.7487,-2228.5679,2378.8791,-4266.5080,3809.4810,-3912.4138,869.2966,987.8793,855.9762,4480.9863,5098.9345,4704.7314,6739.9764,0.0000,-1990.7072,5016.1335,-4144.4115,-587.6451,-1970.1537,-3561.7293,6378.1844,-6370.6973,5873.0600,-3306.6114,-5309.2368,3907.4109,3606.4464,4956.5165,259.6248,3462.3981,4373.1009,-5242.6601,6093.7390,6144.5946,-1441.4235,6433.1757,-4988.7704,-2875.3536,3988.8746,2115.2353,-2507.4317,5914.3927,6055.8842,2835.6162,-2189.9567,-639.9428,-2924.4334,5604.3733,-790.0249,-2382.7760,-1050.6567,6134.0378,-3597.3196,3406.7547,-3108.2994,-4379.1877,5689.0756,3976.7854,745.7857,5926.2771,1733.5305,-1318.8292,5978.6469,-4355.9607,6151.0593,-4379.3358,-5704.9949,5104.5409,4253.4738,-5557.0633,3107.1987,-5181.4077,-2773.9986,5096.1948,-5018.0592,5698.8933,-4443.9902,5195.7247,-1424.2894,-508.5754,-2360.1692,4427.4884,-2017.8296,-2405.0574,5424.6425,-4184.6300,4341.9043,-4837.3182,294293.7786,310916.0109,314908.3954,309781.2047,306163.1291,309821.6724,315686.9767,313808.8973,71341423.3688,71373844.4412,71352024.0343,71349824.5903,312048.6454,71345428.9376,3750.2230,1060.8073,-64.2889,5391.4996,4059.0553,6509.8763,5329.6357,-60.7690,-101.8295,-3757.8639,5402.4986,4171.9631,2204.4876,-5258.3041,-4535.3831,3261.5033,-3443.4424,2683.8789,-974.9366,-4272.2625,5078.3933,-4979.8488,-4670.9971,2826.0504,-1313.8129,0.0000,1542.8518,4574.5303,3712.1716,-4511.0127,-5387.0486,4210.7825,-2762.1482,2497.0996,-3511.6349,-4564.4867,4074.5374,666.1466,-2766.6731,-4618.6906,3602.8363,604.4630,-1536.9144,-1315.0982,-1700.5625,3004.9949,-6175.5618,208.3379,-4023.7508,-1989.7262,2329.5359,-4777.1414,-5159.2238,1248.6406,2813.2848,-5387.8412,5435.4784,2211.5350,-3384.5909,-3680.4214,4309.2836,-5155.6938,6601.0673,145.7344,-4831.9295,4897.0402,-3994.8126,5279.5834,3574.1798,121.5234,2000.1906,-1925.2168,2661.8531,-2137.5502,1600.0368,-1199.0200,2650.6754,4676.4604,3274.6241,-2442.7647,3502.8373,-1255.7410,-5444.6059,1254.4277,-4140.4661,4621.1453,4230.4616,3492.0252,2719.9081,3682.6182,-822.4316,-3031.8090,4541.3556,2853.7274,-6569.9372,-5193.8610,4230.4205,-1666.2519,-1975.6694,38.9268,83775.9446,76990.7337,84303.9657,80869.5700,87070.7665,82536.4589,73120.8596,82257.1310,-53738660.7840,-53752479.3644,-53745084.1449,-53727351.2120,81906.1830,-53728604.1587,
600.000,4330.2917,225.4773,-6450.7668,-812.7924,-583.3931,-2384.0940,-179.9768,-6640.6500,-6138.9809,3048.1577,-4805.5436,-3295.2205,6691.7357,3173.4381,5051.7565,2309.1314,4390.4424,3180.5448,6620.7448,-5578.7008,-3343.8623,2760.1574,2435.6634,4378.1621,1093.2734,0.0000,5377.5881,626.1360,2174.8259,-5345.9460,-4212.5913,-4697.6859,1751.4146,-1610.6128,637.0149,2586.4457,476.6732,6126.9147,6226.1542,2481.1219,-6000.1039,6369.8300,5495.5761,2551.6095,-633.3596,989.6982,3028.8319,3458.9900,2292.4228,-6504.7060,-3463.6458,-2641.7331,3000.0499,4426.5668,-557.7344,-1974.0554,3033.2843,6458.7983,3637.4993,1232.9006,-5744.5546,1556.4778,641.3218,4408.4003,-4817.8791,-1068.0574,-5933.9016,-1326.5722,2930.6625,5908.1352,-6553.0208,3959.5269,-5778.3228,6292.0535,3827.4943,3955.6325,-232.2670,738.9721,-3054.6723,5086.2188,-2321.6191,-4600.5896,4579.1462,2856.9409,4508.3336,1236.0673,353.8813,3141.9890,-4725.4802,-1655.4692,6265.1808,-5455.3693,-5004.8764,-3867.5349,2259.5129,2050.2930,1963.6313,3754.3051,5471.9503,3798.4792,-254456.8928,-234185.7164,-253907.8838,-251805.9043,-243285.6480,-246429.9328,-247075.3505,-249238.4451,117760869.2577,117772973.7154,117741716.4802,117756225.6441,-249088.1028,117743627.9660,-2101.1481,6166.6848,-2067.5741,-4099.3512,-4676.6332,-2140.0145,-4274.0441,-342.0902,-2546.6300,5790.6770,-1498.6851,3775.6045,-955.0465,-4156.2468,267.7101,-4866.6297,1934.1521,-4687.0288,-369.2500,2673.8885,2525.6459,3042.1924,4933.8776,3032.4755,6759.9527,0.0000,-2962.5038,5645.5642,-4376.7210,1485.5921,161.2780,-1561.8876,5515.5029,-5555.0869,6494.7332,-4936.0425,-4176.6911,2394.9650,2734.1380,3511.7751,2083.3878,2331.5890,2754.1202,-6115.3579,6001.3406,5210.5540,-3407.5318,5735.7135,-6152.2120,-1813.1731,4772.2097,3270.1121,-4390.3193,5300.1025,6785.2453,4551.1056,-4108.7166,-2233.7272,-4039.6510,6106.0345,1159.2249,-3727.8257,-844.8147,5172.8214,-2878.9876,3936.9274,-1708.0903,-5061.4264,5662.3087,2765.8254,2021.7111,4577.2823,3379.0471,-2612.5687,5538.3740,-4885.3048,5593.3027,-5406.6848,-4206.5482,4299.7151,4470.9906,-4865.4003,1852.7393,-5712.1894,-4425.3046,5477.0719,-6006.4103,4345.3812,-2790.2534,6358.3126,-2582.9901,1262.8001,-248.6242,3224.5887,-3363.3552,-3603.4415,5958.9009,-4681.6489,2667.5150,-5452.9470,288969.8860,305973.6423,309843.0941,304926.4152,300977.3756,304726.2580,310474.4611,308511.6521,73931848.4832,73964791.2296,73942157.2302,73940777.7166,306854.3560,73935846.1025,4852.4671,2772.7420,1464.0711,5471.3783,5058.4819,6144.9976,5123.9241,1479.2048,-1889.0907,-2239.2283,4740.2162,4611.5332,427.1578,-4445.9718,-4699.1988,4171.5152,-4625.7655,3786.6142,866.5436,-2910.2902,5536.4965,-5417.9765,-4201.4490,4207.8868,500.3658,0.0000,3180.7535,3955.2318,4832.7764,-3910.5331,-5374.3027,4590.0740,-3853.3370,3653.1941,-2303.7072,-3985.9232,5492.2381,2141.0387,-1062.1858,-5330.0804,2431.4057,-1212.9918,-2901.1038,252.3710,-3035.6306,4342.1894,-5192.8448,-1597.6487,-2155.9658,-192.0767,3529.4174,-5385.1458,-4276.7272,-563.1611,1117.1610,-4739.8139,4746.0556,741.2609,-4263.7631,-2543.4602,3491.3220,-5201.8989,6797.2627,-1386.2185,-3742.8009,5376.1855,-2978.2534,4476.6426,2392.3273,1918.3856,218.9773,-3215.2721,1252.8520,-362.7125,-223.5406,-2884.2209,4081.2425,4240.1397,4541.8224,-992.5102,4698.2697,577.9593,-4831.7924,2657.9359,-2729.1983,4058.7540,3339.0834,4323.7580,4132.2733,2148.7072,998.6456,-4035.9240,4578.5736,4714.5669,-5592.4576,-5508.7146,2849.2563,-3285.1488,-3255.3159,-1760.3686,83666.3985,76913.6833,84178.4704,80672.3944,86973.4585,82726.8501,73009.0989,82578.0947,-53741043.3600,-53754866.7291,-53747240.8201,-53729943.0807,81819.1838,-53730838.5831,
