sl_100_5400_20311116 Coordinates.csv
2031/11/16 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:23 2024,
Start: 2031/11/16 07:47:00.00, Stop: 2031/11/16 09:17:00.00,
TIME_UNITS,STARLINK-3586 - X-Coordinate,STARLINK-5465 - X-Coordinate,STARLINK-5003 - X-Coordinate,STARLINK-32108 - X-Coordinate,STARLINK-5450 - X-Coordinate,STARLINK-1202 - X-Coordinate,STARLINK-4157 - X-Coordinate,STARLINK-4408 - X-Coordinate,STARLINK-1423 - X-Coordinate,STARLINK-30414 - X-Coordinate,STARLINK-31031 - X-Coordinate,STARLINK-4158 - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-31316 - X-Coordinate,STARLINK-6110 - X-Coordinate,STARLINK-31520 - X-Coordinate,STARLINK-2098 - X-Coordinate,STARLINK-30094 - X-Coordinate,STARLINK-11263 [DTC] - X-Coordinate,STARLINK-31842 - X-Coordinate,STARLINK-2645 - X-Coordinate,STARLINK-4084 - X-Coordinate,STARLINK-1489 - X-Coordinate,STARLINK-3593 - X-Coordinate,STARLINK-4288 - X-Coordinate,STARLINK-1136 - X-Coordinate,STARLINK-2706 - X-Coordinate,STARLINK-3704 - X-Coordinate,STARLINK-3852 - X-Coordinate,STARLINK-31039 - X-Coordinate,STARLINK-5304 - X-Coordinate,STARLINK-2078 - X-Coordinate,STARLINK-3137 - X-Coordinate,STARLINK-3888 - X-Coordinate,STARLINK-31056 - X-Coordinate,STARLINK-5954 - X-Coordinate,STARLINK-6072 - X-Coordinate,STARLINK-5633 - X-Coordinate,STARLINK-31477 - X-Coordinate,STARLINK-5582 - X-Coordinate,STARLINK-30217 - X-Coordinate,STARLINK-3282 - X-Coordinate,STARLINK-3254 - X-Coordinate,STARLINK-6149 - X-Coordinate,STARLINK-5395 - X-Coordinate,STARLINK-32095 - X-Coordinate,STARLINK-1067 - X-Coordinate,STARLINK-30816 - X-Coordinate,STARLINK-3264 - X-Coordinate,STARLINK-30253 - X-Coordinate,STARLINK-1417 - X-Coordinate,STARLINK-1015 - X-Coordinate,STARLINK-30788 - X-Coordinate,STARLINK-30112 - X-Coordinate,STARLINK-4425 - X-Coordinate,STARLINK-4462 - X-Coordinate,STARLINK-30159 - X-Coordinate,STARLINK-1681 - X-Coordinate,STARLINK-5938 - X-Coordinate,STARLINK-4545 - X-Coordinate,STARLINK-31502 - X-Coordinate,STARLINK-3837 - X-Coordinate,STARLINK-30561 - X-Coordinate,STARLINK-11134 [DTC] - X-Coordinate,STARLINK-3219 - X-Coordinate,STARLINK-3901 - X-Coordinate,STARLINK-31714 - X-Coordinate,STARLINK-31783 - X-Coordinate,STARLINK-31829 - X-Coordinate,STARLINK-4536 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-4118 - X-Coordinate,STARLINK-30978 - X-Coordinate,STARLINK-30823 - X-Coordinate,STARLINK-2578 - X-Coordinate,STARLINK-6303 - X-Coordinate,STARLINK-2099 - X-Coordinate,STARLINK-5870 - X-Coordinate,STARLINK-11169 [DTC] - X-Coordinate,STARLINK-1471 - X-Coordinate,STARLINK-3969 - X-Coordinate,STARLINK-5432 - X-Coordinate,STARLINK-4042 - X-Coordinate,STARLINK-6343 - X-Coordinate,STARLINK-3772 - X-Coordinate,STARLINK-1094 - X-Coordinate,STARLINK-30444 - X-Coordinate,STARLINK-5516 - X-Coordinate,STARLINK-5061 - X-Coordinate,STARLINK-31261 - X-Coordinate,STARLINK-1183 - X-Coordinate,STARLINK-4255 - X-Coordinate,STARLINK-1271 - X-Coordinate,STARLINK-1350 - X-Coordinate,STARLINK-1320 - X-Coordinate,STARLINK-31369 - X-Coordinate,STARLINK-30763 - X-Coordinate,STARLINK-1047 - X-Coordinate,STARLINK-11129 [DTC] - X-Coordinate,STARLINK-30153 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3586 - Y-Coordinate,STARLINK-5465 - Y-Coordinate,STARLINK-5003 - Y-Coordinate,STARLINK-32108 - Y-Coordinate,STARLINK-5450 - Y-Coordinate,STARLINK-1202 - Y-Coordinate,STARLINK-4157 - Y-Coordinate,STARLINK-4408 - Y-Coordinate,STARLINK-1423 - Y-Coordinate,STARLINK-30414 - Y-Coordinate,STARLINK-31031 - Y-Coordinate,STARLINK-4158 - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-31316 - Y-Coordinate,STARLINK-6110 - Y-Coordinate,STARLINK-31520 - Y-Coordinate,STARLINK-2098 - Y-Coordinate,STARLINK-30094 - Y-Coordinate,STARLINK-11263 [DTC] - Y-Coordinate,STARLINK-31842 - Y-Coordinate,STARLINK-2645 - Y-Coordinate,STARLINK-4084 - Y-Coordinate,STARLINK-1489 - Y-Coordinate,STARLINK-3593 - Y-Coordinate,STARLINK-4288 - Y-Coordinate,STARLINK-1136 - Y-Coordinate,STARLINK-2706 - Y-Coordinate,STARLINK-3704 - Y-Coordinate,STARLINK-3852 - Y-Coordinate,STARLINK-31039 - Y-Coordinate,STARLINK-5304 - Y-Coordinate,STARLINK-2078 - Y-Coordinate,STARLINK-3137 - Y-Coordinate,STARLINK-3888 - Y-Coordinate,STARLINK-31056 - Y-Coordinate,STARLINK-5954 - Y-Coordinate,STARLINK-6072 - Y-Coordinate,STARLINK-5633 - Y-Coordinate,STARLINK-31477 - Y-Coordinate,STARLINK-5582 - Y-Coordinate,STARLINK-30217 - Y-Coordinate,STARLINK-3282 - Y-Coordinate,STARLINK-3254 - Y-Coordinate,STARLINK-6149 - Y-Coordinate,STARLINK-5395 - Y-Coordinate,STARLINK-32095 - Y-Coordinate,STARLINK-1067 - Y-Coordinate,STARLINK-30816 - Y-Coordinate,STARLINK-3264 - Y-Coordinate,STARLINK-30253 - Y-Coordinate,STARLINK-1417 - Y-Coordinate,STARLINK-1015 - Y-Coordinate,STARLINK-30788 - Y-Coordinate,STARLINK-30112 - Y-Coordinate,STARLINK-4425 - Y-Coordinate,STARLINK-4462 - Y-Coordinate,STARLINK-30159 - Y-Coordinate,STARLINK-1681 - Y-Coordinate,STARLINK-5938 - Y-Coordinate,STARLINK-4545 - Y-Coordinate,STARLINK-31502 - Y-Coordinate,STARLINK-3837 - Y-Coordinate,STARLINK-30561 - Y-Coordinate,STARLINK-11134 [DTC] - Y-Coordinate,STARLINK-3219 - Y-Coordinate,STARLINK-3901 - Y-Coordinate,STARLINK-31714 - Y-Coordinate,STARLINK-31783 - Y-Coordinate,STARLINK-31829 - Y-Coordinate,STARLINK-4536 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-4118 - Y-Coordinate,STARLINK-30978 - Y-Coordinate,STARLINK-30823 - Y-Coordinate,STARLINK-2578 - Y-Coordinate,STARLINK-6303 - Y-Coordinate,STARLINK-2099 - Y-Coordinate,STARLINK-5870 - Y-Coordinate,STARLINK-11169 [DTC] - Y-Coordinate,STARLINK-1471 - Y-Coordinate,STARLINK-3969 - Y-Coordinate,STARLINK-5432 - Y-Coordinate,STARLINK-4042 - Y-Coordinate,STARLINK-6343 - Y-Coordinate,STARLINK-3772 - Y-Coordinate,STARLINK-1094 - Y-Coordinate,STARLINK-30444 - Y-Coordinate,STARLINK-5516 - Y-Coordinate,STARLINK-5061 - Y-Coordinate,STARLINK-31261 - Y-Coordinate,STARLINK-1183 - Y-Coordinate,STARLINK-4255 - Y-Coordinate,STARLINK-1271 - Y-Coordinate,STARLINK-1350 - Y-Coordinate,STARLINK-1320 - Y-Coordinate,STARLINK-31369 - Y-Coordinate,STARLINK-30763 - Y-Coordinate,STARLINK-1047 - Y-Coordinate,STARLINK-11129 [DTC] - Y-Coordinate,STARLINK-30153 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3586 - Z-Coordinate,STARLINK-5465 - Z-Coordinate,STARLINK-5003 - Z-Coordinate,STARLINK-32108 - Z-Coordinate,STARLINK-5450 - Z-Coordinate,STARLINK-1202 - Z-Coordinate,STARLINK-4157 - Z-Coordinate,STARLINK-4408 - Z-Coordinate,STARLINK-1423 - Z-Coordinate,STARLINK-30414 - Z-Coordinate,STARLINK-31031 - Z-Coordinate,STARLINK-4158 - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-31316 - Z-Coordinate,STARLINK-6110 - Z-Coordinate,STARLINK-31520 - Z-Coordinate,STARLINK-2098 - Z-Coordinate,STARLINK-30094 - Z-Coordinate,STARLINK-11263 [DTC] - Z-Coordinate,STARLINK-31842 - Z-Coordinate,STARLINK-2645 - Z-Coordinate,STARLINK-4084 - Z-Coordinate,STARLINK-1489 - Z-Coordinate,STARLINK-3593 - Z-Coordinate,STARLINK-4288 - Z-Coordinate,STARLINK-1136 - Z-Coordinate,STARLINK-2706 - Z-Coordinate,STARLINK-3704 - Z-Coordinate,STARLINK-3852 - Z-Coordinate,STARLINK-31039 - Z-Coordinate,STARLINK-5304 - Z-Coordinate,STARLINK-2078 - Z-Coordinate,STARLINK-3137 - Z-Coordinate,STARLINK-3888 - Z-Coordinate,STARLINK-31056 - Z-Coordinate,STARLINK-5954 - Z-Coordinate,STARLINK-6072 - Z-Coordinate,STARLINK-5633 - Z-Coordinate,STARLINK-31477 - Z-Coordinate,STARLINK-5582 - Z-Coordinate,STARLINK-30217 - Z-Coordinate,STARLINK-3282 - Z-Coordinate,STARLINK-3254 - Z-Coordinate,STARLINK-6149 - Z-Coordinate,STARLINK-5395 - Z-Coordinate,STARLINK-32095 - Z-Coordinate,STARLINK-1067 - Z-Coordinate,STARLINK-30816 - Z-Coordinate,STARLINK-3264 - Z-Coordinate,STARLINK-30253 - Z-Coordinate,STARLINK-1417 - Z-Coordinate,STARLINK-1015 - Z-Coordinate,STARLINK-30788 - Z-Coordinate,STARLINK-30112 - Z-Coordinate,STARLINK-4425 - Z-Coordinate,STARLINK-4462 - Z-Coordinate,STARLINK-30159 - Z-Coordinate,STARLINK-1681 - Z-Coordinate,STARLINK-5938 - Z-Coordinate,STARLINK-4545 - Z-Coordinate,STARLINK-31502 - Z-Coordinate,STARLINK-3837 - Z-Coordinate,STARLINK-30561 - Z-Coordinate,STARLINK-11134 [DTC] - Z-Coordinate,STARLINK-3219 - Z-Coordinate,STARLINK-3901 - Z-Coordinate,STARLINK-31714 - Z-Coordinate,STARLINK-31783 - Z-Coordinate,STARLINK-31829 - Z-Coordinate,STARLINK-4536 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-4118 - Z-Coordinate,STARLINK-30978 - Z-Coordinate,STARLINK-30823 - Z-Coordinate,STARLINK-2578 - Z-Coordinate,STARLINK-6303 - Z-Coordinate,STARLINK-2099 - Z-Coordinate,STARLINK-5870 - Z-Coordinate,STARLINK-11169 [DTC] - Z-Coordinate,STARLINK-1471 - Z-Coordinate,STARLINK-3969 - Z-Coordinate,STARLINK-5432 - Z-Coordinate,STARLINK-4042 - Z-Coordinate,STARLINK-6343 - Z-Coordinate,STARLINK-3772 - Z-Coordinate,STARLINK-1094 - Z-Coordinate,STARLINK-30444 - Z-Coordinate,STARLINK-5516 - Z-Coordinate,STARLINK-5061 - Z-Coordinate,STARLINK-31261 - Z-Coordinate,STARLINK-1183 - Z-Coordinate,STARLINK-4255 - Z-Coordinate,STARLINK-1271 - Z-Coordinate,STARLINK-1350 - Z-Coordinate,STARLINK-1320 - Z-Coordinate,STARLINK-31369 - Z-Coordinate,STARLINK-30763 - Z-Coordinate,STARLINK-1047 - Z-Coordinate,STARLINK-11129 [DTC] - Z-Coordinate,STARLINK-30153 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3302.3082,650.2723,-2493.1777,4749.9089,-4677.6660,3278.8901,-1775.9347,-4585.2032,-6303.8463,-823.1126,6215.9543,-4407.0739,315.2168,4407.1052,-2765.1784,-3508.1712,-2212.0950,132.8397,2890.7129,-4994.9851,-1470.4226,-4095.3439,0.0000,4031.6003,3420.2169,3718.3906,-2974.4472,-4306.8216,-2986.9681,3087.1673,-4062.8845,4718.2321,5352.8030,-6097.9320,2811.6266,3732.9779,-1960.9097,-3956.9202,-4146.5479,2982.4901,757.7691,-3760.6967,6123.3508,-1928.2161,6697.4456,3851.4930,-1480.3807,-6336.6036,1612.5021,-3989.4430,-521.3540,1813.7668,5790.0693,-6117.4822,-909.0964,-695.3204,-3466.2359,3967.8864,-1854.2242,-4351.8103,-2282.8592,-2875.5168,1601.9634,-4423.5789,-128.7915,5824.6382,5810.7068,-6479.0206,1627.0184,-114.6024,-4020.7982,-6694.4313,-5088.2618,-4781.5013,-1192.5647,-3951.2123,-1601.4636,4827.4905,-658.5293,-931.9339,146.7235,-3475.6569,-2409.1943,1971.4922,5545.3902,-5328.4173,4389.2342,1968.7809,6061.9722,552.1538,-4338.0417,4614.5009,-583.5403,-5140.9347,3524.8307,6157.8505,-2414.1011,-319.9412,3127.7333,4459.5608,-60965.7044,-70103.5081,-64533.7103,-59019.5428,-55225.7712,-59021.7758,-64952.7238,-62791.3430,126590007.8751,126618145.6646,126598101.7385,126604002.8555,-61239.6856,126607637.5635,2291.3375,4114.3096,-6419.3808,-3250.7910,4805.0614,4778.0263,-3721.7762,3603.2856,1372.9798,5958.1931,2811.6734,2946.4902,4723.6546,-2386.8684,5384.5307,-3339.6222,-4647.9295,-5961.9674,-3196.6764,42.0502,4604.1558,-3942.3740,0.0000,5503.5608,-3058.4876,-2849.1662,6057.3740,-4774.3575,-5204.1833,2789.9671,-3486.4153,-3753.0018,-3387.3524,981.9694,3518.2430,2859.1314,1856.6463,-1126.4175,2916.0091,-287.2549,-5465.7961,3028.2925,-2653.4440,6453.5347,-1775.0319,-5053.7107,6165.2920,-920.9427,6702.0352,3167.0747,-5307.3453,-4416.5194,-583.2222,3064.0630,-504.7672,5644.3261,-4452.5411,3835.5122,4966.6764,501.3246,-6112.8815,6006.2136,-4538.1223,-5000.9525,-6872.8664,-3487.8809,-3272.4698,-2209.4193,6592.9155,6585.9251,5536.7012,382.4209,-4697.9888,2679.1377,-4432.8094,3619.5886,4184.8655,1705.5239,-6722.2021,5587.2938,6366.6935,-3898.6126,6183.1983,6160.7021,-4006.1246,-3960.2687,-2674.5937,-5650.5687,-3059.4754,5008.9749,700.6811,-4492.3276,-4931.3236,3710.3605,2082.1863,2397.5893,-3686.4943,4730.4726,-4389.4991,-4857.2966,342257.0970,350613.5626,334715.4334,336575.8908,345044.1517,342241.5194,341413.8484,338440.1647,166100197.5032,166092655.4674,166121880.6141,166110825.3386,339338.7234,166098027.7510,-5349.9270,-5498.7481,374.9921,3634.4720,-1662.0207,-3715.3470,5505.9279,-3731.6084,-2172.0686,3218.8721,1152.9023,4408.9930,-4899.8007,4669.5345,3317.1358,4775.2111,4578.0292,3515.9457,5179.6286,-4651.2394,4896.9923,3875.3636,0.0000,-938.9853,-4709.1779,5086.1883,-1583.5435,-2418.3548,-3376.1074,-5497.5907,4409.9774,-2693.6920,2753.2407,-3011.5125,-5138.9158,5091.4915,6387.9908,-5551.8629,4556.4710,-6261.4754,4145.5925,-4950.6983,-1703.1162,1576.3653,-402.7725,2449.9669,2579.3588,-2482.9442,601.0341,4653.4101,-4068.1747,-5009.9775,3553.9861,-61.9677,-6861.0674,-3934.1808,-4058.7424,3649.1209,4497.9224,5305.9602,1969.5110,-1906.8430,-4884.2753,962.0644,263.7794,987.3404,-1569.1953,206.0138,-1240.3289,2040.0680,-253.1616,1551.2327,-466.8528,-4147.4852,-5086.2941,-4366.5610,-5228.3889,4661.0132,52.2305,3946.9053,-2612.6639,-4516.4650,1781.5659,-2491.8589,682.1031,-1558.0905,-4639.2821,-3491.0639,1197.3454,-4600.9341,5203.5437,-2459.3003,4760.5343,-2660.7080,5418.8113,-72.8025,-5248.2623,5023.3661,3843.3554,-1931.5250,-127946.1476,-127665.2948,-124600.5532,-128052.9973,-121885.6705,-126282.3375,-135678.0217,-127290.6558,-85927628.7402,-85956466.9333,-85933534.3379,-85935988.3068,-126946.5433,-85937721.6503,
300.000,4495.1694,2699.3790,-3520.5610,3989.4338,-3254.7673,4802.5534,-3615.9804,-3675.8032,-6246.1813,735.1277,6141.1757,-4049.3100,2103.5033,3159.3438,-800.7697,-5184.8600,-4003.0323,-1674.4052,830.9338,-4788.6642,60.7317,-4327.0945,0.0000,4945.6182,2633.6237,3016.7595,-1899.8474,-4666.3976,-4449.4263,4532.2585,-5525.5019,4152.3690,4959.0690,-4852.3309,3781.9193,1942.4399,-1304.2605,-5503.7294,-2965.2021,1476.0335,-1279.3581,-3102.4556,4918.5855,-462.8197,6076.0265,2672.4230,-280.0693,-5595.3290,2666.7180,-2334.4104,-2157.2176,-294.3960,6186.6132,-5146.8350,1019.6398,711.1549,-5139.9363,5427.0276,-1407.2089,-4512.8551,-3513.0541,-1820.1232,107.3225,-4941.7277,-1323.0109,4677.0855,4545.8093,-6592.3613,2802.7829,1178.7334,-2796.9787,-6687.5322,-5782.7179,-3133.2708,-2815.7591,-2070.1967,69.7555,5521.3373,-1831.9119,777.2413,1456.3640,-4611.7895,-1295.7387,3275.7391,4409.3232,-6117.6015,3324.7282,-1.9904,5314.8958,2655.2021,-4437.5346,3925.5288,-2390.9434,-3565.4004,4573.2733,6268.9418,-3652.7590,1622.6251,2216.1939,3362.9697,-68555.8258,-77444.5680,-71747.9531,-66453.4301,-62325.0207,-66208.7780,-72028.4010,-69979.3509,122936524.0977,122965023.7517,122944059.1546,122950068.1567,-68330.7080,122954237.3809,472.6268,3383.9232,-5755.9418,-4931.8524,5135.7995,4416.1668,-2571.3548,2318.5505,2672.9961,5078.3559,1433.5060,4649.9149,3561.1625,-4148.3355,5400.9822,-2479.8934,-4509.4119,-5121.4746,-3969.2937,2183.7277,5727.4081,-2047.1365,0.0000,4707.8769,-4830.5931,-4669.3734,6660.7832,-3202.0555,-4944.8286,1220.2336,-2111.0793,-5041.6539,-4694.6867,2181.0209,1582.0307,2118.4825,3830.6269,-353.2544,4657.0649,-1883.1711,-4942.1172,4808.5375,-3499.9162,6903.5000,-3152.0360,-6184.3546,6788.4563,524.0479,5934.5795,4557.1496,-5770.9661,-4194.0655,-2073.4430,4257.3732,-1702.1961,6422.2552,-3540.9747,3146.9273,6235.3680,2538.4148,-4850.4755,6680.7873,-5708.5386,-3718.2382,-6431.7535,-4226.2078,-4000.3845,-660.3165,6280.5054,5761.8566,5911.9471,1613.8675,-3304.1032,3996.0715,-3017.9596,4621.0446,5306.9478,-277.3305,-6227.6633,4713.0091,5371.9039,-2072.3090,6749.6387,4896.4620,-4679.9093,-2998.0157,-4472.8386,-5406.8688,-4381.5652,4750.6844,2736.5536,-5619.5421,-5351.0207,4230.8582,190.8496,1119.9715,-1898.7614,3860.5426,-5779.7279,-5974.7642,340652.3488,349190.2109,333415.2362,335256.6277,343737.4932,340610.9710,340086.1443,337205.8741,168826886.3727,168819329.0104,168848312.8617,168837327.8666,337971.1795,168824697.6684,-4934.1635,-5371.0502,-1435.7130,2473.9127,-3282.5008,-2191.0835,5257.3584,-5390.5755,-398.2423,4492.5275,2841.8501,3090.4795,-5414.7084,4441.4086,4220.4408,3641.1117,3335.5381,4344.4625,5381.1674,-4346.4477,3816.0119,4939.2769,0.0000,881.8242,-3598.7278,4115.4305,213.5589,-3895.6089,-1772.3982,-5050.4787,3624.9077,-960.5769,1049.8619,-4350.2792,-5467.1577,6304.4058,5633.3216,-4163.7802,3998.0751,-6516.5925,4643.5760,-3882.1740,-3317.9623,53.0797,1137.5013,1006.3288,852.5732,-3949.1669,2349.7931,4624.2735,-2649.5002,-5497.0911,1987.9697,1475.0501,-6648.7310,-2461.4560,-3057.3922,2108.9211,2739.9477,4533.2188,3249.8979,-122.6701,-3796.1298,2687.9381,2043.8697,2702.1453,-3206.3717,1726.0901,573.5835,3596.2139,-2033.5947,-256.8836,-1958.6737,-4632.4358,-5468.5793,-4705.5569,-4386.0208,4169.7955,1859.0567,4982.6568,-4051.3572,-4702.7478,-16.6780,-3654.2727,2427.8280,254.1541,-4108.2872,-4331.3155,-345.7831,-4115.9400,4384.8687,-718.5851,3605.5982,-4083.5870,5018.3550,1757.4500,-5478.5593,5492.4713,2353.0140,-430.4762,-127872.0015,-127717.5839,-124655.4489,-128163.6375,-121909.0468,-126018.9480,-135711.4860,-126859.0060,-85926899.1334,-85955195.4892,-85932956.3806,-85935472.2179,-126956.5128,-85936840.4483,
600.000,5238.9636,4496.2375,-4209.7303,2843.8120,-1486.5740,5829.4888,-5118.7566,-2314.9111,-5537.1235,2260.9040,5473.3821,-3318.7544,3715.0872,1632.5391,1259.8644,-6321.6218,-5376.2364,-3350.1959,-1298.8615,-4138.9611,1548.2831,-4176.9406,0.0000,5367.9059,1585.9950,2062.2590,-634.8867,-4593.4123,-5450.5602,5559.3255,-6466.4437,3120.6070,4079.1932,-3126.8904,4421.7611,-14.8745,-587.8534,-6494.1505,-1518.9283,-118.9379,-3211.5737,-2179.7608,3211.3667,1047.1698,4863.8227,1229.2965,939.1337,-4306.3131,3482.1731,-479.9749,-3533.2714,-2388.7110,5952.7233,-3649.6275,2887.4288,2021.1100,-6318.2431,6262.7051,-853.6899,-4267.7120,-4416.4222,-585.5087,-1360.1151,-4954.6764,-2406.6842,3039.7160,2803.5712,-6047.4980,3703.7784,2393.2531,-1268.2447,-6004.5072,-5933.0234,-1193.9430,-4197.7197,-2.5855,1695.2625,5712.8342,-2830.8340,2450.6678,2663.2560,-5336.8191,-50.5968,4297.7092,2811.9150,-6271.6181,1975.4145,-1993.9255,4042.0173,4483.7402,-4123.5469,2848.5079,-3931.4664,-1616.5040,5188.9991,5670.5139,-4572.6205,3436.6900,1081.0364,1934.5865,-76098.9701,-84755.6393,-78929.8718,-73877.3563,-69396.4983,-73373.7845,-79075.4131,-77024.8318,119224333.3672,119253196.9248,119231319.0711,119237440.5895,-75391.3061,119242131.4627,-1359.3025,2373.7729,-4508.6878,-6101.3722,4985.3676,3630.3158,-1215.2573,836.8612,3689.3146,3700.3018,-114.2879,5875.4573,2075.7873,-5514.2273,4924.4645,-1403.2300,-3952.4208,-3811.1321,-4375.8798,4101.4143,6295.3099,68.5334,0.0000,3430.1664,-6044.1965,-6026.7870,6605.8469,-1286.7818,-4202.3807,-426.8650,-564.6092,-5746.5871,-5525.3861,3207.5662,-493.9118,1071.2938,5429.4677,402.2205,5935.7158,-3348.5631,-3973.8969,6108.9346,-4031.1792,6679.8353,-4234.7547,-6679.0373,6715.3052,1956.3180,4573.0055,5533.6478,-5624.0749,-3616.9089,-3328.6815,5033.4634,-2636.9845,6571.5386,-2318.4088,2125.2988,6869.5164,4302.0713,-3092.2333,6692.4559,-6317.2748,-2017.9028,-5340.0085,-4561.6504,-4353.2471,971.1206,5336.2481,4370.3516,5695.6637,2685.1058,-1578.7529,4956.7112,-1337.7197,5214.4986,5926.3952,-2211.2633,-5064.2436,3406.5020,3849.8736,-64.3050,6630.7986,3163.0683,-4903.0299,-1721.1396,-5847.2850,-4674.9193,-5274.4620,4049.7945,4471.2468,-6177.0777,-5262.9458,4368.4148,-1685.5682,-305.6122,49.9490,2659.2370,-6510.5360,-6494.3181,338827.7529,347611.5413,331968.0798,333800.1649,342282.3154,338802.3923,338610.9703,335876.9464,171473226.3484,171465668.8679,171494378.0401,171483447.7102,336455.5315,171471022.3190,-3933.9930,-4661.6940,-3090.3966,1033.9404,-4548.4034,-427.1580,4434.7501,-6472.3074,1420.6159,5262.3273,4224.6419,1436.2243,-5321.4328,3721.4207,4666.5545,2095.3082,1729.8000,4706.5370,4957.9836,-3555.2709,2318.1511,5463.3674,0.0000,2606.1915,-2039.4900,2701.7911,1987.7284,-4945.1402,25.0852,-4055.3631,2452.9809,891.1298,-767.1337,-5211.9811,-5186.6146,6844.4902,4278.6832,-2326.4404,2990.3031,-6080.3781,4638.7936,-2395.4907,-4571.1099,-1475.9442,2556.2467,-550.9138,-968.9787,-4981.4374,3845.3674,4094.0896,-918.2656,-5394.6832,198.5482,2847.6814,-5730.1794,-723.2202,-1731.3743,310.2137,691.5168,3265.5188,4164.3022,1674.6621,-2288.5530,4101.4192,3599.8263,4118.3545,-4487.8297,3054.2869,2325.1929,4761.2709,-3588.3419,-2036.9278,-3241.6381,-4609.8582,-5246.6906,-4537.5922,-3065.3802,3231.3741,3450.5700,5479.5009,-5047.9055,-4380.7493,-1813.1141,-4425.8936,3906.9044,2037.7549,-3136.5027,-4707.7709,-1851.3157,-3169.8074,3072.7624,1100.4218,2056.4533,-5059.3701,4048.7768,3370.7917,-5103.9346,5369.0803,574.0831,1117.9311,-127780.1673,-127769.6702,-124714.6335,-128261.8609,-121934.7443,-125765.0942,-135740.6723,-126434.4098,-85926173.7936,-85953917.1326,-85932379.0461,-85934958.1051,-126966.3901,-85935959.0182,
