sl_100_5400_20311001 Coordinates.csv
2031/10/01 07:47:00.0000 UTC

Generated: Tue Oct  8 21:55:32 2024,
Start: 2031/10/01 07:47:00.00, Stop: 2031/10/01 09:17:00.00,
TIME_UNITS,STARLINK-3795 - X-Coordinate,STARLINK-1805 - X-Coordinate,STARLINK-30201 - X-Coordinate,STARLINK-4025 - X-Coordinate,STARLINK-4108 - X-Coordinate,STARLINK-1738 - X-Coordinate,STARLINK-31782 - X-Coordinate,STARLINK-2624 - X-Coordinate,STARLINK-4584 - X-Coordinate,STARLINK-3185 - X-Coordinate,STARLINK-4614 - X-Coordinate,STARLINK-3261 - X-Coordinate,STARLINK-1300 - X-Coordinate,STARLINK-5824 - X-Coordinate,STARLINK-11086 [DTC] - X-Coordinate,STARLINK-31087 - X-Coordinate,STARLINK-30754 - X-Coordinate,STARLINK-6373 - X-Coordinate,STARLINK-11213 [DTC] - X-Coordinate,STARLINK-11125 [DTC] - X-Coordinate,STARLINK-4296 - X-Coordinate,STARLINK-3688 - X-Coordinate,STARLINK-32033 - X-Coordinate,STARLINK-3173 - X-Coordinate,STARLINK-30830 - X-Coordinate,STARLINK-4599 - X-Coordinate,STARLINK-5463 - X-Coordinate,STARLINK-3514 - X-Coordinate,STARLINK-5714 - X-Coordinate,STARLINK-30596 - X-Coordinate,STARLINK-31572 - X-Coordinate,STARLINK-31810 - X-Coordinate,STARLINK-2629 - X-Coordinate,STARLINK-1468 - X-Coordinate,STARLINK-3617 - X-Coordinate,STARLINK-1341 - X-Coordinate,STARLINK-4201 - X-Coordinate,STARLINK-31317 - X-Coordinate,STARLINK-31444 - X-Coordinate,STARLINK-1559 - X-Coordinate,STARLINK-31141 - X-Coordinate,STARLINK-5927 - X-Coordinate,STARLINK-31143 - X-Coordinate,STARLINK-2185 - X-Coordinate,STARLINK-4122 - X-Coordinate,STARLINK-4143 - X-Coordinate,STARLINK-2408 - X-Coordinate,STARLINK-4767 - X-Coordinate,STARLINK-3875 - X-Coordinate,STARLINK-2566 - X-Coordinate,STARLINK-3764 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-3526 - X-Coordinate,STARLINK-31948 - X-Coordinate,STARLINK-1720 - X-Coordinate,STARLINK-5310 - X-Coordinate,STARLINK-31406 - X-Coordinate,STARLINK-3950 - X-Coordinate,STARLINK-1742 - X-Coordinate,STARLINK-5444 - X-Coordinate,STARLINK-6260 - X-Coordinate,STARLINK-31763 - X-Coordinate,STARLINK-3523 - X-Coordinate,STARLINK-6103 - X-Coordinate,STARLINK-3700 - X-Coordinate,STARLINK-30870 - X-Coordinate,STARLINK-5134 - X-Coordinate,STARLINK-3538 - X-Coordinate,STARLINK-1318 - X-Coordinate,STARLINK-30382 - X-Coordinate,STARLINK-1240 - X-Coordinate,STARLINK-5475 - X-Coordinate,STARLINK-6322 - X-Coordinate,STARLINK-6361 - X-Coordinate,STARLINK-3386 - X-Coordinate,STARLINK-4146 - X-Coordinate,STARLINK-3751 - X-Coordinate,STARLINK-31094 - X-Coordinate,STARLINK-1505 - X-Coordinate,STARLINK-31168 - X-Coordinate,STARLINK-31598 - X-Coordinate,STARLINK-6335 - X-Coordinate,STARLINK-5662 - X-Coordinate,STARLINK-5540 - X-Coordinate,STARLINK-30886 - X-Coordinate,STARLINK-30766 - X-Coordinate,STARLINK-4427 - X-Coordinate,STARLINK-6102 - X-Coordinate,STARLINK-30355 - X-Coordinate,STARLINK-4561 - X-Coordinate,STARLINK-5489 - X-Coordinate,STARLINK-31537 - X-Coordinate,STARLINK-2412 - X-Coordinate,STARLINK-3947 - X-Coordinate,STARLINK-1364 - X-Coordinate,STARLINK-5528 - X-Coordinate,STARLINK-5956 - X-Coordinate,STARLINK-4352 - X-Coordinate,STARLINK-5719 - X-Coordinate,STARLINK-30586 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3795 - Y-Coordinate,STARLINK-1805 - Y-Coordinate,STARLINK-30201 - Y-Coordinate,STARLINK-4025 - Y-Coordinate,STARLINK-4108 - Y-Coordinate,STARLINK-1738 - Y-Coordinate,STARLINK-31782 - Y-Coordinate,STARLINK-2624 - Y-Coordinate,STARLINK-4584 - Y-Coordinate,STARLINK-3185 - Y-Coordinate,STARLINK-4614 - Y-Coordinate,STARLINK-3261 - Y-Coordinate,STARLINK-1300 - Y-Coordinate,STARLINK-5824 - Y-Coordinate,STARLINK-11086 [DTC] - Y-Coordinate,STARLINK-31087 - Y-Coordinate,STARLINK-30754 - Y-Coordinate,STARLINK-6373 - Y-Coordinate,STARLINK-11213 [DTC] - Y-Coordinate,STARLINK-11125 [DTC] - Y-Coordinate,STARLINK-4296 - Y-Coordinate,STARLINK-3688 - Y-Coordinate,STARLINK-32033 - Y-Coordinate,STARLINK-3173 - Y-Coordinate,STARLINK-30830 - Y-Coordinate,STARLINK-4599 - Y-Coordinate,STARLINK-5463 - Y-Coordinate,STARLINK-3514 - Y-Coordinate,STARLINK-5714 - Y-Coordinate,STARLINK-30596 - Y-Coordinate,STARLINK-31572 - Y-Coordinate,STARLINK-31810 - Y-Coordinate,STARLINK-2629 - Y-Coordinate,STARLINK-1468 - Y-Coordinate,STARLINK-3617 - Y-Coordinate,STARLINK-1341 - Y-Coordinate,STARLINK-4201 - Y-Coordinate,STARLINK-31317 - Y-Coordinate,STARLINK-31444 - Y-Coordinate,STARLINK-1559 - Y-Coordinate,STARLINK-31141 - Y-Coordinate,STARLINK-5927 - Y-Coordinate,STARLINK-31143 - Y-Coordinate,STARLINK-2185 - Y-Coordinate,STARLINK-4122 - Y-Coordinate,STARLINK-4143 - Y-Coordinate,STARLINK-2408 - Y-Coordinate,STARLINK-4767 - Y-Coordinate,STARLINK-3875 - Y-Coordinate,STARLINK-2566 - Y-Coordinate,STARLINK-3764 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-3526 - Y-Coordinate,STARLINK-31948 - Y-Coordinate,STARLINK-1720 - Y-Coordinate,STARLINK-5310 - Y-Coordinate,STARLINK-31406 - Y-Coordinate,STARLINK-3950 - Y-Coordinate,STARLINK-1742 - Y-Coordinate,STARLINK-5444 - Y-Coordinate,STARLINK-6260 - Y-Coordinate,STARLINK-31763 - Y-Coordinate,STARLINK-3523 - Y-Coordinate,STARLINK-6103 - Y-Coordinate,STARLINK-3700 - Y-Coordinate,STARLINK-30870 - Y-Coordinate,STARLINK-5134 - Y-Coordinate,STARLINK-3538 - Y-Coordinate,STARLINK-1318 - Y-Coordinate,STARLINK-30382 - Y-Coordinate,STARLINK-1240 - Y-Coordinate,STARLINK-5475 - Y-Coordinate,STARLINK-6322 - Y-Coordinate,STARLINK-6361 - Y-Coordinate,STARLINK-3386 - Y-Coordinate,STARLINK-4146 - Y-Coordinate,STARLINK-3751 - Y-Coordinate,STARLINK-31094 - Y-Coordinate,STARLINK-1505 - Y-Coordinate,STARLINK-31168 - Y-Coordinate,STARLINK-31598 - Y-Coordinate,STARLINK-6335 - Y-Coordinate,STARLINK-5662 - Y-Coordinate,STARLINK-5540 - Y-Coordinate,STARLINK-30886 - Y-Coordinate,STARLINK-30766 - Y-Coordinate,STARLINK-4427 - Y-Coordinate,STARLINK-6102 - Y-Coordinate,STARLINK-30355 - Y-Coordinate,STARLINK-4561 - Y-Coordinate,STARLINK-5489 - Y-Coordinate,STARLINK-31537 - Y-Coordinate,STARLINK-2412 - Y-Coordinate,STARLINK-3947 - Y-Coordinate,STARLINK-1364 - Y-Coordinate,STARLINK-5528 - Y-Coordinate,STARLINK-5956 - Y-Coordinate,STARLINK-4352 - Y-Coordinate,STARLINK-5719 - Y-Coordinate,STARLINK-30586 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3795 - Z-Coordinate,STARLINK-1805 - Z-Coordinate,STARLINK-30201 - Z-Coordinate,STARLINK-4025 - Z-Coordinate,STARLINK-4108 - Z-Coordinate,STARLINK-1738 - Z-Coordinate,STARLINK-31782 - Z-Coordinate,STARLINK-2624 - Z-Coordinate,STARLINK-4584 - Z-Coordinate,STARLINK-3185 - Z-Coordinate,STARLINK-4614 - Z-Coordinate,STARLINK-3261 - Z-Coordinate,STARLINK-1300 - Z-Coordinate,STARLINK-5824 - Z-Coordinate,STARLINK-11086 [DTC] - Z-Coordinate,STARLINK-31087 - Z-Coordinate,STARLINK-30754 - Z-Coordinate,STARLINK-6373 - Z-Coordinate,STARLINK-11213 [DTC] - Z-Coordinate,STARLINK-11125 [DTC] - Z-Coordinate,STARLINK-4296 - Z-Coordinate,STARLINK-3688 - Z-Coordinate,STARLINK-32033 - Z-Coordinate,STARLINK-3173 - Z-Coordinate,STARLINK-30830 - Z-Coordinate,STARLINK-4599 - Z-Coordinate,STARLINK-5463 - Z-Coordinate,STARLINK-3514 - Z-Coordinate,STARLINK-5714 - Z-Coordinate,STARLINK-30596 - Z-Coordinate,STARLINK-31572 - Z-Coordinate,STARLINK-31810 - Z-Coordinate,STARLINK-2629 - Z-Coordinate,STARLINK-1468 - Z-Coordinate,STARLINK-3617 - Z-Coordinate,STARLINK-1341 - Z-Coordinate,STARLINK-4201 - Z-Coordinate,STARLINK-31317 - Z-Coordinate,STARLINK-31444 - Z-Coordinate,STARLINK-1559 - Z-Coordinate,STARLINK-31141 - Z-Coordinate,STARLINK-5927 - Z-Coordinate,STARLINK-31143 - Z-Coordinate,STARLINK-2185 - Z-Coordinate,STARLINK-4122 - Z-Coordinate,STARLINK-4143 - Z-Coordinate,STARLINK-2408 - Z-Coordinate,STARLINK-4767 - Z-Coordinate,STARLINK-3875 - Z-Coordinate,STARLINK-2566 - Z-Coordinate,STARLINK-3764 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-3526 - Z-Coordinate,STARLINK-31948 - Z-Coordinate,STARLINK-1720 - Z-Coordinate,STARLINK-5310 - Z-Coordinate,STARLINK-31406 - Z-Coordinate,STARLINK-3950 - Z-Coordinate,STARLINK-1742 - Z-Coordinate,STARLINK-5444 - Z-Coordinate,STARLINK-6260 - Z-Coordinate,STARLINK-31763 - Z-Coordinate,STARLINK-3523 - Z-Coordinate,STARLINK-6103 - Z-Coordinate,STARLINK-3700 - Z-Coordinate,STARLINK-30870 - Z-Coordinate,STARLINK-5134 - Z-Coordinate,STARLINK-3538 - Z-Coordinate,STARLINK-1318 - Z-Coordinate,STARLINK-30382 - Z-Coordinate,STARLINK-1240 - Z-Coordinate,STARLINK-5475 - Z-Coordinate,STARLINK-6322 - Z-Coordinate,STARLINK-6361 - Z-Coordinate,STARLINK-3386 - Z-Coordinate,STARLINK-4146 - Z-Coordinate,STARLINK-3751 - Z-Coordinate,STARLINK-31094 - Z-Coordinate,STARLINK-1505 - Z-Coordinate,STARLINK-31168 - Z-Coordinate,STARLINK-31598 - Z-Coordinate,STARLINK-6335 - Z-Coordinate,STARLINK-5662 - Z-Coordinate,STARLINK-5540 - Z-Coordinate,STARLINK-30886 - Z-Coordinate,STARLINK-30766 - Z-Coordinate,STARLINK-4427 - Z-Coordinate,STARLINK-6102 - Z-Coordinate,STARLINK-30355 - Z-Coordinate,STARLINK-4561 - Z-Coordinate,STARLINK-5489 - Z-Coordinate,STARLINK-31537 - Z-Coordinate,STARLINK-2412 - Z-Coordinate,STARLINK-3947 - Z-Coordinate,STARLINK-1364 - Z-Coordinate,STARLINK-5528 - Z-Coordinate,STARLINK-5956 - Z-Coordinate,STARLINK-4352 - Z-Coordinate,STARLINK-5719 - Z-Coordinate,STARLINK-30586 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,687.3537,4862.4120,-2363.4306,4854.3187,5083.1891,4221.2469,5612.2334,-3173.7388,2815.9791,4755.9582,3115.0956,3309.6647,-4261.2955,3971.1895,-5843.0382,3470.0508,4773.7813,-4832.9950,3744.2251,-1791.4422,1692.1800,3904.9019,-4504.2307,5280.4102,-5163.2777,-2002.4953,-2968.3655,-1413.9515,3526.8896,5628.9437,6051.4002,-4035.2143,4129.5604,0.0000,-3371.1196,-1193.8817,-1916.6314,-5031.8728,0.0000,-3053.6773,-2589.6898,2702.9713,-2807.8750,-4485.2381,-4406.2251,572.5690,-3114.5530,520.9747,1554.2376,1683.5867,-3965.3817,-365.3063,-5405.6664,-4055.9596,4012.6957,1601.1970,-988.3514,3558.4487,210.3226,3804.0143,-5777.4768,-4952.9349,-2658.8627,-122.2916,6356.9336,6015.8467,3278.6590,-5811.3607,3784.1435,6555.3030,4370.9399,2099.7005,-2957.0778,-856.5608,-5797.4849,-1793.9519,-1023.8869,6391.6618,0.0000,6591.8978,-967.2893,2913.7623,5806.2283,-897.7420,4868.3905,-4351.1427,-4255.1293,-1259.1985,4544.8305,-4105.4817,-6788.9214,-5710.4824,-4861.7253,-5083.4159,-6141.7761,-5544.3815,-3372.3073,1860.6806,3392.9837,-4403.6652,161511.9973,162677.9439,146048.9391,151282.1667,159808.5499,155323.7543,150408.5548,152200.0314,122502057.3457,122498024.0019,122499686.1218,122498396.7142,151572.8473,122497006.0398,5926.8073,-4499.9960,5164.7083,-118.0246,-4111.8026,3870.5468,153.9832,-4236.2161,6278.3821,-3579.5390,-2891.3158,-2608.9007,-1557.6397,3513.4569,-290.9875,-5932.3853,-3552.4512,-2763.3145,-3243.1315,3957.1888,-4919.2965,2761.3834,1637.1093,109.7727,4427.6387,-4332.1074,-6077.8265,6516.0749,-4764.5629,3642.3040,37.0071,5139.2473,-3766.7536,0.0000,-2306.7377,4031.1860,6624.0685,-445.0510,0.0000,2786.4315,4686.4937,-5114.0057,3224.1908,3062.6739,-355.1529,-4377.0772,-2990.2642,-4669.8502,-4495.1805,6353.4324,-4606.3867,-6459.8514,3012.1125,5223.7208,-1133.4943,6131.8398,6486.3014,-5877.2067,-4317.9543,-4529.5094,-106.8134,-3592.4979,-5303.9082,-6917.1102,-658.5817,-1980.2856,-4810.5604,2878.7495,-5317.7672,1203.1767,-439.4196,-1145.1065,6257.6762,5009.2605,3583.9382,-4078.7094,-4009.0093,-2187.4762,0.0000,1729.4950,6735.3734,-5939.2302,-1229.6557,-1459.7805,4549.4776,2617.0955,1829.5604,-5363.1364,-4538.8901,1249.2922,-1473.9445,-3158.4763,-1166.6107,-2185.8778,-2732.2445,3888.5565,5689.9277,-163.7900,4079.9958,2560.6231,-347951.1957,-323380.8267,-340305.8898,-342758.9681,-339325.0362,-338574.6011,-335060.4080,-340084.8800,117125441.8293,117151368.8954,117125640.6451,117116981.1384,-339088.0757,117105663.0003,-3431.5546,1032.3817,3748.1050,-4922.8285,2139.5531,-3744.0979,-3829.2596,4296.2178,-549.2250,-3505.1142,-5451.5513,-5467.0441,5195.3650,4427.8168,3336.4458,680.6944,3530.1136,4112.1819,4575.8178,-5151.9805,-4439.8597,4929.2216,-4661.5820,4457.9807,1169.1731,-5049.0135,-1561.0063,1530.9929,-3576.5963,-1441.3980,-2941.5497,1986.7916,4002.1447,0.0000,5438.3417,5349.7030,84.1522,-4603.5938,0.0000,5375.3523,-3976.5126,-3825.5733,-5435.3649,4245.5770,5284.3972,5298.6824,5313.1235,-5077.4350,-4944.7511,1639.0738,3242.1356,-1918.2465,-3080.2301,1733.3845,-5499.5612,-2961.1043,-1768.1886,545.7743,5160.0639,-3500.2171,-3830.4805,2926.0644,3406.2448,189.9057,-2532.6515,-2844.8402,-3711.6158,2257.3268,-1985.3335,-1929.7374,-5213.0190,-6521.9358,520.2565,-4699.5962,214.8117,5257.0103,5526.6017,1364.1677,0.0000,373.6035,568.6294,-1564.1786,-3105.4800,-6725.7389,1982.4545,-4731.5683,-5166.5377,-4168.5401,-2462.9123,-5394.5437,-53.2374,1879.2430,-4691.9923,-4146.9161,-1172.5673,-1478.3546,1903.7555,6662.8003,4191.0060,-4736.2504,55466.6678,51214.8284,58307.2575,54899.3658,61029.7399,56417.4367,47167.3640,54576.7188,-80076680.8287,-80092474.9471,-80086985.5500,-80080396.7091,55913.0051,-80075866.7018,
300.000,2143.4929,3962.3965,-820.4976,5421.2772,4455.4829,4405.0130,4799.4966,-3801.8615,3826.1956,3003.1400,1263.7636,2137.5401,-5380.4006,5451.6603,-6419.0932,2082.4291,3978.6740,-6038.5891,3098.3201,-145.0662,-270.9314,4120.7822,-4480.6935,5964.9290,-3722.2951,-3272.6194,-3591.7907,-220.2350,2294.0389,5708.4580,5173.0411,-2855.0415,3553.7731,0.0000,-4338.5309,1002.8131,-662.3331,-5820.8673,0.0000,-1251.3712,-1022.1294,1318.0302,-833.5383,-4120.0931,-4986.1077,-1348.1681,-4768.7864,-1466.3887,-538.6268,2916.2123,-5321.5930,-1641.1766,-5130.5615,-2381.3516,3428.4040,2005.7144,233.7316,2273.0377,-1783.7665,1975.7727,-4954.2465,-5246.5065,-3455.6861,-1608.2387,5276.1787,4691.2675,2399.1881,-4428.0106,2244.0080,6916.5518,3353.8032,789.1970,-1515.1652,1247.7314,-4912.1618,-3283.3565,-3077.9706,5864.8752,0.0000,6721.2668,258.0593,1524.0054,5722.3897,1138.0933,6000.8449,-3070.8857,-2724.3662,-2976.2738,2816.0950,-3785.1771,-6767.9858,-6534.8753,-4199.9735,-6267.0156,-6601.0154,-4658.6661,-2070.6818,3704.7648,5077.9127,-3084.4658,168780.1892,169480.4553,153115.2886,158191.6275,166957.2433,162193.9745,157560.6226,158888.3343,119918259.6563,119913359.6361,119915367.4970,119914110.9044,158683.9629,119913307.4131,6275.5385,-5351.1687,6223.8237,-1919.6558,-5231.5874,1985.9986,-1760.8805,-2317.8289,5601.5327,-4073.7689,-4035.4818,-4358.0993,96.3779,2134.7764,1106.0130,-6529.2990,-5161.6909,-1257.0831,-4966.0982,5170.3162,-4379.1618,649.6386,3522.7070,-1500.9365,5202.3172,-2639.2234,-5912.0554,6834.1274,-6078.7908,2209.7220,-1696.6016,6186.7800,-5303.3250,0.0000,-344.5388,4058.5346,6601.2093,1191.0178,0.0000,4047.0234,5874.2945,-4248.6640,4137.5946,4723.1022,1591.0914,-5044.8396,-1748.9201,-3903.0800,-4125.6999,6113.9250,-4069.7749,-6543.0573,4405.6934,5628.8306,-3187.9565,4803.2993,6789.1318,-6082.8775,-4819.4150,-4615.6240,1761.7691,-1686.3302,-3664.8367,-6597.1508,-1884.6019,-3302.5595,-6093.8781,3645.2639,-5377.5569,-309.7193,-2368.4573,-2903.7002,6697.3801,5271.0907,4454.3226,-2504.6381,-3362.3730,-3619.0291,0.0000,207.4683,6709.0303,-6623.2245,-2985.6660,-439.2053,3478.8194,4328.3384,620.8718,-4148.4125,-5121.0008,3298.8778,53.8099,-1817.5369,807.5705,-1019.8326,-1593.9647,5130.2121,6553.5219,862.0131,3002.1322,4249.4435,-344311.7137,-319929.9328,-336901.9003,-339223.3987,-336008.4104,-335411.1467,-331775.3271,-336711.2341,119773258.4578,119799114.0241,119773267.7504,119764577.0989,-335818.4711,119753467.0293,-1838.9038,-806.5401,2631.0842,-3838.0058,367.4812,-4845.3006,-4478.0181,5160.2625,1265.4360,-4702.8204,-5468.4080,-4907.7371,4316.9364,3668.9250,1719.8921,-867.4269,2328.8172,3143.5775,3352.1171,-4319.4805,-5247.0837,5454.5376,-3493.5729,3156.5253,2585.5048,-5531.8576,560.2587,-283.1549,-2388.7497,-3096.1625,-3955.1375,487.4039,2555.7299,0.0000,5227.2421,5368.0893,1873.7790,-3375.5819,0.0000,5295.3414,-2987.0238,-5320.4453,-5478.2369,2874.9215,4482.3570,4506.9174,4592.0659,-5520.8776,-5455.8647,-174.5313,1613.7224,-114.5517,-1424.8465,3060.6449,-5070.9912,-4674.0030,39.2233,2302.1330,4350.1955,-4694.9497,-4518.7027,3950.6893,4626.1056,-1345.0735,-3984.9548,-3911.2010,-2181.6876,3771.6707,-3549.5651,-434.7586,-5442.2454,-6260.7454,-1022.3069,-4308.9896,-1599.3396,5516.0843,5185.6133,-172.9549,0.0000,-1177.8713,-1254.5034,-27.5663,-1787.4493,-6832.6577,494.2604,-4471.9944,-6352.4651,-4654.1026,-3630.2526,-4722.7828,-1573.6519,366.0116,-5359.3759,-2736.4112,650.3247,49.4583,401.6623,5781.9738,3308.2975,-4561.0169,55541.3617,51300.6085,58369.5315,54890.6363,61120.8727,56797.9219,47242.7724,54476.1172,-80078473.6996,-80094190.2541,-80088763.4704,-80082230.5897,56014.7225,-80077398.8891,
600.000,3364.9659,2622.1838,781.9496,5482.0665,3380.5385,4190.4846,3526.9707,-4095.3133,4465.8050,942.3457,-680.1528,803.3567,-5991.5125,6411.5470,-6309.6773,483.0793,2817.7051,-6667.8930,2158.9199,1476.4178,-2236.5132,3981.4600,-4000.6618,6077.0617,-1903.1795,-4277.4028,-3854.9017,999.3208,860.8635,5230.1770,3767.3014,-1389.4849,2646.2924,0.0000,-4905.3725,3093.8674,678.9559,-6032.6006,0.0000,645.5905,628.9912,-252.7869,1197.5209,-3372.0871,-5108.4719,-3104.6061,-5955.3655,-3338.2665,-2596.7029,3841.4907,-6133.6796,-2739.3868,-4355.8140,-448.6038,2558.8921,2271.8398,1431.7508,737.3920,-3559.9620,-72.8259,-3684.1690,-5032.6799,-3950.8176,-2950.4610,3671.7009,2922.6168,1304.1249,-2586.8051,445.0381,6608.8286,2042.9532,-532.7677,82.1148,3217.8397,-3506.8373,-4492.0801,-4836.1686,4758.4275,0.0000,6169.4229,1471.0553,-22.7238,5034.5022,3006.4803,6554.7498,-1532.0761,-853.5024,-4435.7405,796.4900,-3138.8907,-6099.2394,-6683.1252,-3163.6245,-6831.7268,-6377.0613,-3320.2006,-567.6920,5110.0870,6235.8373,-1506.7234,175964.5106,176209.2465,160113.2151,165022.9275,174033.3435,168967.6728,164641.4864,165484.9273,117277240.4745,117271477.1942,117273836.3069,117272612.6664,165724.5889,117272387.6311,6000.6714,-5623.7151,6653.2800,-3502.0470,-5819.6349,-118.1871,-3523.1873,-161.2040,4356.6753,-4214.9010,-4831.4387,-5693.9989,1702.1407,580.5210,2364.6843,-6489.5808,-6262.1628,343.1120,-6151.3024,5857.9218,-3441.8773,-1531.2380,5002.4815,-2933.4230,5487.4435,-718.3403,-5138.7999,6449.2970,-6802.2671,526.0399,-3283.4357,6604.3524,-6294.8053,0.0000,1622.7209,3725.0748,5921.3406,2673.0572,0.0000,4930.6844,6432.5366,-2998.1798,4697.0336,5897.8615,3350.0860,-5249.7739,-377.2734,-2804.7029,-3396.2739,5225.4776,-3139.9328,-5923.2029,5349.2365,5489.0173,-4931.6840,2993.4750,6377.4700,-5691.4929,-4845.8665,-4284.4409,3489.2961,409.3377,-1649.2618,-5634.2182,-2964.3379,-4343.5406,-6764.1157,4083.7209,-4911.5476,-1788.5324,-4084.6815,-4414.3955,6494.0895,5060.0512,4877.6719,-719.4272,-2438.4089,-4694.8006,0.0000,-1346.9416,5989.9591,-6624.0560,-4407.0931,713.0503,2078.2974,5643.4517,-578.9141,-2558.5761,-5228.8233,5013.6660,1591.0043,-292.3642,2730.5051,217.1811,-282.9347,5874.0850,6766.6747,1867.1515,1643.3740,5555.1390,-340518.9677,-316336.7955,-333349.1604,-335517.6445,-332541.0664,-332113.2405,-328339.3555,-333139.6807,122364079.4143,122389845.4280,122363879.2020,122355137.1110,-332399.7470,122344279.2064,-45.0174,-2550.2720,1216.7780,-2339.5978,-1444.8619,-5408.7451,-4619.2761,5445.1112,2942.6595,-5393.0716,-4896.8075,-3817.6313,2970.4808,2513.7616,-97.2424,-2321.6661,876.9326,1837.2463,1739.4186,-2984.8688,-5471.4871,5381.2459,-1909.5095,1514.5897,3721.1468,-5428.4173,2621.6849,-2065.8137,-944.0959,-4409.1167,-4506.9006,-1066.5607,829.0728,0.0000,4425.9458,4781.0653,3459.3764,-1770.7313,0.0000,4612.1802,-1639.2885,-6248.1567,-4932.3338,1191.6764,3192.7881,3226.4321,3362.1734,-5371.7091,-5366.7591,-1968.1607,-190.6425,1702.4156,384.5230,4046.3603,-4093.8167,-5900.9833,1842.1376,3807.4368,3033.7503,-5375.4152,-4724.2485,4524.2485,5331.5349,-2735.3707,-5000.6630,-4561.3595,-415.2274,4870.7346,-4715.8487,1106.6839,-5061.2895,-5336.3127,-2455.8396,-3455.7415,-3233.8072,5175.9913,4284.3871,-1691.2583,0.0000,-2597.3023,-2937.2182,1512.1552,-257.6617,-6214.7408,-1046.4216,-3736.1251,-6863.6992,-4637.3787,-4400.5150,-3537.9826,-2926.7139,-1188.9025,-5435.9073,-1030.7342,2400.1144,1571.9466,-1144.3763,4281.4966,2044.9671,-3903.1894,55616.1080,51386.6192,58427.2839,54892.3792,61209.5164,57170.9939,47322.3524,54492.8904,-80080265.9615,-80095904.8756,-80090537.6316,-80084053.9489,56116.4017,-80078930.9534,
