TIME_UNITS,STARLINK-6320 - X-Coordinate,STARLINK-31137 - X-Coordinate,STARLINK-31729 - X-Coordinate,STARLINK-30968 - X-Coordinate,STARLINK-6358 - X-Coordinate,STARLINK-32021 - X-Coordinate,STARLINK-4730 - X-Coordinate,STARLINK-4099 - X-Coordinate,STARLINK-11194 [DTC] - X-Coordinate,STARLINK-1624 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6320 - Y-Coordinate,STARLINK-31137 - Y-Coordinate,STARLINK-31729 - Y-Coordinate,STARLINK-30968 - Y-Coordinate,STARLINK-6358 - Y-Coordinate,STARLINK-32021 - Y-Coordinate,STARLINK-4730 - Y-Coordinate,STARLINK-4099 - Y-Coordinate,STARLINK-11194 [DTC] - Y-Coordinate,STARLINK-1624 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6320 - Z-Coordinate,STARLINK-31137 - Z-Coordinate,STARLINK-31729 - Z-Coordinate,STARLINK-30968 - Z-Coordinate,STARLINK-6358 - Z-Coordinate,STARLINK-32021 - Z-Coordinate,STARLINK-4730 - Z-Coordinate,STARLINK-4099 - Z-Coordinate,STARLINK-11194 [DTC] - Z-Coordinate,STARLINK-1624 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
32400.000,-6494.9092,-4164.5395,4735.7588,322.1529,-4757.3733,-6557.6467,4443.0143,5740.7335,5379.4660,4293.0576,317338.1400,309218.6264,303667.3262,299743.3417,307291.5135,303529.0099,304505.5021,305490.6431,144274635.6170,144266124.9333,144259190.9806,144266366.3213,305006.0783,144270279.2470,294.3302,-4432.1073,1602.6209,5121.9257,-4875.7676,1761.7419,-1229.1777,3756.1902,-2358.2065,-241.6340,-215867.3009,-231925.8138,-225616.4428,-215819.3721,-219827.0277,-221138.1825,-218299.3355,-219629.5021,-31699986.8012,-31718788.5731,-31731642.5820,-31729100.9333,-219741.2632,-31719351.4253,-2424.7178,-3192.2288,4630.1297,4657.1404,1298.7014,673.3455,5149.0919,879.3300,3274.7020,5414.8135,133393.3122,131264.7034,128496.6271,136987.4878,128389.0720,120084.2993,131829.7822,127984.2374,59774642.4332,59751965.7120,59760775.3138,59774062.1768,129687.8807,59779481.2290,
36000.000,4230.4284,5010.8639,-5337.3652,-4174.9491,5836.2841,4702.5352,-4808.7697,-5739.6542,-712.6839,-4895.5755,362293.0573,357998.9496,348250.1387,345966.3375,348874.9493,348673.5046,353881.7143,350519.1510,147524541.9738,147518467.1915,147516812.8959,147524001.1948,350959.8894,147521128.4226,-3006.8094,307.7928,2812.5603,-4006.9240,2930.1423,-3177.4386,4518.1395,-1921.5583,3990.9077,3900.9592,-127759.4974,-148883.2679,-141469.6368,-132769.6414,-139186.7704,-137039.8819,-138587.9261,-136983.3004,6778582.0146,6762039.4857,6746079.7920,6749670.7141,-136336.6005,6758522.3501,4591.4734,4672.3665,-3192.3560,-3832.4720,2329.9406,3783.1502,-2090.8030,3344.0621,-5375.5786,-2962.5216,132491.9024,130048.0987,126485.1673,136024.5212,127381.4210,119080.1145,128817.7148,130138.1688,59755450.9747,59732178.7786,59737038.9127,59748012.4945,128494.7114,59757278.0208,
39600.000,-1082.4582,-4900.6813,4070.6721,6490.2757,-5191.0713,-195.1031,3559.9844,3900.3386,-3900.4479,4108.1864,383070.1922,384677.3473,370523.3696,369958.1644,370319.4599,371204.7205,378704.7359,374720.0209,140691280.4149,140686066.3474,140690629.8415,140696463.1754,374535.1531,140689038.2486,5558.8021,3814.0803,-5433.2733,2348.9522,529.6414,4120.2471,-5472.0481,-1532.3345,-4766.9618,-5406.8366,-31216.9011,-55841.6672,-47958.7307,-40519.0554,-47864.1679,-44417.8606,-46506.5287,-43005.2257,44773896.2334,44760540.8248,44744068.1903,44750367.2225,-43909.7974,44753631.5996,-4012.7729,-2935.9654,-667.1094,683.3512,-4577.2534,-5442.1423,-2295.0062,-5509.6103,2698.1074,-1346.1840,131500.2958,128787.7281,125001.4843,134525.8812,128732.0199,118720.8803,123920.6185,125785.2201,59736381.4259,59713238.0804,59714105.0543,59724213.4420,127290.7659,59735078.3989,
43200.000,-1685.7730,3319.0429,-675.8075,-6317.9642,3640.7348,-4072.2697,-294.0193,-1754.0044,5427.2414,-1257.6382,378450.8513,387331.3106,369021.9369,370081.8890,369318.3021,369855.7439,378297.1922,374393.1542,124247474.5334,124241312.2775,124251713.0486,124253692.8781,374140.5318,124246360.3392,-6652.4325,-5949.5442,5474.9989,-5.6750,-4284.5670,-4557.1674,4514.4228,5180.0036,3207.1133,4821.8647,67246.6760,41325.8181,48858.4416,55047.8484,46958.0790,50788.9024,49705.2180,50425.4859,79689679.4286,79679564.9861,79665425.5861,79673787.9118,51634.2467,79669748.8532,998.6953,-854.8347,4002.7973,2855.4954,4052.1360,3028.0166,5225.5732,4227.2829,2345.8748,4795.7587,130430.7276,127492.0370,124120.6601,132423.1192,129737.7784,119052.2579,119950.0713,127422.4509,59717231.0965,59695281.9097,59692119.3794,59702830.4259,126076.1575,59712882.3833,
46800.000,3557.2532,-92.9754,-3663.6738,4135.8639,-1768.1215,5676.8538,-3827.2243,83.2877,-3967.6435,-2863.4081,348916.2514,365583.0379,343847.1233,346312.8486,344985.0948,344970.3654,353160.0902,349024.4682,99322247.2831,99313611.8847,99328034.8590,99324491.7986,349719.2248,99321957.0803,5355.8368,5549.3709,-3778.3936,-3004.0626,6617.2719,3422.1387,-2998.5680,-6911.2618,1058.2797,-3410.6456,161080.8043,136432.9754,142739.4594,147744.1067,139025.5052,142640.8669,142864.8017,145335.1307,109141610.7753,109133792.7580,109124506.8501,109131692.5049,144168.6822,109122461.2350,2594.3686,4031.1558,-4347.2395,-4695.6537,-1107.2810,1621.3638,-4928.0841,-335.8419,-5335.4372,-5304.5850,129291.7586,126166.6910,123753.3551,129588.5745,130219.9105,120166.3666,116841.6426,123729.5611,59697802.7612,59678406.8538,59671238.3061,59683925.1159,124850.9998,59690689.9939,
50400.000,-4776.2724,-3864.5562,6532.0890,-1233.4169,-515.6132,-4556.9837,6545.3961,1546.9213,1514.9246,6108.3013,296586.8294,320633.9860,296616.7344,300403.7244,298411.8175,298570.0315,305166.4866,303973.7022,67623654.5401,67611930.8802,67627240.6807,67619590.2305,302758.5769,67623703.4775,-1943.6674,-3548.5995,1363.2664,5733.5375,-6442.0161,-8.4228,1613.7271,5579.4172,-5484.1157,2054.3266,244124.9042,223376.6354,227675.4378,231368.4066,222397.7317,225765.4605,226621.5437,226706.2067,131120132.9226,131112838.5940,131109925.8690,131110625.8162,227737.8309,131102002.4601,-4646.0968,-4434.9882,1404.1205,3695.0043,-2527.6887,-5085.1153,1543.9557,-3791.3446,3581.6688,2516.4303,128089.5991,124815.7436,123669.7809,125794.6339,130192.5699,122186.6717,114470.6855,124513.8815,59677917.4341,59662552.9958,59651613.9942,59667251.3600,123615.4067,59668501.2510,
54000.000,5364.2066,6551.1577,-6177.1820,-1294.1009,3185.7689,2346.0261,-6334.6218,-3590.5120,702.1931,-6656.2516,225056.3641,255198.5833,230319.9556,236277.2045,232300.9106,234761.6806,237603.4780,234669.2255,31321612.4328,31307560.0035,31319846.9603,31315474.0540,236200.3614,31321461.8853,-2044.0973,1056.6759,1305.6840,-6798.4332,4067.1634,-4302.9513,-7.5331,-2060.8400,6559.3905,-582.5684,311003.7795,296532.7511,298255.9985,299225.8509,291661.5043,296434.9490,295469.6220,297570.1399,144127538.9587,144118772.3297,144122011.9378,144111470.9158,296940.9060,144110394.5559,3883.2965,1750.0338,2574.8731,-489.6971,4618.3715,4740.0207,2776.1924,5533.4352,1320.9079,1803.4702,126828.8598,123442.2516,123561.3137,121069.9270,129669.1189,124511.9107,112765.9036,121771.9087,59657425.9610,59647329.9390,59633351.7539,59650907.7607,122369.4928,59646316.1744,
57600.000,-4876.1200,-6371.2083,2939.3342,3241.5878,-5642.8897,-352.1822,3598.4519,5537.9067,-2938.5969,4444.8979,139133.1158,173339.5681,149113.3504,157116.6382,150711.3353,156496.1438,154970.1993,156045.2794,-7100650.5938,-7115071.8854,-7109201.8530,-7099527.7349,154257.0850,-7101451.8384,4869.9119,1409.3694,-4056.4651,5334.6109,-862.4643,6760.0314,-2425.3914,-1547.5071,-3303.6243,-1693.1177,357465.7287,351125.6506,349970.7304,345208.1082,342272.8368,350213.6511,344997.9191,347128.3103,147279994.5086,147268466.6902,147275387.9085,147258134.9196,347281.5809,147263540.9975,-801.5549,2126.5716,-4636.8548,-3032.4206,-3948.3532,-884.3042,-5393.1057,-3854.2714,-5076.9631,-5033.5882,125513.0034,122048.6273,123123.2356,120000.8110,128643.0165,121435.4113,111698.9297,121463.9818,59636218.6806,59631974.9103,59616414.6426,59629302.7594,121113.3731,59624134.7843,
61200.000,2693.1470,3421.0416,1119.8389,-4725.0115,6610.9645,-1567.3485,-200.1722,-5861.7001,4898.4219,-1094.5597,44506.4721,80214.3148,58080.8356,66118.3582,58774.3844,64724.3549,62668.2987,60427.5059,-45016445.7659,-45029018.2070,-45030645.1486,-45008639.3205,62145.7409,-45018143.2297,-5756.4937,-3844.6966,5916.4039,-1876.5955,-1901.7377,-5549.4383,5123.1227,3665.2506,-1596.8956,4502.7032,380641.6179,383545.6670,379456.3507,371261.8221,370869.2452,379641.5971,372132.2075,375064.8682,140367555.4617,140353330.5203,140359697.1249,140348926.3829,375460.7425,140351313.1378,-2786.3556,-4550.6605,3194.2951,4709.3637,882.3118,-3654.9764,4635.4693,-247.9171,4317.2132,5132.3561,124144.6283,120636.8553,122136.4289,121289.1738,127081.9260,116476.2254,111277.5961,119848.0664,59614232.5274,59615687.6444,59600463.7472,59602014.3532,119847.1630,59601957.1008,
64800.000,908.6948,571.2655,-3979.5962,5618.7867,-5196.6989,3779.7998,-2198.2774,3568.0427,-4895.7339,-1582.7641,-52637.7167,-18252.3496,-37040.5063,-29547.3291,-37640.6081,-32333.2482,-33380.1124,-32676.5218,-79835165.5141,-79844410.5282,-79851348.9593,-79828125.4474,-34244.1871,-79837734.6600,5034.2725,5678.0286,-5504.3406,-1961.6416,3716.8198,1587.1963,-6483.2993,-4205.5907,4610.2930,-6412.0164,379209.1940,391593.6776,384700.8723,374791.1501,375520.0175,383758.1411,375312.0002,380494.7241,123868115.6314,123852458.2560,123854129.2823,123855782.3833,379593.3232,123851546.2293,4674.0838,3806.1153,631.8851,-3571.0566,2692.2868,5446.9386,-1015.8439,4169.0839,242.1527,-2081.6188,122725.6510,119208.6350,120526.1300,122233.1859,124917.3974,112444.3388,111547.5759,118334.6698,59591455.1177,59598050.6204,59584727.2172,59574299.7713,118570.9782,59579783.1437,
68400.000,-4621.4195,-3649.4749,5044.5961,-5174.3466,1715.2080,-5531.9958,3364.5392,653.0878,1572.2241,3028.1319,-146026.9548,-115748.2376,-130180.2100,-123563.9726,-132288.3085,-127438.3570,-127178.7944,-129836.4366,-109179250.0944,-109184830.4207,-109192673.7614,-109178287.4265,-128727.3517,-109182402.7342,-3553.6063,-5799.4714,2259.5804,4612.0660,-4843.2076,2401.2165,5092.0732,4127.9758,-4646.1126,5792.7549,353453.5984,374635.7419,365201.3263,354622.8665,355913.2072,362781.1414,354592.6806,358091.9268,98914365.2896,98899090.8714,98894125.0915,98905341.0820,359334.9189,98897013.3063,-3766.5090,-444.5978,-4003.8231,264.8991,-4667.0396,-3202.6527,-3262.6710,-5518.3781,-4610.9754,-2282.1410,121257.4232,117765.4813,118381.9968,122654.2425,122021.7652,109275.2269,112601.0021,117884.3094,59567925.5523,59579058.8336,59568152.7742,59548311.6712,117284.9351,59557612.9333,
