sl_100_5400_20240929 Coordinates.csv
2024/09/29 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:33 2024,
Start: 2024/09/29 07:47:00.00, Stop: 2024/09/29 09:17:00.00,
TIME_UNITS,STARLINK-4251 - X-Coordinate,STARLINK-6131 - X-Coordinate,STARLINK-31511 - X-Coordinate,STARLINK-31046 - X-Coordinate,STARLINK-5183 - X-Coordinate,STARLINK-3802 - X-Coordinate,STARLINK-3658 - X-Coordinate,STARLINK-5454 - X-Coordinate,STARLINK-4445 - X-Coordinate,STARLINK-30349 - X-Coordinate,STARLINK-32106 - X-Coordinate,STARLINK-32031 - X-Coordinate,STARLINK-3056 - X-Coordinate,STARLINK-31532 - X-Coordinate,STARLINK-5243 - X-Coordinate,STARLINK-5617 - X-Coordinate,STARLINK-2307 - X-Coordinate,STARLINK-30281 - X-Coordinate,STARLINK-4337 - X-Coordinate,STARLINK-31362 - X-Coordinate,STARLINK-30869 - X-Coordinate,STARLINK-30485 - X-Coordinate,STARLINK-5012 - X-Coordinate,STARLINK-30953 - X-Coordinate,STARLINK-6318 - X-Coordinate,STARLINK-1046 - X-Coordinate,STARLINK-6093 - X-Coordinate,STARLINK-31830 - X-Coordinate,STARLINK-6056 - X-Coordinate,STARLINK-3058 - X-Coordinate,STARLINK-4172 - X-Coordinate,STARLINK-2458 - X-Coordinate,STARLINK-32199 - X-Coordinate,STARLINK-2626 - X-Coordinate,STARLINK-3533 - X-Coordinate,STARLINK-2674 - X-Coordinate,STARLINK-30292 - X-Coordinate,STARLINK-2497 - X-Coordinate,STARLINK-1401 - X-Coordinate,STARLINK-3920 - X-Coordinate,STARLINK-11142 [DTC] - X-Coordinate,STARLINK-31813 - X-Coordinate,STARLINK-30707 - X-Coordinate,STARLINK-31308 - X-Coordinate,STARLINK-1284 - X-Coordinate,STARLINK-31676 - X-Coordinate,STARLINK-1395 - X-Coordinate,STARLINK-1728 - X-Coordinate,STARLINK-1578 - X-Coordinate,STARLINK-30480 - X-Coordinate,STARLINK-3524 - X-Coordinate,STARLINK-5775 - X-Coordinate,STARLINK-3274 - X-Coordinate,STARLINK-3584 - X-Coordinate,STARLINK-31895 - X-Coordinate,STARLINK-5429 - X-Coordinate,STARLINK-5757 - X-Coordinate,STARLINK-30403 - X-Coordinate,STARLINK-30856 - X-Coordinate,STARLINK-30154 - X-Coordinate,STARLINK-3904 - X-Coordinate,STARLINK-32166 - X-Coordinate,STARLINK-6089 - X-Coordinate,STARLINK-5244 - X-Coordinate,STARLINK-2582 - X-Coordinate,STARLINK-1835 - X-Coordinate,STARLINK-2055 - X-Coordinate,STARLINK-3386 - X-Coordinate,STARLINK-4731 - X-Coordinate,STARLINK-3362 - X-Coordinate,STARLINK-11245 [DTC] - X-Coordinate,STARLINK-2195 - X-Coordinate,STARLINK-3915 - X-Coordinate,STARLINK-31806 - X-Coordinate,STARLINK-2720 - X-Coordinate,STARLINK-3960 - X-Coordinate,STARLINK-5564 - X-Coordinate,STARLINK-30142 - X-Coordinate,STARLINK-5440 - X-Coordinate,STARLINK-5287 - X-Coordinate,STARLINK-3147 - X-Coordinate,STARLINK-5899 - X-Coordinate,STARLINK-31922 - X-Coordinate,STARLINK-5752 - X-Coordinate,STARLINK-30320 - X-Coordinate,STARLINK-11270 [DTC] - X-Coordinate,STARLINK-3800 - X-Coordinate,STARLINK-5004 - X-Coordinate,STARLINK-31946 - X-Coordinate,STARLINK-2689 - X-Coordinate,STARLINK-30882 - X-Coordinate,STARLINK-1849 - X-Coordinate,STARLINK-30391 - X-Coordinate,STARLINK-31950 - X-Coordinate,STARLINK-5839 - X-Coordinate,STARLINK-2243 - X-Coordinate,STARLINK-30272 - X-Coordinate,STARLINK-3636 - X-Coordinate,STARLINK-30297 - X-Coordinate,STARLINK-2563 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4251 - Y-Coordinate,STARLINK-6131 - Y-Coordinate,STARLINK-31511 - Y-Coordinate,STARLINK-31046 - Y-Coordinate,STARLINK-5183 - Y-Coordinate,STARLINK-3802 - Y-Coordinate,STARLINK-3658 - Y-Coordinate,STARLINK-5454 - Y-Coordinate,STARLINK-4445 - Y-Coordinate,STARLINK-30349 - Y-Coordinate,STARLINK-32106 - Y-Coordinate,STARLINK-32031 - Y-Coordinate,STARLINK-3056 - Y-Coordinate,STARLINK-31532 - Y-Coordinate,STARLINK-5243 - Y-Coordinate,STARLINK-5617 - Y-Coordinate,STARLINK-2307 - Y-Coordinate,STARLINK-30281 - Y-Coordinate,STARLINK-4337 - Y-Coordinate,STARLINK-31362 - Y-Coordinate,STARLINK-30869 - Y-Coordinate,STARLINK-30485 - Y-Coordinate,STARLINK-5012 - Y-Coordinate,STARLINK-30953 - Y-Coordinate,STARLINK-6318 - Y-Coordinate,STARLINK-1046 - Y-Coordinate,STARLINK-6093 - Y-Coordinate,STARLINK-31830 - Y-Coordinate,STARLINK-6056 - Y-Coordinate,STARLINK-3058 - Y-Coordinate,STARLINK-4172 - Y-Coordinate,STARLINK-2458 - Y-Coordinate,STARLINK-32199 - Y-Coordinate,STARLINK-2626 - Y-Coordinate,STARLINK-3533 - Y-Coordinate,STARLINK-2674 - Y-Coordinate,STARLINK-30292 - Y-Coordinate,STARLINK-2497 - Y-Coordinate,STARLINK-1401 - Y-Coordinate,STARLINK-3920 - Y-Coordinate,STARLINK-11142 [DTC] - Y-Coordinate,STARLINK-31813 - Y-Coordinate,STARLINK-30707 - Y-Coordinate,STARLINK-31308 - Y-Coordinate,STARLINK-1284 - Y-Coordinate,STARLINK-31676 - Y-Coordinate,STARLINK-1395 - Y-Coordinate,STARLINK-1728 - Y-Coordinate,STARLINK-1578 - Y-Coordinate,STARLINK-30480 - Y-Coordinate,STARLINK-3524 - Y-Coordinate,STARLINK-5775 - Y-Coordinate,STARLINK-3274 - Y-Coordinate,STARLINK-3584 - Y-Coordinate,STARLINK-31895 - Y-Coordinate,STARLINK-5429 - Y-Coordinate,STARLINK-5757 - Y-Coordinate,STARLINK-30403 - Y-Coordinate,STARLINK-30856 - Y-Coordinate,STARLINK-30154 - Y-Coordinate,STARLINK-3904 - Y-Coordinate,STARLINK-32166 - Y-Coordinate,STARLINK-6089 - Y-Coordinate,STARLINK-5244 - Y-Coordinate,STARLINK-2582 - Y-Coordinate,STARLINK-1835 - Y-Coordinate,STARLINK-2055 - Y-Coordinate,STARLINK-3386 - Y-Coordinate,STARLINK-4731 - Y-Coordinate,STARLINK-3362 - Y-Coordinate,STARLINK-11245 [DTC] - Y-Coordinate,STARLINK-2195 - Y-Coordinate,STARLINK-3915 - Y-Coordinate,STARLINK-31806 - Y-Coordinate,STARLINK-2720 - Y-Coordinate,STARLINK-3960 - Y-Coordinate,STARLINK-5564 - Y-Coordinate,STARLINK-30142 - Y-Coordinate,STARLINK-5440 - Y-Coordinate,STARLINK-5287 - Y-Coordinate,STARLINK-3147 - Y-Coordinate,STARLINK-5899 - Y-Coordinate,STARLINK-31922 - Y-Coordinate,STARLINK-5752 - Y-Coordinate,STARLINK-30320 - Y-Coordinate,STARLINK-11270 [DTC] - Y-Coordinate,STARLINK-3800 - Y-Coordinate,STARLINK-5004 - Y-Coordinate,STARLINK-31946 - Y-Coordinate,STARLINK-2689 - Y-Coordinate,STARLINK-30882 - Y-Coordinate,STARLINK-1849 - Y-Coordinate,STARLINK-30391 - Y-Coordinate,STARLINK-31950 - Y-Coordinate,STARLINK-5839 - Y-Coordinate,STARLINK-2243 - Y-Coordinate,STARLINK-30272 - Y-Coordinate,STARLINK-3636 - Y-Coordinate,STARLINK-30297 - Y-Coordinate,STARLINK-2563 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4251 - Z-Coordinate,STARLINK-6131 - Z-Coordinate,STARLINK-31511 - Z-Coordinate,STARLINK-31046 - Z-Coordinate,STARLINK-5183 - Z-Coordinate,STARLINK-3802 - Z-Coordinate,STARLINK-3658 - Z-Coordinate,STARLINK-5454 - Z-Coordinate,STARLINK-4445 - Z-Coordinate,STARLINK-30349 - Z-Coordinate,STARLINK-32106 - Z-Coordinate,STARLINK-32031 - Z-Coordinate,STARLINK-3056 - Z-Coordinate,STARLINK-31532 - Z-Coordinate,STARLINK-5243 - Z-Coordinate,STARLINK-5617 - Z-Coordinate,STARLINK-2307 - Z-Coordinate,STARLINK-30281 - Z-Coordinate,STARLINK-4337 - Z-Coordinate,STARLINK-31362 - Z-Coordinate,STARLINK-30869 - Z-Coordinate,STARLINK-30485 - Z-Coordinate,STARLINK-5012 - Z-Coordinate,STARLINK-30953 - Z-Coordinate,STARLINK-6318 - Z-Coordinate,STARLINK-1046 - Z-Coordinate,STARLINK-6093 - Z-Coordinate,STARLINK-31830 - Z-Coordinate,STARLINK-6056 - Z-Coordinate,STARLINK-3058 - Z-Coordinate,STARLINK-4172 - Z-Coordinate,STARLINK-2458 - Z-Coordinate,STARLINK-32199 - Z-Coordinate,STARLINK-2626 - Z-Coordinate,STARLINK-3533 - Z-Coordinate,STARLINK-2674 - Z-Coordinate,STARLINK-30292 - Z-Coordinate,STARLINK-2497 - Z-Coordinate,STARLINK-1401 - Z-Coordinate,STARLINK-3920 - Z-Coordinate,STARLINK-11142 [DTC] - Z-Coordinate,STARLINK-31813 - Z-Coordinate,STARLINK-30707 - Z-Coordinate,STARLINK-31308 - Z-Coordinate,STARLINK-1284 - Z-Coordinate,STARLINK-31676 - Z-Coordinate,STARLINK-1395 - Z-Coordinate,STARLINK-1728 - Z-Coordinate,STARLINK-1578 - Z-Coordinate,STARLINK-30480 - Z-Coordinate,STARLINK-3524 - Z-Coordinate,STARLINK-5775 - Z-Coordinate,STARLINK-3274 - Z-Coordinate,STARLINK-3584 - Z-Coordinate,STARLINK-31895 - Z-Coordinate,STARLINK-5429 - Z-Coordinate,STARLINK-5757 - Z-Coordinate,STARLINK-30403 - Z-Coordinate,STARLINK-30856 - Z-Coordinate,STARLINK-30154 - Z-Coordinate,STARLINK-3904 - Z-Coordinate,STARLINK-32166 - Z-Coordinate,STARLINK-6089 - Z-Coordinate,STARLINK-5244 - Z-Coordinate,STARLINK-2582 - Z-Coordinate,STARLINK-1835 - Z-Coordinate,STARLINK-2055 - Z-Coordinate,STARLINK-3386 - Z-Coordinate,STARLINK-4731 - Z-Coordinate,STARLINK-3362 - Z-Coordinate,STARLINK-11245 [DTC] - Z-Coordinate,STARLINK-2195 - Z-Coordinate,STARLINK-3915 - Z-Coordinate,STARLINK-31806 - Z-Coordinate,STARLINK-2720 - Z-Coordinate,STARLINK-3960 - Z-Coordinate,STARLINK-5564 - Z-Coordinate,STARLINK-30142 - Z-Coordinate,STARLINK-5440 - Z-Coordinate,STARLINK-5287 - Z-Coordinate,STARLINK-3147 - Z-Coordinate,STARLINK-5899 - Z-Coordinate,STARLINK-31922 - Z-Coordinate,STARLINK-5752 - Z-Coordinate,STARLINK-30320 - Z-Coordinate,STARLINK-11270 [DTC] - Z-Coordinate,STARLINK-3800 - Z-Coordinate,STARLINK-5004 - Z-Coordinate,STARLINK-31946 - Z-Coordinate,STARLINK-2689 - Z-Coordinate,STARLINK-30882 - Z-Coordinate,STARLINK-1849 - Z-Coordinate,STARLINK-30391 - Z-Coordinate,STARLINK-31950 - Z-Coordinate,STARLINK-5839 - Z-Coordinate,STARLINK-2243 - Z-Coordinate,STARLINK-30272 - Z-Coordinate,STARLINK-3636 - Z-Coordinate,STARLINK-30297 - Z-Coordinate,STARLINK-2563 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5291.5079,4625.0701,-1237.7470,3336.9253,4059.0160,-6879.4520,-5556.7020,-4222.8160,-760.9601,-1783.8936,4732.2747,-1134.5467,2769.1917,1244.9989,3304.4032,2021.7126,5458.2417,4140.3262,-2549.7488,4446.4662,331.1472,-4459.6933,-6252.1278,747.3102,-4680.2516,-2279.0025,-2147.0776,6810.8489,-2986.5719,447.2045,3825.9673,-5589.9444,-2405.9965,-868.0278,-5331.6061,-4132.2342,2359.1433,-4253.0034,-1694.3472,821.4171,-6417.9551,63.3813,2111.2026,-2332.0724,-4656.5337,4825.7461,5569.8403,3461.1262,-5402.6612,-4711.2255,-2894.9968,-4947.6748,3103.4579,-349.0368,-1718.7297,-1370.8296,4277.8209,3764.2484,-6090.1660,-5482.9994,3450.3160,-266.8055,1432.0477,3164.7358,265.6659,5917.8803,4362.3024,3173.3047,-5955.5135,4874.3760,3481.8460,2979.1893,6163.1923,-2228.9585,-3765.2747,104.7045,-3560.6179,2792.1555,1149.1722,4139.7421,-4222.8626,-4361.3233,-4985.4676,-6047.1733,4720.0485,2566.2024,2905.7906,-5146.0431,-5293.2889,1281.0753,-2613.3845,-6279.5439,4958.9227,2633.3501,3921.0560,-4028.8491,336.7530,-2270.7199,934.1099,4247.7515,-353116.7963,-347487.4464,-340698.6717,-344329.7895,-340118.1766,-342306.0637,-349382.9239,-346765.6057,-161689728.9802,-161677480.8005,-161684675.1445,-161678205.7973,-346493.1612,-161673347.6116,3780.9738,5162.2020,5170.1756,2484.1810,-5592.4526,-644.8807,893.3653,183.2948,5867.1388,4753.8485,-4908.3907,-5874.4301,-5838.4904,-6552.5463,-4010.1315,2088.5918,4248.6388,4949.6460,-606.0131,3016.0069,-6854.6805,-3847.6467,1735.1123,5760.1121,5042.3576,3778.3426,-4647.6228,-226.3148,-3445.6049,3322.2255,-3816.2790,1131.5050,4452.4089,6698.3031,4204.9218,3089.0099,-5921.3429,2141.1320,-5055.5385,4077.2830,1990.5583,-4135.7842,3825.4999,-4570.4424,5099.2634,4047.6604,3626.5343,2324.4334,2257.7552,4717.5615,5773.9735,-1285.5364,-3051.1429,-6468.3233,6577.7587,4739.6057,3559.5394,4705.3784,-2958.6581,-310.8800,5561.1530,-4482.2031,-5192.9915,3084.3512,-6897.0663,-3583.1158,3777.0100,-4352.4803,-3025.9353,2568.1701,-2109.2679,6224.0867,568.3021,4865.6888,4372.5453,5275.9139,-4333.0198,5774.5434,-6511.1416,4319.2569,1056.4494,3754.9961,1847.1252,3119.1530,2508.9785,-5815.0112,-5231.8961,4400.8865,-4293.8794,-6622.1620,-4393.1555,-1060.1192,-1377.3682,5764.7569,5432.6815,-2587.8472,-6825.3994,5290.6936,-4184.5552,-3989.1909,159868.3350,196346.1292,177163.7766,171911.7985,178822.3361,175591.1281,180309.1265,175335.8766,-59138652.5340,-59152455.4456,-59148757.4202,-59147861.0213,176729.3571,-59139403.4931,-2442.6947,265.8397,4266.9212,-5453.3409,-344.3062,338.0011,-4030.2726,-5483.5131,-3641.2930,4717.8687,241.1519,3276.1668,-2569.4309,1421.5941,4556.9678,6307.2739,341.9872,2538.9404,-6436.0266,4246.1031,1001.6690,3657.5608,-2409.5811,-3666.5933,878.9021,5327.5826,-4684.8010,-748.2174,-5251.2325,6083.1126,-4327.1777,3658.5856,-4586.3746,1465.6609,-1338.6293,-4627.7718,2476.3950,5015.7530,-4235.4473,-5535.0135,498.2290,5418.0755,-5286.9480,-4494.3330,-537.5540,2611.4407,1940.4262,-5536.7151,-3705.7459,-1649.9570,2469.8128,-4693.3634,-5384.5373,-2437.3852,567.3551,-4857.0985,-4145.7177,3428.0572,-1489.6109,4230.2187,-2252.8588,5131.1081,-4375.2319,5312.5322,569.7404,-314.9375,3820.7214,-4348.4234,1792.3277,4174.1238,-5349.9890,584.5470,-3100.3326,-4234.4603,-3837.0515,-4480.7672,-4086.5683,2635.4934,-2044.9996,-3579.9617,5366.9086,3893.6256,4266.3657,1346.6837,4260.2539,2169.3035,-3479.1983,1411.3949,247.7731,-1583.8438,4537.2811,-2729.0800,4641.8153,-2531.7958,1792.2473,-5010.0463,-321.9751,-3844.0134,-5338.2306,-3750.2163,106900.9904,103097.4568,101040.9003,109435.9411,106631.2179,95955.7218,96964.7933,101985.0410,73762109.8187,73759496.5625,73744245.2270,73748839.4579,103031.9423,73749925.0990,
300.000,4120.7746,5472.8014,892.0479,4672.8031,2835.8735,-6738.3174,-4179.8287,-3612.0292,-1013.5048,255.3799,3446.9051,-2599.4070,1666.3283,-401.5337,2441.4802,4003.1894,5996.1180,5504.6148,-4071.9055,4398.5988,-1207.2828,-5876.1435,-6178.6893,2451.9751,-3217.0324,-760.9566,-4043.4697,6615.9382,-2735.9371,1772.7286,3162.8777,-5849.9620,-1220.5135,457.5546,-4582.1638,-3642.4194,1262.6528,-3941.4662,-2878.0209,2862.1812,-5840.8727,-2089.0773,4056.9084,-3926.3685,-3442.7187,5248.2269,5578.4899,4550.7506,-3798.5400,-3124.1380,-1302.4689,-5432.1182,1158.0478,-1606.3611,-204.7921,142.8311,5724.5856,4595.4887,-6663.9946,-5868.1507,4653.7801,-2182.0717,-687.3092,4002.9394,-960.4799,4933.6559,4495.1582,1182.3735,-5823.0484,6155.3923,2414.5277,3981.7557,6727.3114,-535.9575,-1883.3722,1747.4003,-5215.0430,4346.9566,-252.2772,5195.3665,-3021.0409,-2740.6076,-4515.8796,-5318.3256,6033.8120,993.0509,1929.5078,-3811.5015,-5928.4523,85.4982,-4386.4149,-6847.7933,4429.1938,3790.3920,5206.4970,-5504.7535,-892.3888,-1150.3536,-1239.2995,2407.3325,-356376.6173,-351551.0611,-344375.8827,-348080.4478,-343787.7944,-345929.8981,-353080.1009,-350332.7285,-160356678.6922,-160344191.8122,-160351405.3832,-160344601.4756,-350196.1785,-160340325.6965,3479.1777,3871.7633,4916.8945,828.0485,-5948.4196,568.9775,2240.3121,2270.0393,4345.8371,5366.5860,-5742.4069,-6089.2002,-5154.5492,-6201.7809,-5565.6685,1636.2309,3146.9730,4069.5861,-1876.6193,1019.1100,-6377.8383,-2707.6842,3043.1351,4653.9765,5683.4431,5142.2725,-3738.2508,-1429.3545,-1477.1067,1607.6831,-5390.1963,2689.6865,5823.6400,6151.2379,5162.3510,4816.5400,-6682.9816,4042.6133,-3436.6900,3352.3549,3087.5639,-3715.2671,3194.3223,-3099.4500,5560.0922,2230.6353,2113.5468,473.5633,3197.7501,5335.6564,5528.4685,765.2043,-4012.9734,-5477.9203,6748.4898,5827.9732,2280.2413,2913.4491,-1878.2028,1608.2158,5096.9518,-3459.3255,-5038.5782,1084.2405,-6452.7902,-4393.4468,1892.8877,-4384.3592,-1547.3951,1494.1373,-3979.1257,5534.7584,-737.4066,5914.6014,4503.2968,4104.1284,-3366.2739,5263.4841,-5906.7631,4350.2518,2868.3194,3450.9174,3796.2574,4451.0969,1402.1490,-5512.5720,-6370.0277,4885.2304,-2868.1250,-6922.4587,-4091.8346,176.7800,-3398.4315,4322.7905,4575.3849,-1365.4166,-6451.3464,6408.9980,-3959.5050,-4310.5706,152361.8072,188931.5624,169665.0861,164558.7848,171496.8434,168240.5267,172872.0156,167722.0769,-62654239.5880,-62667919.6130,-62664852.3277,-62663665.4709,169364.5223,-62655063.2411,-4381.4741,1773.7718,4636.0457,-4951.9219,-2114.4951,-1468.9529,-5043.6679,-5453.0951,-5325.4161,4379.9365,-1306.3166,1652.1034,-4361.4138,2804.0974,3295.2524,5435.5839,-1460.3076,1117.6091,-5309.3034,5146.4080,2438.0503,2496.9181,-666.5600,-4417.1732,2329.9362,4566.1544,-4222.4066,1074.3244,-6221.0987,6519.4585,-2975.8190,2120.5205,-3351.5176,3110.8248,472.1522,-3399.3145,733.9432,3997.6479,-5126.3372,-5339.0291,-1334.6771,5319.6100,-4514.0333,-4637.0302,-2287.7065,3735.0793,3509.5993,-5206.0086,-4834.8969,-2992.0429,3940.0830,-4249.9779,-5521.9181,-3915.5402,-988.8006,-3733.5308,-3190.3684,4294.0166,313.4722,3324.6976,-494.7092,5454.3310,-4722.3048,5526.8115,2316.7756,-2082.6337,4906.6753,-5225.9079,3390.9192,2773.0345,-4850.9858,-1224.1730,-1448.8115,-3361.1750,-4919.8431,-5294.7013,-3100.9131,1229.4157,-3600.4278,-1638.3048,5513.0001,5369.6893,3418.1102,-186.5299,2895.0961,3700.8795,-1897.9727,3067.9603,1767.8781,213.4324,3280.6179,-1027.9803,4108.2250,-3678.0952,285.9108,-3981.7183,-2100.7195,-2347.1171,-5446.7802,-4864.0435,106765.0747,102966.8152,100975.1272,109216.4505,106677.7386,96000.0431,96657.6881,102295.6392,73760422.1982,73758286.5364,73743038.5673,73747632.8855,102914.9457,73748204.1092,
600.000,2538.2661,5803.9184,2943.4284,5570.5216,1312.5931,-5928.8125,-2413.1782,-2703.8059,-1082.6116,2251.2549,1800.9884,-3778.6460,347.6431,-2032.1692,1373.0083,5584.7850,5950.1380,6331.1870,-5113.0241,3956.8520,-2651.7143,-6723.7007,-5494.7189,3947.2236,-1428.3880,789.1272,-5558.7203,5742.3690,-2288.3697,2989.2512,2219.2277,-5506.4565,53.4954,1771.1361,-3373.0662,-2830.2548,44.6061,-3283.1180,-3818.1940,4636.1157,-4629.0571,-4034.2453,5591.7568,-5154.0955,-1870.6933,5169.5528,5063.1373,5238.8679,-1826.5749,-1211.7277,451.6314,-5429.4757,-875.8611,-2747.4070,1339.5505,1605.7542,6624.9094,5023.3971,-6579.6739,-5710.3334,5390.6479,-3905.7927,-2750.4028,4502.3078,-2117.4641,3449.8870,4235.3851,-941.2727,-5135.7375,6826.6815,1139.5067,4602.1209,6627.4765,1183.5516,201.3120,3263.5064,-6365.5106,5473.4095,-1665.7530,5715.4228,-1569.8753,-811.6098,-3618.8997,-4073.7610,6730.3324,-721.9100,782.9863,-2079.9537,-5970.3204,-1121.0463,-5695.4033,-6739.2495,3510.3366,4598.4198,5986.2448,-6451.0076,-2053.7641,57.7830,-3293.7889,317.2999,-359476.4911,-355456.3564,-347899.0004,-351675.7419,-347305.6472,-349399.2606,-356616.1631,-353724.5242,-158947194.3536,-158934472.7414,-158941673.4367,-158934537.9997,-353742.6478,-158930866.0922,2750.4646,2195.7165,4206.6413,-869.8139,-5728.7653,1742.8251,3417.5757,4148.5411,2359.8896,5497.9534,-6000.1688,-5682.9125,-3981.7633,-5230.0245,-6567.3195,1089.4740,1720.5697,2805.2301,-3005.7920,-1100.6386,-5288.6244,-1329.7359,4042.1366,3110.2701,5791.8013,6024.5997,-2507.9218,-2498.3976,661.5469,-220.3914,-6423.8113,3943.9203,6601.6390,5001.4727,5610.1101,6060.2478,-6755.3876,5533.4637,-1480.0726,2354.2566,3866.5317,-2970.4342,2289.4034,-1345.1426,5489.6436,172.0683,363.8862,-1388.6084,3876.5722,5447.5099,4764.2059,2724.3938,-4635.0685,-3955.8069,6233.4242,6359.9541,810.7269,839.7265,-608.4894,3351.5605,4129.9183,-2130.8488,-4442.8792,-1002.5986,-5371.8141,-4789.4769,-195.9654,-4039.6731,114.7937,302.7904,-5437.8251,4290.8115,-1954.0923,6379.5761,4242.8801,2564.7163,-2104.1709,4252.0842,-4733.8072,3960.7292,4431.3798,2860.9880,5351.5306,5353.7011,184.0546,-4637.9273,-6873.8419,4913.4491,-1136.7290,-6536.8097,-3404.9133,1384.7351,-5090.2687,2442.8284,3277.4195,-50.8921,-5416.5065,6893.6071,-3391.6350,-4260.4672,144790.1554,181431.8362,162089.4027,157127.5643,164094.0504,160816.0664,165355.9485,160168.0266,-66139811.7648,-66153354.2473,-66150917.0224,-66149397.1978,161922.0475,-66140709.2956,-5855.3490,3091.9109,4484.4861,-3904.6899,-3657.1788,-3117.7680,-5516.3873,-4838.5777,-6444.9860,3573.8242,-2707.1306,-157.4349,-5691.8012,3871.2631,1678.1286,3987.2883,-3105.8947,-423.2595,-3620.0152,5476.5763,3613.5868,1069.2771,1148.2297,-4682.6717,3531.6807,3314.0830,-3310.0238,2777.7559,-6534.2614,6265.0445,-1304.6152,339.7293,-1741.7922,4419.6568,2232.0215,-1806.8426,-1090.3468,2549.5271,-5440.1836,-4571.0612,-3012.1767,4624.3291,-3243.2325,-4259.9182,-3792.5287,4438.8446,4701.5854,-4319.1964,-5447.2462,-4005.0649,4985.5205,-3353.7193,-5067.8967,-4973.2782,-2433.9371,-2209.0820,-1894.6359,4700.8782,2082.9176,2063.6811,1316.6991,5165.9938,-4566.5162,5145.6731,3814.7617,-3626.8256,5465.5168,-5543.3562,4623.8660,1072.8632,-3784.4972,-2901.5081,358.6196,-2111.0767,-5476.8254,-5541.2889,-1784.3473,-308.1503,-4769.1190,475.8631,5065.1931,6276.1689,2185.7008,-1699.8205,1207.1704,4797.0939,-112.5518,4393.6569,3089.1088,1987.7501,1658.2378,783.4697,3135.2989,-4412.3681,-1251.0121,-2527.2338,-3645.7247,-597.7983,-4952.3338,-5458.0440,106628.8326,102836.1127,100912.9894,108991.8630,106720.6087,96049.8357,96356.4999,102655.8452,73758728.9918,73757068.2393,73741837.0273,73746428.7021,102797.8911,73746483.0581,
