sl_10_5400_20240719 Coordinates.csv
2024/07/19 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:20 2024,
Start: 2024/07/19 07:47:00.00, Stop: 2024/07/19 09:17:00.00,
TIME_UNITS,STARLINK-5047 - X-Coordinate,STARLINK-1894 - X-Coordinate,STARLINK-4790 - X-Coordinate,STARLINK-11186 [DTC] - X-Coordinate,STARLINK-1633 - X-Coordinate,STARLINK-6045 - X-Coordinate,STARLINK-6344 - X-Coordinate,STARLINK-11289 [DTC] - X-Coordinate,STARLINK-5585 - X-Coordinate,STARLINK-31734 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5047 - Y-Coordinate,STARLINK-1894 - Y-Coordinate,STARLINK-4790 - Y-Coordinate,STARLINK-11186 [DTC] - Y-Coordinate,STARLINK-1633 - Y-Coordinate,STARLINK-6045 - Y-Coordinate,STARLINK-6344 - Y-Coordinate,STARLINK-11289 [DTC] - Y-Coordinate,STARLINK-5585 - Y-Coordinate,STARLINK-31734 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5047 - Z-Coordinate,STARLINK-1894 - Z-Coordinate,STARLINK-4790 - Z-Coordinate,STARLINK-11186 [DTC] - Z-Coordinate,STARLINK-1633 - Z-Coordinate,STARLINK-6045 - Z-Coordinate,STARLINK-6344 - Z-Coordinate,STARLINK-11289 [DTC] - Z-Coordinate,STARLINK-5585 - Z-Coordinate,STARLINK-31734 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,3306.8277,4809.5397,-6151.7825,2946.8088,4184.7782,42.4461,-3782.1295,3943.9785,-5882.9090,-4941.8928,292140.6416,318926.4038,305076.4850,299524.0189,307843.0729,304003.2556,305236.1788,302293.0855,-231576079.1187,-231568872.3630,-231558085.3374,-231563740.2071,303340.3846,-231556632.1800,-5565.6929,-3799.1756,3166.0890,3190.9958,-5094.8099,5461.4612,3643.0514,4629.3994,3319.8285,1560.5500,-133103.0830,-131800.9307,-144333.5329,-141817.8134,-143973.0057,-143432.7674,-135103.5757,-138760.7763,-35513111.4840,-35521052.0587,-35508722.1155,-35508880.2940,-138650.4312,-35515126.4868,2533.1696,3236.3450,-271.4409,-5155.4205,-2159.4128,-4306.1215,-4537.8680,-2869.7998,-1583.5621,-4442.3095,-176726.0997,-180955.0106,-181933.8997,-174892.6795,-175573.2614,-185981.5751,-187830.6753,-181835.6192,81545080.7553,81525924.9246,81519790.4631,81529835.2120,-180379.1045,81539153.1159,
3000.000,2953.3019,4327.3902,-5360.9240,4704.9206,2644.6714,880.4461,-1918.8662,4324.8038,-4548.8055,-4466.7056,294691.2655,321553.9357,307781.3991,302332.6936,310701.5186,306881.4799,308000.1865,304816.3029,-230742477.9140,-230735449.7740,-230725083.7816,-230730678.7095,306161.1848,-230723094.6817,-6279.2191,-5170.5457,4102.4386,2145.6706,-5247.9402,6428.1722,4704.4436,2930.7656,4340.7657,3560.8330,-126998.4263,-125174.9947,-137997.8094,-135368.8641,-137568.7515,-137079.2464,-128776.5348,-132606.7154,-40559360.5490,-40567512.4037,-40554899.7351,-40555423.5388,-132260.7193,-40561304.8617,466.5976,1614.0253,1532.2926,-4324.6818,-3688.9818,-2500.8019,-4728.5313,-4235.4379,-2935.5848,-3736.3857,-176689.8544,-180962.4268,-181853.8701,-175034.5792,-175432.1031,-185767.7006,-187969.5719,-181499.8992,81546833.8422,81527927.3784,81521492.6743,81531589.4892,-180374.0797,81540678.3141,
3300.000,2305.7777,3433.7160,-4029.7394,5970.0096,820.5328,1597.4280,109.7929,4284.8946,-2768.7273,-3574.2711,297116.8053,324042.7136,310351.7802,305006.7948,313423.7226,309626.1609,310632.0743,307317.5411,-229798920.7175,-229792060.0373,-229782128.3139,-229787638.1541,308847.4673,-229779603.7102,-6352.9582,-6022.1954,4646.9380,919.0415,-4918.8077,6751.6788,5353.7297,899.0909,4969.8712,5194.9658,-120846.6190,-118497.5876,-131601.7072,-128861.0912,-131104.4179,-130662.6859,-122395.4435,-126379.5315,-45586141.2953,-45594511.4280,-45581635.2489,-45582528.6243,-125813.7364,-45588017.8122,-1649.5190,-181.1271,3171.1793,-2991.7551,-4825.1058,-430.2480,-4415.8744,-5105.7929,-3974.3711,-2612.0582,-176654.2053,-180969.6703,-181770.9036,-175182.4959,-175294.3064,-185547.5083,-188102.9987,-181077.7970,81548583.9295,81529937.0015,81523203.4764,81533358.7076,-180368.9354,81542203.2961,
3600.000,1404.8863,2199.3160,-2282.5557,6600.3637,-1114.4190,2146.6453,2108.8622,3839.3960,-713.4382,-2343.7157,299416.3985,326391.7373,312786.4956,307545.3476,316008.4927,312235.7886,313130.8678,309810.3254,-228745860.2454,-228739155.3812,-228729670.4916,-228735069.2232,311398.0720,-228726611.8543,-5791.9326,-6280.2783,4762.4440,-372.2567,-4151.6904,6390.3935,5525.0502,-1247.5357,5156.9213,6297.0236,-114650.1293,-111771.6416,-125147.9838,-122297.1669,-124583.0248,-124185.5468,-115962.9370,-120059.3972,-50591058.1179,-50599652.8997,-50586533.1698,-50587798.5672,-119312.3128,-50592869.8388,-3590.8668,-1956.9159,4468.9898,-1310.8546,-5447.3552,1685.9817,-3633.0227,-5379.9107,-4589.5971,-1194.8911,-176619.1383,-180976.7390,-181685.1482,-175336.5889,-175159.8595,-185320.9108,-188231.0183,-180600.4656,81550330.9154,81531953.6969,81524922.9438,81535142.6914,-180363.6715,81543728.0619,
3900.000,319.4602,729.3527,-287.4052,6522.1717,-2972.9921,2499.3156,3888.1861,3040.1748,1419.0533,-886.0417,301589.2299,328600.0682,315084.4692,309947.4580,318454.6991,314708.8818,315495.6386,312297.5190,-227583801.4007,-227577240.2454,-227568214.0453,-227573474.8340,313811.8981,-227564623.8852,-4665.9056,-5930.6884,4451.4302,-1608.3574,-3028.8979,5374.0076,5194.2970,-3276.7733,4890.3197,6755.8335,-108411.4433,-105000.1082,-118639.4239,-115679.7667,-118007.6085,-117650.2960,-109481.6736,-113628.7177,-55571725.9002,-55580551.0441,-55567208.4496,-55568846.7471,-112759.3019,-55573475.9250,-5152.4121,-3523.5052,5286.4023,522.7299,-5489.9937,3622.9148,-2462.9884,-5026.1077,-4716.1252,356.3793,-176584.6400,-180983.6310,-181596.7573,-175497.0251,-175028.7509,-185087.8214,-188353.6905,-180104.4082,81552074.6994,81533977.3511,81526651.1483,81536941.2518,-180358.2881,81545252.6113,
4200.000,-858.3928,-845.5801,1760.4903,5738.8904,-4571.9337,2644.7929,5280.4650,1969.7214,3422.5320,665.4565,303634.5313,330666.8307,317244.6820,312212.3168,320761.2750,317043.9857,317725.5044,314770.6042,-226313301.0307,-226306871.0410,-226298314.6379,-226303409.9015,316087.9050,-226294196.5148,-3100.2046,-5018.9502,3753.9252,-2676.9832,-1661.7593,3801.1784,4382.5462,-4966.8059,4197.2640,6526.6596,-102133.0640,-98185.9574,-112078.8376,-109011.5652,-111381.2208,-111059.4026,-102954.3334,-107074.5068,-60525771.1503,-60534831.6816,-60521287.6137,-60523298.0423,-106157.5796,-60527462.6731,-6170.0408,-4713.9657,5535.8365,2295.3309,-4948.5344,5174.7201,-1030.1663,-4085.3746,-4340.6141,1867.5947,-176550.6974,-180990.3443,-181505.8889,-175663.9794,-174900.9695,-184848.1556,-188471.0723,-179628.5205,81553815.1825,81536007.8330,81528388.1588,81538754.1855,-180352.7850,81546776.9446,
4500.000,-2020.9094,-2381.0799,3657.9709,4331.7247,-5749.7667,2588.8838,6157.1713,732.9547,5102.3095,2167.1840,305551.5822,332591.2118,319266.1722,314339.2031,322927.2169,319239.6699,319819.6310,317210.1627,-224934967.6607,-224928655.8865,-224920579.6000,-224925481.0767,318225.1123,-224915938.1283,-1261.1555,-3643.9683,2742.2804,-3483.3860,-179.7007,1829.3677,3155.5526,-6130.3554,3140.9270,5635.8126,-95817.5105,-91332.1761,-105469.0601,-102295.2333,-104706.9286,-104415.3333,-96383.6170,-100390.4353,-65450833.1325,-65460133.3602,-65446409.8923,-65448789.9603,-99510.0426,-65452469.4359,-6537.2541,-5401.9582,5190.5819,3800.1976,-3880.1774,6176.9416,512.6768,-2666.9248,-3502.8429,3168.9230,-176517.2982,-180996.8768,-181412.7054,-175837.6341,-174776.5044,-184601.8325,-188583.2179,-179210.6252,81555552.2669,81538044.9929,81530134.0410,81540581.2724,-180347.1623,81548301.0616,
4800.000,-3054.2772,-3732.0359,5214.0981,2450.9188,-6383.1497,2350.8444,6440.7004,-552.5344,6294.0480,3478.4525,307339.7105,334372.4619,321148.0365,316327.4899,324951.5850,321294.5240,321777.2320,319587.6172,-223449461.2019,-223443254.3176,-223435667.6401,-223440346.4606,320222.6008,-223430508.4935,661.8006,-1946.8023,1513.5720,-3958.3282,1281.7112,-341.6532,1618.9671,-6635.7410,1814.9460,4177.5320,-89467.3169,-84441.7669,-98812.9503,-95533.4335,-97987.8124,-97720.5480,-89772.2445,-93578.2046,-70344564.9925,-70354108.4819,-70340228.3434,-70342973.7611,-92819.6072,-70346149.4411,-6215.6140,-5514.7270,4287.5535,4861.9916,-2398.1131,6523.7770,2000.7005,-936.1050,-2291.6784,4114.1622,-176484.4302,-181003.2263,-181317.3736,-176018.1793,-174655.3456,-184348.7771,-188690.1791,-178883.9197,81557285.8562,81540088.6618,81531888.8569,81542422.2731,-180341.4199,81549824.9624,
5100.000,-3849.5192,-4766.0629,6269.4891,299.1150,-6400.2289,1959.7732,6111.3496,-1767.2092,6880.0486,4474.5328,308998.2924,336009.8948,322889.4301,318176.6492,326833.5037,323207.1547,323597.5707,321868.0605,-221857492.6352,-221851376.9744,-221844288.5304,-221848715.2936,322079.5122,-221838618.4444,2475.3899,-96.0117,180.3975,-4063.3739,2592.9199,-2490.4731,-90.5309,-6422.5380,335.5303,2303.6280,-83085.0315,-77517.7469,-92113.3894,-88728.8156,-91226.9656,-90977.4944,-83122.9541,-86647.9906,-75204634.8751,-75214424.4234,-75200410.9706,-75203515.5753,-86089.2082,-75206170.9097,-5238.4694,-5040.3797,2923.5042,5357.2487,-659.9802,6178.8185,3274.7930,904.4984,-835.9478,4597.2175,-176452.0820,-181009.3907,-181220.0640,-176205.8116,-174537.4833,-184088.9232,-188792.0046,-178673.8381,81559015.8558,81542138.6506,81533652.6648,81544276.9266,-180335.5579,81551348.6469,
5400.000,-4313.9021,-5376.2745,6713.0485,-1890.9110,-5789.3358,1451.0515,5208.3456,-2800.4110,6801.3293,5058.3127,310526.7530,337502.8882,324489.5674,319886.2591,328572.1620,324976.1809,325279.9602,324013.7792,-220159823.6712,-220153785.2629,-220147202.7687,-220151347.6215,323795.0498,-220141029.5417,4001.6178,1728.9224,-1139.2431,-3793.2861,3641.7672,-4396.7060,-1817.3902,-5509.4727,-1168.3611,207.3044,-76673.2154,-70563.1459,-85373.2806,-81884.0125,-84427.4936,-84188.6015,-76438.5014,-79617.8681,-80028727.0364,-80038764.6489,-80024641.8333,-80028097.5129,-79321.7973,-80030218.1671,-3707.8569,-4029.0561,1244.9211,5228.4611,1148.6932,5178.6186,4198.7734,2638.8835,709.0757,4563.8906,-176420.2426,-181015.3676,-181120.9507,-176400.7338,-174422.9087,-183822.2172,-188888.7411,-178595.7785,81560742.1722,81544194.7498,81535425.5186,81546144.9471,-180329.5763,81552872.1152,
