sl_100_86400_20240811 Coordinates.csv
2024/08/11 07:47:00.0000 UTC

Generated: Tue Oct  8 16:18:52 2024,
Start: 2024/08/11 07:47:00.00, Stop: 2024/08/12 07:47:00.00,
TIME_UNITS,STARLINK-30165 - X-Coordinate,STARLINK-3574 - X-Coordinate,STARLINK-5069 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-31629 - X-Coordinate,STARLINK-5607 - X-Coordinate,STARLINK-5415 - X-Coordinate,STARLINK-30810 - X-Coordinate,STARLINK-3562 - X-Coordinate,STARLINK-3561 - X-Coordinate,STARLINK-3150 - X-Coordinate,STARLINK-30711 - X-Coordinate,STARLINK-3933 - X-Coordinate,STARLINK-6038 - X-Coordinate,STARLINK-31512 - X-Coordinate,STARLINK-11235 [DTC] - X-Coordinate,STARLINK-30844 - X-Coordinate,STARLINK-1644 - X-Coordinate,STARLINK-1137 - X-Coordinate,STARLINK-3588 - X-Coordinate,STARLINK-3938 - X-Coordinate,STARLINK-3231 - X-Coordinate,STARLINK-5455 - X-Coordinate,STARLINK-4151 - X-Coordinate,STARLINK-5749 - X-Coordinate,STARLINK-2061 - X-Coordinate,STARLINK-3883 - X-Coordinate,STARLINK-3247 - X-Coordinate,STARLINK-6093 - X-Coordinate,STARLINK-3360 - X-Coordinate,STARLINK-3267 - X-Coordinate,STARLINK-5715 - X-Coordinate,STARLINK-32137 - X-Coordinate,STARLINK-3185 - X-Coordinate,STARLINK-2224 - X-Coordinate,STARLINK-1829 - X-Coordinate,STARLINK-5434 - X-Coordinate,STARLINK-3554 - X-Coordinate,STARLINK-3781 - X-Coordinate,STARLINK-2054 - X-Coordinate,STARLINK-30917 - X-Coordinate,STARLINK-5190 - X-Coordinate,STARLINK-30932 - X-Coordinate,STARLINK-4408 - X-Coordinate,STARLINK-31457 - X-Coordinate,STARLINK-2630 - X-Coordinate,STARLINK-6372 - X-Coordinate,STARLINK-5320 - X-Coordinate,STARLINK-31316 - X-Coordinate,STARLINK-1962 - X-Coordinate,STARLINK-1850 - X-Coordinate,STARLINK-5094 - X-Coordinate,STARLINK-3940 - X-Coordinate,STARLINK-2431 - X-Coordinate,STARLINK-2249 - X-Coordinate,STARLINK-11164 [DTC] - X-Coordinate,STARLINK-31751 - X-Coordinate,STARLINK-2468 - X-Coordinate,STARLINK-2017 - X-Coordinate,STARLINK-5476 - X-Coordinate,STARLINK-5876 - X-Coordinate,STARLINK-2228 - X-Coordinate,STARLINK-3828 - X-Coordinate,STARLINK-31261 - X-Coordinate,STARLINK-4738 - X-Coordinate,STARLINK-31806 - X-Coordinate,STARLINK-3640 - X-Coordinate,STARLINK-5263 - X-Coordinate,STARLINK-4211 - X-Coordinate,STARLINK-5645 - X-Coordinate,STARLINK-30561 - X-Coordinate,STARLINK-6225 - X-Coordinate,STARLINK-5517 - X-Coordinate,STARLINK-1500 - X-Coordinate,STARLINK-31931 - X-Coordinate,STARLINK-1366 - X-Coordinate,STARLINK-4319 - X-Coordinate,STARLINK-6343 - X-Coordinate,STARLINK-31591 - X-Coordinate,STARLINK-3647 - X-Coordinate,STARLINK-31426 - X-Coordinate,STARLINK-6166 - X-Coordinate,STARLINK-4198 - X-Coordinate,STARLINK-3056 - X-Coordinate,STARLINK-5238 - X-Coordinate,STARLINK-3198 - X-Coordinate,STARLINK-1960 - X-Coordinate,STARLINK-6271 - X-Coordinate,STARLINK-5983 - X-Coordinate,STARLINK-1284 - X-Coordinate,STARLINK-1835 - X-Coordinate,STARLINK-31072 - X-Coordinate,STARLINK-30360 - X-Coordinate,STARLINK-31741 - X-Coordinate,STARLINK-4094 - X-Coordinate,STARLINK-31495 - X-Coordinate,STARLINK-3870 - X-Coordinate,STARLINK-5544 - X-Coordinate,STARLINK-6344 - X-Coordinate,STARLINK-2198 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30165 - Y-Coordinate,STARLINK-3574 - Y-Coordinate,STARLINK-5069 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-31629 - Y-Coordinate,STARLINK-5607 - Y-Coordinate,STARLINK-5415 - Y-Coordinate,STARLINK-30810 - Y-Coordinate,STARLINK-3562 - Y-Coordinate,STARLINK-3561 - Y-Coordinate,STARLINK-3150 - Y-Coordinate,STARLINK-30711 - Y-Coordinate,STARLINK-3933 - Y-Coordinate,STARLINK-6038 - Y-Coordinate,STARLINK-31512 - Y-Coordinate,STARLINK-11235 [DTC] - Y-Coordinate,STARLINK-30844 - Y-Coordinate,STARLINK-1644 - Y-Coordinate,STARLINK-1137 - Y-Coordinate,STARLINK-3588 - Y-Coordinate,STARLINK-3938 - Y-Coordinate,STARLINK-3231 - Y-Coordinate,STARLINK-5455 - Y-Coordinate,STARLINK-4151 - Y-Coordinate,STARLINK-5749 - Y-Coordinate,STARLINK-2061 - Y-Coordinate,STARLINK-3883 - Y-Coordinate,STARLINK-3247 - Y-Coordinate,STARLINK-6093 - Y-Coordinate,STARLINK-3360 - Y-Coordinate,STARLINK-3267 - Y-Coordinate,STARLINK-5715 - Y-Coordinate,STARLINK-32137 - Y-Coordinate,STARLINK-3185 - Y-Coordinate,STARLINK-2224 - Y-Coordinate,STARLINK-1829 - Y-Coordinate,STARLINK-5434 - Y-Coordinate,STARLINK-3554 - Y-Coordinate,STARLINK-3781 - Y-Coordinate,STARLINK-2054 - Y-Coordinate,STARLINK-30917 - Y-Coordinate,STARLINK-5190 - Y-Coordinate,STARLINK-30932 - Y-Coordinate,STARLINK-4408 - Y-Coordinate,STARLINK-31457 - Y-Coordinate,STARLINK-2630 - Y-Coordinate,STARLINK-6372 - Y-Coordinate,STARLINK-5320 - Y-Coordinate,STARLINK-31316 - Y-Coordinate,STARLINK-1962 - Y-Coordinate,STARLINK-1850 - Y-Coordinate,STARLINK-5094 - Y-Coordinate,STARLINK-3940 - Y-Coordinate,STARLINK-2431 - Y-Coordinate,STARLINK-2249 - Y-Coordinate,STARLINK-11164 [DTC] - Y-Coordinate,STARLINK-31751 - Y-Coordinate,STARLINK-2468 - Y-Coordinate,STARLINK-2017 - Y-Coordinate,STARLINK-5476 - Y-Coordinate,STARLINK-5876 - Y-Coordinate,STARLINK-2228 - Y-Coordinate,STARLINK-3828 - Y-Coordinate,STARLINK-31261 - Y-Coordinate,STARLINK-4738 - Y-Coordinate,STARLINK-31806 - Y-Coordinate,STARLINK-3640 - Y-Coordinate,STARLINK-5263 - Y-Coordinate,STARLINK-4211 - Y-Coordinate,STARLINK-5645 - Y-Coordinate,STARLINK-30561 - Y-Coordinate,STARLINK-6225 - Y-Coordinate,STARLINK-5517 - Y-Coordinate,STARLINK-1500 - Y-Coordinate,STARLINK-31931 - Y-Coordinate,STARLINK-1366 - Y-Coordinate,STARLINK-4319 - Y-Coordinate,STARLINK-6343 - Y-Coordinate,STARLINK-31591 - Y-Coordinate,STARLINK-3647 - Y-Coordinate,STARLINK-31426 - Y-Coordinate,STARLINK-6166 - Y-Coordinate,STARLINK-4198 - Y-Coordinate,STARLINK-3056 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,STARLINK-3198 - Y-Coordinate,STARLINK-1960 - Y-Coordinate,STARLINK-6271 - Y-Coordinate,STARLINK-5983 - Y-Coordinate,STARLINK-1284 - Y-Coordinate,STARLINK-1835 - Y-Coordinate,STARLINK-31072 - Y-Coordinate,STARLINK-30360 - Y-Coordinate,STARLINK-31741 - Y-Coordinate,STARLINK-4094 - Y-Coordinate,STARLINK-31495 - Y-Coordinate,STARLINK-3870 - Y-Coordinate,STARLINK-5544 - Y-Coordinate,STARLINK-6344 - Y-Coordinate,STARLINK-2198 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30165 - Z-Coordinate,STARLINK-3574 - Z-Coordinate,STARLINK-5069 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-31629 - Z-Coordinate,STARLINK-5607 - Z-Coordinate,STARLINK-5415 - Z-Coordinate,STARLINK-30810 - Z-Coordinate,STARLINK-3562 - Z-Coordinate,STARLINK-3561 - Z-Coordinate,STARLINK-3150 - Z-Coordinate,STARLINK-30711 - Z-Coordinate,STARLINK-3933 - Z-Coordinate,STARLINK-6038 - Z-Coordinate,STARLINK-31512 - Z-Coordinate,STARLINK-11235 [DTC] - Z-Coordinate,STARLINK-30844 - Z-Coordinate,STARLINK-1644 - Z-Coordinate,STARLINK-1137 - Z-Coordinate,STARLINK-3588 - Z-Coordinate,STARLINK-3938 - Z-Coordinate,STARLINK-3231 - Z-Coordinate,STARLINK-5455 - Z-Coordinate,STARLINK-4151 - Z-Coordinate,STARLINK-5749 - Z-Coordinate,STARLINK-2061 - Z-Coordinate,STARLINK-3883 - Z-Coordinate,STARLINK-3247 - Z-Coordinate,STARLINK-6093 - Z-Coordinate,STARLINK-3360 - Z-Coordinate,STARLINK-3267 - Z-Coordinate,STARLINK-5715 - Z-Coordinate,STARLINK-32137 - Z-Coordinate,STARLINK-3185 - Z-Coordinate,STARLINK-2224 - Z-Coordinate,STARLINK-1829 - Z-Coordinate,STARLINK-5434 - Z-Coordinate,STARLINK-3554 - Z-Coordinate,STARLINK-3781 - Z-Coordinate,STARLINK-2054 - Z-Coordinate,STARLINK-30917 - Z-Coordinate,STARLINK-5190 - Z-Coordinate,STARLINK-30932 - Z-Coordinate,STARLINK-4408 - Z-Coordinate,STARLINK-31457 - Z-Coordinate,STARLINK-2630 - Z-Coordinate,STARLINK-6372 - Z-Coordinate,STARLINK-5320 - Z-Coordinate,STARLINK-31316 - Z-Coordinate,STARLINK-1962 - Z-Coordinate,STARLINK-1850 - Z-Coordinate,STARLINK-5094 - Z-Coordinate,STARLINK-3940 - Z-Coordinate,STARLINK-2431 - Z-Coordinate,STARLINK-2249 - Z-Coordinate,STARLINK-11164 [DTC] - Z-Coordinate,STARLINK-31751 - Z-Coordinate,STARLINK-2468 - Z-Coordinate,STARLINK-2017 - Z-Coordinate,STARLINK-5476 - Z-Coordinate,STARLINK-5876 - Z-Coordinate,STARLINK-2228 - Z-Coordinate,STARLINK-3828 - Z-Coordinate,STARLINK-31261 - Z-Coordinate,STARLINK-4738 - Z-Coordinate,STARLINK-31806 - Z-Coordinate,STARLINK-3640 - Z-Coordinate,STARLINK-5263 - Z-Coordinate,STARLINK-4211 - Z-Coordinate,STARLINK-5645 - Z-Coordinate,STARLINK-30561 - Z-Coordinate,STARLINK-6225 - Z-Coordinate,STARLINK-5517 - Z-Coordinate,STARLINK-1500 - Z-Coordinate,STARLINK-31931 - Z-Coordinate,STARLINK-1366 - Z-Coordinate,STARLINK-4319 - Z-Coordinate,STARLINK-6343 - Z-Coordinate,STARLINK-31591 - Z-Coordinate,STARLINK-3647 - Z-Coordinate,STARLINK-31426 - Z-Coordinate,STARLINK-6166 - Z-Coordinate,STARLINK-4198 - Z-Coordinate,STARLINK-3056 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,STARLINK-3198 - Z-Coordinate,STARLINK-1960 - Z-Coordinate,STARLINK-6271 - Z-Coordinate,STARLINK-5983 - Z-Coordinate,STARLINK-1284 - Z-Coordinate,STARLINK-1835 - Z-Coordinate,STARLINK-31072 - Z-Coordinate,STARLINK-30360 - Z-Coordinate,STARLINK-31741 - Z-Coordinate,STARLINK-4094 - Z-Coordinate,STARLINK-31495 - Z-Coordinate,STARLINK-3870 - Z-Coordinate,STARLINK-5544 - Z-Coordinate,STARLINK-6344 - Z-Coordinate,STARLINK-2198 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4252.8341,-3148.4492,-2725.1897,757.8350,-4249.8859,6948.2780,-6318.7787,5896.0528,5820.0412,-3309.4421,-2163.5423,1284.0717,1212.0848,3987.1961,4301.2357,3733.6582,3725.0063,6416.2630,-4680.2147,-6413.2167,3496.1628,1345.9759,-1433.2296,-4267.6135,3529.4064,618.7548,-4800.4147,-4312.1080,2655.0894,2423.8530,5696.8220,-6300.3817,-5235.9124,4374.1352,-7.8343,-5555.3052,1401.8738,-6887.3333,4139.9066,855.4226,-3820.8895,-2408.8026,4714.3999,4150.6786,-6475.5401,6232.1393,-5663.8495,-4094.9695,-6102.3012,-4156.3930,4103.8376,-1675.1243,3922.4697,-4433.9675,-2037.3684,3158.9256,-4185.6394,2288.4648,3801.6245,768.9171,2882.7251,-4115.3408,5642.1381,-374.4024,287.6569,574.6859,-5733.2555,2061.8151,-6856.9455,-1300.1123,-2474.0918,5047.9262,-2986.4952,1041.4519,3603.4730,-1382.9665,183.1486,2282.5113,-736.1461,4346.9794,-4975.6055,-393.7752,-6325.3835,-3249.5672,-4901.5216,-1396.4724,6529.3992,6540.7872,-6443.4391,4416.2902,4189.1602,-246.0550,6579.9908,-2168.6468,2795.3755,-2239.3040,27.5592,-5595.0320,-974.5632,6437.6039,258480.1559,284724.6954,276375.0594,269887.2036,277776.8277,273847.3616,272727.5456,272952.8439,-213757423.9752,-213761616.9246,-213763688.6857,-213776185.9270,271964.4387,-213773290.3630,3097.1120,3518.4159,-6232.0846,-6580.1583,2557.1832,265.6438,-483.4665,263.3547,-1915.6871,-3688.8727,-3549.3380,-5986.9605,6455.7883,1691.2743,5287.3067,3545.8641,3452.7419,-30.9974,5033.5375,1175.6122,-2221.8978,5525.8151,-6682.0695,-690.5718,-4211.1309,6372.1185,-1081.8718,1262.9018,-4329.3345,6445.4110,-2473.0762,-2839.4425,543.3351,1184.2078,5929.6104,2076.9436,-5582.2926,-653.1499,1446.9094,-5069.5829,-3339.4317,-6208.1979,-2246.8876,-2872.1157,-1131.9107,121.2219,1826.1981,-4957.6565,1443.4901,-2991.9149,-753.4129,4729.2151,5448.3530,-1900.5295,-6020.9505,-3295.4959,2992.0121,-3528.4458,-3813.0886,5020.2995,850.7108,-1470.5632,-3374.2376,6282.5574,-6148.7395,6796.8672,-497.1269,4550.1686,552.1472,2809.5986,-4501.8023,549.3091,-4361.5960,-5333.6943,-5788.8089,6721.9888,-978.7391,4679.1126,-4990.9766,2978.4960,459.0961,5100.2131,-896.5727,5310.5034,1829.7242,4552.4183,784.4885,-1372.6260,-524.4622,5316.1664,5234.0403,5932.4187,-1944.6739,4996.4708,4533.3795,-4536.0176,-5510.6431,-1580.9459,5307.4825,-1874.6521,268931.0965,292547.5351,273328.8493,272268.5084,273754.5615,273229.4546,281648.7529,278122.4836,-14081209.0895,-14083222.9469,-14099104.2904,-14098713.2066,277078.6002,-14093837.2772,-4527.8647,5048.8564,1442.0097,1632.9191,4722.4639,127.6515,-2781.6002,-3652.6935,-3221.0898,-4833.5678,5522.4083,3074.0204,-2180.2790,-5433.2687,-333.8254,4337.8713,-4731.9997,2601.2668,864.1436,2307.0648,5532.9044,-3944.0732,-1295.9498,-5405.9892,4226.3901,2636.7115,-4868.4148,-5264.7742,-4732.2832,679.4608,-3053.8441,611.4784,-4350.4611,-5233.2049,-3600.3345,3573.7841,-3877.3309,-75.2322,5345.0643,-4646.7085,4720.4288,-1734.4854,-4571.1273,-4774.5904,-1828.0163,-3035.1825,-3570.0532,-2645.3768,2679.5395,-4667.3535,-5538.8167,-4769.9631,1667.6700,4962.3678,2750.0817,4948.3789,4470.2769,5495.5957,-4363.9461,-4730.5963,-6260.7935,-5382.4567,2151.9392,-2753.4224,-3162.9683,70.1989,-3845.9500,4779.2948,735.1039,6216.0070,4509.9865,-4731.8371,4433.4702,4285.7489,-174.3775,943.1248,6863.1010,4574.7308,4589.7255,4476.3514,-4649.6985,4676.1416,-2660.5531,-3102.7081,4518.0569,-5023.6475,2170.8396,-1869.0855,2509.6376,-452.5792,-1780.1955,3450.3864,-1033.9605,4100.8941,-4420.8005,4568.4606,-4190.0609,3807.3277,4349.8347,-1743.4288,-103083.4267,-105376.7347,-107855.1377,-99294.6531,-102321.4681,-112974.1325,-111758.5834,-106932.2259,87003295.6199,87025715.2792,87016823.3026,87006043.9362,-105802.1225,87000812.2382,
3600.000,942.9092,-1129.2680,2538.5871,1859.4339,3864.0505,-5303.5017,6646.2181,-3964.9544,-2328.2100,4416.1099,5686.9778,482.6440,-2702.0403,-4720.2032,-5212.7792,-6387.6109,-6113.6210,-3757.6278,2891.0615,3456.3001,-1384.3175,-3506.4547,1482.0129,5705.9447,406.4904,-2696.4544,6651.3252,1527.0678,813.8677,-3477.1188,-5376.6469,6273.5354,6023.7236,-3691.1343,-1799.7291,5614.1555,1213.0440,5556.1010,-4129.7166,2992.6884,6169.4511,3732.9804,-3480.5665,-6786.7890,6271.1599,-3544.8901,5285.5928,4255.2631,5332.2802,6624.2555,-3183.7094,-2541.4128,-4190.4820,6713.6030,3606.1085,-1326.6586,425.5045,1530.2696,400.5340,-4516.5758,-4620.2609,4253.4473,-4686.5507,-3001.5631,1400.7134,-3078.3916,6779.1219,-4950.1110,4794.6701,-3251.8841,5336.1640,-5112.8048,6060.7156,2635.9084,-523.1840,-795.5122,-3637.4282,-5284.6859,4147.0719,-6651.0789,3854.0905,-3565.7880,6673.6202,473.2880,1237.0568,-994.7526,-6541.8092,-4025.4563,6626.3402,-4835.0812,-4293.0767,-2568.7911,-4229.2775,-856.2895,-5358.2223,5869.3820,3147.4451,6670.7371,-3022.3636,-5572.4782,183770.1643,202232.2946,196669.3869,190833.0738,199539.4749,195944.1190,193583.2994,192806.7034,-202778021.1461,-202781569.2050,-202777932.1715,-202787084.9610,193268.6506,-202793234.6452,-5476.1882,-4506.6507,5478.3848,6118.0216,-5580.7228,91.0980,-1125.3680,3199.7565,3511.9017,-544.4512,1710.4544,6678.6591,-5981.5930,-5022.0174,-2160.5891,-2136.1913,-435.7885,2351.4434,-5342.5723,-2910.3701,5666.8660,-5964.5036,4095.0877,-2699.7764,5290.6853,-3503.2549,-1266.2206,-4658.5430,6042.3499,-4845.1112,4170.9960,470.1882,-3208.8316,3153.3122,-6678.9960,-4021.4252,6787.6919,-1125.3060,2895.0033,3151.2894,347.1456,5100.8367,5534.3973,1465.8952,-1533.8655,2421.8179,-4486.2391,4980.4557,-4050.2776,1711.0407,4720.7339,-3599.8948,-2353.7743,-152.6775,5712.5151,6522.8309,-5659.7868,5242.6552,4212.9850,-4167.4903,-4607.3154,-2822.4306,4584.8057,-4042.1538,6681.8034,-4851.5389,-1367.1183,-4660.7095,-2180.5181,-1954.0752,4252.1746,3322.4221,2734.7634,3295.4757,5816.0456,-5137.7761,-2966.7192,-1954.2884,1591.3255,-1757.9340,-4728.9928,-4612.9881,-679.9902,-3013.3049,-4101.0087,-6618.7829,743.7693,3524.1741,-1725.7723,-3340.7396,-2169.0919,-6362.4727,3747.8090,-6713.1227,-4335.2114,2699.4268,2741.8547,1674.1498,-4466.1270,3206.6332,324901.9804,353969.8597,331208.3590,331922.6827,333056.0560,331991.1183,339899.9596,335105.4463,-68958762.3383,-68956083.7437,-68973350.5734,-68972501.5916,336163.3410,-68972382.9963,4144.6237,-5132.0424,3435.9291,2368.5687,-954.5822,4484.8055,-1570.9613,4698.1507,5478.7583,5289.8324,-3554.1025,1454.0458,-2200.5944,826.8154,3824.0651,173.5595,3245.7066,-5327.6810,3320.5707,-5245.2701,-3725.2258,-120.0152,5409.3873,2825.9178,-4473.6065,-5338.3704,1421.9127,4872.1267,3303.5391,3500.1587,-1262.3750,2913.6216,147.6696,4921.4356,-512.6807,539.5212,760.4928,-3973.2766,-4744.1044,5384.3847,-3157.3158,-2744.6607,2312.7109,-162.9224,-2213.5813,5430.5741,264.2500,-2340.9885,1287.2134,1078.6319,3943.7803,5325.3553,-4983.3968,-1702.5561,1527.1654,-1054.4866,-3790.0165,-4265.7199,5475.4903,3210.3408,2361.8175,4678.0818,2200.6358,4659.4658,-1133.4347,-3684.4540,-255.5550,-1285.8713,-4493.4968,-5829.9226,-517.2495,3300.3987,-1870.0303,-5497.1972,-3531.9862,-4585.9286,-5123.3650,-4051.9742,-5188.4437,-741.0120,3046.7235,-3763.8221,-1704.3408,6237.5079,-5437.7584,1749.6645,2142.9831,4405.6712,1097.8935,-3672.1369,4985.7609,117.6249,4013.7829,-865.2671,609.3374,-2196.4047,5509.0811,1000.8787,-4368.9085,-2586.4064,-104853.1326,-106899.0488,-108435.2614,-102205.7821,-101920.5356,-112059.2705,-115066.6083,-105832.4900,87001993.5925,87027137.9049,87016794.5678,87007143.9631,-107165.5276,87002632.1003,
7200.000,1928.1714,4383.3798,-2249.4271,-4240.0923,-1755.1515,1459.8453,-4038.4923,1602.2575,-1607.0051,-5097.8324,-6888.3030,-2488.1749,3638.2989,2004.4018,4569.8823,4915.0498,6638.9895,334.1057,768.0813,479.8290,-264.6251,4124.9338,-2651.0760,-5237.1003,-3791.1793,5023.6718,-5711.0467,627.1202,-3338.0400,4064.9689,2496.9890,-4323.9850,-3576.3215,2893.6517,2969.6610,-3148.4289,-3159.2780,-2183.7467,3708.4904,-6162.4587,-6605.2055,-4080.5703,1546.2062,4766.7812,-3046.4718,350.0516,-2982.6957,-2941.5347,-1760.7766,-6164.9987,2101.9666,5911.6588,4091.5079,-6194.2075,-4063.4830,-1023.8266,2770.4469,-3918.2477,-4199.9191,6432.2534,2539.0849,-3951.2370,1314.8966,5916.6021,-2791.4007,5057.6959,-4816.3663,5443.4522,-973.5338,6297.7138,-5317.5119,4063.1707,-6621.2302,-5933.1753,-3495.5894,3778.9285,3227.5280,6823.8807,-6401.9491,5984.1290,-1695.2666,6058.8240,-4114.2827,3710.1810,2037.9762,2419.6930,3809.3993,411.0346,-4296.7791,4125.6886,4052.8994,4294.7166,439.3806,3248.4563,5427.1933,-6569.4812,-6013.4744,-4512.1487,5980.8082,2132.8467,97562.8621,107111.0335,104579.5859,99540.6803,108724.8157,105403.9674,102729.0082,102431.3093,-177963336.6431,-177968360.8546,-177959330.0392,-177971753.3670,102360.2321,-177977529.6527,6539.1691,4961.0856,-1713.2302,-2716.6470,5623.0873,-1893.0339,2692.3420,-6080.5398,-5136.8281,3969.7205,-161.0388,-4006.5100,2757.4730,5123.9227,-2416.0891,-738.8848,-2004.0025,-4996.9141,4152.2431,4846.3913,-6902.5540,3754.0745,308.1105,4264.8670,-5445.5789,-138.5135,2623.5609,6732.4029,-6080.2299,924.0914,-4336.9209,2711.6496,4071.2474,-6086.0540,4557.2288,4385.5719,-5502.3832,3524.4278,-5722.0108,-1389.0154,2099.7145,-1288.0202,-6630.3435,887.3388,4032.6880,-5224.7060,5389.5913,-2068.8729,4998.0666,-32.2760,-6604.5694,2495.7685,-2034.4032,1661.9510,-2751.4892,-5489.0332,6230.6012,-5698.8871,-4443.6962,2584.8693,5770.4401,5576.2561,-4368.0452,936.0953,-4230.3469,704.9367,2680.2769,3015.3642,4150.3595,2115.6896,-1888.4861,-5620.4988,-461.8401,-1290.4689,-3659.9372,2080.1809,6136.8314,-627.1921,1389.5615,-39.8087,6554.7145,3330.6856,2450.6894,1025.3594,5910.0314,5938.0193,-2611.5809,-5425.2581,3633.0152,-582.3910,-2135.2794,3961.7918,-5182.4072,5178.5803,2387.6297,-121.8048,-66.9298,-582.2427,3048.3221,-3891.9253,360880.7181,392602.6491,367769.8615,370169.9976,370836.6354,369899.2590,376177.4177,374506.9210,-119111421.8961,-119103465.4334,-119119999.8561,-119118038.8095,373495.4341,-119125638.3564,-1286.7773,2008.0313,-6355.9549,-4609.3578,-3511.0404,-6532.5705,4921.8183,-2935.2557,-4352.0042,-2479.0964,-646.7789,-4979.0048,5191.0442,4230.9802,-4456.6352,-4554.3701,170.7416,4777.6552,-5496.0136,4906.8959,-421.5383,4084.6925,-6423.3790,1489.7125,2017.4900,4760.0373,2884.6288,-1464.4899,91.0492,-5527.3782,4768.4201,-4704.2365,4142.4235,-1570.7101,4292.9966,-4347.4968,2794.1285,5530.2760,1185.8047,-2844.6754,-324.2357,5386.1456,1318.8364,4961.4033,4571.9992,-4542.8740,3180.5030,5940.3412,-4301.0406,3147.5263,23.5455,-2591.6958,5188.3959,-2625.2625,-4895.8836,-3778.5964,245.9825,406.1523,-3260.2137,223.5762,2894.4469,-1147.5957,-5207.1452,-3361.5451,4700.7192,4515.1119,4173.4173,-3032.5118,5441.7215,2050.3502,-3874.9401,98.9593,-1911.8199,3326.8030,4564.4982,5413.6065,344.4348,1074.4567,1915.0226,-3479.9806,830.1374,570.1408,4984.5537,-5792.6310,2958.3799,2588.4803,-5167.2207,-4308.7706,-4063.7372,5523.5724,-5211.7647,-3618.5404,-4595.8039,-3037.5641,3556.8487,-1843.6380,-3426.0442,-5263.4897,1745.3159,5309.3384,-106658.4820,-108414.8017,-108666.4017,-106052.3091,-102009.6478,-110223.8364,-117610.6609,-110035.8736,87000705.3839,87028102.2029,87015868.3250,87003035.0190,-108520.2348,87004424.4300,
