sl_100_5400_20240725 Coordinates.csv
2024/07/25 07:47:00.0000 UTC

Generated: Tue Oct  8 15:33:57 2024,
Start: 2024/07/25 07:47:00.00, Stop: 2024/07/25 09:17:00.00,
TIME_UNITS,STARLINK-11097 [DTC] - X-Coordinate,STARLINK-6289 - X-Coordinate,STARLINK-31775 - X-Coordinate,STARLINK-1973 - X-Coordinate,STARLINK-4272 - X-Coordinate,STARLINK-1279 - X-Coordinate,STARLINK-5938 - X-Coordinate,STARLINK-1365 - X-Coordinate,STARLINK-31431 - X-Coordinate,STARLINK-30109 - X-Coordinate,STARLINK-4218 - X-Coordinate,STARLINK-2493 - X-Coordinate,STARLINK-31185 - X-Coordinate,STARLINK-2266 - X-Coordinate,STARLINK-31708 - X-Coordinate,STARLINK-2099 - X-Coordinate,STARLINK-4252 - X-Coordinate,STARLINK-30353 - X-Coordinate,STARLINK-5877 - X-Coordinate,STARLINK-30789 - X-Coordinate,STARLINK-6076 - X-Coordinate,STARLINK-3726 - X-Coordinate,STARLINK-31613 - X-Coordinate,STARLINK-30562 - X-Coordinate,STARLINK-3623 - X-Coordinate,STARLINK-6302 - X-Coordinate,STARLINK-6362 - X-Coordinate,STARLINK-4521 - X-Coordinate,STARLINK-1341 - X-Coordinate,STARLINK-4503 - X-Coordinate,STARLINK-31183 - X-Coordinate,STARLINK-4623 - X-Coordinate,STARLINK-30957 - X-Coordinate,STARLINK-2015 - X-Coordinate,STARLINK-32256 - X-Coordinate,STARLINK-2334 - X-Coordinate,STARLINK-1089 - X-Coordinate,STARLINK-30931 - X-Coordinate,STARLINK-30760 - X-Coordinate,STARLINK-2040 - X-Coordinate,STARLINK-5258 - X-Coordinate,STARLINK-6100 - X-Coordinate,STARLINK-5957 - X-Coordinate,STARLINK-4694 - X-Coordinate,STARLINK-5313 - X-Coordinate,STARLINK-1152 - X-Coordinate,STARLINK-5688 - X-Coordinate,STARLINK-31723 - X-Coordinate,STARLINK-31216 - X-Coordinate,STARLINK-5368 - X-Coordinate,STARLINK-31282 - X-Coordinate,STARLINK-31848 - X-Coordinate,STARLINK-31968 - X-Coordinate,STARLINK-4686 - X-Coordinate,STARLINK-32151 - X-Coordinate,STARLINK-1660 - X-Coordinate,STARLINK-3577 - X-Coordinate,STARLINK-2463 - X-Coordinate,STARLINK-4753 - X-Coordinate,STARLINK-32097 - X-Coordinate,STARLINK-5549 - X-Coordinate,STARLINK-2089 - X-Coordinate,STARLINK-2391 - X-Coordinate,STARLINK-30938 - X-Coordinate,STARLINK-6334 - X-Coordinate,STARLINK-32078 - X-Coordinate,STARLINK-4500 - X-Coordinate,STARLINK-5915 - X-Coordinate,STARLINK-32127 - X-Coordinate,STARLINK-11103 [DTC] - X-Coordinate,STARLINK-3751 - X-Coordinate,STARLINK-2465 - X-Coordinate,STARLINK-5435 - X-Coordinate,STARLINK-31062 - X-Coordinate,STARLINK-4524 - X-Coordinate,STARLINK-5042 - X-Coordinate,STARLINK-6102 - X-Coordinate,STARLINK-30812 - X-Coordinate,STARLINK-30871 - X-Coordinate,STARLINK-1402 - X-Coordinate,STARLINK-5798 - X-Coordinate,STARLINK-3084 - X-Coordinate,STARLINK-3272 - X-Coordinate,STARLINK-30145 - X-Coordinate,STARLINK-6110 - X-Coordinate,STARLINK-4761 - X-Coordinate,STARLINK-3326 - X-Coordinate,STARLINK-2234 - X-Coordinate,STARLINK-30870 - X-Coordinate,STARLINK-1669 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-31365 - X-Coordinate,STARLINK-3131 - X-Coordinate,STARLINK-5825 - X-Coordinate,STARLINK-4359 - X-Coordinate,STARLINK-5384 - X-Coordinate,STARLINK-3833 - X-Coordinate,STARLINK-30301 - X-Coordinate,STARLINK-4562 - X-Coordinate,STARLINK-5712 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11097 [DTC] - Y-Coordinate,STARLINK-6289 - Y-Coordinate,STARLINK-31775 - Y-Coordinate,STARLINK-1973 - Y-Coordinate,STARLINK-4272 - Y-Coordinate,STARLINK-1279 - Y-Coordinate,STARLINK-5938 - Y-Coordinate,STARLINK-1365 - Y-Coordinate,STARLINK-31431 - Y-Coordinate,STARLINK-30109 - Y-Coordinate,STARLINK-4218 - Y-Coordinate,STARLINK-2493 - Y-Coordinate,STARLINK-31185 - Y-Coordinate,STARLINK-2266 - Y-Coordinate,STARLINK-31708 - Y-Coordinate,STARLINK-2099 - Y-Coordinate,STARLINK-4252 - Y-Coordinate,STARLINK-30353 - Y-Coordinate,STARLINK-5877 - Y-Coordinate,STARLINK-30789 - Y-Coordinate,STARLINK-6076 - Y-Coordinate,STARLINK-3726 - Y-Coordinate,STARLINK-31613 - Y-Coordinate,STARLINK-30562 - Y-Coordinate,STARLINK-3623 - Y-Coordinate,STARLINK-6302 - Y-Coordinate,STARLINK-6362 - Y-Coordinate,STARLINK-4521 - Y-Coordinate,STARLINK-1341 - Y-Coordinate,STARLINK-4503 - Y-Coordinate,STARLINK-31183 - Y-Coordinate,STARLINK-4623 - Y-Coordinate,STARLINK-30957 - Y-Coordinate,STARLINK-2015 - Y-Coordinate,STARLINK-32256 - Y-Coordinate,STARLINK-2334 - Y-Coordinate,STARLINK-1089 - Y-Coordinate,STARLINK-30931 - Y-Coordinate,STARLINK-30760 - Y-Coordinate,STARLINK-2040 - Y-Coordinate,STARLINK-5258 - Y-Coordinate,STARLINK-6100 - Y-Coordinate,STARLINK-5957 - Y-Coordinate,STARLINK-4694 - Y-Coordinate,STARLINK-5313 - Y-Coordinate,STARLINK-1152 - Y-Coordinate,STARLINK-5688 - Y-Coordinate,STARLINK-31723 - Y-Coordinate,STARLINK-31216 - Y-Coordinate,STARLINK-5368 - Y-Coordinate,STARLINK-31282 - Y-Coordinate,STARLINK-31848 - Y-Coordinate,STARLINK-31968 - Y-Coordinate,STARLINK-4686 - Y-Coordinate,STARLINK-32151 - Y-Coordinate,STARLINK-1660 - Y-Coordinate,STARLINK-3577 - Y-Coordinate,STARLINK-2463 - Y-Coordinate,STARLINK-4753 - Y-Coordinate,STARLINK-32097 - Y-Coordinate,STARLINK-5549 - Y-Coordinate,STARLINK-2089 - Y-Coordinate,STARLINK-2391 - Y-Coordinate,STARLINK-30938 - Y-Coordinate,STARLINK-6334 - Y-Coordinate,STARLINK-32078 - Y-Coordinate,STARLINK-4500 - Y-Coordinate,STARLINK-5915 - Y-Coordinate,STARLINK-32127 - Y-Coordinate,STARLINK-11103 [DTC] - Y-Coordinate,STARLINK-3751 - Y-Coordinate,STARLINK-2465 - Y-Coordinate,STARLINK-5435 - Y-Coordinate,STARLINK-31062 - Y-Coordinate,STARLINK-4524 - Y-Coordinate,STARLINK-5042 - Y-Coordinate,STARLINK-6102 - Y-Coordinate,STARLINK-30812 - Y-Coordinate,STARLINK-30871 - Y-Coordinate,STARLINK-1402 - Y-Coordinate,STARLINK-5798 - Y-Coordinate,STARLINK-3084 - Y-Coordinate,STARLINK-3272 - Y-Coordinate,STARLINK-30145 - Y-Coordinate,STARLINK-6110 - Y-Coordinate,STARLINK-4761 - Y-Coordinate,STARLINK-3326 - Y-Coordinate,STARLINK-2234 - Y-Coordinate,STARLINK-30870 - Y-Coordinate,STARLINK-1669 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-31365 - Y-Coordinate,STARLINK-3131 - Y-Coordinate,STARLINK-5825 - Y-Coordinate,STARLINK-4359 - Y-Coordinate,STARLINK-5384 - Y-Coordinate,STARLINK-3833 - Y-Coordinate,STARLINK-30301 - Y-Coordinate,STARLINK-4562 - Y-Coordinate,STARLINK-5712 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11097 [DTC] - Z-Coordinate,STARLINK-6289 - Z-Coordinate,STARLINK-31775 - Z-Coordinate,STARLINK-1973 - Z-Coordinate,STARLINK-4272 - Z-Coordinate,STARLINK-1279 - Z-Coordinate,STARLINK-5938 - Z-Coordinate,STARLINK-1365 - Z-Coordinate,STARLINK-31431 - Z-Coordinate,STARLINK-30109 - Z-Coordinate,STARLINK-4218 - Z-Coordinate,STARLINK-2493 - Z-Coordinate,STARLINK-31185 - Z-Coordinate,STARLINK-2266 - Z-Coordinate,STARLINK-31708 - Z-Coordinate,STARLINK-2099 - Z-Coordinate,STARLINK-4252 - Z-Coordinate,STARLINK-30353 - Z-Coordinate,STARLINK-5877 - Z-Coordinate,STARLINK-30789 - Z-Coordinate,STARLINK-6076 - Z-Coordinate,STARLINK-3726 - Z-Coordinate,STARLINK-31613 - Z-Coordinate,STARLINK-30562 - Z-Coordinate,STARLINK-3623 - Z-Coordinate,STARLINK-6302 - Z-Coordinate,STARLINK-6362 - Z-Coordinate,STARLINK-4521 - Z-Coordinate,STARLINK-1341 - Z-Coordinate,STARLINK-4503 - Z-Coordinate,STARLINK-31183 - Z-Coordinate,STARLINK-4623 - Z-Coordinate,STARLINK-30957 - Z-Coordinate,STARLINK-2015 - Z-Coordinate,STARLINK-32256 - Z-Coordinate,STARLINK-2334 - Z-Coordinate,STARLINK-1089 - Z-Coordinate,STARLINK-30931 - Z-Coordinate,STARLINK-30760 - Z-Coordinate,STARLINK-2040 - Z-Coordinate,STARLINK-5258 - Z-Coordinate,STARLINK-6100 - Z-Coordinate,STARLINK-5957 - Z-Coordinate,STARLINK-4694 - Z-Coordinate,STARLINK-5313 - Z-Coordinate,STARLINK-1152 - Z-Coordinate,STARLINK-5688 - Z-Coordinate,STARLINK-31723 - Z-Coordinate,STARLINK-31216 - Z-Coordinate,STARLINK-5368 - Z-Coordinate,STARLINK-31282 - Z-Coordinate,STARLINK-31848 - Z-Coordinate,STARLINK-31968 - Z-Coordinate,STARLINK-4686 - Z-Coordinate,STARLINK-32151 - Z-Coordinate,STARLINK-1660 - Z-Coordinate,STARLINK-3577 - Z-Coordinate,STARLINK-2463 - Z-Coordinate,STARLINK-4753 - Z-Coordinate,STARLINK-32097 - Z-Coordinate,STARLINK-5549 - Z-Coordinate,STARLINK-2089 - Z-Coordinate,STARLINK-2391 - Z-Coordinate,STARLINK-30938 - Z-Coordinate,STARLINK-6334 - Z-Coordinate,STARLINK-32078 - Z-Coordinate,STARLINK-4500 - Z-Coordinate,STARLINK-5915 - Z-Coordinate,STARLINK-32127 - Z-Coordinate,STARLINK-11103 [DTC] - Z-Coordinate,STARLINK-3751 - Z-Coordinate,STARLINK-2465 - Z-Coordinate,STARLINK-5435 - Z-Coordinate,STARLINK-31062 - Z-Coordinate,STARLINK-4524 - Z-Coordinate,STARLINK-5042 - Z-Coordinate,STARLINK-6102 - Z-Coordinate,STARLINK-30812 - Z-Coordinate,STARLINK-30871 - Z-Coordinate,STARLINK-1402 - Z-Coordinate,STARLINK-5798 - Z-Coordinate,STARLINK-3084 - Z-Coordinate,STARLINK-3272 - Z-Coordinate,STARLINK-30145 - Z-Coordinate,STARLINK-6110 - Z-Coordinate,STARLINK-4761 - Z-Coordinate,STARLINK-3326 - Z-Coordinate,STARLINK-2234 - Z-Coordinate,STARLINK-30870 - Z-Coordinate,STARLINK-1669 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-31365 - Z-Coordinate,STARLINK-3131 - Z-Coordinate,STARLINK-5825 - Z-Coordinate,STARLINK-4359 - Z-Coordinate,STARLINK-5384 - Z-Coordinate,STARLINK-3833 - Z-Coordinate,STARLINK-30301 - Z-Coordinate,STARLINK-4562 - Z-Coordinate,STARLINK-5712 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,898.9866,-2850.9206,-3447.1322,6273.6968,-3876.6100,5579.8151,55.3386,-6109.1737,-4501.8502,5580.9465,2229.6410,-287.9543,5852.1039,-5321.2442,-3338.1779,-1787.9884,160.3825,-4939.3239,-819.6219,1012.0538,307.5773,6110.2968,4047.9216,4215.7243,-1487.2041,3067.0417,6438.7131,6337.1540,-6818.3141,6413.9896,-391.1119,6589.2191,-5961.5922,-1814.4992,5449.1892,5424.2573,-5000.2068,-4586.1545,-5465.2199,-3472.7454,-2087.9893,6356.4773,1171.5447,5154.4000,-639.9777,-4332.3319,956.7955,5337.4184,-2582.1485,-5753.7129,2584.8590,3808.1648,3946.1931,4758.7632,-690.8289,-1302.4280,-582.7825,-1425.0077,-5183.7317,-4402.2805,-409.8317,-2813.4702,6301.7696,-140.2979,1780.0693,-2549.0941,147.0099,-2086.8662,-5684.9631,2154.1504,6703.4611,-41.2382,5120.8979,-1874.2551,-5636.2031,-2128.4512,-5069.2114,5408.7693,615.2879,5004.8956,-5505.0916,-252.1152,-3819.7643,-1241.7030,6764.5966,5585.0127,3410.8294,-4846.8687,-970.1279,435.2674,-4427.2946,4486.2973,5373.1284,107.9313,2626.3819,-3683.2414,371.4503,1034.1015,5380.3376,1732.1840,-180002.3667,-144451.0240,-158398.1926,-164985.3696,-157026.3708,-160966.3681,-159581.2016,-160100.3104,-229005474.2654,-228986223.1825,-228973951.5097,-228995438.8372,-161637.6511,-228991601.3997,-4079.4187,-6190.9560,-2457.8476,2812.3624,1558.1638,-4102.5356,5949.6845,2330.9029,1453.4503,3654.4325,4442.4720,5435.8391,1244.8179,-715.4083,-5370.0946,-6655.2505,1196.0296,1554.3848,-1600.9776,4102.2297,6735.6516,-142.4271,3788.5583,907.2957,-4611.6006,6043.1993,2554.4033,-2775.8845,1091.1554,2369.4376,-5741.9317,-2209.6108,-3436.4028,6137.7933,2361.2561,3622.9997,4440.1123,-5084.4008,2053.9132,2335.7958,-4802.3079,-2054.1038,-4992.5331,1165.5007,-2395.4731,1705.3229,5640.3833,-3697.6557,-6351.7356,2996.0731,-4492.6049,-3924.9767,3079.5772,-1576.1318,-4738.6715,-4901.9433,6803.5363,6076.3093,3488.5515,3133.1585,-1347.1628,3075.3929,-54.6094,4105.0442,6589.2776,6179.6923,-4231.3465,-5444.5665,-1057.5344,5940.6197,1163.4168,5818.0665,2851.4570,-6460.2742,3689.3647,-3633.2744,-489.6800,-4088.4825,-6235.6862,390.7140,-3817.6032,-6790.9004,-5418.9182,-6622.4928,-208.9949,870.4749,2925.8092,-2691.7573,6804.6886,-5001.6878,-4899.9290,1234.0957,2569.9508,2456.4610,-390.3783,-3508.6882,4468.1113,-4491.9976,-3235.7018,-6518.1891,-326805.7882,-318508.1832,-332244.1210,-331467.0003,-332306.9347,-331666.1988,-323291.5724,-327155.6661,3645429.9282,3655581.3775,3658157.3101,3666187.6747,-327456.2976,3658490.8744,5278.7681,-1297.1716,5366.6625,842.2855,-5519.3041,114.4714,-3605.5538,-2292.7107,4952.3079,1895.8586,-4817.3335,-4287.4619,-3373.8730,-4387.5283,-2578.6061,-708.9669,-6843.0651,4482.8368,-6690.5099,5388.8851,1625.9006,3241.1751,3974.7253,-5430.2580,-4943.4812,1478.4482,373.4045,88.2145,-568.5997,1055.1253,3865.7948,-281.4903,874.3832,2650.1978,3358.8810,-2336.1015,516.3497,-1121.9892,-3752.8445,-5523.9047,-4526.8330,1871.9786,-4676.0610,-4471.4166,-6500.3433,5121.1793,-3928.9891,2086.5144,626.6963,-2463.4971,-4441.0313,-4084.8753,4627.2937,-4772.3464,4817.7973,4710.2744,1110.6342,-3012.4719,2963.3391,4162.6108,-6801.3484,-5536.5007,-2890.8756,-5476.5946,1235.1269,1010.9263,5465.6379,-3763.7368,-3634.0184,2335.1921,-1262.8601,-3767.6985,3669.7095,-1702.7272,-1594.0620,-5493.4082,-4715.0506,-1011.8545,2969.1498,4767.1987,1795.4591,1455.1313,-1984.3822,-1662.0309,-1529.6911,3982.6815,-5265.1169,4152.9008,928.4097,4764.2487,-1713.7239,4991.7872,-3526.4347,-6508.0759,6408.1712,-4721.1385,-5274.5688,-5179.4497,2962.5343,-1633.3169,-13274.6887,-17601.8543,-19644.8438,-11025.0483,-14133.7111,-24774.9085,-23485.7678,-16664.6666,83835656.5999,83814342.0645,83824892.3910,83832591.0136,-17568.3726,83843027.8855,
300.000,-1303.2013,-3984.6639,-4154.7180,6261.4112,-3122.7239,4567.0729,833.9318,-4815.1830,-4496.6968,5839.0964,4069.4420,1385.9654,6518.3393,-6170.1004,-3964.2011,-2822.3094,-1729.6368,-3338.7492,1095.8786,2912.1894,1823.6355,5009.3466,4269.3441,4022.5343,-2907.8357,4147.5626,6600.4985,5519.6303,-6147.2346,6261.7133,-2245.4655,5979.3400,-6260.4518,-260.6133,5010.1686,5401.7991,-3803.4342,-5646.2217,-5135.4557,-1996.5552,-3175.8601,5195.1724,-874.7816,4409.1466,-2772.8858,-2747.1552,2664.1135,4529.0866,-3797.6782,-5177.7511,882.4749,2624.4106,5181.1513,3165.1963,-2354.4916,-2708.7984,687.4241,149.8436,-3569.6539,-4006.2184,1496.0395,-1140.5807,5286.7754,2021.4256,3224.5099,-1383.2840,-1978.9173,-3893.4456,-4843.9852,3470.5673,6896.3235,1464.0902,4858.1285,-3175.8554,-4337.6474,-3710.9925,-5169.3970,4184.0599,-1016.4001,4055.0090,-5818.2788,-871.7271,-4939.8903,-2755.2203,6067.0392,6418.4965,4055.8056,-6143.3802,534.5943,-1233.3210,-5121.7216,4025.1056,5003.2675,2197.1281,672.8760,-4918.0907,2282.0140,-1057.5732,6143.7853,256.3477,-173069.3995,-137710.0800,-151564.0430,-158056.1516,-150033.4697,-153981.9542,-152705.6536,-153011.4077,-229027750.9853,-229008760.9517,-228996456.2929,-229018274.0487,-154697.6906,-229013851.6891,-3898.5403,-5001.6262,-384.0148,1474.8361,3546.1112,-4847.8996,4588.5055,3228.3704,3379.9231,1948.1078,4225.4975,4379.1578,-398.7491,787.6254,-3840.2519,-5837.1646,-72.0919,2826.9264,-367.7910,3014.6307,5994.5863,-1523.1560,1852.1160,-1255.5986,-3056.5626,4772.8378,1011.3202,-3723.4003,2206.6067,1013.7294,-5941.7647,-2660.0746,-1867.7007,5592.5401,596.3059,2039.9529,5025.8174,-4008.6537,3860.2630,3921.9324,-3091.3924,-3325.2045,-5458.9861,-708.1318,-2338.6133,3142.9871,4494.3074,-5066.0235,-5339.5919,4501.7248,-5644.9045,-5473.6063,1333.3256,-2905.4411,-3412.9382,-3386.7521,6283.8352,5393.1992,4051.9680,4780.9448,-96.2995,4424.2814,-1407.6038,4042.2791,6135.4198,6568.5532,-3757.1706,-5101.9454,615.5020,5748.5081,-34.5064,4705.1728,1014.3395,-5372.8727,4326.7495,-2142.0817,1627.3320,-4699.9475,-6665.5068,-1457.0192,-2135.3365,-5982.2611,-4840.5581,-6366.5445,-1729.3465,-520.1776,867.0022,-1645.2649,6889.2281,-5782.2424,-3324.4737,-863.2661,785.9021,1761.9209,698.5966,-1751.3406,3463.7204,-4028.2322,-3135.2530,-6932.4465,-330623.1727,-321558.6388,-335680.7495,-334765.9486,-335670.0704,-335083.2747,-326671.5605,-330315.2466,-1354699.7350,-1344408.2948,-1341357.8637,-1334039.9066,-330804.1852,-1341549.7547,5330.5608,-2693.9633,5414.1444,2563.4239,-5058.7172,1895.2383,-5163.1328,-3796.3627,3909.2404,3190.8998,-3673.2577,-5188.3018,-2126.5894,-3063.0136,-4022.1696,-2443.4866,-6729.4438,5267.9558,-6830.6224,5415.2324,2970.3604,4519.1377,4985.7027,-5506.8881,-5488.1966,2847.3404,1873.1980,1875.2703,-2315.8180,2757.3350,2782.1133,-2361.2827,2325.6762,4076.3926,4589.8553,-3830.8605,2291.0235,418.8207,-2624.7654,-5353.5641,-5317.2867,3171.6118,-4194.7962,-5289.6393,-5935.7216,5519.8892,-4568.8321,596.6880,2108.5411,-1030.7427,-3733.9970,-3121.1362,4225.0449,-5426.5442,5378.2891,5393.4220,2806.3075,-4350.2512,4317.0245,2764.7344,-6781.9111,-5210.5115,-4259.8872,-5141.7782,-302.4317,-824.3925,5455.9158,-2639.7556,-4775.6910,566.7956,549.9812,-4875.3975,4813.3055,-3034.0406,-3224.2587,-5435.9064,-4335.5468,-2723.1106,1624.2983,5417.2839,3109.5287,3422.6325,-204.6298,-146.3464,-2890.5386,2524.1679,-5542.0925,2750.0027,-616.0359,3601.6986,-3045.5348,5441.5246,-4718.7731,-6360.7527,6867.6641,-4572.9584,-5542.4818,-5543.5057,808.2613,-115.5048,-13135.2685,-17462.8160,-19447.7255,-10970.5833,-13813.6449,-24465.2366,-23528.2307,-16949.3396,83837023.4946,83815631.6454,83825873.6056,83833874.0548,-17415.8665,83844183.6729,
600.000,-3370.3824,-4758.8240,-4494.3718,5643.5742,-2115.8848,3089.5177,1594.4557,-3042.4562,-4073.2221,5556.3021,5492.7762,2967.6547,6542.4862,-6426.9814,-4226.0329,-3604.6719,-3380.9774,-1421.6714,2838.7100,4545.4120,3191.0299,3431.3561,4104.7783,3495.5431,-4092.9445,4853.5259,6131.2081,4145.0098,-4866.3765,5501.4781,-3864.7519,4754.9523,-5967.3295,1356.4114,4092.6593,4879.2704,-2173.9333,-6162.3894,-4332.2165,-370.3851,-4006.8146,3531.9199,-2818.8326,3275.8161,-4621.0622,-926.6486,4148.7956,3263.5806,-4656.6793,-4108.5212,-879.6902,1204.2893,5916.7430,1287.6889,-3817.8103,-3899.6322,1920.3268,1749.7322,-1590.5304,-3224.6302,3187.9323,602.9184,3768.1276,3971.1536,4359.5379,-60.7427,-3921.0388,-5312.6533,-3538.6986,4407.0316,6403.4470,2872.3772,4159.1545,-4199.9717,-2595.6065,-4967.3354,-4811.8222,2516.5523,-2535.2963,2752.0179,-5592.1923,-1447.9597,-5567.1981,-4001.0123,4790.0424,6624.1171,4360.8246,-6834.6141,1993.4661,-2748.1798,-5322.1711,3207.0992,4180.8154,4088.7027,-1395.7719,-5712.8668,4000.0650,-3064.9273,6244.9976,-1243.2261,-166054.1232,-130905.5967,-144661.1771,-151058.7323,-142973.0353,-146925.4475,-145760.2584,-145983.2146,-228940862.5297,-228922137.3959,-228909818.0386,-228931933.9240,-147688.3789,-228926940.3633,-3360.1626,-3323.8793,1709.3287,-33.7878,5194.9126,-5130.4851,2779.7378,3849.7404,4943.9163,34.3305,3629.0707,2928.8645,-1983.5715,2182.7628,-1903.4797,-4437.2624,-1410.1058,3865.6498,984.3869,1673.0288,4680.0497,-2799.7918,-289.2579,-3301.2990,-1233.2461,3034.7776,-645.9130,-4320.2841,3129.9083,-470.4385,-5586.6212,-2870.8831,-100.7378,4521.1906,-1264.7370,228.0313,5082.9876,-2541.7593,5282.3511,5159.8944,-1093.3421,-4305.3184,-5435.1581,-2547.5243,-2123.7692,4320.4699,2942.8765,-5914.1601,-3792.8310,5565.5916,-6245.0628,-6469.9852,-518.5578,-4001.3805,-1771.1117,-1567.6765,5146.3551,4206.7425,4260.4941,5921.5930,1243.3913,5378.4217,-2666.7657,3624.6038,5086.6704,6259.4877,-2970.6807,-4289.2337,2267.3077,4940.0664,-1235.2890,3156.8988,-952.2947,-3767.1416,4569.1521,-484.9757,3577.8245,-4858.4439,-6456.2211,-3198.9595,-228.2244,-4568.3016,-3782.4622,-5495.3909,-3109.6893,-1832.4100,-1263.2826,-467.1388,6307.1668,-6015.8212,-1398.1714,-2892.7291,-1108.0131,969.9722,1625.8336,146.7698,2170.2108,-3227.5856,-2684.0947,-6675.9916,-334293.3982,-324466.9620,-338967.9627,-337917.0988,-338881.3402,-338349.9559,-329909.3591,-333359.5528,-6354058.4838,-6343639.1364,-6340112.1947,-6333528.6079,-334004.9660,-6340818.0437,4761.6196,-3803.2462,4859.2212,4009.2535,-4055.6585,3472.3736,-6175.4656,-4893.6175,2433.1478,4144.6790,-2134.5410,-5534.5796,-645.2048,-1410.9162,-5016.2009,-3916.0512,-5904.1967,5469.9145,-6242.0974,4842.3147,3997.2002,5310.9418,5437.9192,-4996.3795,-5444.7658,3911.7920,3172.6298,3460.1754,-3814.8421,4162.4216,1400.9261,-4191.0193,3528.2172,5065.5296,5306.3015,-4915.4887,3794.7957,1914.8358,-1216.6579,-4611.3427,-5537.7333,4132.3949,-3266.5967,-5540.9011,-4744.6528,5326.6678,-4722.2253,-960.2238,3359.7613,512.1429,-2608.7585,-1807.6626,3348.1529,-5498.9537,5328.6873,5498.1321,4199.5444,-5222.8026,5205.6253,1056.5868,-6044.4812,-4327.7448,-5173.9101,-4237.1762,-1807.6785,-2564.6890,4859.3427,-1234.0901,-5384.2761,-1267.6926,2303.5226,-5462.3312,5438.6826,-4041.7114,-4508.1678,-4795.6497,-3494.2665,-4133.2277,105.6983,5486.6844,4091.1099,5026.3339,1597.1479,1384.9592,-3942.9750,793.6042,-5225.1499,1052.3373,-2094.6404,2052.3884,-4035.7389,5282.6544,-5404.8734,-5542.5818,6597.1835,-3937.8347,-5216.5817,-5316.4129,-1432.1643,1414.6347,-12996.1175,-17323.7626,-19246.7265,-10921.1211,-13497.1270,-24150.0677,-23564.6391,-17268.1823,83838393.4132,83816925.4593,83826858.9865,83835173.0213,-17263.3481,83845339.2465,
