sl_100_86400_20240216 Coordinates.csv
2024/02/16 07:47:00.0000 UTC

Generated: Tue Oct  8 16:18:52 2024,
Start: 2024/02/16 07:47:00.00, Stop: 2024/02/17 07:47:00.00,
TIME_UNITS,STARLINK-3981 - X-Coordinate,STARLINK-31464 - X-Coordinate,STARLINK-5389 - X-Coordinate,STARLINK-6092 - X-Coordinate,STARLINK-3779 - X-Coordinate,STARLINK-1278 - X-Coordinate,STARLINK-5179 - X-Coordinate,STARLINK-3256 - X-Coordinate,STARLINK-3085 - X-Coordinate,STARLINK-5245 - X-Coordinate,STARLINK-1910 - X-Coordinate,STARLINK-2161 - X-Coordinate,STARLINK-1361 - X-Coordinate,STARLINK-5578 - X-Coordinate,STARLINK-5704 - X-Coordinate,STARLINK-3100 - X-Coordinate,STARLINK-31790 - X-Coordinate,STARLINK-1838 - X-Coordinate,STARLINK-6343 - X-Coordinate,STARLINK-1686 - X-Coordinate,STARLINK-6245 - X-Coordinate,STARLINK-4197 - X-Coordinate,STARLINK-30268 - X-Coordinate,STARLINK-4388 - X-Coordinate,STARLINK-3962 - X-Coordinate,STARLINK-4499 - X-Coordinate,STARLINK-31581 - X-Coordinate,STARLINK-6042 - X-Coordinate,STARLINK-1587 - X-Coordinate,STARLINK-3631 - X-Coordinate,STARLINK-2040 - X-Coordinate,STARLINK-1854 - X-Coordinate,STARLINK-31608 - X-Coordinate,STARLINK-1336 - X-Coordinate,STARLINK-1446 - X-Coordinate,STARLINK-32241 - X-Coordinate,STARLINK-30230 - X-Coordinate,STARLINK-2513 - X-Coordinate,STARLINK-2234 - X-Coordinate,STARLINK-11270 [DTC] - X-Coordinate,STARLINK-3310 - X-Coordinate,STARLINK-3624 - X-Coordinate,STARLINK-2019 - X-Coordinate,STARLINK-2282 - X-Coordinate,STARLINK-3536 - X-Coordinate,STARLINK-30591 - X-Coordinate,STARLINK-5269 - X-Coordinate,STARLINK-30379 - X-Coordinate,STARLINK-30705 - X-Coordinate,STARLINK-5130 - X-Coordinate,STARLINK-6348 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-3667 - X-Coordinate,STARLINK-6285 - X-Coordinate,STARLINK-4047 - X-Coordinate,STARLINK-5310 - X-Coordinate,STARLINK-3143 - X-Coordinate,STARLINK-32083 - X-Coordinate,STARLINK-3820 - X-Coordinate,STARLINK-5616 - X-Coordinate,STARLINK-4451 - X-Coordinate,STARLINK-2102 - X-Coordinate,STARLINK-1401 - X-Coordinate,STARLINK-31262 - X-Coordinate,STARLINK-3049 - X-Coordinate,STARLINK-3628 - X-Coordinate,STARLINK-5531 - X-Coordinate,STARLINK-31698 - X-Coordinate,STARLINK-1337 - X-Coordinate,STARLINK-1817 - X-Coordinate,STARLINK-5777 - X-Coordinate,STARLINK-3459 - X-Coordinate,STARLINK-31054 - X-Coordinate,STARLINK-3568 - X-Coordinate,STARLINK-2335 - X-Coordinate,STARLINK-11206 [DTC] - X-Coordinate,STARLINK-30431 - X-Coordinate,STARLINK-31232 - X-Coordinate,STARLINK-2388 - X-Coordinate,STARLINK-2627 - X-Coordinate,STARLINK-31359 - X-Coordinate,STARLINK-4454 - X-Coordinate,STARLINK-2441 - X-Coordinate,STARLINK-30535 - X-Coordinate,STARLINK-11230 [DTC] - X-Coordinate,STARLINK-1555 - X-Coordinate,STARLINK-31123 - X-Coordinate,STARLINK-30376 - X-Coordinate,STARLINK-4288 - X-Coordinate,STARLINK-4694 - X-Coordinate,STARLINK-4742 - X-Coordinate,STARLINK-30565 - X-Coordinate,STARLINK-5785 - X-Coordinate,STARLINK-31780 - X-Coordinate,STARLINK-6284 - X-Coordinate,STARLINK-30921 - X-Coordinate,STARLINK-4322 - X-Coordinate,STARLINK-3419 - X-Coordinate,STARLINK-31096 - X-Coordinate,STARLINK-1696 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3981 - Y-Coordinate,STARLINK-31464 - Y-Coordinate,STARLINK-5389 - Y-Coordinate,STARLINK-6092 - Y-Coordinate,STARLINK-3779 - Y-Coordinate,STARLINK-1278 - Y-Coordinate,STARLINK-5179 - Y-Coordinate,STARLINK-3256 - Y-Coordinate,STARLINK-3085 - Y-Coordinate,STARLINK-5245 - Y-Coordinate,STARLINK-1910 - Y-Coordinate,STARLINK-2161 - Y-Coordinate,STARLINK-1361 - Y-Coordinate,STARLINK-5578 - Y-Coordinate,STARLINK-5704 - Y-Coordinate,STARLINK-3100 - Y-Coordinate,STARLINK-31790 - Y-Coordinate,STARLINK-1838 - Y-Coordinate,STARLINK-6343 - Y-Coordinate,STARLINK-1686 - Y-Coordinate,STARLINK-6245 - Y-Coordinate,STARLINK-4197 - Y-Coordinate,STARLINK-30268 - Y-Coordinate,STARLINK-4388 - Y-Coordinate,STARLINK-3962 - Y-Coordinate,STARLINK-4499 - Y-Coordinate,STARLINK-31581 - Y-Coordinate,STARLINK-6042 - Y-Coordinate,STARLINK-1587 - Y-Coordinate,STARLINK-3631 - Y-Coordinate,STARLINK-2040 - Y-Coordinate,STARLINK-1854 - Y-Coordinate,STARLINK-31608 - Y-Coordinate,STARLINK-1336 - Y-Coordinate,STARLINK-1446 - Y-Coordinate,STARLINK-32241 - Y-Coordinate,STARLINK-30230 - Y-Coordinate,STARLINK-2513 - Y-Coordinate,STARLINK-2234 - Y-Coordinate,STARLINK-11270 [DTC] - Y-Coordinate,STARLINK-3310 - Y-Coordinate,STARLINK-3624 - Y-Coordinate,STARLINK-2019 - Y-Coordinate,STARLINK-2282 - Y-Coordinate,STARLINK-3536 - Y-Coordinate,STARLINK-30591 - Y-Coordinate,STARLINK-5269 - Y-Coordinate,STARLINK-30379 - Y-Coordinate,STARLINK-30705 - Y-Coordinate,STARLINK-5130 - Y-Coordinate,STARLINK-6348 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-3667 - Y-Coordinate,STARLINK-6285 - Y-Coordinate,STARLINK-4047 - Y-Coordinate,STARLINK-5310 - Y-Coordinate,STARLINK-3143 - Y-Coordinate,STARLINK-32083 - Y-Coordinate,STARLINK-3820 - Y-Coordinate,STARLINK-5616 - Y-Coordinate,STARLINK-4451 - Y-Coordinate,STARLINK-2102 - Y-Coordinate,STARLINK-1401 - Y-Coordinate,STARLINK-31262 - Y-Coordinate,STARLINK-3049 - Y-Coordinate,STARLINK-3628 - Y-Coordinate,STARLINK-5531 - Y-Coordinate,STARLINK-31698 - Y-Coordinate,STARLINK-1337 - Y-Coordinate,STARLINK-1817 - Y-Coordinate,STARLINK-5777 - Y-Coordinate,STARLINK-3459 - Y-Coordinate,STARLINK-31054 - Y-Coordinate,STARLINK-3568 - Y-Coordinate,STARLINK-2335 - Y-Coordinate,STARLINK-11206 [DTC] - Y-Coordinate,STARLINK-30431 - Y-Coordinate,STARLINK-31232 - Y-Coordinate,STARLINK-2388 - Y-Coordinate,STARLINK-2627 - Y-Coordinate,STARLINK-31359 - Y-Coordinate,STARLINK-4454 - Y-Coordinate,STARLINK-2441 - Y-Coordinate,STARLINK-30535 - Y-Coordinate,STARLINK-11230 [DTC] - Y-Coordinate,STARLINK-1555 - Y-Coordinate,STARLINK-31123 - Y-Coordinate,STARLINK-30376 - Y-Coordinate,STARLINK-4288 - Y-Coordinate,STARLINK-4694 - Y-Coordinate,STARLINK-4742 - Y-Coordinate,STARLINK-30565 - Y-Coordinate,STARLINK-5785 - Y-Coordinate,STARLINK-31780 - Y-Coordinate,STARLINK-6284 - Y-Coordinate,STARLINK-30921 - Y-Coordinate,STARLINK-4322 - Y-Coordinate,STARLINK-3419 - Y-Coordinate,STARLINK-31096 - Y-Coordinate,STARLINK-1696 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3981 - Z-Coordinate,STARLINK-31464 - Z-Coordinate,STARLINK-5389 - Z-Coordinate,STARLINK-6092 - Z-Coordinate,STARLINK-3779 - Z-Coordinate,STARLINK-1278 - Z-Coordinate,STARLINK-5179 - Z-Coordinate,STARLINK-3256 - Z-Coordinate,STARLINK-3085 - Z-Coordinate,STARLINK-5245 - Z-Coordinate,STARLINK-1910 - Z-Coordinate,STARLINK-2161 - Z-Coordinate,STARLINK-1361 - Z-Coordinate,STARLINK-5578 - Z-Coordinate,STARLINK-5704 - Z-Coordinate,STARLINK-3100 - Z-Coordinate,STARLINK-31790 - Z-Coordinate,STARLINK-1838 - Z-Coordinate,STARLINK-6343 - Z-Coordinate,STARLINK-1686 - Z-Coordinate,STARLINK-6245 - Z-Coordinate,STARLINK-4197 - Z-Coordinate,STARLINK-30268 - Z-Coordinate,STARLINK-4388 - Z-Coordinate,STARLINK-3962 - Z-Coordinate,STARLINK-4499 - Z-Coordinate,STARLINK-31581 - Z-Coordinate,STARLINK-6042 - Z-Coordinate,STARLINK-1587 - Z-Coordinate,STARLINK-3631 - Z-Coordinate,STARLINK-2040 - Z-Coordinate,STARLINK-1854 - Z-Coordinate,STARLINK-31608 - Z-Coordinate,STARLINK-1336 - Z-Coordinate,STARLINK-1446 - Z-Coordinate,STARLINK-32241 - Z-Coordinate,STARLINK-30230 - Z-Coordinate,STARLINK-2513 - Z-Coordinate,STARLINK-2234 - Z-Coordinate,STARLINK-11270 [DTC] - Z-Coordinate,STARLINK-3310 - Z-Coordinate,STARLINK-3624 - Z-Coordinate,STARLINK-2019 - Z-Coordinate,STARLINK-2282 - Z-Coordinate,STARLINK-3536 - Z-Coordinate,STARLINK-30591 - Z-Coordinate,STARLINK-5269 - Z-Coordinate,STARLINK-30379 - Z-Coordinate,STARLINK-30705 - Z-Coordinate,STARLINK-5130 - Z-Coordinate,STARLINK-6348 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-3667 - Z-Coordinate,STARLINK-6285 - Z-Coordinate,STARLINK-4047 - Z-Coordinate,STARLINK-5310 - Z-Coordinate,STARLINK-3143 - Z-Coordinate,STARLINK-32083 - Z-Coordinate,STARLINK-3820 - Z-Coordinate,STARLINK-5616 - Z-Coordinate,STARLINK-4451 - Z-Coordinate,STARLINK-2102 - Z-Coordinate,STARLINK-1401 - Z-Coordinate,STARLINK-31262 - Z-Coordinate,STARLINK-3049 - Z-Coordinate,STARLINK-3628 - Z-Coordinate,STARLINK-5531 - Z-Coordinate,STARLINK-31698 - Z-Coordinate,STARLINK-1337 - Z-Coordinate,STARLINK-1817 - Z-Coordinate,STARLINK-5777 - Z-Coordinate,STARLINK-3459 - Z-Coordinate,STARLINK-31054 - Z-Coordinate,STARLINK-3568 - Z-Coordinate,STARLINK-2335 - Z-Coordinate,STARLINK-11206 [DTC] - Z-Coordinate,STARLINK-30431 - Z-Coordinate,STARLINK-31232 - Z-Coordinate,STARLINK-2388 - Z-Coordinate,STARLINK-2627 - Z-Coordinate,STARLINK-31359 - Z-Coordinate,STARLINK-4454 - Z-Coordinate,STARLINK-2441 - Z-Coordinate,STARLINK-30535 - Z-Coordinate,STARLINK-11230 [DTC] - Z-Coordinate,STARLINK-1555 - Z-Coordinate,STARLINK-31123 - Z-Coordinate,STARLINK-30376 - Z-Coordinate,STARLINK-4288 - Z-Coordinate,STARLINK-4694 - Z-Coordinate,STARLINK-4742 - Z-Coordinate,STARLINK-30565 - Z-Coordinate,STARLINK-5785 - Z-Coordinate,STARLINK-31780 - Z-Coordinate,STARLINK-6284 - Z-Coordinate,STARLINK-30921 - Z-Coordinate,STARLINK-4322 - Z-Coordinate,STARLINK-3419 - Z-Coordinate,STARLINK-31096 - Z-Coordinate,STARLINK-1696 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6546.5010,5376.4676,-4065.9686,1273.3770,-2694.1763,4948.0387,-3049.1925,-61.5352,1758.8565,4749.3474,6861.4159,-2504.1583,-5975.5058,-6665.8989,3390.8334,-4585.4279,0.0000,-2016.6849,-3235.7834,3242.6665,1019.5614,-4102.9002,-4314.3059,-6019.3459,6274.4071,-6251.3860,2800.6301,2873.2172,-1154.4098,-974.3668,-4293.1966,-2735.0966,907.9262,-2038.3202,2379.2051,4756.1360,4889.5461,4917.5815,6563.6439,-4205.8106,4081.2217,1417.1075,6586.3456,-5812.8010,-1023.6747,3905.4859,2979.7324,-2138.3527,2320.2500,4219.2508,4464.4492,6174.9541,-4133.7433,-4016.0936,-3857.5212,-2666.8251,-2756.0799,-2757.3198,571.3947,-122.3948,690.9787,-962.9917,1085.0841,-6615.3413,3312.2823,6136.9241,-6417.6595,598.8437,-5479.8383,-2458.1069,-2501.5259,-3779.9954,5025.1205,2619.4508,4293.5010,-6620.4387,1735.9260,-4442.1382,4181.7635,-4314.9051,2610.7859,-619.1474,-1337.0547,-4468.3410,0.0000,-3764.8664,-3443.5518,-3034.9497,-3744.6155,4282.5283,3796.4113,-2260.3762,-1096.7603,-1043.7504,3171.6383,-255.5293,-3712.6253,1318.1109,-2998.0504,-5398.9278,314370.1967,285426.9111,292357.8709,299006.8407,291586.1664,295647.5099,297274.8317,299304.7350,-234283091.7467,-234295869.1290,-234303762.1272,-234301775.1680,297671.4951,-234295813.4537,2247.6514,-327.8257,4071.5466,-5160.3195,3413.6106,-4824.0423,4920.4084,-6129.3285,-4992.3872,-633.4460,-186.7632,-4563.3240,-2107.3759,-1456.8552,-5192.7611,-5094.9924,0.0000,3689.3081,4767.9731,2631.2961,-5267.0648,3208.3485,-2706.0922,2827.0651,1139.9683,-1921.7272,-5100.3600,5015.9135,4155.5447,-4437.1247,-3251.8447,3342.0789,6517.5876,-5460.3114,-3802.4773,1406.4508,1523.6979,4675.1693,1372.7381,1575.7854,1292.7347,-5018.1333,-1764.3067,-2206.1205,-4792.9855,5732.9660,-6209.2040,6112.5217,3543.0266,-2160.9288,-2681.8674,-2794.8687,4072.7190,-3115.2543,-1685.7205,6018.9927,4685.3407,6269.7877,-6236.6637,-6574.6800,3160.5473,6826.9011,6050.9519,1136.6396,3572.6826,-1493.4076,-2526.9758,-6803.0615,-3208.4002,3814.8512,-6001.5394,-3349.2226,141.7271,-6323.2976,-1545.3438,522.8468,-5262.8086,4690.7503,104.3143,-5268.5807,6284.0743,6477.6519,-4727.1963,-4962.1309,0.0000,3538.8299,-4478.6695,6236.9653,2314.7081,2646.3084,4939.9642,6193.5727,6792.1697,-6440.5886,-6036.2844,-4105.3785,-1465.4472,-3954.4034,5693.9112,3790.1180,189925.1945,178296.6765,190910.7453,193691.9812,191416.7572,192323.0309,184053.1379,189538.6515,213301403.6632,213290170.7452,213279416.5118,213280251.7960,188778.8106,213285956.2282,21.2340,-4191.3703,3866.9513,-4467.0905,5371.5452,-506.8565,-3798.3489,3204.2870,4499.2150,-5000.1853,-1135.9639,-4571.1959,2797.0145,1251.6804,3101.0829,-1171.1041,0.0000,-5549.2058,-3868.3507,-5545.4736,-4402.5529,4546.8395,4703.4148,2002.9506,2685.0390,-2282.1447,3555.4126,-3761.7758,-5452.1853,5214.4600,4355.6000,-5457.5108,-1827.2843,-3766.0478,-5298.2322,-4738.1018,-4689.6934,1404.1067,-1816.0415,-4981.4075,5426.9515,4542.7797,-1383.6488,3142.3683,4876.0443,170.3472,-704.5328,-2547.8353,5383.5125,5028.6296,4576.3725,-819.8417,3762.2003,-4731.6009,-5498.2494,-2224.9033,4277.9412,-271.6223,-2945.0620,-2269.3545,6136.5720,672.8994,-2918.2614,1717.6469,4905.2274,-2843.0978,-808.6331,-110.6266,2771.7186,-5233.8816,2408.1234,4726.7039,4681.1093,-1035.0088,5233.8505,1138.8227,-4020.8474,-2264.7328,5516.3230,1271.8234,922.9506,-2433.2726,-4902.5155,1871.8773,0.0000,4607.4024,4005.7059,134.6115,5341.4801,4741.1410,-3019.9155,-1842.4650,891.5586,-2052.7943,-1289.1731,-5478.7436,-5690.8111,5515.8256,2586.7268,-2152.8188,144078.6067,138758.1890,137183.8251,146265.6949,142437.9146,131906.1992,133869.7791,139115.7798,-118890276.5617,-118911285.7963,-118907511.9830,-118890301.1660,139408.5343,-118886163.7167,
3600.000,4544.3549,-3098.6147,195.1402,2779.3197,-1385.0532,-2506.9434,-912.0694,1756.9757,-1936.9188,-5639.5037,-6050.1039,4260.2573,4234.8840,6470.6279,397.3926,3367.3310,0.0000,-1676.3788,1199.8600,-5786.7969,2115.8126,3625.1162,6255.3447,3362.2513,-6718.9034,6590.0980,-251.7419,-3641.3722,-2068.1816,4478.0851,4130.4535,-1019.7716,-2878.2087,4089.3329,-176.3088,-6720.9801,-6024.5336,-5470.6610,-4717.7467,75.7410,-5951.6641,2587.8208,-5612.6349,6849.7864,4149.8328,-5028.6276,-1080.0588,59.7581,-5963.7307,-4042.0309,-2929.3847,-3999.6655,3419.2447,6158.3872,4827.3902,651.3327,-1413.8623,435.8887,2146.5344,222.6758,1696.6018,-703.6520,-3395.4690,5926.0460,-4469.4514,-5990.4648,5748.0750,1482.5037,4375.1477,370.3092,4286.8648,6412.5838,-4764.1827,-835.3956,-1383.6433,3577.3257,166.1020,665.2886,-3850.0658,4421.9206,-3734.5648,1670.7194,4271.9293,5078.0867,0.0000,-448.6854,4142.3174,417.1850,370.9966,-4056.9599,-5342.6281,385.3849,-1147.3266,2747.8189,-144.1529,4569.2940,4727.9180,2285.4731,-557.6895,4380.7769,256992.7297,231690.5329,236229.9648,242703.1062,234290.0679,238037.9318,240968.3880,239583.1973,-281515381.9570,-281525493.7376,-281529087.8915,-281526209.6087,240901.6912,-281527466.3695,-3312.7427,4392.5915,-5146.6557,4730.4969,-4914.9264,4813.0621,-4039.7288,6613.9199,6676.6474,3626.5348,1608.8113,650.7909,-1063.4786,-765.7189,5070.3839,2910.2431,0.0000,-5265.8200,-6791.7801,429.7726,6347.0117,-5833.3652,-475.8198,94.3249,380.0629,403.2568,6817.6135,-5691.9861,-5863.8834,1824.3373,-950.4075,-5085.6155,-3435.9830,5592.5624,6456.5534,950.6455,1979.5782,-3159.7817,1020.5844,-5089.4899,1921.6937,3426.1698,2990.5133,971.5770,1724.0051,-3498.1110,5872.2790,-6884.7363,-2014.1592,5321.1041,5827.6027,4612.2811,-6010.1838,-43.1216,-2446.4339,-3605.9627,-3957.7704,-5542.5782,3710.0153,6402.6733,-6376.0521,-5953.5954,-2299.5294,-2512.2826,655.1993,3135.0559,-236.0846,5195.0647,-209.8685,-6513.7176,2941.7919,2324.2838,3946.8694,6057.9528,4616.4389,-2774.0228,6833.3810,-4303.1293,4012.5103,2398.9651,-4614.4809,-2487.9082,5231.7574,1694.9143,0.0000,-4312.1820,437.1555,-5992.6238,-5003.4347,1699.6613,-4201.5729,-6233.8657,-6288.7377,5685.1329,5553.7635,3811.6606,4928.7281,5531.7778,-5132.2015,-4925.8959,263471.7946,245265.0577,260639.2337,261404.4416,259367.2134,260929.7235,253087.5983,255828.0089,145353507.8571,145344052.1700,145329997.6694,145329913.9899,257002.9265,145337068.9050,-4038.9318,4192.5958,-4653.8702,4240.4202,-4675.4861,4299.4554,5534.7904,1035.8777,113.3879,1702.8353,-3035.2007,5408.7233,-5385.2882,2371.9267,-4724.7870,5335.5598,0.0000,4215.9305,747.1295,3791.1178,1827.3561,-868.7958,-2969.3856,-6084.7211,1623.8810,-2087.7698,106.8288,-1371.7351,3082.2893,-4961.2764,-5491.5425,4622.1155,5139.7261,-295.0643,2514.5294,943.5656,2817.0597,2845.3387,4985.0912,4351.5035,-2971.8749,-5434.8178,-2819.8877,892.9904,-5268.4711,3247.8914,-3505.5098,-1011.9919,-2733.1005,-1803.3482,-2371.4025,-3060.2902,323.1899,3194.1073,4302.8948,5895.7775,-5506.6283,-4014.4715,5420.8990,-2707.1327,-2185.9450,3465.4325,5393.5174,2566.1664,-5248.5219,-1490.6010,3878.2303,-4184.4615,-5377.6267,2312.7552,-4597.8466,-1206.1512,-3000.3552,-3244.1167,-5014.3038,-4999.7370,-307.2962,5269.2817,-4145.1016,-4769.1643,3449.0518,6254.1700,1559.8653,-4418.4393,0.0000,-5410.8106,-5544.4391,-3479.5164,-4786.5479,-5350.0432,-1301.2394,-2802.0492,2685.5401,-2628.4318,4145.7801,3374.8164,1248.5470,-3484.9505,-4642.5901,-2162.0792,145337.5817,139821.3407,138966.8495,146062.1005,145528.0715,135239.1661,132974.6138,140506.4752,-118840319.4548,-118861185.2019,-118860638.5170,-118848048.0769,140604.3233,-118839266.6493,
7200.000,-477.7493,398.3534,3423.1734,-5719.3474,4129.0540,-1597.5052,4877.6673,-3017.7108,1089.0159,4421.5597,2893.2770,-5624.9472,-1975.6147,-4025.6330,-4233.5159,-2162.4824,0.0000,3929.2935,1070.1562,6525.9896,-4050.4969,-1761.9866,-6288.6847,2047.6461,4280.7709,-4232.3326,-2471.6705,2776.2954,3723.3618,-6720.9152,-3835.6344,3540.1306,4898.8218,-4452.3486,-1342.0424,5337.2163,5453.0565,4346.7426,1852.3018,2890.1202,5751.6721,-5968.4849,2251.8413,-5278.3479,-6439.0468,5066.8096,-2125.2380,2268.4748,6595.5878,2547.2355,882.2380,-367.4924,-1092.2467,-6474.2920,-4860.4633,3121.2306,5197.3022,3108.4615,-5180.1127,-1122.1596,-3684.3873,3080.6133,5390.0059,-2606.6087,5129.9772,3092.3838,-3652.6676,-4027.5368,-2847.4734,1172.0878,-5583.6902,-6170.8576,3169.2341,-2133.9932,-890.3805,1247.4931,-2052.1304,3940.2675,3076.3322,-3987.1782,4110.7891,580.0947,-5068.5810,-4888.2629,0.0000,4072.5414,-4691.4975,3000.0238,2090.7602,3659.1994,4801.6464,2495.8291,3640.2878,-3814.9793,-3561.2123,-6227.2659,-2176.1289,-4198.1030,4336.9044,-1162.1524,182631.8530,162691.9240,165154.5703,171294.5317,162246.7883,165564.0932,168954.4268,169894.4933,-309541137.2369,-309549864.2548,-309548080.8866,-309544756.7299,168936.6931,-309552201.0278,4123.4905,-6729.4756,5426.7702,-3637.2936,5449.2421,-3910.5780,3034.5436,-4135.3340,-5019.0668,-4629.4523,-3239.5079,2774.7110,4711.5059,3306.1487,-4232.1789,1467.4709,0.0000,5723.4136,6250.3965,-2346.2262,-5322.4563,5781.4093,2882.0374,-795.9627,-2249.8253,1868.4055,-5172.7970,2924.9134,5764.2768,272.9712,4743.6201,5880.2330,-942.8655,-3314.9743,-6574.1112,-2503.9816,-4230.8316,-285.8855,-4167.7127,6040.4548,-3604.0625,-1883.6391,-3799.6953,928.3589,865.8692,-343.9580,-3581.4757,5237.8411,312.8826,-5897.2544,-6765.6877,-4980.0558,5367.0401,2487.7403,4906.5774,844.3757,3136.7728,2756.0389,-634.9235,-3144.1839,5018.3433,2852.6355,-1977.5467,3604.0210,-4020.0088,-3808.8367,3635.1878,-1248.5257,4211.9886,6518.9996,901.9963,-614.7173,-6056.9219,-3629.3213,-6637.7668,4855.7004,-4826.7036,3322.5029,-6205.7151,1886.1528,399.8054,-2520.0457,-3888.8853,2387.9649,0.0000,4793.3074,3506.5185,4095.4735,6475.7339,-5248.6503,1359.5737,3366.7044,3628.6667,-1814.7683,-3872.4929,-2612.5186,-5330.7199,-5455.5021,3746.7426,4489.7358,320212.6068,296860.7858,313643.7647,312535.2567,310695.4886,312333.1806,305994.7121,310355.8365,67494205.4013,67487712.0213,67472646.9260,67474501.3043,308842.6382,67477156.4791,5527.1153,-1059.9329,2633.0673,-1491.1480,1048.7262,-5498.4040,-3867.2423,-4663.7823,-4688.5788,2622.5801,5421.7193,-2941.3232,4669.9337,-4587.6676,3501.3686,-6446.7136,0.0000,-483.9849,2803.9660,209.5578,1829.1196,-3376.7645,-564.3303,6579.2566,-4959.8763,5141.1842,-3704.1652,5583.7406,1071.6064,1626.6169,3280.3723,-1140.7160,-4668.3105,4148.2143,1746.1527,3488.6306,719.5269,-5397.3976,-5245.3404,280.7723,-1353.3951,2945.1772,5362.0738,-4466.4173,2371.2082,-4732.2223,5517.9440,3968.6421,-1859.0308,-2572.7099,-1274.3640,4647.4839,-4237.2256,233.5572,-464.8194,-6153.3886,3316.4392,5440.7128,-4548.9921,6092.2241,-3090.0751,-5517.5285,-3654.6072,-5321.7960,2315.0480,4874.8803,-4657.0946,5361.4882,4700.1985,2008.8804,4008.5554,-3085.8673,-737.7641,5481.6943,1850.4777,4493.4753,4384.5829,-4509.4686,233.5668,5332.4025,-5499.4988,-6451.6294,2692.1299,4297.0274,0.0000,2896.1088,3694.1824,4720.4535,1294.0777,2629.2870,4784.2032,5399.0023,-4664.6311,5364.8655,-4527.4139,1120.3720,3872.7922,-726.8785,3904.3874,5147.5239,146531.1177,140886.0972,141175.1545,144917.0333,148109.0455,139454.9410,132839.4437,142095.2830,-118790261.9525,-118810066.4559,-118812700.8961,-118802537.3002,141786.5540,-118792337.3685,
