sl_100_5400_20240703 Coordinates.csv
2024/07/03 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:01 2024,
Start: 2024/07/03 07:47:00.00, Stop: 2024/07/03 09:17:00.00,
TIME_UNITS,STARLINK-4519 - X-Coordinate,STARLINK-30425 - X-Coordinate,STARLINK-31373 - X-Coordinate,STARLINK-31888 - X-Coordinate,STARLINK-4050 - X-Coordinate,STARLINK-31463 - X-Coordinate,STARLINK-4506 - X-Coordinate,STARLINK-1931 - X-Coordinate,STARLINK-31104 - X-Coordinate,STARLINK-30994 - X-Coordinate,STARLINK-1829 - X-Coordinate,STARLINK-11290 [DTC] - X-Coordinate,STARLINK-1058 - X-Coordinate,STARLINK-1325 - X-Coordinate,STARLINK-2738 - X-Coordinate,STARLINK-2655 - X-Coordinate,STARLINK-30212 - X-Coordinate,STARLINK-3192 - X-Coordinate,STARLINK-5170 - X-Coordinate,STARLINK-5875 - X-Coordinate,STARLINK-30464 - X-Coordinate,STARLINK-3793 - X-Coordinate,STARLINK-31767 - X-Coordinate,STARLINK-30140 - X-Coordinate,STARLINK-6193 - X-Coordinate,STARLINK-31590 - X-Coordinate,STARLINK-2299 - X-Coordinate,STARLINK-2169 - X-Coordinate,STARLINK-31948 - X-Coordinate,STARLINK-3597 - X-Coordinate,STARLINK-5441 - X-Coordinate,STARLINK-1700 - X-Coordinate,STARLINK-30477 - X-Coordinate,STARLINK-5716 - X-Coordinate,STARLINK-5698 - X-Coordinate,STARLINK-5028 - X-Coordinate,STARLINK-1572 - X-Coordinate,STARLINK-1802 - X-Coordinate,STARLINK-4133 - X-Coordinate,STARLINK-30787 - X-Coordinate,STARLINK-6113 - X-Coordinate,STARLINK-6175 - X-Coordinate,STARLINK-31667 - X-Coordinate,STARLINK-2389 - X-Coordinate,STARLINK-2576 - X-Coordinate,STARLINK-5480 - X-Coordinate,STARLINK-2093 - X-Coordinate,STARLINK-3346 - X-Coordinate,STARLINK-30793 - X-Coordinate,STARLINK-2687 - X-Coordinate,STARLINK-31070 - X-Coordinate,STARLINK-3696 - X-Coordinate,STARLINK-30708 - X-Coordinate,STARLINK-2588 - X-Coordinate,STARLINK-3922 - X-Coordinate,STARLINK-5325 - X-Coordinate,STARLINK-31826 - X-Coordinate,STARLINK-4087 - X-Coordinate,STARLINK-4004 - X-Coordinate,STARLINK-5501 - X-Coordinate,STARLINK-4313 - X-Coordinate,STARLINK-5659 - X-Coordinate,STARLINK-5211 - X-Coordinate,STARLINK-4557 - X-Coordinate,STARLINK-1335 - X-Coordinate,STARLINK-1856 - X-Coordinate,STARLINK-32154 - X-Coordinate,STARLINK-4131 - X-Coordinate,STARLINK-32046 - X-Coordinate,STARLINK-5446 - X-Coordinate,STARLINK-4353 - X-Coordinate,STARLINK-5683 - X-Coordinate,STARLINK-2634 - X-Coordinate,STARLINK-31464 - X-Coordinate,STARLINK-3895 - X-Coordinate,STARLINK-11204 [DTC] - X-Coordinate,STARLINK-6363 - X-Coordinate,STARLINK-1580 - X-Coordinate,STARLINK-31408 - X-Coordinate,STARLINK-2265 - X-Coordinate,STARLINK-1271 - X-Coordinate,STARLINK-4077 - X-Coordinate,STARLINK-31047 - X-Coordinate,STARLINK-4303 - X-Coordinate,STARLINK-3707 - X-Coordinate,STARLINK-1948 - X-Coordinate,STARLINK-31815 - X-Coordinate,STARLINK-4719 - X-Coordinate,STARLINK-1137 - X-Coordinate,STARLINK-31917 - X-Coordinate,STARLINK-30881 - X-Coordinate,STARLINK-5393 - X-Coordinate,STARLINK-1021 - X-Coordinate,STARLINK-1993 - X-Coordinate,STARLINK-31724 - X-Coordinate,STARLINK-30907 - X-Coordinate,STARLINK-2325 - X-Coordinate,STARLINK-31315 - X-Coordinate,STARLINK-3880 - X-Coordinate,STARLINK-5137 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4519 - Y-Coordinate,STARLINK-30425 - Y-Coordinate,STARLINK-31373 - Y-Coordinate,STARLINK-31888 - Y-Coordinate,STARLINK-4050 - Y-Coordinate,STARLINK-31463 - Y-Coordinate,STARLINK-4506 - Y-Coordinate,STARLINK-1931 - Y-Coordinate,STARLINK-31104 - Y-Coordinate,STARLINK-30994 - Y-Coordinate,STARLINK-1829 - Y-Coordinate,STARLINK-11290 [DTC] - Y-Coordinate,STARLINK-1058 - Y-Coordinate,STARLINK-1325 - Y-Coordinate,STARLINK-2738 - Y-Coordinate,STARLINK-2655 - Y-Coordinate,STARLINK-30212 - Y-Coordinate,STARLINK-3192 - Y-Coordinate,STARLINK-5170 - Y-Coordinate,STARLINK-5875 - Y-Coordinate,STARLINK-30464 - Y-Coordinate,STARLINK-3793 - Y-Coordinate,STARLINK-31767 - Y-Coordinate,STARLINK-30140 - Y-Coordinate,STARLINK-6193 - Y-Coordinate,STARLINK-31590 - Y-Coordinate,STARLINK-2299 - Y-Coordinate,STARLINK-2169 - Y-Coordinate,STARLINK-31948 - Y-Coordinate,STARLINK-3597 - Y-Coordinate,STARLINK-5441 - Y-Coordinate,STARLINK-1700 - Y-Coordinate,STARLINK-30477 - Y-Coordinate,STARLINK-5716 - Y-Coordinate,STARLINK-5698 - Y-Coordinate,STARLINK-5028 - Y-Coordinate,STARLINK-1572 - Y-Coordinate,STARLINK-1802 - Y-Coordinate,STARLINK-4133 - Y-Coordinate,STARLINK-30787 - Y-Coordinate,STARLINK-6113 - Y-Coordinate,STARLINK-6175 - Y-Coordinate,STARLINK-31667 - Y-Coordinate,STARLINK-2389 - Y-Coordinate,STARLINK-2576 - Y-Coordinate,STARLINK-5480 - Y-Coordinate,STARLINK-2093 - Y-Coordinate,STARLINK-3346 - Y-Coordinate,STARLINK-30793 - Y-Coordinate,STARLINK-2687 - Y-Coordinate,STARLINK-31070 - Y-Coordinate,STARLINK-3696 - Y-Coordinate,STARLINK-30708 - Y-Coordinate,STARLINK-2588 - Y-Coordinate,STARLINK-3922 - Y-Coordinate,STARLINK-5325 - Y-Coordinate,STARLINK-31826 - Y-Coordinate,STARLINK-4087 - Y-Coordinate,STARLINK-4004 - Y-Coordinate,STARLINK-5501 - Y-Coordinate,STARLINK-4313 - Y-Coordinate,STARLINK-5659 - Y-Coordinate,STARLINK-5211 - Y-Coordinate,STARLINK-4557 - Y-Coordinate,STARLINK-1335 - Y-Coordinate,STARLINK-1856 - Y-Coordinate,STARLINK-32154 - Y-Coordinate,STARLINK-4131 - Y-Coordinate,STARLINK-32046 - Y-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-4353 - Y-Coordinate,STARLINK-5683 - Y-Coordinate,STARLINK-2634 - Y-Coordinate,STARLINK-31464 - Y-Coordinate,STARLINK-3895 - Y-Coordinate,STARLINK-11204 [DTC] - Y-Coordinate,STARLINK-6363 - Y-Coordinate,STARLINK-1580 - Y-Coordinate,STARLINK-31408 - Y-Coordinate,STARLINK-2265 - Y-Coordinate,STARLINK-1271 - Y-Coordinate,STARLINK-4077 - Y-Coordinate,STARLINK-31047 - Y-Coordinate,STARLINK-4303 - Y-Coordinate,STARLINK-3707 - Y-Coordinate,STARLINK-1948 - Y-Coordinate,STARLINK-31815 - Y-Coordinate,STARLINK-4719 - Y-Coordinate,STARLINK-1137 - Y-Coordinate,STARLINK-31917 - Y-Coordinate,STARLINK-30881 - Y-Coordinate,STARLINK-5393 - Y-Coordinate,STARLINK-1021 - Y-Coordinate,STARLINK-1993 - Y-Coordinate,STARLINK-31724 - Y-Coordinate,STARLINK-30907 - Y-Coordinate,STARLINK-2325 - Y-Coordinate,STARLINK-31315 - Y-Coordinate,STARLINK-3880 - Y-Coordinate,STARLINK-5137 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4519 - Z-Coordinate,STARLINK-30425 - Z-Coordinate,STARLINK-31373 - Z-Coordinate,STARLINK-31888 - Z-Coordinate,STARLINK-4050 - Z-Coordinate,STARLINK-31463 - Z-Coordinate,STARLINK-4506 - Z-Coordinate,STARLINK-1931 - Z-Coordinate,STARLINK-31104 - Z-Coordinate,STARLINK-30994 - Z-Coordinate,STARLINK-1829 - Z-Coordinate,STARLINK-11290 [DTC] - Z-Coordinate,STARLINK-1058 - Z-Coordinate,STARLINK-1325 - Z-Coordinate,STARLINK-2738 - Z-Coordinate,STARLINK-2655 - Z-Coordinate,STARLINK-30212 - Z-Coordinate,STARLINK-3192 - Z-Coordinate,STARLINK-5170 - Z-Coordinate,STARLINK-5875 - Z-Coordinate,STARLINK-30464 - Z-Coordinate,STARLINK-3793 - Z-Coordinate,STARLINK-31767 - Z-Coordinate,STARLINK-30140 - Z-Coordinate,STARLINK-6193 - Z-Coordinate,STARLINK-31590 - Z-Coordinate,STARLINK-2299 - Z-Coordinate,STARLINK-2169 - Z-Coordinate,STARLINK-31948 - Z-Coordinate,STARLINK-3597 - Z-Coordinate,STARLINK-5441 - Z-Coordinate,STARLINK-1700 - Z-Coordinate,STARLINK-30477 - Z-Coordinate,STARLINK-5716 - Z-Coordinate,STARLINK-5698 - Z-Coordinate,STARLINK-5028 - Z-Coordinate,STARLINK-1572 - Z-Coordinate,STARLINK-1802 - Z-Coordinate,STARLINK-4133 - Z-Coordinate,STARLINK-30787 - Z-Coordinate,STARLINK-6113 - Z-Coordinate,STARLINK-6175 - Z-Coordinate,STARLINK-31667 - Z-Coordinate,STARLINK-2389 - Z-Coordinate,STARLINK-2576 - Z-Coordinate,STARLINK-5480 - Z-Coordinate,STARLINK-2093 - Z-Coordinate,STARLINK-3346 - Z-Coordinate,STARLINK-30793 - Z-Coordinate,STARLINK-2687 - Z-Coordinate,STARLINK-31070 - Z-Coordinate,STARLINK-3696 - Z-Coordinate,STARLINK-30708 - Z-Coordinate,STARLINK-2588 - Z-Coordinate,STARLINK-3922 - Z-Coordinate,STARLINK-5325 - Z-Coordinate,STARLINK-31826 - Z-Coordinate,STARLINK-4087 - Z-Coordinate,STARLINK-4004 - Z-Coordinate,STARLINK-5501 - Z-Coordinate,STARLINK-4313 - Z-Coordinate,STARLINK-5659 - Z-Coordinate,STARLINK-5211 - Z-Coordinate,STARLINK-4557 - Z-Coordinate,STARLINK-1335 - Z-Coordinate,STARLINK-1856 - Z-Coordinate,STARLINK-32154 - Z-Coordinate,STARLINK-4131 - Z-Coordinate,STARLINK-32046 - Z-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-4353 - Z-Coordinate,STARLINK-5683 - Z-Coordinate,STARLINK-2634 - Z-Coordinate,STARLINK-31464 - Z-Coordinate,STARLINK-3895 - Z-Coordinate,STARLINK-11204 [DTC] - Z-Coordinate,STARLINK-6363 - Z-Coordinate,STARLINK-1580 - Z-Coordinate,STARLINK-31408 - Z-Coordinate,STARLINK-2265 - Z-Coordinate,STARLINK-1271 - Z-Coordinate,STARLINK-4077 - Z-Coordinate,STARLINK-31047 - Z-Coordinate,STARLINK-4303 - Z-Coordinate,STARLINK-3707 - Z-Coordinate,STARLINK-1948 - Z-Coordinate,STARLINK-31815 - Z-Coordinate,STARLINK-4719 - Z-Coordinate,STARLINK-1137 - Z-Coordinate,STARLINK-31917 - Z-Coordinate,STARLINK-30881 - Z-Coordinate,STARLINK-5393 - Z-Coordinate,STARLINK-1021 - Z-Coordinate,STARLINK-1993 - Z-Coordinate,STARLINK-31724 - Z-Coordinate,STARLINK-30907 - Z-Coordinate,STARLINK-2325 - Z-Coordinate,STARLINK-31315 - Z-Coordinate,STARLINK-3880 - Z-Coordinate,STARLINK-5137 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3902.3876,5723.3056,-3743.5748,-4690.8246,-6203.1047,-2404.7216,2342.5446,413.0967,4817.2621,-4934.7632,-2933.5952,-4624.8621,-4020.0030,-4161.6511,1413.5559,-2574.1564,2868.0189,-3855.5419,-4950.6599,-4504.0319,-5127.0330,-1650.5668,1197.3861,730.8512,2400.0829,5774.4755,4439.1612,-5095.9675,2155.3432,4072.5201,-2448.3294,3018.1755,5505.9474,-3575.9949,5806.8390,6657.6900,2343.2183,-1397.7263,-3893.6227,-1604.1070,2981.7611,5267.2635,1973.6475,2860.7755,-4598.9965,-4272.4559,-4026.5973,-4544.9041,4433.0528,796.9560,-3106.0951,-2603.8622,2479.5284,5302.2332,4063.9214,1696.2045,3981.5513,-6755.6559,-2485.2215,-53.7581,-1892.2165,3394.6527,-5580.8580,2600.6195,817.3397,-2771.1417,-6024.4106,-307.3108,-193.2884,-2166.8954,845.7010,-1022.0998,-2975.7275,4558.6799,5534.4306,-3751.3781,747.2918,-5286.4546,-4118.5575,3559.5456,4136.2252,6798.0599,4644.0003,-321.0269,422.7595,1741.5059,-5235.1757,-596.6310,-3106.2578,-4467.9753,-6458.9146,3984.7094,5757.5729,3325.4713,1534.6392,-4536.5521,4343.1615,60.6917,-4040.8378,-2232.5015,-312215.7006,-280452.0274,-298241.1224,-304199.5590,-297137.4778,-300578.1876,-296163.0976,-301093.8562,-246586953.2499,-246592293.1726,-246603277.2469,-246616413.5801,-299632.8454,-246607035.8484,-1556.6823,-1892.7551,5720.0458,4295.6898,212.0127,-6178.7066,5225.5375,-4230.6676,-1853.7485,1707.3555,5701.3964,4707.5362,5243.0245,-3951.3623,-4369.6896,4596.1613,-6160.6699,-4444.6436,-2696.6371,-3237.2694,3933.5302,-3814.6219,-6552.3249,5370.9721,6232.1185,1376.6238,3684.5571,193.6317,4596.5559,2564.5140,-3817.5498,-4360.5516,2501.0061,-4945.3428,-934.4910,1886.4582,5673.5136,6324.5090,5029.1306,-4821.1551,4113.4637,4509.8007,6070.7325,4676.4831,-3096.0286,3307.8167,-1115.8734,-2708.9331,-4817.3106,4259.1627,5964.3160,6159.3013,-3298.4657,2648.6801,5321.7669,5872.9528,-1895.1157,1135.4403,3699.7312,-5575.4123,-144.8546,4424.9318,-3661.4949,-3433.6989,-6596.1261,-5929.4889,1574.0925,5100.9415,-6805.5897,-3530.6148,-1459.0225,5457.4445,-3199.0430,3193.5075,827.0013,1949.7648,-6160.5869,457.9130,-3944.1739,-2629.4083,1513.2716,-1016.9743,-573.0905,6884.8349,6861.0397,-3959.3690,394.2108,-5836.1517,5012.5378,-2420.3584,981.5447,-4166.7151,-3702.2471,2595.1899,-5312.7769,-2364.4935,5.7394,-5671.3979,5550.4074,-3886.0942,159433.5171,161988.5233,154500.4738,157602.9491,153901.3781,155969.4044,163211.6777,160445.3129,29696302.2359,29696073.9557,29685169.4227,29700350.1457,160102.6724,29694903.6883,-5503.2240,-3250.4423,-301.8089,-2483.1888,-3064.2614,-1608.7072,-3886.7603,5472.5884,-4537.9886,-4465.0867,-2636.8068,1185.4041,-2093.4324,3877.3010,-5198.5897,4494.2181,1384.5042,-3647.2402,4002.8287,-4173.6002,2515.8245,-5535.9272,-1139.3210,4320.3043,-1889.1315,-3369.3570,-3852.8862,-4694.4291,-4563.1010,-4977.9686,5216.9504,-4460.6322,3391.8684,3289.3954,3668.0872,59.8212,3209.6492,2450.8696,2718.6280,4712.5223,-4730.8185,-254.9966,-2414.8323,4228.4339,4154.9288,4368.0295,5518.4285,-4466.5107,2292.6725,5396.5124,1381.0517,-1808.5516,-5487.4737,-3599.9455,1733.4144,3299.1634,-5251.1736,982.7118,5283.6758,4141.0631,-6685.3190,4116.3291,1820.0706,-5421.5894,-1969.0442,2283.5856,2808.3475,4657.1953,517.8742,5534.8031,-6742.5662,4150.7105,-5382.6711,3934.0078,-4074.8253,-5234.7026,-3108.8428,4450.6657,-3751.2457,5321.1636,-5351.6686,-792.3810,-5119.2270,-630.9677,-787.0594,5397.0001,-4360.8140,3656.1913,-3644.1596,4541.9824,2325.7044,3849.3287,-1068.2270,-5500.5071,3984.3705,-4690.4421,5390.7017,3791.0397,866.7720,-5275.6001,167374.9108,165716.2526,163677.4640,172364.9211,169159.3436,158529.2499,159910.1204,164800.5167,72170855.3683,72192328.0763,72183472.7612,72165263.4702,165776.8821,72167374.8693,
300.000,2688.1285,5741.5689,-2497.1523,-3733.0599,-6591.0299,-3613.8984,3261.9586,-1654.9914,4166.4339,-4414.0117,-1926.0112,-3254.3892,-3141.1281,-4385.4833,-256.1133,-556.7164,1478.0191,-5301.1911,-6209.0843,-4993.9627,-3490.0302,-3592.6782,-327.9741,2602.0960,3872.7656,5320.6829,5830.2491,-5669.4317,4071.8864,5542.0418,-3621.0609,1004.2030,6509.9443,-4474.1114,5846.1348,6635.9676,3789.6280,86.6006,-2234.3564,-3579.8174,4547.4099,6022.1470,3279.0816,3629.2701,-5980.4404,-4545.1579,-4279.7688,-5932.6425,2722.3263,2706.3796,-1734.4457,-1135.5348,720.3203,6424.7287,5112.8761,2071.6981,2378.3882,-5967.5682,-363.5133,-901.5012,-3544.4727,5087.7649,-6372.4182,1138.8769,-404.1365,-4031.3305,-4696.9581,1483.0430,-1393.5248,-3887.4983,2816.8912,1029.6178,-4686.5485,4962.3717,4629.8481,-3088.7484,-891.1062,-4008.8689,-5620.6607,2688.8880,5172.5087,6081.0024,4958.7180,906.0143,1596.5832,-422.4250,-5279.5792,-2084.5375,-2173.4005,-5009.7088,-5439.5837,2048.4121,4582.7776,4699.7500,-550.2324,-5473.9984,3662.3524,-1476.3655,-2727.7794,-3537.2261,-315338.6276,-283803.4655,-301647.0556,-307467.0039,-300368.5576,-303838.8623,-299509.8956,-304590.5475,-247173395.0797,-247178421.0379,-247189178.9436,-247203081.5410,-302908.1504,-247193513.0712,-3359.1443,-3360.4321,6023.0017,5618.9896,1573.7307,-4974.7902,3566.1114,-4603.3661,-3820.4068,3687.0346,6594.1444,5099.4238,6167.4322,-2065.6864,-5434.6248,4425.6197,-6776.2911,-3922.6216,-1666.1480,-1200.6653,4732.7789,-2914.3386,-6734.8165,4371.5771,5744.1225,-563.3138,2922.0654,1916.4218,3736.6075,1354.1754,-2009.0336,-4374.5609,1050.8400,-3212.3471,-2755.1906,637.7278,5580.5895,5704.8913,5073.6112,-4036.5076,2650.7795,3195.6228,4789.3504,2860.8722,-2163.8226,4583.8150,1038.6308,-1648.1116,-5329.3717,3218.7053,6642.4405,5928.7396,-4535.8854,1611.4907,4660.7069,4425.8369,-3363.5809,2236.0518,4127.6804,-4084.8515,-1442.9178,3503.6071,-2698.5041,-4901.1659,-6916.0810,-5616.4067,2639.0881,4086.7457,-6280.2585,-2221.4443,-2269.6562,5028.9951,-2060.8075,1138.7989,-884.2748,3927.7974,-6644.3183,2016.8502,-2837.9726,-4470.1916,-246.7390,-2132.7906,-2496.8256,6438.2042,6244.8998,-4183.6640,2423.2932,-6244.7407,6236.2883,-313.2147,2454.6017,-4831.3916,-4401.3596,987.9828,-5042.9220,-479.6190,-2058.5806,-4536.7489,5805.9927,-2166.3617,152741.4624,156007.4713,148125.7555,151324.4185,147538.3937,149559.7231,156878.7409,154010.1828,24305256.7272,24305205.7491,24293853.5203,24308669.6375,153774.3761,24303766.1506,-5425.0208,-1622.3526,-2081.8933,-1045.5298,-1407.0193,-2959.7921,-4954.9251,4909.0324,-3908.4265,-3757.6657,-924.7976,2885.7555,-327.1101,4943.1473,-4303.1339,5294.4570,-147.3421,-2102.7568,2549.7442,-4670.1668,3671.5668,-5150.1273,420.9460,4706.7207,-390.7432,-4239.5766,-2363.9196,-3496.3256,-4005.9547,-3923.1918,5533.9978,-5280.4876,2149.2102,4207.5718,2510.8372,1848.2658,1582.2704,3920.9766,4132.6230,4350.0971,-4526.1924,1280.7992,-3592.2031,5152.8682,2752.4661,2579.1737,5340.4577,-3166.5728,3503.0457,5496.1556,-158.2412,-3400.7675,-5103.9142,-2050.0836,-61.9522,4933.1648,-5482.0733,2692.7121,5531.8900,5541.4030,-5800.3676,3147.8176,29.7231,-4756.9659,-193.7978,534.0485,4195.1026,5374.2052,2281.6155,5267.8341,-5934.3614,4657.3609,-4674.2681,4530.0377,-5070.4180,-4506.4175,-1794.1539,5272.9320,-2632.7792,4549.7646,-4606.8560,-2523.3956,-4156.5403,-2377.2125,-2518.5999,5490.9196,-3581.1782,2113.9460,-2104.2525,4610.1364,3528.1405,4527.6261,-2764.5766,-4998.7295,4550.4861,-4239.5284,5501.1755,4873.5402,2589.5385,-5542.3469,167393.9132,165764.3856,163781.2598,172329.8012,169389.7493,158746.5487,159775.0692,165303.8091,72173140.5846,72194861.3100,72185906.8438,72168263.6163,165838.3944,72169911.7817,
600.000,1260.3048,5182.6585,-974.8486,-2404.7951,-6330.1853,-4484.3929,3914.0609,-3539.8798,3139.3841,-3490.2508,-738.2375,-1506.9645,-1954.6241,-4229.7800,-1863.0323,1535.7783,-56.3519,-6211.3903,-6850.8308,-5047.9346,-1508.0977,-5196.7927,-1823.1299,4249.3245,4967.9390,4359.8400,6641.6804,-5710.9480,5580.7153,6475.8892,-4489.5996,-1123.9023,6887.9065,-4979.7116,5337.7043,5960.5816,4848.2022,1600.6944,-327.8599,-5217.2926,5701.3706,6202.0848,4286.4478,4096.7649,-6770.3341,-4383.8479,-4169.1541,-6736.8636,734.4639,4378.8771,-188.0795,476.0959,-1072.4157,6912.7497,5653.6681,2301.8411,572.7625,-4585.2533,1785.9286,-1728.0352,-4769.1009,6287.5269,-6530.4025,-389.8124,-1583.5210,-4888.6618,-2889.6540,3167.1648,-2475.7702,-5253.7037,4520.4903,3000.5596,-5953.3566,4904.6140,3306.2477,-2145.3656,-2427.7124,-2369.7669,-6550.8314,1602.7427,5735.3651,4758.9779,4826.0533,2069.8005,2640.3308,-2539.1752,-4819.4066,-3344.5127,-1049.3673,-5085.0117,-3902.5095,-85.5522,2941.8974,5647.0654,-2595.8302,-5915.3257,2678.0991,-2908.3511,-1121.9091,-4544.7940,-318315.3716,-287028.4849,-304919.2084,-310601.7163,-303465.9617,-306962.1472,-302724.5617,-307818.6917,-247641999.0987,-247646714.8044,-247657232.3067,-247671859.9056,-306049.8571,-247662148.9541,-4862.1326,-4469.0954,5721.1775,6366.3662,2764.3958,-3262.2170,1561.1122,-4573.9372,-5407.4425,5296.0362,6833.1310,4960.2275,6479.8351,38.3988,-5995.5091,3874.0339,-6736.3656,-3033.1321,-498.8591,950.9033,5108.6011,-1781.4246,-6209.5211,2985.1126,4702.8045,-2471.6462,1897.6938,3422.0180,2536.1568,52.1491,-30.4397,-4015.1005,-480.6768,-1168.9084,-4293.3819,-694.4997,4947.9703,4542.6952,4653.4217,-2902.2056,967.5231,1562.6011,3025.8234,767.6011,-1048.8974,5374.0786,3079.4409,-459.5184,-5356.7278,1913.8283,6657.3256,5134.6787,-5356.1581,438.3031,3535.5579,2524.9201,-4538.5075,3145.0245,4207.8514,-2200.0933,-2652.1537,2273.4327,-1467.6466,-5912.3728,-6552.1094,-4752.4994,3479.6476,2711.7606,-5105.4594,-742.4598,-2761.3477,4154.8036,-769.1497,-1035.4816,-2550.2056,5485.4850,-6493.0745,3425.0756,-1468.9226,-5877.3629,-1945.5230,-3065.3674,-4151.8316,5356.4616,5009.9056,-4055.2115,4191.6823,-6044.2856,6841.5492,1815.3807,3722.9039,-5072.1911,-4693.6734,-673.1785,-4300.4382,1425.7864,-3940.2233,-2961.9652,5504.3594,-266.7252,145989.1895,149956.9639,141686.4808,144980.0323,141113.7041,143085.1018,150474.1247,147483.2547,18902760.2145,18902900.6231,18891111.0028,18905516.9966,147379.1825,18901176.0981,-4765.7877,185.9451,-3630.4558,509.3579,401.6496,-3978.9710,-5491.5429,3820.7745,-2850.0425,-2637.4770,886.2856,4244.6813,1474.2809,5479.1206,-2948.6520,5527.3265,-1663.4581,-332.1211,821.7813,-4669.8765,4434.6695,-4212.2484,1932.4976,4590.0079,1149.3712,-4635.4548,-622.3731,-1924.0516,-3000.3312,-2447.4346,5255.3867,-5536.2158,676.7335,4675.7806,1084.9164,3437.5396,-214.8486,4970.1706,5101.5044,3522.4173,-3839.9467,2679.6380,-4367.2953,5524.6678,1055.0969,516.4703,4590.0223,-1526.6074,4339.0233,5006.3545,-1680.1182,-4628.6226,-4159.6851,-280.8589,-1850.6672,6042.9726,-5108.8312,4112.7388,5184.6389,6353.2414,-4301.2408,1842.6114,-1763.8489,-3582.5031,1602.2011,-1272.6849,5112.8519,5512.7875,3789.5160,4434.0571,-4498.1759,4666.2358,-3466.5734,4616.8763,-5522.4566,-3252.0899,-287.9474,5530.3825,-1219.0811,3290.1001,-3369.5981,-3982.9502,-2750.1515,-3867.9194,-3979.1639,4994.8472,-2400.2001,343.6015,-338.9549,4160.2399,4353.2453,4721.8725,-4164.6899,-3963.0845,4605.0847,-3337.0204,5022.0585,5409.7315,4033.3654,-5215.2694,167412.4593,165812.4124,163888.8613,172289.5643,169616.4921,158969.2057,159645.9723,165848.3584,72175424.1219,72197390.4595,72188332.1463,72171268.4684,165899.7959,72172448.4751,
