sl_20_5400_20241015 Coordinates.csv
2024/10/15 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:27 2024,
Start: 2024/10/15 07:47:00.00, Stop: 2024/10/15 09:17:00.00,
TIME_UNITS,STARLINK-11261 [DTC] - X-Coordinate,STARLINK-30340 - X-Coordinate,STARLINK-30473 - X-Coordinate,STARLINK-4325 - X-Coordinate,STARLINK-11097 [DTC] - X-Coordinate,STARLINK-5901 - X-Coordinate,STARLINK-5913 - X-Coordinate,STARLINK-31362 - X-Coordinate,STARLINK-2500 - X-Coordinate,STARLINK-3565 - X-Coordinate,STARLINK-2160 - X-Coordinate,STARLINK-6268 - X-Coordinate,STARLINK-5894 - X-Coordinate,STARLINK-2728 - X-Coordinate,STARLINK-30137 - X-Coordinate,STARLINK-5698 - X-Coordinate,STARLINK-3607 - X-Coordinate,STARLINK-6285 - X-Coordinate,STARLINK-1580 - X-Coordinate,STARLINK-5238 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11261 [DTC] - Y-Coordinate,STARLINK-30340 - Y-Coordinate,STARLINK-30473 - Y-Coordinate,STARLINK-4325 - Y-Coordinate,STARLINK-11097 [DTC] - Y-Coordinate,STARLINK-5901 - Y-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-31362 - Y-Coordinate,STARLINK-2500 - Y-Coordinate,STARLINK-3565 - Y-Coordinate,STARLINK-2160 - Y-Coordinate,STARLINK-6268 - Y-Coordinate,STARLINK-5894 - Y-Coordinate,STARLINK-2728 - Y-Coordinate,STARLINK-30137 - Y-Coordinate,STARLINK-5698 - Y-Coordinate,STARLINK-3607 - Y-Coordinate,STARLINK-6285 - Y-Coordinate,STARLINK-1580 - Y-Coordinate,STARLINK-5238 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11261 [DTC] - Z-Coordinate,STARLINK-30340 - Z-Coordinate,STARLINK-30473 - Z-Coordinate,STARLINK-4325 - Z-Coordinate,STARLINK-11097 [DTC] - Z-Coordinate,STARLINK-5901 - Z-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-31362 - Z-Coordinate,STARLINK-2500 - Z-Coordinate,STARLINK-3565 - Z-Coordinate,STARLINK-2160 - Z-Coordinate,STARLINK-6268 - Z-Coordinate,STARLINK-5894 - Z-Coordinate,STARLINK-2728 - Z-Coordinate,STARLINK-30137 - Z-Coordinate,STARLINK-5698 - Z-Coordinate,STARLINK-3607 - Z-Coordinate,STARLINK-6285 - Z-Coordinate,STARLINK-1580 - Z-Coordinate,STARLINK-5238 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-6111.1521,-5500.8118,1942.4067,-5187.6233,-186.0123,-6743.7509,-81.9773,-4526.3265,-6033.4522,-6839.1146,6581.8403,-4730.2354,6115.9409,5468.2267,5217.5142,-5053.9184,-6043.7871,5360.5557,4839.8666,5322.1401,308800.0512,300159.2717,309568.1953,307457.1977,309640.3532,308419.4846,300314.0419,303733.0857,-140084122.1220,-140095807.9565,-140091600.4455,-140107311.3441,304066.2928,-140099228.4749,-1143.7470,-1151.1256,5474.5225,-3751.8129,5752.1034,-1616.2564,-2422.8530,4082.1591,2764.7139,-850.9394,-1095.2297,-4645.8591,3235.3053,2461.3240,1648.5302,621.6355,-767.2164,135.6341,2818.8185,3543.5899,-198347.2816,-172697.2506,-188777.0875,-194730.8034,-186918.7925,-190609.8999,-188022.1821,-188982.8534,-72111458.5533,-72089925.6623,-72081089.6902,-72104080.9653,-190665.6415,-72103235.9827,2591.0030,-4072.5058,3781.0162,2678.6733,3496.4286,180.2036,-6519.2380,3128.3403,-1985.3370,608.5103,-1863.6519,2027.9943,-679.3292,-3472.2121,-4270.4427,-4717.2444,3271.0140,-4406.9694,4064.3964,2631.8675,-27182.8609,-27983.2707,-29599.8488,-21256.8834,-23993.9185,-34673.4886,-33729.7953,-26990.3394,65357774.7186,65337985.1261,65357236.7483,65358153.3869,-27627.1575,65368800.5068,
300.000,-5382.4505,-6186.5681,3390.1174,-3955.7321,1337.7372,-6804.9288,-2219.9348,-2794.9162,-4753.9117,-6489.6332,6515.6518,-5309.1267,5919.3051,6517.9114,6056.3862,-4459.7850,-5155.9562,4716.2803,4636.3441,6324.4941,312931.4815,303800.5370,313578.2824,311359.2570,313612.3777,312442.2373,304291.3288,307505.1080,-138472740.1102,-138484744.1961,-138480901.3556,-138495945.5642,308017.3422,-138487896.3767,372.3801,633.5926,4042.9089,-3399.4287,4660.0241,-99.4385,-2667.9374,4411.6187,3581.1775,406.3933,-2347.0740,-2998.7235,2421.4057,1388.0454,-127.6956,2686.6021,767.8273,-1893.2190,890.4434,2646.9777,-191560.1960,-166377.0430,-182450.4036,-188283.0345,-180423.3015,-184124.9597,-181641.0317,-182470.0208,-75153155.5208,-75131813.3818,-75122666.8605,-75146331.2259,-184216.5770,-75144866.9734,4027.9969,-3079.4201,4492.9538,4573.7255,4670.2247,-1352.7478,-6027.9295,4430.7767,-3547.1728,2356.6618,-80.9823,3296.4801,-2729.5373,-1894.7551,-3386.6398,-4590.1437,4539.7862,-4727.3696,5056.9345,913.5368,-27075.8335,-27840.6502,-29390.9363,-21204.3064,-23675.3712,-34355.1317,-33762.7555,-27292.1025,65356018.4952,65336152.8474,65355091.1814,65356381.7509,-27471.1308,65366925.7468,
600.000,-4096.8350,-6293.1778,4548.5502,-2329.6625,2764.8204,-6211.0641,-4118.6213,-761.6060,-2997.4108,-5500.0646,5803.9403,-5402.4855,5140.8473,6922.6458,6330.8714,-3479.1380,-3782.8506,3658.7515,4025.0988,6694.1994,316910.3440,307309.0594,317448.9957,315123.4995,317442.9686,316325.1070,308136.5333,311176.8994,-136795331.1078,-136807644.1223,-136804178.5604,-136818519.8316,311831.5908,-136810540.5305,1889.4762,2333.8045,2238.8920,-2624.5820,3093.0337,1439.6186,-2721.6962,4338.1059,4083.1052,1649.5156,-3365.4919,-1047.5762,1331.0922,198.7378,-1865.9918,4502.0103,2270.1890,-3759.2111,-1150.7563,1496.8499,-184682.5263,-159981.1753,-176041.8447,-181754.2371,-173846.9071,-177555.1129,-175177.9713,-176006.7460,-78158864.3352,-78137721.5334,-78128279.7955,-78152591.4314,-177685.6467,-78150511.8475,4995.4069,-1757.8521,4724.3340,5981.1590,5299.7146,-2741.2201,-4900.3539,5242.3992,-4729.0409,3850.7423,1710.3585,4212.1629,-4490.2927,-114.0612,-2141.7600,-3974.4315,5319.3834,-4544.6138,5506.2635,-903.3440,-26969.0359,-27697.9811,-29178.3467,-21156.7526,-23360.3966,-34031.2110,-33789.7353,-27606.6559,65354267.1963,65334323.6955,65352948.1689,65354627.1916,-27315.0821,65365050.9795,
900.000,-2400.0794,-5801.3412,5307.1815,-498.7997,3947.1158,-5024.0072,-5587.1367,1367.1319,-936.8338,-3973.5097,4510.2812,-5009.8209,3873.7500,6641.3495,6005.8107,-2200.4912,-2066.9961,2288.5233,3071.9338,6401.2998,320734.3237,310683.2905,321178.5568,318748.1787,321130.6914,320066.1065,311847.7869,314762.7928,-135052698.3929,-135065310.7459,-135062234.4577,-135075837.4757,315507.3425,-135067964.1236,3253.1538,3794.8207,239.0603,-1496.4876,1225.2038,2865.1608,-2563.3927,3878.5851,4234.9371,2771.1382,-4068.4912,1021.4324,56.0615,-1009.0476,-3407.4852,5890.4563,3597.2994,-5280.8405,-3103.4460,188.1812,-177717.6293,-153512.4362,-169554.2531,-175147.2326,-167192.5757,-170903.4198,-168635.5678,-169589.8239,-81127151.9589,-81106216.7825,-81096495.5783,-81121426.3564,-171075.7528,-81118737.7053,5380.7364,-248.5281,4450.5026,6751.5642,5311.7555,-3837.2669,-3254.7314,5473.5185,-5405.1906,4929.7770,3317.8228,4677.1985,-5775.8110,1678.8549,-668.2174,-2935.2504,5525.9922,-3877.9882,5364.2016,-2622.9164,-26862.4518,-27555.2626,-28962.1878,-21114.3252,-23048.9865,-33701.6541,-33810.8213,-27900.1283,65352520.7661,65332497.7128,65350807.7724,65352889.7239,-27159.0115,65363176.2049,
1200.000,-478.7732,-4749.2410,5589.7478,1330.2149,4756.5012,-3362.4575,-6479.5894,3372.9832,1224.3091,-2066.0441,2757.8539,-4173.8042,2257.5548,5702.2566,5103.2591,-737.1385,-181.4219,731.8765,1870.2815,5482.6711,324401.1521,313921.7408,324765.2503,322231.6002,324674.1594,323663.3021,315423.2817,318273.2335,-133245676.3414,-133258578.1838,-133255902.5386,-133268733.0448,319042.9628,-133261001.4353,4319.5593,4886.5682,-1763.3724,-130.1525,-740.8263,4049.9069,-2187.1136,3083.0114,4029.9347,3671.4114,-4403.8254,3008.8436,-1287.9790,-2135.8276,-4614.0429,6714.7254,4618.4030,-6307.5657,-4772.1726,-1167.1501,-170668.9242,-146973.6455,-162990.5099,-168464.8681,-160463.3066,-164172.9929,-162016.4449,-163206.7819,-84056603.2741,-84035883.7054,-84025899.1805,-84051418.6759,-164389.8331,-84048129.5635,5139.2119,1287.3509,3700.7110,6803.4413,4704.9078,-4524.4727,-1264.3948,5098.5655,-5503.9848,5477.6810,4568.6380,4641.9808,-6451.2025,3291.3161,876.7373,-1582.9074,5137.3600,-2798.0628,4645.8556,-4060.3158,-26756.0618,-27412.4934,-28742.5740,-21077.1330,-22741.1307,-33366.3858,-33826.0976,-28139.6042,65350779.1467,65330674.9424,65348670.0537,65351169.3575,-27002.9192,65361301.4230,
1500.000,1460.3559,-3230.0928,5362.0322,2956.9165,5098.7545,-1389.6621,-6710.2916,5048.2184,3271.9239,29.7020,717.3345,-2975.4639,462.3131,4200.0412,3701.6769,782.4849,1687.8803,-870.4804,532.0831,4036.9597,327908.6047,317022.9801,328207.4244,325572.1221,328072.0363,327114.8133,318861.2709,321713.4451,-131375130.0278,-131388311.2596,-131386046.9890,-131398071.9088,322436.8796,-131390517.4379,4970.4527,5515.2763,-3577.2779,1325.5409,-2595.8586,4886.0726,-1604.9828,2028.8210,3489.6867,4266.5555,-4352.2274,4721.2134,-2571.7400,-3088.0719,-5380.7691,6891.7593,5227.4229,-6734.8746,-5987.0183,-2449.7765,-163539.8934,-140367.6536,-156353.5338,-161710.0147,-153662.1311,-157366.9964,-155323.2801,-156836.7608,-86945821.7580,-86925325.4637,-86915094.1360,-86941169.6436,-157630.8587,-86937291.0292,4298.8112,2685.4580,2555.0546,6131.3663,3549.6153,-4730.0447,860.0492,4158.8383,-5015.0380,5435.5614,5328.5427,4110.3132,-6445.9481,4550.0466,2327.8753,-61.4623,4195.1280,-1419.5346,3428.1048,-5061.6668,-26649.8432,-27269.6723,-28519.6264,-21045.2902,-22436.8178,-33025.3285,-33835.6452,-28295.2748,65349042.2779,65328855.4283,65346535.0745,65349466.0952,-26846.8052,65359426.6337,
1800.000,3212.6696,-1383.9490,4636.1424,4208.9599,4924.7979,702.7529,-6262.6677,6217.3623,5002.2397,2104.2039,-1410.1302,-1526.3034,-1329.3427,2285.8260,1929.2762,2225.8182,3360.3206,-2375.8664,-822.4806,2213.3179,331254.4995,319985.6379,331503.4924,328768.1547,331323.0375,330418.8131,322160.0697,325082.3935,-129441954.8110,-129455405.0899,-129453562.2765,-129464749.8485,325687.5835,-129457407.3824,5126.4411,5631.4629,-5031.9765,2704.0569,-4146.4427,5294.8086,-848.8634,813.5388,2661.8139,4496.4882,-3927.5769,5990.0189,-3664.5685,-3785.6227,-5645.1292,6401.5550,5354.1666,-6515.3881,-6621.2475,-3543.1020,-156334.0836,-133697.3394,-149646.2795,-154885.5646,-146792.1102,-150488.6459,-148558.8024,-150451.9932,-89793430.1487,-89773164.4706,-89762703.2073,-89789299.7606,-150801.8335,-89784844.9655,2957.1643,3796.1644,1136.0361,4806.5030,1980.2996,-4432.2177,2893.1497,2758.1395,-3990.2108,4807.8641,5516.0854,3138.9944,-5760.6845,5319.9683,3529.9006,1466.5341,2800.5492,110.6743,1841.6232,-5520.2660,-26543.7688,-27126.7983,-28293.4725,-21018.9171,-22136.0354,-32678.4020,-33839.5421,-28342.6190,65347310.0972,65327039.2152,65344402.8967,65347779.9321,-26690.6698,65357551.8372,
2100.000,4597.3422,615.4194,3470.6211,4960.5627,4237.8642,2713.2252,-5190.4519,6756.0389,6241.9464,3952.0389,-3412.9467,41.9650,-2940.5098,151.4639,-47.8742,3467.6317,4678.3146,-3652.2367,-2075.6440,195.6194,334436.6942,322808.4048,334651.9331,331818.1597,334425.9321,333573.5272,325318.0552,328372.1984,-127447075.9054,-127460784.6557,-127459372.7228,-127469692.6294,328793.6292,-127462596.3701,4756.9927,5233.4405,-5993.5266,3840.2441,-5235.3374,5233.4493,30.0253,-453.9724,1616.1015,4330.9337,-3174.3602,6688.4605,-4447.5495,-4168.0481,-5391.7576,5289.7319,4972.7191,-5664.5745,-6605.0847,-4343.5294,-149055.1082,-126965.6097,-142871.7368,-147994.4290,-139856.3335,-143541.2085,-141725.7896,-144019.9107,-92598071.1014,-92578043.0479,-92567369.0420,-92594449.4362,-143905.7925,-92589434.1486,1270.5142,4500.7068,-404.5170,2969.4594,179.9314,-3662.4513,4619.0591,1051.5680,-2538.4337,3661.9459,5111.1363,1831.8553,-4467.1071,5518.5868,4354.2694,2837.5662,1103.8463,1629.0216,56.9973,-5387.4411,-26437.8064,-26983.8701,-28064.2455,-20998.1400,-21838.7703,-32325.5241,-33837.8631,-28264.4878,65345582.5402,65325226.3485,65342273.5825,65346110.8546,-26534.5129,65355677.0334,
2400.000,5476.3804,2577.1141,1966.0691,5145.6072,3095.2737,4449.4419,-3610.9685,6604.8194,6865.8426,5392.3856,-5090.1703,1589.2727,-4217.2981,-1989.9868,-2041.6690,4400.8036,5522.4347,-4589.7472,-3122.1933,-1816.0269,337453.0823,325490.0322,337651.2921,334720.6505,337379.5441,336577.2339,328333.6677,331568.1485,-125391447.9383,-125405404.3604,-125404432.0622,-125413855.5629,331753.6355,-125407038.9101,3885.7806,4366.2088,-6377.2348,4590.2679,-5757.8367,4700.0667,963.7848,-1663.0173,439.1782,3773.4544,-2162.9451,6744.4996,-4826.4833,-4199.5625,-4652.6337,3663.2704,4105.8383,-4260.1089,-5933.8276,-4769.9544,-141706.6496,-120175.3976,-136032.9288,-141039.5352,-132857.9179,-136528.0031,-134827.0660,-137505.8525,-95358407.8360,-95338624.0728,-95327754.8194,-95355279.6381,-136945.8006,-95349721.9138,-564.3862,4723.8576,-1901.8508,815.7811,-1641.4526,-2502.2828,5854.8703,-771.6325,-814.6144,2121.0828,4156.9871,328.7354,-2701.0089,5124.6089,4712.9572,3904.8995,-711.9508,2973.0014,-1733.7860,-4677.3692,-26331.9177,-26840.8865,-27832.0848,-20983.0921,-21545.0090,-31966.6106,-33830.6802,-28052.8927,65343859.5404,65323416.8744,65340147.1940,65344458.8382,-26378.3347,65353802.2223,
