TIME_UNITS,STARLINK-1601 - X-Coordinate,STARLINK-31648 - X-Coordinate,STARLINK-11176 [DTC] - X-Coordinate,STARLINK-11144 [DTC] - X-Coordinate,STARLINK-2112 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1601 - Y-Coordinate,STARLINK-31648 - Y-Coordinate,STARLINK-11176 [DTC] - Y-Coordinate,STARLINK-11144 [DTC] - Y-Coordinate,STARLINK-2112 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1601 - Z-Coordinate,STARLINK-31648 - Z-Coordinate,STARLINK-11176 [DTC] - Z-Coordinate,STARLINK-11144 [DTC] - Z-Coordinate,STARLINK-2112 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
2700.000,-5588.6540,-2631.3551,-3209.1741,-170.4114,2345.8382,-71121.9690,-49579.6227,-55282.5161,-59503.9190,-52756.9262,-56095.1485,-51587.8239,-56498.2548,-255119901.2806,-255090846.3571,-255105668.3181,-255126237.0999,-54763.5217,-255126172.4089,-2019.4269,-4948.8124,-4693.0585,4675.2588,5229.7645,-342898.0988,-336650.1449,-350996.1355,-346478.1050,-351768.5005,-349711.7410,-342586.6335,-345075.7326,-9856809.6407,-9841999.8429,-9856113.0292,-9832710.7213,-345089.2824,-9841028.1839,3574.6830,3935.2786,-3676.8909,4842.0752,-3894.3182,-121047.9996,-122689.5798,-125764.3592,-118610.8601,-119403.8708,-129824.7040,-131572.8258,-123814.6510,65762557.2815,65792392.1649,65771808.0044,65763227.1547,-124161.6086,65773915.0605,
3000.000,-6580.0954,-4249.4535,-4746.4487,1741.9635,3271.9188,-63847.5560,-42300.7210,-48147.9575,-52229.1555,-45452.7753,-48794.9298,-44402.5331,-49063.0935,-254841334.4937,-254811978.3490,-254826641.0071,-254848217.3231,-47500.4926,-254847537.3775,-861.3599,-4773.8511,-4327.2693,3691.4343,3572.3992,-344446.3410,-337562.8434,-352110.8660,-347526.7701,-352878.6347,-350877.6087,-343728.0978,-346319.2697,-15424029.7368,-15408530.1033,-15422853.9754,-15399896.5947,-346197.2918,-15408292.1895,2019.7305,2466.4191,-2138.8322,5353.0235,-4956.0567,-120968.2251,-122572.0963,-125582.0975,-118646.9879,-119157.1641,-129508.4634,-131609.2746,-123244.1656,65765490.6423,65795268.1161,65774517.9155,65766327.3805,-124052.5527,65776946.4010,
3300.000,-6925.1570,-5417.3196,-5767.4544,3503.5278,3930.8220,-56537.7529,-35007.6301,-40989.8034,-44931.4845,-38126.6397,-41468.9955,-37193.9699,-41475.9820,-254441298.6358,-254411657.0293,-254426160.9264,-254448728.6992,-40215.0233,-254447431.5926,358.8893,-4134.0347,-3523.5126,2361.1087,1570.5110,-345840.2782,-338321.6504,-353069.9117,-348421.1926,-353832.5793,-351885.8638,-344720.6686,-347389.8969,-20983778.2252,-20967575.6034,-20982106.7213,-20959643.3567,-347152.4507,-20968081.1487,248.9020,724.0269,-355.0140,5240.7297,-5488.1162,-120888.6538,-122455.1432,-125396.8360,-118689.1500,-118913.8476,-129185.9567,-131640.2672,-122738.1778,65768428.9721,65798142.7530,65777228.1746,65769443.8197,-123943.4091,65779977.5305,
3600.000,-6588.0016,-6025.7213,-6172.4303,4922.4988,4263.7213,-49195.8201,-27703.5015,-33811.2140,-37613.8961,-30781.8436,-34120.7282,-29965.0981,-33764.7312,-253919987.1209,-253890076.2671,-253904422.0841,-253927962.5609,-32910.3301,-253926048.6183,1540.9035,-3077.8123,-2348.1828,827.2810,-576.2176,-347079.0597,-338926.2777,-353872.7602,-349160.8524,-354630.0434,-352735.5793,-345563.7886,-348272.7683,-26533405.1823,-26516486.8092,-26531221.9533,-26509301.0809,-347954.3042,-26517745.0690,-1548.5446,-1098.6681,1469.6254,4518.1360,-5434.1930,-120809.2864,-122338.6934,-125208.7196,-118737.5052,-118673.9101,-128857.0963,-131665.8670,-122328.8536,65771372.3128,65801016.0950,65779938.8522,65772576.3236,-123834.1779,65783008.4491,
3900.000,-5601.3831,-6024.5277,-5928.5135,5839.8139,4237.0246,-41825.0384,-20391.4973,-26615.3632,-30279.3629,-23421.7149,-26753.5405,-22718.9033,-25966.6709,-253277651.1642,-253247487.7231,-253261676.2676,-253286168.0432,-25589.6388,-253283639.8229,2588.6002,-1696.2250,-907.7542,-751.1565,-2655.1370,-348161.9031,-339376.5084,-354518.9685,-349745.2866,-355270.7981,-353425.8679,-346256.9621,-348957.1694,-32070265.5669,-32052619.0834,-32067555.2602,-32046224.6113,-348602.4648,-32054638.8461,-3180.7636,-2799.6987,3124.9846,3269.0707,-4800.0778,-120730.1239,-122222.7216,-125017.8988,-118792.2202,-118437.3406,-128521.7951,-131686.1348,-122040.3499,65774320.7040,65803888.1612,65782650.0187,65775724.7412,-123724.8591,65786039.1567,
4200.000,-4063.1060,-5426.4091,-5072.2033,6147.3430,3845.7307,-34428.7087,-13074.7884,-19405.4365,-22930.8345,-16049.5839,-19370.8747,-15458.3912,-18125.3149,-252514599.6618,-252484200.7284,-252498232.9217,-252523651.9656,-18256.1830,-252520514.2580,3417.6766,-115.1557,660.6020,-2215.7792,-4461.4069,-349088.0944,-339672.1960,-355008.1634,-350174.0898,-355754.6778,-353955.8797,-346799.7553,-349437.7774,-37591720.4799,-37573333.9458,-37588468.3927,-37567774.8232,-349096.6128,-37576123.5250,-4474.1145,-4191.1350,4420.4187,1638.8303,-3653.0493,-120651.1674,-122107.2043,-124824.5286,-118853.4695,-118204.1286,-128179.9678,-131701.1283,-121886.5330,65777274.1829,65806758.9705,65785361.7432,65778888.9184,-123615.4529,65789069.6534,
4500.000,-2125.6685,-4303.6148,-3703.9091,5801.2208,3114.9685,-27010.1497,-5756.5523,-12184.6302,-15571.2323,-8668.7821,-11976.2034,-8186.5858,-10286.3565,-251631199.0420,-251600582.1357,-251614459.0001,-251640778.6874,-10913.2026,-251637038.5096,3961.8425,1516.2499,2202.1036,-3424.5601,-5818.0575,-349856.9889,-339813.2649,-355340.0421,-350446.9133,-356081.5800,-354324.7981,-347191.7969,-349715.2266,-43095138.4223,-43076000.3310,-43091330.5209,-43071319.8806,-349436.4968,-43079567.5575,-5291.6121,-5119.9232,5206.9338,-182.5540,-2115.1249,-120572.4177,-121992.1193,-124628.7691,-118921.4357,-117974.2636,-127831.5319,-131710.9025,-121869.8476,65780232.7845,65809628.5414,65788074.0947,65782068.6981,-123505.9593,65792099.9391,
4800.000,19.3937,-2778.7029,-1975.6577,4828.2668,2099.3231,-19572.6971,1560.0282,-4956.1497,-8203.4432,-1282.6408,-4573.0296,-906.5273,-2493.5787,-250627873.0894,-250597056.1427,-250610778.7882,-250637969.9344,-3563.9425,-250633636.5221,4177.4554,3039.6412,3559.6469,-4265.7253,-6593.6060,-350468.0114,-339799.7093,-355514.3726,-350563.4641,-356251.4663,-354531.8352,-347432.7784,-349795.9184,-48577896.5496,-48557995.8418,-48573519.4867,-48554236.4908,-349621.9333,-48562348.0563,-5547.0470,-5484.3624,5394.2086,-1982.6948,-350.5330,-120493.8759,-121877.4460,-124430.7845,-118996.3091,-117747.7360,-127476.4106,-131715.5100,-121981.4415,65783196.5410,65812496.8923,65790787.1411,65785263.9189,-123396.3783,65795130.0137,
5100.000,2160.5621,-1010.7842,-73.8299,3324.2328,879.5972,-12119.7018,8871.7676,2276.7920,-830.3117,6105.5102,2835.1124,6378.7295,5214.7694,-249505102.7419,-249474104.0887,-249487673.7002,-249515704.6001,3788.3489,-249510789.3952,4046.4642,4302.5763,4589.7286,-4667.9121,-6715.3468,-350920.6567,-339631.5933,-355530.9935,-350523.5047,-356264.3627,-354576.2272,-347522.4545,-349691.1541,-54037381.9212,-54016707.9990,-54032423.0540,-54013911.1534,-349652.8072,-54021852.0457,-5213.5978,-5244.6983,4960.7055,-3552.0998,1451.6467,-120415.5431,-121763.1650,-124230.7433,-119078.2871,-117524.5363,-127114.5345,-131715.0003,-122202.4198,65786165.4824,65815364.0411,65793500.9501,65788474.4152,-123286.7101,65798159.8774,
5400.000,4086.9564,821.0232,1801.0192,1443.9529,-443.0470,-4654.5286,16175.4787,9510.9759,6545.3678,13492.3436,10244.6558,13666.1168,12808.7397,-248263425.8606,-248232264.2237,-248245682.0476,-248274518.5178,11140.4209,-248269035.1525,3577.7176,5173.4470,5177.5854,-4605.4887,-6176.5916,-351214.4900,-339309.0507,-355389.8153,-350326.8525,-356120.3598,-354457.2279,-347460.6436,-349415.7679,-59470992.7462,-59449535.4866,-59465440.1521,-59447741.4063,-349529.0716,-59455477.7059,-4326.4399,-4427.1582,3956.0763,-4708.8650,3097.9329,-120337.4202,-121649.2579,-124028.8175,-119167.5737,-117304.6562,-126745.8461,-131709.4208,-122505.9307,65789139.6363,65818230.0056,65796215.5886,65791700.0157,-123176.9548,65801189.5301,
