sl_100_5400_20240821 Coordinates.csv
2024/08/21 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:37 2024,
Start: 2024/08/21 07:47:00.00, Stop: 2024/08/21 09:17:00.00,
TIME_UNITS,STARLINK-30316 - X-Coordinate,STARLINK-31107 - X-Coordinate,STARLINK-30951 - X-Coordinate,STARLINK-11259 [DTC] - X-Coordinate,STARLINK-1236 - X-Coordinate,STARLINK-4108 - X-Coordinate,STARLINK-3608 - X-Coordinate,STARLINK-1352 - X-Coordinate,STARLINK-5205 - X-Coordinate,STARLINK-31571 - X-Coordinate,STARLINK-3044 - X-Coordinate,STARLINK-2420 - X-Coordinate,STARLINK-4042 - X-Coordinate,STARLINK-31397 - X-Coordinate,STARLINK-2659 - X-Coordinate,STARLINK-30521 - X-Coordinate,STARLINK-31744 - X-Coordinate,STARLINK-30497 - X-Coordinate,STARLINK-32022 - X-Coordinate,STARLINK-2312 - X-Coordinate,STARLINK-3973 - X-Coordinate,STARLINK-30918 - X-Coordinate,STARLINK-6353 - X-Coordinate,STARLINK-5470 - X-Coordinate,STARLINK-2399 - X-Coordinate,STARLINK-5270 - X-Coordinate,STARLINK-30231 - X-Coordinate,STARLINK-2467 - X-Coordinate,STARLINK-3054 - X-Coordinate,STARLINK-30375 - X-Coordinate,STARLINK-1938 - X-Coordinate,STARLINK-30466 - X-Coordinate,STARLINK-4513 - X-Coordinate,STARLINK-31960 - X-Coordinate,STARLINK-31420 - X-Coordinate,STARLINK-2672 - X-Coordinate,STARLINK-30147 - X-Coordinate,STARLINK-5686 - X-Coordinate,STARLINK-31239 - X-Coordinate,STARLINK-30088 - X-Coordinate,STARLINK-31953 - X-Coordinate,STARLINK-30452 - X-Coordinate,STARLINK-1206 - X-Coordinate,STARLINK-30269 - X-Coordinate,STARLINK-5809 - X-Coordinate,STARLINK-32137 - X-Coordinate,STARLINK-5384 - X-Coordinate,STARLINK-30615 - X-Coordinate,STARLINK-31962 - X-Coordinate,STARLINK-4059 - X-Coordinate,STARLINK-6138 - X-Coordinate,STARLINK-1325 - X-Coordinate,STARLINK-5118 - X-Coordinate,STARLINK-1256 - X-Coordinate,STARLINK-32097 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-31844 - X-Coordinate,STARLINK-2706 - X-Coordinate,STARLINK-5440 - X-Coordinate,STARLINK-5817 - X-Coordinate,STARLINK-31971 - X-Coordinate,STARLINK-1563 - X-Coordinate,STARLINK-6063 - X-Coordinate,STARLINK-31634 - X-Coordinate,STARLINK-4039 - X-Coordinate,STARLINK-5275 - X-Coordinate,STARLINK-31891 - X-Coordinate,STARLINK-6333 - X-Coordinate,STARLINK-1597 - X-Coordinate,STARLINK-31803 - X-Coordinate,STARLINK-31472 - X-Coordinate,STARLINK-5127 - X-Coordinate,STARLINK-3339 - X-Coordinate,STARLINK-31279 - X-Coordinate,STARLINK-5760 - X-Coordinate,STARLINK-5693 - X-Coordinate,STARLINK-1371 - X-Coordinate,STARLINK-31739 - X-Coordinate,STARLINK-31110 - X-Coordinate,STARLINK-1710 - X-Coordinate,STARLINK-5636 - X-Coordinate,STARLINK-3810 - X-Coordinate,STARLINK-5653 - X-Coordinate,STARLINK-30076 - X-Coordinate,STARLINK-2687 - X-Coordinate,STARLINK-2480 - X-Coordinate,STARLINK-31304 - X-Coordinate,STARLINK-31694 - X-Coordinate,STARLINK-2504 - X-Coordinate,STARLINK-30288 - X-Coordinate,STARLINK-3068 - X-Coordinate,STARLINK-31300 - X-Coordinate,STARLINK-4444 - X-Coordinate,STARLINK-6200 - X-Coordinate,STARLINK-32290 - X-Coordinate,STARLINK-30049 - X-Coordinate,STARLINK-1475 - X-Coordinate,STARLINK-5508 - X-Coordinate,STARLINK-32265 - X-Coordinate,STARLINK-3201 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30316 - Y-Coordinate,STARLINK-31107 - Y-Coordinate,STARLINK-30951 - Y-Coordinate,STARLINK-11259 [DTC] - Y-Coordinate,STARLINK-1236 - Y-Coordinate,STARLINK-4108 - Y-Coordinate,STARLINK-3608 - Y-Coordinate,STARLINK-1352 - Y-Coordinate,STARLINK-5205 - Y-Coordinate,STARLINK-31571 - Y-Coordinate,STARLINK-3044 - Y-Coordinate,STARLINK-2420 - Y-Coordinate,STARLINK-4042 - Y-Coordinate,STARLINK-31397 - Y-Coordinate,STARLINK-2659 - Y-Coordinate,STARLINK-30521 - Y-Coordinate,STARLINK-31744 - Y-Coordinate,STARLINK-30497 - Y-Coordinate,STARLINK-32022 - Y-Coordinate,STARLINK-2312 - Y-Coordinate,STARLINK-3973 - Y-Coordinate,STARLINK-30918 - Y-Coordinate,STARLINK-6353 - Y-Coordinate,STARLINK-5470 - Y-Coordinate,STARLINK-2399 - Y-Coordinate,STARLINK-5270 - Y-Coordinate,STARLINK-30231 - Y-Coordinate,STARLINK-2467 - Y-Coordinate,STARLINK-3054 - Y-Coordinate,STARLINK-30375 - Y-Coordinate,STARLINK-1938 - Y-Coordinate,STARLINK-30466 - Y-Coordinate,STARLINK-4513 - Y-Coordinate,STARLINK-31960 - Y-Coordinate,STARLINK-31420 - Y-Coordinate,STARLINK-2672 - Y-Coordinate,STARLINK-30147 - Y-Coordinate,STARLINK-5686 - Y-Coordinate,STARLINK-31239 - Y-Coordinate,STARLINK-30088 - Y-Coordinate,STARLINK-31953 - Y-Coordinate,STARLINK-30452 - Y-Coordinate,STARLINK-1206 - Y-Coordinate,STARLINK-30269 - Y-Coordinate,STARLINK-5809 - Y-Coordinate,STARLINK-32137 - Y-Coordinate,STARLINK-5384 - Y-Coordinate,STARLINK-30615 - Y-Coordinate,STARLINK-31962 - Y-Coordinate,STARLINK-4059 - Y-Coordinate,STARLINK-6138 - Y-Coordinate,STARLINK-1325 - Y-Coordinate,STARLINK-5118 - Y-Coordinate,STARLINK-1256 - Y-Coordinate,STARLINK-32097 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-31844 - Y-Coordinate,STARLINK-2706 - Y-Coordinate,STARLINK-5440 - Y-Coordinate,STARLINK-5817 - Y-Coordinate,STARLINK-31971 - Y-Coordinate,STARLINK-1563 - Y-Coordinate,STARLINK-6063 - Y-Coordinate,STARLINK-31634 - Y-Coordinate,STARLINK-4039 - Y-Coordinate,STARLINK-5275 - Y-Coordinate,STARLINK-31891 - Y-Coordinate,STARLINK-6333 - Y-Coordinate,STARLINK-1597 - Y-Coordinate,STARLINK-31803 - Y-Coordinate,STARLINK-31472 - Y-Coordinate,STARLINK-5127 - Y-Coordinate,STARLINK-3339 - Y-Coordinate,STARLINK-31279 - Y-Coordinate,STARLINK-5760 - Y-Coordinate,STARLINK-5693 - Y-Coordinate,STARLINK-1371 - Y-Coordinate,STARLINK-31739 - Y-Coordinate,STARLINK-31110 - Y-Coordinate,STARLINK-1710 - Y-Coordinate,STARLINK-5636 - Y-Coordinate,STARLINK-3810 - Y-Coordinate,STARLINK-5653 - Y-Coordinate,STARLINK-30076 - Y-Coordinate,STARLINK-2687 - Y-Coordinate,STARLINK-2480 - Y-Coordinate,STARLINK-31304 - Y-Coordinate,STARLINK-31694 - Y-Coordinate,STARLINK-2504 - Y-Coordinate,STARLINK-30288 - Y-Coordinate,STARLINK-3068 - Y-Coordinate,STARLINK-31300 - Y-Coordinate,STARLINK-4444 - Y-Coordinate,STARLINK-6200 - Y-Coordinate,STARLINK-32290 - Y-Coordinate,STARLINK-30049 - Y-Coordinate,STARLINK-1475 - Y-Coordinate,STARLINK-5508 - Y-Coordinate,STARLINK-32265 - Y-Coordinate,STARLINK-3201 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30316 - Z-Coordinate,STARLINK-31107 - Z-Coordinate,STARLINK-30951 - Z-Coordinate,STARLINK-11259 [DTC] - Z-Coordinate,STARLINK-1236 - Z-Coordinate,STARLINK-4108 - Z-Coordinate,STARLINK-3608 - Z-Coordinate,STARLINK-1352 - Z-Coordinate,STARLINK-5205 - Z-Coordinate,STARLINK-31571 - Z-Coordinate,STARLINK-3044 - Z-Coordinate,STARLINK-2420 - Z-Coordinate,STARLINK-4042 - Z-Coordinate,STARLINK-31397 - Z-Coordinate,STARLINK-2659 - Z-Coordinate,STARLINK-30521 - Z-Coordinate,STARLINK-31744 - Z-Coordinate,STARLINK-30497 - Z-Coordinate,STARLINK-32022 - Z-Coordinate,STARLINK-2312 - Z-Coordinate,STARLINK-3973 - Z-Coordinate,STARLINK-30918 - Z-Coordinate,STARLINK-6353 - Z-Coordinate,STARLINK-5470 - Z-Coordinate,STARLINK-2399 - Z-Coordinate,STARLINK-5270 - Z-Coordinate,STARLINK-30231 - Z-Coordinate,STARLINK-2467 - Z-Coordinate,STARLINK-3054 - Z-Coordinate,STARLINK-30375 - Z-Coordinate,STARLINK-1938 - Z-Coordinate,STARLINK-30466 - Z-Coordinate,STARLINK-4513 - Z-Coordinate,STARLINK-31960 - Z-Coordinate,STARLINK-31420 - Z-Coordinate,STARLINK-2672 - Z-Coordinate,STARLINK-30147 - Z-Coordinate,STARLINK-5686 - Z-Coordinate,STARLINK-31239 - Z-Coordinate,STARLINK-30088 - Z-Coordinate,STARLINK-31953 - Z-Coordinate,STARLINK-30452 - Z-Coordinate,STARLINK-1206 - Z-Coordinate,STARLINK-30269 - Z-Coordinate,STARLINK-5809 - Z-Coordinate,STARLINK-32137 - Z-Coordinate,STARLINK-5384 - Z-Coordinate,STARLINK-30615 - Z-Coordinate,STARLINK-31962 - Z-Coordinate,STARLINK-4059 - Z-Coordinate,STARLINK-6138 - Z-Coordinate,STARLINK-1325 - Z-Coordinate,STARLINK-5118 - Z-Coordinate,STARLINK-1256 - Z-Coordinate,STARLINK-32097 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-31844 - Z-Coordinate,STARLINK-2706 - Z-Coordinate,STARLINK-5440 - Z-Coordinate,STARLINK-5817 - Z-Coordinate,STARLINK-31971 - Z-Coordinate,STARLINK-1563 - Z-Coordinate,STARLINK-6063 - Z-Coordinate,STARLINK-31634 - Z-Coordinate,STARLINK-4039 - Z-Coordinate,STARLINK-5275 - Z-Coordinate,STARLINK-31891 - Z-Coordinate,STARLINK-6333 - Z-Coordinate,STARLINK-1597 - Z-Coordinate,STARLINK-31803 - Z-Coordinate,STARLINK-31472 - Z-Coordinate,STARLINK-5127 - Z-Coordinate,STARLINK-3339 - Z-Coordinate,STARLINK-31279 - Z-Coordinate,STARLINK-5760 - Z-Coordinate,STARLINK-5693 - Z-Coordinate,STARLINK-1371 - Z-Coordinate,STARLINK-31739 - Z-Coordinate,STARLINK-31110 - Z-Coordinate,STARLINK-1710 - Z-Coordinate,STARLINK-5636 - Z-Coordinate,STARLINK-3810 - Z-Coordinate,STARLINK-5653 - Z-Coordinate,STARLINK-30076 - Z-Coordinate,STARLINK-2687 - Z-Coordinate,STARLINK-2480 - Z-Coordinate,STARLINK-31304 - Z-Coordinate,STARLINK-31694 - Z-Coordinate,STARLINK-2504 - Z-Coordinate,STARLINK-30288 - Z-Coordinate,STARLINK-3068 - Z-Coordinate,STARLINK-31300 - Z-Coordinate,STARLINK-4444 - Z-Coordinate,STARLINK-6200 - Z-Coordinate,STARLINK-32290 - Z-Coordinate,STARLINK-30049 - Z-Coordinate,STARLINK-1475 - Z-Coordinate,STARLINK-5508 - Z-Coordinate,STARLINK-32265 - Z-Coordinate,STARLINK-3201 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-1515.8998,5747.4718,-4052.9298,-245.9833,-6090.6203,-1280.8124,-2328.6049,-5320.9400,3594.7794,-1736.2952,4138.6711,6306.0392,-152.9985,-1995.7144,4951.7710,-4005.2525,-1348.3656,6225.8267,-6341.2498,6544.1861,-6113.4167,-2785.0531,2446.7852,-6385.9319,2445.4279,-1954.1222,-1652.3975,-4181.6663,728.2515,-4341.2706,3278.2328,-5325.2709,-5794.3689,-1959.9925,-5558.2270,-5352.7496,-5509.1077,-4094.2566,-5094.4444,4584.4147,-6508.8947,-5197.6587,5799.3403,-5139.6952,-3435.8069,-4797.5921,5639.2678,1829.3133,-4747.2413,-4851.7266,6893.3355,6699.5613,497.3293,-606.8761,3938.3186,6667.0984,1036.1782,5431.0623,3319.8610,2694.2937,5931.4566,-6427.5730,6471.0321,-2581.9657,3520.2499,4286.6273,1205.2302,-5846.0076,-4057.7196,4182.9134,4381.2447,-3868.5212,1028.7051,-4036.5652,5301.2947,-3317.7458,5493.8980,631.9694,-1318.9833,811.8474,4881.9200,3280.3298,-6452.9355,5477.4454,-4563.5486,-4040.4884,6370.8769,4093.8059,-2062.7890,4922.0026,3002.6683,1363.1876,779.3247,-6074.4870,6422.3346,-5205.4544,3809.0230,1837.1932,-800.6004,3785.2056,17834.5451,43459.0565,36276.7913,30090.6234,37623.5771,33846.7969,31290.3018,31268.8549,-204304088.3989,-204302341.3724,-204305140.3085,-204300202.2625,31325.9366,-204290573.9003,-4205.4253,1391.5313,-5193.6022,-5892.5103,182.0899,-5042.6076,5698.9585,4421.8751,-2319.3309,4726.3633,5230.7095,2476.8383,6893.7678,-4921.5752,1171.1888,-3910.7785,-5516.0456,-1938.7757,-2281.2626,-1563.9406,-1171.3761,-6065.9625,-5642.8461,-2621.9041,-3970.2727,1895.1285,5409.2897,-79.2682,2273.7150,-3248.0284,-2587.1072,3750.3335,1948.7774,5901.6853,-2481.5555,2965.3585,-175.9531,5193.5498,2445.8561,-3399.7139,-257.2417,2553.3141,1954.8232,436.8361,-5962.6132,-3598.3189,-1337.6383,-4975.1989,-2100.4772,-4628.2717,775.0367,-1626.5325,5235.6685,-5839.7572,-1271.6685,353.6913,4714.8091,1307.1905,-3247.7864,4701.5567,-3203.3957,2073.5275,-2398.8581,5954.3458,2495.5373,756.2229,-4840.0826,-3357.1208,5051.7368,3112.6293,-4663.4411,-5523.2244,6835.3614,-4315.0199,868.0067,-4954.5053,-4224.0651,4590.2684,5397.7260,-5956.2126,1376.7236,-5453.4636,1654.8999,1568.5541,-4991.7696,-1132.0300,-1408.1212,-2727.8450,-3626.3722,1904.9795,2482.1483,-3878.2030,-5738.5517,-2095.3994,854.9730,-4572.3910,5740.0796,2977.3388,6804.5870,1695.6467,-367486.2442,-344148.5398,-360404.6376,-362497.7352,-359687.6047,-360873.2447,-352771.1878,-358015.1746,-23862086.1966,-23879792.3989,-23871588.2567,-23869744.0338,-357398.0818,-23871611.2656,5170.4205,-3497.1549,2164.8143,-3258.1846,3284.3638,-4565.8424,3151.2051,312.6964,-5442.5212,-4608.6687,-1839.4849,-1444.1481,553.4931,4271.5731,4689.9902,-4104.3344,3770.9647,2355.8911,-1089.3318,1638.0869,3014.4474,-1899.3387,3197.8708,445.7612,5113.9272,6389.1832,-4024.2330,-5526.3712,-6532.9508,4317.4508,-5531.0939,-2394.5824,3230.2770,-2807.2841,3083.2321,-3259.3951,-4221.2063,-2102.2088,-3882.6914,3934.3563,-2035.7400,-3825.7902,-3251.3935,-4645.3950,993.1638,-3265.4164,-3819.1994,4463.7729,4416.1782,-1715.6433,92.5973,654.8638,-4500.2984,-3683.1249,5419.6770,1803.8368,4818.0668,4084.6815,-5133.2740,4346.1426,-1035.2549,-1542.1606,-838.1297,-2111.3255,5398.7448,-5426.6136,4643.6206,1626.0365,2445.5422,4374.3704,2360.6854,1545.4124,-280.0672,3487.3973,4378.8580,-3553.2716,24.2067,5039.9782,4023.4838,-3445.2200,4722.0957,-2724.1212,-1941.9856,-3963.5994,-1506.3137,-5516.6949,1985.5044,-4741.5029,-5535.6176,-4508.2400,-5761.4127,-5474.2960,3821.7688,2604.2289,-2158.1700,325.1431,-8.8853,5998.6306,-214.9437,5528.3124,-28959.3835,-32584.0736,-34203.5321,-25672.1075,-28658.4355,-39313.7127,-38138.3894,-30496.0615,86687123.0757,86683336.6336,86668727.4549,86667036.0083,-32159.3362,86675122.5774,
300.000,-3083.4322,5310.4403,-5374.7101,-1675.3598,-4977.3414,-3042.9355,-1242.0502,-4224.7143,2682.8904,268.0262,5195.0527,6783.3891,1061.0096,-3584.9411,4275.3404,-4767.2707,-2960.0853,4991.1024,-6693.1136,5524.1188,-6785.2211,-3911.3821,513.8231,-6416.0149,315.0536,-1297.3280,48.2846,-4198.9660,2819.0751,-4940.7105,1724.9332,-4547.8129,-4334.3390,-86.0968,-6524.3245,-5099.5705,-4795.7598,-2935.9331,-4982.5453,3738.3623,-6672.6831,-4685.5389,5243.4465,-4474.5515,-3950.3107,-6019.8042,5535.2675,-309.6938,-5723.6137,-5162.1412,6748.3536,6249.4561,2184.0673,-1964.7685,3369.2142,5944.8049,2915.5060,4683.4767,2389.6453,2712.2510,5107.4218,-6104.7096,6162.1116,-1173.4608,4162.1038,2854.3141,-921.9535,-6034.6860,-3234.8312,5544.7199,3322.2432,-4908.0006,2169.8330,-5548.3030,4925.5816,-4317.8026,4497.9636,2392.2842,454.8409,-511.8628,5294.9526,1629.9340,-6148.7430,6294.1976,-4999.4395,-4247.5181,6123.7115,2189.5183,-3803.0455,5804.1384,4788.6725,-759.4201,1018.3846,-6802.6801,5719.7047,-5883.8840,4620.1930,2268.5202,444.5255,4403.8443,25674.2289,50703.1523,43743.4439,37584.4997,45201.1109,41442.4909,38773.0386,39146.2241,-203731208.1655,-203729214.6093,-203732434.8709,-203727597.9534,38850.7521,-203717765.5015,-2702.2609,-562.4509,-4329.6508,-6319.2555,1567.0631,-5264.7001,6636.6057,5075.1341,-4191.1399,5421.8861,4567.0332,1348.4391,6432.4882,-3479.0406,-778.8131,-1971.1121,-4222.5627,-3243.6063,-1110.7272,-2607.9263,67.4498,-4761.6507,-5527.7136,-1335.5947,-4163.1452,3863.5235,6254.9553,2055.0588,1693.3167,-1213.3320,-4092.3926,5152.4638,2940.4258,5616.5875,-1412.4437,4399.4517,1801.0067,6254.8700,4052.2056,-5080.6250,1316.9085,4333.4865,279.2024,2483.3361,-5611.0459,-2772.5892,-3185.5571,-5059.8368,-294.6683,-3194.0339,-739.8700,-2754.8465,5727.5474,-4576.8010,-3328.6759,-945.4815,4932.4855,-486.3328,-4970.6269,2935.3070,-4486.6089,3260.7899,-2945.4039,6692.3419,416.0428,-674.5534,-5180.8985,-1679.5311,6084.8190,1590.4975,-5889.9977,-4871.6636,6387.1967,-3338.1840,-1228.3121,-3231.2697,-4970.5332,3358.1357,6144.2216,-6652.7100,-717.2155,-5305.8578,3181.1571,-130.3076,-3625.2022,1026.8895,-2967.8722,-3608.7559,-2346.6985,70.7561,2338.6698,-4350.7205,-4158.4055,-634.2007,-549.0104,-3180.6339,4785.6468,868.6762,6543.2383,-382.3768,-367076.4005,-343257.8013,-359804.1307,-361733.8386,-358952.4862,-360188.6384,-352104.9399,-356934.0311,-28316200.6982,-28333979.2267,-28326226.2720,-28324444.0869,-356673.0949,-28325758.0235,5468.3386,-4323.2380,693.9522,-1625.1989,4545.4756,-3305.4826,1508.7664,2080.5927,-4811.6274,-4137.2396,-49.9424,358.8508,2306.9076,4635.6270,5384.4312,-4644.5819,4456.1564,3551.4053,737.1130,3257.0858,1349.5853,-3194.2014,4148.8338,2208.0127,5518.9145,5625.5722,-3007.6432,-5115.9538,-6128.4995,4705.9143,-5320.2084,-951.9086,4511.0500,-3874.2492,1424.5769,-1640.5190,-4686.0166,-624.1840,-2398.1451,2879.6989,-540.3964,-2724.8377,-4523.2531,-4690.1227,-1132.0813,-1638.7799,-2715.8318,4724.5591,3691.0712,-3326.9286,-1436.5197,-1154.9741,-3213.2190,-4820.0125,4907.3776,3400.7497,3703.2990,5069.4552,-4182.5518,5679.5214,520.6390,257.2292,1286.7879,-624.1308,5502.0518,-6307.6823,4331.4423,2970.3905,711.7094,3615.1349,905.2567,-258.2600,1525.0654,2274.9977,4717.3899,-4370.6192,-1763.8708,5464.9517,3021.6090,-1861.9346,4414.1778,-4137.8285,-448.1549,-2920.0576,-3145.1008,-5379.5619,485.3365,-5372.5780,-5298.2931,-3804.9692,-4467.7534,-5230.3762,5457.1605,1192.9706,-3691.8397,1828.7901,1783.0544,6505.2360,-1999.6475,5313.6781,-28832.9245,-32443.1121,-34002.1166,-25617.9053,-28338.4882,-39000.8189,-38177.3492,-30265.7236,86686808.2630,86683497.7815,86668863.9850,86666973.8618,-32005.3041,86674752.8539,
600.000,-4381.1079,4379.4291,-6172.5142,-2906.6500,-3391.4664,-4481.1963,-49.1567,-2695.4968,1558.3286,2223.3581,5734.0250,6589.2049,2195.5237,-4844.2952,3227.6231,-5114.4188,-4306.8928,3276.9803,-6352.6614,3955.5529,-6784.6320,-4690.8329,-1489.7367,-5818.5970,-1848.0905,-581.8464,1719.6777,-3859.4606,4641.7377,-5107.0691,46.5881,-3338.0532,-2448.5647,1821.7724,-6813.1660,-4356.8912,-3659.1499,-1499.1384,-4383.8675,2557.9963,-6157.7301,-3745.4783,4205.4683,-3421.2521,-4076.6437,-6613.8133,4918.6296,-2421.8322,-6140.0001,-4991.8915,5952.6103,5176.5330,3627.9037,-3178.8502,2507.6356,4641.4951,4470.9176,3514.7053,1269.4305,2528.5678,3758.5228,-5175.3958,5220.3718,348.5783,4450.5136,1185.5556,-2941.9675,-5659.5171,-2099.0497,6354.3185,1932.9793,-5461.6581,3112.1014,-6501.7283,4116.2842,-4943.5738,3045.7381,3949.8900,2159.2276,-1764.7800,5235.5180,-211.3817,-5251.7159,6517.6573,-4971.6576,-4096.1549,5254.5895,74.6653,-5199.9254,6151.8937,6081.4257,-2786.2275,1070.7995,-6873.2085,4443.0428,-6004.9031,4982.7608,2555.0116,1666.8245,4641.2558,33505.7211,57928.2843,51191.9023,45060.4360,52758.3521,49022.4365,46241.8492,46968.0106,-203061229.2049,-203058981.7085,-203062600.0136,-203057854.4448,46358.9431,-203047856.5357,-963.1125,-2485.0977,-3052.2182,-6072.0381,2843.9866,-4994.7794,6913.9173,5244.0780,-5660.9629,5601.1800,3449.1605,82.3453,5333.6820,-1710.5133,-2683.5590,152.5974,-2522.4610,-4268.2961,183.3846,-3430.3405,1284.3777,-2994.8798,-4911.4851,106.1813,-4006.5548,5455.1504,6512.0183,3978.3088,1021.0561,933.4369,-5234.2134,6051.2105,3690.6247,4789.0801,-213.4218,5387.2758,3628.2437,6708.9898,5228.6395,-6266.2800,2751.7586,5686.1853,-1460.9871,4305.0233,-4682.3198,-1677.9516,-4711.6794,-4700.1311,1513.5585,-1421.9947,-2196.9194,-3622.7127,5676.3568,-2884.3888,-5046.4083,-2187.7380,4675.8978,-2269.9436,-6208.2616,856.1148,-5315.6705,4127.4948,-3208.3662,6747.7551,-1687.5774,-2102.5446,-5034.1098,180.6137,6512.1148,-62.4452,-6512.8964,-3733.8439,5300.3965,-2049.5488,-3220.1311,-1202.0242,-5241.7810,1829.2287,6293.7279,-6696.4921,-2727.2508,-4669.1784,4395.9243,-1792.5572,-1881.9502,3075.6541,-4220.8116,-4178.2824,-886.8402,-1743.9991,2016.7336,-4435.2396,-2131.9338,876.9093,-1935.3927,-1468.3422,3337.7876,-1315.7274,5616.7398,-2400.7787,-366498.1862,-342215.5417,-359043.2729,-360811.2984,-358055.5445,-359341.3606,-351284.2753,-355659.7439,-32756680.3450,-32774517.4923,-32767236.4299,-32765522.6231,-355789.6415,-32766273.2821,5157.6891,-4674.8645,-851.1448,197.3135,5318.4457,-1689.8222,-296.2664,3624.8405,-3664.5677,-3202.6372,1744.9585,2123.2640,3811.5368,4478.7166,5501.0459,-4690.5657,4640.5124,4366.9081,2480.7907,4526.1954,-460.7210,-4148.5482,4655.9718,3732.1278,5331.9854,4265.5204,-1670.3563,-4158.8429,-5077.0985,4591.2356,-4540.9646,592.4691,5305.7189,-4507.0477,-393.8926,154.0568,-4652.4454,920.5340,-648.2245,1517.0613,1015.6291,-1333.1531,-5311.4455,-4235.7923,-3137.2643,171.5105,-1322.7324,4480.0803,2551.0171,-4580.7779,-2812.2349,-2840.8120,-1580.6968,-5441.8228,3845.0186,4630.9570,2173.2048,5509.8525,-2782.7570,6410.2884,2017.8950,2028.9564,3274.8987,933.1453,5013.0244,-6523.3989,3532.4215,3996.9016,-1098.5387,2447.7912,-651.8972,-2034.1443,3165.6820,811.6206,4551.4892,-4722.7433,-3363.0256,5284.6772,1686.4339,-78.8537,3634.2456,-5107.5006,1093.5628,-1565.0212,-4447.0875,-4667.9182,-1069.3941,-5405.0399,-4495.1852,-2696.2435,-2701.2146,-4406.8954,6511.2217,-345.9242,-4812.8246,3136.7137,3380.2351,6322.3275,-3563.1124,4526.9424,-28706.7219,-32302.0926,-33796.8751,-25568.7041,-28022.0896,-38682.3975,-38210.2702,-30169.6602,86686487.8272,86683651.3735,86669006.0798,86666926.4979,-31851.2477,86674382.9584,
