sl_20_5400_20241107 Coordinates.csv
2024/11/07 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:27 2024,
Start: 2024/11/07 07:47:00.00, Stop: 2024/11/07 09:17:00.00,
TIME_UNITS,STARLINK-4112 - X-Coordinate,STARLINK-5458 - X-Coordinate,STARLINK-4784 - X-Coordinate,STARLINK-5784 - X-Coordinate,STARLINK-5427 - X-Coordinate,STARLINK-5810 - X-Coordinate,STARLINK-31785 - X-Coordinate,STARLINK-1060 - X-Coordinate,STARLINK-4279 - X-Coordinate,STARLINK-2712 - X-Coordinate,STARLINK-11200 [DTC] - X-Coordinate,STARLINK-31683 - X-Coordinate,STARLINK-3199 - X-Coordinate,STARLINK-31047 - X-Coordinate,STARLINK-11190 [DTC] - X-Coordinate,STARLINK-1296 - X-Coordinate,STARLINK-6247 - X-Coordinate,STARLINK-3415 - X-Coordinate,STARLINK-32024 - X-Coordinate,STARLINK-1489 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4112 - Y-Coordinate,STARLINK-5458 - Y-Coordinate,STARLINK-4784 - Y-Coordinate,STARLINK-5784 - Y-Coordinate,STARLINK-5427 - Y-Coordinate,STARLINK-5810 - Y-Coordinate,STARLINK-31785 - Y-Coordinate,STARLINK-1060 - Y-Coordinate,STARLINK-4279 - Y-Coordinate,STARLINK-2712 - Y-Coordinate,STARLINK-11200 [DTC] - Y-Coordinate,STARLINK-31683 - Y-Coordinate,STARLINK-3199 - Y-Coordinate,STARLINK-31047 - Y-Coordinate,STARLINK-11190 [DTC] - Y-Coordinate,STARLINK-1296 - Y-Coordinate,STARLINK-6247 - Y-Coordinate,STARLINK-3415 - Y-Coordinate,STARLINK-32024 - Y-Coordinate,STARLINK-1489 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4112 - Z-Coordinate,STARLINK-5458 - Z-Coordinate,STARLINK-4784 - Z-Coordinate,STARLINK-5784 - Z-Coordinate,STARLINK-5427 - Z-Coordinate,STARLINK-5810 - Z-Coordinate,STARLINK-31785 - Z-Coordinate,STARLINK-1060 - Z-Coordinate,STARLINK-4279 - Z-Coordinate,STARLINK-2712 - Z-Coordinate,STARLINK-11200 [DTC] - Z-Coordinate,STARLINK-31683 - Z-Coordinate,STARLINK-3199 - Z-Coordinate,STARLINK-31047 - Z-Coordinate,STARLINK-11190 [DTC] - Z-Coordinate,STARLINK-1296 - Z-Coordinate,STARLINK-6247 - Z-Coordinate,STARLINK-3415 - Z-Coordinate,STARLINK-32024 - Z-Coordinate,STARLINK-1489 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-5089.0511,1260.3050,-2921.9741,-3434.4287,3470.2442,-5691.3875,-1082.2888,-4982.1942,3674.9465,-2190.9691,2687.1386,-4924.4826,1009.8132,-1812.6291,5882.1447,1502.2749,-1889.7898,3988.7396,-4017.7520,6155.0950,178680.2118,154250.2184,176379.4896,175386.6918,174726.6489,175425.2768,167246.3623,172514.8862,-84471074.8795,-84452114.6191,-84454893.9873,-84456116.1709,171120.4021,-84456522.6741,3464.1090,5865.0466,-5120.4555,4290.5775,4253.4087,2904.8882,-5336.0753,3487.6234,5796.9572,-5245.5234,-4963.5958,2034.9935,-4035.2469,6667.3543,624.8729,-3926.4546,-4988.1769,-1607.1305,1957.7804,-2929.8061,282973.7244,310615.0841,302643.6545,297070.5652,305718.9749,302100.4140,300364.7565,298678.3858,-105762966.1156,-105764465.1311,-105770304.2863,-105748545.8576,299759.5881,-105755412.1939,3147.1623,-3449.5512,3611.4978,4224.5656,4231.4434,-2743.0915,-4119.9983,-3322.0367,-864.6312,-3958.7479,3645.7826,-4262.8315,-5532.2575,520.8799,-3194.9712,-5502.6803,-4440.0196,5410.5700,5188.3881,794.7966,-168102.9711,-171855.4461,-173609.0793,-167101.4801,-167274.0009,-177603.7531,-179917.4649,-172332.0366,53303242.1656,53305997.3166,53290917.1516,53295431.8877,-172284.9808,53291053.9682,
3000.000,-4700.3190,2435.7224,-4436.9281,-1420.1642,4501.4140,-4353.9550,-2734.0444,-4585.9359,4397.5458,-3805.5031,798.9337,-4386.9685,-1146.9791,-603.1993,6501.2694,-638.2139,-3542.3695,2602.4727,-2361.6352,5509.9290,172775.9837,147723.8457,170123.5724,169002.3440,168372.4054,169102.5272,160996.7553,166240.4824,-82137707.7210,-82118773.0667,-82120983.5994,-82123346.0931,164790.9062,-82123096.8564,4845.2441,4493.3699,-4888.7407,4909.2786,2414.3048,3025.6492,-5639.7535,4902.9535,4673.0927,-5220.7900,-4668.3121,3961.4757,-4246.1137,6782.9938,-720.9266,-4292.9606,-3639.3477,-3285.7768,3360.6701,-3965.0857,286714.2167,313837.1250,306083.4819,300583.1840,309286.2975,305703.8280,303877.1938,302379.2948,-107580645.0910,-107581842.1185,-107587920.1506,-107565856.2183,303299.4315,-107573142.8317,1503.5795,-4666.1608,2059.1788,4681.8008,4683.2913,-4501.3698,-2707.1831,-1715.0041,-2588.3222,-2497.9496,4763.7155,-3409.3304,-5344.8764,-1288.6165,-1549.0941,-5396.2532,-4730.6554,5494.6869,5478.5447,-1024.1622,-168056.6730,-171809.6502,-173467.0579,-167196.9634,-167085.6944,-177327.9038,-179994.9729,-171789.6179,53301518.2647,53304715.6282,53289775.2946,53293372.2298,-172225.7633,53289368.3959,
3300.000,-3857.7318,3420.9556,-5497.0083,727.1835,5139.8735,-2558.7979,-4080.5727,-3752.3173,4709.6421,-5026.3221,-1205.3102,-3436.2964,-3180.2947,680.0234,6419.0252,-2702.7677,-4886.5262,1005.1090,-500.9248,4297.9199,166792.8136,141131.0259,163791.2421,162542.8119,161943.0906,162700.5701,154675.8256,159770.7068,-79765235.5966,-79746340.0956,-79747972.7980,-79751483.7138,158388.2054,-79750563.4882,5734.2715,2689.8534,-4189.7424,5097.9231,355.3614,2897.0403,-5381.5729,5822.9244,3072.2284,-4701.6970,-3914.4214,5479.3236,-4096.6118,6231.0548,-1970.8685,-4295.0899,-1971.3964,-4678.3224,4471.1063,-4606.7208,290332.7534,316921.5766,309388.8997,303961.8219,312717.7106,309172.0006,307259.4633,306018.4512,-109346853.4825,-109347748.3073,-109354031.5311,-109331767.4550,306705.6849,-109339400.0642,-302.2016,-5381.8213,284.7695,4638.5888,4634.3435,-5783.4124,-991.1509,75.9408,-4033.4122,-769.1146,5323.0161,-2173.5705,-4584.4877,-2960.0079,278.6084,-4712.1350,-4517.7382,4987.1100,5162.3433,-2730.2091,-168010.5393,-171763.7679,-173322.5641,-167298.5393,-166900.7645,-177045.6540,-180067.1031,-171281.3774,53299788.9342,53303424.1328,53288633.0301,53291285.8230,-172166.4367,53287682.8878,
3600.000,-2628.5232,4126.2838,-6008.1016,2798.8859,5322.9796,-484.8908,-4995.7646,-2546.2865,4596.2325,-5743.5076,-3110.3137,-2156.6311,-4888.9434,1928.4355,5637.5343,-4487.7377,-5790.5234,-648.2323,1375.2207,2634.2356,160733.1870,134474.6688,157385.2524,156010.6640,155441.6954,156221.9875,148286.1536,153112.4556,-77354793.5792,-77335950.6874,-77336998.4843,-77341657.1840,151915.1178,-77340057.7666,6054.6444,636.8540,-3076.4511,4837.6635,-1723.3359,2549.3597,-4573.2944,6166.6695,1147.7650,-3723.2853,-2790.2941,6435.0053,-3592.4198,5072.1204,-3009.6236,-3924.4136,-144.2303,-5641.4322,5171.6860,-4807.4573,293827.6513,319867.0863,312558.3964,307205.0973,316011.7309,312502.9213,310510.1438,309570.1306,-111060750.3505,-111061343.5371,-111067797.6776,-111045438.1430,309976.8350,-111053342.8426,-2075.4269,-5520.3594,-1520.3666,4099.4768,4089.7580,-6454.8928,836.0324,1858.7106,-5045.0560,1042.3359,5258.3406,-693.8252,-3332.1352,-4314.5938,2073.5450,-3523.1084,-3823.8381,3942.2307,4274.6094,-4135.6333,-167964.5697,-171717.7986,-173175.7601,-167406.3688,-166719.1977,-176756.9185,-180133.9146,-170841.7442,53298054.1941,53302122.8211,53287489.7197,53289176.7856,-172107.0010,53285997.4439,
3900.000,-1119.3276,4483.1608,-5932.1548,4594.0921,5027.5423,1658.8464,-5399.8033,-1070.6156,4080.2105,-5898.4578,-4707.7460,-663.7057,-6104.8093,3033.6063,4236.6098,-5818.2940,-6161.4700,-2201.6819,3080.1154,681.8799,154599.6259,127757.7112,150908.3929,149408.4695,148871.2356,149669.3843,141830.3549,146282.7852,-74907534.8173,-74888757.8672,-74889215.6246,-74895013.2310,145374.4929,-74892732.9690,5787.4162,-1460.6947,-1643.5239,4148.2263,-3621.3733,2027.0804,-3283.9510,5911.3831,-912.8294,-2366.3656,-1417.8920,6733.0850,-2768.8232,3426.3886,-3744.7286,-3203.7092,1670.2633,-6070.6715,5381.6108,-4562.3568,297197.2771,322672.3632,315590.5184,310311.7039,319166.9347,315694.6000,313627.8612,313005.8740,-112721519.7795,-112721812.6549,-112728402.9829,-112706051.0559,313111.4275,-112714155.1478,-3625.1899,-5067.1079,-3161.7571,3121.9323,3107.6084,-6445.8940,2569.3416,3441.8546,-5515.3225,2741.6913,4577.2064,863.8697,-1721.7020,-5208.1390,3624.7408,-1956.0463,-2722.4999,2472.3273,2913.3356,-5086.3599,-167918.7634,-171671.7416,-173026.8121,-167520.6200,-166540.9807,-176461.6143,-180195.4639,-170498.7866,53296314.0665,53300811.6996,53286344.7169,53287048.9935,-172047.4562,53284312.0643,
4200.000,533.1311,4450.7152,-5289.4287,5939.4622,4272.8494,3654.4854,-5266.0399,542.7098,3218.4454,-5488.5627,-5819.0169,905.2796,-6709.7767,3896.3372,2365.3864,-6565.8624,-5955.1050,-3513.3409,4448.2232,-1364.5777,148394.6872,120983.1160,144363.4879,142738.7939,142234.7501,143045.3855,135311.0792,139307.3406,-72424629.9839,-72405932.1534,-72405796.6912,-72412716.6395,138769.2104,-72409759.9013,4971.4337,-3395.5115,-19.2642,3086.7508,-5157.4452,1383.2381,-1634.3329,5093.3667,-2906.3908,-751.1633,60.4264,6346.1715,-1689.1427,1460.5737,-4114.3937,-2186.5678,3304.1618,-5912.2753,5066.3305,-3907.1293,300440.0482,325336.1786,318483.8706,313280.4149,322181.9590,318745.0636,316611.2892,316297.1987,-114328371.2672,-114328365.9020,-114335057.3708,-114312813.7051,316108.0685,-114321046.3795,-4785.2324,-4070.3372,-4463.1004,1810.3598,1792.8345,-5757.5643,4014.1950,4655.4501,-5394.2262,4146.2345,3359.1648,2324.4104,74.0018,-5545.8985,4750.0500,-178.7996,-1330.7396,735.7355,1229.1392,-5478.4746,-167873.1201,-171625.5961,-172875.8905,-167641.4681,-166366.1010,-176159.6633,-180251.8047,-170272.3475,53294568.5762,53299490.7903,53285197.3693,53284906.0476,-171987.8024,53282626.7490,
4500.000,2174.5322,4020.5189,-4154.5896,6706.2423,3120.0298,5296.8858,-4621.9295,2144.3485,2095.3901,-4565.9035,-6315.5710,2404.1239,-6647.7700,4435.1606,225.8611,-6661.0932,-5181.3917,-4468.3665,5351.5110,-3298.3241,142120.9624,114153.8706,137753.3957,136004.1933,135535.3005,136352.6324,128731.0088,132218.1835,-69907266.7159,-69888661.0000,-69887931.0940,-69895949.7010,132102.1784,-69892326.3381,3697.5639,-4978.2266,1645.9926,1743.4498,-6186.9482,674.1259,214.4703,3802.8845,-4633.8723,973.3900,1496.5013,5317.5296,-440.6281,-629.2657,-4091.9558,-954.2538,4609.0014,-5170.1528,4242.9546,-2912.9676,303554.4334,327857.3665,321237.1177,316110.0862,325055.5022,321652.3513,319459.1506,319418.0033,-115880540.1003,-115880239.2889,-115886996.6723,-115864958.8518,318965.4246,-115873251.7323,-5431.6453,-2636.4118,-5285.1992,305.0481,286.1242,-4461.9210,5008.6129,5369.4534,-4694.7018,5105.1408,1746.8225,3523.5396,1861.7098,-5292.1854,5317.6183,1617.6590,203.1322,-1080.2313,-591.3248,-5269.0772,-167827.6391,-171579.3614,-172723.1691,-167769.0944,-166194.5466,-175850.9936,-180302.9881,-170173.0525,53292817.7505,53298160.1292,53284047.0210,53282751.2587,-171928.0395,53280941.4979,
4800.000,3647.2807,3219.0362,-2647.5556,6822.9527,1667.5081,6414.6944,-3544.2409,3581.4451,814.9585,-3230.4265,-6134.3751,3691.1792,-5930.2788,4593.7773,-1949.3565,-6100.6638,-3904.9950,-4989.0336,5711.6447,-4920.8683,135781.0761,107272.9858,131081.0068,129207.2084,128775.9698,129593.7789,122092.8576,125051.3129,-67356649.0468,-67338148.2297,-67336824.6044,-67345911.6399,125376.3328,-67341636.4538,2098.1016,-6056.0198,3193.7803,234.2359,-6615.9113,-45.2996,2077.0786,2173.7780,-5919.9873,2643.5250,2751.1293,3756.0221,872.1034,-2637.1512,-3686.8866,390.2423,5469.3801,-3906.9292,2980.3629,-1678.7803,306538.9535,330234.8241,323848.9846,318799.6620,327786.3248,324414.5100,322170.2185,322346.4815,-117377287.7183,-117376694.9582,-117383482.9877,-117361744.9900,321682.2238,-117370032.5596,-5495.6543,-918.9109,-5540.4769,-1232.9153,-1251.2248,-2694.8476,5441.3558,5507.4698,-3491.2939,5515.6342,-70.6405,4326.4931,3448.7643,-4473.8890,5261.0622,3239.9868,1715.2703,-2779.8118,-2346.3129,-4480.7338,-167782.3201,-171533.0370,-172568.8248,-167903.6861,-166026.3063,-175535.5435,-180349.0625,-170202.0979,53291061.6189,53296819.7651,53282893.0158,53280587.6454,-171868.1677,53279256.3111,
5100.000,4805.3651,2107.1219,-920.5296,6282.1798,42.7571,6888.6832,-2149.5709,4712.1441,-508.7280,-1618.7473,-5286.3498,4642.5952,-4634.5693,4346.9677,-3922.4257,-4946.9545,-2240.2230,-5040.6605,5506.5479,-6062.2060,129377.6852,100343.4943,124349.2431,122350.3573,121959.8618,122771.4873,115399.3694,117844.1168,-64773996.8310,-64755613.4602,-64753698.7712,-64763818.0193,118594.6357,-64758910.2475,332.8539,-6527.8175,4472.3518,-1309.1534,-6409.6765,-725.1067,3762.5267,369.2981,-6631.1007,4096.2095,3707.5460,1824.1682,2135.5747,-4367.2201,-2942.7279,1730.5472,5813.2380,-2238.6344,1393.6441,-321.6258,309392.1825,332467.5124,326318.2574,321348.1802,330373.2500,327029.5883,324743.3169,325066.4679,-118817902.0650,-118817021.5351,-118823805.0358,-118802456.8006,324257.2560,-118810676.7250,-4970.5142,897.5416,-5201.8360,-2639.1157,-2654.8088,-642.5229,5264.0962,5054.6909,-1912.6298,5333.7648,-1879.8422,4643.1234,4664.2138,-3177.7912,4586.9582,4513.6287,3043.9604,-4180.2783,-3841.7633,-3199.2856,-167737.1625,-171486.6220,-172413.0375,-168045.4345,-165861.3695,-175213.2649,-180390.0739,-170351.6629,53289300.2137,53295469.7586,53281734.6994,53278417.9419,-171808.1869,53277571.1886,
5400.000,5528.6195,776.1625,857.2951,5140.6752,-1608.9024,6665.2657,-581.5495,5419.5731,-1761.1505,109.9882,-3856.2163,5164.0381,-2894.9173,3704.3996,-5476.2602,-3320.7288,-340.7768,-4632.9146,4770.6767,-6598.8877,122913.4778,93368.4494,117561.0565,115436.1285,115090.0997,115888.4230,108653.3169,110632.9112,-62160545.1601,-62142291.5225,-62139790.3302,-62150900.1328,111760.0738,-62145382.9588,-1426.6526,-6354.2260,5351.2938,-2750.5986,-5595.3624,-1323.0635,5093.8052,-1434.3007,-6689.6253,5185.0168,4282.1108,-279.0897,3237.0682,-5652.7951,-1932.4488,2946.8305,5617.7117,-323.6571,-366.5849,1033.9834,312112.7477,334554.4562,328643.7842,323754.7792,332815.1641,329495.6292,327177.3218,327568.2237,-120201697.9271,-120200534.4649,-120207278.4900,-120186405.5762,326689.3732,-120194498.9418,-3912.1538,2617.2243,-4305.3361,-3763.5959,-3774.9063,1477.8886,4496.6139,4059.4403,-128.0973,4578.9505,-3468.7165,4437.8708,5377.3426,-1541.8110,3374.1220,5301.7585,4047.1204,-5131.6816,-4912.9510,-1565.0594,-167692.1659,-171440.1158,-172255.9897,-168194.5336,-165699.7267,-174884.1289,-180426.0658,-170605.7878,53287533.5693,53294110.1811,53280571.4229,53276244.6109,-171748.0972,53275886.1304,
