sl_100_5400_20240610 Coordinates.csv
2024/06/10 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:29 2024,
Start: 2024/06/10 07:47:00.00, Stop: 2024/06/10 09:17:00.00,
TIME_UNITS,STARLINK-30702 - X-Coordinate,STARLINK-6072 - X-Coordinate,STARLINK-1337 - X-Coordinate,STARLINK-5545 - X-Coordinate,STARLINK-2698 - X-Coordinate,STARLINK-5772 - X-Coordinate,STARLINK-1167 - X-Coordinate,STARLINK-5889 - X-Coordinate,STARLINK-3797 - X-Coordinate,STARLINK-31276 - X-Coordinate,STARLINK-30781 - X-Coordinate,STARLINK-30296 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-31113 - X-Coordinate,STARLINK-3200 - X-Coordinate,STARLINK-1216 - X-Coordinate,STARLINK-5448 - X-Coordinate,STARLINK-11283 [DTC] - X-Coordinate,STARLINK-5748 - X-Coordinate,STARLINK-4626 - X-Coordinate,STARLINK-31771 - X-Coordinate,STARLINK-31161 - X-Coordinate,STARLINK-32089 - X-Coordinate,STARLINK-2731 - X-Coordinate,STARLINK-2688 - X-Coordinate,STARLINK-32170 - X-Coordinate,STARLINK-5003 - X-Coordinate,STARLINK-4328 - X-Coordinate,STARLINK-1541 - X-Coordinate,STARLINK-30553 - X-Coordinate,STARLINK-6340 - X-Coordinate,STARLINK-5227 - X-Coordinate,STARLINK-30228 - X-Coordinate,STARLINK-31073 - X-Coordinate,STARLINK-31468 - X-Coordinate,STARLINK-31455 - X-Coordinate,STARLINK-3945 - X-Coordinate,STARLINK-3268 - X-Coordinate,STARLINK-30176 - X-Coordinate,STARLINK-5572 - X-Coordinate,STARLINK-31374 - X-Coordinate,STARLINK-4022 - X-Coordinate,STARLINK-3556 - X-Coordinate,STARLINK-4083 - X-Coordinate,STARLINK-6125 - X-Coordinate,STARLINK-4400 - X-Coordinate,STARLINK-3820 - X-Coordinate,STARLINK-4173 - X-Coordinate,STARLINK-1750 - X-Coordinate,STARLINK-1764 - X-Coordinate,STARLINK-30910 - X-Coordinate,STARLINK-5134 - X-Coordinate,STARLINK-3304 - X-Coordinate,STARLINK-6185 - X-Coordinate,STARLINK-30186 - X-Coordinate,STARLINK-31246 - X-Coordinate,STARLINK-1784 - X-Coordinate,STARLINK-3832 - X-Coordinate,STARLINK-30777 - X-Coordinate,STARLINK-31263 - X-Coordinate,STARLINK-32121 - X-Coordinate,STARLINK-30262 - X-Coordinate,STARLINK-5112 - X-Coordinate,STARLINK-4213 - X-Coordinate,STARLINK-2609 - X-Coordinate,STARLINK-31597 - X-Coordinate,STARLINK-30101 - X-Coordinate,STARLINK-30181 - X-Coordinate,STARLINK-30936 - X-Coordinate,STARLINK-4461 - X-Coordinate,STARLINK-32197 - X-Coordinate,STARLINK-30849 - X-Coordinate,STARLINK-2461 - X-Coordinate,STARLINK-30831 - X-Coordinate,STARLINK-31635 - X-Coordinate,STARLINK-4298 - X-Coordinate,STARLINK-5377 - X-Coordinate,STARLINK-1928 - X-Coordinate,STARLINK-3368 - X-Coordinate,STARLINK-1489 - X-Coordinate,STARLINK-31402 - X-Coordinate,STARLINK-30178 - X-Coordinate,STARLINK-3503 - X-Coordinate,STARLINK-11079 [DTC] - X-Coordinate,STARLINK-30206 - X-Coordinate,STARLINK-30354 - X-Coordinate,STARLINK-2524 - X-Coordinate,STARLINK-5947 - X-Coordinate,STARLINK-6327 - X-Coordinate,STARLINK-5409 - X-Coordinate,STARLINK-30829 - X-Coordinate,STARLINK-31961 - X-Coordinate,STARLINK-32227 - X-Coordinate,STARLINK-3802 - X-Coordinate,STARLINK-31645 - X-Coordinate,STARLINK-2410 - X-Coordinate,STARLINK-2557 - X-Coordinate,STARLINK-4632 - X-Coordinate,STARLINK-31253 - X-Coordinate,STARLINK-4031 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30702 - Y-Coordinate,STARLINK-6072 - Y-Coordinate,STARLINK-1337 - Y-Coordinate,STARLINK-5545 - Y-Coordinate,STARLINK-2698 - Y-Coordinate,STARLINK-5772 - Y-Coordinate,STARLINK-1167 - Y-Coordinate,STARLINK-5889 - Y-Coordinate,STARLINK-3797 - Y-Coordinate,STARLINK-31276 - Y-Coordinate,STARLINK-30781 - Y-Coordinate,STARLINK-30296 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-31113 - Y-Coordinate,STARLINK-3200 - Y-Coordinate,STARLINK-1216 - Y-Coordinate,STARLINK-5448 - Y-Coordinate,STARLINK-11283 [DTC] - Y-Coordinate,STARLINK-5748 - Y-Coordinate,STARLINK-4626 - Y-Coordinate,STARLINK-31771 - Y-Coordinate,STARLINK-31161 - Y-Coordinate,STARLINK-32089 - Y-Coordinate,STARLINK-2731 - Y-Coordinate,STARLINK-2688 - Y-Coordinate,STARLINK-32170 - Y-Coordinate,STARLINK-5003 - Y-Coordinate,STARLINK-4328 - Y-Coordinate,STARLINK-1541 - Y-Coordinate,STARLINK-30553 - Y-Coordinate,STARLINK-6340 - Y-Coordinate,STARLINK-5227 - Y-Coordinate,STARLINK-30228 - Y-Coordinate,STARLINK-31073 - Y-Coordinate,STARLINK-31468 - Y-Coordinate,STARLINK-31455 - Y-Coordinate,STARLINK-3945 - Y-Coordinate,STARLINK-3268 - Y-Coordinate,STARLINK-30176 - Y-Coordinate,STARLINK-5572 - Y-Coordinate,STARLINK-31374 - Y-Coordinate,STARLINK-4022 - Y-Coordinate,STARLINK-3556 - Y-Coordinate,STARLINK-4083 - Y-Coordinate,STARLINK-6125 - Y-Coordinate,STARLINK-4400 - Y-Coordinate,STARLINK-3820 - Y-Coordinate,STARLINK-4173 - Y-Coordinate,STARLINK-1750 - Y-Coordinate,STARLINK-1764 - Y-Coordinate,STARLINK-30910 - Y-Coordinate,STARLINK-5134 - Y-Coordinate,STARLINK-3304 - Y-Coordinate,STARLINK-6185 - Y-Coordinate,STARLINK-30186 - Y-Coordinate,STARLINK-31246 - Y-Coordinate,STARLINK-1784 - Y-Coordinate,STARLINK-3832 - Y-Coordinate,STARLINK-30777 - Y-Coordinate,STARLINK-31263 - Y-Coordinate,STARLINK-32121 - Y-Coordinate,STARLINK-30262 - Y-Coordinate,STARLINK-5112 - Y-Coordinate,STARLINK-4213 - Y-Coordinate,STARLINK-2609 - Y-Coordinate,STARLINK-31597 - Y-Coordinate,STARLINK-30101 - Y-Coordinate,STARLINK-30181 - Y-Coordinate,STARLINK-30936 - Y-Coordinate,STARLINK-4461 - Y-Coordinate,STARLINK-32197 - Y-Coordinate,STARLINK-30849 - Y-Coordinate,STARLINK-2461 - Y-Coordinate,STARLINK-30831 - Y-Coordinate,STARLINK-31635 - Y-Coordinate,STARLINK-4298 - Y-Coordinate,STARLINK-5377 - Y-Coordinate,STARLINK-1928 - Y-Coordinate,STARLINK-3368 - Y-Coordinate,STARLINK-1489 - Y-Coordinate,STARLINK-31402 - Y-Coordinate,STARLINK-30178 - Y-Coordinate,STARLINK-3503 - Y-Coordinate,STARLINK-11079 [DTC] - Y-Coordinate,STARLINK-30206 - Y-Coordinate,STARLINK-30354 - Y-Coordinate,STARLINK-2524 - Y-Coordinate,STARLINK-5947 - Y-Coordinate,STARLINK-6327 - Y-Coordinate,STARLINK-5409 - Y-Coordinate,STARLINK-30829 - Y-Coordinate,STARLINK-31961 - Y-Coordinate,STARLINK-32227 - Y-Coordinate,STARLINK-3802 - Y-Coordinate,STARLINK-31645 - Y-Coordinate,STARLINK-2410 - Y-Coordinate,STARLINK-2557 - Y-Coordinate,STARLINK-4632 - Y-Coordinate,STARLINK-31253 - Y-Coordinate,STARLINK-4031 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30702 - Z-Coordinate,STARLINK-6072 - Z-Coordinate,STARLINK-1337 - Z-Coordinate,STARLINK-5545 - Z-Coordinate,STARLINK-2698 - Z-Coordinate,STARLINK-5772 - Z-Coordinate,STARLINK-1167 - Z-Coordinate,STARLINK-5889 - Z-Coordinate,STARLINK-3797 - Z-Coordinate,STARLINK-31276 - Z-Coordinate,STARLINK-30781 - Z-Coordinate,STARLINK-30296 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-31113 - Z-Coordinate,STARLINK-3200 - Z-Coordinate,STARLINK-1216 - Z-Coordinate,STARLINK-5448 - Z-Coordinate,STARLINK-11283 [DTC] - Z-Coordinate,STARLINK-5748 - Z-Coordinate,STARLINK-4626 - Z-Coordinate,STARLINK-31771 - Z-Coordinate,STARLINK-31161 - Z-Coordinate,STARLINK-32089 - Z-Coordinate,STARLINK-2731 - Z-Coordinate,STARLINK-2688 - Z-Coordinate,STARLINK-32170 - Z-Coordinate,STARLINK-5003 - Z-Coordinate,STARLINK-4328 - Z-Coordinate,STARLINK-1541 - Z-Coordinate,STARLINK-30553 - Z-Coordinate,STARLINK-6340 - Z-Coordinate,STARLINK-5227 - Z-Coordinate,STARLINK-30228 - Z-Coordinate,STARLINK-31073 - Z-Coordinate,STARLINK-31468 - Z-Coordinate,STARLINK-31455 - Z-Coordinate,STARLINK-3945 - Z-Coordinate,STARLINK-3268 - Z-Coordinate,STARLINK-30176 - Z-Coordinate,STARLINK-5572 - Z-Coordinate,STARLINK-31374 - Z-Coordinate,STARLINK-4022 - Z-Coordinate,STARLINK-3556 - Z-Coordinate,STARLINK-4083 - Z-Coordinate,STARLINK-6125 - Z-Coordinate,STARLINK-4400 - Z-Coordinate,STARLINK-3820 - Z-Coordinate,STARLINK-4173 - Z-Coordinate,STARLINK-1750 - Z-Coordinate,STARLINK-1764 - Z-Coordinate,STARLINK-30910 - Z-Coordinate,STARLINK-5134 - Z-Coordinate,STARLINK-3304 - Z-Coordinate,STARLINK-6185 - Z-Coordinate,STARLINK-30186 - Z-Coordinate,STARLINK-31246 - Z-Coordinate,STARLINK-1784 - Z-Coordinate,STARLINK-3832 - Z-Coordinate,STARLINK-30777 - Z-Coordinate,STARLINK-31263 - Z-Coordinate,STARLINK-32121 - Z-Coordinate,STARLINK-30262 - Z-Coordinate,STARLINK-5112 - Z-Coordinate,STARLINK-4213 - Z-Coordinate,STARLINK-2609 - Z-Coordinate,STARLINK-31597 - Z-Coordinate,STARLINK-30101 - Z-Coordinate,STARLINK-30181 - Z-Coordinate,STARLINK-30936 - Z-Coordinate,STARLINK-4461 - Z-Coordinate,STARLINK-32197 - Z-Coordinate,STARLINK-30849 - Z-Coordinate,STARLINK-2461 - Z-Coordinate,STARLINK-30831 - Z-Coordinate,STARLINK-31635 - Z-Coordinate,STARLINK-4298 - Z-Coordinate,STARLINK-5377 - Z-Coordinate,STARLINK-1928 - Z-Coordinate,STARLINK-3368 - Z-Coordinate,STARLINK-1489 - Z-Coordinate,STARLINK-31402 - Z-Coordinate,STARLINK-30178 - Z-Coordinate,STARLINK-3503 - Z-Coordinate,STARLINK-11079 [DTC] - Z-Coordinate,STARLINK-30206 - Z-Coordinate,STARLINK-30354 - Z-Coordinate,STARLINK-2524 - Z-Coordinate,STARLINK-5947 - Z-Coordinate,STARLINK-6327 - Z-Coordinate,STARLINK-5409 - Z-Coordinate,STARLINK-30829 - Z-Coordinate,STARLINK-31961 - Z-Coordinate,STARLINK-32227 - Z-Coordinate,STARLINK-3802 - Z-Coordinate,STARLINK-31645 - Z-Coordinate,STARLINK-2410 - Z-Coordinate,STARLINK-2557 - Z-Coordinate,STARLINK-4632 - Z-Coordinate,STARLINK-31253 - Z-Coordinate,STARLINK-4031 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4196.1494,-348.6486,-5852.3202,-2048.7805,-5973.6056,-4066.1287,-3881.0072,3886.4435,-4595.5052,3929.3835,-2619.6812,3902.9116,2665.6648,5414.9466,-4503.5936,3499.1876,3375.6579,-5587.9136,914.3618,6142.6137,161.3926,5859.2922,-3379.6908,-3278.9813,-1877.9654,6252.7449,1715.2660,-4215.4661,4239.8299,-1020.1569,-12.8184,-1826.6263,-4266.6608,-6837.9207,2356.6242,743.5619,1727.6667,4166.5411,-6925.6730,4063.0341,-5531.6830,3201.0271,6123.5684,-1316.8697,-2359.6068,836.7747,-2997.4353,-5823.1096,2080.3281,3723.2060,4337.6847,2759.9678,5665.2669,3736.5441,6718.7864,3859.6035,-1624.0239,-5715.9549,-2601.4046,2811.1243,5121.3342,-4477.6575,-1964.6752,-5788.0132,5759.9224,5945.1277,301.6351,1904.5082,-4904.9938,549.2852,4513.0696,6002.3420,-674.1883,-4297.3183,-6340.8182,-2931.3203,6317.7864,3958.6929,2988.2258,-427.7638,-1050.7778,4362.1634,-2981.0674,-6621.1381,-478.0370,1054.6381,5070.2605,3132.4527,-4660.7737,-6057.3614,-2110.7573,5296.2452,-6054.5028,-3474.0630,-4631.6445,-3775.6378,5473.8547,4439.0807,-1946.4734,-4107.7383,143033.3252,160416.6201,147819.5274,143365.9827,148451.2767,146059.8771,152937.1743,148659.5479,-260863649.7476,-260858722.1882,-260842624.3368,-260840964.3457,148521.1369,-260848708.1570,-2206.4790,-6897.5071,2952.9571,2327.9492,-3489.0590,-3243.7144,-1717.3469,-2270.8192,2821.4822,-3380.7101,4395.3606,-1984.2269,-4519.9694,-1275.3224,-436.8839,3152.2215,-3422.0109,1863.0106,-5083.1381,-2999.5523,6173.2579,3509.2949,-4389.8545,4778.1327,6499.0920,-213.9392,-5695.9028,-3390.0131,-854.4751,-5790.0080,-6901.7119,-4971.4420,-2833.4826,1121.6720,-3366.3617,-6646.3542,-5007.6736,2251.5935,258.1213,-3534.8858,845.2841,-6014.1061,2538.9990,-4079.3753,-6391.2229,1500.5319,3071.3145,-3719.7144,-3648.5181,5286.6790,-470.3822,4157.2866,-1888.4884,5625.2692,896.3862,3888.8892,-3938.3081,2823.6235,4475.4531,5821.9313,3587.2670,-2902.4332,3969.7082,-3445.8880,3088.4072,-1964.6791,6089.8149,-5727.5664,-517.9136,-6675.5217,-721.2710,1488.5816,-4677.2794,-911.7861,-70.2866,-6009.7279,2407.3312,5127.3068,-5292.6479,-4453.1280,5266.5886,-2696.4898,-4767.5844,-1218.2618,-6493.2848,-6015.5021,-1740.4763,-5739.2668,-2076.9558,-3360.2205,-6497.8311,4299.1112,571.1661,5937.9804,1426.2685,-2218.2692,-1410.5000,-2977.1347,5289.9592,768.8806,343852.5124,322091.4775,324342.9787,329488.8845,323389.1640,326641.6909,331593.7514,330386.4457,61242057.8487,61231638.1559,61230178.2488,61230630.8017,330064.3854,61228404.5888,4937.7936,801.0278,-2254.3066,6210.7469,363.8145,4581.2630,5465.2785,5287.6279,-4341.4980,-4508.3656,4676.4853,-5280.6930,4500.2863,4016.4997,-5241.5182,5067.7939,-4985.1646,-3240.1810,4623.4366,-1248.0931,2862.9500,712.0516,-3986.5268,-3826.5888,-1599.4079,2721.5593,-3542.6297,4345.5108,5404.7519,3673.2772,-722.2972,-4460.3306,4674.0122,218.8000,5476.4873,1336.4406,4439.9701,-5050.7705,380.2231,4362.5866,-3962.6078,1213.0250,-1988.2237,-5437.4150,1306.2380,6720.3104,-5432.5816,338.8055,-5517.4452,2475.4807,5260.0519,-4800.3613,-3503.9157,-1596.2545,-1488.2951,-4105.8237,5453.0940,2677.5031,-4627.2484,-2251.2462,2758.6407,4243.1928,-5321.8274,-1594.7471,-2317.7766,2703.9895,3307.4062,3413.0083,-4763.2567,1831.2870,-5076.2406,3135.8505,5056.1601,5251.9818,2507.7451,-1783.6075,1546.0330,-2484.4293,-3312.9697,5252.7303,-4262.8987,4663.0936,-4039.4731,-155.5900,-2407.2739,-3297.7892,4377.6557,-2323.4314,-4705.4692,391.5752,559.4625,-194.9121,-3108.4389,-762.5604,4839.3819,5360.0786,3998.2302,4428.2555,3869.1437,-5524.5194,158916.8805,153818.2341,152571.5420,161327.5689,158020.8762,147403.2645,148880.0521,152901.2622,50731027.6803,50710045.4946,50707499.0492,50718710.6025,154693.4108,50728249.5631,
300.000,3867.3393,-961.9211,-5492.8521,-1599.0290,-6365.7349,-4923.6094,-4882.8887,4418.7296,-2767.2323,2679.7991,-586.3539,3346.6068,642.4720,5276.9889,-3824.3968,5159.8621,1340.1526,-4081.3471,-1236.2469,5645.5356,1838.8646,6206.9607,-4394.8285,-2395.6313,-717.6915,6569.4017,513.1671,-2617.8018,4118.6023,-2659.5986,-1514.2017,-3570.6752,-5415.8605,-6248.2281,523.8238,-864.3806,409.2624,5547.6167,-6620.7012,2207.1772,-5555.1354,1813.1652,5847.0899,-3359.5046,-3765.7767,552.1982,-1066.6008,-6252.8173,253.3170,4950.5297,4514.8739,4555.1001,5718.2958,4657.2944,6910.8982,4171.3984,-3628.8798,-5449.8204,-836.5580,3595.7439,5077.2846,-5761.8898,191.4327,-6477.0408,5588.5272,5643.5147,2001.6558,353.9779,-4007.1087,903.9729,3268.4864,5570.3705,-2589.7067,-3924.8934,-5528.2288,-3718.5398,6867.4755,4435.1341,2025.3702,-2430.1568,1052.5101,3258.4718,-4588.1738,-6444.8807,-2031.6561,-812.0532,5157.3073,1815.3420,-5452.4533,-6412.9225,-3110.0491,6007.3385,-6371.6254,-2364.4850,-4695.3783,-5102.0866,5685.3800,5656.4363,-745.0541,-3335.2567,135648.6143,153466.9760,140707.2288,136419.0683,141505.8475,139067.6115,145896.9927,141252.3196,-262135480.4793,-262130824.0841,-262114667.4812,-262113019.2595,141547.9396,-262120504.0056,-4101.2478,-6760.3998,4195.6903,4265.3941,-2328.8625,-1269.8461,132.1916,-3801.6289,3606.5243,-5021.3879,5110.9152,-3949.4928,-4388.6647,-3192.5017,1606.5190,2143.6033,-3986.7287,2884.0693,-4949.8792,-2272.8190,5257.2985,1955.0647,-2553.8335,6085.9008,6909.4898,-1552.7998,-6614.8617,-2699.8095,-2922.7754,-4614.4681,-6409.5108,-5021.4103,-1073.3783,2238.6005,-4512.2997,-6186.6439,-6150.6148,905.8757,1737.4255,-4574.5675,2754.3240,-6014.9456,1048.4588,-3693.0283,-5823.4055,3611.7923,4069.5100,-2575.7824,-4732.5161,4786.4162,-2510.6889,3726.2807,-3392.1056,4218.4960,-615.9579,1947.6523,-3323.8323,4149.1266,5569.8311,4446.2429,1896.8116,-1372.1679,4150.6191,-2428.2931,1519.8520,-3604.6115,5126.9116,-6576.1046,1374.0294,-5692.7521,-2482.8823,-387.4029,-4971.2270,1235.1366,1589.4323,-4757.1975,980.9738,3590.2346,-6396.1579,-4703.3389,4922.8774,-4480.9647,-4486.5312,53.6898,-5583.1014,-5454.6399,-3467.2510,-6639.0919,-117.7448,-1848.4322,-5649.3743,2939.0614,1978.7320,6417.1669,3313.9369,-651.9227,-3024.2996,-3158.3389,6367.5261,2796.4492,346879.6844,325442.3849,327449.5252,332634.6534,326441.3578,329663.1867,334720.5767,333710.5230,55531978.2627,55521635.6092,55520664.8073,55521213.4617,333166.8115,55518417.6290,3886.6247,-1322.7213,-501.7155,5241.3265,-1438.9690,4710.5479,4902.2321,3779.4280,-5222.3801,-3846.2101,4646.6288,-4500.3172,5300.1838,3010.6233,-5544.8389,4082.4177,-5502.1491,-4497.7795,4692.8382,-3357.6208,3910.6543,2186.4567,-4555.1664,-2330.5764,194.3721,1007.7664,-1974.8723,5827.8911,4735.5915,4435.9584,-2190.0825,-3157.8067,4196.4298,1994.5291,5123.4569,2732.1864,3131.4715,-4042.0095,-1159.3981,4715.2150,-2932.2042,2895.6162,-3553.8504,-4797.4171,-228.5358,5896.9076,-5498.7387,-1468.2435,-5061.6377,744.5177,4475.9744,-3647.2075,-1927.9055,-2945.9076,38.2830,-5068.8411,4866.1763,964.8954,-4059.3289,-3766.3824,4158.0110,3378.3863,-5539.0455,206.7389,-3816.5115,1303.1344,4219.8438,2176.2772,-5392.3329,3866.3529,-5460.1271,4108.7140,4061.8240,5472.0353,3659.8570,-3384.3405,22.9532,-3948.4506,-1698.9910,4425.6227,-4657.1302,4166.7003,-2596.3274,-1958.0222,-3591.0279,-4214.8479,3051.3028,-871.4393,-4292.9008,1889.8032,2316.9665,1350.5183,-1453.6174,1053.0458,3728.6408,4633.1923,2549.3232,2500.6168,2382.2136,-5389.2042,158860.9006,153734.1451,152537.2501,161158.2975,158117.0403,147483.4986,148607.7038,152906.9856,50735188.3611,50714340.8220,50711497.5920,50722415.3408,154619.2973,50732156.0316,
600.000,3185.9867,-1494.9314,-4593.6055,-1056.0675,-6135.9817,-5347.2938,-5444.1537,4542.6417,-672.3250,1198.9563,1487.7636,2501.0664,-1463.4842,4637.8157,-2825.1517,6317.6257,-820.3375,-2139.3856,-3271.0119,4517.0916,3361.5095,5947.7683,-5007.3618,-1302.8702,515.2333,6208.6934,-717.7824,-781.4004,3642.7807,-4077.4121,-2890.1922,-4941.8610,-6069.4797,-5038.0253,-1325.5205,-2409.5078,-916.0981,6397.3719,-5675.6985,153.7370,-5046.1317,218.7465,5015.0182,-5068.1697,-4809.5525,125.5803,941.5762,-6069.8523,-1562.2862,5681.8724,4275.7150,5890.6111,5218.7069,5155.3865,6434.4526,4113.9107,-5279.8233,-4648.8523,979.9445,4054.5291,4549.0301,-6472.4463,2326.8703,-6523.1682,4897.1608,4775.6032,3541.9779,-1210.7878,-2751.1061,1106.5725,1734.4324,4628.9746,-4226.1259,-3212.3763,-4168.3790,-4174.2769,6752.4486,4517.3461,880.4010,-4169.3753,3065.2806,1877.7800,-5726.8766,-5577.8368,-3421.7633,-2628.2999,4761.7554,330.8616,-5752.9554,-6158.0431,-3816.9432,6114.5261,-6036.4511,-1009.0996,-4317.3215,-5954.0160,5354.4677,6275.3002,505.9329,-2291.6501,128200.4844,146445.5041,133531.0330,129406.8243,134497.6618,132014.7211,138788.6318,133793.1793,-263282332.6860,-263277950.7079,-263261755.7056,-263260134.7412,134509.8725,-263267325.0111,-5566.2725,-5936.3115,5019.0918,5774.7205,-924.1390,810.7518,1933.4186,-4916.9192,4093.6915,-6173.8676,5374.1226,-5512.8915,-3878.3158,-4777.0929,3515.8780,967.8863,-4219.5931,3645.4269,-4383.0280,-1342.0567,3821.5380,188.7329,-469.6096,6792.8133,6642.4158,-2719.5711,-6880.5438,-1648.9779,-4692.8780,-3015.9519,-5301.0827,-4603.9609,761.0790,3156.6401,-5242.5269,-5104.8851,-6692.6628,-487.5266,3060.0621,-5214.1414,4371.7274,-5437.6659,-578.2458,-2995.6348,-4691.2274,5325.7833,4721.0333,-1161.7702,-5394.7771,3818.3895,-4274.5141,2966.5335,-4543.1778,2395.8754,-2069.1348,-202.2870,-2435.0824,5053.6586,6153.8511,2607.8048,-16.5242,267.5719,3984.1211,-1167.0832,-228.7873,-4867.8615,3691.4120,-6794.5974,3162.7158,-4095.4893,-4030.4055,-2252.3320,-4812.8594,3269.9741,3119.2971,-3024.1336,-540.0551,1685.2234,-6862.1006,-4529.3604,4129.3616,-5844.1496,-3786.6026,1342.2950,-4146.7826,-4397.5069,-4830.8570,-6895.4833,1829.9850,-142.6020,-4216.4364,1269.0237,3166.4442,6263.7889,4843.8779,936.1938,-4318.3172,-2965.3366,6793.8832,4566.7245,349746.5400,328644.3722,330410.8725,335634.4291,329351.1241,332537.6576,337696.2823,336829.3308,49795553.3138,49785275.5731,49784796.0473,49785435.6886,336121.9531,49782086.3944,2404.3262,-3306.2413,1304.6457,3715.2963,-3087.4633,4336.4330,3812.9907,1869.6324,-5543.7257,-2761.4839,4120.3566,-3223.7535,5529.2438,1672.8042,-5254.6085,2658.3094,-5430.3253,-5229.1270,4260.8545,-5110.8383,4516.6255,3419.8435,-4614.1128,-586.2435,1967.4470,-819.1362,-194.7647,6689.7247,3558.6298,4724.4357,-3424.2045,-1516.1606,3270.7985,3556.4792,4203.0538,3820.6609,1485.2593,-2599.5072,-2575.3716,4563.7602,-1577.8085,4266.3280,-4737.7405,-3643.1545,-1738.9092,4446.0200,-4975.9211,-3117.2376,-4065.7885,-1066.4442,3193.2145,-2102.5441,-144.6064,-3981.3465,1560.7525,-5470.5047,3756.9782,-851.7803,-3059.3639,-4863.7108,5093.0990,2133.9677,-5163.2019,1985.9307,-4907.7984,-244.1549,4681.8210,706.8662,-5427.0481,5489.5150,-5235.3198,4642.4074,2631.4014,5086.2118,4400.6738,-4621.4308,-1502.6002,-4991.5528,97.8082,3119.0421,-4537.1551,3224.9293,-874.1156,-3532.0891,-4392.3164,-4683.0565,1397.1486,673.6748,-3423.1378,3185.9935,3817.6871,2744.2419,364.0360,2755.1963,2204.8650,3409.2873,826.7633,306.6566,629.7636,-4677.4971,158804.3282,153650.1002,152506.8308,160983.9377,158209.5704,147569.0937,148341.3531,153036.9830,50739347.4784,50718643.5457,50715503.8598,50726138.6482,154545.0923,50736062.3078,
