sl_100_5400_20240626 Coordinates.csv
2024/06/26 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:24 2024,
Start: 2024/06/26 07:47:00.00, Stop: 2024/06/26 09:17:00.00,
TIME_UNITS,STARLINK-31772 - X-Coordinate,STARLINK-5215 - X-Coordinate,STARLINK-30585 - X-Coordinate,STARLINK-1944 - X-Coordinate,STARLINK-32099 - X-Coordinate,STARLINK-2096 - X-Coordinate,STARLINK-30375 - X-Coordinate,STARLINK-30821 - X-Coordinate,STARLINK-3560 - X-Coordinate,STARLINK-2511 - X-Coordinate,STARLINK-30486 - X-Coordinate,STARLINK-6273 - X-Coordinate,STARLINK-5454 - X-Coordinate,STARLINK-2267 - X-Coordinate,STARLINK-2473 - X-Coordinate,STARLINK-5715 - X-Coordinate,STARLINK-5435 - X-Coordinate,STARLINK-5989 - X-Coordinate,STARLINK-3848 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-4402 - X-Coordinate,STARLINK-5786 - X-Coordinate,STARLINK-5442 - X-Coordinate,STARLINK-30805 - X-Coordinate,STARLINK-2523 - X-Coordinate,STARLINK-5389 - X-Coordinate,STARLINK-3248 - X-Coordinate,STARLINK-1171 - X-Coordinate,STARLINK-30923 - X-Coordinate,STARLINK-4356 - X-Coordinate,STARLINK-5700 - X-Coordinate,STARLINK-3573 - X-Coordinate,STARLINK-11224 [DTC] - X-Coordinate,STARLINK-5735 - X-Coordinate,STARLINK-1452 - X-Coordinate,STARLINK-4198 - X-Coordinate,STARLINK-3684 - X-Coordinate,STARLINK-4764 - X-Coordinate,STARLINK-5193 - X-Coordinate,STARLINK-4341 - X-Coordinate,STARLINK-5148 - X-Coordinate,STARLINK-3234 - X-Coordinate,STARLINK-5160 - X-Coordinate,STARLINK-4750 - X-Coordinate,STARLINK-4256 - X-Coordinate,STARLINK-5692 - X-Coordinate,STARLINK-2692 - X-Coordinate,STARLINK-1148 - X-Coordinate,STARLINK-3534 - X-Coordinate,STARLINK-31996 - X-Coordinate,STARLINK-31170 - X-Coordinate,STARLINK-3802 - X-Coordinate,STARLINK-5400 - X-Coordinate,STARLINK-4202 - X-Coordinate,STARLINK-5271 - X-Coordinate,STARLINK-5646 - X-Coordinate,STARLINK-32204 - X-Coordinate,STARLINK-4732 - X-Coordinate,STARLINK-5041 - X-Coordinate,STARLINK-1335 - X-Coordinate,STARLINK-4754 - X-Coordinate,STARLINK-1275 - X-Coordinate,STARLINK-5809 - X-Coordinate,STARLINK-4448 - X-Coordinate,STARLINK-2284 - X-Coordinate,STARLINK-2182 - X-Coordinate,STARLINK-3549 - X-Coordinate,STARLINK-6259 - X-Coordinate,STARLINK-31975 - X-Coordinate,STARLINK-4636 - X-Coordinate,STARLINK-4597 - X-Coordinate,STARLINK-6065 - X-Coordinate,STARLINK-32267 - X-Coordinate,STARLINK-30228 - X-Coordinate,STARLINK-30841 - X-Coordinate,STARLINK-31826 - X-Coordinate,STARLINK-31801 - X-Coordinate,STARLINK-11225 [DTC] - X-Coordinate,STARLINK-6157 - X-Coordinate,STARLINK-5558 - X-Coordinate,STARLINK-11237 [DTC] - X-Coordinate,STARLINK-5131 - X-Coordinate,STARLINK-5153 - X-Coordinate,STARLINK-3156 - X-Coordinate,STARLINK-2405 - X-Coordinate,STARLINK-5897 - X-Coordinate,STARLINK-11259 [DTC] - X-Coordinate,STARLINK-6172 - X-Coordinate,STARLINK-31226 - X-Coordinate,STARLINK-1845 - X-Coordinate,STARLINK-6145 - X-Coordinate,STARLINK-5173 - X-Coordinate,STARLINK-30520 - X-Coordinate,STARLINK-3084 - X-Coordinate,STARLINK-32167 - X-Coordinate,STARLINK-6028 - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-4724 - X-Coordinate,STARLINK-4640 - X-Coordinate,STARLINK-31488 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31772 - Y-Coordinate,STARLINK-5215 - Y-Coordinate,STARLINK-30585 - Y-Coordinate,STARLINK-1944 - Y-Coordinate,STARLINK-32099 - Y-Coordinate,STARLINK-2096 - Y-Coordinate,STARLINK-30375 - Y-Coordinate,STARLINK-30821 - Y-Coordinate,STARLINK-3560 - Y-Coordinate,STARLINK-2511 - Y-Coordinate,STARLINK-30486 - Y-Coordinate,STARLINK-6273 - Y-Coordinate,STARLINK-5454 - Y-Coordinate,STARLINK-2267 - Y-Coordinate,STARLINK-2473 - Y-Coordinate,STARLINK-5715 - Y-Coordinate,STARLINK-5435 - Y-Coordinate,STARLINK-5989 - Y-Coordinate,STARLINK-3848 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-4402 - Y-Coordinate,STARLINK-5786 - Y-Coordinate,STARLINK-5442 - Y-Coordinate,STARLINK-30805 - Y-Coordinate,STARLINK-2523 - Y-Coordinate,STARLINK-5389 - Y-Coordinate,STARLINK-3248 - Y-Coordinate,STARLINK-1171 - Y-Coordinate,STARLINK-30923 - Y-Coordinate,STARLINK-4356 - Y-Coordinate,STARLINK-5700 - Y-Coordinate,STARLINK-3573 - Y-Coordinate,STARLINK-11224 [DTC] - Y-Coordinate,STARLINK-5735 - Y-Coordinate,STARLINK-1452 - Y-Coordinate,STARLINK-4198 - Y-Coordinate,STARLINK-3684 - Y-Coordinate,STARLINK-4764 - Y-Coordinate,STARLINK-5193 - Y-Coordinate,STARLINK-4341 - Y-Coordinate,STARLINK-5148 - Y-Coordinate,STARLINK-3234 - Y-Coordinate,STARLINK-5160 - Y-Coordinate,STARLINK-4750 - Y-Coordinate,STARLINK-4256 - Y-Coordinate,STARLINK-5692 - Y-Coordinate,STARLINK-2692 - Y-Coordinate,STARLINK-1148 - Y-Coordinate,STARLINK-3534 - Y-Coordinate,STARLINK-31996 - Y-Coordinate,STARLINK-31170 - Y-Coordinate,STARLINK-3802 - Y-Coordinate,STARLINK-5400 - Y-Coordinate,STARLINK-4202 - Y-Coordinate,STARLINK-5271 - Y-Coordinate,STARLINK-5646 - Y-Coordinate,STARLINK-32204 - Y-Coordinate,STARLINK-4732 - Y-Coordinate,STARLINK-5041 - Y-Coordinate,STARLINK-1335 - Y-Coordinate,STARLINK-4754 - Y-Coordinate,STARLINK-1275 - Y-Coordinate,STARLINK-5809 - Y-Coordinate,STARLINK-4448 - Y-Coordinate,STARLINK-2284 - Y-Coordinate,STARLINK-2182 - Y-Coordinate,STARLINK-3549 - Y-Coordinate,STARLINK-6259 - Y-Coordinate,STARLINK-31975 - Y-Coordinate,STARLINK-4636 - Y-Coordinate,STARLINK-4597 - Y-Coordinate,STARLINK-6065 - Y-Coordinate,STARLINK-32267 - Y-Coordinate,STARLINK-30228 - Y-Coordinate,STARLINK-30841 - Y-Coordinate,STARLINK-31826 - Y-Coordinate,STARLINK-31801 - Y-Coordinate,STARLINK-11225 [DTC] - Y-Coordinate,STARLINK-6157 - Y-Coordinate,STARLINK-5558 - Y-Coordinate,STARLINK-11237 [DTC] - Y-Coordinate,STARLINK-5131 - Y-Coordinate,STARLINK-5153 - Y-Coordinate,STARLINK-3156 - Y-Coordinate,STARLINK-2405 - Y-Coordinate,STARLINK-5897 - Y-Coordinate,STARLINK-11259 [DTC] - Y-Coordinate,STARLINK-6172 - Y-Coordinate,STARLINK-31226 - Y-Coordinate,STARLINK-1845 - Y-Coordinate,STARLINK-6145 - Y-Coordinate,STARLINK-5173 - Y-Coordinate,STARLINK-30520 - Y-Coordinate,STARLINK-3084 - Y-Coordinate,STARLINK-32167 - Y-Coordinate,STARLINK-6028 - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-4724 - Y-Coordinate,STARLINK-4640 - Y-Coordinate,STARLINK-31488 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31772 - Z-Coordinate,STARLINK-5215 - Z-Coordinate,STARLINK-30585 - Z-Coordinate,STARLINK-1944 - Z-Coordinate,STARLINK-32099 - Z-Coordinate,STARLINK-2096 - Z-Coordinate,STARLINK-30375 - Z-Coordinate,STARLINK-30821 - Z-Coordinate,STARLINK-3560 - Z-Coordinate,STARLINK-2511 - Z-Coordinate,STARLINK-30486 - Z-Coordinate,STARLINK-6273 - Z-Coordinate,STARLINK-5454 - Z-Coordinate,STARLINK-2267 - Z-Coordinate,STARLINK-2473 - Z-Coordinate,STARLINK-5715 - Z-Coordinate,STARLINK-5435 - Z-Coordinate,STARLINK-5989 - Z-Coordinate,STARLINK-3848 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-4402 - Z-Coordinate,STARLINK-5786 - Z-Coordinate,STARLINK-5442 - Z-Coordinate,STARLINK-30805 - Z-Coordinate,STARLINK-2523 - Z-Coordinate,STARLINK-5389 - Z-Coordinate,STARLINK-3248 - Z-Coordinate,STARLINK-1171 - Z-Coordinate,STARLINK-30923 - Z-Coordinate,STARLINK-4356 - Z-Coordinate,STARLINK-5700 - Z-Coordinate,STARLINK-3573 - Z-Coordinate,STARLINK-11224 [DTC] - Z-Coordinate,STARLINK-5735 - Z-Coordinate,STARLINK-1452 - Z-Coordinate,STARLINK-4198 - Z-Coordinate,STARLINK-3684 - Z-Coordinate,STARLINK-4764 - Z-Coordinate,STARLINK-5193 - Z-Coordinate,STARLINK-4341 - Z-Coordinate,STARLINK-5148 - Z-Coordinate,STARLINK-3234 - Z-Coordinate,STARLINK-5160 - Z-Coordinate,STARLINK-4750 - Z-Coordinate,STARLINK-4256 - Z-Coordinate,STARLINK-5692 - Z-Coordinate,STARLINK-2692 - Z-Coordinate,STARLINK-1148 - Z-Coordinate,STARLINK-3534 - Z-Coordinate,STARLINK-31996 - Z-Coordinate,STARLINK-31170 - Z-Coordinate,STARLINK-3802 - Z-Coordinate,STARLINK-5400 - Z-Coordinate,STARLINK-4202 - Z-Coordinate,STARLINK-5271 - Z-Coordinate,STARLINK-5646 - Z-Coordinate,STARLINK-32204 - Z-Coordinate,STARLINK-4732 - Z-Coordinate,STARLINK-5041 - Z-Coordinate,STARLINK-1335 - Z-Coordinate,STARLINK-4754 - Z-Coordinate,STARLINK-1275 - Z-Coordinate,STARLINK-5809 - Z-Coordinate,STARLINK-4448 - Z-Coordinate,STARLINK-2284 - Z-Coordinate,STARLINK-2182 - Z-Coordinate,STARLINK-3549 - Z-Coordinate,STARLINK-6259 - Z-Coordinate,STARLINK-31975 - Z-Coordinate,STARLINK-4636 - Z-Coordinate,STARLINK-4597 - Z-Coordinate,STARLINK-6065 - Z-Coordinate,STARLINK-32267 - Z-Coordinate,STARLINK-30228 - Z-Coordinate,STARLINK-30841 - Z-Coordinate,STARLINK-31826 - Z-Coordinate,STARLINK-31801 - Z-Coordinate,STARLINK-11225 [DTC] - Z-Coordinate,STARLINK-6157 - Z-Coordinate,STARLINK-5558 - Z-Coordinate,STARLINK-11237 [DTC] - Z-Coordinate,STARLINK-5131 - Z-Coordinate,STARLINK-5153 - Z-Coordinate,STARLINK-3156 - Z-Coordinate,STARLINK-2405 - Z-Coordinate,STARLINK-5897 - Z-Coordinate,STARLINK-11259 [DTC] - Z-Coordinate,STARLINK-6172 - Z-Coordinate,STARLINK-31226 - Z-Coordinate,STARLINK-1845 - Z-Coordinate,STARLINK-6145 - Z-Coordinate,STARLINK-5173 - Z-Coordinate,STARLINK-30520 - Z-Coordinate,STARLINK-3084 - Z-Coordinate,STARLINK-32167 - Z-Coordinate,STARLINK-6028 - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-4724 - Z-Coordinate,STARLINK-4640 - Z-Coordinate,STARLINK-31488 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3485.7668,1751.4326,-2803.5082,155.4887,6390.3761,-376.9600,1762.0089,-3462.9921,-612.1657,-4959.2498,-6639.2347,4983.1216,3693.2526,-4139.4315,6063.3662,-4105.4456,-1343.5935,-994.9580,755.6121,3712.7426,701.5492,1639.2302,1609.6970,4125.9363,-856.7791,-5571.4114,-5746.2373,6063.7524,5025.3493,6160.2712,2225.8331,-2142.2581,-238.0416,5034.9912,1335.9637,146.9405,-4462.0488,-5552.0621,-2378.8405,5680.1371,-2353.1419,-669.9220,-5761.4609,3210.2471,4873.5764,14.1649,-3437.6404,-6349.0669,-5206.9108,-5297.3893,-2014.1777,5818.1986,3172.0074,1603.2761,5166.5035,-5278.4688,1015.1029,-3832.0052,2986.3630,5097.3230,-3225.5407,-6013.1078,5413.0390,-209.0234,-1143.7523,4343.8948,2836.9372,6714.8158,-4928.6946,-1199.6391,3209.1800,1932.7825,2831.3292,-2327.7793,-3266.2572,6709.1308,219.9230,-4371.2258,-3191.5357,-3612.8989,-4952.8977,-3417.0995,720.0205,4148.2399,2286.4440,4472.8600,-3128.6016,5482.4725,1806.0601,-6169.3109,4686.7356,5148.6187,-1511.3647,2959.5656,-3321.5296,-2095.7981,-4270.9074,-3633.8065,-2011.2700,4947.3070,-208912.5487,-184469.3739,-192046.0427,-197634.7352,-191067.7355,-194246.4352,-188995.6812,-192305.3566,-251491667.6552,-251475365.0692,-251486061.6877,-251496782.5054,-192813.7894,-251501630.3614,-3665.2258,-5837.9050,-5998.1420,4186.6356,1599.7218,5587.5175,-6639.9290,5885.0713,-5762.1104,1709.8124,1074.3142,-1078.9190,2784.9804,509.0159,-3356.1770,-4500.3687,5894.0200,6836.8731,5663.2801,3465.8309,-6163.0448,-4871.9770,6722.6238,-2977.5136,-4819.2985,2824.3017,-360.3437,-767.5941,-1589.4875,-3203.8315,-5982.0421,5763.4274,5324.4917,-589.6292,6057.8915,6762.1177,1113.1776,-2352.6624,-3395.8090,3822.9104,-6144.0530,5395.7346,862.5592,-3398.0441,4417.7922,-6904.0802,-2591.7633,275.4404,-4546.7174,-1946.3355,-4679.7417,3519.8759,-5906.0736,-6283.3448,-1212.7488,1967.3589,6550.8986,-5248.2743,3151.5076,4661.4873,-3970.5400,2368.7159,3250.4019,-5954.9121,4609.1106,2565.7447,3148.6015,-378.0329,-2106.2791,-5620.6455,5492.9983,1388.9103,6201.0935,4943.2024,4067.9807,-959.1215,-5745.2233,-1899.5360,4124.5892,-2391.6361,119.9073,-4114.8011,4294.8018,-138.0465,-3547.2040,-1213.3773,-4150.9429,-3878.0010,6435.0249,-2583.3262,4960.0809,-4628.6508,4895.5039,-2601.5599,5060.6202,-1550.7375,3006.7936,2157.0784,3824.8389,-633.0293,-293653.0963,-307700.7609,-307881.7993,-304112.5064,-308615.2170,-306144.7126,-299486.4140,-302620.7796,38808397.6296,38811932.6238,38804985.2211,38818481.8163,-302164.0434,38823770.2118,-4591.6685,-3284.3583,2068.5287,-5539.2362,-1790.3323,4068.3007,-980.2026,1218.0428,3774.3402,4528.6946,-1710.7621,-4711.5920,-5150.9890,-5537.2492,0.6479,-3328.3119,3356.8074,756.7759,3895.1594,-4732.0995,3119.7702,4649.7182,-296.1954,-4722.5956,-4910.9431,3008.7763,-3846.2398,3271.6851,-4381.7259,-99.9566,2707.0444,-3179.0288,4087.0451,4724.9647,3073.0566,-1461.4445,5160.6758,3385.3668,5531.1273,-1168.0123,-2145.9121,4271.0785,3722.9838,5092.4380,2136.4570,-719.7028,-5433.6904,-2685.9494,322.1491,-3903.6871,-4604.4180,1268.9380,1771.4147,-2422.1986,-4443.8730,-4055.4139,1625.7466,2363.5973,-5394.8381,-553.9482,4648.4705,2288.0324,-2919.7099,-3573.6314,-5053.8115,4736.8504,-5473.8126,-1709.5215,-4227.6991,3843.2560,2714.7962,6500.6267,335.7202,-4284.7458,4562.8133,-1023.1138,-3677.3156,4731.1440,4564.5533,5424.1527,-4543.0390,-4393.4609,-5383.7703,5528.9800,5486.6400,5172.6527,4264.8244,-1750.4820,-1596.3347,1805.2021,-1260.2734,50.7711,-4684.3671,-5735.2315,3188.8566,-6452.4673,4251.5179,-5483.8548,-5410.4367,4695.6157,-86513.9711,-91714.7197,-92724.2343,-84012.9086,-87252.5582,-97877.2526,-96465.9202,-88978.0136,66602417.9020,66582138.6071,66614690.7607,66614584.7133,-90615.4644,66611462.7222,
300.000,2699.5592,571.2937,-4269.1737,2281.7877,6078.6403,1104.2048,278.8946,-2126.9825,-1981.2783,-3340.8105,-5717.3448,4185.9154,4100.3410,-3649.2316,5184.5558,-4806.1835,-99.8238,-288.1956,2113.0434,5020.9332,987.3662,-337.5022,2677.7998,2781.1370,-2717.4447,-5059.1350,-6423.4974,4826.9838,3427.4879,6055.3318,776.9241,-466.3762,1315.3552,4563.9455,2753.4481,1368.8591,-3089.9910,-6561.8933,-4087.4410,4822.1071,-3243.6867,1070.4819,-6109.9141,1158.8659,5878.9121,-1488.8025,-4882.5261,-5318.6812,-5672.2537,-6375.0695,-3762.8504,6438.3485,1468.0538,431.9493,5428.4691,-4909.8122,2255.6206,-5024.0741,4687.0353,5556.1911,-4942.3386,-4689.0753,4774.6821,256.9286,509.4069,4292.7855,4037.6259,6665.0945,-5934.7468,-2763.8317,3870.7732,2976.6487,3820.7029,-675.0955,-1734.7811,5930.5033,-1659.1557,-4100.5228,-1634.1660,-2869.4621,-3772.0262,-3947.5786,2622.3069,3782.6148,245.8233,5372.3285,-3755.1725,4020.7370,3292.1695,-6768.3467,5384.3771,4082.8094,629.7145,870.7289,-1548.1037,-2534.5729,-2354.2837,-2701.7181,-344.6494,5361.0863,-202715.7284,-178177.4354,-185787.9712,-191227.8454,-184634.4572,-187848.7114,-182673.9621,-185457.3709,-252276372.1059,-252260023.9674,-252270174.0499,-252280746.3807,-186420.5644,-252286297.2631,-5299.9239,-6694.9106,-5438.3186,3791.9176,-103.6788,6304.9963,-6908.8930,6596.3401,-4476.8654,2934.7182,2498.5308,-3075.2859,683.5115,2610.7768,-4240.5010,-2676.5419,6690.6454,6351.3564,4329.3453,1779.8699,-4789.0675,-5558.4233,6036.6550,-4620.9034,-5106.4356,4439.2241,1071.0267,-2035.7616,-2826.0619,-2651.2502,-6765.3559,5260.7092,6023.2819,-2678.9911,6192.8786,6028.9784,2764.9952,-1266.9025,-2093.9460,3769.8833,-4881.0482,4449.7849,2381.4987,-3995.1621,3628.3592,-6419.0667,-1098.0071,1575.6764,-3361.6961,-744.5171,-3402.7140,2475.9532,-6029.0858,-6873.7796,-2933.7989,3838.6007,6441.7116,-4714.2138,1991.2215,3445.2240,-3411.4572,3255.7097,2017.8319,-6779.1085,5604.4194,493.3548,1335.3260,-1915.1834,-390.6729,-5889.1798,3971.4235,-545.2484,5460.6279,6010.4457,5445.1750,-2087.3710,-4935.8819,219.3815,5473.4132,-500.5633,1850.8803,-2185.6412,3250.6122,-2275.4884,-4301.2885,-2511.1156,-2208.2745,-4750.3929,6029.4327,-1486.8323,3477.9465,-5277.5865,5112.3745,-2491.3075,4937.1115,611.0346,3690.4192,4042.3968,5045.7427,-2427.9419,-298097.4949,-311552.7383,-311934.4582,-308084.8488,-312676.2856,-310248.5274,-303503.1010,-306677.4725,33308177.3284,33312262.8977,33305013.9053,33318395.6894,-306185.0548,33323469.8597,-3359.2283,-1665.2249,587.4640,-5353.1697,-3107.1955,2639.7808,563.5604,-319.9651,4881.2152,5313.2243,-3040.7845,-4605.8334,-5536.7052,-5284.4275,-1786.3336,-4234.5009,1751.3150,2800.0952,4957.8287,-4450.6023,4924.6476,4128.8076,-2069.7829,-4370.3875,-3822.7940,1672.3938,-2350.3099,4537.2061,-5220.6472,2118.2994,1312.5998,-4475.8516,2670.3443,4474.8351,1422.3461,-3111.3573,5529.5202,1785.4090,5166.8566,-3286.8051,-3682.5833,5180.0775,2196.5611,5519.6009,368.1884,-2187.6921,-4797.6680,-4104.0461,2093.3843,-2425.3531,-4627.9519,-543.7508,3089.9545,-680.7381,-3135.3116,-3053.7269,-184.9385,615.6861,-4692.7120,-2302.3606,3425.7781,3791.8894,-4640.8851,-1492.7464,-4052.3508,5403.4955,-5462.8845,-196.7567,-3349.2656,2346.9107,4129.7103,6227.3971,-1481.3053,-3408.9776,3923.4026,-2733.1947,-4411.8623,5312.1504,3927.0614,6300.0960,-5247.6203,-5249.6507,-5523.7028,5320.8462,5417.5340,3621.0179,5119.1905,-3073.1566,-69.0949,19.1679,-2662.2761,1839.2361,-4653.9012,-6438.5487,4472.9700,-6451.9463,5115.7595,-4928.5645,-4729.6075,3509.0215,-86400.8219,-91586.4037,-92552.2363,-83978.6120,-86952.8320,-97591.4881,-96532.6029,-89067.7317,66605214.9377,66585031.8734,66617343.4831,66617058.3712,-90485.0490,66614435.0414,
600.000,1673.2250,-646.8320,-5317.7808,4191.6845,5165.7835,2449.5256,-1236.6553,-582.3785,-3204.0325,-1416.1740,-4247.7634,3027.6581,4164.6555,-2858.7799,3784.1290,-5084.4721,1134.2638,484.2199,3311.8135,5875.2704,1097.4297,-2259.4032,3502.9647,1205.0242,-4287.2886,-4070.5004,-6474.8987,3129.7993,1502.9354,5279.1168,-734.5763,1291.8701,2698.6345,3694.0716,3884.4529,2489.7073,-1454.8545,-6919.1559,-5419.4937,3467.1315,-3854.1008,2746.6032,-5864.8590,-997.5988,6297.2770,-2868.9372,-5876.3315,-3770.2121,-5590.1960,-6807.4391,-5163.3822,6420.8252,-398.8568,-774.6442,5179.3264,-4094.7221,3264.3929,-5711.5575,5942.8704,5485.0632,-6160.9407,-2882.2289,3694.5899,715.6452,2076.4011,3876.1572,4890.2161,5970.9495,-6355.7931,-4032.7582,4193.7130,3786.8086,4429.6433,1014.5472,-68.2347,4545.5356,-3399.4989,-3444.5329,48.8873,-1908.2087,-2225.3979,-4146.9879,4297.3895,3101.5597,-1796.0164,5755.4974,-4035.6313,2162.0202,4449.2710,-6697.5995,5584.2345,2597.9936,2704.5545,-1317.7082,411.8798,-2801.0796,-187.9712,-1556.0941,1315.3451,5257.8068,-196423.0608,-171808.6970,-179445.5665,-184737.8129,-178116.5792,-181363.0805,-176270.4020,-178599.0756,-252940805.1081,-252924424.6088,-252934023.0205,-252944486.0322,-179943.4391,-252950689.5214,-6385.8691,-6889.2505,-4356.4487,3085.9082,-1822.3918,6411.6573,-6509.9687,6670.5194,-2769.6406,3925.5907,3710.5695,-4789.5086,-1480.3511,4463.8071,-4723.6352,-591.2016,6825.0892,5227.4437,2588.3895,-46.8730,-2900.2037,-5740.1167,4746.8966,-5839.7506,-4926.6525,5615.4194,2372.0930,-3151.9566,-3829.9745,-1837.1318,-6894.6233,4272.6051,6083.3995,-4513.1834,5722.7922,4703.3242,4187.0155,-75.4420,-634.7865,3270.4972,-3130.0191,3102.7882,3643.1237,-4257.2558,2481.6452,-5317.6871,458.8004,2762.7876,-1825.3518,505.8470,-1823.2772,1180.2779,-5589.4638,-6781.2611,-4341.2967,5329.1416,5664.4458,-3716.3440,683.7502,1870.9005,-2551.3048,3853.4359,535.8349,-6866.2836,6075.7844,-1641.8614,-575.0762,-3265.2586,1337.1248,-5589.0897,2046.5423,-2380.9161,4147.1102,6515.1285,6314.0913,-3033.6200,-3657.0013,2333.0111,6311.8570,1480.6048,3426.5973,-39.7373,1939.1703,-4192.6911,-4686.8123,-3515.9091,-28.8632,-5192.5034,5022.5636,-243.4971,1647.0372,-5418.3674,4881.3697,-2213.9919,4349.9692,2693.4249,4036.6845,5542.7639,5802.3447,-3949.0183,-302411.6473,-315274.1694,-315849.5662,-311920.7994,-316596.9143,-314215.6178,-307389.1143,-310542.7823,27792200.3766,27796833.8921,27789307.9750,27802620.9342,-310070.8072,27807414.9737,-1751.3447,132.9808,-956.3891,-4598.9970,-4076.1694,927.6713,2047.0559,-1823.8010,5462.5374,5529.7340,-4046.6258,-4010.0429,-5329.4236,-4467.5690,-3382.0120,-4689.9898,-43.0087,4545.6322,5486.6559,-3695.3945,6205.3573,3166.5381,-3620.6607,-3552.9949,-2326.0993,157.1062,-601.8033,5317.5564,-5483.3927,4110.6139,-222.2948,-5292.4873,939.9099,3746.1647,-381.2082,-4426.7840,5303.0999,-6.9976,4246.4026,-5056.3140,-4823.6141,5531.3293,433.2577,5352.5839,-1439.7918,-3422.5356,-3649.2937,-5077.3748,3639.0587,-679.3211,-4142.9483,-2297.8893,4077.8029,1133.9835,-1489.7166,-1726.3771,-1974.9230,-1198.6472,-3487.7103,-3804.1857,1833.7022,4876.1755,-5871.6335,747.0068,-2618.1356,5490.1380,-4866.6836,1337.0180,-2095.6405,597.5103,5099.7831,5288.0506,-3132.3182,-2170.1693,2864.4366,-4140.9046,-4652.5667,5269.8591,2869.5993,6507.1518,-5338.6041,-5543.0819,-5072.3678,4540.2428,4767.6877,1684.7650,5374.7371,-4068.2052,1465.7269,-1768.9494,-3780.3590,3429.7845,-4128.2989,-6463.4916,5259.6299,-5771.7678,5384.4851,-3844.8947,-3541.8576,1933.8534,-86287.8864,-91457.5218,-92376.2380,-83949.2546,-86656.5878,-97300.1942,-96593.1488,-89266.9895,66608015.9302,66587926.5730,66619995.2476,66619511.7984,-90354.5691,66617407.1484,
