sl_10_5400_20241014 Coordinates.csv
2024/10/14 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:19 2024,
Start: 2024/10/14 07:47:00.00, Stop: 2024/10/14 09:17:00.00,
TIME_UNITS,STARLINK-2228 - X-Coordinate,STARLINK-1618 - X-Coordinate,STARLINK-11273 [DTC] - X-Coordinate,STARLINK-2431 - X-Coordinate,STARLINK-3914 - X-Coordinate,STARLINK-5308 - X-Coordinate,STARLINK-5761 - X-Coordinate,STARLINK-5398 - X-Coordinate,STARLINK-3881 - X-Coordinate,STARLINK-11134 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2228 - Y-Coordinate,STARLINK-1618 - Y-Coordinate,STARLINK-11273 [DTC] - Y-Coordinate,STARLINK-2431 - Y-Coordinate,STARLINK-3914 - Y-Coordinate,STARLINK-5308 - Y-Coordinate,STARLINK-5761 - Y-Coordinate,STARLINK-5398 - Y-Coordinate,STARLINK-3881 - Y-Coordinate,STARLINK-11134 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2228 - Z-Coordinate,STARLINK-1618 - Z-Coordinate,STARLINK-11273 [DTC] - Z-Coordinate,STARLINK-2431 - Z-Coordinate,STARLINK-3914 - Z-Coordinate,STARLINK-5308 - Z-Coordinate,STARLINK-5761 - Z-Coordinate,STARLINK-5398 - Z-Coordinate,STARLINK-3881 - Z-Coordinate,STARLINK-11134 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4205.6303,2645.3288,-5833.6721,6032.0397,-4048.6173,2405.3677,-3924.0316,-4752.1161,-5194.8197,2357.9602,334644.8702,337613.9234,341286.4785,339077.7588,341392.0482,340108.6534,332048.8875,335429.3242,-141522732.8667,-141540151.3858,-141529645.2707,-141536232.1407,335756.0058,-141536476.3797,2913.2996,-3259.2987,1465.8588,-1866.1088,5437.9658,1540.1738,3464.0520,-1867.9879,3494.2771,6311.2991,-118672.8924,-108649.0446,-118954.4377,-124877.2373,-117104.2402,-120774.9465,-118048.8647,-121158.2340,-71347482.7999,-71293178.1956,-71315043.4702,-71344291.0163,-120756.3837,-71336167.3896,4656.9069,-5509.4647,2985.1490,-2854.1550,1376.0125,6330.6906,-4558.1207,4685.1231,-2951.7053,-193.1649,-71327.1010,-72261.1559,-73153.9022,-64807.7080,-67548.9043,-78228.2674,-77280.5180,-72880.7989,65898363.2013,65919003.0886,65894841.7299,65910703.2701,-71180.0885,65908386.0707,
300.000,4275.9059,1024.3656,-4450.7101,6006.4579,-2646.8121,2344.2320,-2661.6275,-5482.5505,-4789.3639,3387.9940,336551.0840,339916.4763,343824.8367,341510.0106,343895.0935,342662.2490,334555.1731,338092.3625,-139927772.3053,-139946175.5432,-139935370.2808,-139940734.0701,338237.2654,-139941577.8012,856.0412,-4632.2293,2571.3645,-3247.7660,5620.4865,-662.7286,5082.0140,111.2775,4829.2274,5592.1308,-111728.5333,-101674.6324,-111982.7425,-117782.6995,-109963.1217,-113645.3056,-111022.1897,-114512.7282,-74420734.9593,-74366326.0210,-74388232.3652,-74417105.5487,-113661.3604,-74409359.8356,5368.7846,-5046.6353,4317.0946,-1170.3026,3037.3600,6503.2468,-3905.7449,4238.6153,-1276.8062,1628.3000,-71041.7189,-72123.1340,-72956.2071,-64766.1853,-67241.4073,-77921.0865,-77324.6604,-72580.2178,65896644.9273,65916941.3969,65892719.5634,65909316.9708,-71035.1745,65906513.8389,
600.000,3982.0950,-654.5688,-2591.2025,5393.8414,-957.9565,2131.4207,-1177.9350,-5716.5832,-3919.4881,4070.5658,338358.3811,342074.8626,346210.6824,343791.2923,346243.5446,345062.8758,336916.2371,340634.8327,-138266092.0868,-138285486.4437,-138274376.6285,-138278542.7799,340568.5829,-138279962.4889,-1297.4497,-5584.9278,3447.4643,-4297.1731,5268.9476,-2801.8739,6222.2163,2057.6152,5675.6245,4262.9528,-104807.1355,-94654.1488,-104960.0222,-110638.0076,-102771.9119,-106461.5945,-103944.5787,-107740.7349,-77458350.4249,-77403861.3651,-77425808.8174,-77454211.3337,-106515.3612,-77446918.0640,5503.8370,-4043.5963,5141.3555,639.1242,4371.2886,5986.6639,-2837.1556,3338.7809,535.5418,3259.9492,-70755.9554,-71984.7904,-72754.8003,-64729.6532,-66937.4505,-77608.3103,-77362.7889,-72157.5895,65894931.1056,65914879.2394,65890600.4169,65907911.6206,-70890.2062,65904641.5969,
900.000,3355.0562,-2233.5298,-460.5689,4242.4708,859.4702,1781.5983,393.6148,-5423.7597,-2654.8117,4350.4205,340069.0568,344088.1932,348442.8872,345920.5077,348436.6148,347309.1929,339130.8655,343035.0771,-136538487.9761,-136558879.1931,-136547459.1827,-136550461.3847,342748.9111,-136552426.0982,-3332.6453,-6014.3639,4008.3333,-4926.6765,4430.2673,-4658.2590,6769.8512,3786.6525,5961.1420,2461.3230,-97893.6483,-87590.6436,-97889.3845,-103446.2490,-95533.8484,-99227.1350,-96818.8623,-100814.2925,-80458880.9595,-80404336.2344,-80426324.6295,-80454161.2823,-99321.5553,-80447393.9615,5047.5404,-2607.1318,5361.2294,2379.8623,5234.1669,4835.2677,-1465.8259,2081.7873,2290.1370,4511.6644,-70472.7344,-71846.1135,-72549.7894,-64698.2148,-66637.0260,-77289.8665,-77394.9905,-71633.8552,65893221.6644,65912816.6267,65888484.3529,65906482.6972,-70745.1838,65902769.3446,
1200.000,2451.9063,-3568.1205,1707.4699,2655.6647,2630.3165,1314.8569,1913.6314,-4622.1283,-1105.7095,4211.9216,341681.3244,345955.6444,350520.3908,347896.6185,350473.5710,349399.9180,341197.9103,345269.4095,-134745787.1696,-134767180.3206,-134755444.2414,-134757324.6222,344777.2699,-134759795.7110,-5045.5665,-5866.2154,4195.2250,-5090.2804,3196.1702,-6041.4203,6666.7043,5137.3657,5669.8552,377.9825,-90976.7561,-80487.1871,-90773.9621,-96210.5232,-88252.1880,-91945.2875,-89647.9141,-93714.8282,-83420896.0858,-83366320.3759,-83388349.3311,-83415527.2498,-92083.1332,-83409357.1698,4048.6970,-890.7651,4950.8641,3864.8298,5533.2172,3170.6023,62.1141,602.0847,3797.7727,5237.8292,-70193.6327,-71707.0911,-72341.2887,-64671.9789,-66340.1237,-76965.6800,-77421.3492,-71038.7906,65891516.5301,65910753.5697,65886371.4343,65905025.4492,-70600.1074,65900897.0822,
1500.000,1351.0077,-4540.7255,3676.5720,782.4128,4179.7011,756.4470,3248.9855,-3377.7795,586.2671,3678.7288,343191.5583,347676.4584,352442.2018,349718.6443,352353.7355,351333.8270,343116.2891,347314.6020,-132888847.8987,-132911247.3823,-132899189.1369,-132899998.2936,346652.7466,-132902929.4391,-6263.4092,-5142.1004,3982.5372,-4786.4472,1692.8441,-6809.4966,5917.8397,5987.2850,4842.4228,-1763.7786,-84048.6597,-73346.8689,-83616.9118,-88933.9393,-80930.2053,-84619.4500,-82434.6480,-86435.4019,-86342983.7679,-86288401.9588,-86310470.8608,-86336900.8608,-84803.3057,-86331395.7675,2614.4087,921.3518,3958.2153,4934.5390,5236.2719,1169.0459,1583.3884,-942.0215,4895.9607,5354.0881,-69919.3711,-71567.7103,-72129.4189,-64651.0596,-66046.7320,-76635.6731,-77441.9460,-70408.4237,65889815.6273,65908690.0789,65884261.7244,65903534.9914,-70454.9770,65899024.8095,
1800.000,145.5054,-5070.9742,5233.6136,-1196.9225,5350.2869,136.6352,4284.4274,-1799.6404,2261.4472,2809.9743,344595.5419,349249.9435,354207.3984,351385.6615,354076.4873,353109.7537,344884.9859,349150.4217,-130968559.0195,-130991968.5517,-130979581.8260,-130979378.6475,348374.4961,-130982716.0140,-6862.4368,-3901.2573,3381.3967,-4056.4019,67.9091,-6884.5625,4591.8994,6263.6813,3570.4061,-3732.1945,-77104.3541,-66172.7962,-76421.4125,-81619.6141,-73571.1907,-77253.0582,-75182.0153,-78981.6468,-89223751.0854,-89169188.2476,-89191296.2393,-89216894.2929,-77485.3022,-89212116.9428,898.8133,2634.2836,2499.6850,5474.2752,4375.1322,-956.7822,2935.1965,-2385.5025,5466.5148,4846.8646,-69650.1735,-71427.9575,-71914.3074,-64635.5771,-65756.8387,-76299.7656,-77456.8588,-69781.6948,65888118.8784,65906626.1647,65882155.2865,65902006.4323,-70309.7929,65897152.5267,
2100.000,-1064.2265,-5122.2377,6212.1685,-3088.1902,6018.4138,-509.6050,4932.4270,-29.9138,3757.1680,1693.6735,345889.0774,350675.4751,355815.1291,352896.8032,355641.2632,354726.5890,346503.0513,350761.8363,-128985839.5865,-129010262.1941,-128997540.4656,-128996391.7123,349941.7419,-129000074.3614,-6781.1253,-2256.0555,2440.1866,-2978.5135,-1524.0467,-6261.0806,2814.7673,5949.5312,1985.7492,-5312.0902,-70140.9090,-58968.0936,-69190.6642,-74270.6688,-66178.4492,-69849.5850,-67893.0021,-71371.2554,-92061824.8970,-92007306.2659,-92029452.2335,-92054141.0008,-70132.3694,-92050147.6579,-913.4983,4063.6228,746.7754,5426.2120,3042.3070,-2981.0159,3972.8789,-3574.4381,5448.0911,3774.9149,-69385.9923,-71287.8179,-71696.0873,-64625.6579,-65470.4305,-75957.8754,-77466.1627,-69196.8189,65886426.2040,65904561.8375,65880052.1843,65900435.0319,-70164.5550,65895280.2337,
2400.000,-2178.6693,-4703.4897,6510.9298,-4702.5464,6107.5620,-1143.2984,5140.2903,1768.8379,4923.5442,438.0361,347068.2485,351952.4955,357264.6132,354251.2581,357047.5598,356183.2799,347969.6026,352140.5823,-126941638.4131,-126967076.4278,-126954012.9736,-126951992.5873,351353.7758,-126955953.1611,-6026.8010,-361.6760,1241.4897,-1659.6919,-2936.1639,-5006.1393,757.2964,5083.7763,246.8538,-6328.6064,-63156.8954,-51735.9014,-61927.8863,-66890.2267,-58755.2985,-62412.5406,-60570.6274,-63632.1355,-94855852.4951,-94801403.4508,-94823586.0111,-94847296.3593,-62747.7697,-94844135.3029,-2627.6576,5055.6235,-1094.0925,4795.4257,1381.3189,-4689.1412,4585.5175,-4382.4394,4842.5964,2262.7976,-69126.6412,-71147.2759,-71474.8978,-64621.4348,-65187.4939,-75609.9182,-77469.9295,-68687.8601,65884737.5230,65902497.1076,65877952.4817,65898816.3839,-70019.2635,65893407.9305,
