sl_20_86400_20240318 Coordinates.csv
2024/03/18 07:47:00.0000 UTC

Generated: Tue Oct  8 16:56:51 2024,
Start: 2024/03/18 07:47:00.00, Stop: 2024/03/19 07:47:00.00,
TIME_UNITS,STARLINK-5446 - X-Coordinate,STARLINK-4188 - X-Coordinate,STARLINK-6333 - X-Coordinate,STARLINK-5168 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-2036 - X-Coordinate,STARLINK-11140 [DTC] - X-Coordinate,STARLINK-11273 [DTC] - X-Coordinate,STARLINK-4086 - X-Coordinate,STARLINK-4264 - X-Coordinate,STARLINK-5201 - X-Coordinate,STARLINK-31071 - X-Coordinate,STARLINK-5785 - X-Coordinate,STARLINK-11112 [DTC] - X-Coordinate,STARLINK-31649 - X-Coordinate,STARLINK-11235 [DTC] - X-Coordinate,STARLINK-2502 - X-Coordinate,STARLINK-5595 - X-Coordinate,STARLINK-5680 - X-Coordinate,STARLINK-5750 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5446 - Y-Coordinate,STARLINK-4188 - Y-Coordinate,STARLINK-6333 - Y-Coordinate,STARLINK-5168 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-2036 - Y-Coordinate,STARLINK-11140 [DTC] - Y-Coordinate,STARLINK-11273 [DTC] - Y-Coordinate,STARLINK-4086 - Y-Coordinate,STARLINK-4264 - Y-Coordinate,STARLINK-5201 - Y-Coordinate,STARLINK-31071 - Y-Coordinate,STARLINK-5785 - Y-Coordinate,STARLINK-11112 [DTC] - Y-Coordinate,STARLINK-31649 - Y-Coordinate,STARLINK-11235 [DTC] - Y-Coordinate,STARLINK-2502 - Y-Coordinate,STARLINK-5595 - Y-Coordinate,STARLINK-5680 - Y-Coordinate,STARLINK-5750 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5446 - Z-Coordinate,STARLINK-4188 - Z-Coordinate,STARLINK-6333 - Z-Coordinate,STARLINK-5168 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-2036 - Z-Coordinate,STARLINK-11140 [DTC] - Z-Coordinate,STARLINK-11273 [DTC] - Z-Coordinate,STARLINK-4086 - Z-Coordinate,STARLINK-4264 - Z-Coordinate,STARLINK-5201 - Z-Coordinate,STARLINK-31071 - Z-Coordinate,STARLINK-5785 - Z-Coordinate,STARLINK-11112 [DTC] - Z-Coordinate,STARLINK-31649 - Z-Coordinate,STARLINK-11235 [DTC] - Z-Coordinate,STARLINK-2502 - Z-Coordinate,STARLINK-5595 - Z-Coordinate,STARLINK-5680 - Z-Coordinate,STARLINK-5750 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3733.1141,-4071.7688,5677.8330,-3508.4141,590.5325,-3912.6469,4135.3279,5294.8598,3808.9104,4717.8042,-2901.1771,2387.4315,-4400.5622,-1428.8663,4150.4715,-2906.3269,3218.6752,-626.2913,-5940.2094,4292.1638,349478.8104,348918.2805,336613.7543,341001.4926,335718.2771,338722.8915,344377.6489,341439.2932,-252144773.0636,-252154752.0718,-252148930.6120,-252165393.1593,342313.0840,-252161866.3924,2059.9408,-3023.3016,-1135.0079,5759.2650,6735.9366,1867.2423,4.3617,-1495.0086,-1934.1611,-1873.3345,-2980.2360,4664.8474,-2612.4237,-4630.6389,303.3059,-5309.6082,-3247.4476,2825.9098,2252.1527,-5314.3975,59138.7667,51739.7353,59304.9204,64891.8340,59135.6242,61965.1645,55696.2019,58749.2287,182573358.8043,182583731.0255,182574401.8646,182572163.5218,59945.6094,182569352.9252,5446.6245,-4711.5940,-3829.9532,1551.0356,-907.0529,-5414.7210,-5351.6617,3860.0678,5436.3149,4704.9437,-5533.3816,-4444.1568,-4689.4585,4696.4126,5280.7216,2945.3670,5198.0083,6311.6563,2785.1408,-759.6683,188030.0693,187461.5742,183794.1579,192791.7484,189106.0316,178547.7539,180379.3247,186949.5795,-76551852.5225,-76559915.7512,-76571423.0058,-76556174.4952,185993.3024,-76562300.0875,
3600.000,-4838.9893,4164.8940,-5645.1311,610.2334,-3191.6679,1082.3890,-2923.6743,-821.6987,-2854.5643,-1102.0577,5611.2618,-5774.4287,5729.4411,4633.9583,-2983.2805,4821.1139,853.0629,-1418.2276,2853.2477,-1121.4988,325582.3765,325860.9816,310948.1815,316146.3023,309909.7332,312310.4958,318834.5867,317356.5144,-290816097.6815,-290828782.7493,-290821604.4066,-290836429.4761,316804.0016,-290832471.1714,2072.2875,-1322.0921,3972.6042,-4825.8466,-4389.6117,-5047.7807,4793.9357,4114.1101,5544.1773,4227.0546,-185.9005,-3256.7113,-1146.5056,530.8367,4680.9733,4229.2957,4745.6148,-5935.7242,-4256.8126,5489.4077,147012.8859,135187.7938,144606.3804,148365.9864,142326.9018,145531.6770,140314.7862,145182.3223,111035456.5390,111045561.7938,111042644.3271,111025659.6276,143629.3172,111032103.3854,-4502.6915,5356.7338,684.9728,-4927.1339,4121.6051,4619.5651,3753.1818,-5260.7199,-3007.3547,-5380.0412,4036.1449,1781.6653,3729.5410,-4891.0247,-3812.5556,2054.2568,-4980.4819,-3340.2159,-4684.2256,3970.9168,188606.4019,187327.9079,184236.5760,191184.8825,190797.2801,180528.6785,178133.7130,185032.5107,-76485812.6004,-76488472.7377,-76500650.0388,-76495913.1951,185812.5826,-76497561.8880,
7200.000,5034.7313,-4058.0889,3633.6013,3369.5558,5332.3265,996.6292,1194.8618,-3248.4461,1533.8883,-2010.4967,-6546.2886,6476.8663,-5706.2901,-6105.5745,1159.3361,-4188.6979,-3842.9385,1718.8763,837.5365,-3073.0782,279232.8233,282854.0509,265548.4197,271353.2853,264470.5187,266504.9796,272602.8816,271100.5346,-309640228.2957,-309655177.0982,-309650648.1630,-309653591.1743,271171.8704,-309656362.2254,-4689.3748,4917.2869,-5173.9186,3010.7195,242.1684,6781.4511,-6581.8359,-5549.5078,-6621.7192,-6029.5721,2241.7710,893.0453,3910.6540,2731.1856,-6549.7446,37.7616,-5503.5802,6545.0672,5762.8901,-4207.5420,226198.1848,210749.4751,220787.2348,222753.4518,216603.4953,219632.2501,215940.6026,216648.2401,31925265.2358,31933058.8202,31936028.0556,31914881.2598,218373.8457,31922809.5680,766.6687,-2695.6112,2851.5243,5233.5734,-4254.3012,-1053.8137,972.3544,1957.1526,-1307.5219,2745.7709,-49.7650,2092.5187,-545.2219,925.4859,-1037.3762,-5279.9399,1710.3318,-1595.0461,3763.6488,-4487.2484,188973.9412,187127.6443,185085.4219,188631.0729,191975.9866,183392.9701,176642.3984,186005.7515,-76420518.8477,-76418065.4658,-76429433.6130,-76437909.4741,185615.9248,-76432808.9486,
10800.000,-3217.2348,2908.0320,76.0052,-6372.0401,-5809.9741,-2365.5769,1620.7096,4642.5960,811.5574,3572.0588,4584.8642,-4568.0482,3610.9353,3907.0518,1753.1963,2539.3486,4802.3958,-1682.8249,-3613.6400,6203.4321,213639.3908,222409.6854,203330.5447,209512.4231,202014.5437,205743.1833,208714.2871,207837.8601,-307333806.5032,-307349562.8362,-307350527.9295,-307343090.0478,208264.6149,-307350239.1510,5084.7414,-6056.1938,5112.6231,-1396.7902,3374.6960,-5695.5934,4365.1373,3769.3903,4922.3514,5727.8804,-3312.0202,2393.3342,-5117.7406,-3981.1321,4199.4135,-4884.5715,4272.3885,-3791.3362,-5894.9170,2239.0621,291010.8000,273627.0750,283025.1459,282111.9743,277380.1052,279967.6226,277471.6577,281179.2183,-49358607.6025,-49354255.7270,-49348642.9455,-49362223.7266,279426.2363,-49360191.2363,3418.4420,-1662.0999,-4695.3150,-2318.4366,1167.1639,-3172.4247,-4904.4674,3070.3612,4788.6114,1547.9179,-3989.8599,-4540.3063,-2987.7718,3801.2982,4950.2749,3871.4580,2581.2806,5572.0274,-605.8391,1924.6340,189191.2021,186876.2323,186060.5435,184898.6467,192651.8486,186944.2268,175823.8121,185202.9071,-76356006.3136,-76349015.3595,-76358778.6984,-76377292.6692,185403.3692,-76368041.2943,
14400.000,-578.6486,-85.9299,-3970.0916,6608.2966,3641.4775,3657.6300,-4835.1013,-3898.7510,-3985.1778,-4035.0244,-522.2919,1461.4177,130.3141,1095.5034,-4989.3078,-593.0487,-4373.6500,2732.8032,4934.9565,-6590.2339,133284.6439,148163.4252,128235.4198,133163.6996,126306.4422,134929.9610,131390.3584,132935.2792,-284055465.1627,-284070239.4987,-284076978.1900,-284066655.0532,132030.3747,-284072651.4821,-4145.3599,4811.4610,-4307.4627,-148.4713,-5050.0230,2189.8389,-315.4573,1051.0819,-1930.7836,-2750.9400,4114.8259,-5496.7256,5087.6884,4006.0232,-6.0336,6649.0968,-786.2641,-694.9799,3900.2415,170.3520,336902.6347,319805.2792,327421.9356,320416.4671,320830.3797,323620.7676,320856.2632,321372.4865,-127269544.2886,-127268620.6628,-127264547.6344,-127265109.5390,322889.5263,-127270544.8460,-5519.5893,4964.1968,3708.1523,-2055.8560,2777.3817,5459.3133,4703.2169,-5382.2100,-5322.6176,-4916.6909,5529.7006,3838.4095,4704.9414,-5331.7042,-4523.1896,899.4673,-5320.1023,-6359.8299,-2935.2268,1934.5379,189289.8100,186582.8766,186843.6878,183478.5616,192818.5946,186330.7652,175641.6002,184950.3425,-76292258.5011,-76281270.8612,-76289643.4508,-76313630.4208,185174.9574,-76303258.9502,
18000.000,4612.4218,-3726.8351,6303.7115,-4067.5748,682.5143,-4985.8732,6152.8512,2377.9937,6400.7783,4210.0622,-3440.9733,1390.0431,-4015.9242,-5391.0618,6000.0194,-2071.0726,3594.7530,-4458.2447,-5094.0353,4236.5314,43623.9609,64652.1062,44958.9115,47893.3413,42008.4806,51863.6481,45728.0568,45989.0511,-241394907.6778,-241407131.8986,-241417686.0638,-241412640.1080,47270.3878,-241413099.8098,2983.1510,-2637.6131,2857.2574,2217.8423,4948.6959,1812.2340,-2742.9341,-5586.0051,-649.8840,-1588.2049,-4767.2503,6707.0580,-4360.1628,-3328.0453,-3049.1680,-4129.8649,-3458.6333,4060.3892,-190.3392,-3028.2827,360688.9103,346298.0619,351205.9422,340538.0895,344163.5149,347513.0876,343324.3298,347176.8903,-196491442.6475,-196492978.3968,-196493557.5142,-196482174.5586,345971.4844,-196492336.8260,4206.4814,-5203.6723,-512.8682,5133.2404,-4651.7225,-4469.0646,-579.0207,2882.0090,2542.6521,5257.4713,-3653.1661,-503.8300,-3611.7044,2330.4183,90.2719,-4906.6387,4800.4572,3449.7008,4698.8850,-4490.4255,189289.0605,186253.5911,187163.8027,185685.3035,192445.7827,182284.1020,176096.3559,185332.5596,-76229208.4366,-76214626.4863,-76222476.4863,-76247424.2159,184930.7318,-76238461.9414,
21600.000,-6676.1181,6517.2733,-6238.3542,460.1020,-4897.7984,5329.5275,-3715.2492,-296.8552,-6305.6979,-4148.0454,5400.1369,-3516.0022,6293.2026,6074.4959,-3080.5277,4895.6112,-2729.2884,4930.3564,4565.0131,-662.5156,-49287.0363,-22966.5073,-41326.1971,-39824.4250,-45603.5549,-36422.4760,-42666.7855,-39223.5379,-182264317.3487,-182272975.4362,-182284470.4962,-182289860.1751,-40662.7524,-182283498.2862,-1809.8538,743.0884,-435.7152,-4713.2470,-3664.3499,-4367.6779,3935.3492,6358.1633,2213.9816,5004.0388,4295.8618,-4960.1012,2897.7705,1346.7006,4046.8115,-333.5755,6220.5319,-4691.5252,-3732.3207,5567.3710,360727.8301,351340.4020,352860.9368,340572.7661,345831.4838,349247.0614,343564.9346,346470.0132,-252301477.0905,-252303858.5915,-252310306.9554,-252292852.9265,347164.1376,-252302804.3582,-323.5784,2195.4717,-3010.2237,-5051.3248,3008.5028,759.7324,-4054.1647,2166.4353,1792.3628,-2401.1361,-514.4325,-3198.6449,329.9606,2622.6022,4400.2280,4604.5890,-1374.4091,1424.6023,-3665.4540,3965.4794,189201.6910,185892.5827,186869.6901,187784.1031,191468.7076,179056.1561,177225.6371,183858.5795,-76166743.0095,-76148861.5797,-76157187.2054,-76179214.0679,184670.7362,-76173650.2930,
25200.000,5801.7532,-6524.8021,4277.5973,2320.9212,6610.3362,-3571.6451,-1321.0896,-2727.3810,3353.3086,2932.2756,-5063.9304,4921.7818,-6171.2039,-3402.4615,-2198.6746,-5741.8777,1066.4504,-2598.1255,-3239.9256,-2398.0041,-139205.8926,-109235.3367,-125248.9716,-124870.5838,-130936.5656,-122897.0158,-128085.3366,-127696.7857,-110699522.0379,-110704315.3133,-110714113.9605,-110729960.5865,-126202.5500,-110719409.8273,-81.4436,798.0988,-2754.7836,6257.6659,1431.3627,4878.9245,-4015.6924,-3113.2716,-3362.9614,-5966.9660,-1825.7570,997.5152,-452.6286,2277.0319,-3894.8356,3511.5037,-6198.0073,3357.4675,6120.6689,-6397.9882,337008.1168,334507.7213,332202.3612,319453.9441,325664.6267,328387.2880,321840.6449,326595.7025,-290892333.8034,-290893615.5717,-290905512.0466,-290889626.1344,326342.5409,-290894554.9777,-3782.4568,2155.5262,4708.1777,1823.5978,879.0617,3385.8517,5264.7258,-5304.5658,-5038.0886,-1948.9333,4339.6909,4674.0473,3129.6401,-5376.7725,-5035.0923,-300.1751,-2912.5542,-5509.3502,419.6803,-749.7719,189036.5662,185502.9586,185970.5377,189380.1696,189766.6330,176715.7496,179111.7587,185352.3082,-76104710.2982,-76083788.4111,-76093417.6846,-76109640.6154,184395.0151,-76108824.0300,
28800.000,-2935.2010,3732.4027,-1655.3145,-3593.0065,-5140.8224,-215.5815,5453.1367,5478.2024,871.2880,-3.6556,3610.4915,-5384.4202,4224.7593,-82.9132,5942.6766,2879.4482,1794.8509,-1789.8129,827.2106,4247.6621,-220126.8780,-188741.2223,-201529.8042,-202121.5586,-208300.8715,-201493.5996,-205158.5440,-202688.8036,-31584500.1099,-31585903.8728,-31592195.3602,-31613054.2820,-203920.5352,-31604621.4873,2926.3135,-2658.3049,5701.3052,-5352.0654,1770.0559,-4212.4660,3414.6214,-1205.4866,4536.5948,4698.0843,-2184.0416,3092.4172,-2826.9988,-5732.2888,2915.0208,-4326.4801,3939.5958,-2071.7427,-6170.5895,4499.2994,291130.4399,296753.0661,290409.4818,278082.6372,284939.0439,286217.5570,280104.1370,284973.3236,-309631931.7336,-309630128.7513,-309646073.2798,-309637289.8875,284776.3000,-309635308.1697,5537.4656,-5188.8134,-3598.3564,2512.6373,-4126.3025,-5506.7103,-2082.4506,3699.4522,5144.7447,5081.5890,-5487.4177,-2940.2155,-4726.6424,3561.1240,1215.3705,-4290.0876,5401.6560,6381.1173,3057.6053,-2997.3874,188800.0771,185087.1222,184633.4694,190463.9480,187117.8464,175129.8721,181881.5308,182799.8373,-76042929.4115,-76019258.8469,-76030768.4771,-76039906.8891,184103.6142,-76043983.1774,
