sl_100_86400_20240816 Coordinates.csv
2024/08/16 07:47:00.0000 UTC

Generated: Tue Oct  8 16:19:37 2024,
Start: 2024/08/16 07:47:00.00, Stop: 2024/08/17 07:47:00.00,
TIME_UNITS,STARLINK-31167 - X-Coordinate,STARLINK-1458 - X-Coordinate,STARLINK-3325 - X-Coordinate,STARLINK-32154 - X-Coordinate,STARLINK-31804 - X-Coordinate,STARLINK-30867 - X-Coordinate,STARLINK-4018 - X-Coordinate,STARLINK-6285 - X-Coordinate,STARLINK-2620 - X-Coordinate,STARLINK-1838 - X-Coordinate,STARLINK-31834 - X-Coordinate,STARLINK-4026 - X-Coordinate,STARLINK-3762 - X-Coordinate,STARLINK-2043 - X-Coordinate,STARLINK-31297 - X-Coordinate,STARLINK-32289 - X-Coordinate,STARLINK-11173 [DTC] - X-Coordinate,STARLINK-4191 - X-Coordinate,STARLINK-6092 - X-Coordinate,STARLINK-4397 - X-Coordinate,STARLINK-5026 - X-Coordinate,STARLINK-11260 [DTC] - X-Coordinate,STARLINK-5175 - X-Coordinate,STARLINK-2700 - X-Coordinate,STARLINK-31505 - X-Coordinate,STARLINK-30076 - X-Coordinate,STARLINK-4127 - X-Coordinate,STARLINK-30372 - X-Coordinate,STARLINK-31519 - X-Coordinate,STARLINK-30895 - X-Coordinate,STARLINK-31683 - X-Coordinate,STARLINK-4729 - X-Coordinate,STARLINK-11115 [DTC] - X-Coordinate,STARLINK-31959 - X-Coordinate,STARLINK-2683 - X-Coordinate,STARLINK-4147 - X-Coordinate,STARLINK-1246 - X-Coordinate,STARLINK-30583 - X-Coordinate,STARLINK-3943 - X-Coordinate,STARLINK-11188 [DTC] - X-Coordinate,STARLINK-5060 - X-Coordinate,STARLINK-4322 - X-Coordinate,STARLINK-6376 - X-Coordinate,STARLINK-31125 - X-Coordinate,STARLINK-30191 - X-Coordinate,STARLINK-5683 - X-Coordinate,STARLINK-4726 - X-Coordinate,STARLINK-31312 - X-Coordinate,STARLINK-30923 - X-Coordinate,STARLINK-1585 - X-Coordinate,STARLINK-31574 - X-Coordinate,STARLINK-2629 - X-Coordinate,STARLINK-5136 - X-Coordinate,STARLINK-2347 - X-Coordinate,STARLINK-3457 - X-Coordinate,STARLINK-3820 - X-Coordinate,STARLINK-3504 - X-Coordinate,STARLINK-4445 - X-Coordinate,STARLINK-30769 - X-Coordinate,STARLINK-5588 - X-Coordinate,STARLINK-11171 [DTC] - X-Coordinate,STARLINK-2753 - X-Coordinate,STARLINK-1522 - X-Coordinate,STARLINK-30102 - X-Coordinate,STARLINK-31529 - X-Coordinate,STARLINK-1661 - X-Coordinate,STARLINK-2054 - X-Coordinate,STARLINK-31655 - X-Coordinate,STARLINK-6187 - X-Coordinate,STARLINK-2181 - X-Coordinate,STARLINK-6249 - X-Coordinate,STARLINK-31964 - X-Coordinate,STARLINK-4444 - X-Coordinate,STARLINK-2520 - X-Coordinate,STARLINK-30141 - X-Coordinate,STARLINK-5359 - X-Coordinate,STARLINK-2117 - X-Coordinate,STARLINK-1333 - X-Coordinate,STARLINK-3139 - X-Coordinate,STARLINK-3110 - X-Coordinate,STARLINK-4675 - X-Coordinate,STARLINK-3844 - X-Coordinate,STARLINK-2362 - X-Coordinate,STARLINK-1883 - X-Coordinate,STARLINK-31391 - X-Coordinate,STARLINK-31859 - X-Coordinate,STARLINK-31835 - X-Coordinate,STARLINK-31437 - X-Coordinate,STARLINK-31862 - X-Coordinate,STARLINK-3074 - X-Coordinate,STARLINK-5510 - X-Coordinate,STARLINK-4488 - X-Coordinate,STARLINK-3456 - X-Coordinate,STARLINK-30485 - X-Coordinate,STARLINK-31037 - X-Coordinate,STARLINK-5257 - X-Coordinate,STARLINK-4698 - X-Coordinate,STARLINK-3977 - X-Coordinate,STARLINK-5710 - X-Coordinate,STARLINK-5718 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31167 - Y-Coordinate,STARLINK-1458 - Y-Coordinate,STARLINK-3325 - Y-Coordinate,STARLINK-32154 - Y-Coordinate,STARLINK-31804 - Y-Coordinate,STARLINK-30867 - Y-Coordinate,STARLINK-4018 - Y-Coordinate,STARLINK-6285 - Y-Coordinate,STARLINK-2620 - Y-Coordinate,STARLINK-1838 - Y-Coordinate,STARLINK-31834 - Y-Coordinate,STARLINK-4026 - Y-Coordinate,STARLINK-3762 - Y-Coordinate,STARLINK-2043 - Y-Coordinate,STARLINK-31297 - Y-Coordinate,STARLINK-32289 - Y-Coordinate,STARLINK-11173 [DTC] - Y-Coordinate,STARLINK-4191 - Y-Coordinate,STARLINK-6092 - Y-Coordinate,STARLINK-4397 - Y-Coordinate,STARLINK-5026 - Y-Coordinate,STARLINK-11260 [DTC] - Y-Coordinate,STARLINK-5175 - Y-Coordinate,STARLINK-2700 - Y-Coordinate,STARLINK-31505 - Y-Coordinate,STARLINK-30076 - Y-Coordinate,STARLINK-4127 - Y-Coordinate,STARLINK-30372 - Y-Coordinate,STARLINK-31519 - Y-Coordinate,STARLINK-30895 - Y-Coordinate,STARLINK-31683 - Y-Coordinate,STARLINK-4729 - Y-Coordinate,STARLINK-11115 [DTC] - Y-Coordinate,STARLINK-31959 - Y-Coordinate,STARLINK-2683 - Y-Coordinate,STARLINK-4147 - Y-Coordinate,STARLINK-1246 - Y-Coordinate,STARLINK-30583 - Y-Coordinate,STARLINK-3943 - Y-Coordinate,STARLINK-11188 [DTC] - Y-Coordinate,STARLINK-5060 - Y-Coordinate,STARLINK-4322 - Y-Coordinate,STARLINK-6376 - Y-Coordinate,STARLINK-31125 - Y-Coordinate,STARLINK-30191 - Y-Coordinate,STARLINK-5683 - Y-Coordinate,STARLINK-4726 - Y-Coordinate,STARLINK-31312 - Y-Coordinate,STARLINK-30923 - Y-Coordinate,STARLINK-1585 - Y-Coordinate,STARLINK-31574 - Y-Coordinate,STARLINK-2629 - Y-Coordinate,STARLINK-5136 - Y-Coordinate,STARLINK-2347 - Y-Coordinate,STARLINK-3457 - Y-Coordinate,STARLINK-3820 - Y-Coordinate,STARLINK-3504 - Y-Coordinate,STARLINK-4445 - Y-Coordinate,STARLINK-30769 - Y-Coordinate,STARLINK-5588 - Y-Coordinate,STARLINK-11171 [DTC] - Y-Coordinate,STARLINK-2753 - Y-Coordinate,STARLINK-1522 - Y-Coordinate,STARLINK-30102 - Y-Coordinate,STARLINK-31529 - Y-Coordinate,STARLINK-1661 - Y-Coordinate,STARLINK-2054 - Y-Coordinate,STARLINK-31655 - Y-Coordinate,STARLINK-6187 - Y-Coordinate,STARLINK-2181 - Y-Coordinate,STARLINK-6249 - Y-Coordinate,STARLINK-31964 - Y-Coordinate,STARLINK-4444 - Y-Coordinate,STARLINK-2520 - Y-Coordinate,STARLINK-30141 - Y-Coordinate,STARLINK-5359 - Y-Coordinate,STARLINK-2117 - Y-Coordinate,STARLINK-1333 - Y-Coordinate,STARLINK-3139 - Y-Coordinate,STARLINK-3110 - Y-Coordinate,STARLINK-4675 - Y-Coordinate,STARLINK-3844 - Y-Coordinate,STARLINK-2362 - Y-Coordinate,STARLINK-1883 - Y-Coordinate,STARLINK-31391 - Y-Coordinate,STARLINK-31859 - Y-Coordinate,STARLINK-31835 - Y-Coordinate,STARLINK-31437 - Y-Coordinate,STARLINK-31862 - Y-Coordinate,STARLINK-3074 - Y-Coordinate,STARLINK-5510 - Y-Coordinate,STARLINK-4488 - Y-Coordinate,STARLINK-3456 - Y-Coordinate,STARLINK-30485 - Y-Coordinate,STARLINK-31037 - Y-Coordinate,STARLINK-5257 - Y-Coordinate,STARLINK-4698 - Y-Coordinate,STARLINK-3977 - Y-Coordinate,STARLINK-5710 - Y-Coordinate,STARLINK-5718 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31167 - Z-Coordinate,STARLINK-1458 - Z-Coordinate,STARLINK-3325 - Z-Coordinate,STARLINK-32154 - Z-Coordinate,STARLINK-31804 - Z-Coordinate,STARLINK-30867 - Z-Coordinate,STARLINK-4018 - Z-Coordinate,STARLINK-6285 - Z-Coordinate,STARLINK-2620 - Z-Coordinate,STARLINK-1838 - Z-Coordinate,STARLINK-31834 - Z-Coordinate,STARLINK-4026 - Z-Coordinate,STARLINK-3762 - Z-Coordinate,STARLINK-2043 - Z-Coordinate,STARLINK-31297 - Z-Coordinate,STARLINK-32289 - Z-Coordinate,STARLINK-11173 [DTC] - Z-Coordinate,STARLINK-4191 - Z-Coordinate,STARLINK-6092 - Z-Coordinate,STARLINK-4397 - Z-Coordinate,STARLINK-5026 - Z-Coordinate,STARLINK-11260 [DTC] - Z-Coordinate,STARLINK-5175 - Z-Coordinate,STARLINK-2700 - Z-Coordinate,STARLINK-31505 - Z-Coordinate,STARLINK-30076 - Z-Coordinate,STARLINK-4127 - Z-Coordinate,STARLINK-30372 - Z-Coordinate,STARLINK-31519 - Z-Coordinate,STARLINK-30895 - Z-Coordinate,STARLINK-31683 - Z-Coordinate,STARLINK-4729 - Z-Coordinate,STARLINK-11115 [DTC] - Z-Coordinate,STARLINK-31959 - Z-Coordinate,STARLINK-2683 - Z-Coordinate,STARLINK-4147 - Z-Coordinate,STARLINK-1246 - Z-Coordinate,STARLINK-30583 - Z-Coordinate,STARLINK-3943 - Z-Coordinate,STARLINK-11188 [DTC] - Z-Coordinate,STARLINK-5060 - Z-Coordinate,STARLINK-4322 - Z-Coordinate,STARLINK-6376 - Z-Coordinate,STARLINK-31125 - Z-Coordinate,STARLINK-30191 - Z-Coordinate,STARLINK-5683 - Z-Coordinate,STARLINK-4726 - Z-Coordinate,STARLINK-31312 - Z-Coordinate,STARLINK-30923 - Z-Coordinate,STARLINK-1585 - Z-Coordinate,STARLINK-31574 - Z-Coordinate,STARLINK-2629 - Z-Coordinate,STARLINK-5136 - Z-Coordinate,STARLINK-2347 - Z-Coordinate,STARLINK-3457 - Z-Coordinate,STARLINK-3820 - Z-Coordinate,STARLINK-3504 - Z-Coordinate,STARLINK-4445 - Z-Coordinate,STARLINK-30769 - Z-Coordinate,STARLINK-5588 - Z-Coordinate,STARLINK-11171 [DTC] - Z-Coordinate,STARLINK-2753 - Z-Coordinate,STARLINK-1522 - Z-Coordinate,STARLINK-30102 - Z-Coordinate,STARLINK-31529 - Z-Coordinate,STARLINK-1661 - Z-Coordinate,STARLINK-2054 - Z-Coordinate,STARLINK-31655 - Z-Coordinate,STARLINK-6187 - Z-Coordinate,STARLINK-2181 - Z-Coordinate,STARLINK-6249 - Z-Coordinate,STARLINK-31964 - Z-Coordinate,STARLINK-4444 - Z-Coordinate,STARLINK-2520 - Z-Coordinate,STARLINK-30141 - Z-Coordinate,STARLINK-5359 - Z-Coordinate,STARLINK-2117 - Z-Coordinate,STARLINK-1333 - Z-Coordinate,STARLINK-3139 - Z-Coordinate,STARLINK-3110 - Z-Coordinate,STARLINK-4675 - Z-Coordinate,STARLINK-3844 - Z-Coordinate,STARLINK-2362 - Z-Coordinate,STARLINK-1883 - Z-Coordinate,STARLINK-31391 - Z-Coordinate,STARLINK-31859 - Z-Coordinate,STARLINK-31835 - Z-Coordinate,STARLINK-31437 - Z-Coordinate,STARLINK-31862 - Z-Coordinate,STARLINK-3074 - Z-Coordinate,STARLINK-5510 - Z-Coordinate,STARLINK-4488 - Z-Coordinate,STARLINK-3456 - Z-Coordinate,STARLINK-30485 - Z-Coordinate,STARLINK-31037 - Z-Coordinate,STARLINK-5257 - Z-Coordinate,STARLINK-4698 - Z-Coordinate,STARLINK-3977 - Z-Coordinate,STARLINK-5710 - Z-Coordinate,STARLINK-5718 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,6098.3354,543.3337,921.3857,3839.6472,-5077.8051,5206.9133,2765.8327,-5491.1628,5939.2873,57.4894,6531.7786,4949.2737,-5882.6281,-833.9695,-2149.3043,2917.0869,2295.0868,6601.1006,4279.7015,-1515.1494,6586.4316,538.7807,-4594.9592,-4287.2349,-4472.0569,1255.3499,-5366.8743,-1253.6927,-4239.1207,-6590.3926,-2408.4721,5366.3222,-3828.1124,4995.4555,4212.3507,-2184.6603,-6903.4628,3455.5685,236.6700,3205.9126,-3440.2871,-3942.6902,-5364.7329,6661.5091,-2508.0958,-1464.2570,5818.4898,-4529.9328,5076.7187,-3642.2980,4717.1289,-4770.2262,6021.9579,6580.7866,4153.4736,4046.5965,-5215.7571,-299.0538,4667.4199,3896.3201,4739.9543,-3487.4933,4146.3051,3265.9397,-132.7971,-5218.7665,-6701.3172,-5764.4257,5789.6926,-6879.2851,5065.6541,-1760.8364,742.7501,-5703.1059,2971.3787,1522.5775,-5565.4081,-4142.1167,-3740.7093,-1483.1791,1527.6044,-3059.9509,4910.0686,1641.0309,2928.2746,-6368.8459,944.0063,-2779.0843,2519.2175,-1066.5623,-2406.3159,5830.1271,1580.8897,-1404.2891,516.0392,2625.5636,162.3511,-4956.1643,3830.2675,5826.9274,304589.2000,330812.1058,322831.0596,316473.7671,324212.2307,320345.6986,318495.8085,316911.4277,-209080337.0962,-209043927.2298,-209089996.6721,-209076905.2953,318133.5733,-209081819.5268,3107.7230,-4566.6872,-4439.7502,4471.5560,-795.0440,494.7920,6263.5227,1220.3109,2774.0704,6283.0218,-266.1580,-3990.5802,-3643.6608,-6788.9790,4818.2660,-2881.7226,3566.2149,2075.5997,4665.9924,-242.6396,717.1324,4929.6811,-1240.8308,-4250.7536,4810.9199,5901.8529,-4079.5821,4961.0040,3805.3595,-696.1124,-6376.5161,-4357.8467,3256.5540,-2492.9814,4765.8117,-4848.9777,247.0938,3734.6196,6878.9580,-2645.3043,-2049.8901,-3273.0166,4188.0659,688.8242,-4421.0649,6225.5968,-2526.3367,3064.0733,-4265.9340,5101.6024,-2524.6337,4787.7100,53.2980,-1924.2811,-490.1540,-2050.5008,-161.2626,6936.8376,2786.9385,4458.3453,586.6782,5818.8530,-1581.3573,-5715.7872,-5422.7284,1214.7866,1646.7065,3710.3870,2761.1036,-783.8282,3436.0059,6153.6877,-5959.5248,3928.7438,-5778.5412,6233.2533,1151.9349,-1534.3196,3823.1072,-3939.1506,3855.6960,-4926.8948,-1475.5748,6372.5215,-4101.3386,2410.4176,-6684.0674,3073.4490,-4467.2034,-2129.1118,-5235.3281,-424.3632,-6504.0360,-6790.9649,-5978.5677,3828.0569,4531.4155,4735.3401,5754.7326,2572.3776,-95599.3086,-82127.0654,-100292.4814,-101879.9808,-99719.9565,-100581.0482,-92290.2681,-97697.7190,-19016220.9969,-19010796.6908,-19037866.3367,-19025820.9389,-96906.3018,-19033778.7983,-562.1581,-5184.9594,5217.0889,3441.4766,-4491.0933,4547.1428,981.6848,4050.0947,2227.7482,-2935.6177,-1967.9436,-2734.7793,-91.2964,1101.8422,4385.1327,-5426.2108,5241.3556,22.7922,-2843.7218,-6775.5397,2044.0491,-4440.6107,5012.3088,-3403.3577,-1853.2159,-3430.0541,1553.1095,4677.2834,3744.7229,2044.4848,-287.0097,259.1642,4455.2231,-3944.0811,-2747.3999,4417.5914,-500.9819,-4721.7224,690.5462,-5310.8321,-5686.5664,4680.2261,1331.7761,-1536.4014,-4728.1930,-2694.0624,-2768.5562,4066.9019,1697.6420,2942.4629,-4238.0123,1506.1555,-3450.7572,974.5444,-5516.4654,5214.1661,4533.0016,151.9397,-4323.0985,3604.9310,4750.3613,1392.1661,5310.8481,-2196.9619,4130.5404,4381.6190,578.9597,-3.5007,2632.9662,257.5951,3256.2652,2350.4726,3475.9163,-96.3949,2417.7970,-2644.9096,3950.3066,-5340.1849,-4395.2524,5482.4674,-5542.4572,-3780.1862,-4668.0012,-2185.3555,-4605.2746,-433.8655,-1203.6934,-5448.9258,4491.0314,6522.7937,-3897.9969,3695.1767,-1756.8586,207.8237,3323.4017,-5181.7506,-5223.2884,-954.5281,-582.6538,2737.7987,-175550.1275,-179459.2107,-181508.8652,-172962.9908,-175969.4025,-186623.4757,-185428.1072,-180475.7275,87036317.3075,87008193.1454,87038158.5595,87018357.5172,-179460.3322,87025977.7437,
3600.000,-5661.2743,3586.2579,1953.7117,-4098.6416,5800.6509,-5875.3254,-3627.2474,2897.0400,-4573.2910,-2469.5384,-5899.7583,-4066.3153,5411.3501,2420.0816,-2284.0693,845.3334,-6147.5362,-5647.7745,-5000.3442,-3712.2703,-4824.7477,-3854.4885,3493.8858,4184.8220,2140.7283,-3994.9760,5812.3679,-2282.1755,2365.0296,6578.0788,4308.6212,-2991.0551,-1401.7422,-3838.4161,-5548.5500,4736.9597,5624.2807,-6131.0372,-1952.2883,999.9760,6310.4771,-524.6349,2367.8590,-4786.2034,5715.0584,-780.7841,-5348.6062,434.6064,-3440.0748,2511.5684,-3293.3821,1784.3552,-3910.9889,-4134.5852,-4089.8361,-630.5366,2692.4574,2131.0618,-5210.8979,-5051.9794,-6225.6872,697.6588,-3938.5497,144.7641,2564.7799,1881.3009,4518.5009,3296.8279,-6830.8950,5720.9652,-6751.2005,-2078.7712,-1381.7496,3582.0033,524.8935,-3824.3930,2229.1213,6265.4873,-519.8479,5243.1106,-5298.2443,4023.7977,-5404.8463,-3095.3430,1276.6066,3644.8560,1472.1461,-118.1272,842.1320,5051.1925,2253.4432,-6497.1817,20.4842,3299.1568,1350.9314,-2421.1704,-4131.5318,2233.0711,-5075.6822,-5030.2508,317775.5256,341060.4147,335923.2830,330069.2465,338649.0011,335163.4487,332123.6202,333178.2711,-196981029.2422,-196952627.9372,-196983684.3268,-196984756.4534,332134.0412,-196982528.2564,-9.3843,3183.4759,6238.1747,-37.4428,-3079.7874,2909.8341,-3641.7546,-4337.7348,284.4269,-3553.8319,2072.1119,5361.4744,1413.8556,4513.5564,-5013.1844,5688.6699,-1971.3797,-65.9196,-1042.2703,1589.1083,2189.8413,-5411.7790,-3008.4476,378.1837,-6103.4118,-3126.1194,2522.6833,-5926.2225,-6394.9634,-1496.8893,4013.2117,4618.7852,-4305.5678,5634.1327,-3842.7551,5001.5002,-1781.9137,-1046.8109,-4912.7400,5482.4432,2329.2575,798.2831,-5008.2457,2310.3771,2351.9579,-6835.0857,4096.7045,-5281.7175,5160.6251,-6316.7551,5865.6464,-4577.6319,3232.5255,3115.2185,4422.2924,4800.4608,-3340.3199,-4600.3104,1247.1043,-674.2900,2514.3494,-4922.3565,5076.3302,5248.5817,6319.7926,-3806.6292,-2907.8924,-4318.1294,-725.4434,-936.8522,-1583.4033,-4589.5226,1386.9844,-4445.0099,5170.4750,-3436.4031,-3525.1808,-1315.3646,-4195.5955,3143.7601,-2222.6451,975.0241,4197.7573,-3420.2016,5774.4930,-4260.1495,4608.2996,-6124.0735,6505.5409,408.1805,1247.2029,2338.0489,6410.6157,5176.2662,6632.9767,663.9754,-2555.9168,-4650.3423,-3695.1213,1009.1471,-18268.3780,2033.6253,-19418.4344,-19186.9496,-17309.3894,-18675.8346,-11006.2142,-13425.8520,-72510089.5506,-72497947.7298,-72533965.6506,-72520802.2143,-14751.0729,-72528687.3956,3873.7530,4989.3764,-2270.7227,-5467.0196,1840.2567,-2271.5372,-4637.5134,-4579.9636,-5199.7457,5405.8029,-2744.1819,-1622.9022,4063.6179,-4673.8720,-4103.6419,3616.5141,-1969.5069,3986.1017,4684.0663,5642.6078,-4484.2287,-355.0756,-5163.7526,5497.5602,-2184.0370,4721.4519,2768.6498,-2802.1973,-198.9090,1604.7562,-3455.5215,-4200.2390,-4973.1866,532.5964,-1569.0363,-642.3156,-3635.4077,3064.1255,-4469.8396,3783.6808,1760.0922,-6881.7136,-4182.5880,4339.8267,3143.9556,-909.1927,-1586.3821,-4301.6229,2889.3887,1316.0490,1132.9571,-4888.0465,4720.4121,-4608.2622,3397.3718,-4946.4906,-5432.3978,4737.0302,4402.0892,-4712.1476,-613.9214,-4830.0000,-2594.8563,4523.5587,177.0326,-5478.4413,-4376.5349,4169.4657,953.8805,3784.0651,159.0050,-4606.8212,-6667.9188,-3929.8218,-4601.2849,4646.1091,-5535.1989,2638.8988,5467.8675,-3244.0964,3847.4170,5533.9067,1096.1391,5163.7269,3394.4223,3878.0639,4845.9476,3043.7970,-1880.5375,-4762.7588,6448.5134,423.9562,-2611.4253,3220.4602,1123.5598,6474.7392,4900.6046,4600.9537,-2959.1935,-4676.0063,-174961.3277,-179289.5199,-180388.1103,-174182.5680,-173876.9663,-184009.3591,-187037.0942,-178446.1460,87032901.3012,87004780.6563,87039946.3360,87014166.4746,-179128.5625,87024579.4210,
7200.000,3486.9452,-6417.3086,-3405.4032,3922.8140,-4034.5033,4756.7949,4280.0432,-139.9800,2501.7640,5162.5045,2063.8678,1068.2489,-3477.3674,-4305.4084,5462.9274,-3132.9951,6041.0617,2861.4641,5065.8619,6833.3649,1991.0251,4306.5124,-2391.1063,-3941.8394,1692.1751,6162.9502,-4271.5425,4521.1820,649.4301,-4111.0298,-5020.8761,-1182.5239,5206.5259,980.6054,4796.9225,-5081.9201,-2095.1338,6804.1187,4085.5013,-3549.8498,-5845.4872,2777.6895,1709.4009,1482.9098,-6926.4276,2937.7729,2304.2043,3217.2804,-540.8657,69.0812,563.7440,2478.8138,1326.3082,21.6604,3221.3409,-1970.5628,-358.4413,-869.4477,4925.8743,5466.3487,3780.6016,3219.2633,2743.6409,-3979.7620,-3672.2239,1219.0950,-492.2573,1258.2099,5372.9245,-2490.3121,5921.2856,5637.6684,-1233.4833,488.0509,-4298.9004,5760.6332,1124.1671,-6075.4312,4323.0463,-6568.7280,6868.8576,-4871.5032,3823.2410,4736.9945,-4225.6469,908.4213,-4481.8217,2025.6197,-3331.9669,-6950.6553,-3198.3565,4251.0179,-2349.7557,-4805.8512,-2917.1501,3240.2892,6685.7168,2017.3501,5091.4741,3430.2462,311974.2960,330205.2111,327952.1518,322753.6743,331847.5835,328619.5643,325415.4992,324654.0589,-171443151.9565,-171423713.0510,-171438604.1084,-171451818.8749,325278.2271,-171444131.3120,-3818.5572,-1924.9258,-5642.9395,-4403.5109,5047.4935,-4856.5952,-648.0109,6526.3845,-4113.5155,255.9659,-3629.4075,-4709.3999,2287.3268,-664.5408,4042.3075,-5946.2057,-221.6562,-3011.8308,-2936.1567,152.3127,-5133.4195,1688.2433,6147.0128,3796.9534,4771.1118,-15.0668,786.5650,5209.2700,5814.4157,3565.5964,462.1395,-4005.8490,4126.7443,-5922.0009,933.9170,-3070.9522,3605.5995,-1280.1594,1183.0309,-5638.3554,-2041.5559,3899.2162,4985.5038,-5255.6522,-219.3003,4884.9111,-4263.8648,5875.8379,-4143.8592,5006.8069,-6188.1265,3755.1546,-6030.0105,-4326.0008,-6067.2243,-6440.1810,6252.7329,-359.3263,-4519.2242,-3060.8354,-3821.6574,3079.8217,-6123.6605,-3890.1908,-3737.6914,6012.9181,4207.3143,4013.9143,-1845.7247,3343.7104,-929.6935,1794.9940,3400.7750,4133.5594,-3683.1732,-82.8842,5732.3514,2880.6854,4381.8588,-1918.2702,790.3614,3031.8047,-4862.5703,-582.9615,-5343.6629,5114.8800,-993.4299,6349.2134,-5551.2205,-49.1421,3172.4150,-3365.7067,-3718.5902,-1643.6105,-3934.8227,-4628.3652,892.3315,3822.0115,-42.4936,-4685.1473,59815.5811,86015.7941,62750.3982,64726.9152,66174.2372,64964.5299,70977.5423,66692.3789,-121036093.9736,-121019854.0937,-121058129.1716,-121052644.9433,68278.6451,-121055669.0415,-4522.5430,-1761.2744,-2114.1787,3437.3232,2176.3393,-1392.3335,5388.2815,2341.5882,4972.2252,-4623.3021,5390.3440,4945.6451,-5531.8459,5379.5297,967.5957,1005.7957,-3007.5538,-5537.2708,-3726.5181,-1226.1773,4210.4708,4772.4809,2086.0532,-4250.3703,4565.3766,-3189.9929,-5390.4973,-772.1307,-3515.6977,-4309.2324,4586.5783,5506.5694,1023.1103,3234.8035,4899.6299,-3558.7990,5520.8647,416.4800,5447.8405,1006.3166,3151.9230,5019.7228,4501.1322,-4170.9246,309.0090,3943.7282,4928.3651,1285.1316,-5426.9976,-4791.8622,2804.6904,5257.3533,-3168.6290,5400.7445,810.8165,1580.9014,2933.4123,-6885.3024,-1873.5284,2971.3627,-4074.3771,5296.0487,-1733.0561,-4147.3293,-4375.7392,3211.2765,5470.7015,-5416.2157,-3987.1448,-5538.0987,-3500.2153,3389.4789,5918.3405,5527.3332,4000.1660,-3869.6536,3715.3810,1653.9657,-3163.7250,-1035.8310,218.7248,-3871.3128,3117.1446,-5030.5017,346.8735,-4428.7384,-5094.9491,1536.7692,-2158.6344,218.5848,-5298.3183,-4304.8433,5331.4405,-4731.8802,-4811.2437,-4054.3092,-1510.3071,-5407.4487,4701.6160,3786.8356,-174428.6058,-179100.9307,-178912.4104,-176329.3889,-172265.7415,-180465.4728,-187873.9007,-179242.2103,87028920.2620,87001446.4767,87039765.0273,87012420.5698,-178779.4035,87023155.0084,
