sl_20_5400_20240830 Coordinates.csv
2024/08/30 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:27 2024,
Start: 2024/08/30 07:47:00.00, Stop: 2024/08/30 09:17:00.00,
TIME_UNITS,STARLINK-5527 - X-Coordinate,STARLINK-30117 - X-Coordinate,STARLINK-1522 - X-Coordinate,STARLINK-1712 - X-Coordinate,STARLINK-4135 - X-Coordinate,STARLINK-31728 - X-Coordinate,STARLINK-3304 - X-Coordinate,STARLINK-5865 - X-Coordinate,STARLINK-5897 - X-Coordinate,STARLINK-1780 - X-Coordinate,STARLINK-2586 - X-Coordinate,STARLINK-11092 [DTC] - X-Coordinate,STARLINK-30407 - X-Coordinate,STARLINK-3159 - X-Coordinate,STARLINK-30552 - X-Coordinate,STARLINK-31687 - X-Coordinate,STARLINK-3974 - X-Coordinate,STARLINK-3079 - X-Coordinate,STARLINK-1908 - X-Coordinate,STARLINK-3155 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5527 - Y-Coordinate,STARLINK-30117 - Y-Coordinate,STARLINK-1522 - Y-Coordinate,STARLINK-1712 - Y-Coordinate,STARLINK-4135 - Y-Coordinate,STARLINK-31728 - Y-Coordinate,STARLINK-3304 - Y-Coordinate,STARLINK-5865 - Y-Coordinate,STARLINK-5897 - Y-Coordinate,STARLINK-1780 - Y-Coordinate,STARLINK-2586 - Y-Coordinate,STARLINK-11092 [DTC] - Y-Coordinate,STARLINK-30407 - Y-Coordinate,STARLINK-3159 - Y-Coordinate,STARLINK-30552 - Y-Coordinate,STARLINK-31687 - Y-Coordinate,STARLINK-3974 - Y-Coordinate,STARLINK-3079 - Y-Coordinate,STARLINK-1908 - Y-Coordinate,STARLINK-3155 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5527 - Z-Coordinate,STARLINK-30117 - Z-Coordinate,STARLINK-1522 - Z-Coordinate,STARLINK-1712 - Z-Coordinate,STARLINK-4135 - Z-Coordinate,STARLINK-31728 - Z-Coordinate,STARLINK-3304 - Z-Coordinate,STARLINK-5865 - Z-Coordinate,STARLINK-5897 - Z-Coordinate,STARLINK-1780 - Z-Coordinate,STARLINK-2586 - Z-Coordinate,STARLINK-11092 [DTC] - Z-Coordinate,STARLINK-30407 - Z-Coordinate,STARLINK-3159 - Z-Coordinate,STARLINK-30552 - Z-Coordinate,STARLINK-31687 - Z-Coordinate,STARLINK-3974 - Z-Coordinate,STARLINK-3079 - Z-Coordinate,STARLINK-1908 - Z-Coordinate,STARLINK-3155 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3929.6200,-1449.2426,444.7315,5651.3888,926.2741,3824.6927,-5885.6046,-2309.6389,6734.8307,5148.7479,4046.3023,3594.8173,-5180.0446,-2436.9511,3430.5643,-3515.3129,-5067.3880,-3314.3313,-4333.0187,2219.4772,-337538.6086,-331746.1584,-322228.0312,-328015.8241,-320986.4542,-324520.8207,-328301.4063,-327954.1219,-195382035.1448,-195338253.9224,-195362578.8187,-195379443.6552,-327559.7777,-195369375.4510,3893.3760,-5830.0994,4138.8420,-714.8823,-6854.9764,-4073.5573,-3319.1169,-5413.7388,1401.9804,2333.7151,-5411.2860,3485.4486,-631.0132,-6279.2506,6017.0803,-3584.8505,-4348.5405,-4268.3946,4429.6029,3531.7836,122232.3253,139114.7506,132033.3898,129073.6991,133004.0640,131259.1657,138870.2739,133163.8070,-32374957.4102,-32323484.8382,-32350285.0663,-32359910.4473,134309.3257,-32358954.3607,4206.1374,-3476.4908,5526.4911,3932.3442,-190.5768,3903.2220,-1499.9242,3661.0581,-1005.7315,3991.7211,1518.4971,4500.4541,4560.5203,-1593.5622,386.8665,-4624.5124,1807.2161,-4327.6612,-3106.8054,5509.4432,175184.4929,173722.8874,170494.2663,178992.2385,176050.8288,165389.1064,166524.8463,173810.1125,85158111.6222,85161508.4792,85138227.7499,85152283.4722,172524.4569,85159119.1590,
300.000,5178.6231,-3222.9272,2557.4190,6057.7802,-311.9616,1850.1679,-5871.3452,-4084.6281,6814.7619,4746.4598,2616.5264,3982.8780,-4853.7699,-3330.4548,4519.5570,-4984.1094,-5973.3628,-3891.1289,-2613.0227,3819.1982,-339951.8815,-334643.0982,-325059.0308,-330843.4329,-323727.8014,-327236.0797,-331124.8101,-330448.1290,-194625969.2929,-194582983.8487,-194607130.5938,-194623460.5829,-330351.1187,-194613380.7388,3980.3370,-5716.6731,3677.0228,-2274.1753,-6627.7194,-4755.5785,-1888.4027,-5012.8920,783.5688,452.1482,-5579.1229,1435.7995,1494.9072,-5141.8783,4910.3763,-2042.6245,-3493.6281,-2367.0212,4658.3691,2058.0308,115119.7984,132417.2648,124991.7522,122197.0228,126111.6756,124320.3535,131895.2011,126563.1111,-36632438.2796,-36580197.4972,-36607646.7755,-36617901.7950,127398.9747,-36616364.9642,2380.1162,-2257.4864,5274.4290,2465.2818,-1971.1055,4516.7470,-3143.9858,2501.6286,1120.2965,5013.5474,3155.3963,5232.9016,4714.7398,-3223.8380,1885.5316,-4192.7292,16.4738,-5214.5513,-4419.4701,5379.5520,175099.4360,173697.6491,170489.9319,178839.1680,176163.6310,165495.9679,166279.9805,174032.8787,85157580.9906,85160516.5964,85137385.2985,85151857.5779,172471.8915,85158327.5860,
600.000,5886.0443,-4671.6761,4424.4174,5880.7299,-1541.1626,-310.7269,-5297.8822,-5453.2479,6204.5039,3921.9171,903.4347,4003.2724,-4102.1411,-3929.7054,5187.4171,-5970.1451,-6285.3732,-4142.2053,-616.6772,5078.3736,-342214.3639,-337399.2032,-327746.1346,-333526.6295,-326327.5187,-329805.4248,-333799.1911,-332804.0465,-193777137.7976,-193734967.5617,-193758919.9163,-193774671.9756,-332996.7279,-193764623.0656,3690.4323,-5067.9018,2910.3993,-3585.8338,-5746.3306,-4997.1186,-243.2783,-4148.1265,70.8487,-1504.5061,-5220.5455,-771.0429,3485.6606,-3488.5124,3320.4681,-327.0914,-2291.6281,-231.8570,4474.1506,426.7189,107961.3701,125652.0892,117893.7199,115262.2984,119163.9660,117327.7823,124858.5354,119982.5373,-40872332.1020,-40819341.9388,-40847446.5173,-40858305.7922,120430.5726,-40856191.2680,301.3918,-797.5857,4456.3097,733.3813,-3539.6182,4622.5072,-4450.2718,1074.5014,3127.2369,5496.9291,4453.3362,5355.8178,4364.7890,-4507.7885,3182.4817,-3291.6945,-1776.0727,-5542.6894,-5259.9254,4670.2754,175013.9829,173670.5213,170489.2683,178680.9667,176272.7502,165608.2351,166041.0175,174132.9752,85157050.5447,85159524.4818,85136548.8904,85151445.6808,172419.2234,85157535.8610,
900.000,5993.7623,-5663.6748,5858.4509,5125.9352,-2656.8795,-2436.5094,-4233.3595,-6288.9009,4971.7393,2762.3413,-932.1747,3655.3383,-2994.7016,-4190.4518,5381.0622,-6366.9235,-5983.7974,-4046.6035,1461.5399,5865.6215,-344325.2254,-340013.3528,-330288.1500,-336064.1802,-328784.2534,-332227.9561,-336323.2141,-335045.7994,-192835948.1991,-192794612.0927,-192818353.3474,-192833484.7411,-335495.3969,-192823509.8510,3029.3053,-3934.7947,1905.7176,-4535.4423,-4303.2996,-4774.5208,1463.6499,-2890.8457,-689.6832,-3344.1963,-4382.9829,-2895.8502,5146.8400,-1482.3180,1396.6484,1394.5395,-844.9763,1924.5633,3904.9340,-1205.4591,100760.2789,118822.6039,110742.4692,108272.6832,112163.7674,110284.6249,117763.7161,113393.5192,-45092617.8708,-45038897.6885,-45067663.4265,-45079098.5225,113407.1917,-45076412.3787,-1809.3513,747.5110,3159.7673,-1077.3038,-4727.9920,4208.6156,-5279.1809,-467.6010,4801.8821,5390.2189,5273.1451,4854.9551,3547.9770,-5308.2377,4138.9695,-2021.8188,-3377.5815,-5277.1545,-5539.0601,3457.8522,174928.1325,173641.6401,170492.1765,178517.5327,176378.1919,165725.9795,165807.8692,174100.2646,85156520.1662,85158532.1430,85135718.6104,85151047.4128,172366.4527,85156743.9841,
1200.000,5506.3585,-6112.2461,6714.9710,3856.8561,-3561.8924,-4309.6735,-2790.8589,-6518.0542,3247.9039,1382.2323,-2713.6069,2970.5353,-1630.9768,-4096.5157,5090.6227,-6125.9262,-5109.7744,-3610.4871,3416.9654,6093.1865,-346283.7067,-342484.4449,-332683.9510,-338454.9161,-331096.7262,-334502.8554,-338695.6248,-337192.7526,-191802852.0626,-191762368.4825,-191785881.4644,-191800349.9588,-337845.9825,-191790492.5345,2040.8257,-2415.3629,747.9071,-5046.0632,-2446.1690,-4106.2231,3069.7181,-1349.8969,-1442.2113,-4882.9703,-3157.5046,-4708.1066,6315.2005,677.9691,-677.6447,2957.2837,717.5790,3887.7562,3010.3343,-2686.4041,93519.7775,111932.1718,103541.1983,101231.3726,105113.9488,103194.0733,110614.1925,106763.8235,-49291283.9919,-49236853.6686,-49266286.0123,-49278265.3628,106331.9293,-49275016.8100,-3728.2637,2212.6547,1523.8754,-2772.4307,-5409.3634,3321.4957,-5542.4313,-1959.7341,5966.7583,4704.9107,5527.1252,3788.4397,2351.5401,-5539.9590,4652.7503,-525.0856,-4616.3398,-4446.0742,-5227.3336,1872.7601,174841.8839,173611.1266,170498.5506,178348.7588,176479.9638,165849.2750,165580.4504,173935.2448,85155989.7369,85157539.5874,85134894.5436,85150662.3548,172313.5793,85155951.9552,
1500.000,4488.7236,-5983.4791,6907.2423,2189.3591,-4174.2066,-5739.0989,-1116.1266,-6126.5944,1213.4028,-87.9430,-4265.3564,2009.9220,-131.7317,-3660.0600,4349.2349,-5262.9978,-3759.3273,-2867.0094,5054.6118,5727.1291,-348089.1196,-344811.4053,-334932.4785,-340697.7329,-333263.7303,-336629.3885,-340915.2501,-339258.1915,-190678344.7615,-190638731.5650,-190661998.6457,-190675762.6745,-340047.4062,-190666066.3596,804.8238,-646.3520,-466.7278,-5084.0387,-361.9740,-3051.4866,4417.4567,337.8048,-2125.1025,-5963.4344,-1668.5903,-6011.1537,6875.0450,2777.7390,-2702.5476,4214.1279,2252.4295,5462.3621,1875.3161,-3882.8360,86243.1318,104984.1423,96293.1259,94141.5989,98017.4135,96059.3373,103413.4242,100060.6714,-53466329.2427,-53411209.1573,-53441313.1172,-53453801.9423,99207.9065,-53450003.4411,-5252.5300,3441.1065,-275.6851,-4170.5486,-5511.2107,2060.7889,-5211.9921,-3242.6112,6498.8630,3514.4222,5188.1908,2280.2652,903.4419,-5178.2831,4668.9360,1030.6173,-5360.0612,-3137.8673,-4357.7003,85.8068,174755.2359,173579.0890,170508.2777,178174.5321,176578.0754,165978.1982,165358.6788,173648.3920,85155459.1386,85156546.8225,85134076.7758,85150290.0296,172260.6035,85155159.7743,
1800.000,3057.1538,-5298.4587,6415.5372,280.7977,-4434.0802,-6579.8929,627.0486,-5160.0162,-921.8231,-1513.9793,-5430.4021,859.2658,1371.5709,-2920.0112,3229.1347,-3858.0767,-2072.3135,-1874.4266,6208.4401,4792.2544,-349740.8471,-346993.1944,-337032.7406,-342791.5922,-335284.1312,-338606.9065,-342980.9971,-341248.5631,-189462965.2396,-189424239.7305,-189447242.8345,-189460261.6765,-342098.6558,-189450770.1357,-569.2610,1209.1260,-1638.1933,-4660.1950,1741.6271,-1705.5133,5369.7443,2019.4918,-2675.5858,-6471.1385,-61.3526,-6664.0212,6770.0912,4607.5381,-4481.1330,5049.9335,3614.1393,6491.6885,602.3818,-4692.3581,78933.6190,97981.8552,89001.4893,87006.6320,90877.0973,88883.6426,96164.8803,93253.6286,-57615763.7260,-57559974.7419,-57590754.8698,-57603715.0980,92038.2670,-57599382.4714,-6221.7990,4301.4938,-2045.6900,-5122.5717,-5022.6467,568.2698,-4322.8928,-4179.7064,6342.2210,1946.4346,4292.6316,506.1428,-641.3347,-4261.5678,4185.7586,2470.4124,-5529.5742,-1492.3371,-3022.3611,-1710.4191,174668.1874,173545.6240,170521.2387,177994.7338,176672.5376,166112.8284,165142.4750,173258.7916,85154928.2530,85155553.8556,85133265.3934,85149929.8936,172207.5251,85154367.4415,
2100.000,1365.5323,-4130.0434,5289.1473,-1685.0989,-4309.7283,-6748.4851,2272.5528,-3717.7209,-2940.1065,-2770.1072,-6086.2393,-378.1013,2748.2220,-1938.8602,1834.5922,-2047.9417,-217.7600,-712.2841,6758.4407,3370.8609,-351238.3438,-349028.8135,-338983.8131,-344735.5212,-337156.8663,-340434.8479,-344891.8534,-343163.4133,-188157295.7530,-188119474.6674,-188142195.2817,-188154429.2517,-343998.7850,-188145185.9805,-1952.0549,2976.7618,-2670.7239,-3826.7269,3656.7572,-191.1464,5823.7309,3540.3206,-3035.3641,-6347.1706,1512.5704,-6597.3127,6009.3522,5983.7687,-5838.6468,5391.9584,4668.9072,6873.8390,-697.2732,-5052.0599,71594.5262,90928.6429,81669.5431,79829.7791,83695.9664,81670.2297,88872.0389,86317.0632,-61737609.8183,-61681173.2668,-61712633.6331,-61726023.8249,84826.1753,-61721176.3680,-6534.5242,4701.8908,-3596.4708,-5527.3537,-3995.5266,-988.1659,-2969.7758,-4671.6316,5513.4275,169.3408,2936.3469,-1327.0214,-2117.5721,-2887.4150,3254.7708,3632.3425,-5106.8015,313.8695,-1363.4800,-3322.6511,174580.7373,173510.8187,170537.3077,177809.2389,176763.3620,166253.2471,164931.7627,172792.3237,85154396.9619,85154560.6942,85132460.4834,85149581.3276,172154.3443,85153574.9567,
2400.000,-411.4201,-2594.8240,3640.9649,-3515.8591,-3801.2956,-6231.1076,3667.5875,-1942.4040,-4638.2176,-3750.0347,-6158.1335,-1590.2071,3879.5230,-797.9380,292.3180,-12.6868,1622.8801,524.3402,6643.7325,1595.2962,-352581.1363,-350917.3094,-340784.8394,-346528.6134,-338880.9444,-342112.7405,-346646.8864,-344995.8939,-186761961.5904,-186725061.0836,-186747480.2683,-186758890.9230,-345746.9142,-186749939.0408,-3206.2633,4487.4756,-3480.1894,-2670.5804,5195.6489,1352.2156,5722.2826,4757.3962,-3156.8068,-5595.3111,2909.2882,-5820.8765,4666.2367,6767.3396,-6639.9058,5215.8746,5307.4706,6572.4672,-1913.1129,-4942.7731,64229.1487,83827.8333,74300.5575,72614.3851,76477.0159,74422.3520,81538.3868,79232.0793,-65829903.1128,-65772840.7761,-65804984.9470,-65818760.2219,77574.8159,-65813420.8085,-6157.9464,4599.5375,-4762.4370,-5341.9544,-2539.3106,-2433.6400,-1297.3294,-4666.3582,4099.9618,-1625.9631,1264.7938,-3005.6563,-3367.7275,-1202.7882,1975.4636,4385.7797,-4136.5825,2086.2098,441.5761,-4577.9948,174492.8846,173474.7516,170556.3529,177617.9159,176850.5611,166399.5378,164726.4687,172279.6252,85153865.1471,85153567.3456,85131662.1334,85149243.6259,172101.0611,85152782.3201,
