sl_100_5400_20241109 Coordinates.csv
2024/11/09 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:06 2024,
Start: 2024/11/09 07:47:00.00, Stop: 2024/11/09 09:17:00.00,
TIME_UNITS,STARLINK-2286 - X-Coordinate,STARLINK-5708 - X-Coordinate,STARLINK-2121 - X-Coordinate,STARLINK-4779 - X-Coordinate,STARLINK-30869 - X-Coordinate,STARLINK-30781 - X-Coordinate,STARLINK-31164 - X-Coordinate,STARLINK-2063 - X-Coordinate,STARLINK-5671 - X-Coordinate,STARLINK-30121 - X-Coordinate,STARLINK-31247 - X-Coordinate,STARLINK-1464 - X-Coordinate,STARLINK-32107 - X-Coordinate,STARLINK-30978 - X-Coordinate,STARLINK-5797 - X-Coordinate,STARLINK-11204 [DTC] - X-Coordinate,STARLINK-5432 - X-Coordinate,STARLINK-4536 - X-Coordinate,STARLINK-30192 - X-Coordinate,STARLINK-31612 - X-Coordinate,STARLINK-2696 - X-Coordinate,STARLINK-5213 - X-Coordinate,STARLINK-2058 - X-Coordinate,STARLINK-31458 - X-Coordinate,STARLINK-31461 - X-Coordinate,STARLINK-1321 - X-Coordinate,STARLINK-1563 - X-Coordinate,STARLINK-32011 - X-Coordinate,STARLINK-4584 - X-Coordinate,STARLINK-1828 - X-Coordinate,STARLINK-31585 - X-Coordinate,STARLINK-3449 - X-Coordinate,STARLINK-6082 - X-Coordinate,STARLINK-1502 - X-Coordinate,STARLINK-1528 - X-Coordinate,STARLINK-5670 - X-Coordinate,STARLINK-3637 - X-Coordinate,STARLINK-3052 - X-Coordinate,STARLINK-4218 - X-Coordinate,STARLINK-1936 - X-Coordinate,STARLINK-4082 - X-Coordinate,STARLINK-2367 - X-Coordinate,STARLINK-31420 - X-Coordinate,STARLINK-30109 - X-Coordinate,STARLINK-1481 - X-Coordinate,STARLINK-6314 - X-Coordinate,STARLINK-4118 - X-Coordinate,STARLINK-4551 - X-Coordinate,STARLINK-1491 - X-Coordinate,STARLINK-31767 - X-Coordinate,STARLINK-2346 - X-Coordinate,STARLINK-4303 - X-Coordinate,STARLINK-6153 - X-Coordinate,STARLINK-5067 - X-Coordinate,STARLINK-30899 - X-Coordinate,STARLINK-32015 - X-Coordinate,STARLINK-6131 - X-Coordinate,STARLINK-5108 - X-Coordinate,STARLINK-5169 - X-Coordinate,STARLINK-30187 - X-Coordinate,STARLINK-5873 - X-Coordinate,STARLINK-3826 - X-Coordinate,STARLINK-5898 - X-Coordinate,STARLINK-4026 - X-Coordinate,STARLINK-6212 - X-Coordinate,STARLINK-5587 - X-Coordinate,STARLINK-4254 - X-Coordinate,STARLINK-4299 - X-Coordinate,STARLINK-31725 - X-Coordinate,STARLINK-11253 [DTC] - X-Coordinate,STARLINK-4598 - X-Coordinate,STARLINK-1159 - X-Coordinate,STARLINK-5289 - X-Coordinate,STARLINK-31453 - X-Coordinate,STARLINK-30441 - X-Coordinate,STARLINK-5148 - X-Coordinate,STARLINK-30273 - X-Coordinate,STARLINK-31155 - X-Coordinate,STARLINK-5048 - X-Coordinate,STARLINK-32228 - X-Coordinate,STARLINK-30128 - X-Coordinate,STARLINK-1167 - X-Coordinate,STARLINK-5974 - X-Coordinate,STARLINK-31493 - X-Coordinate,STARLINK-30887 - X-Coordinate,STARLINK-4435 - X-Coordinate,STARLINK-1966 - X-Coordinate,STARLINK-31794 - X-Coordinate,STARLINK-2421 - X-Coordinate,STARLINK-1054 - X-Coordinate,STARLINK-30522 - X-Coordinate,STARLINK-3828 - X-Coordinate,STARLINK-5481 - X-Coordinate,STARLINK-5753 - X-Coordinate,STARLINK-31956 - X-Coordinate,STARLINK-3959 - X-Coordinate,STARLINK-3887 - X-Coordinate,STARLINK-5646 - X-Coordinate,STARLINK-31603 - X-Coordinate,STARLINK-11240 [DTC] - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2286 - Y-Coordinate,STARLINK-5708 - Y-Coordinate,STARLINK-2121 - Y-Coordinate,STARLINK-4779 - Y-Coordinate,STARLINK-30869 - Y-Coordinate,STARLINK-30781 - Y-Coordinate,STARLINK-31164 - Y-Coordinate,STARLINK-2063 - Y-Coordinate,STARLINK-5671 - Y-Coordinate,STARLINK-30121 - Y-Coordinate,STARLINK-31247 - Y-Coordinate,STARLINK-1464 - Y-Coordinate,STARLINK-32107 - Y-Coordinate,STARLINK-30978 - Y-Coordinate,STARLINK-5797 - Y-Coordinate,STARLINK-11204 [DTC] - Y-Coordinate,STARLINK-5432 - Y-Coordinate,STARLINK-4536 - Y-Coordinate,STARLINK-30192 - Y-Coordinate,STARLINK-31612 - Y-Coordinate,STARLINK-2696 - Y-Coordinate,STARLINK-5213 - Y-Coordinate,STARLINK-2058 - Y-Coordinate,STARLINK-31458 - Y-Coordinate,STARLINK-31461 - Y-Coordinate,STARLINK-1321 - Y-Coordinate,STARLINK-1563 - Y-Coordinate,STARLINK-32011 - Y-Coordinate,STARLINK-4584 - Y-Coordinate,STARLINK-1828 - Y-Coordinate,STARLINK-31585 - Y-Coordinate,STARLINK-3449 - Y-Coordinate,STARLINK-6082 - Y-Coordinate,STARLINK-1502 - Y-Coordinate,STARLINK-1528 - Y-Coordinate,STARLINK-5670 - Y-Coordinate,STARLINK-3637 - Y-Coordinate,STARLINK-3052 - Y-Coordinate,STARLINK-4218 - Y-Coordinate,STARLINK-1936 - Y-Coordinate,STARLINK-4082 - Y-Coordinate,STARLINK-2367 - Y-Coordinate,STARLINK-31420 - Y-Coordinate,STARLINK-30109 - Y-Coordinate,STARLINK-1481 - Y-Coordinate,STARLINK-6314 - Y-Coordinate,STARLINK-4118 - Y-Coordinate,STARLINK-4551 - Y-Coordinate,STARLINK-1491 - Y-Coordinate,STARLINK-31767 - Y-Coordinate,STARLINK-2346 - Y-Coordinate,STARLINK-4303 - Y-Coordinate,STARLINK-6153 - Y-Coordinate,STARLINK-5067 - Y-Coordinate,STARLINK-30899 - Y-Coordinate,STARLINK-32015 - Y-Coordinate,STARLINK-6131 - Y-Coordinate,STARLINK-5108 - Y-Coordinate,STARLINK-5169 - Y-Coordinate,STARLINK-30187 - Y-Coordinate,STARLINK-5873 - Y-Coordinate,STARLINK-3826 - Y-Coordinate,STARLINK-5898 - Y-Coordinate,STARLINK-4026 - Y-Coordinate,STARLINK-6212 - Y-Coordinate,STARLINK-5587 - Y-Coordinate,STARLINK-4254 - Y-Coordinate,STARLINK-4299 - Y-Coordinate,STARLINK-31725 - Y-Coordinate,STARLINK-11253 [DTC] - Y-Coordinate,STARLINK-4598 - Y-Coordinate,STARLINK-1159 - Y-Coordinate,STARLINK-5289 - Y-Coordinate,STARLINK-31453 - Y-Coordinate,STARLINK-30441 - Y-Coordinate,STARLINK-5148 - Y-Coordinate,STARLINK-30273 - Y-Coordinate,STARLINK-31155 - Y-Coordinate,STARLINK-5048 - Y-Coordinate,STARLINK-32228 - Y-Coordinate,STARLINK-30128 - Y-Coordinate,STARLINK-1167 - Y-Coordinate,STARLINK-5974 - Y-Coordinate,STARLINK-31493 - Y-Coordinate,STARLINK-30887 - Y-Coordinate,STARLINK-4435 - Y-Coordinate,STARLINK-1966 - Y-Coordinate,STARLINK-31794 - Y-Coordinate,STARLINK-2421 - Y-Coordinate,STARLINK-1054 - Y-Coordinate,STARLINK-30522 - Y-Coordinate,STARLINK-3828 - Y-Coordinate,STARLINK-5481 - Y-Coordinate,STARLINK-5753 - Y-Coordinate,STARLINK-31956 - Y-Coordinate,STARLINK-3959 - Y-Coordinate,STARLINK-3887 - Y-Coordinate,STARLINK-5646 - Y-Coordinate,STARLINK-31603 - Y-Coordinate,STARLINK-11240 [DTC] - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2286 - Z-Coordinate,STARLINK-5708 - Z-Coordinate,STARLINK-2121 - Z-Coordinate,STARLINK-4779 - Z-Coordinate,STARLINK-30869 - Z-Coordinate,STARLINK-30781 - Z-Coordinate,STARLINK-31164 - Z-Coordinate,STARLINK-2063 - Z-Coordinate,STARLINK-5671 - Z-Coordinate,STARLINK-30121 - Z-Coordinate,STARLINK-31247 - Z-Coordinate,STARLINK-1464 - Z-Coordinate,STARLINK-32107 - Z-Coordinate,STARLINK-30978 - Z-Coordinate,STARLINK-5797 - Z-Coordinate,STARLINK-11204 [DTC] - Z-Coordinate,STARLINK-5432 - Z-Coordinate,STARLINK-4536 - Z-Coordinate,STARLINK-30192 - Z-Coordinate,STARLINK-31612 - Z-Coordinate,STARLINK-2696 - Z-Coordinate,STARLINK-5213 - Z-Coordinate,STARLINK-2058 - Z-Coordinate,STARLINK-31458 - Z-Coordinate,STARLINK-31461 - Z-Coordinate,STARLINK-1321 - Z-Coordinate,STARLINK-1563 - Z-Coordinate,STARLINK-32011 - Z-Coordinate,STARLINK-4584 - Z-Coordinate,STARLINK-1828 - Z-Coordinate,STARLINK-31585 - Z-Coordinate,STARLINK-3449 - Z-Coordinate,STARLINK-6082 - Z-Coordinate,STARLINK-1502 - Z-Coordinate,STARLINK-1528 - Z-Coordinate,STARLINK-5670 - Z-Coordinate,STARLINK-3637 - Z-Coordinate,STARLINK-3052 - Z-Coordinate,STARLINK-4218 - Z-Coordinate,STARLINK-1936 - Z-Coordinate,STARLINK-4082 - Z-Coordinate,STARLINK-2367 - Z-Coordinate,STARLINK-31420 - Z-Coordinate,STARLINK-30109 - Z-Coordinate,STARLINK-1481 - Z-Coordinate,STARLINK-6314 - Z-Coordinate,STARLINK-4118 - Z-Coordinate,STARLINK-4551 - Z-Coordinate,STARLINK-1491 - Z-Coordinate,STARLINK-31767 - Z-Coordinate,STARLINK-2346 - Z-Coordinate,STARLINK-4303 - Z-Coordinate,STARLINK-6153 - Z-Coordinate,STARLINK-5067 - Z-Coordinate,STARLINK-30899 - Z-Coordinate,STARLINK-32015 - Z-Coordinate,STARLINK-6131 - Z-Coordinate,STARLINK-5108 - Z-Coordinate,STARLINK-5169 - Z-Coordinate,STARLINK-30187 - Z-Coordinate,STARLINK-5873 - Z-Coordinate,STARLINK-3826 - Z-Coordinate,STARLINK-5898 - Z-Coordinate,STARLINK-4026 - Z-Coordinate,STARLINK-6212 - Z-Coordinate,STARLINK-5587 - Z-Coordinate,STARLINK-4254 - Z-Coordinate,STARLINK-4299 - Z-Coordinate,STARLINK-31725 - Z-Coordinate,STARLINK-11253 [DTC] - Z-Coordinate,STARLINK-4598 - Z-Coordinate,STARLINK-1159 - Z-Coordinate,STARLINK-5289 - Z-Coordinate,STARLINK-31453 - Z-Coordinate,STARLINK-30441 - Z-Coordinate,STARLINK-5148 - Z-Coordinate,STARLINK-30273 - Z-Coordinate,STARLINK-31155 - Z-Coordinate,STARLINK-5048 - Z-Coordinate,STARLINK-32228 - Z-Coordinate,STARLINK-30128 - Z-Coordinate,STARLINK-1167 - Z-Coordinate,STARLINK-5974 - Z-Coordinate,STARLINK-31493 - Z-Coordinate,STARLINK-30887 - Z-Coordinate,STARLINK-4435 - Z-Coordinate,STARLINK-1966 - Z-Coordinate,STARLINK-31794 - Z-Coordinate,STARLINK-2421 - Z-Coordinate,STARLINK-1054 - Z-Coordinate,STARLINK-30522 - Z-Coordinate,STARLINK-3828 - Z-Coordinate,STARLINK-5481 - Z-Coordinate,STARLINK-5753 - Z-Coordinate,STARLINK-31956 - Z-Coordinate,STARLINK-3959 - Z-Coordinate,STARLINK-3887 - Z-Coordinate,STARLINK-5646 - Z-Coordinate,STARLINK-31603 - Z-Coordinate,STARLINK-11240 [DTC] - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,3006.3417,-4849.5257,-1918.4340,4235.9008,-3325.6124,-965.5003,5217.2108,6741.6488,-4857.8001,-5441.2875,-3163.1135,4571.0364,-4743.2404,-3693.8611,-157.2537,5371.0458,-3111.1169,4708.1802,5267.3509,4528.7077,4879.3298,5401.7329,4234.7758,-8.5025,-6116.2845,4133.6014,1880.5932,6780.3117,3021.7669,415.0943,4712.8522,-6848.2297,-3211.6438,2501.1353,-2819.6820,-3653.9299,5738.4216,214.7240,-4822.7446,-6611.1012,5423.3053,-3580.8847,-4052.4908,-5620.8259,-1284.4735,548.8410,-1227.1474,-2862.5591,-4669.8874,4707.0743,-5088.3256,3973.9470,6184.1242,5187.9046,-2692.7349,-5667.5730,5101.5009,1026.4355,1614.4880,-5229.0533,2343.1492,2237.5030,-731.8314,5017.2997,4504.4852,-6223.6965,2808.0862,4077.7100,4118.4801,5481.1496,-3738.3974,-4444.0696,-2181.9380,-938.0317,3022.7060,-2049.5626,-480.5823,6284.3771,-5899.1375,-3847.1988,6431.1030,3449.8736,-364.3613,-2334.8453,4493.8139,969.6723,1498.4028,2381.5068,1665.1440,-4054.0349,-6596.4054,-3309.2185,5943.8892,-1566.2412,-5116.2138,4431.5443,4013.6331,4819.2489,-3799.6607,-3957.6534,325417.7259,315410.4613,330559.0300,330997.9619,329734.3415,330163.1519,321717.4656,327095.1198,-100033084.1936,-100015796.7504,-100027432.3844,-100030785.5252,326214.4196,-100023138.1421,3608.1855,-2673.8285,6652.1714,-1426.2404,-4598.8122,-6705.8794,-3066.4353,731.1469,-1452.2538,-855.9401,-3652.9726,-2631.2683,1920.0219,-3810.8147,2389.0999,-1593.7279,-4660.5552,4966.4327,2405.9718,-3084.1245,-263.1067,-2997.4587,-117.8531,-6142.3166,157.7038,-753.6869,-4012.2185,79.5980,-5007.7275,-6104.7159,4302.3824,-978.5871,4449.8390,-6456.2404,3940.8141,-3946.0127,739.0840,-6803.2089,-1888.7629,1847.2032,-3003.5114,2244.0376,2457.6086,2099.9317,-6573.2073,-5275.9642,6257.1608,-4727.1076,-436.2386,4481.7363,-4669.3867,-1369.7085,-188.5693,2998.2015,4848.1043,-3843.5635,1562.9928,-6509.1569,-3853.4829,-2598.3195,404.6597,3698.3836,4905.3527,247.8628,3152.6508,-3013.3052,-3115.1921,2813.2675,-5327.9789,-2846.8101,-2011.5700,1309.5480,3178.1610,5387.4203,-6220.9739,-4776.9165,4642.3378,-1747.7371,1270.0771,2212.3510,-1276.1808,6005.2966,-1326.2807,6112.4087,2850.9385,-3033.2208,-6745.7847,-5746.2592,3847.1622,3365.8580,2132.6532,-4389.6188,3575.1862,5089.5202,4511.2878,-2563.5301,2035.8070,2857.9788,-1814.3379,5318.9152,127364.8296,143811.8490,146880.7454,140677.6375,148721.5186,144892.9662,143822.6297,141741.2348,-88275983.1225,-88276511.2076,-88273810.5205,-88255641.9214,142994.5823,-88262301.2328,-5089.1835,4168.7102,166.5089,5270.4050,-3993.9733,-1490.0305,3383.8035,-1416.0237,4723.9205,4206.6158,-4824.8262,4479.4282,-4515.2848,-4472.6294,-6531.3678,3692.9088,-4092.7575,1011.7944,-3826.0821,-4070.2061,4861.6606,3106.8165,-5482.6284,-2968.7527,3009.2910,-5508.9394,-5325.6334,827.4346,-3701.3230,3229.0200,2406.5297,54.2719,-4248.3083,139.5894,4932.8336,4372.6558,-3793.7483,-1430.5397,4578.7079,-931.4266,-3074.6372,-5484.7706,-4916.5034,-3485.9951,-1764.2592,4460.6777,2674.8246,4153.7577,-5099.4983,2146.7989,-470.9098,-5497.8701,3132.9729,-3534.3666,4158.3709,106.7620,-4437.6543,-2110.6100,5505.6052,3737.8754,6523.1752,5392.9422,4861.1638,4748.1217,-4235.1359,554.0309,-5506.3597,4820.7153,-1079.5833,2636.0950,-5466.7126,-5150.3146,5776.5908,4070.6924,527.6235,-4569.3060,-5007.8314,2353.2503,-3385.9940,-5262.3766,2256.5586,35.3553,-6824.6376,1922.4255,-4305.1567,6161.3199,453.2133,-2810.4164,5504.0190,-4499.3658,-276.5402,4193.0016,-17.7720,4436.1594,-108.1905,-4656.2499,-5257.5888,-4093.8635,-5365.1724,1072.5642,-117974.1540,-120690.2333,-124176.1302,-115923.6002,-118545.9280,-129235.2391,-128397.3096,-123105.8269,52357370.3558,52348592.7773,52333904.1465,52338265.4517,-122239.3352,52345913.3700,
300.000,4792.4882,-5092.9195,-683.4143,2803.8315,-5022.5555,-2397.0352,3566.8492,6185.5453,-5277.7212,-6018.9577,-3840.4769,4315.0158,-3432.9148,-5268.6046,2028.2451,5497.5723,-4255.4389,5177.3614,6321.2391,3685.4502,5396.5733,3811.6115,3677.6300,-1720.1850,-5190.4964,3351.2653,241.6318,6663.2452,2076.0273,-926.2535,5213.3144,-6692.2922,-1797.7711,1272.5341,-1705.1604,-4641.2975,6498.7468,-410.9762,-4389.0007,-5727.5802,3844.8032,-2047.9619,-3611.0600,-4177.6465,-2372.4671,-1437.9662,-12.4360,-3617.5369,-5388.9130,5252.8990,-5563.1532,3395.1825,5261.3612,6198.4785,-610.0389,-6028.8232,5880.3862,-371.6040,-515.5778,-5266.4747,2553.2957,3647.1446,27.2321,4003.3427,5839.3235,-6464.7382,1297.5015,5590.0524,2550.5129,5172.2414,-4242.0621,-3006.2449,-160.5622,1124.6659,1478.2879,-3160.3274,1312.6995,5091.1087,-4537.1463,-2133.3308,6269.5384,4313.9690,1532.0539,-895.8875,4397.0855,975.9773,221.4612,936.8778,3633.6185,-3504.1718,-5875.4686,-3884.8189,6422.0414,293.9385,-3877.7304,2601.5207,4144.7363,5099.1229,-4160.1781,-2569.8937,322772.4814,312176.1772,327596.2844,327889.5374,326669.3319,327147.3677,318706.2978,324276.2654,-98077704.5221,-98060231.2027,-98071677.5915,-98075680.7580,323149.9221,-98067755.0034,2836.3394,-589.1968,6697.7307,-3047.5963,-3760.8320,-5850.2524,-4137.9373,-575.6071,644.2782,1008.1612,-1649.5434,-4370.3991,3649.8637,-2539.2525,2235.3483,-3189.1227,-2920.0114,3691.8357,882.2098,-4837.3946,-2073.7239,-3702.1459,-2218.3118,-5264.4280,1855.2299,-2778.1594,-5215.3529,-1135.0917,-6235.4753,-6667.8918,2541.0893,251.1481,5805.0141,-6604.6206,5477.7179,-2060.3035,-637.1179,-6906.6968,107.2098,2865.3944,-3708.6544,3784.9238,4326.1232,3457.9473,-5571.5588,-5669.6087,6849.4087,-2921.6139,1374.2622,2783.8043,-3467.7487,-3401.9269,-1877.1953,2729.5979,5093.3594,-2631.6963,-293.8929,-5865.3864,-4295.9870,-570.5357,-1773.8237,2040.9373,6163.5970,-1563.0590,1724.4181,-1465.7681,-4599.1421,1732.9366,-5805.7822,-4190.7455,104.4352,2895.5680,2579.3479,4918.5026,-6468.9751,-3070.3633,5396.0883,-3089.4084,2436.8424,3540.2701,-2857.0259,5100.5036,-66.9907,6749.7240,845.3321,-844.5444,-6557.0364,-6607.2527,3038.9116,5036.8014,3464.7957,-2511.0045,2124.2687,5870.7439,5424.6391,-3494.5232,-117.0070,793.7183,347.9130,5540.7673,134121.2213,150552.5595,153640.2867,147505.0885,155619.7238,151804.2550,150621.2614,148553.4146,-90438502.3632,-90438890.2341,-90436782.2978,-90418758.4790,149843.0647,-90424901.1812,-4115.7801,4663.3348,-1629.0972,5531.3557,-2964.1390,-2857.5217,4266.7615,-3068.0135,4444.8031,3287.5782,-5400.2382,3191.7607,-4633.5508,-3736.9146,-6268.0793,2158.9223,-4639.1799,2718.9177,-2725.8263,-3098.7749,3757.3294,4421.9008,-5437.2254,-3984.7740,4010.3794,-5390.4221,-4553.9452,-999.0304,-2169.4405,1604.7478,3585.0206,-1740.6359,-3351.2078,-1654.8956,3862.8297,4716.3955,-2284.4472,691.2883,5338.2314,-2643.2566,-4399.9625,-5424.3733,-3856.9180,-4330.5139,-3363.6870,3719.5969,961.8232,5113.5620,-4131.8023,3388.4406,-2226.9474,-4979.4423,4106.6838,-1584.2271,4660.1675,1899.2531,-3673.3663,-3653.8518,5389.5124,4470.6108,6208.0093,5504.1837,3204.3381,5412.2636,-3330.3457,2038.3622,-5007.4944,3681.1048,-2513.3089,900.7024,-5468.4580,-5529.2002,6444.0811,4582.9876,2014.2296,-5337.4331,-4002.1496,3549.1949,-4621.9955,-5504.9487,796.2244,1820.6454,-6790.8513,416.1512,-5178.1050,6813.3942,2210.0981,-1429.1252,5043.3492,-3217.9781,1260.1211,5136.2985,-1541.5936,3673.8713,1433.3618,-5377.4492,-5541.4172,-4639.9889,-5393.0704,2787.0661,-117846.7274,-120570.1932,-124005.8403,-115913.7151,-118269.9729,-128956.3310,-128469.4789,-122540.6219,52355815.3493,52347525.8033,52332667.1479,52336308.3591,-122124.3396,52344265.6525,
600.000,6107.0751,-4888.1771,636.9125,1137.1020,-6231.3051,-3624.2007,1576.8428,5027.6931,-5227.1234,-6035.9844,-4183.4151,3664.7000,-1809.2474,-6345.9955,4011.1713,5042.2480,-5031.7052,5156.4723,6773.4478,2497.8937,5405.5070,1837.4714,2817.6308,-3290.0707,-3756.1803,2296.2276,-1380.8921,5856.7671,948.5991,-2158.2993,5214.9942,-5874.2929,-240.8180,-99.4539,-463.9030,-5222.4780,6622.0722,-1004.1583,-3573.6392,-4273.1307,1880.0894,-357.4252,-2840.4310,-2345.5041,-3263.7476,-3266.1237,1192.5921,-4070.8384,-5610.4425,5299.3387,-5504.6461,2536.2753,3850.9469,6573.6912,1536.4996,-5784.0422,6116.7641,-1770.5535,-2579.1774,-4835.1478,2585.5686,4742.9022,741.8843,2637.9680,6621.2432,-6090.3110,-295.5568,6554.1167,706.3171,4307.4697,-4386.1965,-1313.4347,1907.9121,3092.4852,-225.8090,-4015.4420,2939.6051,3410.0204,-2738.0890,-240.1146,5504.8543,4768.4522,3211.5261,630.2909,3906.5027,781.5636,-1101.4585,-589.1652,5255.3413,-2643.4502,-4581.7925,-4132.6844,6286.9112,2100.5809,-2234.2961,528.8457,3928.5146,4931.8682,-4151.4864,-878.5648,319987.0609,308801.2613,324487.3236,324636.6795,323456.8094,323983.6736,315555.5064,321223.1649,-96075583.2824,-96057933.4730,-96069160.4520,-96073796.8403,319941.6344,-96065626.5151,1830.2887,1557.1456,6085.0835,-4410.7075,-2587.9797,-4432.4924,-4849.8092,-1858.6377,2664.2813,2752.1077,514.3909,-5662.8036,5038.2126,-1057.0175,1938.7227,-4418.3243,-912.6400,2031.7956,-702.0220,-6096.5984,-3649.0203,-4088.6631,-4114.3339,-3872.2292,3397.3092,-4547.9183,-5935.4311,-2243.9146,-6842.1964,-6574.5239,507.1767,1475.3664,6610.4030,-6105.6881,6480.4670,9.8139,-1925.7816,-6308.6355,2119.0594,3629.6510,-4095.8037,4993.8124,5740.6341,4521.8548,-4019.9324,-5544.4240,6760.9335,-830.0317,3017.9923,791.3802,-1905.0234,-5102.9989,-3417.6831,2203.8933,4890.3903,-1131.9319,-2097.4091,-4656.6092,-4370.8748,1526.4318,-3760.0942,220.0820,6803.2654,-3258.8850,159.9216,240.3758,-5661.0711,521.2945,-5710.5187,-5070.5688,2195.1340,4242.6857,1798.3885,3989.0247,-6100.8050,-1079.8166,5629.7778,-4165.8550,3412.9031,4564.0864,-4154.6077,3680.1160,1277.5157,6698.3346,-1266.2005,1429.2290,-5725.1465,-6796.7241,1985.1727,6202.5025,4473.0645,-381.8753,455.3809,6108.5310,5795.2482,-4138.7185,-2259.2284,-1352.0392,2463.7377,5181.9695,140824.4914,157220.3961,160333.1893,154265.7630,162449.5612,158651.3033,157356.3382,155411.3585,-92557716.4162,-92557949.8330,-92556428.1225,-92538589.0388,156625.9223,-92544195.3485,-2701.0009,4659.3903,-3249.8371,5196.4087,-1618.0680,-3919.9497,4693.5882,-4391.2053,3690.2663,2016.7590,-5373.0493,1561.0040,-4233.2419,-2602.9622,-5343.7808,370.4670,-4691.5024,4132.9339,-1334.8023,-1780.0619,2244.7000,5260.5090,-4810.7288,-4554.1360,4560.7236,-4695.7123,-3294.8033,-2713.7845,-404.1428,-192.2840,4360.6661,-3348.1259,-2096.7400,-3271.7381,2376.9373,4555.9155,-529.0729,2739.6953,5522.9645,-4071.6990,-5252.7677,-4783.0693,-2366.0618,-4713.7286,-4602.4978,2580.6132,-854.9318,5522.5793,-2721.6809,4253.2846,-3743.6579,-3926.6265,4641.5716,533.8534,4663.7305,3480.6922,-2517.4500,-4804.3320,4693.0929,4725.5014,5234.2259,5022.7595,1206.8156,5493.5444,-2070.4257,3304.6709,-3971.5066,2144.6997,-3664.7389,-940.6871,-4884.0029,-5316.9620,6428.1729,4580.4517,3285.3505,-5533.1747,-2552.2466,4365.5491,-5361.6169,-5147.7902,-749.3055,3410.2362,-6043.0855,-1136.9217,-5477.2299,6740.8016,3729.3892,112.5326,4041.1306,-1591.7466,2662.0190,5526.5071,-2900.6965,2518.5746,2813.7408,-5521.8896,-5231.1012,-4691.9802,-4816.8627,4173.4118,-117719.6533,-120450.5703,-123831.8846,-115908.8001,-117997.5383,-128671.7803,-128535.6312,-121941.9815,52354255.1896,52346455.9515,52331439.2186,52334365.9450,-122009.2605,52342618.0042,
