sl_20_5400_20240516 Coordinates.csv
2024/05/16 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:25 2024,
Start: 2024/05/16 07:47:00.00, Stop: 2024/05/16 09:17:00.00,
TIME_UNITS,STARLINK-30513 - X-Coordinate,STARLINK-4598 - X-Coordinate,STARLINK-2301 - X-Coordinate,STARLINK-31057 - X-Coordinate,STARLINK-3597 - X-Coordinate,STARLINK-31744 - X-Coordinate,STARLINK-30384 - X-Coordinate,STARLINK-5557 - X-Coordinate,STARLINK-30460 - X-Coordinate,STARLINK-1708 - X-Coordinate,STARLINK-11225 [DTC] - X-Coordinate,STARLINK-5451 - X-Coordinate,STARLINK-32019 - X-Coordinate,STARLINK-30831 - X-Coordinate,STARLINK-31144 - X-Coordinate,STARLINK-32001 - X-Coordinate,STARLINK-11096 [DTC] - X-Coordinate,STARLINK-4072 - X-Coordinate,STARLINK-6248 - X-Coordinate,STARLINK-3271 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30513 - Y-Coordinate,STARLINK-4598 - Y-Coordinate,STARLINK-2301 - Y-Coordinate,STARLINK-31057 - Y-Coordinate,STARLINK-3597 - Y-Coordinate,STARLINK-31744 - Y-Coordinate,STARLINK-30384 - Y-Coordinate,STARLINK-5557 - Y-Coordinate,STARLINK-30460 - Y-Coordinate,STARLINK-1708 - Y-Coordinate,STARLINK-11225 [DTC] - Y-Coordinate,STARLINK-5451 - Y-Coordinate,STARLINK-32019 - Y-Coordinate,STARLINK-30831 - Y-Coordinate,STARLINK-31144 - Y-Coordinate,STARLINK-32001 - Y-Coordinate,STARLINK-11096 [DTC] - Y-Coordinate,STARLINK-4072 - Y-Coordinate,STARLINK-6248 - Y-Coordinate,STARLINK-3271 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30513 - Z-Coordinate,STARLINK-4598 - Z-Coordinate,STARLINK-2301 - Z-Coordinate,STARLINK-31057 - Z-Coordinate,STARLINK-3597 - Z-Coordinate,STARLINK-31744 - Z-Coordinate,STARLINK-30384 - Z-Coordinate,STARLINK-5557 - Z-Coordinate,STARLINK-30460 - Z-Coordinate,STARLINK-1708 - Z-Coordinate,STARLINK-11225 [DTC] - Z-Coordinate,STARLINK-5451 - Z-Coordinate,STARLINK-32019 - Z-Coordinate,STARLINK-30831 - Z-Coordinate,STARLINK-31144 - Z-Coordinate,STARLINK-32001 - Z-Coordinate,STARLINK-11096 [DTC] - Z-Coordinate,STARLINK-4072 - Z-Coordinate,STARLINK-6248 - Z-Coordinate,STARLINK-3271 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,1961.9350,-2781.4942,4113.8276,-4264.7994,-1074.6957,1510.6488,5652.8633,-2135.8004,-2406.6318,2893.9856,-6381.8880,5445.6327,-4802.3144,-3965.5372,4090.4799,4879.5554,-6653.0713,5219.1120,4393.0617,4569.5681,350967.4394,378345.2947,355604.0062,355002.6692,356866.2735,355569.9928,363611.4154,360286.3542,-282933608.6444,-282914107.2472,-282920385.7336,-282928311.4958,359532.5761,-282927110.2244,-5450.2262,3070.8561,3318.6271,855.1584,6694.9660,5213.8464,2278.7562,-3602.7854,5518.6872,-6185.3313,-2120.1567,2656.2003,-3528.8886,5588.8698,-5273.2155,-4679.0325,-615.9866,-3164.0040,-3385.8726,-2596.6403,163493.3781,155728.0887,156005.6814,162311.1868,153977.2564,157740.3863,160328.8391,160071.5809,44889554.8198,44885717.8721,44880491.2981,44916055.1389,160420.3338,44905004.2936,-3614.5170,5531.0276,4483.8504,5287.0385,-1393.1322,-4142.3851,-3326.4713,-5555.4046,3437.8217,-1174.0076,-71.1496,3332.2054,3320.4117,157.6932,1619.7929,-1133.7096,877.5595,-3268.2182,4158.0666,-4511.2360,88419.0956,88824.0520,86178.3362,93507.4340,92537.1056,82093.5022,80510.9765,86224.7041,18140114.0271,18121215.2592,18147551.4453,18145208.7646,87853.5259,18151795.8448,
3000.000,371.6779,-1120.1732,5642.1119,-4238.4835,124.9770,3455.0072,6580.3005,-2332.8787,-934.7313,1777.4476,-6403.6893,5095.2227,-6034.8351,-2753.9781,2441.3368,3998.5513,-6172.5575,4915.3660,3454.4163,2755.0677,347582.2733,375009.0399,352042.7730,351595.3152,353444.1004,352106.1143,360077.7753,356529.8602,-283844304.2103,-283824560.3081,-283830429.2325,-283839548.0345,356079.4676,-283837774.5575,-6363.2955,4436.5859,2453.6742,2908.6150,6906.5318,4937.2058,797.8795,-1559.7064,6506.8615,-6664.6710,-842.7653,904.7474,-2692.4298,5964.9539,-5689.4036,-5522.4016,669.2870,-4587.0719,-5081.6463,-3490.3056,170720.8877,163671.3008,163681.7353,169954.5294,161552.1860,165275.1056,167958.1679,168034.7258,38701728.5378,38698300.6855,38692791.8429,38728169.9949,168024.2145,38717104.4040,-2445.1200,5180.0176,3197.0100,4524.3857,415.9942,-3210.3543,-2065.3000,-6367.0757,2207.9890,635.4163,-1880.1384,4583.1110,1705.0443,1946.3191,2966.9125,688.4949,2613.7815,-1645.7092,3211.3893,-5310.9664,88245.9778,88691.0030,86126.2242,93243.0262,92555.2430,82175.9108,80240.9109,85958.0097,18145111.3473,18126252.1482,18152311.0827,18150628.4546,87731.5430,18156872.5949,
3300.000,-1233.9070,609.9409,6613.5779,-3828.8332,1317.0239,5037.6153,6877.1480,-2378.6799,606.9024,477.9392,-5738.8181,4278.9624,-6637.0516,-1242.5919,531.3965,2701.8227,-5032.6397,4138.4826,2212.3128,680.6684,344053.8428,371504.9212,348323.2322,348028.1583,349862.8963,348486.8549,356381.2591,352565.0717,-284619685.0435,-284599711.0150,-284605162.0041,-284615463.8727,352465.4880,-284613120.8049,-6638.0993,5401.9985,1382.8501,4651.5315,6431.6977,4188.8297,-740.6435,641.3272,6869.7360,-6486.0745,546.7919,-969.0542,-1596.0322,5743.8585,-5561.0240,-5805.2047,1912.5255,-5543.6066,-6285.3814,-4098.2293,177877.0829,171543.3584,171285.0121,177524.3924,169055.7853,172736.9059,175509.6516,175908.5150,32495543.2064,32492527.4873,32486756.0075,32521887.7718,175553.8025,32510847.3107,-1001.7663,4271.1128,1568.2894,3260.4388,2180.2888,-1918.9644,-583.9780,-6507.7210,741.9596,2376.5752,-3468.9620,5340.2305,-101.6688,3519.1676,3987.1963,2434.3273,4045.3061,153.8275,1921.2373,-5542.4584,88072.4925,88557.8474,86077.1196,92972.4756,92569.8547,82264.4122,79976.1953,85818.1969,18150113.8558,18131291.0107,18157071.6136,18156059.4042,87609.5110,18161949.2152,
3600.000,-2704.6432,2243.5684,6932.2036,-3063.3200,2402.8881,6101.0101,6510.7816,-2270.5267,2082.7259,-894.2377,-4467.7851,3085.7825,-6551.6264,427.5787,-1453.7400,1107.2168,-3361.1581,2948.6802,774.5264,-1446.9306,340383.9366,367834.4543,344447.0656,344302.9993,346124.0655,344713.9842,352523.7278,348419.7659,-285259383.6222,-285239191.9007,-285244217.3515,-285255688.9543,348692.2349,-285252781.5279,-6240.4983,5862.9930,193.4003,5908.0909,5318.4785,3032.0107,-2202.1668,2776.6246,6568.9520,-5673.9359,1915.2603,-2783.2007,-333.1443,4960.0911,-4909.5784,-5511.7518,2995.9461,-5950.0739,-6880.0051,-4362.7909,184959.2901,179340.6910,178812.1162,185017.2787,176484.5897,180122.8380,182979.7974,183663.5059,26273957.4609,26271356.5801,26265342.2682,26300166.9837,183005.6932,26289191.7924,553.9542,2902.0184,-228.1451,1635.0964,3709.6511,-412.4925,959.6441,-5962.7860,-803.4410,3862.4055,-4652.2376,5522.2636,-1897.0137,4701.9641,4568.3257,3910.1389,5005.4824,1936.7629,425.5494,-5181.1173,87898.6523,88424.5862,86030.8835,92695.6250,92580.9509,82359.0941,79716.7650,85806.7549,18155121.5860,18136331.8720,18161833.1045,18161501.2173,87487.4299,18167025.7057,
3900.000,-3905.0535,3629.1660,6567.7353,-2002.2015,3291.9148,6541.6333,5513.4372,-2011.8928,3364.6074,-2218.5314,-2735.1862,1636.8011,-5793.8847,2095.3669,-3318.2971,-633.8625,-1342.4953,1448.3941,-734.0953,-3417.2908,336574.4097,363999.2311,340416.0226,340421.7371,342229.0921,340789.3456,348507.1086,344124.5271,-285763097.1051,-285742700.1706,-285747293.2522,-285759917.8484,344761.3780,-285756453.9742,-5205.3250,5762.5097,-1017.5999,6554.2191,3679.4805,1570.1595,-3459.9735,4629.1583,5631.2503,-4315.5746,3127.4357,-4357.5680,985.2932,3703.6531,-3805.4101,-4684.3044,3813.6013,-5778.5050,-6808.3655,-4253.2769,191964.8996,187059.7607,186259.6876,192429.7165,183835.1691,187430.0200,190365.1597,191274.1582,20039937.2335,20037753.5610,20031516.3688,20065973.5684,190376.5162,20055103.9204,2047.4478,1220.1459,-2000.2347,-171.5007,4839.3893,1140.2460,2400.7703,-4789.1197,-2262.9921,4933.3800,-5292.4998,5109.7132,-3479.9407,5363.9000,4646.3638,4952.3904,5382.7905,3510.9370,-1115.6676,-4265.2062,87724.4727,88291.2203,85987.3716,92412.3090,92588.5423,82460.0444,79462.5582,85916.4321,18160134.5691,18141374.7578,18166595.6219,18166953.4696,87365.3000,18172102.0664,
4200.000,-4726.8046,4643.1315,5558.5494,-734.4009,3908.5703,6320.2792,3979.4967,-1612.9598,4342.8266,-3374.6284,-732.6779,72.9199,-4449.0588,3595.1309,-4875.6862,-2351.0313,803.2655,-226.4345,-2182.3713,-5036.7683,332627.1835,360000.9194,336231.9199,336386.3711,338179.5394,336714.8555,344333.3942,339710.7846,-286130587.4748,-286109997.8459,-286114152.5001,-286127909.8945,340674.6585,-286123900.2212,-3633.6282,5097.8354,-2150.8571,6530.2519,1679.9799,-62.0220,-4406.1610,6010.3616,4145.9583,-2551.3670,4059.1160,-5531.8242,2240.3762,2109.2516,-2359.8921,-3416.9634,4281.4457,-5057.9727,-6078.8857,-3769.5214,198891.3699,194697.0634,193624.4033,199758.2595,191104.1303,194655.6420,197662.3415,198720.3251,13796454.3394,13794689.9078,13788249.9071,13822279.4792,197662.9370,13811555.6452,3310.9304,-593.2302,-3558.9213,-1959.1351,5448.0685,2564.9120,3585.4603,-3109.5387,-3480.9783,5474.7111,-5315.5986,4146.8874,-4673.8384,5431.9367,4212.6745,5445.8284,5133.5106,4706.7479,-2537.6862,-2892.0835,87549.9722,88157.7508,85946.4343,92122.3544,92592.6389,82567.3496,79213.5161,86131.4795,18165152.8336,18146419.6942,18171359.2314,18172415.7042,87243.1212,18177178.2971,
4500.000,-5098.2984,5200.8989,4007.1424,629.6153,4198.4772,5465.6051,2056.3366,-1091.4896,4935.1374,-4253.2440,1322.2464,-1458.8334,-2661.9855,4773.1810,-5967.2349,-3871.6944,2844.4825,-1918.8153,-3444.0991,-6147.6190,328544.2453,355841.2616,331896.6398,332199.0033,333977.0483,332492.5044,340004.6422,335208.6132,-286361681.6499,-286340911.8762,-286344622.8170,-286359489.3184,336433.8880,-286354947.2885,-1682.6538,3922.4313,-3112.6461,5846.4123,-479.2499,-1710.8293,-4960.6954,6779.6291,2256.0498,-559.7528,4609.3821,-6181.9461,3315.6675,341.5364,-714.1400,-1844.5470,4345.8162,-3870.0644,-4764.3781,-2943.4637,205736.2329,202249.1307,200902.9788,206999.4866,198288.1172,201796.9715,204867.9952,205988.4505,7546485.0601,7545141.5628,7538518.9187,7572061.2747,204861.6584,7561523.3795,4202.5008,-2342.7702,-4738.5251,-3530.0932,5470.3975,3701.4635,4387.2319,-1100.7464,-4327.8699,5428.4773,-4718.7877,2737.2896,-5346.0760,4898.6179,3314.8740,5336.0097,4286.5896,5395.5804,-3688.8853,-1208.3796,87375.1729,88024.1787,85907.9170,91825.5795,92593.2509,82681.0943,78969.5824,86428.3400,18170176.4058,18151466.7078,18176123.9984,18177887.4281,87120.8936,18182254.3981,
4800.000,-4990.5089,5263.6867,2069.0530,1967.2924,4132.9498,4070.3202,-70.1698,-473.6063,5093.1600,-4766.3380,3209.4956,-2819.0972,-620.9670,5503.5423,-6478.5809,-5038.3731,4562.9836,-3465.5355,-4408.8222,-6643.8460,324327.6483,351522.0743,327412.1300,327861.8419,329623.3363,328124.3571,335522.9748,330644.3799,-286456271.5672,-286435334.2209,-286438596.9338,-286454545.3161,332040.9479,-286449487.2193,450.2342,2341.7656,-3822.0760,4580.4725,-2582.3483,-3218.0390,-5077.8469,6859.4343,143.9585,1461.0619,4711.3515,-6233.7342,4107.5654,-1421.9708,974.6975,-128.0094,3989.6819,-2339.2404,-2994.2826,-1838.0945,212497.1001,209712.5314,208092.1693,214150.0009,205383.8129,208851.3591,211978.8235,213072.3891,1293008.7250,1292087.5140,1285302.4581,1318298.7066,211969.4223,1307986.5793,4622.1243,-3840.4782,-5414.1900,-4711.2703,4904.0182,4422.3008,4720.5599,1024.7839,-4713.9131,4799.6313,-3571.0549,1032.6967,-5422.2246,3822.8410,2051.7313,4635.0977,2940.3944,5503.5013,-4446.9342,605.2911,87200.1015,87890.5049,85871.6604,91521.7946,92590.3877,82801.3584,78730.7038,86776.8585,18175205.3094,18156515.8254,18180889.9876,18183368.1078,86998.6173,18187330.3692,
5100.000,-4418.7377,4840.2797,-63.1770,3154.7748,3711.8279,2280.7316,-2193.8516,205.9545,4805.7942,-4855.9844,4729.6652,-3888.8941,1462.1152,5701.6598,-6352.0571,-5725.0808,5777.6266,-4712.8980,-4991.1078,-6481.8975,319979.5110,347045.2474,322780.4025,323377.2053,325120.1964,323612.5531,330890.5773,326038.3869,-286414314.2322,-286393221.8996,-286396032.6396,-286413032.1084,327497.7886,-286407477.1305,2547.7803,503.5693,-4217.3363,2868.2384,-4420.0221,-4436.0569,-4749.6127,6243.9408,-1986.1884,3312.8972,4340.5005,-5671.6777,4534.8622,-3008.6930,2548.4088,1562.0494,3235.9510,-619.4792,-941.4505,-543.4376,219171.6687,217083.8731,215188.7706,221206.4284,212387.9408,215816.2450,218991.5809,219973.7431,-4960993.7091,-4961491.6245,-4968418.8203,-4936026.6929,218983.0107,-4946073.6766,4522.7417,-4926.0510,-5514.6355,-5373.0706,3809.7334,4646.5664,4549.8820,3041.4092,-4598.3240,3655.4855,-2005.6622,-783.1838,-4893.8232,2323.5480,562.4169,3420.5518,1251.5675,5018.9673,-4731.5629,2353.7380,87024.7898,87756.7304,85837.5007,91210.8023,92584.0583,82928.2155,78496.8294,87142.0785,18180239.5658,18161567.0744,18185657.2633,18188857.1638,86876.2923,18192406.2104,
5400.000,-3440.4335,3984.0294,-2179.1298,4077.9997,2964.3708,281.0906,-4108.3178,904.4735,4099.6637,-4501.0982,5725.2916,-4579.9995,3373.4678,5334.5607,-5593.5284,-5851.2374,6363.8930,-5532.0130,-5137.6944,-5684.7157,315502.0171,342412.7432,318003.5321,318747.5262,320469.4959,318959.3081,326109.6981,321402.7392,-286235831.7384,-286214597.0117,-286216952.8006,-286234968.9640,322806.4286,-286228939.2326,4395.0613,-1416.2575,-4260.6558,888.4553,-5810.5409,-5242.2704,-4006.0491,4999.6351,-3928.1606,4817.1534,3519.4456,-4541.8123,4546.9105,-4267.9952,3862.5969,3062.3243,2147.0895,1121.2971,1194.9155,830.3577,225757.7296,224359.8035,222189.6211,228165.4160,219297.2655,222689.1667,225903.0742,226701.5993,-11212541.0784,-11212615.0333,-11219664.0834,-11187933.0244,225899.2476,-11197676.1074,3915.4417,-5483.7877,-5029.2469,-5443.1205,2305.1688,4349.0824,3893.3194,4734.8057,-3993.3806,2118.7092,-205.2701,-2514.7964,-3819.2693,566.7740,-988.8931,1826.7973,-583.1117,3994.0045,-4512.7410,3848.5567,86849.2764,87622.8561,85805.2702,90892.3978,92574.2714,83061.7295,78267.9112,87486.6397,18185279.1936,18166620.4826,18190425.8896,18194353.9654,86753.9187,18197481.9217,
