0.000,-5231.2109,-6002.8787,2294.3392,-6170.8620,-4201.1127,-164328.8230,-145937.5069,-146322.8829,-150548.0589,-145546.2782,-148118.2638,-154567.3096,-151655.6380,-170222123.5371,-170202755.0326,-170216351.6697,-170213532.3871,-152125.5923,-170219104.3801,-4192.7055,1723.5143,-3565.8408,3180.4820,-1748.5858,-312650.7171,-291309.6945,-301615.2248,-306433.2897,-300084.3857,-303038.0186,-297495.3023,-300994.2149,-53098314.3575,-53078503.5749,-53121410.7880,-53110434.6974,-301400.2985,-53117300.9858,675.4131,-2984.4141,5200.7479,69.2616,-5227.9913,153852.0708,148321.3629,147406.2011,155828.5450,152988.2360,142317.6175,143357.7380,151104.3873,77085306.9115,77057612.3299,77094465.0290,77079856.2044,149409.0613,77078395.0949,
2700.000,4142.1093,6584.7142,-3112.9990,6517.7651,3371.1025,-102336.1583,-88318.9489,-87016.9230,-91709.3299,-86055.7708,-88178.8393,-95143.1371,-93243.0706,-156547757.9074,-156535591.1135,-156537558.1239,-156542632.3309,-92825.8014,-156544054.9795,5301.7848,299.5044,2790.3048,-2053.0450,3672.5400,-338637.8077,-315056.1816,-325826.3474,-329309.1766,-322772.2846,-325885.5443,-321211.8195,-323634.2894,-85304766.9530,-85284352.0997,-85324393.8035,-85314163.7337,-324426.2089,-85324264.3691,-387.9866,2093.3682,-5265.8010,1232.2378,4797.5843,154707.2384,149082.9988,148790.8781,155525.3180,155140.4783,144775.8524,142655.3238,148643.3676,77069082.4671,77042049.0917,77080907.5435,77061167.8666,150214.1216,77064232.7599,
3000.000,4819.1350,5789.2103,-1921.3025,6677.2038,3950.8742,-95160.4487,-81653.8065,-80201.0593,-84939.1049,-79224.7385,-81297.0924,-88280.3421,-86432.6342,-154644577.1433,-154633193.7382,-154633984.0449,-154639930.7866,-85997.4370,-154640786.5166,4183.3112,-1018.2163,4523.7782,-1629.0227,1669.8060,-340780.9280,-317025.7884,-327808.3900,-331148.3250,-324590.9987,-327704.3747,-323146.0753,-325970.2124,-88701475.5451,-88681082.6065,-88720617.3907,-88710817.8575,-326283.2114,-88721014.6390,-2172.3366,3639.1490,-4587.2804,-1010.1175,5427.1957,154799.8811,149169.0071,148959.5586,155462.7560,155361.4190,145078.1631,142604.5197,148586.1852,77067266.9463,77040323.5686,77079341.7989,77059120.6361,150303.0295,77062658.7440,
3300.000,4998.2412,4430.1145,-571.9081,6108.5701,4200.4445,-87939.0714,-74946.2625,-73351.0044,-78133.4229,-72359.7811,-74383.4492,-81376.6888,-79531.1387,-152667707.4109,-152657102.6198,-152656743.6984,-152663543.7095,-79132.0550,-152663827.2352,2599.9594,-2274.0604,5787.0052,-1041.7161,-492.8672,-342770.7809,-318858.0713,-329645.1973,-332842.8837,-326266.3502,-329376.2889,-324935.7301,-328185.4029,-92055757.0154,-92035403.1124,-92074397.7277,-92065092.4933,-327996.5442,-92075334.4247,-3703.9374,4792.5477,-3371.9942,-3145.0017,5473.9769,154892.0588,149255.3663,149130.6881,155393.9086,155578.7670,145386.6189,142558.9089,148658.2291,77065449.2573,77038598.8239,77077764.9837,77057084.0508,150391.8286,77061084.6436,
3600.000,4676.6505,2647.9885,802.1889,4868.2485,4095.4936,-80675.3371,-68199.1619,-66469.8279,-71295.3782,-65463.7720,-67441.4366,-74435.2970,-72543.7089,-150618093.9657,-150608262.6500,-150606782.9740,-150614412.7919,-72232.6772,-150614122.5370,713.4768,-3355.2533,6435.8799,-384.0740,-2599.8103,-344606.3796,-320552.2581,-331335.9830,-334391.8625,-327797.7105,-330900.7205,-326579.8072,-330239.0051,-95366013.0429,-95345715.0873,-95384137.5861,-95375388.0724,-329565.4723,-95385625.3283,-4805.3823,5429.4296,-1761.4304,-4945.8707,4932.9261,154983.7742,149342.1013,149304.1098,155318.6150,155792.5353,145701.3063,142518.4307,148862.8320,77063629.5102,77036874.8670,77076177.3256,77055058.9542,150480.5188,77059510.4585,
3900.000,3901.3663,623.8286,2069.4092,3087.3885,3640.0532,-73372.5778,-61415.3664,-59560.6118,-64428.0890,-58539.6039,-60474.6275,-67459.3074,-65481.3395,-148496716.7238,-148487653.3885,-148485082.3649,-148493514.5986,-65302.3397,-148492652.4881,-1279.2275,-4160.7535,6391.6106,247.9032,-4441.6613,-346286.8093,-322107.6441,-332880.0290,-335794.3037,-329184.5090,-332277.1871,-328077.4053,-332090.5935,-98630666.3538,-98610441.0410,-98648260.7990,-98640125.9158,-330989.3245,-98650310.0058,-5349.7005,5481.3630,55.9844,-6222.7246,3861.9771,155075.0299,149429.2392,149479.6624,155236.7072,156002.7362,146022.3100,142483.0273,149193.0131,77061807.8160,77035151.7073,77074579.0537,77053046.0802,150569.1001,77057936.1889,
4200.000,2762.1459,-1439.6010,3111.9801,957.0904,2866.9453,-66034.1454,-54597.7533,-52626.4491,-57534.6966,-51590.1868,-53486.6436,-60451.8795,-58360.3686,-146304589.7938,-146296288.5949,-146292656.4999,-146301860.0937,-58344.0921,-146300431.3493,-3166.6736,-4610.5392,5651.0726,768.2920,-5836.3405,-347811.2283,-323523.5936,-334276.6850,-337049.2784,-330426.2338,-333505.2928,-329427.6983,-333703.7390,-101848161.4728,-101828025.2757,-101865213.0092,-101857749.0067,-332267.4932,-101867832.9179,-5274.3769,4942.7643,1866.7767,-6841.6376,2375.9842,155165.8283,149516.8090,149657.1802,155148.0099,156209.3817,146349.7114,142452.6435,149631.4393,77059984.2866,77033429.3542,77072970.3979,77051046.0668,150657.5724,77056361.8347,
4500.000,1380.9674,-3338.1580,3836.7384,-1292.5178,1836.0534,-58663.4100,-47749.2142,-45670.4424,-50618.3647,-44618.4469,-46481.1588,-53416.1907,-51201.2645,-144042760.9920,-144035215.7442,-144030553.6596,-144040494.1503,-51360.9956,-144038507.0923,-4744.8919,-4653.5685,4288.5334,1112.2703,-6647.4606,-349178.8681,-324799.5411,-335525.3693,-338155.8817,-331522.4318,-334584.7296,-330629.9355,-335049.5238,-105016965.4645,-104996934.6269,-105033462.4084,-105026722.7498,-333399.4350,-105036661.0721,-4588.0632,3871.4793,3457.8404,-6737.9060,634.5822,155256.1718,149604.8425,149836.4937,155052.3407,156412.4834,146683.5866,142427.2270,150151.4066,77058159.0347,77031707.8173,77071351.5882,77049059.4681,150745.9357,77054787.3960,
4800.000,-100.7708,-4886.6301,4183.1024,-3416.8648,630.2606,-51263.7581,-40872.6542,-38695.7017,-43682.2786,-37627.3242,-39461.9031,-46355.4341,-44026.8046,-141712311.3418,-141705515.5264,-141699855.2768,-141710495.0445,-44356.1219,-141707960.8977,-5839.1144,-4273.7295,2448.1250,1243.8339,-6798.1578,-350389.0340,-325934.9927,-336625.5685,-339113.2271,-332472.7095,-335515.2798,-331683.4411,-336109.5220,-108135568.6633,-108115659.1941,-108151500.4650,-108145535.7171,-334384.6706,-108155284.7523,-3369.6525,2382.7638,4641.9907,-5922.2026,-1175.0337,155346.0629,149693.3740,150017.4295,154949.5105,156612.0520,147024.0035,142406.7280,150718.8917,77056332.1737,77029987.1062,77069722.8546,77047086.7646,150834.1899,77053212.8728,
5100.000,-1536.2829,-5937.1207,4127.4266,-5182.9952,-650.8219,-43838.5912,-33970.9909,-31705.3437,-36729.6438,-30619.7718,-32432.6673,-39272.8173,-36859.8481,-139314354.5569,-139308301.3294,-139301675.4204,-139312973.9326,-37332.5520,-139309906.6389,-6323.2366,-3493.0256,328.0487,1159.5228,-6278.5920,-351441.1051,-326929.5279,-337576.8381,-339920.4396,-333276.7329,-336296.8182,-332587.6146,-336877.7590,-111202485.3927,-111182713.0600,-111217842.6407,-111212700.3811,-335222.7854,-111222218.2385,-1759.7574,637.0658,5280.1722,-4479.6379,-2858.5629,155435.5037,149782.4410,150199.8113,154839.3250,156808.0975,147371.0187,142391.0993,151295.5308,77054503.8178,77028267.2307,77068084.4264,77045128.3727,150922.3350,77051638.2650,
5400.000,-2787.6283,-6393.5833,3683.6306,-6394.9947,-1898.8333,-36391.3240,-27047.1532,-24702.4893,-29763.6852,-23598.7535,-25397.3095,-32171.5603,-29721.0146,-136850036.5100,-136844718.7076,-136837160.2644,-136849074.3133,-30293.3745,-136845490.3496,-6134.9736,-2371.2967,-1841.2747,887.8451,-5146.1476,-352334.5350,-327782.8009,-338378.8021,-340576.6479,-333934.2280,-336929.3153,-333341.9301,-337361.2939,-114216254.6733,-114196634.9987,-114231029.0962,-114226753.8345,-335913.4295,-114236000.5144,54.9447,-1177.3394,5297.6000,-2561.7031,-4235.7961,155524.4965,149872.0844,150383.4596,154721.5857,157000.6293,147724.6725,142380.2960,151842.1740,77052674.0816,77026548.2007,77066436.5319,77043184.6531,151010.3710,77050063.5728,
