sl_100_86400_20240731 Coordinates.csv
2024/07/31 07:47:00.0000 UTC

Generated: Tue Oct  8 16:18:53 2024,
Start: 2024/07/31 07:47:00.00, Stop: 2024/08/01 07:47:00.00,
TIME_UNITS,STARLINK-3044 - X-Coordinate,STARLINK-5843 - X-Coordinate,STARLINK-3233 - X-Coordinate,STARLINK-6050 - X-Coordinate,STARLINK-3724 - X-Coordinate,STARLINK-2077 - X-Coordinate,STARLINK-30816 - X-Coordinate,STARLINK-5034 - X-Coordinate,STARLINK-32161 - X-Coordinate,STARLINK-2379 - X-Coordinate,STARLINK-31002 - X-Coordinate,STARLINK-5818 - X-Coordinate,STARLINK-2220 - X-Coordinate,STARLINK-3447 - X-Coordinate,STARLINK-4776 - X-Coordinate,STARLINK-1980 - X-Coordinate,STARLINK-3273 - X-Coordinate,STARLINK-2693 - X-Coordinate,STARLINK-4584 - X-Coordinate,STARLINK-3275 - X-Coordinate,STARLINK-6049 - X-Coordinate,STARLINK-32194 - X-Coordinate,STARLINK-31496 - X-Coordinate,STARLINK-5140 - X-Coordinate,STARLINK-11261 [DTC] - X-Coordinate,STARLINK-31710 - X-Coordinate,STARLINK-5294 - X-Coordinate,STARLINK-11138 [DTC] - X-Coordinate,STARLINK-4563 - X-Coordinate,STARLINK-3807 - X-Coordinate,STARLINK-4123 - X-Coordinate,STARLINK-4781 - X-Coordinate,STARLINK-2121 - X-Coordinate,STARLINK-30274 - X-Coordinate,STARLINK-32252 - X-Coordinate,STARLINK-31541 - X-Coordinate,STARLINK-32227 - X-Coordinate,STARLINK-30596 - X-Coordinate,STARLINK-1542 - X-Coordinate,STARLINK-6165 - X-Coordinate,STARLINK-3314 - X-Coordinate,STARLINK-31405 - X-Coordinate,STARLINK-1648 - X-Coordinate,STARLINK-2533 - X-Coordinate,STARLINK-3997 - X-Coordinate,STARLINK-4151 - X-Coordinate,STARLINK-5335 - X-Coordinate,STARLINK-3450 - X-Coordinate,STARLINK-30805 - X-Coordinate,STARLINK-31571 - X-Coordinate,STARLINK-6221 - X-Coordinate,STARLINK-4072 - X-Coordinate,STARLINK-6039 - X-Coordinate,STARLINK-2235 - X-Coordinate,STARLINK-31143 - X-Coordinate,STARLINK-31319 - X-Coordinate,STARLINK-4419 - X-Coordinate,STARLINK-4122 - X-Coordinate,STARLINK-5722 - X-Coordinate,STARLINK-5649 - X-Coordinate,STARLINK-5071 - X-Coordinate,STARLINK-1531 - X-Coordinate,STARLINK-30219 - X-Coordinate,STARLINK-5345 - X-Coordinate,STARLINK-5943 - X-Coordinate,STARLINK-5700 - X-Coordinate,STARLINK-4047 - X-Coordinate,STARLINK-2361 - X-Coordinate,STARLINK-30344 - X-Coordinate,STARLINK-32212 - X-Coordinate,STARLINK-2282 - X-Coordinate,STARLINK-1372 - X-Coordinate,STARLINK-1566 - X-Coordinate,STARLINK-5303 - X-Coordinate,STARLINK-6103 - X-Coordinate,STARLINK-11191 [DTC] - X-Coordinate,STARLINK-11078 [DTC] - X-Coordinate,STARLINK-5134 - X-Coordinate,STARLINK-6101 - X-Coordinate,STARLINK-32130 - X-Coordinate,STARLINK-2161 - X-Coordinate,STARLINK-5661 - X-Coordinate,STARLINK-30160 - X-Coordinate,STARLINK-31439 - X-Coordinate,STARLINK-3533 - X-Coordinate,STARLINK-5717 - X-Coordinate,STARLINK-1894 - X-Coordinate,STARLINK-2480 - X-Coordinate,STARLINK-1663 - X-Coordinate,STARLINK-5641 - X-Coordinate,STARLINK-3104 - X-Coordinate,STARLINK-4478 - X-Coordinate,STARLINK-1803 - X-Coordinate,STARLINK-4126 - X-Coordinate,STARLINK-32104 - X-Coordinate,STARLINK-4765 - X-Coordinate,STARLINK-30761 - X-Coordinate,STARLINK-30515 - X-Coordinate,STARLINK-1013 - X-Coordinate,STARLINK-3990 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-3044 - Y-Coordinate,STARLINK-5843 - Y-Coordinate,STARLINK-3233 - Y-Coordinate,STARLINK-6050 - Y-Coordinate,STARLINK-3724 - Y-Coordinate,STARLINK-2077 - Y-Coordinate,STARLINK-30816 - Y-Coordinate,STARLINK-5034 - Y-Coordinate,STARLINK-32161 - Y-Coordinate,STARLINK-2379 - Y-Coordinate,STARLINK-31002 - Y-Coordinate,STARLINK-5818 - Y-Coordinate,STARLINK-2220 - Y-Coordinate,STARLINK-3447 - Y-Coordinate,STARLINK-4776 - Y-Coordinate,STARLINK-1980 - Y-Coordinate,STARLINK-3273 - Y-Coordinate,STARLINK-2693 - Y-Coordinate,STARLINK-4584 - Y-Coordinate,STARLINK-3275 - Y-Coordinate,STARLINK-6049 - Y-Coordinate,STARLINK-32194 - Y-Coordinate,STARLINK-31496 - Y-Coordinate,STARLINK-5140 - Y-Coordinate,STARLINK-11261 [DTC] - Y-Coordinate,STARLINK-31710 - Y-Coordinate,STARLINK-5294 - Y-Coordinate,STARLINK-11138 [DTC] - Y-Coordinate,STARLINK-4563 - Y-Coordinate,STARLINK-3807 - Y-Coordinate,STARLINK-4123 - Y-Coordinate,STARLINK-4781 - Y-Coordinate,STARLINK-2121 - Y-Coordinate,STARLINK-30274 - Y-Coordinate,STARLINK-32252 - Y-Coordinate,STARLINK-31541 - Y-Coordinate,STARLINK-32227 - Y-Coordinate,STARLINK-30596 - Y-Coordinate,STARLINK-1542 - Y-Coordinate,STARLINK-6165 - Y-Coordinate,STARLINK-3314 - Y-Coordinate,STARLINK-31405 - Y-Coordinate,STARLINK-1648 - Y-Coordinate,STARLINK-2533 - Y-Coordinate,STARLINK-3997 - Y-Coordinate,STARLINK-4151 - Y-Coordinate,STARLINK-5335 - Y-Coordinate,STARLINK-3450 - Y-Coordinate,STARLINK-30805 - Y-Coordinate,STARLINK-31571 - Y-Coordinate,STARLINK-6221 - Y-Coordinate,STARLINK-4072 - Y-Coordinate,STARLINK-6039 - Y-Coordinate,STARLINK-2235 - Y-Coordinate,STARLINK-31143 - Y-Coordinate,STARLINK-31319 - Y-Coordinate,STARLINK-4419 - Y-Coordinate,STARLINK-4122 - Y-Coordinate,STARLINK-5722 - Y-Coordinate,STARLINK-5649 - Y-Coordinate,STARLINK-5071 - Y-Coordinate,STARLINK-1531 - Y-Coordinate,STARLINK-30219 - Y-Coordinate,STARLINK-5345 - Y-Coordinate,STARLINK-5943 - Y-Coordinate,STARLINK-5700 - Y-Coordinate,STARLINK-4047 - Y-Coordinate,STARLINK-2361 - Y-Coordinate,STARLINK-30344 - Y-Coordinate,STARLINK-32212 - Y-Coordinate,STARLINK-2282 - Y-Coordinate,STARLINK-1372 - Y-Coordinate,STARLINK-1566 - Y-Coordinate,STARLINK-5303 - Y-Coordinate,STARLINK-6103 - Y-Coordinate,STARLINK-11191 [DTC] - Y-Coordinate,STARLINK-11078 [DTC] - Y-Coordinate,STARLINK-5134 - Y-Coordinate,STARLINK-6101 - Y-Coordinate,STARLINK-32130 - Y-Coordinate,STARLINK-2161 - Y-Coordinate,STARLINK-5661 - Y-Coordinate,STARLINK-30160 - Y-Coordinate,STARLINK-31439 - Y-Coordinate,STARLINK-3533 - Y-Coordinate,STARLINK-5717 - Y-Coordinate,STARLINK-1894 - Y-Coordinate,STARLINK-2480 - Y-Coordinate,STARLINK-1663 - Y-Coordinate,STARLINK-5641 - Y-Coordinate,STARLINK-3104 - Y-Coordinate,STARLINK-4478 - Y-Coordinate,STARLINK-1803 - Y-Coordinate,STARLINK-4126 - Y-Coordinate,STARLINK-32104 - Y-Coordinate,STARLINK-4765 - Y-Coordinate,STARLINK-30761 - Y-Coordinate,STARLINK-30515 - Y-Coordinate,STARLINK-1013 - Y-Coordinate,STARLINK-3990 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-3044 - Z-Coordinate,STARLINK-5843 - Z-Coordinate,STARLINK-3233 - Z-Coordinate,STARLINK-6050 - Z-Coordinate,STARLINK-3724 - Z-Coordinate,STARLINK-2077 - Z-Coordinate,STARLINK-30816 - Z-Coordinate,STARLINK-5034 - Z-Coordinate,STARLINK-32161 - Z-Coordinate,STARLINK-2379 - Z-Coordinate,STARLINK-31002 - Z-Coordinate,STARLINK-5818 - Z-Coordinate,STARLINK-2220 - Z-Coordinate,STARLINK-3447 - Z-Coordinate,STARLINK-4776 - Z-Coordinate,STARLINK-1980 - Z-Coordinate,STARLINK-3273 - Z-Coordinate,STARLINK-2693 - Z-Coordinate,STARLINK-4584 - Z-Coordinate,STARLINK-3275 - Z-Coordinate,STARLINK-6049 - Z-Coordinate,STARLINK-32194 - Z-Coordinate,STARLINK-31496 - Z-Coordinate,STARLINK-5140 - Z-Coordinate,STARLINK-11261 [DTC] - Z-Coordinate,STARLINK-31710 - Z-Coordinate,STARLINK-5294 - Z-Coordinate,STARLINK-11138 [DTC] - Z-Coordinate,STARLINK-4563 - Z-Coordinate,STARLINK-3807 - Z-Coordinate,STARLINK-4123 - Z-Coordinate,STARLINK-4781 - Z-Coordinate,STARLINK-2121 - Z-Coordinate,STARLINK-30274 - Z-Coordinate,STARLINK-32252 - Z-Coordinate,STARLINK-31541 - Z-Coordinate,STARLINK-32227 - Z-Coordinate,STARLINK-30596 - Z-Coordinate,STARLINK-1542 - Z-Coordinate,STARLINK-6165 - Z-Coordinate,STARLINK-3314 - Z-Coordinate,STARLINK-31405 - Z-Coordinate,STARLINK-1648 - Z-Coordinate,STARLINK-2533 - Z-Coordinate,STARLINK-3997 - Z-Coordinate,STARLINK-4151 - Z-Coordinate,STARLINK-5335 - Z-Coordinate,STARLINK-3450 - Z-Coordinate,STARLINK-30805 - Z-Coordinate,STARLINK-31571 - Z-Coordinate,STARLINK-6221 - Z-Coordinate,STARLINK-4072 - Z-Coordinate,STARLINK-6039 - Z-Coordinate,STARLINK-2235 - Z-Coordinate,STARLINK-31143 - Z-Coordinate,STARLINK-31319 - Z-Coordinate,STARLINK-4419 - Z-Coordinate,STARLINK-4122 - Z-Coordinate,STARLINK-5722 - Z-Coordinate,STARLINK-5649 - Z-Coordinate,STARLINK-5071 - Z-Coordinate,STARLINK-1531 - Z-Coordinate,STARLINK-30219 - Z-Coordinate,STARLINK-5345 - Z-Coordinate,STARLINK-5943 - Z-Coordinate,STARLINK-5700 - Z-Coordinate,STARLINK-4047 - Z-Coordinate,STARLINK-2361 - Z-Coordinate,STARLINK-30344 - Z-Coordinate,STARLINK-32212 - Z-Coordinate,STARLINK-2282 - Z-Coordinate,STARLINK-1372 - Z-Coordinate,STARLINK-1566 - Z-Coordinate,STARLINK-5303 - Z-Coordinate,STARLINK-6103 - Z-Coordinate,STARLINK-11191 [DTC] - Z-Coordinate,STARLINK-11078 [DTC] - Z-Coordinate,STARLINK-5134 - Z-Coordinate,STARLINK-6101 - Z-Coordinate,STARLINK-32130 - Z-Coordinate,STARLINK-2161 - Z-Coordinate,STARLINK-5661 - Z-Coordinate,STARLINK-30160 - Z-Coordinate,STARLINK-31439 - Z-Coordinate,STARLINK-3533 - Z-Coordinate,STARLINK-5717 - Z-Coordinate,STARLINK-1894 - Z-Coordinate,STARLINK-2480 - Z-Coordinate,STARLINK-1663 - Z-Coordinate,STARLINK-5641 - Z-Coordinate,STARLINK-3104 - Z-Coordinate,STARLINK-4478 - Z-Coordinate,STARLINK-1803 - Z-Coordinate,STARLINK-4126 - Z-Coordinate,STARLINK-32104 - Z-Coordinate,STARLINK-4765 - Z-Coordinate,STARLINK-30761 - Z-Coordinate,STARLINK-30515 - Z-Coordinate,STARLINK-1013 - Z-Coordinate,STARLINK-3990 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,4146.6522,6147.5802,-5806.9458,1346.7438,-5394.1844,1470.8729,-5577.7590,-1385.1961,142.8615,2192.2036,3190.5556,-3218.2472,-6830.5117,6861.0462,3499.1526,-4642.7824,5234.7685,1404.8992,3800.4018,3909.8203,-2149.4941,4036.5731,1404.5504,-6130.7988,4312.6280,2200.5348,1345.8278,-1066.3877,-3853.7878,4010.5476,-649.4768,-2610.9754,3867.4532,4641.2794,-885.3716,-6133.9947,-2354.9591,5076.8711,-5983.1361,5640.3231,-4338.4911,3170.6241,-542.4585,3738.2615,1555.0108,-4151.2812,2952.0357,6891.3730,4276.5181,2568.0337,-733.1574,-6790.3268,5158.0645,1360.3281,-1692.9275,4777.5032,1286.9712,-3584.7838,1460.6996,-4098.4826,-5035.2613,5343.7688,5015.2113,-5075.2229,989.3713,5836.5156,-1166.9005,-1239.3822,5788.5264,6652.1886,395.4334,-5642.6316,-3583.8759,4635.9223,-308.1440,5163.3556,3920.9439,2392.4998,-2118.5437,2585.0862,-4423.9572,6026.2840,2012.2876,-5448.6154,-1276.3281,-5420.5402,6884.4869,-4034.8912,-5119.6417,-6579.8343,2409.2298,-4562.3952,1629.0400,1313.1425,1020.1026,-4286.4620,-6061.6399,-791.6540,324.1265,-4834.5836,-339099.0525,-316264.4749,-328054.2648,-334666.2651,-326653.7478,-330627.5542,-330112.7719,-330505.5786,-223750914.7967,-223736672.0591,-223731668.9292,-223762083.3493,-331733.0587,-223756536.0701,-3733.1644,-821.6237,3166.4606,5706.3505,-4294.2159,6714.4029,2199.7499,-3942.9690,-6822.5326,6334.8708,-4047.0686,1955.6432,32.9795,26.0570,3996.8290,2930.2005,2951.3516,-5914.2031,4155.4423,1609.3981,1222.7629,-1661.6672,-4795.8482,1665.0521,-4818.4484,3479.9090,4831.9820,4246.2322,-5216.0324,1161.9996,-6034.3894,-4980.7142,2331.3290,-2407.9774,4037.7758,-2687.5806,-6057.4492,2681.8472,-3173.1471,3910.8256,5318.1847,-4237.9779,-4686.0573,-1927.1873,-3920.5771,981.1444,-5610.3720,-623.6541,3011.0674,-4990.7227,-6912.7666,1326.1745,2705.9809,5183.4022,-6333.4808,1539.4821,-1668.2737,5784.8379,-6279.6221,-4083.8323,1718.1091,-4373.4436,-2560.0016,156.2048,-6471.2462,-2328.0099,-5523.4901,4586.5916,-995.9091,-766.8705,4149.0650,-3861.2816,2401.2842,-1535.5736,-5521.7165,-4147.8963,1599.9548,4245.0414,5856.4799,5314.7198,4110.3567,-2531.8509,-4747.6295,-2770.3184,4378.2039,-565.5308,-809.5160,-2638.7817,4664.2965,1613.8631,-733.5516,-91.6857,6701.0348,-6659.3790,-6640.6964,-4273.9392,3036.6803,-5704.4376,-5552.3340,399.4658,62024.4186,81327.0881,64114.3056,64247.8062,64218.5733,64451.6261,72926.2942,68830.0169,-2817412.3401,-2799988.9568,-2805877.9926,-2795183.0397,68577.6040,-2802098.2278,-4093.6931,-3113.6925,-2037.9579,-3739.2836,605.7171,-861.2811,3311.8891,-5518.5305,195.6975,-1754.7337,-4647.2485,-5850.0068,1159.7189,891.6011,4430.0768,-4229.7432,-3435.9684,3321.5333,4011.7602,-5446.5970,6487.9220,5240.8945,-4655.6904,2777.4645,1890.0345,5438.1804,4757.6854,-5138.7156,-2419.0966,-5519.5368,3315.8431,-4042.5762,5243.2072,-4420.1201,5496.1435,1296.0296,-2093.9518,-3746.4781,-1470.3288,-1010.2526,-883.3477,4296.8931,5064.6032,5496.2772,-5489.1501,-5451.3306,2810.9683,15.5849,4549.0198,-3882.4118,180.5483,-126.6512,-3784.9663,-4392.6372,-2256.0557,4610.7003,-6621.9677,-1256.2763,2553.4514,3820.0645,-4479.5848,-550.9323,-4059.7536,-4731.0692,-2297.4187,-2943.1014,3991.9768,5034.3730,3684.7672,-1407.5796,5535.6504,1116.2862,-5425.9785,4937.6031,-4192.3295,-1253.4791,-5239.2568,-4916.4123,3052.0455,3409.5668,3383.4327,2316.6464,4634.8269,-3034.0165,5194.7048,4284.3535,151.0185,4967.2338,73.2312,-1500.5763,-6484.6380,-5205.7214,652.5386,-1350.7851,1180.5016,-3372.5652,1459.2981,3860.1480,4119.6275,4924.9280,179146.9024,178828.3379,176354.0494,184952.1078,181873.4397,171227.5625,172490.2912,179715.1143,85510726.2361,85492041.9575,85516335.1324,85512928.7053,178421.5407,85523025.0092,
3600.000,-3513.6649,-3573.8266,2596.0056,-1777.6388,5447.7241,-2764.0967,1633.1425,5206.5833,1796.5944,-3330.4510,-441.6279,-1351.5979,6017.1177,-5867.3185,-5989.9111,4423.5425,-4095.0494,1802.8796,-4156.2068,-4607.2574,-685.0326,-3526.0606,992.7630,3247.4056,-2216.2838,-5662.4828,-4148.9963,-4019.5315,4112.6582,-5449.5960,2430.3708,4872.1108,-4476.7848,-348.8624,-3376.1993,6275.2417,3616.0134,-3814.3903,4921.6248,-6208.0114,1680.4053,1361.1935,4113.8134,-1273.8304,1772.1761,2168.7064,-959.5589,-5237.3314,-5530.6571,201.8943,846.6866,4910.0932,-4433.4771,-3834.7631,3130.9078,-5869.7886,-5844.1383,831.9360,1833.0615,6434.4803,6442.0340,-3426.0725,-4167.4350,4660.2662,1250.6192,-5136.2066,3565.6905,-1206.2945,-5830.4839,-5550.7049,-4395.6902,5801.2770,349.7192,-307.9955,3887.4934,-1337.4107,-6145.4547,-4496.1413,-1519.0070,-3950.3542,3687.0798,-2989.7676,1212.8545,4735.3183,-3060.5991,6274.6458,-5318.3312,6637.6063,2958.4954,4127.8367,-3126.7343,2789.1957,-2860.6371,997.7613,1611.2888,5941.4167,3231.0878,3982.2660,2940.6801,2243.2007,-341136.1190,-326118.3989,-335829.9002,-341479.6022,-332722.0695,-336475.9888,-337281.9948,-339484.2461,-215355086.6130,-215344387.3250,-215336187.9673,-215370131.3355,-338298.2753,-215359937.4602,5958.6414,3607.8295,-3838.9306,-6628.9282,2354.5572,-5398.3472,-3786.6822,3003.8132,5138.9227,-3456.4133,6410.4486,-2825.6320,-1527.3333,1511.0971,-3404.1296,-5320.3881,805.5131,3823.7225,-9.7412,2764.0866,-4666.6076,5448.2021,6718.3937,-3962.1398,5563.5467,-488.6640,-1491.3172,-3291.5646,1759.8749,2515.0953,6412.1610,4918.8480,1966.6725,4294.0769,-4589.7736,-21.9675,2460.6264,1550.9466,425.7843,-1678.5882,-4915.3564,5303.7323,2206.3559,5311.7955,5859.3678,-4803.7990,6829.8299,2111.6562,853.3225,6805.8831,5264.7118,-2643.5755,-5154.9945,-5735.6110,3335.9407,2487.6836,1735.0452,-4938.6351,4830.0844,2499.6139,-2616.3270,4834.4182,5437.8145,-3982.1927,6685.7208,4625.4400,2133.1606,-6563.8237,3730.2848,2426.9468,-3633.2362,2148.2508,-5194.6947,2401.2402,3568.9043,4275.2312,1998.3310,-397.2979,-4858.2758,-1086.4617,-5807.4062,4281.9201,6323.4652,-1571.0721,-3717.0651,-2505.4546,2214.4673,1009.8207,-4874.8391,-3600.5711,4731.1819,-3924.0459,-5249.9816,4859.8868,6051.5785,3461.9779,-4441.2667,3263.2691,2980.3799,-3938.4964,-23221.0824,-438.1674,-21665.6364,-19895.3526,-20425.4292,-20795.0659,-12572.2481,-16846.6652,-60667884.7359,-60646924.6257,-60648217.2978,-60650361.9904,-16192.1429,-60652062.5648,95.6954,4717.9033,5128.7871,-1133.4827,3553.1166,-3351.7289,-5478.5255,3420.4277,4110.6689,4986.5405,2606.8513,6197.7079,3070.3270,3333.4311,-672.9489,354.0306,5510.3654,-5496.4013,-5535.5827,4301.2782,-5111.3482,-2126.5835,686.8347,-4681.6510,3082.6984,-3789.1830,-5336.8923,4297.5189,5270.2470,3433.1090,913.7271,40.9136,-4909.7969,5308.3721,-3865.5003,2669.5352,5231.9682,5472.7914,4849.5469,-2607.1999,4561.8282,-4073.2589,-5122.7905,-4264.4057,3218.2683,4473.9920,740.2357,3990.4596,-4103.9994,411.4788,4448.4774,4087.8326,-1417.2985,606.8057,5197.8638,-2431.6786,3317.3337,4765.5061,-4634.9419,-691.1406,-183.6121,-3593.8996,1100.0527,3240.5346,-1364.4492,-601.8961,-5536.6488,-1864.4935,-470.9230,-3184.2878,-3947.5778,3110.7724,4563.6552,-6521.7963,4495.2701,5025.3594,1883.0258,5235.6877,-4720.3763,-5465.0782,793.3816,-4571.2264,-2590.1828,4644.8348,-4972.4422,-1578.6403,3848.9534,-1713.7145,3923.2651,4248.9209,4015.9501,4961.6229,3490.1645,4814.1223,2744.5404,-844.9421,-4242.4222,-4655.3562,-5521.3472,-5231.5103,178973.5667,179099.0593,177556.1780,183843.5709,184075.7446,173926.6878,170966.1326,177690.2412,85520507.9336,85501505.0328,85522240.4038,85525424.1248,178851.1960,85532487.4476,
7200.000,1365.4282,453.1983,1762.7190,1679.5408,-3946.3441,3851.8891,2604.0900,-6635.9711,-4076.0301,4536.3235,-1832.5050,4554.1624,-2732.9089,2456.8469,5773.9697,-2392.1149,2739.9908,-5229.3149,4343.7179,4387.6506,1695.7670,1747.3509,-2609.6045,296.8339,-2096.0668,6587.0145,6267.3222,6517.1083,-4170.3031,5288.1676,-3426.4232,-4973.2856,4550.2404,-3334.5605,5557.3951,-3662.6667,-4626.9366,2287.3474,-2910.8832,4870.6236,2423.8770,-4791.4293,-6619.5746,-570.2561,-3548.4117,-561.0232,-1597.0561,1481.2347,5617.2279,-2737.4649,-2066.7126,-968.7912,1055.6164,4481.7254,-4750.5940,4543.3569,6654.2120,3131.4410,-5137.0812,-6316.8301,-4593.9738,-464.9547,2029.5945,-3315.8696,-3346.9037,2425.9977,-5758.5143,2633.0699,3746.3284,1532.5407,6376.5545,-4100.4712,1925.3797,-3478.5896,-6471.4132,-3820.4430,4680.7262,5933.2893,5060.2634,4893.1366,-1138.9406,-869.8544,-3470.5193,-2950.9648,6056.1784,-5003.2075,1635.2300,-6395.6583,1046.2588,-418.5399,3602.4536,-1260.6919,3924.4144,-4082.7994,-4235.3292,-5152.3340,772.9257,-6389.0452,-5942.8405,-25.2094,-322218.0679,-315265.1790,-322388.8516,-326951.3945,-317801.5045,-321253.2605,-322694.9355,-322483.9269,-192265364.9998,-192258776.1182,-192250053.8513,-192279209.7254,-323557.3317,-192269836.8841,-5514.4088,-5974.9933,4392.9161,4143.1594,1327.2309,1702.8525,5097.0935,-1793.7442,-1028.3068,-718.2256,-6615.4408,4317.8798,3299.5049,-3399.3858,1481.9602,5330.1731,-4785.9872,-1402.1916,-3997.1278,-5297.5587,6702.3840,-6073.8477,-5051.8897,5819.4940,-3459.1265,-1663.9769,-1374.6819,1737.3294,2613.7346,-4391.3842,-3878.2424,-2726.0549,-4985.1807,-5476.5812,4046.1035,3405.7328,2229.8686,-5524.4562,3403.6024,-1672.7649,3555.7352,-4793.5727,-128.8835,-6892.1112,-5848.4888,6857.0716,-5540.4486,-3881.6645,-3895.7073,-5267.5638,-1208.8857,4051.1966,3731.6298,3922.3823,678.7632,-4834.2193,564.3775,3111.5417,-2514.9380,-127.6043,2239.4952,-4149.6326,-6142.7048,6090.2258,-4395.1037,-5289.5840,1235.4716,5917.0977,-4987.0656,-3823.7600,2731.8218,1197.6070,6589.7274,-4193.9851,-1348.9583,-3326.8383,-3705.1754,-2703.3942,3145.7266,-3274.0932,5138.4301,-5547.2227,-5922.1165,5489.8951,2913.8541,4328.5423,-3837.1092,560.2897,4035.2781,5303.2557,-5897.1727,6600.3085,1477.2769,-1762.5810,-2663.3823,-956.7092,5250.5378,-543.7640,-427.2381,6534.3804,-104418.5156,-82095.4998,-105939.6043,-102653.1275,-103719.2951,-104033.5824,-97338.3162,-98707.8352,-114361025.4648,-114338227.3226,-114334071.3920,-114349182.0522,-99911.9233,-114344324.8095,3939.1413,-3500.3342,-5050.4047,5313.8048,-5532.9577,5490.6531,3762.9814,782.7735,-5382.7473,-5190.0989,988.1029,-2993.9311,-5449.8586,-5507.1692,-3523.9906,3715.2941,-4184.0121,4319.8291,3601.9366,-349.0351,747.7955,-2587.7975,3768.5838,3755.6925,-5394.6601,-688.2177,2583.7600,204.6259,-4867.6516,772.4298,-4597.6889,3962.0907,1550.5128,-2397.2237,-361.8069,-4644.6888,-4500.3993,-3353.2050,-5290.3581,4638.9214,-5421.1217,777.9929,2032.9847,406.4456,1032.0612,-733.2691,-3862.8014,-5537.1397,1177.2999,3354.1389,-6530.7362,-5529.0609,5751.7979,3528.3604,-5004.9867,-1593.0945,1892.1392,-5331.6440,3917.9019,-2870.6323,4702.9474,5518.3241,2502.9740,184.1532,4185.4262,3766.9022,3624.0801,-2467.2078,-3042.7202,5453.3969,-34.4191,-5458.4936,-938.4677,4312.0601,-2108.1726,-4448.4131,3107.8494,-2319.9044,3549.1937,3449.1230,-4506.3073,4066.7896,-1023.9912,-2778.1223,1641.1933,-2093.3649,-5541.9268,-2609.4847,-5535.1239,-4456.9145,740.8923,-1655.7470,-5517.8005,-5304.6333,-4652.4150,4521.5361,4458.7428,2642.4639,3524.8479,2268.5269,178782.2196,179351.1679,179088.7489,181774.9907,185762.9475,177520.3989,170181.7353,180090.3082,85531035.3147,85511338.6319,85528433.3987,85539830.3476,179264.2321,85541919.7502,
