sl_100_5400_20240301 Coordinates.csv
2024/03/01 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:29 2024,
Start: 2024/03/01 07:47:00.00, Stop: 2024/03/01 09:17:00.00,
TIME_UNITS,STARLINK-6195 - X-Coordinate,STARLINK-5528 - X-Coordinate,STARLINK-32015 - X-Coordinate,STARLINK-31824 - X-Coordinate,STARLINK-5663 - X-Coordinate,STARLINK-31663 - X-Coordinate,STARLINK-3004 - X-Coordinate,STARLINK-5565 - X-Coordinate,STARLINK-6316 - X-Coordinate,STARLINK-31120 - X-Coordinate,STARLINK-31280 - X-Coordinate,STARLINK-4631 - X-Coordinate,STARLINK-31957 - X-Coordinate,STARLINK-32032 - X-Coordinate,STARLINK-2475 - X-Coordinate,STARLINK-2658 - X-Coordinate,STARLINK-30913 - X-Coordinate,STARLINK-30157 - X-Coordinate,STARLINK-5373 - X-Coordinate,STARLINK-31703 - X-Coordinate,STARLINK-31365 - X-Coordinate,STARLINK-3965 - X-Coordinate,STARLINK-31250 - X-Coordinate,STARLINK-5536 - X-Coordinate,STARLINK-2603 - X-Coordinate,STARLINK-31342 - X-Coordinate,STARLINK-1789 - X-Coordinate,STARLINK-31861 - X-Coordinate,STARLINK-3609 - X-Coordinate,STARLINK-30482 - X-Coordinate,STARLINK-1090 - X-Coordinate,STARLINK-31895 - X-Coordinate,STARLINK-3835 - X-Coordinate,STARLINK-30335 - X-Coordinate,STARLINK-4602 - X-Coordinate,STARLINK-5383 - X-Coordinate,STARLINK-2147 - X-Coordinate,STARLINK-31804 - X-Coordinate,STARLINK-3648 - X-Coordinate,STARLINK-30956 - X-Coordinate,STARLINK-4775 - X-Coordinate,STARLINK-4411 - X-Coordinate,STARLINK-30230 - X-Coordinate,STARLINK-30354 - X-Coordinate,STARLINK-5556 - X-Coordinate,STARLINK-5774 - X-Coordinate,STARLINK-5839 - X-Coordinate,STARLINK-2404 - X-Coordinate,STARLINK-4400 - X-Coordinate,STARLINK-31616 - X-Coordinate,STARLINK-32018 - X-Coordinate,STARLINK-5832 - X-Coordinate,STARLINK-1551 - X-Coordinate,STARLINK-30785 - X-Coordinate,STARLINK-31925 - X-Coordinate,STARLINK-2657 - X-Coordinate,STARLINK-4445 - X-Coordinate,STARLINK-30705 - X-Coordinate,STARLINK-3247 - X-Coordinate,STARLINK-5155 - X-Coordinate,STARLINK-31185 - X-Coordinate,STARLINK-5868 - X-Coordinate,STARLINK-2727 - X-Coordinate,STARLINK-1932 - X-Coordinate,STARLINK-30340 - X-Coordinate,STARLINK-2578 - X-Coordinate,STARLINK-5019 - X-Coordinate,STARLINK-1959 - X-Coordinate,STARLINK-1882 - X-Coordinate,STARLINK-32156 - X-Coordinate,STARLINK-31906 - X-Coordinate,STARLINK-3141 - X-Coordinate,STARLINK-2449 - X-Coordinate,STARLINK-3692 - X-Coordinate,STARLINK-5614 - X-Coordinate,STARLINK-30102 - X-Coordinate,STARLINK-1076 - X-Coordinate,STARLINK-30440 - X-Coordinate,STARLINK-30094 - X-Coordinate,STARLINK-30432 - X-Coordinate,STARLINK-1608 - X-Coordinate,STARLINK-30224 - X-Coordinate,STARLINK-30489 - X-Coordinate,STARLINK-31043 - X-Coordinate,STARLINK-11132 [DTC] - X-Coordinate,STARLINK-31202 - X-Coordinate,STARLINK-4514 - X-Coordinate,STARLINK-31930 - X-Coordinate,STARLINK-31890 - X-Coordinate,STARLINK-11272 [DTC] - X-Coordinate,STARLINK-31993 - X-Coordinate,STARLINK-30881 - X-Coordinate,STARLINK-2674 - X-Coordinate,STARLINK-1878 - X-Coordinate,STARLINK-5346 - X-Coordinate,STARLINK-2275 - X-Coordinate,STARLINK-2196 - X-Coordinate,STARLINK-31478 - X-Coordinate,STARLINK-31279 - X-Coordinate,STARLINK-3514 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6195 - Y-Coordinate,STARLINK-5528 - Y-Coordinate,STARLINK-32015 - Y-Coordinate,STARLINK-31824 - Y-Coordinate,STARLINK-5663 - Y-Coordinate,STARLINK-31663 - Y-Coordinate,STARLINK-3004 - Y-Coordinate,STARLINK-5565 - Y-Coordinate,STARLINK-6316 - Y-Coordinate,STARLINK-31120 - Y-Coordinate,STARLINK-31280 - Y-Coordinate,STARLINK-4631 - Y-Coordinate,STARLINK-31957 - Y-Coordinate,STARLINK-32032 - Y-Coordinate,STARLINK-2475 - Y-Coordinate,STARLINK-2658 - Y-Coordinate,STARLINK-30913 - Y-Coordinate,STARLINK-30157 - Y-Coordinate,STARLINK-5373 - Y-Coordinate,STARLINK-31703 - Y-Coordinate,STARLINK-31365 - Y-Coordinate,STARLINK-3965 - Y-Coordinate,STARLINK-31250 - Y-Coordinate,STARLINK-5536 - Y-Coordinate,STARLINK-2603 - Y-Coordinate,STARLINK-31342 - Y-Coordinate,STARLINK-1789 - Y-Coordinate,STARLINK-31861 - Y-Coordinate,STARLINK-3609 - Y-Coordinate,STARLINK-30482 - Y-Coordinate,STARLINK-1090 - Y-Coordinate,STARLINK-31895 - Y-Coordinate,STARLINK-3835 - Y-Coordinate,STARLINK-30335 - Y-Coordinate,STARLINK-4602 - Y-Coordinate,STARLINK-5383 - Y-Coordinate,STARLINK-2147 - Y-Coordinate,STARLINK-31804 - Y-Coordinate,STARLINK-3648 - Y-Coordinate,STARLINK-30956 - Y-Coordinate,STARLINK-4775 - Y-Coordinate,STARLINK-4411 - Y-Coordinate,STARLINK-30230 - Y-Coordinate,STARLINK-30354 - Y-Coordinate,STARLINK-5556 - Y-Coordinate,STARLINK-5774 - Y-Coordinate,STARLINK-5839 - Y-Coordinate,STARLINK-2404 - Y-Coordinate,STARLINK-4400 - Y-Coordinate,STARLINK-31616 - Y-Coordinate,STARLINK-32018 - Y-Coordinate,STARLINK-5832 - Y-Coordinate,STARLINK-1551 - Y-Coordinate,STARLINK-30785 - Y-Coordinate,STARLINK-31925 - Y-Coordinate,STARLINK-2657 - Y-Coordinate,STARLINK-4445 - Y-Coordinate,STARLINK-30705 - Y-Coordinate,STARLINK-3247 - Y-Coordinate,STARLINK-5155 - Y-Coordinate,STARLINK-31185 - Y-Coordinate,STARLINK-5868 - Y-Coordinate,STARLINK-2727 - Y-Coordinate,STARLINK-1932 - Y-Coordinate,STARLINK-30340 - Y-Coordinate,STARLINK-2578 - Y-Coordinate,STARLINK-5019 - Y-Coordinate,STARLINK-1959 - Y-Coordinate,STARLINK-1882 - Y-Coordinate,STARLINK-32156 - Y-Coordinate,STARLINK-31906 - Y-Coordinate,STARLINK-3141 - Y-Coordinate,STARLINK-2449 - Y-Coordinate,STARLINK-3692 - Y-Coordinate,STARLINK-5614 - Y-Coordinate,STARLINK-30102 - Y-Coordinate,STARLINK-1076 - Y-Coordinate,STARLINK-30440 - Y-Coordinate,STARLINK-30094 - Y-Coordinate,STARLINK-30432 - Y-Coordinate,STARLINK-1608 - Y-Coordinate,STARLINK-30224 - Y-Coordinate,STARLINK-30489 - Y-Coordinate,STARLINK-31043 - Y-Coordinate,STARLINK-11132 [DTC] - Y-Coordinate,STARLINK-31202 - Y-Coordinate,STARLINK-4514 - Y-Coordinate,STARLINK-31930 - Y-Coordinate,STARLINK-31890 - Y-Coordinate,STARLINK-11272 [DTC] - Y-Coordinate,STARLINK-31993 - Y-Coordinate,STARLINK-30881 - Y-Coordinate,STARLINK-2674 - Y-Coordinate,STARLINK-1878 - Y-Coordinate,STARLINK-5346 - Y-Coordinate,STARLINK-2275 - Y-Coordinate,STARLINK-2196 - Y-Coordinate,STARLINK-31478 - Y-Coordinate,STARLINK-31279 - Y-Coordinate,STARLINK-3514 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6195 - Z-Coordinate,STARLINK-5528 - Z-Coordinate,STARLINK-32015 - Z-Coordinate,STARLINK-31824 - Z-Coordinate,STARLINK-5663 - Z-Coordinate,STARLINK-31663 - Z-Coordinate,STARLINK-3004 - Z-Coordinate,STARLINK-5565 - Z-Coordinate,STARLINK-6316 - Z-Coordinate,STARLINK-31120 - Z-Coordinate,STARLINK-31280 - Z-Coordinate,STARLINK-4631 - Z-Coordinate,STARLINK-31957 - Z-Coordinate,STARLINK-32032 - Z-Coordinate,STARLINK-2475 - Z-Coordinate,STARLINK-2658 - Z-Coordinate,STARLINK-30913 - Z-Coordinate,STARLINK-30157 - Z-Coordinate,STARLINK-5373 - Z-Coordinate,STARLINK-31703 - Z-Coordinate,STARLINK-31365 - Z-Coordinate,STARLINK-3965 - Z-Coordinate,STARLINK-31250 - Z-Coordinate,STARLINK-5536 - Z-Coordinate,STARLINK-2603 - Z-Coordinate,STARLINK-31342 - Z-Coordinate,STARLINK-1789 - Z-Coordinate,STARLINK-31861 - Z-Coordinate,STARLINK-3609 - Z-Coordinate,STARLINK-30482 - Z-Coordinate,STARLINK-1090 - Z-Coordinate,STARLINK-31895 - Z-Coordinate,STARLINK-3835 - Z-Coordinate,STARLINK-30335 - Z-Coordinate,STARLINK-4602 - Z-Coordinate,STARLINK-5383 - Z-Coordinate,STARLINK-2147 - Z-Coordinate,STARLINK-31804 - Z-Coordinate,STARLINK-3648 - Z-Coordinate,STARLINK-30956 - Z-Coordinate,STARLINK-4775 - Z-Coordinate,STARLINK-4411 - Z-Coordinate,STARLINK-30230 - Z-Coordinate,STARLINK-30354 - Z-Coordinate,STARLINK-5556 - Z-Coordinate,STARLINK-5774 - Z-Coordinate,STARLINK-5839 - Z-Coordinate,STARLINK-2404 - Z-Coordinate,STARLINK-4400 - Z-Coordinate,STARLINK-31616 - Z-Coordinate,STARLINK-32018 - Z-Coordinate,STARLINK-5832 - Z-Coordinate,STARLINK-1551 - Z-Coordinate,STARLINK-30785 - Z-Coordinate,STARLINK-31925 - Z-Coordinate,STARLINK-2657 - Z-Coordinate,STARLINK-4445 - Z-Coordinate,STARLINK-30705 - Z-Coordinate,STARLINK-3247 - Z-Coordinate,STARLINK-5155 - Z-Coordinate,STARLINK-31185 - Z-Coordinate,STARLINK-5868 - Z-Coordinate,STARLINK-2727 - Z-Coordinate,STARLINK-1932 - Z-Coordinate,STARLINK-30340 - Z-Coordinate,STARLINK-2578 - Z-Coordinate,STARLINK-5019 - Z-Coordinate,STARLINK-1959 - Z-Coordinate,STARLINK-1882 - Z-Coordinate,STARLINK-32156 - Z-Coordinate,STARLINK-31906 - Z-Coordinate,STARLINK-3141 - Z-Coordinate,STARLINK-2449 - Z-Coordinate,STARLINK-3692 - Z-Coordinate,STARLINK-5614 - Z-Coordinate,STARLINK-30102 - Z-Coordinate,STARLINK-1076 - Z-Coordinate,STARLINK-30440 - Z-Coordinate,STARLINK-30094 - Z-Coordinate,STARLINK-30432 - Z-Coordinate,STARLINK-1608 - Z-Coordinate,STARLINK-30224 - Z-Coordinate,STARLINK-30489 - Z-Coordinate,STARLINK-31043 - Z-Coordinate,STARLINK-11132 [DTC] - Z-Coordinate,STARLINK-31202 - Z-Coordinate,STARLINK-4514 - Z-Coordinate,STARLINK-31930 - Z-Coordinate,STARLINK-31890 - Z-Coordinate,STARLINK-11272 [DTC] - Z-Coordinate,STARLINK-31993 - Z-Coordinate,STARLINK-30881 - Z-Coordinate,STARLINK-2674 - Z-Coordinate,STARLINK-1878 - Z-Coordinate,STARLINK-5346 - Z-Coordinate,STARLINK-2275 - Z-Coordinate,STARLINK-2196 - Z-Coordinate,STARLINK-31478 - Z-Coordinate,STARLINK-31279 - Z-Coordinate,STARLINK-3514 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-4894.0948,4735.8788,3628.6311,5120.9738,3929.2879,-5569.4314,-323.5756,6155.4319,1242.3308,-4680.2960,-5426.9275,4881.8843,5806.7069,2605.0798,6335.6206,-3244.6568,942.0751,5530.7698,-5408.2875,-3505.4089,-2207.7320,869.6120,-5273.6377,-4853.0378,1955.4445,-4508.8815,-2203.0279,4435.2807,-5486.0203,4581.6153,-1253.5496,-4096.6511,-4003.9132,-4661.9640,2595.7625,-4137.9161,-3266.5450,-1411.2394,6699.6016,6933.3721,-165.4275,4208.8869,4725.0833,3591.0335,-3974.1670,4515.6766,-2961.6889,-5475.8085,-239.7742,3379.7595,-4291.7265,-2805.6882,-3373.4127,1762.9749,2765.8700,1764.1733,-496.3418,1234.0311,1134.8843,-4753.6355,-3710.8183,210.9539,2056.8576,-1110.9893,-3237.6594,3835.3175,-5812.7332,-6640.3336,-4317.3006,6143.5183,-4260.8526,5926.6998,6446.2184,-3848.1154,4119.7217,-4905.6992,4261.6794,-4992.5060,6838.9878,-3414.0146,-3628.3051,5966.8154,1425.0052,-4757.9798,-5783.8446,267.8545,5762.3071,-3779.7594,6533.0248,3532.7987,5608.6536,1574.6307,-1027.2950,3489.8813,-4190.0791,2732.3797,-2049.8278,587.1472,-1292.0432,-1942.2525,-210357.5334,-213605.7129,-221068.5058,-215276.2992,-221955.4960,-218245.4430,-214651.4184,-215134.4820,-242295182.8780,-242300578.2437,-242300481.0722,-242266145.0027,-215409.2251,-242277180.5536,-2616.2169,-4973.7365,5821.1997,3112.9752,-5385.1412,2243.8128,6247.1699,-3065.8199,-5447.6293,4048.7451,-2326.0655,-2521.5124,1515.3440,-3803.2585,2155.2596,3330.4531,6755.9258,-130.1119,-2522.0358,5181.6429,5637.7620,-5926.1851,-1126.4510,4933.4033,-3685.4403,-2692.3507,-3544.5560,-2415.9242,-935.9833,-3073.3978,6108.2410,-3035.7352,-2277.2152,3954.3619,-5100.2929,-3977.9152,-3696.3782,-6539.5971,-1671.2117,20.1656,-6878.8355,-1370.7532,-2710.9819,-3733.0981,-4192.0475,3889.4193,-4505.6886,-4225.6212,-5916.6952,-3707.9535,1063.7234,6336.5108,-2844.9734,6701.5094,4831.0728,6354.3635,6749.7714,6321.9726,5763.5332,-3963.8157,4549.6441,-6942.8447,6464.8054,4498.8096,-4207.2070,4434.9903,1901.4022,-1282.6312,-3157.8340,2968.8746,-2703.7447,875.2945,1235.5988,3624.8880,25.2897,-2177.5118,2680.2874,945.3926,952.5203,-4021.5086,2195.8782,1285.5134,6661.0032,1965.8339,-359.0376,5919.7816,-3363.6823,-1667.7863,-1499.2163,-5731.6765,2251.1573,5618.8514,4058.8744,5708.5819,-4545.9746,-3907.6532,-3687.2875,5954.0992,6392.0303,4418.9112,-299354.4269,-324492.1015,-308607.8260,-304399.8435,-308398.2128,-306543.3540,-314174.1908,-308938.8955,200435985.7254,200422904.3412,200437681.5851,200443920.6003,-309500.9203,200442949.6498,4152.7249,970.1583,438.6866,-3262.3717,1958.4001,3230.1944,-3025.6018,1016.1846,-4119.9568,-3126.7633,-3475.4880,4196.5759,-3254.9331,-5032.2768,-1798.0432,5127.0964,555.8460,4174.1639,-3541.7921,2423.2509,-3086.6524,-3471.7188,-4218.7666,498.5675,5529.5357,-4435.2997,-5538.2849,4575.2988,-4121.6768,4198.2552,-3068.2743,4521.7639,5156.5348,3277.7897,-3891.6845,3884.6218,-4871.7933,1333.0076,-495.2629,-3.9205,767.3285,5343.3732,4289.7670,-4623.1434,-3856.1925,-3557.6887,4357.3266,413.7502,-3644.8277,4675.3197,5223.3915,-357.8164,5333.2629,-424.1366,-3954.4115,-2231.3364,-1582.8937,2343.1868,3636.6365,3087.8117,-3568.4922,-358.1963,-1430.2307,-5167.0970,-4474.6161,-3702.2782,3299.5564,-1512.6802,-4435.7581,419.5208,4583.9293,3454.9468,-2227.6810,-4476.8998,5591.8904,-4403.0645,4764.6065,-4735.0594,-682.7169,-4513.6351,-5510.4122,3297.4323,-1326.9560,4640.6463,3430.5211,3461.6385,-1847.1132,5424.4832,-786.3785,-296.2011,2893.1249,3742.8388,-5527.1722,1796.3968,-3157.6416,-5042.6043,-5507.6508,3307.8297,-2157.8759,-4968.3477,-125185.0369,-125012.1100,-128702.6723,-119657.2362,-123422.1952,-133965.4085,-132060.9765,-124824.9165,-101453513.1833,-101475294.1680,-101442704.4231,-101454537.2164,-126488.1741,-101446819.8552,
300.000,-6055.3407,3265.1681,4526.9362,6278.6991,2727.6581,-4084.3523,-694.7182,5841.5037,-813.0663,-2982.7042,-4980.8652,4732.9778,5390.1071,1360.3680,6002.2450,-1208.9068,2109.8169,4693.3535,-5370.2650,-2252.2098,-507.8379,-444.5118,-4479.0433,-3633.1497,26.3496,-5699.4903,-3966.2517,3430.5673,-4618.0292,3743.2388,-18.6448,-4904.5479,-5400.7827,-3785.1443,725.7482,-4817.3191,-4997.7968,-2900.6962,6200.1050,6600.4792,-1361.6321,2535.8310,3088.7937,1726.5487,-4733.2747,5911.3603,-4237.4210,-5854.5920,222.8092,2541.6736,-2994.8183,-1273.6238,-4097.7893,3099.6186,4008.7701,2774.4469,-865.9514,2547.9083,2650.9100,-5959.7160,-2530.4659,-413.3749,3026.8277,606.7784,-4450.5581,5295.7069,-6227.8801,-6173.6150,-4376.2938,6452.9462,-5005.9759,6646.1702,5830.8533,-1878.3410,5404.6163,-5912.3014,4276.7831,-4372.0275,6569.7767,-4569.8120,-2640.4305,6628.0475,2898.3971,-3505.7165,-4744.3959,2046.0800,5255.6763,-4706.8810,6020.7756,2347.1380,6497.1601,3106.4026,1043.1955,4157.1803,-5630.0221,1556.0400,-3939.1991,2259.8702,431.3506,-534.8527,-204122.0427,-206728.8880,-214435.4841,-208615.3921,-215395.4848,-211701.7760,-207991.2973,-208897.2624,-246612035.6245,-246616932.9312,-246617405.1351,-246583002.8897,-208788.9268,-246594124.4623,-1065.7777,-5622.0719,4988.5399,1784.9003,-6375.4457,3541.5778,4927.1711,-3604.2832,-5090.0032,4415.8945,-548.6585,-4191.9820,-412.2180,-5319.9427,709.2752,3993.2974,6388.5850,-2056.0821,-531.4436,6251.3583,5157.8543,-6644.6574,697.5528,5820.3097,-4621.7858,-1040.8176,-2323.1924,-4274.6849,803.9138,-4832.6664,6802.1161,-1017.0631,-886.1681,5458.7438,-4774.6932,-2040.1101,-2988.8603,-6172.4656,-2779.1139,-1470.9083,-6708.7349,-277.7505,-4053.3881,-4804.9006,-2295.8361,2762.6241,-2804.6168,-2996.9201,-6767.6853,-5338.4934,2811.3667,6564.7939,-801.0071,5910.1426,3148.7341,5171.7049,5852.0824,6338.1461,6030.3183,-3208.7836,5926.0057,-6715.5372,5425.9822,5457.6752,-2448.2568,3910.9172,2793.6962,74.7362,-1155.6362,1778.0924,-659.1708,-438.0485,-199.8202,4063.0250,-1136.7134,-446.9509,605.6035,2991.3373,-600.6589,-2219.1599,4056.8495,-329.0901,6300.0873,3720.6982,1184.1649,6157.6039,-4503.6533,258.9398,-2943.6857,-6126.9398,1134.7714,4287.7216,4569.1745,4380.4600,-3611.2854,-5429.9542,-2736.3472,4893.4632,5955.0595,5694.7293,-303779.3535,-329011.0749,-312913.6639,-308879.7602,-312864.2943,-310951.9740,-318562.9678,-313703.9889,195099608.4990,195086230.6538,195100688.6887,195108144.0948,-313947.4054,195106594.5238,3203.5847,2410.3266,-1375.7212,-1984.8324,467.5710,4152.7999,-4852.1268,-1109.7559,-4650.5978,-4437.3730,-4673.6271,2802.5004,-4170.0104,-4052.0163,-3392.0089,5521.2455,-1265.1887,4665.0771,-4363.4933,971.1606,-4397.4215,-1888.8902,-5132.1379,-1043.9387,5159.9547,-3697.8407,-5192.7038,4051.4583,-5098.7359,3274.1122,-1418.2630,4621.5107,4227.3670,2004.5656,-4957.9833,4544.4827,-3761.9323,-213.0111,1315.6814,1521.2109,-1048.0532,6449.9093,4700.9123,-4704.8085,-4535.2440,-2363.0365,4714.8787,2173.4718,-1575.5681,3477.5692,5472.7618,-1858.6971,5520.4126,-1919.4518,-4543.3131,-3747.1018,-3651.8095,588.0288,2089.7507,1434.4837,-2380.7865,1754.5051,-3079.9520,-4244.6381,-4733.4414,-2175.9957,1314.8728,-3150.6720,-5273.7577,-1398.9483,4581.2194,1868.9728,-3744.4205,-5287.9741,4214.7114,-3609.8107,5419.3353,-4491.4436,-2154.7180,-4732.1994,-4992.6900,2029.3411,207.1265,4680.4061,4626.8071,2241.1328,-58.7796,4927.3627,779.7743,1529.9766,1194.0722,4473.0682,-5110.4201,3389.6067,-1854.1341,-4031.8526,-5012.8969,4203.8789,-3398.0725,-3907.1349,-125332.9010,-125116.9216,-128774.4052,-119846.1963,-123346.6353,-133917.9671,-132367.3666,-124839.6012,-101449020.1801,-101470675.6839,-101438312.6585,-101449550.8301,-126588.8051,-101442108.8636,
600.000,-6642.8407,1464.4032,4979.3757,6797.7479,1267.8755,-2193.2299,-923.3478,4927.4834,-2808.0674,-976.4277,-4067.5349,4141.0472,4458.7002,19.0191,5096.2866,933.8847,3075.0628,3437.9424,-4852.7576,-766.9216,1281.2960,-1693.9805,-3270.9373,-2054.6404,-1873.4617,-6342.9755,-5366.7600,2114.8143,-3334.3593,2574.2359,1202.3820,-5255.3249,-6282.0898,-2561.0286,-1245.1799,-5074.1198,-6234.8300,-4096.4098,5080.4822,5627.6490,-2434.5820,548.2068,1176.0001,-282.6017,-5080.7861,6735.1419,-5143.4868,-5670.0300,683.0670,1484.4284,-1439.1469,397.1514,-4476.7579,4155.4822,4887.0070,3556.7198,-1091.3265,3595.0407,3883.5772,-6567.8632,-1120.9811,-1018.9782,3732.7567,2229.3922,-5275.1781,6224.1251,-6018.4074,-5110.5908,-4065.2637,6103.7160,-5283.5646,6710.4441,4659.4725,279.2179,6166.7848,-6369.4606,3930.5935,-3373.5889,5671.4035,-5326.0878,-1448.3106,6656.1677,4093.2530,-1950.8543,-3221.4760,3603.0340,4227.3160,-5192.8068,4870.6344,892.6288,6672.9584,4375.2792,2989.4692,4449.3808,-6521.5100,270.2898,-5458.1393,3739.2329,2139.4109,885.5074,-197794.7147,-199756.6313,-207708.8882,-201861.4189,-208738.9632,-205067.2690,-201242.6131,-202545.0932,-250811373.9052,-250815769.7173,-250816792.1390,-250782384.2709,-202076.9691,-250793554.3161,559.6065,-5744.6475,3641.4983,294.4620,-6750.8025,4518.0073,3075.3647,-3789.5983,-4283.3291,4395.9235,1318.8024,-5429.9013,-2323.5145,-6301.3301,-839.2796,4322.2874,5362.3055,-3809.4649,1527.5553,6647.9511,4173.8219,-6709.4386,2488.7033,6151.3074,-5150.8661,683.9391,-925.0601,-5706.9021,2505.4640,-6122.8556,6831.1217,1089.7727,549.7550,6430.1272,-4024.4102,93.9198,-2028.9649,-5175.4543,-3625.3078,-2834.0177,-5872.3644,764.5008,-5043.6276,-5454.0314,-181.6068,1391.6261,-853.7204,-1453.0413,-6884.7564,-6425.2691,4311.7872,6167.4546,1304.0721,4545.7258,1163.3238,3486.1805,4325.0654,5709.0290,5710.0014,-2150.1418,6711.5400,-5807.2939,3847.7537,5912.3636,-475.3783,3023.4850,3386.7222,1457.6779,973.7029,389.3579,1436.5175,-1687.3628,-1653.1648,4160.0351,-2134.0315,1298.8227,-1540.5658,4757.0061,-2115.7657,-224.2926,5539.2539,-1893.7259,5328.8075,5142.0687,2646.3663,5794.2255,-5195.7580,2125.8869,-4084.9709,-5870.2392,-91.7757,2562.6857,4683.2914,2606.5577,-2344.9682,-6431.4612,-1570.5359,3360.1490,4943.1986,6426.2932,-308077.7832,-333382.4740,-317078.7659,-313217.5574,-317191.9388,-315223.1231,-322805.7171,-318362.8125,189670289.3228,189656628.3950,189670750.1565,189679423.0681,-318252.2793,189677293.6340,1911.7636,3592.6081,-3039.1392,-484.4167,-1072.9950,4608.7994,-6164.4130,-3117.9131,-4686.5358,-5274.2696,-5354.9825,1106.3356,-4618.6549,-2617.9050,-4622.8997,5323.2765,-2945.5726,4657.0287,-4720.3752,-595.6224,-5209.9695,-102.9265,-5477.2006,-2475.0080,4238.3302,-2554.7203,-4293.3913,3072.1311,-5529.9518,1999.9856,382.5882,4201.9131,2843.1056,517.2394,-5492.3630,4718.2499,-2249.8759,-1735.1250,2984.9685,2883.3235,-2750.8522,6870.4247,4610.0781,-4286.1302,-4732.4756,-916.2147,4568.6971,3699.9164,660.9512,1895.9764,5115.2216,-3161.2570,5115.8334,-3210.2741,-4624.4880,-4867.4149,-5333.5463,-1232.2550,317.0085,-373.3937,-931.1954,3680.9755,-4400.4591,-2870.1117,-4488.9518,-416.8764,-809.5243,-4451.4582,-5553.0250,-3061.3701,4064.2295,81.5878,-4860.7880,-5533.6068,2389.9700,-2432.0027,5495.1995,-3770.5294,-3396.7896,-4447.4978,-3946.7274,544.5981,1719.0474,4219.9107,5283.8600,773.5554,1735.8540,3877.7286,2255.3599,3177.7137,-646.3412,4725.1206,-4148.4727,4619.1138,-352.8115,-2591.4668,-3984.1384,4631.4222,-4264.8465,-2427.2047,-125481.0796,-125221.8417,-128841.9032,-120040.0380,-123274.4771,-133865.0658,-132667.4877,-124992.5150,-101444523.8771,-101466055.5221,-101433921.7367,-101444552.5451,-126689.3624,-101437397.6973,
