sl_100_5400_20240306 Coordinates.csv
2024/03/06 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:33 2024,
Start: 2024/03/06 07:47:00.00, Stop: 2024/03/06 09:17:00.00,
TIME_UNITS,STARLINK-1682 - X-Coordinate,STARLINK-30291 - X-Coordinate,STARLINK-2392 - X-Coordinate,STARLINK-3445 - X-Coordinate,STARLINK-5404 - X-Coordinate,STARLINK-31173 - X-Coordinate,STARLINK-32289 - X-Coordinate,STARLINK-32155 - X-Coordinate,STARLINK-31848 - X-Coordinate,STARLINK-31755 - X-Coordinate,STARLINK-30788 - X-Coordinate,STARLINK-5999 - X-Coordinate,STARLINK-5891 - X-Coordinate,STARLINK-32188 - X-Coordinate,STARLINK-1166 - X-Coordinate,STARLINK-5991 - X-Coordinate,STARLINK-1321 - X-Coordinate,STARLINK-3319 - X-Coordinate,STARLINK-6365 - X-Coordinate,STARLINK-3349 - X-Coordinate,STARLINK-30524 - X-Coordinate,STARLINK-31086 - X-Coordinate,STARLINK-4410 - X-Coordinate,STARLINK-31762 - X-Coordinate,STARLINK-4217 - X-Coordinate,STARLINK-31310 - X-Coordinate,STARLINK-30222 - X-Coordinate,STARLINK-30864 - X-Coordinate,STARLINK-31780 - X-Coordinate,STARLINK-3680 - X-Coordinate,STARLINK-30708 - X-Coordinate,STARLINK-2428 - X-Coordinate,STARLINK-11182 [DTC] - X-Coordinate,STARLINK-2604 - X-Coordinate,STARLINK-1189 - X-Coordinate,STARLINK-30521 - X-Coordinate,STARLINK-31426 - X-Coordinate,STARLINK-11166 [DTC] - X-Coordinate,STARLINK-30851 - X-Coordinate,STARLINK-1683 - X-Coordinate,STARLINK-31449 - X-Coordinate,STARLINK-31616 - X-Coordinate,STARLINK-4452 - X-Coordinate,STARLINK-3914 - X-Coordinate,STARLINK-30049 - X-Coordinate,STARLINK-5273 - X-Coordinate,STARLINK-3520 - X-Coordinate,STARLINK-30413 - X-Coordinate,STARLINK-30923 - X-Coordinate,STARLINK-31514 - X-Coordinate,STARLINK-31760 - X-Coordinate,STARLINK-2497 - X-Coordinate,STARLINK-5309 - X-Coordinate,STARLINK-32153 - X-Coordinate,STARLINK-1679 - X-Coordinate,STARLINK-30187 - X-Coordinate,STARLINK-1677 - X-Coordinate,STARLINK-1710 - X-Coordinate,STARLINK-6057 - X-Coordinate,STARLINK-31362 - X-Coordinate,STARLINK-5873 - X-Coordinate,STARLINK-11204 [DTC] - X-Coordinate,STARLINK-1619 - X-Coordinate,STARLINK-1925 - X-Coordinate,STARLINK-3315 - X-Coordinate,STARLINK-2605 - X-Coordinate,STARLINK-4304 - X-Coordinate,STARLINK-3354 - X-Coordinate,STARLINK-1719 - X-Coordinate,STARLINK-31184 - X-Coordinate,STARLINK-11113 [DTC] - X-Coordinate,STARLINK-5072 - X-Coordinate,STARLINK-31549 - X-Coordinate,STARLINK-3176 - X-Coordinate,STARLINK-4061 - X-Coordinate,STARLINK-5621 - X-Coordinate,STARLINK-2033 - X-Coordinate,STARLINK-32045 - X-Coordinate,STARLINK-30775 - X-Coordinate,STARLINK-4092 - X-Coordinate,STARLINK-31776 - X-Coordinate,STARLINK-1230 - X-Coordinate,STARLINK-1843 - X-Coordinate,STARLINK-5240 - X-Coordinate,STARLINK-30485 - X-Coordinate,STARLINK-31808 - X-Coordinate,STARLINK-4300 - X-Coordinate,STARLINK-5715 - X-Coordinate,STARLINK-1361 - X-Coordinate,STARLINK-4708 - X-Coordinate,STARLINK-3840 - X-Coordinate,STARLINK-3323 - X-Coordinate,STARLINK-1368 - X-Coordinate,STARLINK-11247 [DTC] - X-Coordinate,STARLINK-4501 - X-Coordinate,STARLINK-30501 - X-Coordinate,STARLINK-30752 - X-Coordinate,STARLINK-4342 - X-Coordinate,STARLINK-4334 - X-Coordinate,STARLINK-6140 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-1682 - Y-Coordinate,STARLINK-30291 - Y-Coordinate,STARLINK-2392 - Y-Coordinate,STARLINK-3445 - Y-Coordinate,STARLINK-5404 - Y-Coordinate,STARLINK-31173 - Y-Coordinate,STARLINK-32289 - Y-Coordinate,STARLINK-32155 - Y-Coordinate,STARLINK-31848 - Y-Coordinate,STARLINK-31755 - Y-Coordinate,STARLINK-30788 - Y-Coordinate,STARLINK-5999 - Y-Coordinate,STARLINK-5891 - Y-Coordinate,STARLINK-32188 - Y-Coordinate,STARLINK-1166 - Y-Coordinate,STARLINK-5991 - Y-Coordinate,STARLINK-1321 - Y-Coordinate,STARLINK-3319 - Y-Coordinate,STARLINK-6365 - Y-Coordinate,STARLINK-3349 - Y-Coordinate,STARLINK-30524 - Y-Coordinate,STARLINK-31086 - Y-Coordinate,STARLINK-4410 - Y-Coordinate,STARLINK-31762 - Y-Coordinate,STARLINK-4217 - Y-Coordinate,STARLINK-31310 - Y-Coordinate,STARLINK-30222 - Y-Coordinate,STARLINK-30864 - Y-Coordinate,STARLINK-31780 - Y-Coordinate,STARLINK-3680 - Y-Coordinate,STARLINK-30708 - Y-Coordinate,STARLINK-2428 - Y-Coordinate,STARLINK-11182 [DTC] - Y-Coordinate,STARLINK-2604 - Y-Coordinate,STARLINK-1189 - Y-Coordinate,STARLINK-30521 - Y-Coordinate,STARLINK-31426 - Y-Coordinate,STARLINK-11166 [DTC] - Y-Coordinate,STARLINK-30851 - Y-Coordinate,STARLINK-1683 - Y-Coordinate,STARLINK-31449 - Y-Coordinate,STARLINK-31616 - Y-Coordinate,STARLINK-4452 - Y-Coordinate,STARLINK-3914 - Y-Coordinate,STARLINK-30049 - Y-Coordinate,STARLINK-5273 - Y-Coordinate,STARLINK-3520 - Y-Coordinate,STARLINK-30413 - Y-Coordinate,STARLINK-30923 - Y-Coordinate,STARLINK-31514 - Y-Coordinate,STARLINK-31760 - Y-Coordinate,STARLINK-2497 - Y-Coordinate,STARLINK-5309 - Y-Coordinate,STARLINK-32153 - Y-Coordinate,STARLINK-1679 - Y-Coordinate,STARLINK-30187 - Y-Coordinate,STARLINK-1677 - Y-Coordinate,STARLINK-1710 - Y-Coordinate,STARLINK-6057 - Y-Coordinate,STARLINK-31362 - Y-Coordinate,STARLINK-5873 - Y-Coordinate,STARLINK-11204 [DTC] - Y-Coordinate,STARLINK-1619 - Y-Coordinate,STARLINK-1925 - Y-Coordinate,STARLINK-3315 - Y-Coordinate,STARLINK-2605 - Y-Coordinate,STARLINK-4304 - Y-Coordinate,STARLINK-3354 - Y-Coordinate,STARLINK-1719 - Y-Coordinate,STARLINK-31184 - Y-Coordinate,STARLINK-11113 [DTC] - Y-Coordinate,STARLINK-5072 - Y-Coordinate,STARLINK-31549 - Y-Coordinate,STARLINK-3176 - Y-Coordinate,STARLINK-4061 - Y-Coordinate,STARLINK-5621 - Y-Coordinate,STARLINK-2033 - Y-Coordinate,STARLINK-32045 - Y-Coordinate,STARLINK-30775 - Y-Coordinate,STARLINK-4092 - Y-Coordinate,STARLINK-31776 - Y-Coordinate,STARLINK-1230 - Y-Coordinate,STARLINK-1843 - Y-Coordinate,STARLINK-5240 - Y-Coordinate,STARLINK-30485 - Y-Coordinate,STARLINK-31808 - Y-Coordinate,STARLINK-4300 - Y-Coordinate,STARLINK-5715 - Y-Coordinate,STARLINK-1361 - Y-Coordinate,STARLINK-4708 - Y-Coordinate,STARLINK-3840 - Y-Coordinate,STARLINK-3323 - Y-Coordinate,STARLINK-1368 - Y-Coordinate,STARLINK-11247 [DTC] - Y-Coordinate,STARLINK-4501 - Y-Coordinate,STARLINK-30501 - Y-Coordinate,STARLINK-30752 - Y-Coordinate,STARLINK-4342 - Y-Coordinate,STARLINK-4334 - Y-Coordinate,STARLINK-6140 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-1682 - Z-Coordinate,STARLINK-30291 - Z-Coordinate,STARLINK-2392 - Z-Coordinate,STARLINK-3445 - Z-Coordinate,STARLINK-5404 - Z-Coordinate,STARLINK-31173 - Z-Coordinate,STARLINK-32289 - Z-Coordinate,STARLINK-32155 - Z-Coordinate,STARLINK-31848 - Z-Coordinate,STARLINK-31755 - Z-Coordinate,STARLINK-30788 - Z-Coordinate,STARLINK-5999 - Z-Coordinate,STARLINK-5891 - Z-Coordinate,STARLINK-32188 - Z-Coordinate,STARLINK-1166 - Z-Coordinate,STARLINK-5991 - Z-Coordinate,STARLINK-1321 - Z-Coordinate,STARLINK-3319 - Z-Coordinate,STARLINK-6365 - Z-Coordinate,STARLINK-3349 - Z-Coordinate,STARLINK-30524 - Z-Coordinate,STARLINK-31086 - Z-Coordinate,STARLINK-4410 - Z-Coordinate,STARLINK-31762 - Z-Coordinate,STARLINK-4217 - Z-Coordinate,STARLINK-31310 - Z-Coordinate,STARLINK-30222 - Z-Coordinate,STARLINK-30864 - Z-Coordinate,STARLINK-31780 - Z-Coordinate,STARLINK-3680 - Z-Coordinate,STARLINK-30708 - Z-Coordinate,STARLINK-2428 - Z-Coordinate,STARLINK-11182 [DTC] - Z-Coordinate,STARLINK-2604 - Z-Coordinate,STARLINK-1189 - Z-Coordinate,STARLINK-30521 - Z-Coordinate,STARLINK-31426 - Z-Coordinate,STARLINK-11166 [DTC] - Z-Coordinate,STARLINK-30851 - Z-Coordinate,STARLINK-1683 - Z-Coordinate,STARLINK-31449 - Z-Coordinate,STARLINK-31616 - Z-Coordinate,STARLINK-4452 - Z-Coordinate,STARLINK-3914 - Z-Coordinate,STARLINK-30049 - Z-Coordinate,STARLINK-5273 - Z-Coordinate,STARLINK-3520 - Z-Coordinate,STARLINK-30413 - Z-Coordinate,STARLINK-30923 - Z-Coordinate,STARLINK-31514 - Z-Coordinate,STARLINK-31760 - Z-Coordinate,STARLINK-2497 - Z-Coordinate,STARLINK-5309 - Z-Coordinate,STARLINK-32153 - Z-Coordinate,STARLINK-1679 - Z-Coordinate,STARLINK-30187 - Z-Coordinate,STARLINK-1677 - Z-Coordinate,STARLINK-1710 - Z-Coordinate,STARLINK-6057 - Z-Coordinate,STARLINK-31362 - Z-Coordinate,STARLINK-5873 - Z-Coordinate,STARLINK-11204 [DTC] - Z-Coordinate,STARLINK-1619 - Z-Coordinate,STARLINK-1925 - Z-Coordinate,STARLINK-3315 - Z-Coordinate,STARLINK-2605 - Z-Coordinate,STARLINK-4304 - Z-Coordinate,STARLINK-3354 - Z-Coordinate,STARLINK-1719 - Z-Coordinate,STARLINK-31184 - Z-Coordinate,STARLINK-11113 [DTC] - Z-Coordinate,STARLINK-5072 - Z-Coordinate,STARLINK-31549 - Z-Coordinate,STARLINK-3176 - Z-Coordinate,STARLINK-4061 - Z-Coordinate,STARLINK-5621 - Z-Coordinate,STARLINK-2033 - Z-Coordinate,STARLINK-32045 - Z-Coordinate,STARLINK-30775 - Z-Coordinate,STARLINK-4092 - Z-Coordinate,STARLINK-31776 - Z-Coordinate,STARLINK-1230 - Z-Coordinate,STARLINK-1843 - Z-Coordinate,STARLINK-5240 - Z-Coordinate,STARLINK-30485 - Z-Coordinate,STARLINK-31808 - Z-Coordinate,STARLINK-4300 - Z-Coordinate,STARLINK-5715 - Z-Coordinate,STARLINK-1361 - Z-Coordinate,STARLINK-4708 - Z-Coordinate,STARLINK-3840 - Z-Coordinate,STARLINK-3323 - Z-Coordinate,STARLINK-1368 - Z-Coordinate,STARLINK-11247 [DTC] - Z-Coordinate,STARLINK-4501 - Z-Coordinate,STARLINK-30501 - Z-Coordinate,STARLINK-30752 - Z-Coordinate,STARLINK-4342 - Z-Coordinate,STARLINK-4334 - Z-Coordinate,STARLINK-6140 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-2971.1802,-5557.1242,-1282.6637,-1162.3608,-2041.6690,-6422.6976,5251.6753,-735.9458,-3274.5736,-5750.5011,-3520.3445,-5968.9187,-5709.4727,-5784.2841,5201.8892,-2724.6253,6161.7926,-4728.5583,1115.4351,4362.7985,2988.1389,6142.5426,-5961.6624,-3412.4363,-5559.9838,-2934.6027,-4568.9819,3020.0152,6685.4419,-6205.1871,-111.5076,3147.3054,-6579.4751,2721.8067,-3090.6191,481.4928,1726.0026,4119.3787,-133.2985,798.8398,5978.1781,-2749.8136,-6162.2861,6683.4039,-312.5674,954.9270,1373.9655,-224.8954,-272.9880,-4679.5030,-5805.4516,5441.2882,1242.1564,0.0000,4585.7214,2706.3547,3185.2031,-1620.8337,2976.0949,6574.6089,2149.7007,-2958.7033,-2441.9476,2954.4328,-2109.7430,-4597.2061,-1614.8791,-2039.1375,-6117.3794,895.5704,-1177.1150,-5096.4482,-3733.2525,4687.7557,-1498.3200,2432.9076,-5125.5168,-3150.6405,1596.7910,-5926.9776,-6529.5437,-5756.0714,4889.2241,-5644.4101,-4739.9138,4462.4136,-3599.9092,2387.9293,-3963.7532,-2461.9939,4675.0454,-3148.2816,5044.1808,-6004.2960,-6515.6842,-3179.2105,-4323.5274,-5656.5402,-796.6490,-2728.9309,-308126.1399,-322619.9288,-329266.4600,-323851.9732,-330172.9692,-326636.2367,-322396.4884,-324766.3093,-245221768.5671,-245220186.1131,-245227290.2076,-245212358.8511,-323553.5994,-245212746.2205,-6209.7702,1942.6257,4123.3397,6176.8842,3677.8167,1370.2566,2468.6411,4821.4128,-5298.0006,-3261.3532,2428.1660,2241.9974,-3809.2425,3597.0563,-3420.3311,-738.3232,-3173.0976,-5016.3482,-5377.1218,3877.7946,5194.9397,1870.1554,3297.9463,4013.9935,1502.1835,-4115.5463,-4098.2001,-5470.2278,438.2279,-3003.2447,-6804.9162,6123.0881,910.8391,-3449.6326,2812.0561,-6910.0126,-6567.3610,2749.6001,-6364.2099,6886.3816,1406.6581,-3409.0728,3202.1742,1077.8048,-5895.5991,-4254.3538,6521.4948,5183.3584,6310.8835,4771.6428,3065.8692,3611.7410,4285.1736,0.0000,1309.7948,5562.5942,-2982.8091,-5975.0006,6157.8829,-407.9957,-5167.3411,-3932.4597,-5456.2753,-4562.7951,-5924.8701,-2306.8475,6492.5671,6596.6734,-1823.0515,5755.3565,3864.5838,2544.8795,4951.4332,-541.5283,-4888.4735,-5301.4719,2921.6282,3314.0171,5450.0984,-3128.1722,-1955.5513,-2565.6288,-4569.8420,-3202.2454,4233.8459,-2272.6934,3413.8020,-5917.1577,-2004.9283,-3448.8499,-3195.4512,3056.1939,-1384.5193,3048.6868,-58.2810,6129.7690,-1403.5685,-3233.2518,1433.5255,-4376.7505,70284.4163,45863.9158,64057.4443,68711.2194,64155.7425,66319.7742,59025.5615,62320.0490,195471186.5178,195473650.3651,195488368.3949,195495379.1787,63613.3887,195489319.2417,857.6348,-3524.1030,5409.9883,-2907.5473,-5564.4366,-2018.8667,-3547.5495,4793.7877,2780.8815,-1696.3474,-5364.1830,-2741.1832,-1088.3427,447.2971,3051.7206,6331.2081,53.9684,634.6695,4227.7688,-3720.4941,3492.4801,-2471.7921,1330.9632,4322.0310,3827.2254,4634.4941,-3241.4514,-3017.6676,-1371.0422,658.3759,955.4639,770.8749,-1136.5798,5368.3033,-5530.7740,-386.1035,757.5757,-4591.9466,-2772.2151,-238.3059,-3026.3369,-5290.7811,74.9005,-1443.7822,-3649.4717,5367.4658,1860.7854,4597.2723,-2682.0727,1347.9821,1855.8014,-2333.3005,-5338.3949,0.0000,-5030.4351,3126.6210,-5389.8321,3100.1861,1261.4111,-1893.5588,4122.7715,-4600.1023,-3452.3973,4312.0065,-2896.1326,-4658.0661,-1777.1041,480.2728,-2725.7621,3636.9249,5386.3001,3981.6853,-2850.3683,5053.1032,-4669.2722,3782.2070,-3639.2723,5093.4752,-3991.5114,1741.1399,-337.6439,2881.2298,1883.6386,-2413.6472,-2792.1230,4615.9983,4814.4471,2716.6118,5308.1392,-5473.6792,4014.3390,5342.8772,-4555.0083,355.9961,2319.7369,-723.0894,-5138.9291,-2412.5260,-6751.2764,-4652.3064,-164134.6098,-167526.1951,-171012.3064,-161978.0462,-165722.8656,-176268.8358,-174384.6843,-168826.1104,-94485783.9434,-94463514.3182,-94474153.5916,-94482575.8380,-168799.8154,-94488463.8980,
300.000,-3824.7920,-4022.2562,892.3794,69.5368,1.8065,-6191.7064,6355.5924,920.5179,-4814.7331,-6543.8959,-2588.8177,-4605.3403,-4872.5684,-4948.4954,4820.5393,-4207.5992,5293.9429,-5256.9222,-726.0022,4508.4954,4092.5679,5841.1063,-6230.4113,-1402.7140,-5742.7408,-4635.2698,-5930.0210,1119.5964,6776.5081,-6576.1718,-1323.8262,4154.3613,-5756.6735,1358.0829,-1427.8394,-1037.9985,220.9299,4160.1975,-1774.5305,1945.2473,6706.5918,-3841.1928,-6006.8380,6909.7741,-2110.9393,-941.3895,2443.8490,1839.3159,1113.4279,-3127.4075,-5134.8786,5415.8570,2609.0852,0.0000,4137.5734,3868.2893,2034.2927,-3047.8059,3237.5246,6645.4912,790.5300,-3699.0825,-3315.5962,1973.6404,-3492.9619,-4377.4635,-208.0806,-752.7051,-5569.4224,2566.3006,973.5099,-3427.9970,-1859.5786,5044.6534,-3300.3432,1110.2543,-3430.9277,-2132.3068,3176.3711,-6603.3486,-6699.6283,-6657.3402,4148.3681,-5492.2245,-3825.8583,3146.3789,-2857.9769,960.5955,-5224.8582,-3860.9590,2858.3973,-2023.9072,5228.6410,-5217.4858,-6787.5817,-1770.4478,-4051.9732,-5780.7577,-2772.7799,-4514.2402,-309521.8790,-323565.4741,-330530.2627,-325073.9022,-331496.2744,-327981.0534,-323627.1052,-325903.1606,-249429884.2944,-249428243.7486,-249435787.3132,-249421284.0338,-324818.7772,-249420931.7906,-5179.7708,2957.2239,4119.0892,6814.2780,4382.7067,2927.2400,1391.4430,5704.8296,-4628.8144,-1924.9809,4287.0240,3499.5310,-3774.1777,4499.9616,-4786.1529,-2001.7487,-4075.2527,-3820.4738,-6041.1610,2021.2452,3544.5922,70.0032,2928.4616,4786.9883,3074.3471,-2849.2912,-3027.0025,-5537.3819,-787.3200,-1846.3472,-6189.5872,5447.6032,2054.2978,-4978.0961,4196.5302,-6597.1607,-6783.6690,655.4615,-6565.7020,6349.2807,183.0511,-1527.2392,2625.0780,-121.4680,-6126.2347,-5042.1888,5476.3767,5357.0423,5388.8838,5399.7301,4482.3251,2030.5247,5176.0876,0.0000,-762.2226,4028.5445,-4687.7371,-6046.7653,5222.8980,-1668.3218,-4133.6043,-1965.2782,-3865.8103,-5958.5417,-5852.7629,-268.9477,6039.4777,6503.4999,-260.1841,4603.2124,4286.4946,2648.9223,5280.5513,-2443.3319,-5011.7233,-4367.5294,3651.4391,5009.7668,4118.7006,-2089.3481,-435.5372,-1509.9632,-5580.5760,-1613.7991,5615.7027,-4004.9229,5115.3817,-6741.5416,-413.3152,-1783.5683,-3820.6432,4762.4536,-3147.7353,4013.8713,1213.1424,6660.9067,736.8628,-3844.0792,2249.0444,-3298.9812,63926.7232,39033.6211,57415.1103,61897.8820,57347.6014,59567.2446,52303.2548,55513.5808,190071742.3862,190073823.8408,190088481.0626,190095612.3361,56829.9144,190089945.6094,2576.1581,-4707.7902,5490.4807,-1226.6113,-5427.2223,-526.2521,-1978.9077,3660.1485,1394.4266,-170.9795,-4688.5689,-3837.4322,-3214.7652,-1373.2572,1398.3061,5135.7536,1837.6352,2380.0891,3321.2008,-4848.5736,4332.9883,-3636.8142,-911.5236,4642.3002,2326.6368,4176.0185,-1958.3281,-4030.6436,447.8797,-1151.7405,2671.3434,-1040.3125,-2841.6375,4638.2808,-5329.4541,-1884.9285,-798.9539,-5280.8930,-1389.1840,-2010.2964,-1359.0628,-5485.9642,2283.9570,363.5769,-2484.6725,4639.4609,3447.7657,3998.2575,-4102.5196,2742.2110,343.7492,-3828.7986,-3847.6714,0.0000,-5509.4707,4101.9674,-4688.4100,1453.9489,3251.5256,-101.2132,5529.3508,-5276.4584,-4661.5208,2960.8530,-1213.3116,-5378.2973,-3378.8045,2239.0556,-4135.4776,4400.4488,5100.4472,5431.3594,-3904.3260,4049.9765,-3453.8600,5290.1884,-4791.3765,4150.4298,-4597.7615,-52.7839,1213.1117,1201.6040,105.4341,-3896.6934,-1412.7933,4522.5562,3671.2480,1324.1392,4522.3562,-5461.9460,5034.7447,4586.2056,-3295.1337,-1472.0836,567.7387,821.4900,-5487.7727,-211.8521,-5958.6105,-4120.6592,-164073.8523,-167480.6641,-170928.8425,-162012.6759,-165492.9795,-176066.4648,-174536.0994,-169260.9876,-94481090.9461,-94458593.6919,-94469395.6957,-94477478.2520,-168745.8269,-94483514.9739,
600.000,-4328.7453,-2086.4857,2980.1566,1280.8374,2022.2617,-5345.2299,6793.5059,2448.8346,-5857.1323,-6669.9320,-1446.0842,-2803.0043,-3533.3915,-3591.5049,3976.3117,-5193.0784,3893.3049,-5284.5543,-2473.5580,4259.9936,4842.6271,4984.8672,-5816.8674,739.5138,-5372.5268,-5888.8596,-6715.3021,-907.3502,6167.9752,-6300.7895,-2432.1972,4760.3938,-4314.4789,-92.6260,333.7852,-2475.0417,-1314.2619,3818.0901,-3232.6314,2922.5627,6747.7566,-4599.3876,-5184.4775,6449.4369,-3688.0500,-2712.6746,3310.0759,3711.2514,2430.0832,-1241.5798,-3943.6982,4890.4909,3673.6180,0.0000,3340.4701,4694.6422,732.7691,-4159.4182,3210.7426,6035.7371,-705.2158,-4103.1106,-3911.2073,832.0990,-4518.7368,-3785.4535,1253.5040,632.2341,-4502.3801,4016.6960,3001.9413,-1398.8382,217.5148,4939.4340,-4755.1637,-378.8158,-1397.6706,-942.2448,4486.7695,-6625.2402,-6189.8901,-6899.2568,3002.5122,-4828.6236,-2554.7448,1545.9234,-1873.5223,-546.9026,-5998.8824,-4924.8945,759.5427,-747.8487,4928.3037,-3861.5617,-6385.8107,-183.2574,-3430.0370,-5275.7132,-4485.7398,-5876.2877,-310787.9760,-324366.4753,-331649.9399,-326152.3298,-332672.3521,-329184.1741,-324719.0506,-326815.7023,-253519130.8441,-253517417.7016,-253525395.7736,-253511321.8925,-325941.8121,-253510250.9740,-3629.4787,3724.4146,3769.6383,6777.6311,4720.5819,4187.6409,191.3053,6027.3940,-3499.7600,-393.9863,5722.0750,4456.1722,-3293.7335,4950.0154,-5670.3421,-3107.1531,-4592.9870,-2228.5225,-6141.8146,-52.8880,1558.9931,-1763.1261,2252.1947,5116.3483,4321.5508,-1335.4741,-1681.9267,-5104.4728,-1936.8536,-494.6238,-4949.1579,4227.1059,3009.9538,-6041.3507,5211.0679,-5649.4202,-6313.2781,-1520.3583,-6139.3677,5185.1043,-1043.9039,480.4356,1791.4150,-1312.8545,-5781.4876,-5371.6440,3888.1026,5048.2665,3936.6941,5499.3486,5439.7571,221.9549,5576.4068,0.0000,-2780.7303,2109.8246,-5949.5714,-5529.0433,3742.8329,-2756.6453,-2727.4268,203.6826,-1892.3130,-6769.6045,-5208.2183,1815.1578,5005.0609,5773.3310,1365.5791,3016.6240,4304.2676,2554.9867,5108.8213,-4078.3036,-4671.8762,-3035.5510,4075.5809,6201.8585,2415.3582,-842.8800,1140.4972,-318.6048,-6044.3924,164.4655,6450.0295,-5353.1419,6307.3008,-6914.4712,1177.7869,17.6122,-4126.9912,6012.0605,-4579.4954,4562.6825,2357.5667,6551.5232,2816.3438,-4039.8566,2747.1050,-1941.8760,57540.7660,32185.1309,50746.9557,55060.0705,50511.6334,52785.4242,45559.9699,48790.8231,184581742.6306,184583439.4913,184598022.2729,184605219.7182,50021.3504,184600013.7162,4019.2344,-5373.1364,4982.4296,586.1539,-4721.4416,1024.2847,-185.9135,2119.1968,-148.6597,1373.5679,-3496.3287,-4524.9169,-5000.0948,-3039.9639,-404.7020,3392.5551,3424.2048,3869.4110,2059.2687,-5456.6334,4710.8616,-4404.1922,-3056.9228,4440.6798,575.2920,3256.7991,-466.1953,-4614.1009,2216.7626,-2838.2209,4093.5089,-2739.9492,-4216.1289,3414.0154,-4559.2311,-3182.5108,-2266.1894,-5361.0442,142.0305,-3567.5912,459.3326,-5079.5996,4249.4761,2131.7590,-1054.7430,3412.4053,4663.5651,2971.9098,-5071.2740,3827.7598,-1206.9149,-4915.6328,-1949.9455,0.0000,-5400.5783,4638.2961,-3486.7334,-348.4741,4896.7202,1702.3291,6350.1190,-5339.7908,-5366.6112,1293.9083,599.9746,-5526.3580,-4617.7064,3756.7383,-5104.9358,4680.0665,4220.9177,6305.2065,-4521.0755,2610.7153,-1867.6546,6237.6517,-5431.7922,2746.9622,-4714.8258,-1841.0623,2627.5653,-606.8065,-1683.9846,-4961.7735,117.3205,3919.9367,2132.4474,-209.8958,3251.3613,-4864.9022,5518.3779,3335.8115,-1683.2685,-3129.1559,-1245.4686,2278.3648,-5232.8683,2011.3436,-4534.4377,-3151.0104,-164013.3586,-167435.1097,-170841.1013,-162052.1423,-165266.4493,-175858.5829,-174681.2037,-169655.9240,-94476398.8895,-94453676.2735,-94464643.9173,-94472421.3590,-168691.7174,-94478565.8944,
