sl_5_5400_20240924 Coordinates.csv
2024/09/24 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:18 2024,
Start: 2024/09/24 07:47:00.00, Stop: 2024/09/24 09:17:00.00,
TIME_UNITS,STARLINK-30565 - X-Coordinate,STARLINK-30111 - X-Coordinate,STARLINK-11093 [DTC] - X-Coordinate,STARLINK-30259 - X-Coordinate,STARLINK-31466 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30565 - Y-Coordinate,STARLINK-30111 - Y-Coordinate,STARLINK-11093 [DTC] - Y-Coordinate,STARLINK-30259 - Y-Coordinate,STARLINK-31466 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30565 - Z-Coordinate,STARLINK-30111 - Z-Coordinate,STARLINK-11093 [DTC] - Z-Coordinate,STARLINK-30259 - Z-Coordinate,STARLINK-31466 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-3374.3450,1100.3749,2387.3102,1323.3156,5136.9115,-283419.4826,-275798.2175,-268608.2347,-272670.1487,-267885.2787,-270351.3827,-276988.6281,-274504.4645,-167836687.8932,-167812876.4997,-167831353.7439,-167834253.7409,-274416.0523,-167828101.2944,-4029.1065,6844.7609,4692.3078,6140.9750,-366.1273,-193630.0795,-170957.0043,-191004.3435,-195952.5548,-189434.8481,-192471.8190,-187155.0897,-189480.1030,-54839232.5905,-54813725.6757,-54863041.2433,-54849718.3409,-190973.4334,-54855001.1898,4370.8596,237.9979,4188.2921,-2947.5717,4465.6562,184889.1187,182630.2977,180144.9424,188559.3223,185729.4025,175057.2693,176088.4290,181105.9482,76168264.9559,76140205.7355,76171183.8346,76147686.0340,182144.2866,76158518.0504,
300.000,-3908.4047,2511.5127,3320.9187,2791.2040,5117.5818,-279422.9589,-272117.5282,-264539.8400,-268663.2709,-263794.9015,-266217.5777,-272935.9049,-270594.1669,-166595885.6224,-166572947.8130,-166589938.6590,-166593767.3860,-270362.5879,-166587257.4236,-2073.8185,6223.4628,2896.3242,4950.2715,-2435.0463,-199717.3451,-176700.8353,-196854.6610,-201651.3833,-195113.0146,-198179.4096,-192942.2913,-195530.5355,-58490166.3977,-58464531.5661,-58513891.6686,-58501236.0490,-196688.1036,-58506011.2994,5208.2195,1747.9025,5081.0928,-3982.4736,3789.3396,184962.6751,182639.6344,180218.2230,188479.7170,185915.7388,175240.7835,175920.4467,180789.8217,76166482.8943,76138415.8804,76169886.3280,76146019.8132,182166.7976,76156897.8097,
600.000,-4100.3988,3696.2420,3954.4937,4025.9477,4611.9014,-275291.4066,-268317.1799,-260354.8734,-264538.6622,-259590.3283,-261966.5377,-268759.7805,-266531.3234,-165275673.1456,-165253607.5088,-165269115.9316,-165273837.6669,-266190.1677,-165266999.8123,94.9785,4997.7925,798.6370,3294.6901,-4243.6508,-205720.8834,-182366.5255,-202618.1777,-207264.7293,-200704.4634,-203797.0830,-198645.2605,-201584.9922,-62113070.5293,-62087328.0227,-62136681.5740,-62124742.7125,-202316.8117,-62128990.2537,5465.5358,3070.8119,5380.4812,-4592.8879,2687.1791,185034.8598,182648.8247,180295.0930,188394.9539,186098.3657,175429.7036,175758.3238,180574.7926,76164696.4203,76136626.6069,76168575.1110,76144370.3664,182189.1882,76155277.4907,
900.000,-3933.5926,4552.6203,4222.8133,4913.9436,3660.7488,-271026.7670,-264398.8101,-256055.2126,-260298.1597,-255273.1545,-257600.4097,-264462.1162,-262306.1612,-163876682.8449,-163855487.4932,-163869519.6413,-163875095.8646,-261900.6129,-163867960.9098,2252.7187,3285.8856,-1371.9408,1337.0667,-5610.2877,-211637.6064,-187951.5808,-208292.3320,-212790.0262,-206206.8743,-209322.4052,-204261.1421,-207608.9366,-65706218.0583,-65680387.9713,-65729684.4158,-65718509.3525,-207857.0827,-65722210.9747,5114.2466,4065.2486,5051.6032,-4714.1148,1282.9212,185105.7140,182657.8694,180375.4487,188304.9302,186277.2904,175624.1014,175601.9730,180479.9921,76162905.6090,76134837.9230,76167250.0738,76142737.7041,182211.4583,76153657.0932,
1200.000,-3420.9546,5007.4946,4092.6647,5370.3916,2347.9907,-266631.0438,-260364.1080,-251642.7874,-255943.6572,-250845.0391,-253121.4052,-260044.8336,-257913.6031,-162399584.6509,-162379257.2275,-162391821.3748,-162398210.9188,-257495.7965,-162390810.7198,4176.1160,1253.7383,-3380.3125,-732.5303,-6399.9807,-217464.4798,-193453.5414,-213874.6046,-218224.7350,-211617.9590,-214752.9936,-209787.1398,-213562.2567,-69267896.3075,-69241998.5766,-69291187.9856,-69280821.1866,-213306.4800,-69283960.6369,4193.3278,4624.9911,4132.6999,-4333.3113,-265.5841,185175.2763,182666.7692,180459.1795,188209.5380,186452.5219,175824.0519,175451.3098,180516.1552,76161110.5374,76133049.8365,76165911.1348,76141121.8343,182233.6079,76152036.6174,
1500.000,-2604.3993,5022.4111,3567.0574,5347.2588,793.4349,-262106.3021,-256214.8143,-247119.5778,-251477.1047,-246307.7025,-248531.8012,-255509.9132,-253354.1530,-160845085.7212,-160825623.4077,-160836729.9010,-160843889.1081,-252977.6420,-160836256.4796,5666.3866,-901.2281,-5010.6233,-2715.1053,-6538.0668,-223198.5242,-198869.9822,-219362.5196,-223566.3430,-216935.4624,-220086.5186,-215220.5153,-219402.0178,-72796407.6659,-72770462.0589,-72819495.2220,-72809978.4477,-218662.6069,-72812541.4845,2805.1221,4690.3275,2730.8311,-3490.7912,-1784.2630,185243.5834,182675.5248,180546.1682,188108.6638,186624.0710,176029.6321,175306.2525,180684.2758,76159311.2845,76131262.3552,76164558.2403,76139522.7626,182255.6370,76150416.0632,
1800.000,-1551.8765,4596.5984,2686.4877,4838.4635,-858.0089,-257454.6678,-251952.7202,-242487.6137,-246900.5083,-241662.9248,-243833.9396,-250859.3932,-248634.2782,-159213930.1022,-159195329.6263,-159204990.8279,-159212873.7132,-248348.1228,-159205042.3214,6570.1787,-2969.5143,-6089.8006,-4421.6894,-6017.2398,-228836.8150,-204198.5144,-224753.6460,-228812.3648,-222157.1638,-225320.7054,-220558.5886,-225085.8048,-76290070.3979,-76264096.5033,-76312925.0155,-76304297.1969,-223923.1071,-76306271.6404,1104.2042,4254.2935,1009.6820,-2275.9507,-3102.6437,185310.6697,182684.1370,180636.2910,188002.1879,186791.9493,176240.9219,175166.7226,180974.9103,76157507.9311,76129475.4871,76163191.3624,76137940.4917,182277.5456,76148795.4307,
2100.000,-352.2618,3766.9495,1526.6908,3881.6797,-2449.8431,-252678.3259,-247579.6667,-237748.9733,-242215.9296,-236912.5438,-239030.2287,-246095.3687,-243766.1578,-157506898.3731,-157489156.0162,-157497386.2433,-157505944.6625,-243609.2610,-157497948.9164,6795.9252,-4749.9656,-6506.5023,-5691.3796,-4897.2305,-234376.4832,-209436.7864,-230045.5985,-233960.3407,-227280.8778,-230453.3359,-225798.7376,-230575.3915,-79747219.4440,-79721236.6614,-79769813.0051,-79762110.1285,-229085.6662,-79763485.9079,-719.8099,3363.3937,-829.5215,-818.0798,-4073.1406,185376.5678,182692.6065,180729.4182,187889.9847,186956.1695,176458.0031,175032.6447,181368.3725,76155700.5599,76127689.2402,76161810.4986,76136375.0217,182299.3338,76147174.7199,
2400.000,891.7427,2605.0282,192.6682,2556.2626,-3828.7092,-247779.5204,-243097.5439,-232905.7819,-237425.4854,-232058.4533,-234123.1429,-241219.9900,-238766.7329,-155724807.2727,-155707918.8777,-155714734.3373,-155723918.1603,-238763.1272,-155715793.1008,6323.5006,-6069.4656,-6222.9859,-6406.7823,-3297.4517,-239814.7159,-214582.4847,-235236.0389,-239007.8371,-232304.4561,-235482.2505,-230938.3986,-235840.3278,-83166207.2150,-83140234.7447,-83188512.3671,-83181767.3659,-234148.0125,-83182536.5641,-2463.7075,2112.7567,-2571.8932,727.2248,-4587.4546,185441.3083,182700.9339,180825.4139,187771.9219,187116.7447,176680.9599,174903.9462,181835.9831,76153889.2553,76125903.6226,76160415.6698,76134826.3497,182321.0015,76145553.9307,
2700.000,2072.1138,1211.2135,-1190.5982,977.1243,-4858.8767,-242760.5526,-238508.2901,-227960.2113,-232531.3476,-227102.6014,-229115.2245,-236235.4617,-233656.1075,-153868509.3083,-153852470.2881,-153857889.0095,-153867646.2980,-233811.8389,-153859427.4854,5205.8224,-6800.0794,-5278.2248,-6505.1832,-1383.8411,-245148.7567,-219633.3351,-240322.6767,-243952.4447,-237225.7879,-240405.3502,-235975.0658,-240860.9352,-86545404.3766,-86519461.2106,-86567394.5952,-86561637.2510,-239107.9179,-86561794.1457,-3933.7289,636.0963,-4014.4566,2194.7321,-4588.3347,185504.9206,182709.1200,180924.1366,187647.8606,187273.6881,176909.8778,174780.5578,182342.3782,76152074.1034,76124118.6424,76159006.9189,76133294.4696,182342.5487,76143933.0633,
3000.000,3084.5623,-293.7088,-2489.7183,-715.0678,-5435.2783,-237623.7804,-233813.8912,-222914.4779,-227535.7429,-222046.9889,-224009.0841,-231144.0413,-228455.4794,-151938892.3481,-151923697.6939,-151927739.4585,-151938016.6478,-228757.5599,-151929740.0473,3562.3095,-6871.8365,-3782.0521,-5984.1150,648.4251,-250375.9069,-224587.1036,-245303.2706,-248791.7778,-242042.8017,-245220.5985,-240906.2921,-245630.2188,-89883200.6258,-89857305.5388,-89904850.2728,-89900107.1232,-243963.1993,-89899648.2252,-4967.2382,-908.6133,-4989.9210,3427.4659,-4075.6761,185567.4322,182717.1655,181025.4394,187517.6547,187427.0132,177144.8433,174662.4130,182848.6757,76150255.1920,76122334.3077,76157584.3098,76131779.3715,182363.9755,76142312.1175,
3300.000,3837.2765,-1778.8714,-3575.4641,-2366.4428,-5494.1099,-232371.6171,-229016.3795,-217770.8419,-222440.9523,-216893.6680,-218807.4027,-225948.0383,-223184.8898,-149936879.1971,-149922523.4865,-149925209.7552,-149935951.8409,-223602.4992,-149927653.7054,1565.3918,-6279.6252,-1901.6080,-4900.7117,2594.6213,-255493.5258,-229441.5976,-250175.6292,-253523.4722,-246753.4660,-249926.0235,-245729.6895,-250154.3546,-93178005.4581,-93152176.9985,-93199289.8348,-93195584.0901,-248711.7189,-93194508.1786,-5450.4106,-2356.2324,-5385.6968,4293.6777,-3106.5347,185628.8694,182725.0711,181129.1701,187381.1511,187576.7332,177385.9434,174549.4484,183316.1001,76148432.6108,76120550.6268,76156147.9259,76130281.0417,182385.2818,76140691.0935,
