sl_10_5400_20241013 Coordinates.csv
2024/10/13 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:22 2024,
Start: 2024/10/13 07:47:00.00, Stop: 2024/10/13 09:17:00.00,
TIME_UNITS,STARLINK-11159 [DTC] - X-Coordinate,STARLINK-31028 - X-Coordinate,STARLINK-11265 [DTC] - X-Coordinate,STARLINK-31515 - X-Coordinate,STARLINK-3997 - X-Coordinate,STARLINK-1407 - X-Coordinate,STARLINK-32102 - X-Coordinate,STARLINK-5935 - X-Coordinate,STARLINK-6231 - X-Coordinate,STARLINK-3258 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11159 [DTC] - Y-Coordinate,STARLINK-31028 - Y-Coordinate,STARLINK-11265 [DTC] - Y-Coordinate,STARLINK-31515 - Y-Coordinate,STARLINK-3997 - Y-Coordinate,STARLINK-1407 - Y-Coordinate,STARLINK-32102 - Y-Coordinate,STARLINK-5935 - Y-Coordinate,STARLINK-6231 - Y-Coordinate,STARLINK-3258 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11159 [DTC] - Z-Coordinate,STARLINK-31028 - Z-Coordinate,STARLINK-11265 [DTC] - Z-Coordinate,STARLINK-31515 - Z-Coordinate,STARLINK-3997 - Z-Coordinate,STARLINK-1407 - Z-Coordinate,STARLINK-32102 - Z-Coordinate,STARLINK-5935 - Z-Coordinate,STARLINK-6231 - Z-Coordinate,STARLINK-3258 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
2700.000,-2068.6416,3099.0276,6401.3541,1049.5216,-3443.4338,5682.9651,-3923.7837,-1904.1074,618.8582,4565.3566,345012.3892,344343.4641,357432.2040,354244.8439,357229.1670,356351.5792,348186.9417,350649.5415,-126387637.1755,-126397477.6193,-126399669.3278,-126405337.1338,351477.1672,-126400309.8750,3588.3857,4024.6353,1941.4481,-6655.6615,3990.7631,-3778.9285,3098.4794,3287.8750,-2854.2994,-5199.5328,13406.8609,22345.4453,22873.4869,18075.5742,26201.9839,22574.8542,24442.9619,23887.0936,-97126338.2657,-97106289.4142,-97093222.1187,-97103115.7102,22269.0137,-97111906.8477,5277.7956,-4730.6408,608.7184,-1069.8006,4470.4581,-1181.6695,4631.5580,-5824.8288,-6311.9464,28.0610,-105931.6105,-107839.8053,-110516.9704,-103884.6537,-104173.5719,-114522.3992,-116730.8059,-109322.7333,66423336.2918,66401469.0095,66413048.4813,66423451.1656,-109138.1208,66430301.7374,
3000.000,82.2596,4626.4571,6566.8193,-470.3007,-2635.9447,4471.9281,-2506.0781,77.9887,-1394.1647,3433.7022,344692.1100,343598.7044,356934.2751,353656.7134,356690.8875,355859.0823,347720.0869,350040.1606,-124233585.9473,-124243570.0327,-124246254.6643,-124251820.1558,350949.9675,-124246349.4206,4114.6735,2522.9893,714.2348,-6786.8967,5547.5142,-4448.6108,4705.0007,2557.4267,-1973.9095,-5722.6609,20479.0614,29762.7936,30145.1122,25465.6744,33631.1962,30022.7904,31776.8553,31104.0194,-99862227.4980,-99842442.7209,-99829321.8985,-99839360.5845,29662.1324,-99847772.8973,5298.0482,-4517.2756,-1229.7954,485.2275,3173.8561,-2864.5346,4247.6266,-6467.0548,-6521.9081,1818.2230,-105765.7750,-107691.9073,-110309.6909,-103911.5168,-103916.8051,-114181.4507,-116743.0905,-109654.0278,66421684.5138,66399731.1629,66410987.9630,66421232.0261,-109012.0507,66428432.7607,
3300.000,2208.9754,5735.0396,6021.0677,-1946.9806,-1602.1009,2804.9240,-868.9278,2087.8550,-3302.3189,1945.1802,344228.9780,342701.8466,356277.6032,352911.2017,355994.3633,355205.0356,347100.9214,349350.8459,-122020330.3868,-122030445.9039,-122033626.2704,-122039074.2735,350267.2514,-122033185.9061,4253.8185,812.3112,-604.7544,-6225.5834,6550.2925,-4707.5297,5853.1917,1646.3485,-972.5510,-5690.4465,27546.5129,37158.3435,37404.9618,32843.8561,41046.7508,37459.5511,39100.7279,38202.8377,-102550355.4615,-102530838.6592,-102517683.1906,-102527879.8252,37042.9534,-102535881.2967,4695.1185,-3822.9910,-2923.7666,1985.6638,1534.9063,-4240.2580,3386.3248,-6426.8946,-6043.8834,3412.3598,-105600.7831,-107545.3284,-110099.8612,-103944.4889,-103663.4431,-113834.1509,-116750.0085,-109938.6374,66420035.7739,66397997.6908,66408931.5379,66419027.5921,-108885.9009,66426563.7708,
3600.000,4080.3155,6312.5576,4830.3749,-3244.5640,-426.2078,841.8069,827.6860,3920.7634,-4908.6476,235.2004,343622.9171,341653.0579,355462.4109,352008.4278,355140.0511,354389.3057,346329.5509,348587.2439,-119748929.1560,-119759163.7572,-119762841.9504,-119768156.3265,349429.3024,-119761877.8365,3983.1775,-947.4027,-1891.2935,-5029.3365,6899.7030,-4545.4539,6420.8267,646.8726,53.8312,-5119.0221,34606.3296,44528.9714,44649.7939,40207.0659,48445.3304,44881.5207,46411.4959,45203.0756,-105189441.2663,-105170195.9099,-105157024.7612,-105167390.3205,44408.2054,-105174951.2076,3539.6332,-2721.2761,-4274.6471,3262.7016,-269.6299,-5162.1061,2144.3538,-5708.6462,-4927.8797,4638.6428,-105436.6116,-107399.9745,-109887.6406,-103983.7309,-103413.4725,-113480.4140,-116751.6201,-110145.8900,66418389.9727,66396268.6574,66406879.2746,66416838.1142,-108759.6715,66424694.7679,
3900.000,5494.7976,6295.5466,3130.5116,-4243.2287,795.0631,-1226.4281,2421.1535,5386.0653,-6043.0465,-1535.2875,342873.9143,340452.6099,354488.9935,350948.5591,354128.4703,353411.8053,345406.1485,347748.1344,-117420468.6232,-117430809.8375,-117434987.2268,-117440151.0164,348436.4727,-117433511.4208,3318.4959,-2594.3900,-3021.0864,-3321.4638,6562.8920,-3989.0942,6343.4971,-348.2527,1014.5574,-4075.9335,41655.6177,51871.5613,51876.3701,47552.2830,55823.6275,52285.0586,53706.0686,52130.7826,-107778227.4818,-107759256.6065,-107746088.8035,-107756632.3835,51754.6233,-107763725.2444,1967.3064,-1329.1481,-5124.8639,4172.7470,-2045.1326,-5532.1847,661.2970,-4387.4903,-3290.8989,5365.0627,-105273.2382,-107255.7610,-109673.1930,-104029.4111,-103166.8808,-113120.1560,-116747.9824,-110249.9001,66416747.0092,66394544.1277,66404831.2419,66414663.8135,-108633.3626,66422825.7519,
4200.000,6302.8329,5676.7095,1110.4949,-4850.1540,1960.3211,-3196.2532,3761.8464,6327.0333,-6580.6166,-3195.0787,341982.0201,339100.8730,353357.7183,349731.8093,352960.2032,352272.4893,344330.9543,346824.9712,-115036062.3429,-115046497.5912,-115051174.8210,-115056170.3826,347289.1831,-115049200.0526,2314.1341,-3979.8951,-3881.3524,-1277.8063,5576.6304,-3097.9539,5622.2629,-1254.1031,1831.9388,-2671.8506,48691.4773,59183.0050,59081.4566,54876.5247,63178.3458,59666.4981,60981.3504,59016.5079,-110315480.7361,-110296786.9343,-110283641.5373,-110294370.3562,59078.9499,-110300970.0732,163.2212,205.0050,-5375.7212,4613.6358,-3600.5115,-5311.3342,-896.1015,-2602.1736,-1305.3563,5513.5184,-105110.6416,-107112.6113,-109456.6861,-104081.7049,-102923.6555,-112753.2969,-116739.1500,-110231.6744,66415106.7813,66392824.1681,66402787.5094,66412504.8856,-108506.9743,66420956.7228,
4500.000,6423.1210,4507.0118,-1008.6793,-5007.8605,2971.5580,-4871.3663,4727.1799,6638.1385,-6456.1289,-4579.2841,340947.3483,337598.3126,352069.0252,348358.4361,351635.8948,350971.3511,343104.2757,345802.0560,-112596850.5233,-112607367.1339,-112612544.1220,-112617353.2656,345987.9233,-112610083.7779,1059.3995,-4981.6833,-4381.5719,891.7685,4042.8211,-1957.8806,4324.4049,-2000.5198,2447.2305,-1048.5345,55711.0036,66460.2035,66261.8259,62176.8526,70506.2016,67022.1444,68234.2429,65892.7407,-112799992.3039,-112781577.7192,-112768473.7970,-112779393.2031,66377.9375,-112785476.9996,-1660.1160,1717.2050,-4998.2304,4535.9806,-4769.0115,-4522.9916,-2352.9019,-541.0817,818.6488,5068.0035,-104948.8015,-106970.4563,-109238.2917,-104140.7945,-102683.7853,-112379.7625,-116725.1748,-110080.9769,66413469.1855,66391108.8457,66400748.1470,66410361.5036,-108380.5066,66419087.6806,
4800.000,5850.9697,2891.8549,-2997.9166,-4699.4503,3741.9510,-6082.0367,5232.6143,6277.6198,-5672.4829,-5545.7329,339770.0761,335945.4845,350623.4263,346828.7384,350156.2536,349508.4181,341726.4872,344657.4716,-110103999.4811,-110114584.7057,-110120260.6423,-110124864.7580,344533.2507,-110117328.7495,-329.0150,-5514.9000,-4462.7044,2965.1053,2117.2591,-673.0079,2576.9973,-2537.1384,2824.2989,635.5549,62711.2888,73700.0680,73414.2581,69450.3795,77803.9252,74348.2719,75461.6466,72790.9357,-115230578.6816,-115212445.0034,-115199401.6080,-115210515.0917,73648.3490,-115216062.5442,-3288.2868,3045.6028,-4036.2017,3948.5619,-5425.9317,-3250.8531,-3545.8493,1577.4075,2855.6968,4076.2909,-104787.6987,-106829.2329,-109018.1849,-104206.8680,-102447.2590,-111999.4875,-116706.1058,-109797.7071,66411834.1171,66389398.2290,66398713.2252,66408233.8216,-108253.9596,66417218.6254,
5100.000,4657.4211,981.5296,-4644.3947,-3950.4341,4202.7893,-6702.4674,5238.5130,5273.3584,-4301.6386,-5989.7959,338450.4438,334143.0316,349021.5063,345143.0531,348522.0512,347883.7456,340198.0305,343364.8239,-107558701.0832,-107569342.1131,-107575515.4609,-107579895.6438,342925.7913,-107572126.6701,-1717.7665,-5539.1128,-4104.2285,4730.5758,-6.6812,643.3638,554.0815,-2836.0572,2950.6678,2220.7012,69689.4235,80899.5214,80535.5431,76694.2776,85068.2623,81641.1214,82660.4626,79738.3579,-117606082.1519,-117588230.6101,-117575266.7507,-117586575.9607,80886.9598,-117591569.0065,-4530.5586,4048.0431,-2601.4799,2917.3363,-5501.4555,-1630.4489,-4341.6889,3528.3778,4589.4917,2645.0018,-104627.3147,-106688.8838,-108796.5439,-104280.1189,-102214.0665,-111612.4192,-116681.9899,-109392.5119,66410201.4703,66387692.3872,66396682.8152,66406121.9763,-108127.3334,66415349.5571,
5400.000,2979.6766,-1043.0277,-5774.3373,-2826.9509,4309.1832,-6664.4238,4752.4457,3720.9250,-2477.7045,-5856.1378,336988.7551,332191.6812,347263.9220,343301.7519,346734.1223,346097.4109,338519.4139,341895.7084,-104962172.1771,-104972856.1598,-104979524.6550,-104983661.8248,341166.2387,-104975694.2218,-2969.5187,-5060.9047,-3328.1758,6008.8444,-2117.4885,1878.3925,-1540.9383,-2891.9417,2835.9887,3561.1297,76642.4981,88055.4995,87622.4815,83905.7879,92295.9757,88896.8963,89827.5944,86755.1043,-119925371.3349,-119907802.6955,-119894937.3126,-119906442.0756,88090.5588,-119910865.0162,-5242.1275,4617.3849,-861.5589,1558.1536,-4987.6220,164.8842,-4651.7942,5104.7948,5836.2559,928.3622,-104467.6320,-106549.3563,-108573.5496,-104360.7438,-101984.1984,-111218.5221,-116652.8712,-108886.3871,66408571.1384,66385991.3907,66394656.9886,66404026.0900,-108000.6281,66413480.4758,
