sl_100_5400_20240612 Coordinates.csv
2024/06/12 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:15 2024,
Start: 2024/06/12 07:47:00.00, Stop: 2024/06/12 09:17:00.00,
TIME_UNITS,STARLINK-5913 - X-Coordinate,STARLINK-6236 - X-Coordinate,STARLINK-4641 - X-Coordinate,STARLINK-31449 - X-Coordinate,STARLINK-30526 - X-Coordinate,STARLINK-6347 - X-Coordinate,STARLINK-2162 - X-Coordinate,STARLINK-31342 - X-Coordinate,STARLINK-5954 - X-Coordinate,STARLINK-1863 - X-Coordinate,STARLINK-11182 [DTC] - X-Coordinate,STARLINK-5290 - X-Coordinate,STARLINK-5286 - X-Coordinate,STARLINK-3176 - X-Coordinate,STARLINK-3677 - X-Coordinate,STARLINK-30508 - X-Coordinate,STARLINK-31755 - X-Coordinate,STARLINK-5241 - X-Coordinate,STARLINK-5340 - X-Coordinate,STARLINK-31801 - X-Coordinate,STARLINK-11243 [DTC] - X-Coordinate,STARLINK-4726 - X-Coordinate,STARLINK-30239 - X-Coordinate,STARLINK-4190 - X-Coordinate,STARLINK-4076 - X-Coordinate,STARLINK-31965 - X-Coordinate,STARLINK-3100 - X-Coordinate,STARLINK-32207 - X-Coordinate,STARLINK-30875 - X-Coordinate,STARLINK-1056 - X-Coordinate,STARLINK-31549 - X-Coordinate,STARLINK-31457 - X-Coordinate,STARLINK-30345 - X-Coordinate,STARLINK-1134 - X-Coordinate,STARLINK-32015 - X-Coordinate,STARLINK-3871 - X-Coordinate,STARLINK-31357 - X-Coordinate,STARLINK-4297 - X-Coordinate,STARLINK-4727 - X-Coordinate,STARLINK-4166 - X-Coordinate,STARLINK-3260 - X-Coordinate,STARLINK-32173 - X-Coordinate,STARLINK-5303 - X-Coordinate,STARLINK-4064 - X-Coordinate,STARLINK-5714 - X-Coordinate,STARLINK-3742 - X-Coordinate,STARLINK-4371 - X-Coordinate,STARLINK-32249 - X-Coordinate,STARLINK-30375 - X-Coordinate,STARLINK-3248 - X-Coordinate,STARLINK-3825 - X-Coordinate,STARLINK-31295 - X-Coordinate,STARLINK-31810 - X-Coordinate,STARLINK-1860 - X-Coordinate,STARLINK-1273 - X-Coordinate,STARLINK-1680 - X-Coordinate,STARLINK-5797 - X-Coordinate,STARLINK-6318 - X-Coordinate,STARLINK-5708 - X-Coordinate,STARLINK-3969 - X-Coordinate,STARLINK-30172 - X-Coordinate,STARLINK-5374 - X-Coordinate,STARLINK-31628 - X-Coordinate,STARLINK-6360 - X-Coordinate,STARLINK-31312 - X-Coordinate,STARLINK-2386 - X-Coordinate,STARLINK-2077 - X-Coordinate,STARLINK-2476 - X-Coordinate,STARLINK-30412 - X-Coordinate,STARLINK-11175 [DTC] - X-Coordinate,STARLINK-32256 - X-Coordinate,STARLINK-4761 - X-Coordinate,STARLINK-5732 - X-Coordinate,STARLINK-5265 - X-Coordinate,STARLINK-31689 - X-Coordinate,STARLINK-31700 - X-Coordinate,STARLINK-6082 - X-Coordinate,STARLINK-3334 - X-Coordinate,STARLINK-30853 - X-Coordinate,STARLINK-32345 - X-Coordinate,STARLINK-1829 - X-Coordinate,STARLINK-31767 - X-Coordinate,STARLINK-30132 - X-Coordinate,STARLINK-5754 - X-Coordinate,STARLINK-1103 - X-Coordinate,STARLINK-4789 - X-Coordinate,STARLINK-30199 - X-Coordinate,STARLINK-31662 - X-Coordinate,STARLINK-11147 [DTC] - X-Coordinate,STARLINK-1449 - X-Coordinate,STARLINK-11139 [DTC] - X-Coordinate,STARLINK-30360 - X-Coordinate,STARLINK-2029 - X-Coordinate,STARLINK-31925 - X-Coordinate,STARLINK-31798 - X-Coordinate,STARLINK-4459 - X-Coordinate,STARLINK-31231 - X-Coordinate,STARLINK-31243 - X-Coordinate,STARLINK-3905 - X-Coordinate,STARLINK-4389 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-5913 - Y-Coordinate,STARLINK-6236 - Y-Coordinate,STARLINK-4641 - Y-Coordinate,STARLINK-31449 - Y-Coordinate,STARLINK-30526 - Y-Coordinate,STARLINK-6347 - Y-Coordinate,STARLINK-2162 - Y-Coordinate,STARLINK-31342 - Y-Coordinate,STARLINK-5954 - Y-Coordinate,STARLINK-1863 - Y-Coordinate,STARLINK-11182 [DTC] - Y-Coordinate,STARLINK-5290 - Y-Coordinate,STARLINK-5286 - Y-Coordinate,STARLINK-3176 - Y-Coordinate,STARLINK-3677 - Y-Coordinate,STARLINK-30508 - Y-Coordinate,STARLINK-31755 - Y-Coordinate,STARLINK-5241 - Y-Coordinate,STARLINK-5340 - Y-Coordinate,STARLINK-31801 - Y-Coordinate,STARLINK-11243 [DTC] - Y-Coordinate,STARLINK-4726 - Y-Coordinate,STARLINK-30239 - Y-Coordinate,STARLINK-4190 - Y-Coordinate,STARLINK-4076 - Y-Coordinate,STARLINK-31965 - Y-Coordinate,STARLINK-3100 - Y-Coordinate,STARLINK-32207 - Y-Coordinate,STARLINK-30875 - Y-Coordinate,STARLINK-1056 - Y-Coordinate,STARLINK-31549 - Y-Coordinate,STARLINK-31457 - Y-Coordinate,STARLINK-30345 - Y-Coordinate,STARLINK-1134 - Y-Coordinate,STARLINK-32015 - Y-Coordinate,STARLINK-3871 - Y-Coordinate,STARLINK-31357 - Y-Coordinate,STARLINK-4297 - Y-Coordinate,STARLINK-4727 - Y-Coordinate,STARLINK-4166 - Y-Coordinate,STARLINK-3260 - Y-Coordinate,STARLINK-32173 - Y-Coordinate,STARLINK-5303 - Y-Coordinate,STARLINK-4064 - Y-Coordinate,STARLINK-5714 - Y-Coordinate,STARLINK-3742 - Y-Coordinate,STARLINK-4371 - Y-Coordinate,STARLINK-32249 - Y-Coordinate,STARLINK-30375 - Y-Coordinate,STARLINK-3248 - Y-Coordinate,STARLINK-3825 - Y-Coordinate,STARLINK-31295 - Y-Coordinate,STARLINK-31810 - Y-Coordinate,STARLINK-1860 - Y-Coordinate,STARLINK-1273 - Y-Coordinate,STARLINK-1680 - Y-Coordinate,STARLINK-5797 - Y-Coordinate,STARLINK-6318 - Y-Coordinate,STARLINK-5708 - Y-Coordinate,STARLINK-3969 - Y-Coordinate,STARLINK-30172 - Y-Coordinate,STARLINK-5374 - Y-Coordinate,STARLINK-31628 - Y-Coordinate,STARLINK-6360 - Y-Coordinate,STARLINK-31312 - Y-Coordinate,STARLINK-2386 - Y-Coordinate,STARLINK-2077 - Y-Coordinate,STARLINK-2476 - Y-Coordinate,STARLINK-30412 - Y-Coordinate,STARLINK-11175 [DTC] - Y-Coordinate,STARLINK-32256 - Y-Coordinate,STARLINK-4761 - Y-Coordinate,STARLINK-5732 - Y-Coordinate,STARLINK-5265 - Y-Coordinate,STARLINK-31689 - Y-Coordinate,STARLINK-31700 - Y-Coordinate,STARLINK-6082 - Y-Coordinate,STARLINK-3334 - Y-Coordinate,STARLINK-30853 - Y-Coordinate,STARLINK-32345 - Y-Coordinate,STARLINK-1829 - Y-Coordinate,STARLINK-31767 - Y-Coordinate,STARLINK-30132 - Y-Coordinate,STARLINK-5754 - Y-Coordinate,STARLINK-1103 - Y-Coordinate,STARLINK-4789 - Y-Coordinate,STARLINK-30199 - Y-Coordinate,STARLINK-31662 - Y-Coordinate,STARLINK-11147 [DTC] - Y-Coordinate,STARLINK-1449 - Y-Coordinate,STARLINK-11139 [DTC] - Y-Coordinate,STARLINK-30360 - Y-Coordinate,STARLINK-2029 - Y-Coordinate,STARLINK-31925 - Y-Coordinate,STARLINK-31798 - Y-Coordinate,STARLINK-4459 - Y-Coordinate,STARLINK-31231 - Y-Coordinate,STARLINK-31243 - Y-Coordinate,STARLINK-3905 - Y-Coordinate,STARLINK-4389 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-5913 - Z-Coordinate,STARLINK-6236 - Z-Coordinate,STARLINK-4641 - Z-Coordinate,STARLINK-31449 - Z-Coordinate,STARLINK-30526 - Z-Coordinate,STARLINK-6347 - Z-Coordinate,STARLINK-2162 - Z-Coordinate,STARLINK-31342 - Z-Coordinate,STARLINK-5954 - Z-Coordinate,STARLINK-1863 - Z-Coordinate,STARLINK-11182 [DTC] - Z-Coordinate,STARLINK-5290 - Z-Coordinate,STARLINK-5286 - Z-Coordinate,STARLINK-3176 - Z-Coordinate,STARLINK-3677 - Z-Coordinate,STARLINK-30508 - Z-Coordinate,STARLINK-31755 - Z-Coordinate,STARLINK-5241 - Z-Coordinate,STARLINK-5340 - Z-Coordinate,STARLINK-31801 - Z-Coordinate,STARLINK-11243 [DTC] - Z-Coordinate,STARLINK-4726 - Z-Coordinate,STARLINK-30239 - Z-Coordinate,STARLINK-4190 - Z-Coordinate,STARLINK-4076 - Z-Coordinate,STARLINK-31965 - Z-Coordinate,STARLINK-3100 - Z-Coordinate,STARLINK-32207 - Z-Coordinate,STARLINK-30875 - Z-Coordinate,STARLINK-1056 - Z-Coordinate,STARLINK-31549 - Z-Coordinate,STARLINK-31457 - Z-Coordinate,STARLINK-30345 - Z-Coordinate,STARLINK-1134 - Z-Coordinate,STARLINK-32015 - Z-Coordinate,STARLINK-3871 - Z-Coordinate,STARLINK-31357 - Z-Coordinate,STARLINK-4297 - Z-Coordinate,STARLINK-4727 - Z-Coordinate,STARLINK-4166 - Z-Coordinate,STARLINK-3260 - Z-Coordinate,STARLINK-32173 - Z-Coordinate,STARLINK-5303 - Z-Coordinate,STARLINK-4064 - Z-Coordinate,STARLINK-5714 - Z-Coordinate,STARLINK-3742 - Z-Coordinate,STARLINK-4371 - Z-Coordinate,STARLINK-32249 - Z-Coordinate,STARLINK-30375 - Z-Coordinate,STARLINK-3248 - Z-Coordinate,STARLINK-3825 - Z-Coordinate,STARLINK-31295 - Z-Coordinate,STARLINK-31810 - Z-Coordinate,STARLINK-1860 - Z-Coordinate,STARLINK-1273 - Z-Coordinate,STARLINK-1680 - Z-Coordinate,STARLINK-5797 - Z-Coordinate,STARLINK-6318 - Z-Coordinate,STARLINK-5708 - Z-Coordinate,STARLINK-3969 - Z-Coordinate,STARLINK-30172 - Z-Coordinate,STARLINK-5374 - Z-Coordinate,STARLINK-31628 - Z-Coordinate,STARLINK-6360 - Z-Coordinate,STARLINK-31312 - Z-Coordinate,STARLINK-2386 - Z-Coordinate,STARLINK-2077 - Z-Coordinate,STARLINK-2476 - Z-Coordinate,STARLINK-30412 - Z-Coordinate,STARLINK-11175 [DTC] - Z-Coordinate,STARLINK-32256 - Z-Coordinate,STARLINK-4761 - Z-Coordinate,STARLINK-5732 - Z-Coordinate,STARLINK-5265 - Z-Coordinate,STARLINK-31689 - Z-Coordinate,STARLINK-31700 - Z-Coordinate,STARLINK-6082 - Z-Coordinate,STARLINK-3334 - Z-Coordinate,STARLINK-30853 - Z-Coordinate,STARLINK-32345 - Z-Coordinate,STARLINK-1829 - Z-Coordinate,STARLINK-31767 - Z-Coordinate,STARLINK-30132 - Z-Coordinate,STARLINK-5754 - Z-Coordinate,STARLINK-1103 - Z-Coordinate,STARLINK-4789 - Z-Coordinate,STARLINK-30199 - Z-Coordinate,STARLINK-31662 - Z-Coordinate,STARLINK-11147 [DTC] - Z-Coordinate,STARLINK-1449 - Z-Coordinate,STARLINK-11139 [DTC] - Z-Coordinate,STARLINK-30360 - Z-Coordinate,STARLINK-2029 - Z-Coordinate,STARLINK-31925 - Z-Coordinate,STARLINK-31798 - Z-Coordinate,STARLINK-4459 - Z-Coordinate,STARLINK-31231 - Z-Coordinate,STARLINK-31243 - Z-Coordinate,STARLINK-3905 - Z-Coordinate,STARLINK-4389 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,2990.9056,6322.0482,-2615.2444,-6261.4090,5268.0002,5297.9367,411.8043,4041.5633,892.9083,-3978.0396,-3077.3395,4762.8637,-6695.6820,-4261.0893,6779.3513,3640.3766,-5362.9038,-115.7252,1323.6892,-6005.1362,-5694.4789,5382.1788,-2527.2439,-2900.4903,-344.2210,-4246.9682,-2342.3916,-3873.2491,1547.0668,2393.7370,-2335.7807,5156.4604,-6030.0827,-442.8001,-1567.4747,-6888.3158,1241.8235,5405.2303,-6491.0123,-1594.3153,-5643.0634,-6454.1713,-2250.9621,-3836.2881,6840.3098,-5175.1474,6173.5996,0.0000,6170.7400,-3653.8420,-104.9015,4663.2784,5674.8272,2852.8184,1094.0281,4719.7270,-4114.8547,6760.7966,3819.2920,-1839.6056,-4865.3041,3432.6755,-5539.9935,-5688.3475,2515.0529,5794.1309,5267.4489,3325.4665,-1513.7793,1656.3461,-2365.0361,-4207.6657,2628.9334,4302.7817,-6566.3083,-1663.6405,6535.5336,-4876.4494,-5479.2964,-5396.8024,-1651.8381,5493.8790,3827.8364,-6224.1379,307.9083,-630.1450,-4172.8270,5019.0112,-1733.2194,1136.4337,-5773.7903,-5448.7280,3982.7407,4128.4406,3405.3993,3858.3156,5907.8326,3050.8133,-3569.0404,978.5533,284344.5231,301600.2835,281212.5471,276595.0214,281890.7339,279388.6821,286087.7916,280252.1682,-259857401.7064,-259845153.8780,-259830126.1889,-259843648.4371,281729.1071,-259839041.0725,-1563.6962,-2388.5568,-3263.4821,1193.9538,615.9557,-1413.1528,-4282.1954,3261.9430,-525.4604,-1320.9280,-5285.5861,-1333.8293,1427.2516,-532.5869,1262.4546,4131.6639,4125.9956,5273.6378,5009.5860,-733.8911,2048.5536,-101.0832,-4778.0604,-2975.7512,6203.1316,2659.5854,-432.6137,-5001.7521,-5605.5758,-3931.2912,6269.1369,-4244.4882,-1032.1132,-5536.0022,6405.4338,-509.8507,5026.0226,1419.6923,1128.9455,4123.5578,-3353.3540,-604.4564,1880.9366,-5094.8821,-371.4192,3898.7972,-3074.0786,0.0000,2611.1818,-4872.9072,4229.9976,-2203.7474,-3751.4258,-6228.5503,-4991.1420,3649.4335,-2667.9434,-975.6093,4894.3401,-5785.4661,-1626.6318,-3960.6319,-1929.4377,3775.0808,-6277.2267,-2664.7135,-3613.1565,-2498.1430,-4415.5873,3703.0915,-3498.9858,2680.6797,4397.1811,4162.6409,-518.4877,-4235.0531,-1325.7221,-4422.1999,-288.8860,2160.4658,4427.3729,-2734.9434,-3650.2682,-1095.5138,5897.2633,-4487.7552,-2897.7706,2885.2355,4621.4743,3970.4872,-2062.1315,4246.8400,1476.6633,-3515.3958,5618.4045,-1136.2938,-2080.5882,-4449.6463,3693.0502,-2145.6542,271425.0756,266584.5579,261880.6416,266870.3267,260948.3336,264113.2148,269304.9102,268245.0949,58330316.6726,58321201.4567,58318283.9891,58331485.8590,267622.5431,58321426.1846,6066.1474,-1578.2753,5502.3079,2479.6121,-4476.0966,4241.5689,5419.8029,4484.8806,-6872.0893,5522.6048,-2835.7773,-4843.9648,-1231.5791,5415.2567,-649.5629,-4223.8089,-875.8442,4467.8063,4603.9863,-3154.0541,2923.0566,-4355.3608,-4356.4066,-5539.7945,-3057.2028,-4633.4550,-6538.9308,-2684.2636,-3794.0069,5166.8779,1329.2543,1388.0660,3261.1326,4139.3484,-1919.8111,-441.7016,4438.3023,4073.4168,2101.6670,-5329.7070,2174.9350,-2152.4773,6291.2946,-2687.4798,1085.9381,-2441.5811,799.4051,0.0000,1796.8360,-3291.0690,5465.1846,-4536.7703,499.4980,-1192.9941,4665.3481,3511.2176,-4934.4616,1207.4727,-3101.8101,-3326.2726,-4674.8583,-4551.8677,3464.8760,1230.8155,-913.6868,2699.2672,-2686.6321,5526.9375,-5007.8127,5409.5246,-5369.7066,4784.2970,-4682.6379,-3544.5031,-1782.7945,-5101.4952,-1924.0606,-2128.7310,-4253.9271,3475.5431,-5075.6358,2753.8650,4481.0315,2857.3499,3618.6697,5218.3764,-4729.0098,3600.6922,4560.0340,5480.0460,2786.2389,619.4258,5468.5671,-4145.7505,-1844.8888,-5668.8197,-2822.1477,-4214.0687,4626.9496,6521.7969,99730.6057,99462.7108,96600.1335,105349.8711,102052.4512,91433.4646,92901.7226,99463.8381,52945257.0647,52923193.4397,52925129.2171,52940542.7196,98719.7587,52946364.7260,
300.000,3409.8831,5160.0183,-4318.3314,-5079.0429,5681.1896,5061.4016,-1617.5384,4862.6269,2690.3142,-4658.2218,-4442.0464,3244.2882,-5863.4416,-4795.3602,6503.0054,5273.2652,-4319.8313,1496.7100,3203.9314,-5336.1108,-5621.9753,5996.2702,-3953.3020,-4243.8008,976.0236,-2804.2581,-2701.0292,-4336.2767,-457.1883,257.9199,-883.1326,4155.1654,-5459.1695,-1926.4368,-387.0360,-6746.2249,3270.8322,6392.8051,-6478.5017,116.9603,-6481.3302,-6787.7671,-113.6033,-4318.7668,6191.2279,-4632.8356,5801.6118,0.0000,6826.1875,-4140.6141,2017.4803,3866.9926,4456.7861,1737.2290,-424.7438,4737.2671,-5592.3996,6478.5007,5320.4747,-2863.8056,-5116.0949,1485.7709,-6424.1575,-4800.4230,896.6294,4349.2155,3713.4446,1909.1477,-3457.4716,3560.2746,-4224.7740,-3812.6266,4420.1399,5350.3656,-6738.6972,-3634.3855,5518.0981,-5102.5715,-4818.8249,-3799.2621,459.1180,4958.2046,2558.3027,-6758.3155,1770.0290,-2452.5222,-5162.2955,6198.4224,321.4169,3177.6008,-5265.4910,-4154.7205,4870.1545,3074.7475,4775.7350,2104.1559,4542.7853,1062.3973,-1552.8348,919.2780,278459.8078,295926.4083,275367.0031,270913.3524,276213.7688,273666.1313,280313.5142,274748.2706,-261065991.5914,-261053971.7970,-261038775.9313,-261052718.5017,276022.6777,-261047576.6939,-3442.4649,-3600.0517,-1994.3444,2320.5681,-1366.8285,-3359.3531,-4739.8444,1264.1229,778.5788,698.8357,-4941.3407,-2766.4896,1905.1340,1474.5101,-19.7302,3062.6131,5235.2714,5960.2604,3959.2725,1104.0017,3475.8711,-1702.5983,-3207.1590,-1280.0581,6709.3420,4280.5135,1714.2784,-3404.6558,-5265.5329,-4156.6142,6761.6286,-5409.8066,829.2176,-4266.4580,6854.2329,699.5855,4678.5919,104.7371,2403.4283,5217.7370,-2382.3533,644.1517,2405.9955,-3517.0316,-1855.5751,5095.6796,-2401.2387,0.0000,1211.9496,-3168.6409,3737.5407,-4117.4268,-4758.7662,-6702.3417,-5981.1426,1825.7264,-2494.0574,-2462.1382,4080.8241,-4329.9095,511.3627,-4861.9737,-354.3162,5000.8830,-6337.5359,-3476.4516,-4170.5112,-4122.8237,-4346.3394,2629.6052,-2529.9807,4485.4489,3298.6125,4147.7974,1032.8552,-4016.4966,-2721.1858,-2896.5507,1711.6870,3110.2916,4171.5758,-4341.1641,-5235.8913,485.7850,6369.2429,-3335.4045,-996.1969,1479.8405,4176.8330,3262.8365,-415.5652,5140.1711,-429.2058,-5175.1632,4861.2860,-38.2337,-3382.5786,-4408.6378,4076.9045,110.0827,277765.1433,272891.1820,267818.0108,272852.3189,266837.0196,269969.5072,275264.6530,273952.2269,52643012.3614,52634050.4157,52631592.0881,52644070.8749,273560.3495,52634205.8343,4974.4521,-2930.9083,5014.8807,3944.9784,-3743.3138,3342.9431,4776.3148,4673.7672,-6360.1655,5088.1416,-1130.1102,-5454.9993,-3225.6882,4754.9129,-2389.7697,-3311.6254,681.8330,3169.9433,4701.6461,-4105.8143,1229.9136,-3013.8083,-4720.0519,-5320.9238,-1398.8287,-4515.8631,-6179.9109,-4104.4681,-4502.9815,5524.9528,-217.1722,-155.6781,4189.8075,5102.4435,-130.9025,1367.9227,3732.5819,2641.1731,330.5961,-4550.8801,409.7434,-376.7395,6510.0117,-4110.0771,2511.7759,-702.2650,2954.8029,0.0000,291.0407,-4555.9231,5452.4578,-3907.8116,1998.5373,611.8074,3456.2313,4702.9157,-3298.8762,-330.7204,-1785.2586,-4580.8538,-4661.7964,-4726.5437,2247.0882,-306.7408,-2368.2465,4113.8399,-4105.2116,5216.2757,-4002.0690,5111.2436,-4734.6313,3626.3321,-4212.8088,-1595.1721,-264.2297,-4169.1537,-3213.7936,-3668.7959,-4695.7641,4662.0459,-5521.3870,1357.7239,3757.2034,1490.4660,2073.4203,5533.1493,-4530.7644,2427.7405,5252.2955,5134.4846,4173.8539,2097.7052,4904.6654,-3216.1695,-331.3713,-6624.4490,-3888.7117,-5129.3214,5360.0630,6871.9727,99719.2638,99333.7537,96523.3347,105137.7462,102105.7807,91471.1081,92586.8082,99755.2282,52949312.6797,52927270.4725,52928907.2287,52944714.0144,98602.9297,52950159.5560,
600.000,3543.1381,3497.5892,-5618.2483,-3379.7521,5576.3306,4365.2994,-3463.6053,5241.8265,4148.2598,-4931.1248,-5319.1890,1438.4498,-4432.6168,-4900.6395,5590.6429,6400.0860,-2831.4467,2931.3467,4797.6806,-4151.6955,-4948.0472,6036.5241,-5036.7083,-5212.0197,2184.2956,-1111.8755,-2866.7668,-4404.8320,-2438.3227,-1903.1574,661.6249,2729.1908,-4388.8627,-3269.2835,831.3871,-5934.0910,4960.0527,6753.6633,-5822.7981,1778.3944,-6673.1171,-6418.9533,2016.2543,-4417.7191,4946.0133,-3636.7394,4780.6089,0.0000,6821.1237,-4268.1612,3952.4958,2723.5032,2774.7737,444.6720,-1867.3931,4333.9613,-6493.8072,5568.5752,6301.2092,-3655.9430,-4918.3390,-587.9778,-6658.7959,-3446.2154,-832.9344,2469.7070,1781.2684,352.0714,-5031.8073,5109.2857,-5663.2538,-3078.4868,5797.9020,5843.8746,-6224.5402,-5220.3413,3972.5689,-4857.4156,-3733.8458,-1804.9156,2540.3489,3906.0436,1075.7933,-6643.1292,3036.4718,-4069.1860,-5690.6939,6749.9976,2366.7936,4908.6916,-4221.1206,-2447.8331,5321.2608,1739.9815,5657.0295,82.8359,2732.6515,-1053.3944,620.1948,664.5960,272425.2061,290119.5816,269397.1587,265105.9768,270413.5345,267822.6058,274410.8656,269231.0608,-262150116.2012,-262138331.6583,-262122985.1493,-262137309.2044,270191.0405,-262131650.2735,-4945.9712,-4492.1632,-577.5959,3253.4807,-3198.1044,-4969.2831,-4777.0180,-845.6721,2072.0287,2623.6790,-4074.3598,-3977.6393,2232.3554,3309.8329,-1325.8673,1729.5586,5815.4428,6075.4185,2564.8304,2859.5864,4514.3357,-3108.1294,-1352.3755,501.1153,6554.2004,5494.2170,3670.2426,-1448.3522,-4456.6207,-4032.9686,6565.0661,-6024.6495,2638.4196,-2604.8967,6605.0600,1855.0416,3890.9822,-1191.9134,3435.2155,5830.2136,-1178.7553,1821.8073,2770.8971,-1576.8181,-3184.0738,5781.7468,-1504.4682,0.0000,-301.6544,-1140.3502,2934.2531,-5624.1083,-5298.0229,-6521.2409,-6397.4628,-201.0979,-2109.8765,-3713.4818,2888.8170,-2452.8860,2594.1140,-5337.5867,1235.9658,5745.1157,-5765.0413,-3990.3764,-4361.1264,-5372.7317,-3874.9710,1331.2250,-1352.8128,5834.7715,1920.4499,3729.8264,2476.3819,-3431.1607,-3884.7371,-1061.1489,3569.6803,3784.7874,3566.0502,-5477.3938,-6326.0078,2006.3682,6222.3944,-1901.5861,977.4754,-52.9155,3335.9340,2281.3777,1313.1277,5552.9977,-2260.1110,-6311.0586,3610.9550,981.2498,-4385.1310,-3972.3839,4116.3824,2347.3161,283962.2462,279077.1184,273635.8393,278713.9259,272608.9646,275704.5551,281098.7876,279517.8533,46930738.1497,46921919.0749,46919926.4539,46931649.7747,279376.4961,46922017.6548,3354.3088,-3971.0382,3987.2843,4970.8491,-2611.4485,2086.9104,3620.1202,4348.0266,-5175.5144,4110.7701,707.1658,-5481.7312,-4878.5225,3582.2936,-3873.7156,-2046.2124,2162.8563,1530.3336,4296.8950,-4597.3910,-607.5884,-1348.5716,-4581.5901,-4532.4348,409.9624,-3892.8466,-5169.6100,-5074.6245,-4733.0830,5290.0963,-1739.2153,-1681.9552,4670.4644,5518.9589,1672.4043,3030.1565,2607.9216,924.4290,-1476.1438,-3284.2044,-1399.6565,1441.1809,6037.9392,-5091.3861,3668.9353,1112.5715,4794.9576,0.0000,-1245.8663,-5332.2821,4852.6946,-2849.3924,3272.8153,2351.5247,1875.6042,5389.6830,-1313.9045,-1833.5927,-278.0652,-5344.1646,-4152.4073,-4398.3214,776.1552,-1811.5425,-3557.1804,5086.8584,-5084.6787,4345.2612,-2552.1592,4225.0265,-3571.2895,2077.4933,-3294.1943,523.2748,1284.0060,-2772.1497,-4161.0044,-4814.4377,-4638.1818,5314.4289,-5378.7405,-197.3506,2631.8124,-35.7088,305.7395,5252.0257,-3850.0851,981.8466,5329.3254,4224.2876,5074.7316,3351.5363,3815.3892,-1926.1335,1219.3566,-6880.0608,-4528.2097,-5476.3497,5515.8981,6491.1768,99703.8928,99204.7005,96450.4399,104920.5684,102155.5110,91514.1501,92277.9256,99954.3307,52953368.4823,52931353.8826,52932691.6461,52948896.1503,98486.0454,52953954.1907,
