sl_100_86400_20240406 Coordinates.csv
2024/04/06 07:47:00.0000 UTC

Generated: Tue Oct  8 16:18:08 2024,
Start: 2024/04/06 07:47:00.00, Stop: 2024/04/07 07:47:00.00,
TIME_UNITS,STARLINK-31684 - X-Coordinate,STARLINK-6162 - X-Coordinate,STARLINK-1527 - X-Coordinate,STARLINK-3918 - X-Coordinate,STARLINK-4435 - X-Coordinate,STARLINK-5951 - X-Coordinate,STARLINK-2590 - X-Coordinate,STARLINK-1591 - X-Coordinate,STARLINK-32086 - X-Coordinate,STARLINK-4671 - X-Coordinate,STARLINK-2513 - X-Coordinate,STARLINK-31689 - X-Coordinate,STARLINK-31011 - X-Coordinate,STARLINK-2587 - X-Coordinate,STARLINK-5402 - X-Coordinate,STARLINK-5056 - X-Coordinate,STARLINK-30946 - X-Coordinate,STARLINK-3537 - X-Coordinate,STARLINK-11206 [DTC] - X-Coordinate,STARLINK-2340 - X-Coordinate,STARLINK-31854 - X-Coordinate,STARLINK-6140 - X-Coordinate,STARLINK-31386 - X-Coordinate,STARLINK-5089 - X-Coordinate,STARLINK-2114 - X-Coordinate,STARLINK-31285 - X-Coordinate,STARLINK-2558 - X-Coordinate,STARLINK-30453 - X-Coordinate,STARLINK-3611 - X-Coordinate,STARLINK-32006 - X-Coordinate,STARLINK-2595 - X-Coordinate,STARLINK-5891 - X-Coordinate,STARLINK-6143 - X-Coordinate,STARLINK-2696 - X-Coordinate,STARLINK-5834 - X-Coordinate,STARLINK-3687 - X-Coordinate,STARLINK-3759 - X-Coordinate,STARLINK-1871 - X-Coordinate,STARLINK-2402 - X-Coordinate,STARLINK-3096 - X-Coordinate,STARLINK-4618 - X-Coordinate,STARLINK-5235 - X-Coordinate,STARLINK-2589 - X-Coordinate,STARLINK-30960 - X-Coordinate,STARLINK-31788 - X-Coordinate,STARLINK-11239 [DTC] - X-Coordinate,STARLINK-3121 - X-Coordinate,STARLINK-4149 - X-Coordinate,STARLINK-2629 - X-Coordinate,STARLINK-3252 - X-Coordinate,STARLINK-5212 - X-Coordinate,STARLINK-32212 - X-Coordinate,STARLINK-11254 [DTC] - X-Coordinate,STARLINK-31384 - X-Coordinate,STARLINK-5606 - X-Coordinate,STARLINK-1186 - X-Coordinate,STARLINK-1876 - X-Coordinate,STARLINK-5621 - X-Coordinate,STARLINK-1578 - X-Coordinate,STARLINK-31318 - X-Coordinate,STARLINK-3167 - X-Coordinate,STARLINK-4262 - X-Coordinate,STARLINK-6323 - X-Coordinate,STARLINK-5789 - X-Coordinate,STARLINK-4155 - X-Coordinate,STARLINK-31163 - X-Coordinate,STARLINK-1639 - X-Coordinate,STARLINK-2446 - X-Coordinate,STARLINK-3329 - X-Coordinate,STARLINK-31574 - X-Coordinate,STARLINK-31380 - X-Coordinate,STARLINK-4777 - X-Coordinate,STARLINK-31394 - X-Coordinate,STARLINK-31310 - X-Coordinate,STARLINK-4032 - X-Coordinate,STARLINK-31113 - X-Coordinate,STARLINK-5401 - X-Coordinate,STARLINK-6064 - X-Coordinate,STARLINK-4393 - X-Coordinate,STARLINK-5975 - X-Coordinate,STARLINK-4336 - X-Coordinate,STARLINK-31549 - X-Coordinate,STARLINK-30203 - X-Coordinate,STARLINK-4510 - X-Coordinate,STARLINK-4047 - X-Coordinate,STARLINK-32197 - X-Coordinate,STARLINK-32243 - X-Coordinate,STARLINK-4097 - X-Coordinate,STARLINK-3658 - X-Coordinate,STARLINK-2722 - X-Coordinate,STARLINK-30878 - X-Coordinate,STARLINK-31887 - X-Coordinate,STARLINK-31071 - X-Coordinate,STARLINK-5831 - X-Coordinate,STARLINK-3583 - X-Coordinate,STARLINK-1956 - X-Coordinate,STARLINK-1202 - X-Coordinate,STARLINK-4443 - X-Coordinate,STARLINK-3339 - X-Coordinate,STARLINK-30111 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-31684 - Y-Coordinate,STARLINK-6162 - Y-Coordinate,STARLINK-1527 - Y-Coordinate,STARLINK-3918 - Y-Coordinate,STARLINK-4435 - Y-Coordinate,STARLINK-5951 - Y-Coordinate,STARLINK-2590 - Y-Coordinate,STARLINK-1591 - Y-Coordinate,STARLINK-32086 - Y-Coordinate,STARLINK-4671 - Y-Coordinate,STARLINK-2513 - Y-Coordinate,STARLINK-31689 - Y-Coordinate,STARLINK-31011 - Y-Coordinate,STARLINK-2587 - Y-Coordinate,STARLINK-5402 - Y-Coordinate,STARLINK-5056 - Y-Coordinate,STARLINK-30946 - Y-Coordinate,STARLINK-3537 - Y-Coordinate,STARLINK-11206 [DTC] - Y-Coordinate,STARLINK-2340 - Y-Coordinate,STARLINK-31854 - Y-Coordinate,STARLINK-6140 - Y-Coordinate,STARLINK-31386 - Y-Coordinate,STARLINK-5089 - Y-Coordinate,STARLINK-2114 - Y-Coordinate,STARLINK-31285 - Y-Coordinate,STARLINK-2558 - Y-Coordinate,STARLINK-30453 - Y-Coordinate,STARLINK-3611 - Y-Coordinate,STARLINK-32006 - Y-Coordinate,STARLINK-2595 - Y-Coordinate,STARLINK-5891 - Y-Coordinate,STARLINK-6143 - Y-Coordinate,STARLINK-2696 - Y-Coordinate,STARLINK-5834 - Y-Coordinate,STARLINK-3687 - Y-Coordinate,STARLINK-3759 - Y-Coordinate,STARLINK-1871 - Y-Coordinate,STARLINK-2402 - Y-Coordinate,STARLINK-3096 - Y-Coordinate,STARLINK-4618 - Y-Coordinate,STARLINK-5235 - Y-Coordinate,STARLINK-2589 - Y-Coordinate,STARLINK-30960 - Y-Coordinate,STARLINK-31788 - Y-Coordinate,STARLINK-11239 [DTC] - Y-Coordinate,STARLINK-3121 - Y-Coordinate,STARLINK-4149 - Y-Coordinate,STARLINK-2629 - Y-Coordinate,STARLINK-3252 - Y-Coordinate,STARLINK-5212 - Y-Coordinate,STARLINK-32212 - Y-Coordinate,STARLINK-11254 [DTC] - Y-Coordinate,STARLINK-31384 - Y-Coordinate,STARLINK-5606 - Y-Coordinate,STARLINK-1186 - Y-Coordinate,STARLINK-1876 - Y-Coordinate,STARLINK-5621 - Y-Coordinate,STARLINK-1578 - Y-Coordinate,STARLINK-31318 - Y-Coordinate,STARLINK-3167 - Y-Coordinate,STARLINK-4262 - Y-Coordinate,STARLINK-6323 - Y-Coordinate,STARLINK-5789 - Y-Coordinate,STARLINK-4155 - Y-Coordinate,STARLINK-31163 - Y-Coordinate,STARLINK-1639 - Y-Coordinate,STARLINK-2446 - Y-Coordinate,STARLINK-3329 - Y-Coordinate,STARLINK-31574 - Y-Coordinate,STARLINK-31380 - Y-Coordinate,STARLINK-4777 - Y-Coordinate,STARLINK-31394 - Y-Coordinate,STARLINK-31310 - Y-Coordinate,STARLINK-4032 - Y-Coordinate,STARLINK-31113 - Y-Coordinate,STARLINK-5401 - Y-Coordinate,STARLINK-6064 - Y-Coordinate,STARLINK-4393 - Y-Coordinate,STARLINK-5975 - Y-Coordinate,STARLINK-4336 - Y-Coordinate,STARLINK-31549 - Y-Coordinate,STARLINK-30203 - Y-Coordinate,STARLINK-4510 - Y-Coordinate,STARLINK-4047 - Y-Coordinate,STARLINK-32197 - Y-Coordinate,STARLINK-32243 - Y-Coordinate,STARLINK-4097 - Y-Coordinate,STARLINK-3658 - Y-Coordinate,STARLINK-2722 - Y-Coordinate,STARLINK-30878 - Y-Coordinate,STARLINK-31887 - Y-Coordinate,STARLINK-31071 - Y-Coordinate,STARLINK-5831 - Y-Coordinate,STARLINK-3583 - Y-Coordinate,STARLINK-1956 - Y-Coordinate,STARLINK-1202 - Y-Coordinate,STARLINK-4443 - Y-Coordinate,STARLINK-3339 - Y-Coordinate,STARLINK-30111 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-31684 - Z-Coordinate,STARLINK-6162 - Z-Coordinate,STARLINK-1527 - Z-Coordinate,STARLINK-3918 - Z-Coordinate,STARLINK-4435 - Z-Coordinate,STARLINK-5951 - Z-Coordinate,STARLINK-2590 - Z-Coordinate,STARLINK-1591 - Z-Coordinate,STARLINK-32086 - Z-Coordinate,STARLINK-4671 - Z-Coordinate,STARLINK-2513 - Z-Coordinate,STARLINK-31689 - Z-Coordinate,STARLINK-31011 - Z-Coordinate,STARLINK-2587 - Z-Coordinate,STARLINK-5402 - Z-Coordinate,STARLINK-5056 - Z-Coordinate,STARLINK-30946 - Z-Coordinate,STARLINK-3537 - Z-Coordinate,STARLINK-11206 [DTC] - Z-Coordinate,STARLINK-2340 - Z-Coordinate,STARLINK-31854 - Z-Coordinate,STARLINK-6140 - Z-Coordinate,STARLINK-31386 - Z-Coordinate,STARLINK-5089 - Z-Coordinate,STARLINK-2114 - Z-Coordinate,STARLINK-31285 - Z-Coordinate,STARLINK-2558 - Z-Coordinate,STARLINK-30453 - Z-Coordinate,STARLINK-3611 - Z-Coordinate,STARLINK-32006 - Z-Coordinate,STARLINK-2595 - Z-Coordinate,STARLINK-5891 - Z-Coordinate,STARLINK-6143 - Z-Coordinate,STARLINK-2696 - Z-Coordinate,STARLINK-5834 - Z-Coordinate,STARLINK-3687 - Z-Coordinate,STARLINK-3759 - Z-Coordinate,STARLINK-1871 - Z-Coordinate,STARLINK-2402 - Z-Coordinate,STARLINK-3096 - Z-Coordinate,STARLINK-4618 - Z-Coordinate,STARLINK-5235 - Z-Coordinate,STARLINK-2589 - Z-Coordinate,STARLINK-30960 - Z-Coordinate,STARLINK-31788 - Z-Coordinate,STARLINK-11239 [DTC] - Z-Coordinate,STARLINK-3121 - Z-Coordinate,STARLINK-4149 - Z-Coordinate,STARLINK-2629 - Z-Coordinate,STARLINK-3252 - Z-Coordinate,STARLINK-5212 - Z-Coordinate,STARLINK-32212 - Z-Coordinate,STARLINK-11254 [DTC] - Z-Coordinate,STARLINK-31384 - Z-Coordinate,STARLINK-5606 - Z-Coordinate,STARLINK-1186 - Z-Coordinate,STARLINK-1876 - Z-Coordinate,STARLINK-5621 - Z-Coordinate,STARLINK-1578 - Z-Coordinate,STARLINK-31318 - Z-Coordinate,STARLINK-3167 - Z-Coordinate,STARLINK-4262 - Z-Coordinate,STARLINK-6323 - Z-Coordinate,STARLINK-5789 - Z-Coordinate,STARLINK-4155 - Z-Coordinate,STARLINK-31163 - Z-Coordinate,STARLINK-1639 - Z-Coordinate,STARLINK-2446 - Z-Coordinate,STARLINK-3329 - Z-Coordinate,STARLINK-31574 - Z-Coordinate,STARLINK-31380 - Z-Coordinate,STARLINK-4777 - Z-Coordinate,STARLINK-31394 - Z-Coordinate,STARLINK-31310 - Z-Coordinate,STARLINK-4032 - Z-Coordinate,STARLINK-31113 - Z-Coordinate,STARLINK-5401 - Z-Coordinate,STARLINK-6064 - Z-Coordinate,STARLINK-4393 - Z-Coordinate,STARLINK-5975 - Z-Coordinate,STARLINK-4336 - Z-Coordinate,STARLINK-31549 - Z-Coordinate,STARLINK-30203 - Z-Coordinate,STARLINK-4510 - Z-Coordinate,STARLINK-4047 - Z-Coordinate,STARLINK-32197 - Z-Coordinate,STARLINK-32243 - Z-Coordinate,STARLINK-4097 - Z-Coordinate,STARLINK-3658 - Z-Coordinate,STARLINK-2722 - Z-Coordinate,STARLINK-30878 - Z-Coordinate,STARLINK-31887 - Z-Coordinate,STARLINK-31071 - Z-Coordinate,STARLINK-5831 - Z-Coordinate,STARLINK-3583 - Z-Coordinate,STARLINK-1956 - Z-Coordinate,STARLINK-1202 - Z-Coordinate,STARLINK-4443 - Z-Coordinate,STARLINK-3339 - Z-Coordinate,STARLINK-30111 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,409.0154,4132.6749,-3338.8702,1083.2952,-255.9721,5439.0503,-1373.7528,-2461.8858,-6538.1997,4606.3499,3783.9606,-4696.9090,6437.4808,1167.5240,5249.6892,-2849.5554,5426.7035,2881.6388,3870.3581,2578.6936,-5021.3197,-3094.8690,-5467.5941,2839.4133,-5092.2204,-4373.8841,3737.7743,-4885.3626,4964.9061,5105.1982,-3659.0071,-5808.3199,-3962.4084,-5233.6865,-267.1412,-4164.6486,4695.6797,-2647.8707,5991.0216,261.5363,5164.2279,739.5135,4767.7272,-3845.1974,-6171.0149,-3850.5376,3900.2773,-5297.0837,-1269.9316,2283.6075,57.1918,-4686.3047,115.3774,-1036.2382,3429.9196,-5607.0209,1545.2560,2355.6407,-4571.3840,2197.1921,640.5678,5215.3910,5201.4367,6097.7783,1285.6934,-316.0791,-4318.0039,-1904.7539,2225.0165,-4681.2754,6246.5007,-1979.1788,-6803.3501,-6298.2305,820.0548,-4832.2169,6646.7742,5649.8169,951.8521,-4903.0581,2913.6526,-3721.8022,3736.2907,3631.1875,-456.5597,1305.6925,-5790.2120,-436.2958,4199.5264,-2899.3442,887.1534,-987.7047,-4073.7140,-4488.6671,-1740.1125,283.0152,-4237.0009,-114.4916,3416.2289,-363.2287,-289969.1800,-294474.8260,-302439.7957,-300009.7694,-303183.5119,-301255.5850,-293864.3171,-296769.9153,-261843549.4354,-261829255.1652,-261842952.7005,-261822408.0874,-297186.6815,-261827939.7710,-6796.3787,4522.5626,5594.7963,-4494.0482,6924.2758,4135.0068,-6365.7546,5715.8006,-1075.3580,-4487.2843,1864.3121,1734.2300,1234.9725,6213.8841,-4259.9355,-4970.3874,-551.5031,6253.8516,-5404.4354,-6068.0760,1425.2342,4514.0610,1483.5289,4390.1867,-4544.1979,5209.6074,2106.2423,4852.5703,3337.1364,4122.5571,2004.9436,-3779.5326,-4609.6486,1620.7979,-5073.2303,5236.8225,-4420.7255,6203.8537,-1908.2778,-6711.1320,-263.0098,-4352.0287,-375.2979,3306.3037,-437.8237,-1241.8731,-3896.8361,368.1124,5186.9405,6336.8227,-5741.6353,414.7681,4279.8201,4260.2035,-2309.7757,-481.5246,5310.5641,-717.2618,-246.4473,3480.2926,-6026.9881,-4501.3539,-342.5416,425.4068,4071.9283,5489.8116,-758.4337,5012.4670,5905.6170,3494.0638,693.4639,-5044.5318,-250.7824,-2011.2414,6758.4112,-4878.7351,-1436.1975,2807.8030,-3556.6070,2113.3197,868.2186,-4366.3938,-4084.7025,-3991.5393,-4300.6009,5072.7225,1343.9665,4225.1406,-5218.2020,-4874.2292,-6836.4947,5039.9336,5516.3855,-4828.9030,-4934.2696,-4175.9419,3657.3164,-6245.9893,5813.8642,6339.4342,197342.2796,176924.2118,193199.6801,199798.1181,192628.4638,196264.4684,192169.0559,197062.0459,158885975.3601,158857546.2679,158872488.5494,158903417.7741,195512.3465,158892992.8773,-462.4346,-3256.6776,-2393.5547,-5156.8149,463.3784,1196.2602,-2425.2588,-3040.7085,-1638.1677,2551.8266,5490.2701,-4640.3023,2267.0313,2853.7105,-1569.4261,3921.4805,-4291.4106,725.2883,1082.0836,2125.8580,-4398.0632,-4272.8530,3795.1111,4551.8205,-1247.0003,555.7343,5429.6382,-885.9384,-3485.4587,-1933.4464,5542.7460,-485.9706,3336.2866,-4269.5736,-4727.3046,1757.7978,2504.0391,1676.0882,-2847.2983,-1808.0901,-4605.9579,-5333.0735,-5018.8022,4723.0170,-2925.2025,5384.7355,4170.6071,-4443.2805,4405.9334,-1593.6432,-3867.7760,-4969.2348,5199.9586,5244.3258,-5596.2971,4032.9368,-4186.7068,6493.5723,-5214.8318,5460.1512,3338.0044,667.9885,4580.9929,-3287.2763,5436.5093,-4113.4563,5360.2626,-4405.5908,-2842.2434,-3530.5165,2701.9974,4295.8327,445.9299,-1855.0706,-1251.2145,-52.6677,1371.3309,2908.2949,5875.7714,-4436.3308,6234.3485,-3694.9729,-4187.4579,4330.0544,5393.5137,4368.6993,-3361.6534,-5449.8940,-1754.7102,3972.3621,796.1162,4478.7314,-370.0747,2161.0708,-4536.1233,-5525.5271,4075.0672,-3034.1381,-1553.8338,-2800.2547,-57068.6716,-59384.3372,-61382.3453,-52432.0972,-56037.7630,-66607.5979,-64854.2682,-60053.0794,-45909793.3839,-45880152.0490,-45902141.7501,-45901230.2784,-59194.7796,-45898636.6191,
3600.000,2395.2918,-6211.4257,2024.6886,3188.1726,2164.5834,-6176.3879,2844.7517,1072.4622,4681.4516,-1086.4799,-5928.1537,2907.1144,-6732.1614,-2767.2683,-2161.7182,3987.8848,-3414.1778,-3818.0720,-1331.6904,364.8198,2212.2382,-904.9976,2143.1542,-5926.4581,5529.5846,1536.5505,-6194.9587,2044.9109,-4134.1321,-5801.4917,1657.1808,2564.0319,6121.4203,1756.8526,4066.1053,1071.2801,-3652.3416,1169.5591,-5674.8519,-113.6711,-6284.0956,2443.2233,-2338.7402,1151.7676,3295.4874,4759.0788,306.6741,2386.2934,-2561.9433,-3525.4175,1885.6645,1922.7413,-4846.9636,-3638.4396,-4912.2666,6777.5017,-3769.5295,-415.1787,5911.2555,-5677.4398,2305.9781,-3351.2160,-3835.9937,-4159.4947,-4931.4650,-3756.5654,5867.6616,-2067.0157,-3844.2485,3050.0953,-6471.6252,3995.6175,5461.4039,6536.0955,-2243.8660,5499.5983,-5608.5309,-6001.2779,-360.8068,2070.2748,-4631.4138,6327.9660,-1848.1815,-2787.9758,4072.7408,-4063.8401,5754.7699,-3237.4862,-1132.2553,5090.5331,1658.9116,-3596.8002,1304.1006,5971.2336,4376.2971,3855.9525,140.8499,-2283.4938,-4432.4816,-1975.6032,-329575.6101,-330402.7913,-342699.7836,-338948.6527,-342927.7067,-341687.9604,-333833.8746,-336736.9059,-294049030.6185,-294025714.8292,-294041704.3165,-294035024.3156,-336811.2220,-294033757.6154,5062.1893,-3083.5943,-6363.1976,3516.8337,-4806.1492,-2017.5502,6070.0388,-6728.7485,-2256.1873,4298.7356,1306.0114,-5585.6132,960.2116,-6210.7799,5009.8885,1195.7499,4104.6307,-4624.0873,5436.5787,4622.0963,-5111.6552,-5246.2839,-4690.9078,-2794.3545,2936.0306,-5802.3969,670.3103,-5340.5022,518.1755,-2387.4895,-5462.0024,3831.9604,3263.6163,-3820.2073,4643.8958,-4643.2617,5581.9440,-6362.7992,3605.1501,6193.3775,2746.1440,5938.6972,3969.0802,-6036.3500,-2538.3260,-3513.4517,4167.4298,-3509.3611,-3395.3856,-5284.9152,6656.6561,-4321.1454,-2232.7059,-3587.0882,4652.7247,-1431.7244,-1830.4043,4730.2106,-2807.6819,-667.2154,3509.7955,4932.8917,4121.1931,2901.1506,-1798.5706,-3714.0556,-2449.3790,-3703.4162,-5556.9155,-6099.8426,1123.6988,1313.9461,-2371.0884,-473.7817,-5795.3323,2035.8375,3393.8259,-2869.6912,-1842.3364,-5048.7396,-4597.3353,2543.8992,6549.8226,6315.9981,4827.2672,-5480.6928,-3453.1627,-5303.9768,4637.9219,4699.5542,5505.9139,-4413.0745,-5885.5518,3210.0002,5300.6994,4030.0193,-4179.2325,6152.7375,-4523.1817,-6605.6711,121372.8192,98107.3536,114237.4372,119353.4314,111621.5660,115402.8945,112591.2372,113348.2527,85647763.6226,85616793.9932,85630215.9166,85663608.9268,115061.0765,85653895.3337,3892.2301,-188.3452,-1898.1317,5029.5843,4511.5523,2423.6261,-1834.0693,-1244.4432,4415.4830,-5328.7070,-3347.9410,2620.2860,1367.1378,1373.3476,4278.5289,-5564.5913,4422.9417,3452.6082,3740.8310,-5155.5277,3932.4940,4445.2727,-4472.0751,-2284.6857,-2994.7060,3243.5132,-3029.7015,3926.2632,5516.5502,-2728.3653,-3952.2952,5186.0912,50.1191,5514.3298,3160.1893,-5023.2521,1833.7914,2534.5230,-1560.5873,-3158.3279,937.7716,2572.4359,5169.1496,-3219.1380,5421.4231,-3237.6144,-5517.7777,5457.7920,-5473.2421,-2753.5468,-218.7279,4932.6692,-4125.5204,-4555.1799,1585.1021,-92.1961,5516.4357,-5088.4024,2294.5419,-3769.0215,-5508.8176,3504.1148,-4069.9834,4726.2909,-4513.4542,4376.0013,-2765.0654,5481.0340,-1500.8897,-170.4400,1913.3228,-5500.0279,3326.2006,-2049.9873,-3054.0875,3564.3521,2264.4629,2020.0382,-6693.1753,4277.8399,-2382.1714,85.7198,1350.0330,-513.8376,-2832.5491,-212.8063,-1252.6629,3007.5647,5003.1065,-6.7078,-3891.0015,-3758.7933,-3294.2879,1475.5075,815.6695,4102.9529,-5528.2540,-2269.2773,-2795.1467,-777.8502,-54554.1963,-57758.0128,-58954.3556,-52091.2443,-52397.7351,-62649.0504,-65122.2002,-56952.4599,-45841841.8710,-45813186.6430,-45837010.2735,-45827190.9368,-57413.0775,-45829737.4063,
7200.000,-5043.8173,5964.0032,613.7054,-6180.4407,-1032.4012,5020.3492,-3650.7465,1123.0900,-1326.9509,-3233.0272,6125.9521,-436.6367,4531.4422,3614.4641,-1914.3342,-5074.4970,1181.7397,4118.3634,-3027.5175,-4095.9696,683.7284,4237.0356,1344.1024,6764.3351,-4292.5411,2647.5561,6390.6636,1930.6476,3119.9390,4011.0157,-87.4860,1039.9607,-6000.5739,1520.6710,-6111.6536,3131.4724,590.3364,1468.2138,2571.1466,-1136.0034,4791.9717,-3926.8814,304.8481,1237.9536,172.1967,-3558.9591,-4245.4668,287.7444,5923.4695,4006.3927,-3039.4687,420.4808,6720.3457,6348.2218,4358.0641,-5020.0763,5774.9918,-76.9349,-5203.0393,6670.6757,-5406.1400,-523.0716,2070.4211,1663.5119,6877.2440,6519.8444,-5446.9038,5609.1854,4159.5022,110.3051,3345.6058,-5692.3564,-1643.1304,-3997.3094,3589.6447,-4577.7968,2369.6582,3709.9460,-2798.7655,622.5206,2550.4700,-5785.2411,-366.5649,850.6624,-5476.3555,4578.6609,-2448.6886,4862.1506,-3070.6956,-5098.5448,-4434.0001,6288.8425,2622.8170,-5492.5668,-4894.9720,-6050.9915,3799.3418,2328.3231,4243.7296,3746.1550,-350052.3424,-345666.9417,-361160.3440,-356287.3788,-360852.3488,-359876.0597,-352948.2190,-355635.7480,-306186626.6694,-306153125.6906,-306171448.7023,-306176033.7799,-355067.3197,-306171151.5337,-1266.0415,459.0554,4727.8555,-2537.0218,-101.8824,-1337.5613,-3149.2362,4912.8327,5441.3637,-3791.3619,-3130.3463,6673.9012,-3166.8280,3477.4445,-4983.6552,2644.2726,-6565.0230,714.7762,-2831.7766,-2408.5011,6769.6798,5131.3801,6444.9827,714.7490,486.6774,4258.7787,-2368.5933,4793.0041,-4580.7167,-1252.1844,6944.1161,-2.4754,-663.0184,5796.4011,-3266.8133,3378.1007,-4692.6907,4271.4749,-4066.8638,-2794.0043,-3753.9422,-5415.2990,-6567.8498,6820.9559,5537.5254,5458.9929,-4258.5162,6178.0125,1649.5630,1699.5474,-4625.9363,6694.9272,133.0505,2490.5753,-4289.1007,2721.0062,-1498.9788,-6913.9168,4132.8311,-1392.6046,-642.9100,-4137.1026,-6530.2170,-5850.9138,3.3889,1421.1912,4007.4840,2422.4985,2569.6985,5708.2846,-2990.0653,2165.8229,4750.1122,3264.6790,2293.0089,2194.0130,-4670.3766,875.1025,5266.5173,6731.3309,5771.0991,496.4400,-6540.0420,-5829.4733,-3955.3656,2944.1788,4047.4073,4718.8665,-3419.6500,-2481.2662,-2616.0902,2628.2536,4290.6933,-96.2509,-3525.8611,-3368.8504,4539.2387,-2086.6013,882.0221,4365.3493,37440.8554,12669.7859,27816.7342,31414.7993,23391.4523,26884.3067,25370.3935,28901.5307,6570907.9268,6540250.7117,6552334.0254,6577888.1730,27206.9188,6576141.5402,-4423.9620,3503.7193,5033.9951,-1815.2545,-6869.9811,-4601.5879,4993.9527,4740.0779,-3904.6737,4795.1976,-851.3686,1349.8628,-4197.0965,-4798.9410,-4436.1017,3945.3029,-1911.2717,-5523.5467,-5313.5892,5038.0128,-531.1500,-1977.6679,1782.1265,-1372.6672,5419.3354,-4634.6019,-1248.1582,-4638.9117,-4148.3235,5387.1360,4.2724,-6868.2470,-3423.1079,-3508.2889,294.7264,5156.3476,-5056.6772,-5287.6107,4937.1446,6253.1092,3286.7897,1762.9287,-2192.6788,-242.9502,-4018.2827,-1730.1277,3414.5513,-3108.6859,3186.4527,5372.6011,4145.3759,-1341.5669,-534.2766,561.4014,3304.0754,-3928.5827,-3536.5352,719.8281,1982.8577,-650.1753,4269.7047,-5528.4129,1135.9907,-3340.7325,769.8700,-1616.9704,-1530.8485,-3287.9780,4887.5230,3728.0623,-5171.5402,3280.3424,-4619.2163,4519.5323,5446.4966,-4629.0379,-4554.7453,-5818.7487,3552.4110,-1569.0802,-2908.8700,3572.6898,2281.7620,-3642.0661,-1509.9291,-4123.3101,4912.7675,1331.0518,-5180.0309,-3986.9639,4645.8993,187.0106,4667.2052,-4245.9599,3385.4621,-198.1663,3593.5536,6187.2600,5384.6273,3869.3882,-52218.4727,-56121.4772,-56106.8165,-52677.2062,-49247.7433,-57782.5578,-64615.3724,-55911.2579,-45773103.1782,-45746347.7294,-45771646.9051,-45754804.2886,-55624.8848,-45760834.9250,
