sl_100_5400_20241031 Coordinates.csv
2024/10/31 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:25 2024,
Start: 2024/10/31 07:47:00.00, Stop: 2024/10/31 09:17:00.00,
TIME_UNITS,STARLINK-2537 - X-Coordinate,STARLINK-5418 - X-Coordinate,STARLINK-4530 - X-Coordinate,STARLINK-1882 - X-Coordinate,STARLINK-32035 - X-Coordinate,STARLINK-2415 - X-Coordinate,STARLINK-31401 - X-Coordinate,STARLINK-1577 - X-Coordinate,STARLINK-30770 - X-Coordinate,STARLINK-1619 - X-Coordinate,STARLINK-4380 - X-Coordinate,STARLINK-3573 - X-Coordinate,STARLINK-5935 - X-Coordinate,STARLINK-4413 - X-Coordinate,STARLINK-5931 - X-Coordinate,STARLINK-5581 - X-Coordinate,STARLINK-1758 - X-Coordinate,STARLINK-5753 - X-Coordinate,STARLINK-31763 - X-Coordinate,STARLINK-4099 - X-Coordinate,STARLINK-3325 - X-Coordinate,STARLINK-3597 - X-Coordinate,STARLINK-1467 - X-Coordinate,STARLINK-6055 - X-Coordinate,STARLINK-5240 - X-Coordinate,STARLINK-1693 - X-Coordinate,STARLINK-3520 - X-Coordinate,STARLINK-4076 - X-Coordinate,STARLINK-2125 - X-Coordinate,STARLINK-3042 - X-Coordinate,STARLINK-5412 - X-Coordinate,STARLINK-2321 - X-Coordinate,STARLINK-5799 - X-Coordinate,STARLINK-5298 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-1010 - X-Coordinate,STARLINK-1798 - X-Coordinate,STARLINK-4533 - X-Coordinate,STARLINK-31613 - X-Coordinate,STARLINK-5696 - X-Coordinate,STARLINK-5459 - X-Coordinate,STARLINK-3604 - X-Coordinate,STARLINK-6091 - X-Coordinate,STARLINK-2223 - X-Coordinate,STARLINK-30287 - X-Coordinate,STARLINK-4196 - X-Coordinate,STARLINK-2068 - X-Coordinate,STARLINK-31234 - X-Coordinate,STARLINK-6071 - X-Coordinate,STARLINK-3323 - X-Coordinate,STARLINK-1835 - X-Coordinate,STARLINK-4205 - X-Coordinate,STARLINK-4275 - X-Coordinate,STARLINK-31472 - X-Coordinate,STARLINK-2513 - X-Coordinate,STARLINK-31748 - X-Coordinate,STARLINK-11242 [DTC] - X-Coordinate,STARLINK-5592 - X-Coordinate,STARLINK-4256 - X-Coordinate,STARLINK-4525 - X-Coordinate,STARLINK-30919 - X-Coordinate,STARLINK-2543 - X-Coordinate,STARLINK-1062 - X-Coordinate,STARLINK-30438 - X-Coordinate,STARLINK-1604 - X-Coordinate,STARLINK-5120 - X-Coordinate,STARLINK-4776 - X-Coordinate,STARLINK-5103 - X-Coordinate,STARLINK-1856 - X-Coordinate,STARLINK-3262 - X-Coordinate,STARLINK-31215 - X-Coordinate,STARLINK-11182 [DTC] - X-Coordinate,STARLINK-4253 - X-Coordinate,STARLINK-4680 - X-Coordinate,STARLINK-4257 - X-Coordinate,STARLINK-4676 - X-Coordinate,STARLINK-1312 - X-Coordinate,STARLINK-1726 - X-Coordinate,STARLINK-2661 - X-Coordinate,STARLINK-2711 - X-Coordinate,STARLINK-11156 [DTC] - X-Coordinate,STARLINK-30150 - X-Coordinate,STARLINK-5419 - X-Coordinate,STARLINK-31398 - X-Coordinate,STARLINK-4064 - X-Coordinate,STARLINK-1972 - X-Coordinate,STARLINK-11231 [DTC] - X-Coordinate,STARLINK-6080 - X-Coordinate,STARLINK-30392 - X-Coordinate,STARLINK-2706 - X-Coordinate,STARLINK-3837 - X-Coordinate,STARLINK-11111 [DTC] - X-Coordinate,STARLINK-1506 - X-Coordinate,STARLINK-5632 - X-Coordinate,STARLINK-30336 - X-Coordinate,STARLINK-2699 - X-Coordinate,STARLINK-5266 - X-Coordinate,STARLINK-2720 - X-Coordinate,STARLINK-30512 - X-Coordinate,STARLINK-4127 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-2537 - Y-Coordinate,STARLINK-5418 - Y-Coordinate,STARLINK-4530 - Y-Coordinate,STARLINK-1882 - Y-Coordinate,STARLINK-32035 - Y-Coordinate,STARLINK-2415 - Y-Coordinate,STARLINK-31401 - Y-Coordinate,STARLINK-1577 - Y-Coordinate,STARLINK-30770 - Y-Coordinate,STARLINK-1619 - Y-Coordinate,STARLINK-4380 - Y-Coordinate,STARLINK-3573 - Y-Coordinate,STARLINK-5935 - Y-Coordinate,STARLINK-4413 - Y-Coordinate,STARLINK-5931 - Y-Coordinate,STARLINK-5581 - Y-Coordinate,STARLINK-1758 - Y-Coordinate,STARLINK-5753 - Y-Coordinate,STARLINK-31763 - Y-Coordinate,STARLINK-4099 - Y-Coordinate,STARLINK-3325 - Y-Coordinate,STARLINK-3597 - Y-Coordinate,STARLINK-1467 - Y-Coordinate,STARLINK-6055 - Y-Coordinate,STARLINK-5240 - Y-Coordinate,STARLINK-1693 - Y-Coordinate,STARLINK-3520 - Y-Coordinate,STARLINK-4076 - Y-Coordinate,STARLINK-2125 - Y-Coordinate,STARLINK-3042 - Y-Coordinate,STARLINK-5412 - Y-Coordinate,STARLINK-2321 - Y-Coordinate,STARLINK-5799 - Y-Coordinate,STARLINK-5298 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-1010 - Y-Coordinate,STARLINK-1798 - Y-Coordinate,STARLINK-4533 - Y-Coordinate,STARLINK-31613 - Y-Coordinate,STARLINK-5696 - Y-Coordinate,STARLINK-5459 - Y-Coordinate,STARLINK-3604 - Y-Coordinate,STARLINK-6091 - Y-Coordinate,STARLINK-2223 - Y-Coordinate,STARLINK-30287 - Y-Coordinate,STARLINK-4196 - Y-Coordinate,STARLINK-2068 - Y-Coordinate,STARLINK-31234 - Y-Coordinate,STARLINK-6071 - Y-Coordinate,STARLINK-3323 - Y-Coordinate,STARLINK-1835 - Y-Coordinate,STARLINK-4205 - Y-Coordinate,STARLINK-4275 - Y-Coordinate,STARLINK-31472 - Y-Coordinate,STARLINK-2513 - Y-Coordinate,STARLINK-31748 - Y-Coordinate,STARLINK-11242 [DTC] - Y-Coordinate,STARLINK-5592 - Y-Coordinate,STARLINK-4256 - Y-Coordinate,STARLINK-4525 - Y-Coordinate,STARLINK-30919 - Y-Coordinate,STARLINK-2543 - Y-Coordinate,STARLINK-1062 - Y-Coordinate,STARLINK-30438 - Y-Coordinate,STARLINK-1604 - Y-Coordinate,STARLINK-5120 - Y-Coordinate,STARLINK-4776 - Y-Coordinate,STARLINK-5103 - Y-Coordinate,STARLINK-1856 - Y-Coordinate,STARLINK-3262 - Y-Coordinate,STARLINK-31215 - Y-Coordinate,STARLINK-11182 [DTC] - Y-Coordinate,STARLINK-4253 - Y-Coordinate,STARLINK-4680 - Y-Coordinate,STARLINK-4257 - Y-Coordinate,STARLINK-4676 - Y-Coordinate,STARLINK-1312 - Y-Coordinate,STARLINK-1726 - Y-Coordinate,STARLINK-2661 - Y-Coordinate,STARLINK-2711 - Y-Coordinate,STARLINK-11156 [DTC] - Y-Coordinate,STARLINK-30150 - Y-Coordinate,STARLINK-5419 - Y-Coordinate,STARLINK-31398 - Y-Coordinate,STARLINK-4064 - Y-Coordinate,STARLINK-1972 - Y-Coordinate,STARLINK-11231 [DTC] - Y-Coordinate,STARLINK-6080 - Y-Coordinate,STARLINK-30392 - Y-Coordinate,STARLINK-2706 - Y-Coordinate,STARLINK-3837 - Y-Coordinate,STARLINK-11111 [DTC] - Y-Coordinate,STARLINK-1506 - Y-Coordinate,STARLINK-5632 - Y-Coordinate,STARLINK-30336 - Y-Coordinate,STARLINK-2699 - Y-Coordinate,STARLINK-5266 - Y-Coordinate,STARLINK-2720 - Y-Coordinate,STARLINK-30512 - Y-Coordinate,STARLINK-4127 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-2537 - Z-Coordinate,STARLINK-5418 - Z-Coordinate,STARLINK-4530 - Z-Coordinate,STARLINK-1882 - Z-Coordinate,STARLINK-32035 - Z-Coordinate,STARLINK-2415 - Z-Coordinate,STARLINK-31401 - Z-Coordinate,STARLINK-1577 - Z-Coordinate,STARLINK-30770 - Z-Coordinate,STARLINK-1619 - Z-Coordinate,STARLINK-4380 - Z-Coordinate,STARLINK-3573 - Z-Coordinate,STARLINK-5935 - Z-Coordinate,STARLINK-4413 - Z-Coordinate,STARLINK-5931 - Z-Coordinate,STARLINK-5581 - Z-Coordinate,STARLINK-1758 - Z-Coordinate,STARLINK-5753 - Z-Coordinate,STARLINK-31763 - Z-Coordinate,STARLINK-4099 - Z-Coordinate,STARLINK-3325 - Z-Coordinate,STARLINK-3597 - Z-Coordinate,STARLINK-1467 - Z-Coordinate,STARLINK-6055 - Z-Coordinate,STARLINK-5240 - Z-Coordinate,STARLINK-1693 - Z-Coordinate,STARLINK-3520 - Z-Coordinate,STARLINK-4076 - Z-Coordinate,STARLINK-2125 - Z-Coordinate,STARLINK-3042 - Z-Coordinate,STARLINK-5412 - Z-Coordinate,STARLINK-2321 - Z-Coordinate,STARLINK-5799 - Z-Coordinate,STARLINK-5298 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-1010 - Z-Coordinate,STARLINK-1798 - Z-Coordinate,STARLINK-4533 - Z-Coordinate,STARLINK-31613 - Z-Coordinate,STARLINK-5696 - Z-Coordinate,STARLINK-5459 - Z-Coordinate,STARLINK-3604 - Z-Coordinate,STARLINK-6091 - Z-Coordinate,STARLINK-2223 - Z-Coordinate,STARLINK-30287 - Z-Coordinate,STARLINK-4196 - Z-Coordinate,STARLINK-2068 - Z-Coordinate,STARLINK-31234 - Z-Coordinate,STARLINK-6071 - Z-Coordinate,STARLINK-3323 - Z-Coordinate,STARLINK-1835 - Z-Coordinate,STARLINK-4205 - Z-Coordinate,STARLINK-4275 - Z-Coordinate,STARLINK-31472 - Z-Coordinate,STARLINK-2513 - Z-Coordinate,STARLINK-31748 - Z-Coordinate,STARLINK-11242 [DTC] - Z-Coordinate,STARLINK-5592 - Z-Coordinate,STARLINK-4256 - Z-Coordinate,STARLINK-4525 - Z-Coordinate,STARLINK-30919 - Z-Coordinate,STARLINK-2543 - Z-Coordinate,STARLINK-1062 - Z-Coordinate,STARLINK-30438 - Z-Coordinate,STARLINK-1604 - Z-Coordinate,STARLINK-5120 - Z-Coordinate,STARLINK-4776 - Z-Coordinate,STARLINK-5103 - Z-Coordinate,STARLINK-1856 - Z-Coordinate,STARLINK-3262 - Z-Coordinate,STARLINK-31215 - Z-Coordinate,STARLINK-11182 [DTC] - Z-Coordinate,STARLINK-4253 - Z-Coordinate,STARLINK-4680 - Z-Coordinate,STARLINK-4257 - Z-Coordinate,STARLINK-4676 - Z-Coordinate,STARLINK-1312 - Z-Coordinate,STARLINK-1726 - Z-Coordinate,STARLINK-2661 - Z-Coordinate,STARLINK-2711 - Z-Coordinate,STARLINK-11156 [DTC] - Z-Coordinate,STARLINK-30150 - Z-Coordinate,STARLINK-5419 - Z-Coordinate,STARLINK-31398 - Z-Coordinate,STARLINK-4064 - Z-Coordinate,STARLINK-1972 - Z-Coordinate,STARLINK-11231 [DTC] - Z-Coordinate,STARLINK-6080 - Z-Coordinate,STARLINK-30392 - Z-Coordinate,STARLINK-2706 - Z-Coordinate,STARLINK-3837 - Z-Coordinate,STARLINK-11111 [DTC] - Z-Coordinate,STARLINK-1506 - Z-Coordinate,STARLINK-5632 - Z-Coordinate,STARLINK-30336 - Z-Coordinate,STARLINK-2699 - Z-Coordinate,STARLINK-5266 - Z-Coordinate,STARLINK-2720 - Z-Coordinate,STARLINK-30512 - Z-Coordinate,STARLINK-4127 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,5787.2092,-2207.0143,6247.8158,-6133.7607,-4891.2021,-5074.4435,-3188.1060,1693.8982,4455.4913,-3657.7917,1933.1239,3771.8409,2305.0115,6096.0963,266.2107,5538.8233,-232.9164,-6420.8397,-6796.8583,3699.8065,-2763.0514,-4177.9258,1070.6504,4404.7856,-1227.8714,3254.4569,-5008.4093,4201.5519,1265.0291,-2253.2818,-1473.5661,-6011.7897,4744.7238,285.2802,2855.8986,443.6231,5051.2236,3929.9556,4074.1739,5882.8463,6610.8557,271.3667,2639.9293,1789.1356,889.3741,-2953.5898,4188.0592,2377.4905,4650.2723,-4441.8396,-4730.2114,-4294.5793,2695.4788,5597.1083,-3414.8517,5805.2489,1968.2429,-2397.3423,5133.6806,-6215.3600,-5418.3851,-106.6320,2132.2929,-2753.9093,420.7781,-4822.4656,3450.0618,44.8713,2170.7907,5995.4053,-3266.4184,-4871.8826,-6707.1041,-3934.1025,-2841.8213,1438.1701,424.2369,3436.8619,1525.8945,-6432.8128,-1781.8848,4697.1836,-3724.6910,-6368.1106,1663.7454,-3288.5173,1212.3033,-4905.0085,-1516.9710,3955.3537,4155.1247,-2945.1416,1856.2882,-1118.2580,5882.5838,1874.8500,5343.5743,-5832.2143,5845.0857,-3667.7501,-281099.5092,-282442.3541,-271975.2493,-272465.6209,-272472.4260,-272641.0255,-281148.6830,-275885.3444,-115385795.7752,-115383680.5891,-115367485.2375,-115378102.0085,-276830.6691,-115372429.3889,2664.3367,-6217.8608,-2963.7854,2885.7933,-1990.6269,-3720.2443,4474.4927,3808.7436,5161.1319,-2864.7818,10.5633,1764.7923,3387.2321,-3254.3776,2408.7447,-1208.2344,6773.6014,-1059.4189,-554.7539,-4813.9702,-4442.5973,93.6380,3915.1763,1899.8980,6723.6803,-5647.1882,4760.5507,971.7093,6788.3264,-1126.1815,-6626.1981,870.4723,-4532.0882,3371.0071,5633.4009,-6896.5615,843.7680,-4180.6031,-1477.9999,-2090.3941,1311.5979,5173.5726,5358.4106,6552.3861,-5605.0135,-6074.4331,2295.6736,-4509.0520,-2886.7938,-137.8150,-1262.0185,2612.0533,3922.1921,73.9868,3397.4280,-2353.5302,4564.7848,-238.5451,-2578.6842,601.4502,631.1202,6297.4687,-3783.1118,6236.5392,4163.1631,-2821.3213,-4740.4554,6497.6846,-4347.1258,2532.6635,4425.8153,4157.2377,-1265.9207,2304.6246,4793.2622,-3965.5368,-5412.0148,2354.1524,-6234.0705,2360.0290,6315.3626,-2523.9964,-5797.5303,1909.2725,4377.9856,6077.5495,-6426.0321,3115.6628,6573.4168,-1310.9568,2993.7045,-5037.6196,5455.0283,6568.3774,1276.6833,4127.0992,-1846.2955,3547.0611,3248.7105,2599.6704,271924.0354,300567.4795,288591.0586,282351.3266,290484.2367,286628.7437,286894.3916,283890.5600,-83201800.3514,-83175866.0833,-83216864.9568,-83207289.7217,285371.8231,-83216022.2041,2699.1118,2129.5062,181.1694,1385.5138,-4363.0371,2880.4335,-4048.8279,5517.0846,-1287.4992,5038.3150,-6672.5651,-5529.1072,-5621.9646,-676.1053,6506.5405,-4009.2634,-1422.8837,-2410.5704,-118.4978,3307.0080,-4531.3070,5503.5054,5344.9106,5025.6317,1056.4692,2230.1286,-330.3994,5399.6531,-546.9381,6470.9101,-1346.8006,-3326.8658,2239.7573,6065.2058,-2831.6139,425.0707,-4659.7035,-3868.6836,-5278.4044,-3028.8776,-1719.3211,-4589.4642,-3534.7777,-1360.8070,3978.0104,1488.8505,5006.3420,4588.4852,4251.3385,-5306.9870,4877.9935,-4759.2885,5010.9438,-3900.0424,4966.9319,2691.1562,-4496.9887,6512.1008,-3859.1921,-2985.1447,-4292.1227,2872.6008,5385.8618,520.4643,-5517.8348,-4084.2142,3661.0625,-2384.1695,4920.6818,2341.5436,4099.2446,-2099.2654,-1140.6016,-5111.8002,4090.3016,5474.0619,-4301.7776,-5531.6617,2588.8762,990.7196,-20.6874,4426.8663,786.5020,-1531.9113,5083.8132,-430.3882,-817.8107,-3793.6978,1127.7789,5523.0394,4643.9507,-3376.1932,-3848.3607,1983.9820,3438.7525,5226.5055,4034.9883,1162.5073,1836.4865,-5264.0207,-75566.7842,-80276.2314,-81482.5770,-73200.8494,-75859.9092,-86548.0644,-85673.9557,-79677.5411,56828532.4282,56801221.0808,56838748.6319,56816149.5095,-79535.6566,56822494.2832,
300.000,6655.6011,-3729.1647,5468.9650,-5630.8314,-6097.0274,-6179.9413,-1130.8101,3631.2652,5567.2261,-5248.9722,-77.4568,4373.3645,3997.2574,6162.6837,2418.4860,4324.0032,1030.2657,-6853.1038,-6547.8088,2902.3691,-3591.7960,-4196.5680,3065.5271,3314.5660,-28.1401,2267.7864,-3872.4030,4960.0168,2408.4834,-2482.0834,-2662.4399,-4745.5592,3758.6926,1678.2290,4206.1589,-769.0859,5961.1255,2047.9490,3733.2858,4503.3902,6905.0891,1910.0101,4360.7188,2969.9287,-904.0965,-3754.7529,4199.6109,535.6096,2961.7232,-4926.9419,-5781.5138,-3946.6249,4535.9563,4770.1476,-1382.6120,4385.1986,3120.9965,-2872.8598,3439.6971,-6501.1462,-5449.8241,1217.8208,507.6772,-1445.8159,2541.8991,-4620.0037,1595.3003,1324.5992,65.8146,5666.7599,-1219.5503,-3348.5682,-6885.1734,-2142.2962,-907.2167,-482.2223,-1280.3430,4542.3688,338.2951,-5453.1440,-486.8123,3927.9437,-4898.4492,-5279.1850,3089.2779,-2013.3162,-129.5783,-3190.4176,-316.5518,3210.3019,4251.0202,-4435.7190,3441.7583,-300.0989,5397.6939,3310.6267,5932.7278,-4649.8369,6654.9625,-2913.7620,-286719.5080,-288636.8008,-277859.2113,-278484.0775,-278436.9324,-278554.6290,-287076.0691,-281738.0909,-113537316.2648,-113535909.2847,-113518770.7387,-113529952.5431,-282802.5230,-113523854.6986,1618.4087,-5810.2846,-3916.8887,4001.6608,-735.3495,-2878.2221,4933.9369,2894.7079,4131.2756,-1724.5007,1067.0210,-318.2077,3780.9410,-2783.9401,2503.5378,-2881.9078,6121.1177,486.3772,976.3571,-6044.9101,-2591.1683,2218.9857,2968.3900,300.5227,6876.0169,-6490.4039,5335.2274,-954.2822,6368.9276,1071.4901,-6369.0249,2124.5818,-5776.1596,1714.2692,5376.1581,-6742.9381,-718.3415,-4389.1806,-3505.4578,-3402.0542,721.5354,3958.6019,4868.7484,6240.4707,-6210.8826,-4887.2727,173.7401,-5516.0021,-4154.8773,1826.4392,299.0477,4413.0038,3369.6861,-1839.4379,3983.5606,-3584.6143,2818.3932,1868.5148,-3419.7555,1973.3270,2600.9669,6711.7478,-5057.9360,6278.1574,3946.3031,-893.8983,-4701.1017,6762.0338,-4231.0005,981.2927,4929.9741,4575.5082,-69.1239,3505.0923,4600.4245,-4832.4125,-4398.5507,511.1065,-6859.4653,3301.0741,6285.0692,-4386.4231,-4853.5784,3209.8742,2788.4001,6253.7415,-6066.0609,4209.3965,6798.7832,-3322.6038,940.6451,-4757.7566,5531.3636,5760.0353,-640.3944,2518.1260,-2890.8878,4264.7886,1928.6875,4458.8641,265756.0886,294427.3660,282529.9831,276379.1020,284575.6708,280724.9258,280878.6712,278044.4699,-85700838.0230,-85675292.3780,-85715312.2990,-85706724.5554,279413.7470,-85715065.5978,993.8935,654.4478,-1619.9460,-420.0443,-3033.3815,1200.0394,-4578.6382,5123.7583,247.9926,4057.3373,-6863.7078,-5356.1196,-4256.8484,1562.7051,6007.9629,-4606.5754,-3073.9130,-970.3069,-1647.5325,1691.8069,-5319.4310,5022.4405,5180.8326,6095.9405,-759.7143,471.1791,-2101.5816,4717.3603,1260.9396,6395.5416,463.6700,-4576.5860,777.3329,6515.9353,-1139.5719,-1380.2502,-3447.1004,-4943.5232,-4518.6506,-4038.4144,394.6175,-5347.1047,-2333.3683,444.5329,2942.8750,3134.2873,5494.5555,4041.6811,4688.7041,-4505.9958,3777.9904,-3586.3762,3980.9714,-4518.3460,5484.2956,3791.4680,-5220.7457,6039.1164,-4937.6883,-1315.3118,-3421.7373,1191.1762,4694.4685,2283.2524,-5091.4575,-5075.6085,4806.7593,-638.7183,5468.2540,3838.6137,4610.1524,-3645.8989,674.2841,-5481.1592,5076.3566,4917.6838,-5195.7734,-5201.9319,870.2788,2695.9887,1815.0219,3657.4502,-758.9328,-2896.2292,5517.8909,-2189.4988,-2576.1925,-4502.2101,-696.1049,5150.4005,5368.1332,-1767.7212,-2358.1757,3876.1374,4300.1500,5527.4074,2172.3945,2847.3771,333.3196,-4421.3722,-75672.6922,-80415.1606,-81555.1793,-73432.4039,-75825.3374,-86511.6762,-85988.6905,-79318.2659,56826508.0033,56799269.3772,56837053.7206,56813989.3423,-79662.6097,56820699.1375,
600.000,6861.5687,-4885.0693,4138.6263,-4565.9620,-6687.0852,-6667.9202,1042.0351,5225.8458,6141.6299,-6316.6687,-2121.7173,4599.3502,5259.6300,5549.3146,4315.5885,2720.6806,2225.3830,-6624.5991,-5633.3078,1834.5978,-4124.5393,-3854.0813,4749.9355,1947.2720,1182.9166,1058.0586,-2336.1897,5269.0916,3327.1282,-2543.0891,-3591.4936,-3025.9393,2415.3442,2969.6649,5129.3737,-1921.1056,6301.3974,-51.5666,3058.9921,2698.3969,6498.9422,3406.2108,5650.6299,3860.9892,-2587.7284,-4216.6263,3856.8268,-1332.3289,1006.1972,-4968.3778,-6280.5722,-3246.6095,5921.1592,3492.7583,778.6755,2522.0096,3990.9463,-3133.2638,1409.8076,-6147.1562,-4984.7750,2408.6315,-1125.5301,34.7074,4409.4073,-4012.1905,-441.1747,2465.7183,-2059.1360,4802.4899,948.5985,-1446.9828,-6378.9664,-161.1648,1141.7948,-2322.5718,-2901.8986,5245.7716,-872.9748,-3925.6822,886.6859,2813.5962,-5603.8668,-3652.4141,4259.3544,-517.7584,-1486.3151,-1178.3253,924.3576,2204.0867,3984.5271,-5436.3794,4668.8271,597.5414,4422.6638,4468.4471,5934.0125,-2993.8916,6819.8740,-1921.0714,-292203.6575,-294697.1320,-283617.4589,-284375.0853,-284277.3299,-284343.8220,-292870.7509,-287553.7586,-111634718.2141,-111634007.0976,-111615964.8488,-111627656.5594,-288646.1362,-111621160.9455,422.9759,-4843.7988,-4497.1777,4723.9235,561.5886,-1763.5176,4937.6647,1748.7933,2699.6332,-453.0987,1922.6389,-2349.2034,3842.1481,-2030.4012,2423.1469,-4313.0648,4870.3277,1976.0750,2424.0245,-6669.0855,-493.6123,4113.9318,1755.7340,-1384.2719,6344.9511,-6678.7437,5397.8388,-2754.7464,5314.9378,3149.9711,-5476.5178,3218.0998,-6457.3817,-64.1944,4593.7976,-5921.6632,-2176.4444,-4217.1054,-5166.2261,-4423.4120,52.9701,2390.7271,3929.0272,5307.9173,-6232.6653,-3204.3674,-1973.9641,-5999.7112,-5061.4134,3584.4660,1794.1547,5765.9868,2526.8869,-3594.2976,4236.7310,-4487.1484,786.1660,3762.5937,-3977.9745,3135.6397,4304.9373,6464.6480,-5864.5052,5684.5112,3397.0214,1146.5252,-4243.4961,6356.0662,-3755.6110,-701.1972,4986.4988,4540.4894,1142.2399,4403.2302,4002.4129,-5264.4850,-2990.4732,-1346.6828,-6804.5211,3944.3899,5523.7053,-5824.0210,-3435.4417,4212.2933,957.4800,5823.4825,-5014.3940,4939.5497,6325.1657,-5018.2863,-1216.7266,-3982.2088,5080.1291,4382.0538,-2521.4107,697.4096,-3617.2206,4589.3590,425.1498,5881.0421,259474.1203,288158.3229,276343.3324,270280.9060,278540.0321,274698.2147,274739.3962,272184.5423,-88158831.8273,-88133688.3633,-88172706.3879,-88165142.9216,273330.7476,-88173061.3232,-818.3228,-890.6647,-3246.6128,-2180.4017,-1367.3402,-609.4849,-4596.1487,4179.3709,1756.9465,2627.8821,-6328.5955,-4608.9779,-2441.5086,3634.7121,4871.9233,-4714.2283,-4395.2447,573.6083,-2991.5076,-105.8986,-5537.2352,4000.1551,4408.1266,6520.0271,-2494.0314,-1339.1805,-3646.5000,3526.6085,2933.2962,5642.0117,2224.1472,-5336.1844,-768.2895,6275.8947,675.1373,-3037.3305,-1864.3696,-5487.8443,-3254.2282,-4617.6231,2466.6400,-5531.4576,-882.9853,2202.0799,1592.7529,4441.7437,5392.8513,3048.9581,4624.6063,-3221.4266,2270.6133,-2028.1775,2521.6919,-4630.5270,5412.8486,4465.3754,-5328.9690,4925.4600,-5486.4450,496.1217,-2186.6349,-618.2912,3498.8330,3791.0753,-4119.8048,-5522.5370,5434.1655,1175.4954,5427.8085,4922.0717,4612.7291,-4768.8076,2416.4763,-5244.4811,5515.3556,3831.4359,-5533.8355,-4315.1276,-941.9583,4111.2929,3421.2727,2496.7395,-2223.2601,-3935.6690,5357.8908,-3713.4746,-4013.7369,-4731.2853,-2442.4590,4224.7812,5514.3546,46.5150,-615.1225,5356.8558,4701.6712,5234.8284,78.7519,4226.1751,-1205.5122,-3104.2599,-75779.1054,-80553.9680,-81624.1358,-73668.9658,-75794.3273,-86469.6940,-86297.4400,-78986.1603,56824480.9952,56797318.5249,56835346.3102,56811843.0377,-79789.5202,56818904.0352,
