sl_5_5400_20240311 Coordinates.csv
2024/03/11 07:47:00.0000 UTC

Generated: Tue Oct  8 14:46:16 2024,
Start: 2024/03/11 07:47:00.00, Stop: 2024/03/11 09:17:00.00,
TIME_UNITS,STARLINK-11271 [DTC] - X-Coordinate,STARLINK-2644 - X-Coordinate,STARLINK-30496 - X-Coordinate,STARLINK-1761 - X-Coordinate,STARLINK-4687 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-11271 [DTC] - Y-Coordinate,STARLINK-2644 - Y-Coordinate,STARLINK-30496 - Y-Coordinate,STARLINK-1761 - Y-Coordinate,STARLINK-4687 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-11271 [DTC] - Z-Coordinate,STARLINK-2644 - Z-Coordinate,STARLINK-30496 - Z-Coordinate,STARLINK-1761 - Z-Coordinate,STARLINK-4687 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-5925.0128,3343.9725,-4036.9350,-4885.4870,2845.9911,-65799.9489,-70945.9169,-77017.8582,-72008.7079,-77929.8950,-74593.6776,-69743.9176,-70771.9866,-248134187.5053,-248165764.9370,-248138727.1054,-248138848.1197,-71286.2796,-248140322.1660,3164.8864,5546.2012,5428.3715,2667.6790,-4436.5163,362990.3928,331364.8920,350727.1825,355790.4605,350713.7985,353167.5030,346261.1371,350966.8639,190276782.0826,190257433.3167,190298856.4967,190285822.5037,350731.1304,190293231.9251,-212.3353,-2472.7255,1505.5614,-4130.9976,-4487.2615,7977.1802,6933.7716,3756.1477,12777.0997,9054.7330,-1495.2163,367.8198,4226.6414,-87197961.0603,-87226644.0965,-87193606.5599,-87216869.0777,5964.7830,-87208408.5094,
300.000,-4978.7999,3993.6094,-2412.2332,-3126.9184,827.3117,-73572.1582,-77961.7277,-84401.0242,-79336.5043,-85358.7271,-82048.9337,-77088.2341,-77907.1371,-252228290.6988,-252259050.8706,-252233437.7550,-252232357.2355,-78659.5917,-252234437.7194,4044.1064,4074.7836,5826.2883,3502.7066,-4378.6647,361462.9599,329764.2118,349292.7267,354189.2062,349109.1970,351616.1469,344750.0349,349776.6487,184814518.9541,184794820.1130,184836540.6052,184823862.1444,349155.9612,184831052.6142,-2012.4807,-3939.1865,2870.1002,-5100.0932,-5297.8198,8093.5476,7080.3745,3943.6477,12845.6165,9387.8137,-1189.0535,320.2603,4574.1258,-87192944.4807,-87221656.3397,-87188242.6177,-87211982.3453,6122.2540,-87203251.4100,
600.000,-3481.5513,4292.7965,-536.2231,-1067.0261,-1290.2047,-81309.9096,-84941.5654,-91747.4195,-86628.2699,-92747.5538,-89469.5307,-84401.6313,-85077.1455,-256202176.8436,-256232115.9382,-256207929.0444,-256205667.8758,-85998.1737,-256208340.0501,4505.4419,2191.5908,5680.4996,4049.9315,-3945.2803,359766.6917,328016.0504,347702.6516,352433.6298,347347.2723,349905.5274,343087.6705,348396.1617,179264201.6188,179244172.9445,179286141.8848,179273888.3782,347425.7544,179280818.9083,-3576.5267,-4984.6663,3926.9363,-5524.6821,-5540.5784,8209.5533,7226.9146,4135.2904,12909.1684,9717.4088,-877.5025,278.8802,5032.4189,-87187932.4282,-87216667.7880,-87182892.6311,-87207073.3727,6279.7199,-87198094.1774,
900.000,-1589.5658,4224.4490,1414.6510,1089.3425,-3296.6427,-89009.4793,-91882.3505,-99053.7445,-93880.7705,-100093.3326,-96851.9129,-91680.9379,-92288.6581,-260053952.7717,-260083067.4846,-260060306.2818,-260056889.5661,-93298.7650,-260060135.9786,4516.8288,81.1517,5013.7875,4260.3606,-3182.4284,357902.2998,326121.2088,345957.6119,350524.4324,345429.0293,348036.3446,341274.3795,346797.9445,173628475.4357,173608137.1492,173650305.9995,173638544.4790,345541.2741,173645176.0015,-4721.7480,-5498.2178,4562.8536,-5359.8758,-5189.7962,8325.1953,7373.3927,4331.0107,12967.6578,10043.5088,-560.4970,243.5874,5580.0669,-87182924.8373,-87211678.4337,-87177556.5174,-87202142.4136,6437.1806,-87192936.8114,
1200.000,496.1287,3801.6003,3254.0153,3128.9234,-4991.2087,-96667.1557,-98781.0209,-106316.7144,-101090.7867,-107393.0244,-104192.5273,-98922.9844,-99541.8349,-263781783.5169,-263810071.0521,-263788733.0161,-263784189.8183,-100558.1217,-263787990.5202,4090.7762,-2048.6450,3896.4295,4111.1836,-2161.8645,355870.5772,324080.5523,344058.3336,348462.3729,343355.5307,346009.3755,339310.5872,344958.4248,167910026.4525,167889398.7399,167931719.3739,167920514.3286,343503.3533,167926809.7770,-5315.0111,-5425.5421,4709.7885,-4623.1720,-4282.8024,8440.4714,7519.8097,4530.7356,13020.9816,10366.1088,-237.9680,214.2917,6189.4047,-87177921.6402,-87206688.2686,-87172234.1747,-87197189.7469,6594.6359,-87187779.3122,
1500.000,2551.3514,3065.2491,4803.4253,4850.8574,-6202.1684,-104279.2406,-105634.5336,-113533.0612,-108255.1163,-114643.5969,-111487.8237,-106124.6048,-106830.2843,-267383893.1887,-267411351.2543,-267391431.9140,-267385795.0134,-107773.0181,-267390127.7589,3280.8659,-3986.8735,2438.5584,3608.2683,-974.5333,353672.3982,321895.0097,342005.6137,346248.2672,341127.8967,343825.4739,337196.8065,342859.8148,162111580.1246,162090683.1249,162133107.9087,162122521.1480,341312.8930,162128445.5270,-5287.6430,-4774.3733,4351.9955,-3392.6981,-2916.2591,8555.3794,7666.1664,4734.3845,13069.0318,10685.2070,90.1565,190.9056,6828.1226,-87172922.7671,-87201697.2849,-87166925.4832,-87192215.6705,6752.0858,-87182621.6797,
1800.000,4352.5774,2080.4648,5909.7170,6086.4408,-6804.4997,-111842.0509,-112439.8658,-120699.5353,-115370.5742,-121842.0273,-118734.2560,-113282.6391,-114141.3966,-270858565.8188,-270885192.6221,-270866685.6087,-270859991.2555,-114940.2482,-270864831.6937,2174.8431,-5540.1963,779.2245,2786.7964,277.0979,351308.7181,319565.5731,339800.3205,343882.9862,338747.3056,341485.5702,334933.6359,340491.8195,156235900.0165,156214753.8088,156257235.6782,156247326.2087,338970.8621,156252846.6539,-4642.8658,-3613.6935,3527.7042,-1799.3506,-1236.3275,8669.9170,7812.4635,4941.8693,13111.6943,11000.8048,423.9512,173.3442,7461.1634,-87167928.1464,-87196705.4744,-87161630.3070,-87187220.4967,6909.5300,-87177463.9139,
2100.000,5700.8457,931.0303,6460.3300,6716.0252,-6733.4057,-119351.9203,-119194.0164,-127812.9068,-122433.9949,-128985.3051,-125928.2817,-120393.9355,-121457.0978,-274204146.1781,-274229940.4206,-274212837.5203,-274205125.1964,-122056.6272,-274210447.0558,885.2747,-6552.1604,-926.8227,1709.6824,1487.4594,348780.5730,317093.2973,337443.3928,341367.4547,336214.9937,338990.6721,332521.7577,337853.0222,150285786.4843,150264411.0755,150306903.6093,150297727.5250,336478.2970,150302813.3532,-3455.4251,-2066.8206,2325.1371,-13.2789,576.6315,8784.0823,7958.7018,5153.0947,13148.8488,11312.9057,763.4932,161.5257,8052.9538,-87162937.7041,-87191712.8291,-87156348.4949,-87182204.5489,7066.9685,-87172306.0150,
2400.000,6443.7392,-287.1649,6395.1141,6681.1723,-5991.8734,-126805.2007,-125894.0073,-134869.9674,-129442.2329,-136070.4342,-133066.3626,-127455.3520,-128755.0358,-277419040.5651,-277444001.4373,-277428292.6460,-277419604.8318,-129118.9927,-277425380.0975,-461.4435,-6919.3949,-2523.5309,463.5145,2556.4670,346089.0794,314479.2995,334935.8402,338702.6494,333532.2552,336341.8634,329961.9363,334951.7639,144264075.3410,144242490.6534,144284948.1428,144276558.5269,333836.3009,144281181.2791,-1863.4398,-298.7441,873.1884,1774.1921,2327.4575,8897.8729,8104.8821,5367.9580,13180.3691,11621.5147,1108.8626,155.3709,8569.9294,-87157951.3647,-87186719.3408,-87151079.8823,-87177168.1578,7224.4012,-87167147.9828,
