sl_20_86400_20240629 Coordinates.csv
2024/06/29 07:47:00.0000 UTC

Generated: Tue Oct  8 16:56:51 2024,
Start: 2024/06/29 07:47:00.00, Stop: 2024/06/30 07:47:00.00,
TIME_UNITS,STARLINK-30809 - X-Coordinate,STARLINK-30112 - X-Coordinate,STARLINK-3238 - X-Coordinate,STARLINK-3264 - X-Coordinate,STARLINK-4145 - X-Coordinate,STARLINK-30428 - X-Coordinate,STARLINK-4074 - X-Coordinate,STARLINK-6312 - X-Coordinate,STARLINK-3005 - X-Coordinate,STARLINK-2491 - X-Coordinate,STARLINK-11081 [DTC] - X-Coordinate,STARLINK-31538 - X-Coordinate,STARLINK-4122 - X-Coordinate,STARLINK-30435 - X-Coordinate,STARLINK-31662 - X-Coordinate,STARLINK-30117 - X-Coordinate,STARLINK-3831 - X-Coordinate,STARLINK-11140 [DTC] - X-Coordinate,STARLINK-4180 - X-Coordinate,STARLINK-4271 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-30809 - Y-Coordinate,STARLINK-30112 - Y-Coordinate,STARLINK-3238 - Y-Coordinate,STARLINK-3264 - Y-Coordinate,STARLINK-4145 - Y-Coordinate,STARLINK-30428 - Y-Coordinate,STARLINK-4074 - Y-Coordinate,STARLINK-6312 - Y-Coordinate,STARLINK-3005 - Y-Coordinate,STARLINK-2491 - Y-Coordinate,STARLINK-11081 [DTC] - Y-Coordinate,STARLINK-31538 - Y-Coordinate,STARLINK-4122 - Y-Coordinate,STARLINK-30435 - Y-Coordinate,STARLINK-31662 - Y-Coordinate,STARLINK-30117 - Y-Coordinate,STARLINK-3831 - Y-Coordinate,STARLINK-11140 [DTC] - Y-Coordinate,STARLINK-4180 - Y-Coordinate,STARLINK-4271 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-30809 - Z-Coordinate,STARLINK-30112 - Z-Coordinate,STARLINK-3238 - Z-Coordinate,STARLINK-3264 - Z-Coordinate,STARLINK-4145 - Z-Coordinate,STARLINK-30428 - Z-Coordinate,STARLINK-4074 - Z-Coordinate,STARLINK-6312 - Z-Coordinate,STARLINK-3005 - Z-Coordinate,STARLINK-2491 - Z-Coordinate,STARLINK-11081 [DTC] - Z-Coordinate,STARLINK-31538 - Z-Coordinate,STARLINK-4122 - Z-Coordinate,STARLINK-30435 - Z-Coordinate,STARLINK-31662 - Z-Coordinate,STARLINK-30117 - Z-Coordinate,STARLINK-3831 - Z-Coordinate,STARLINK-11140 [DTC] - Z-Coordinate,STARLINK-4180 - Z-Coordinate,STARLINK-4271 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
32400.000,-5068.1460,4301.2041,5280.6833,5890.4991,3750.6443,-1566.4407,-4771.2831,1694.9369,-4934.6076,4048.5504,3340.0684,1656.8099,-3346.1620,-4395.5172,110.3916,5955.7224,-3503.9882,3183.0883,-1698.9726,98.0158,333651.5027,313773.2621,321716.1520,332678.0953,326048.5637,326186.4735,329026.0138,327970.7304,151921381.8331,151880027.5328,151899268.4146,151904372.9029,326913.2697,151905246.6813,328.1128,-3282.2611,-2270.6636,1150.3026,-4492.6866,6741.3621,-252.0220,5062.3962,-4408.0899,-4065.3794,-4531.7606,5677.6678,-3912.2165,-2935.4504,-6154.7279,-3168.9926,-5845.5411,3458.4459,6383.5169,-4139.9224,-183763.3071,-153654.9987,-163849.9259,-163846.9738,-169512.2068,-165126.8044,-167071.6613,-168397.1460,-200521766.8073,-200472330.1272,-200496612.3653,-200503027.9375,-166993.3397,-200510687.1196,-4733.6430,4334.2354,-3859.0126,-3446.0670,-3699.1232,477.9311,4996.1256,-4437.1934,2104.4061,-3889.5931,3693.9566,3389.6508,4614.9497,-4351.6366,2930.1825,-1626.7114,1195.5714,-4848.1057,2046.0448,5534.7563,55181.5090,50973.1945,50287.1146,58480.4311,50302.2667,41606.2639,53055.3892,51411.2621,69393960.0649,69405797.5526,69380256.4787,69402172.7035,51202.5350,69399814.8036,
36000.000,4445.0857,-770.7288,-5323.1193,-3625.2274,-2812.9201,-771.1799,6210.9598,-4982.5290,2805.0824,-3304.9276,-1699.6596,-4536.0802,4317.9393,3917.6751,2675.2223,-4510.6272,4025.8302,-4539.6580,158.5573,3977.9465,369426.0217,343010.0464,354038.7641,363423.6374,356507.7964,358433.7691,355129.7523,356732.8271,198644360.0464,198592381.2948,198618441.8327,198619635.7702,358139.0887,198627159.5004,-4150.2931,5325.8389,4413.0470,2061.7247,6305.6568,-6196.6770,-2516.8556,-4426.9232,5530.6200,6086.4678,6421.3084,-2193.3794,-316.4340,-1707.3885,6196.8557,4858.8729,3021.6636,1587.0138,-6519.2033,4190.6139,-93341.7041,-69855.4291,-75511.0701,-76641.0687,-77041.8877,-77472.4159,-81155.6434,-78700.4391,-154311460.2406,-154269449.9308,-154292812.9455,-154295159.0787,-79695.6706,-154300834.1421,3329.2676,-4387.9172,-237.1027,5510.7872,-454.1286,3013.9977,-1734.7423,1916.6809,3117.8723,-149.5719,1132.3069,-4607.3408,-5402.5133,5334.8064,977.9155,-2050.3531,-4752.4057,4724.5136,2305.6576,-3814.8741,56669.4103,52550.7053,51092.3913,60534.8014,51493.9575,43454.0362,53712.8704,52338.3306,69430036.8104,69436571.7739,69412154.3054,69428926.2488,52937.8001,69432970.7189,
39600.000,-3018.6731,-2383.4235,2988.5556,1084.5123,534.6288,3550.8748,-5186.9799,6189.0252,267.1948,1116.2565,-1431.6604,6196.1542,-4943.9841,-3131.6220,-4428.8659,1147.5380,-4187.5463,4524.3434,2149.3956,-5969.7605,380971.5978,350392.9832,363813.4912,371392.2656,364772.3677,367478.7975,362295.6514,367973.9537,231798998.4094,231738839.8465,231772679.9956,231772574.5043,366480.1136,231781030.5446,6246.9657,-6261.9970,-4645.7967,-5418.4618,-5389.8214,3652.3459,3753.9380,2604.9879,-2298.2406,-5487.6137,-4294.7089,-1612.3822,3930.9759,5550.9760,-3095.2675,-5169.1337,1327.0572,-4975.5934,3970.6895,-3486.3203,3333.0538,18726.1398,17629.6903,15321.9570,17948.8675,15630.2859,10066.3120,12090.7905,-97584344.4722,-97552719.4627,-97573055.8461,-97575817.2486,12588.2612,-97574623.0987,53.3754,1794.5519,4159.2875,-4169.7291,4298.4947,-4717.2036,-2629.6050,1734.1298,-6553.7698,4070.5553,-4996.9760,2348.2572,2814.7445,-2501.0375,-4171.0122,4472.0697,5336.7654,-586.9740,-5246.5872,-295.3778,58111.8492,54127.0222,52386.8128,62059.3739,55742.4125,45950.4953,51678.0516,55460.6695,69466272.4466,69467295.5099,69444862.8872,69457413.8859,54667.6451,69466095.5186,
43200.000,421.0834,4258.2844,1176.7300,784.6774,2970.8228,-5920.8721,1643.0460,-5368.8019,-866.1018,2448.3744,4992.9603,-5212.3448,4130.9001,1474.5820,5141.2296,2902.1688,4131.5702,-1765.9173,-4844.4792,5366.1006,367425.4563,335411.5088,350351.2704,356133.4523,349307.6343,352624.4120,347782.2411,349986.1534,249126563.0655,249061515.6995,249103321.1407,249104441.8974,351432.0909,249108310.0342,-6021.6562,5153.2120,4008.5650,6869.5684,2981.1395,-497.6498,-4076.4870,563.5930,-3146.5646,3389.7434,430.0570,4075.5965,-5343.7894,-6325.5340,-1516.6865,4681.0661,-4892.9248,5083.8315,-512.4756,1190.8521,99818.2529,106513.5012,109629.9289,106190.0282,110299.4842,108024.8338,101062.3915,103966.2943,-34214731.1910,-34195528.4520,-34210003.4472,-34213044.3472,103961.6058,-34206159.5379,-3427.5930,1852.0902,-5520.8267,211.0112,-5497.7995,3571.8680,5335.8366,-4364.4471,6120.7251,-5528.6091,4495.1601,1652.4992,1499.1946,-2159.6380,4208.8093,-4225.3336,-2629.6481,-4077.3595,4902.7950,4196.2355,59508.0696,55704.5402,54286.8974,62987.3583,59763.5012,49136.7364,50533.3214,55272.0917,69502465.5025,69497981.8585,69478526.2150,69488485.5735,56391.8958,69499189.1963,
46800.000,2967.8648,-5005.3143,-5041.2398,-2218.5885,-6059.6901,6614.2412,2709.9274,3430.3795,-1343.4000,-5782.3818,-6273.9397,1465.6633,-1160.7663,1546.1249,-4464.8959,-5816.3753,-2971.9298,-2926.2666,6425.9203,-3344.8035,329626.3680,298954.6319,314464.0183,318587.2604,311357.0686,314823.4013,311233.9572,315133.7659,249449126.6002,249382956.0377,249431702.1349,249434440.6579,313985.2136,249431128.5005,4113.3942,-1923.3341,-3255.0422,-5295.6487,-656.3837,-2074.8578,4241.7452,-4160.6219,6470.9181,-1260.2299,2459.8490,-4980.5120,4743.2458,4110.8513,5040.2627,-3500.1138,6003.8859,-3080.5269,-2065.5882,2514.6634,189634.2771,187984.5886,194563.2323,190152.6125,195088.5575,193456.1253,185988.3884,188971.7251,31470845.4218,31476742.7404,31471387.8357,31470052.0406,188593.5994,31478292.5825,4722.9612,-4411.0799,3434.7048,3852.6780,3266.1805,-302.2975,-4754.4591,4354.4843,-2141.4345,3591.9200,-107.1516,-4434.2095,-4906.5177,5238.5390,-1100.3191,1421.0001,-1735.9509,5233.1167,-1529.8404,-5516.2079,60856.8121,57286.6245,56745.3488,63194.3297,63278.2006,53099.4710,50271.9177,59389.0666,69538415.2496,69528643.0889,69513295.3044,69522042.6328,58110.3788,69532251.7460,
50400.000,-5920.8743,4985.0980,6542.4394,3857.3401,6779.4491,-4845.7095,-5562.1465,-1273.1588,3388.7654,6900.2015,3482.9560,3156.6879,-2993.6380,-5018.2820,1818.9470,6425.0304,104.7933,6414.7705,-5365.9902,1329.4614,270078.4715,243253.8677,258452.7715,260882.7101,253546.6315,256732.1765,254495.0749,255754.3597,232749650.7228,232686171.5628,232739276.1184,232741733.4512,256558.6502,232732364.2823,-1695.1568,-2153.5430,2121.0727,1523.9698,-989.8085,3825.9304,-3934.2060,6594.1967,-5192.0730,-346.6734,-3739.3815,4640.7090,-3363.5278,-906.3062,-5924.9622,1378.8988,-4776.6384,818.5867,3336.6082,-5875.2472,266708.3541,258019.6142,266929.3747,261726.6054,267310.4432,265839.9968,259294.5519,260455.8240,94989060.5440,94982000.7577,94988901.7407,94990953.6513,261092.0655,94995671.9292,-3202.6354,4309.0742,762.7994,-5542.5044,970.0461,-3172.4822,1202.2317,-1747.2584,-3137.6436,515.8588,-4398.2306,3868.5749,5243.8499,-4569.9544,-2857.6259,2215.5693,4996.7639,-1941.1965,-2821.7714,3396.1457,62156.2711,58878.3189,59563.6844,62454.2703,66289.0293,57965.1893,50764.1340,58307.6277,69573934.7005,69559290.8968,69549308.0478,69557846.0755,59822.9214,69565283.1613,
54000.000,6907.0910,-4216.5565,-5245.9812,-5334.0374,-4488.5014,1203.5998,5780.2179,-944.7098,-2129.3804,-5030.7243,1739.8716,-6059.3173,6173.7490,6641.2647,2256.7239,-4946.0572,3746.8272,-5883.4439,1761.5711,242.7035,192802.3527,171743.2903,185966.2296,185365.4162,179672.9156,182913.2057,180980.3027,183177.3079,200172797.6159,200115458.4990,200168651.2572,200167315.0033,182843.8098,200156476.7253,-602.9309,5262.7326,189.8110,2271.4130,2518.6921,-4929.3613,2236.4813,-6597.9820,926.9656,1984.4998,4088.8375,-3107.9554,2074.7985,-1535.9931,4445.4469,1760.1093,2662.7148,1322.2967,-3949.9799,6868.4736,325795.7726,312227.3212,322056.9252,315992.9723,322598.6314,318959.1428,316112.6983,317491.8833,152005843.5761,151987324.3037,152008693.6812,152013827.3632,316847.2746,152012095.6064,-261.8572,-1644.8434,-4512.2234,3765.5266,-4629.8847,4720.9575,3071.0170,-1933.1601,6534.8643,-4334.8356,5056.0157,-419.5171,-2345.0551,588.9541,4645.3372,-4541.6890,-5177.6250,-3035.4214,5390.8187,809.0048,63404.0710,60487.8017,62445.3829,60628.1726,68807.3041,63382.9032,51933.0505,63133.9939,69608862.7185,69589936.6275,69586636.7805,69595518.0703,61529.3520,69598283.4362,
57600.000,-5305.0453,2232.5790,2476.8869,5373.2686,541.5300,2667.1694,-4095.2756,3267.7068,-2277.3779,1343.2277,-5577.8682,5937.1977,-6589.9626,-4855.9243,-5836.9136,2476.0727,-6530.5262,1785.7852,2545.5561,-1978.1481,103085.2247,88847.8448,101734.5875,94918.7446,94489.4610,99039.8414,95341.7635,97577.7761,153946441.7137,153897980.5744,153945590.9932,153936839.5897,97566.5309,153931071.1193,2711.6405,-6251.4185,-3477.1403,-4346.8945,-4289.1656,5398.1048,1153.0493,4212.3255,2318.1737,-4002.9312,-3539.9203,120.9611,-559.5780,2970.0537,-1937.1994,-4992.7099,-821.8474,-3629.1802,4474.8460,-4839.9440,362849.2330,347234.2006,356442.1758,350682.4530,357596.7821,349321.4977,352610.4865,351776.0693,198632134.5879,198604581.9852,198640711.7813,198645079.8786,352325.2125,198638566.4116,3545.3760,-2028.6224,5435.5976,332.1136,5393.2702,-3454.7689,-5462.3309,4428.8895,-6143.1263,5482.7932,-1340.8841,-3367.6873,-2037.0552,3790.7653,-2958.7067,4121.1382,2124.5233,5392.3290,-4627.8306,-4537.4058,64597.3832,62129.8203,65075.3041,61786.3117,70826.3719,64003.6283,53745.8657,61487.4777,69643074.4526,69620591.4803,69625178.4885,69634045.2830,63229.4993,69631252.5643,
61200.000,1914.4029,963.9817,50.6515,-2953.8250,2862.9548,-5171.5193,2008.8111,-5413.0272,6279.4359,2071.5905,5615.8442,-3460.5684,4287.9574,493.1061,6711.8341,-46.8900,6511.2138,2665.7402,-5294.8359,4131.6675,7154.3418,-275.0640,11214.2789,829.9812,3428.9435,8723.7070,3136.9094,5875.4803,97229271.2812,97191484.5570,97227420.0710,97211578.6117,6183.5527,97214570.8142,-4716.9564,5216.1312,6236.7202,4595.8801,5631.5366,-4623.9793,-4898.5917,-739.5494,-2070.0659,5729.6522,1095.9167,3641.4026,-1766.4083,-4096.7826,-745.9952,6826.9275,-717.7901,5335.7529,-4344.7098,1115.5740,375310.6901,360934.3215,367978.2837,363560.7594,370192.2147,361118.0606,366277.1907,365466.5718,231689162.9026,231655614.8770,231703946.8561,231699467.7573,365291.5882,231696234.9823,-4720.8553,4463.0175,-3004.8419,-4249.3779,-2831.6227,93.5850,4446.3012,-4282.5406,2119.7602,-3304.9318,-3565.3535,4605.2985,5126.3045,-5464.5771,-974.1738,-1242.9763,2224.3809,-3165.8268,963.4286,5428.3662,65733.7029,63835.5875,67204.1009,65998.7322,72314.6074,61932.7816,56206.3382,66653.8322,69676489.4229,69651266.7010,69664490.2297,69670130.0687,64923.1934,69664190.5397,
64800.000,1635.5479,-4487.5320,-1725.1173,-1231.8063,-4427.5195,5702.6431,-350.8266,6352.8325,-6199.5200,-3890.6007,-2777.5236,340.4094,-955.5456,3707.9597,-4275.6723,-2115.9708,-3712.1662,-4733.6720,5527.3120,-5858.5371,-88177.2976,-89942.9546,-79803.1405,-91795.9750,-87715.6871,-82552.2820,-89535.8466,-85081.0522,33894914.7318,33868561.4706,33888068.3492,33875681.8623,-85467.1947,33880412.9646,6010.2018,-3173.3235,-6570.2395,-4000.8315,-5098.9732,2158.5433,6877.7339,-2315.0587,-334.0186,-5658.9002,3000.3659,-6377.7510,4635.3173,4782.4055,3304.5951,-6156.2037,2634.3952,-4465.9868,2557.4895,2183.6967,362308.1129,352740.2226,356055.8614,352800.7040,359644.4088,351315.2604,356127.0564,355080.0292,248925150.4133,248888898.2218,248943813.4372,248926967.0965,354952.3811,248933123.7358,3045.7129,-4243.0245,-1318.0172,5498.6748,-1513.7391,3300.2729,-693.7214,1544.7168,3103.5414,-916.8130,5346.6601,-2406.6841,-5053.0529,3185.2759,4152.5475,-2405.5266,-5216.0636,-1791.4231,3275.5391,-2973.5846,66814.9490,65692.4355,68714.9975,69982.4851,73205.2210,60751.1113,59355.5768,64836.5183,69709076.7321,69681973.7736,69703701.9340,69699367.8518,66610.2649,69697097.3563,
68400.000,-4019.0132,6715.3635,3012.1090,5068.6699,4413.3185,-4819.1930,-1275.5109,-5145.3968,1871.8224,4249.5197,-346.0443,2346.3690,-1655.1706,-5463.5074,87.0883,4072.0278,-84.2944,4279.4390,-4072.6720,5585.2097,-175737.3786,-173113.5056,-165568.3979,-178023.6416,-173118.7171,-168923.1498,-176406.2865,-171811.4138,-31732644.9560,-31747807.7118,-31746287.2921,-31746058.4751,-171540.0280,-31747486.9284,-5638.2269,941.1105,3966.6725,3317.8109,2094.7928,1603.7835,-5825.1295,4148.1279,1383.6550,3024.0435,-6250.5707,6200.6210,-6463.9756,-3887.2278,-5358.8286,3228.6107,-4824.9663,421.2451,1042.9006,-3856.5594,324779.1857,323643.6040,321547.2736,319346.1567,326597.6199,319262.2641,322819.0767,321386.3380,249168669.4981,249132912.5683,249186953.3204,249168219.8269,322002.0995,249177537.0627,437.2658,1462.2539,4794.8327,-3349.4447,4892.0430,-4733.2590,-3515.8459,2099.5000,-6548.8018,4551.2925,-2503.0055,-1621.7424,1820.2191,1364.4991,-4226.8509,4585.6133,4949.4693,5191.7669,-5499.2858,-1351.1983,67875.0905,68096.7665,69655.0399,73458.7966,73373.7844,60451.7093,63280.3094,69933.4315,69740857.0662,69712724.6163,69741763.9772,69725848.5259,68290.5453,69729973.0078,
72000.000,5016.8326,-6469.3852,-4432.4187,-6511.3658,-3899.6191,3265.4600,3354.8875,1821.1933,3145.9520,-4124.8637,2453.8378,-4297.5266,3017.0949,4682.4249,3512.3808,-5629.7775,2889.2785,-2807.2444,2310.9191,-2683.8018,-247178.9954,-242940.6392,-240709.8306,-252760.1618,-247207.6961,-244748.6188,-251303.1710,-246527.0792,-95174288.1870,-95179363.3329,-95193579.4556,-95183050.4225,-246554.7545,-95189935.2807,3077.2795,1240.9868,169.3766,-2154.7319,2258.2012,-5144.0777,2463.7421,-4959.3046,815.3288,1249.9754,5740.5853,-2921.5253,5691.8098,622.0440,5741.2700,510.1718,6075.0811,4500.6023,-4909.2719,4178.2376,266594.6124,271007.4539,266706.2639,265538.3050,272898.1061,266521.0762,268729.6823,269413.7122,232408218.5984,232375777.3545,232421938.6583,232412675.4864,268576.8471,232417707.1397,-3681.0783,2172.3819,-5315.9858,-908.9472,-5256.7184,3308.1309,5518.7878,-4503.2927,6127.9988,-5429.0031,-2542.4424,4409.3708,2519.7326,-4956.5861,1103.9086,-4028.9161,-1631.4502,-4179.5902,4282.5072,4810.9609,69375.7968,70832.7064,70222.4425,76430.2169,72594.2770,60904.8838,68107.0283,68359.1074,69771901.3541,69743531.7928,69777962.5934,69754090.7733,69963.8671,69762817.4884,
75600.000,-5020.9744,3900.4241,5359.6880,5179.6232,3251.2718,-1360.3477,-5441.1059,2254.6813,-4930.0914,3841.3701,-3823.8170,5368.7554,-3820.3729,-2823.1542,-5118.6580,5909.0250,-4034.4853,966.3416,-825.6148,-1687.0522,-301784.9166,-298989.1776,-300523.7609,-311483.6433,-304901.9686,-305003.5159,-307856.8139,-305301.9039,-152101450.6436,-152098190.0527,-152123125.2262,-152110597.8043,-305745.8596,-152118171.7097,886.6425,-3536.0012,-3573.0652,-189.5981,-5638.5778,6803.0080,1163.5205,5045.3453,-4393.9112,-4934.2436,-1429.6117,-1584.9115,-2246.9546,3764.4185,-3503.3501,-3482.1975,-4918.9462,-6665.2525,6857.5487,-4113.0270,199947.6684,200692.8382,195014.0106,194920.0215,200639.6887,196254.9397,198175.8658,197039.2382,199792620.0563,199765734.2325,199799355.3184,199804508.8623,198115.3864,199802261.5488,4694.5498,-4527.0702,2515.9927,4574.5600,2339.1127,82.7232,-4120.5451,4183.8805,-2156.6140,2972.3914,5351.6492,-3907.6269,-5317.8922,4958.7910,2828.8137,1032.0312,-2725.8671,-428.1409,-422.4219,-5308.2881,72534.5996,72907.3839,70713.4222,78908.0717,70727.9734,62033.7317,73484.3115,72985.1741,69802326.1742,69774408.7463,69812164.8689,69784916.8415,71630.0636,69795630.7919,
79200.000,4369.4190,-364.4412,-4530.0989,-2444.1305,-1879.5035,-1105.1696,6014.6831,-5261.4858,2807.4656,-2775.5995,4561.5745,-4764.4130,4535.8208,1050.1694,4924.4425,-4158.4503,4156.6093,1609.2875,-921.6872,5190.0699,-342594.8575,-336524.1203,-341231.8347,-350623.8649,-343711.1648,-345641.2300,-342367.3362,-346192.2773,-198631428.9673,-198621994.8617,-198651589.1129,-198645841.2067,-345365.3699,-198649226.0977,-4541.8104,5539.9410,4900.7640,3550.6064,6348.4996,-5922.8356,-3417.6445,-4311.9124,5536.1023,6217.1604,-3490.4009,4862.3926,-2059.1845,-6615.2422,-833.3001,4921.6237,1315.5732,4614.8387,-5758.3919,3831.5201,121663.0727,118913.4062,110985.8266,112037.7903,112495.5332,112911.0327,116623.9000,116129.7615,153552249.4961,153532469.6037,153551881.6088,153569735.1843,115137.2731,153561503.7023,-2909.3227,4151.7286,1823.8632,-5416.8615,2006.7727,-3447.4258,142.6891,-1369.7913,-3123.4069,1276.4822,-3531.5988,451.9384,4792.4483,-1414.0833,-4653.1178,2562.9551,5364.3069,4644.9499,-3726.8728,2493.7570,75280.5332,74747.5326,71442.7686,80885.7129,71846.4366,63805.4659,74062.1566,72037.6042,69832286.2039,69805370.0685,69844633.4474,69818224.9805,73288.9692,69828412.9123,
82800.000,-2780.0460,-2602.6002,1356.3308,-38.8801,-877.1653,3916.3748,-3971.2425,6152.8089,257.1248,159.6877,-3429.1780,1924.7361,-4641.2434,839.9677,-3557.9719,558.7262,-4087.5710,-4618.3176,3307.9659,-6142.5626,-363707.4039,-352887.5938,-360213.4093,-367809.1468,-361166.2521,-363892.6346,-358757.6211,-361582.2764,-231592161.0777,-231578895.1662,-231607516.6790,-231614174.6744,-362920.1349,-231610768.8209,6324.6965,-6300.0844,-4530.4733,-6290.3060,-4563.7319,3225.6668,4106.4629,2249.9511,-2322.0979,-5025.0235,5634.8233,-5634.1346,4964.7653,6006.1825,5005.0350,-5134.5068,3031.3394,-340.5392,2493.1248,-2595.2937,34231.8278,30783.8219,19932.4686,22176.9381,19605.9750,21901.2065,27510.7242,24161.6291,96846504.9882,96834667.1803,96840873.0083,96864837.6535,24952.4122,96854900.9332,-644.5720,-1308.4227,-5055.4176,2870.1728,-5131.6435,4721.4005,3897.6653,-2290.8476,6529.9215,-4771.2101,-1383.8451,3320.3379,-1310.9721,-3175.2486,2961.0593,-4638.3182,-4694.5541,-4915.5017,5531.9319,1845.2289,77684.9413,76474.5921,72659.4365,82331.5182,76016.7291,66223.8584,71949.1890,75845.6905,69861964.2020,69836431.8154,69875757.0620,69853776.2639,74940.4190,69861163.8438,
86400.000,33.0511,4345.9915,2931.0180,1664.9927,4336.2015,-6168.2661,-147.8071,-5115.8312,-869.6724,3480.1302,-274.1442,2406.4357,3002.3617,-3255.8577,1283.7642,3434.2193,3607.1851,5946.1322,-5634.4103,4713.7076,-362577.6437,-347060.9801,-356202.3850,-362011.1169,-355149.6498,-358485.5132,-353704.1843,-358900.0785,-248738434.5087,-248723658.1260,-248747033.5484,-248766338.5111,-357328.5084,-248757389.2000,-5806.3122,4879.3509,3593.2662,6558.6086,1863.0881,-153.2778,-4146.9460,1067.5000,-3117.0385,2714.9754,-4418.9469,4413.0039,-5460.4659,-2528.6122,-6632.2088,4579.2537,-5801.3993,-3038.9982,910.2899,-269.9500,-56831.3955,-58242.4910,-72338.9523,-68947.7812,-72998.8229,-70753.2568,-63748.7026,-66283.1568,33547949.9568,33544213.3792,33540125.5555,33561541.9637,-66679.2576,33555209.2525,3787.6198,-2342.6625,5125.7595,1439.4292,5050.7520,-3180.3951,-5542.6334,4552.1838,-6150.2798,5329.9963,5070.7411,-4620.5802,-3011.6512,5452.5018,938.8237,3909.3773,1088.9612,963.5043,-3917.0103,-5063.4941,79885.7890,78131.6466,74479.7826,83178.6991,79957.0844,69330.0328,70724.5166,75832.7237,69891559.1723,69867611.8892,69905903.9351,69891189.9397,76584.2494,69893883.5803,
