sl_100_86400_20240608 Coordinates.csv
2024/06/08 07:47:00.0000 UTC

Generated: Tue Oct  8 16:19:58 2024,
Start: 2024/06/08 07:47:00.00, Stop: 2024/06/09 07:47:00.00,
TIME_UNITS,STARLINK-4624 - X-Coordinate,STARLINK-2659 - X-Coordinate,STARLINK-1641 - X-Coordinate,STARLINK-1094 - X-Coordinate,STARLINK-5412 - X-Coordinate,STARLINK-3450 - X-Coordinate,STARLINK-3259 - X-Coordinate,STARLINK-6065 - X-Coordinate,STARLINK-5235 - X-Coordinate,STARLINK-4320 - X-Coordinate,STARLINK-30423 - X-Coordinate,STARLINK-1605 - X-Coordinate,STARLINK-30803 - X-Coordinate,STARLINK-6121 - X-Coordinate,STARLINK-6142 - X-Coordinate,STARLINK-31183 - X-Coordinate,STARLINK-32118 - X-Coordinate,STARLINK-6290 - X-Coordinate,STARLINK-6252 - X-Coordinate,STARLINK-3613 - X-Coordinate,STARLINK-3584 - X-Coordinate,STARLINK-1845 - X-Coordinate,STARLINK-1727 - X-Coordinate,STARLINK-5199 - X-Coordinate,STARLINK-31323 - X-Coordinate,STARLINK-3744 - X-Coordinate,STARLINK-30434 - X-Coordinate,STARLINK-3456 - X-Coordinate,STARLINK-5205 - X-Coordinate,STARLINK-5165 - X-Coordinate,STARLINK-3773 - X-Coordinate,STARLINK-4771 - X-Coordinate,STARLINK-30471 - X-Coordinate,STARLINK-1860 - X-Coordinate,STARLINK-3945 - X-Coordinate,STARLINK-30085 - X-Coordinate,STARLINK-4441 - X-Coordinate,STARLINK-31774 - X-Coordinate,STARLINK-4376 - X-Coordinate,STARLINK-4331 - X-Coordinate,STARLINK-5062 - X-Coordinate,STARLINK-1882 - X-Coordinate,STARLINK-1810 - X-Coordinate,STARLINK-5492 - X-Coordinate,STARLINK-3252 - X-Coordinate,STARLINK-6309 - X-Coordinate,STARLINK-30195 - X-Coordinate,STARLINK-2299 - X-Coordinate,STARLINK-1866 - X-Coordinate,STARLINK-3778 - X-Coordinate,STARLINK-5999 - X-Coordinate,STARLINK-3937 - X-Coordinate,STARLINK-3314 - X-Coordinate,STARLINK-5642 - X-Coordinate,STARLINK-30944 - X-Coordinate,STARLINK-1240 - X-Coordinate,STARLINK-6130 - X-Coordinate,STARLINK-31514 - X-Coordinate,STARLINK-1531 - X-Coordinate,STARLINK-5685 - X-Coordinate,STARLINK-11282 [DTC] - X-Coordinate,STARLINK-4009 - X-Coordinate,STARLINK-6247 - X-Coordinate,STARLINK-4077 - X-Coordinate,STARLINK-4210 - X-Coordinate,STARLINK-2511 - X-Coordinate,STARLINK-3458 - X-Coordinate,STARLINK-5871 - X-Coordinate,STARLINK-31255 - X-Coordinate,STARLINK-1635 - X-Coordinate,STARLINK-5237 - X-Coordinate,STARLINK-5969 - X-Coordinate,STARLINK-11190 [DTC] - X-Coordinate,STARLINK-4284 - X-Coordinate,STARLINK-4798 - X-Coordinate,STARLINK-30480 - X-Coordinate,STARLINK-31108 - X-Coordinate,STARLINK-1055 - X-Coordinate,STARLINK-3258 - X-Coordinate,STARLINK-30147 - X-Coordinate,STARLINK-3669 - X-Coordinate,STARLINK-4018 - X-Coordinate,STARLINK-30887 - X-Coordinate,STARLINK-5710 - X-Coordinate,STARLINK-4119 - X-Coordinate,STARLINK-31547 - X-Coordinate,STARLINK-4176 - X-Coordinate,STARLINK-6176 - X-Coordinate,STARLINK-3963 - X-Coordinate,STARLINK-2325 - X-Coordinate,STARLINK-1793 - X-Coordinate,STARLINK-4012 - X-Coordinate,STARLINK-1815 - X-Coordinate,STARLINK-3057 - X-Coordinate,STARLINK-31910 - X-Coordinate,STARLINK-31892 - X-Coordinate,STARLINK-32045 - X-Coordinate,STARLINK-4355 - X-Coordinate,STARLINK-31385 - X-Coordinate,STARLINK-32151 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-4624 - Y-Coordinate,STARLINK-2659 - Y-Coordinate,STARLINK-1641 - Y-Coordinate,STARLINK-1094 - Y-Coordinate,STARLINK-5412 - Y-Coordinate,STARLINK-3450 - Y-Coordinate,STARLINK-3259 - Y-Coordinate,STARLINK-6065 - Y-Coordinate,STARLINK-5235 - Y-Coordinate,STARLINK-4320 - Y-Coordinate,STARLINK-30423 - Y-Coordinate,STARLINK-1605 - Y-Coordinate,STARLINK-30803 - Y-Coordinate,STARLINK-6121 - Y-Coordinate,STARLINK-6142 - Y-Coordinate,STARLINK-31183 - Y-Coordinate,STARLINK-32118 - Y-Coordinate,STARLINK-6290 - Y-Coordinate,STARLINK-6252 - Y-Coordinate,STARLINK-3613 - Y-Coordinate,STARLINK-3584 - Y-Coordinate,STARLINK-1845 - Y-Coordinate,STARLINK-1727 - Y-Coordinate,STARLINK-5199 - Y-Coordinate,STARLINK-31323 - Y-Coordinate,STARLINK-3744 - Y-Coordinate,STARLINK-30434 - Y-Coordinate,STARLINK-3456 - Y-Coordinate,STARLINK-5205 - Y-Coordinate,STARLINK-5165 - Y-Coordinate,STARLINK-3773 - Y-Coordinate,STARLINK-4771 - Y-Coordinate,STARLINK-30471 - Y-Coordinate,STARLINK-1860 - Y-Coordinate,STARLINK-3945 - Y-Coordinate,STARLINK-30085 - Y-Coordinate,STARLINK-4441 - Y-Coordinate,STARLINK-31774 - Y-Coordinate,STARLINK-4376 - Y-Coordinate,STARLINK-4331 - Y-Coordinate,STARLINK-5062 - Y-Coordinate,STARLINK-1882 - Y-Coordinate,STARLINK-1810 - Y-Coordinate,STARLINK-5492 - Y-Coordinate,STARLINK-3252 - Y-Coordinate,STARLINK-6309 - Y-Coordinate,STARLINK-30195 - Y-Coordinate,STARLINK-2299 - Y-Coordinate,STARLINK-1866 - Y-Coordinate,STARLINK-3778 - Y-Coordinate,STARLINK-5999 - Y-Coordinate,STARLINK-3937 - Y-Coordinate,STARLINK-3314 - Y-Coordinate,STARLINK-5642 - Y-Coordinate,STARLINK-30944 - Y-Coordinate,STARLINK-1240 - Y-Coordinate,STARLINK-6130 - Y-Coordinate,STARLINK-31514 - Y-Coordinate,STARLINK-1531 - Y-Coordinate,STARLINK-5685 - Y-Coordinate,STARLINK-11282 [DTC] - Y-Coordinate,STARLINK-4009 - Y-Coordinate,STARLINK-6247 - Y-Coordinate,STARLINK-4077 - Y-Coordinate,STARLINK-4210 - Y-Coordinate,STARLINK-2511 - Y-Coordinate,STARLINK-3458 - Y-Coordinate,STARLINK-5871 - Y-Coordinate,STARLINK-31255 - Y-Coordinate,STARLINK-1635 - Y-Coordinate,STARLINK-5237 - Y-Coordinate,STARLINK-5969 - Y-Coordinate,STARLINK-11190 [DTC] - Y-Coordinate,STARLINK-4284 - Y-Coordinate,STARLINK-4798 - Y-Coordinate,STARLINK-30480 - Y-Coordinate,STARLINK-31108 - Y-Coordinate,STARLINK-1055 - Y-Coordinate,STARLINK-3258 - Y-Coordinate,STARLINK-30147 - Y-Coordinate,STARLINK-3669 - Y-Coordinate,STARLINK-4018 - Y-Coordinate,STARLINK-30887 - Y-Coordinate,STARLINK-5710 - Y-Coordinate,STARLINK-4119 - Y-Coordinate,STARLINK-31547 - Y-Coordinate,STARLINK-4176 - Y-Coordinate,STARLINK-6176 - Y-Coordinate,STARLINK-3963 - Y-Coordinate,STARLINK-2325 - Y-Coordinate,STARLINK-1793 - Y-Coordinate,STARLINK-4012 - Y-Coordinate,STARLINK-1815 - Y-Coordinate,STARLINK-3057 - Y-Coordinate,STARLINK-31910 - Y-Coordinate,STARLINK-31892 - Y-Coordinate,STARLINK-32045 - Y-Coordinate,STARLINK-4355 - Y-Coordinate,STARLINK-31385 - Y-Coordinate,STARLINK-32151 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-4624 - Z-Coordinate,STARLINK-2659 - Z-Coordinate,STARLINK-1641 - Z-Coordinate,STARLINK-1094 - Z-Coordinate,STARLINK-5412 - Z-Coordinate,STARLINK-3450 - Z-Coordinate,STARLINK-3259 - Z-Coordinate,STARLINK-6065 - Z-Coordinate,STARLINK-5235 - Z-Coordinate,STARLINK-4320 - Z-Coordinate,STARLINK-30423 - Z-Coordinate,STARLINK-1605 - Z-Coordinate,STARLINK-30803 - Z-Coordinate,STARLINK-6121 - Z-Coordinate,STARLINK-6142 - Z-Coordinate,STARLINK-31183 - Z-Coordinate,STARLINK-32118 - Z-Coordinate,STARLINK-6290 - Z-Coordinate,STARLINK-6252 - Z-Coordinate,STARLINK-3613 - Z-Coordinate,STARLINK-3584 - Z-Coordinate,STARLINK-1845 - Z-Coordinate,STARLINK-1727 - Z-Coordinate,STARLINK-5199 - Z-Coordinate,STARLINK-31323 - Z-Coordinate,STARLINK-3744 - Z-Coordinate,STARLINK-30434 - Z-Coordinate,STARLINK-3456 - Z-Coordinate,STARLINK-5205 - Z-Coordinate,STARLINK-5165 - Z-Coordinate,STARLINK-3773 - Z-Coordinate,STARLINK-4771 - Z-Coordinate,STARLINK-30471 - Z-Coordinate,STARLINK-1860 - Z-Coordinate,STARLINK-3945 - Z-Coordinate,STARLINK-30085 - Z-Coordinate,STARLINK-4441 - Z-Coordinate,STARLINK-31774 - Z-Coordinate,STARLINK-4376 - Z-Coordinate,STARLINK-4331 - Z-Coordinate,STARLINK-5062 - Z-Coordinate,STARLINK-1882 - Z-Coordinate,STARLINK-1810 - Z-Coordinate,STARLINK-5492 - Z-Coordinate,STARLINK-3252 - Z-Coordinate,STARLINK-6309 - Z-Coordinate,STARLINK-30195 - Z-Coordinate,STARLINK-2299 - Z-Coordinate,STARLINK-1866 - Z-Coordinate,STARLINK-3778 - Z-Coordinate,STARLINK-5999 - Z-Coordinate,STARLINK-3937 - Z-Coordinate,STARLINK-3314 - Z-Coordinate,STARLINK-5642 - Z-Coordinate,STARLINK-30944 - Z-Coordinate,STARLINK-1240 - Z-Coordinate,STARLINK-6130 - Z-Coordinate,STARLINK-31514 - Z-Coordinate,STARLINK-1531 - Z-Coordinate,STARLINK-5685 - Z-Coordinate,STARLINK-11282 [DTC] - Z-Coordinate,STARLINK-4009 - Z-Coordinate,STARLINK-6247 - Z-Coordinate,STARLINK-4077 - Z-Coordinate,STARLINK-4210 - Z-Coordinate,STARLINK-2511 - Z-Coordinate,STARLINK-3458 - Z-Coordinate,STARLINK-5871 - Z-Coordinate,STARLINK-31255 - Z-Coordinate,STARLINK-1635 - Z-Coordinate,STARLINK-5237 - Z-Coordinate,STARLINK-5969 - Z-Coordinate,STARLINK-11190 [DTC] - Z-Coordinate,STARLINK-4284 - Z-Coordinate,STARLINK-4798 - Z-Coordinate,STARLINK-30480 - Z-Coordinate,STARLINK-31108 - Z-Coordinate,STARLINK-1055 - Z-Coordinate,STARLINK-3258 - Z-Coordinate,STARLINK-30147 - Z-Coordinate,STARLINK-3669 - Z-Coordinate,STARLINK-4018 - Z-Coordinate,STARLINK-30887 - Z-Coordinate,STARLINK-5710 - Z-Coordinate,STARLINK-4119 - Z-Coordinate,STARLINK-31547 - Z-Coordinate,STARLINK-4176 - Z-Coordinate,STARLINK-6176 - Z-Coordinate,STARLINK-3963 - Z-Coordinate,STARLINK-2325 - Z-Coordinate,STARLINK-1793 - Z-Coordinate,STARLINK-4012 - Z-Coordinate,STARLINK-1815 - Z-Coordinate,STARLINK-3057 - Z-Coordinate,STARLINK-31910 - Z-Coordinate,STARLINK-31892 - Z-Coordinate,STARLINK-32045 - Z-Coordinate,STARLINK-4355 - Z-Coordinate,STARLINK-31385 - Z-Coordinate,STARLINK-32151 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,-507.8427,1243.4130,500.8508,-5115.6483,-3625.2062,4088.4094,-887.7372,-2719.7789,4528.1177,-3159.5522,-608.0646,3762.3564,1743.8765,-1921.6886,-765.1582,1370.1841,-936.7349,4307.0441,3105.3351,-5251.8543,3684.8328,-1584.0933,-5887.6456,-10.8285,-1435.4550,-4648.7586,5353.6603,1976.4846,2737.3475,-3949.9156,4411.4575,2618.6756,-1007.2842,1918.2585,4892.3833,6027.8322,-474.6439,5138.3306,-2861.8266,1796.2311,6459.3535,4473.8399,-4413.9049,-1853.7209,-5397.4194,4524.4773,-5003.5634,3927.4933,-3875.3241,3617.2706,1914.4815,-2828.8843,-5162.2968,-941.4313,-4376.3523,-498.1267,969.4101,-796.3650,-4071.4985,-1499.5329,5229.4561,671.3142,4884.5094,4944.7111,6510.2757,2821.5406,216.3739,2291.0714,3467.3933,2531.1326,6213.3844,5090.6618,-3481.1985,4954.6187,-3996.6007,-2716.9579,4969.4561,4761.7459,-6073.5765,-652.6355,-6823.1043,-3024.3533,-1105.9827,-520.5796,423.1106,-1110.4252,2160.1065,-3014.5351,-2388.9156,3645.7952,4835.7177,-3204.7546,-1069.5560,-4556.3517,-2347.7024,265.6848,2238.8463,5069.8198,-4511.3518,-5847.7076,-22053.9784,1874.2052,-12063.7494,-16348.1673,-11478.9186,-13757.0450,-6710.4002,-9813.7200,-261817606.8735,-261820562.8535,-261804746.9792,-261810171.8781,-11178.1987,-261807836.2255,1295.9769,-3981.6970,-5947.6298,-3038.1507,3733.8224,5239.0449,4976.8838,-5801.5591,-2162.4132,-1049.9461,-4065.7085,1871.3082,6425.9420,-6088.6137,-5976.4801,-6792.9889,4021.8990,-2795.3174,5152.3893,-2913.0623,-2628.9840,6527.1578,1674.9036,4503.2168,5363.9903,3679.2575,4343.0150,6628.6615,-3180.2350,-5619.6200,-3442.2381,-4538.4873,-4973.0554,-5897.2144,1361.0881,1190.9589,6806.9424,-1771.5658,523.2094,80.6544,1147.3770,1807.0762,-740.7058,4729.9095,-867.4222,-3595.7330,992.7995,-1641.6411,1980.6397,2893.8528,6656.2116,-6133.2847,-4087.6756,-5202.2031,3943.0249,-4245.4186,6000.2666,-6412.3601,-4685.4791,4895.5418,1778.9930,-6333.4130,-1973.5804,-568.0681,1994.0291,-6078.7056,6598.2637,-639.2995,2327.8490,5653.7452,1094.1842,-48.4450,-2317.9650,-2326.4747,3325.5227,-4521.8421,-2238.4558,-1363.2636,2984.6187,-5958.5186,-472.1314,-6060.7070,-6228.5187,-5291.4357,5525.1330,6096.4143,4734.2994,6201.2339,6162.8447,2067.6604,-3941.9484,5717.5048,-4258.1548,5031.6137,-5090.5741,-6002.9548,6444.6467,2613.3621,3625.0043,-2366.5709,353602.4677,342943.0655,333265.3439,338561.0213,332291.6530,335628.7371,340335.3752,337956.9927,64178592.3928,64168425.7682,64168547.1307,64158051.9806,338960.1687,64161825.1308,-6811.1988,5521.2761,-3542.3259,3542.0252,4551.3120,-1936.3288,-4729.8156,2630.8489,-4770.1980,-6100.5713,-5470.3534,-5523.1897,1615.9181,-2716.8543,3432.5448,347.9036,-5176.5839,4656.6570,3446.4310,3427.4477,-5238.5450,1701.9749,3243.4862,5242.6524,3989.8717,-3579.8356,-778.6100,-200.7638,-5507.6543,-848.9065,4071.2814,-4526.9669,4714.0319,-3153.3066,4689.5582,3211.1573,-1307.3773,4114.8068,-6309.3495,6696.4123,-2314.6783,-4991.2349,5276.3492,-4731.6303,-4248.8456,3830.8293,-4708.9490,-5481.9484,5397.2792,5130.0327,399.5851,-1521.3634,2112.6642,4507.5771,3651.5241,-5459.4428,-3347.7702,2178.3290,3066.0465,-4685.3996,-3741.4239,2695.8466,-4517.6861,4797.1302,1212.1634,1780.5271,2061.7932,6521.2426,5409.1473,-3126.4568,-2849.1711,-4717.4162,-5259.4069,4222.4333,4553.8630,4385.4665,4288.3909,4705.6579,1433.1566,3490.4120,-1115.9798,1401.6937,-2612.7327,4447.9593,4132.9439,2843.3439,-4568.2813,753.6681,-2053.5717,-5526.4835,3001.0310,2207.9477,5351.3727,-1507.4895,-3891.3381,-3235.4706,-663.5180,3952.4128,3665.4562,-2469.2307,185176.9165,182176.7295,178514.1159,187276.9787,183960.3531,173344.4686,174830.0397,181237.9152,48452749.0703,48434803.5585,48427880.7704,48452192.9313,180638.6979,48446363.6232,
3600.000,5353.4415,2769.9532,1217.4035,4117.3223,-663.6420,-4225.3775,-3055.4225,2878.8991,-754.2815,4670.4814,4899.0516,-5118.2776,-3208.8503,4172.0438,3353.3780,978.3816,-3434.7285,-2441.1400,-4810.6211,4089.2318,91.5830,39.8893,2513.1974,-3215.5150,-2615.1802,4073.7864,-5999.9458,-3101.6827,880.0864,4627.3240,-3981.2789,-1175.8696,4703.9417,-490.0821,-3410.4087,-4511.4237,1906.8318,-4353.0213,-2286.6171,-4328.9433,-3615.8527,-3855.5956,6041.3182,-1907.6073,3179.1810,-3220.7616,3590.1991,-1551.2093,3113.1226,-4523.4405,-3692.1045,3648.9520,5936.8861,2112.1737,2947.4607,4488.0006,-3538.9366,3335.8193,5590.8900,-2479.6044,-6493.0560,1997.4463,-2235.0573,-2114.9891,-6189.1330,-1328.1615,-1727.1790,-1896.6372,-6174.7250,-3703.2756,-3938.9290,-4455.6410,6355.5958,-5048.5513,3432.9779,5415.1524,-4169.4349,-1027.6466,4821.8136,3686.6881,6075.5442,4069.4771,3163.7850,4194.9007,-3345.5264,-1621.0439,-4852.9696,182.4688,-494.9717,-5276.0679,-1122.2073,1797.7145,4682.3225,3951.3856,5026.0198,2646.7357,-3482.3447,-4498.3402,144.4763,3871.8564,-110215.2949,-82012.1069,-97788.3620,-100166.7170,-95209.0439,-97877.6553,-91798.1270,-96953.7685,-269468247.5329,-269474037.3035,-269460852.2075,-269451978.4650,-95325.6122,-269458577.3803,-1741.3184,4889.3812,6804.3235,-771.8473,-4247.9345,-2024.4395,-3136.2183,5823.5325,4338.8640,4718.3654,3433.1215,2035.9121,-5295.4824,5473.3137,6072.3475,6116.4234,-5471.5270,5912.4587,-1637.1669,-856.9573,4857.3953,-6433.2314,-3421.2285,-5663.8246,-3239.7030,-5562.0242,-2081.0142,-4595.6667,5383.0949,3867.5083,5658.5715,6771.6463,4049.5651,6841.2825,2734.0064,2332.7810,-3505.1118,5177.8994,1381.5368,-4012.6494,248.0054,2439.3538,-2308.9522,-5733.7850,-2720.7465,6103.4683,-4690.5360,5103.3926,-5478.2961,1406.0459,-4995.1454,3254.7059,2756.9805,1118.7767,-6263.5422,2801.2179,-5967.1041,5654.4798,3921.3317,-5282.2748,640.6430,3884.3702,5076.5458,3901.0343,-310.0853,6338.1057,-6296.3658,4887.8105,749.7340,-2145.6153,1772.3878,3944.4031,-965.2968,4721.9789,-5945.0478,1001.8688,5314.2511,4417.9832,-4044.8814,3503.2399,-1113.8314,4782.0684,2820.2828,3524.4159,-2495.7532,-6533.2265,-4854.8858,-5759.2449,-4604.4248,1735.6828,4150.0030,-6330.3835,1930.7214,-4584.4512,1303.6407,6260.9686,-4571.8025,-5160.6490,-4115.8470,-1474.9872,336543.6045,332774.2561,320353.2207,325993.9524,318795.5713,321589.1407,327240.2700,326398.4807,-5823857.1040,-5835014.0545,-5829470.7628,-5844496.5555,325801.0582,-5839536.5540,4057.3187,-4061.6782,-584.9984,-5526.3236,-5428.5120,5082.2302,5346.5480,2401.3688,5326.2267,2032.3064,3301.6492,4201.8051,2930.4619,-881.1897,-89.9713,3116.5255,1427.8699,-2689.7093,-4727.8864,-5520.8534,4915.4872,2573.1112,-5485.4747,-2346.1991,-5437.0629,-609.2746,-2799.5898,4131.4887,4246.4823,-3397.6054,-136.6622,785.5393,-3090.7042,-1053.4391,-5370.0623,-4730.3519,5679.8367,-890.1214,6400.2827,-3666.4510,5921.4617,5213.5778,-2492.0835,3403.6683,5500.8083,-712.6506,3633.8038,4420.5280,-2920.8268,-5050.5255,3079.7710,4890.3679,2234.4823,-6538.6080,-409.8983,4463.9432,-60.5564,1843.4320,1164.0152,3743.6210,-1383.7470,-5372.0708,4157.3383,-5315.6644,3066.8344,2480.7383,2284.4495,-4574.1572,-2860.1292,5448.0391,5395.9529,3558.9418,1928.8467,-336.9483,-876.8030,-4103.1197,-1596.4597,-5109.2295,2868.2106,-4727.6275,-3143.2845,2898.6375,5360.5683,-4260.9044,-5523.6985,1094.4794,857.7227,-3870.1650,5131.4578,4133.9607,-5437.0983,2135.2534,-4737.0881,-3429.4124,4416.2409,-599.9323,-3739.2202,1160.8717,-5486.0632,5343.1180,184897.9101,181968.2533,179056.3053,185608.8563,185598.8661,175397.9168,172659.4162,180028.1011,48503378.9350,48489427.9320,48479317.2803,48495605.6625,180465.2085,48494545.8399,
7200.000,-6852.7736,-5037.5208,-2565.2848,-2918.7820,4368.3033,4042.2589,6220.6096,-2348.6173,-2411.7113,-2445.9828,-6399.8776,5370.9759,3981.9786,-5030.5529,-4685.7873,-3710.0677,4599.3029,325.1230,5826.0131,-2682.3840,-2858.2496,2286.8269,1297.7776,4538.0236,6094.5490,-1590.2390,4909.9286,4140.1919,-3177.2083,-4179.0767,1824.9564,-518.3041,-6507.1673,-1389.6653,1981.2744,2344.9495,-80.9787,1609.4559,6371.3984,2925.0408,71.4209,3189.8918,-5499.7982,4445.5041,-1023.0910,859.2115,-1783.5745,-229.5281,-1882.7564,4863.6346,4890.3284,-4375.9702,-4533.0790,-4291.9988,-482.2552,-6720.6970,4770.8356,-4744.0942,-4945.1059,5165.7303,2950.4723,-5023.2795,-309.7745,-339.0192,3518.3672,-1407.4102,3196.9069,2108.2040,6059.7739,4913.2131,1099.2574,3069.4051,-5160.9900,2963.4509,-1566.2401,-6444.0443,2171.6885,-2069.9085,-1126.3686,-6159.7444,-2904.6639,-4166.6411,-5175.6900,-6612.0042,5969.8647,3873.1477,5218.2568,3371.9801,4185.9394,5643.8554,-3148.8625,994.1800,-6819.8061,-660.8066,-6196.2346,-4392.7113,4107.7822,1163.4986,4146.2611,-1035.3268,-191050.8524,-161035.1120,-177387.3075,-177899.1045,-173047.7652,-175530.5156,-171040.2500,-171821.7899,-258727155.8819,-258734131.8052,-258726547.0169,-258709032.5774,-173628.4113,-258718067.5619,-441.9576,-4755.1752,-4764.8956,4735.6364,4498.9159,-2364.0193,1455.9315,-2505.4038,-5945.6359,-5661.9926,-2060.7615,-4372.9541,1280.4837,-2701.0023,-3894.6254,-3476.6107,2836.1247,-6871.2293,-2045.3588,4824.6791,-6107.1808,3821.3396,5204.4066,4811.7665,969.3842,5101.2062,-1433.2680,526.8575,-6136.8206,12.7942,-5417.1248,-5992.1403,-2354.1091,-5022.0582,-6054.1887,-5574.1683,-1566.9256,-5904.5068,-75.9592,6104.1553,-3254.1865,-5703.3121,3788.4214,5326.8442,5963.4660,-6269.0579,6694.0456,-6894.9364,6550.9072,-4572.1430,1398.4056,1053.8967,343.3934,2650.7285,6188.7124,-1505.7918,3693.2433,-1972.0139,-1177.9214,4595.6028,-3058.6774,-760.3454,-6805.5598,-6434.7410,-2387.9816,-4276.5111,3204.5021,-6626.2128,-2636.2961,-1892.5183,-5038.3247,-6214.8198,2936.2682,-4978.9364,5835.4269,2162.3386,-6261.2748,-6268.6917,4162.8012,-626.1196,3117.2202,-1069.4966,1378.2550,-1466.5172,-461.9338,3706.3134,3055.9182,3883.9134,2220.5109,-4016.2077,-4184.3053,4482.3421,-73.0627,2760.7645,2343.0236,-3380.6102,203.6482,3893.9891,4244.0522,5478.5863,297814.4150,302273.8898,287225.9734,293028.3398,285186.8823,287698.9182,293019.7378,291999.1615,-75410137.3794,-75423638.6865,-75414895.2550,-75423598.0642,292073.6684,-75424973.3798,1022.3816,97.2644,4330.1376,4118.8075,2915.7660,-5101.4599,-2665.2975,-6027.1240,-2599.8377,3184.7846,1242.4340,-377.3240,-5435.7356,3930.2500,-3324.3013,-4725.6310,3812.0165,-911.7393,3156.5596,4160.3157,-1561.4603,-5318.1544,4379.4781,-2037.8690,2947.6956,4389.6038,4677.9729,-5525.9420,-372.5599,5504.3505,-3922.8989,3412.5717,-428.8257,4580.1525,2689.7744,3391.6904,-6771.4514,-3020.1281,-2768.7709,-1561.7716,-6151.1460,-2340.2849,-1847.1210,-52.5844,-3367.0582,-2852.1466,-397.0869,-727.5099,-1320.0319,1811.3218,-4722.1124,-5265.5405,-5221.9749,4777.3076,-3097.3249,-774.6147,3414.5828,-4491.0321,-4712.7996,-565.3687,5128.0424,4686.0314,-1309.5097,2510.3328,-5462.7115,-5283.6039,-5239.1288,-59.3566,-1780.6271,-4521.8884,-4621.6848,-276.3878,3125.8725,-3788.8794,-3377.6484,965.9857,-2068.2134,1746.9766,-5417.7551,3130.6717,5451.9286,-5425.3679,-4263.9597,1500.7540,3455.1823,-4221.1408,3354.6326,4647.6705,-5049.1835,-259.3546,4523.3171,-5183.7065,1217.2287,6333.5660,-1632.8830,3969.6007,5470.8665,-5636.8219,3422.6985,-3843.7922,184560.5569,181715.2722,179959.5824,182985.3203,186722.8657,178341.7302,171234.0169,180283.3352,48553409.5552,48544578.3177,48532067.9890,48537429.3826,180275.2241,48542700.8624,
