sl_100_5400_20240315 Coordinates.csv
2024/03/15 07:47:00.0000 UTC

Generated: Tue Oct  8 15:34:01 2024,
Start: 2024/03/15 07:47:00.00, Stop: 2024/03/15 09:17:00.00,
TIME_UNITS,STARLINK-6306 - X-Coordinate,STARLINK-5404 - X-Coordinate,STARLINK-3767 - X-Coordinate,STARLINK-30949 - X-Coordinate,STARLINK-31165 - X-Coordinate,STARLINK-32003 - X-Coordinate,STARLINK-30485 - X-Coordinate,STARLINK-5460 - X-Coordinate,STARLINK-5971 - X-Coordinate,STARLINK-5826 - X-Coordinate,STARLINK-6246 - X-Coordinate,STARLINK-31504 - X-Coordinate,STARLINK-30467 - X-Coordinate,STARLINK-32114 - X-Coordinate,STARLINK-2415 - X-Coordinate,STARLINK-1433 - X-Coordinate,STARLINK-2507 - X-Coordinate,STARLINK-31605 - X-Coordinate,STARLINK-2433 - X-Coordinate,STARLINK-30600 - X-Coordinate,STARLINK-4033 - X-Coordinate,STARLINK-2655 - X-Coordinate,STARLINK-5329 - X-Coordinate,STARLINK-30959 - X-Coordinate,STARLINK-31531 - X-Coordinate,STARLINK-3107 - X-Coordinate,STARLINK-31934 - X-Coordinate,STARLINK-3203 - X-Coordinate,STARLINK-30117 - X-Coordinate,STARLINK-30332 - X-Coordinate,STARLINK-1549 - X-Coordinate,STARLINK-11164 [DTC] - X-Coordinate,STARLINK-31464 - X-Coordinate,STARLINK-5351 - X-Coordinate,STARLINK-4578 - X-Coordinate,STARLINK-31720 - X-Coordinate,STARLINK-32127 - X-Coordinate,STARLINK-31850 - X-Coordinate,STARLINK-30129 - X-Coordinate,STARLINK-31923 - X-Coordinate,STARLINK-2069 - X-Coordinate,STARLINK-11117 [DTC] - X-Coordinate,STARLINK-4310 - X-Coordinate,STARLINK-31695 - X-Coordinate,STARLINK-4451 - X-Coordinate,STARLINK-5420 - X-Coordinate,STARLINK-11200 [DTC] - X-Coordinate,STARLINK-3136 - X-Coordinate,STARLINK-30174 - X-Coordinate,STARLINK-4361 - X-Coordinate,STARLINK-2232 - X-Coordinate,STARLINK-3184 - X-Coordinate,STARLINK-31708 - X-Coordinate,STARLINK-2335 - X-Coordinate,STARLINK-31562 - X-Coordinate,STARLINK-6294 - X-Coordinate,STARLINK-4609 - X-Coordinate,STARLINK-4328 - X-Coordinate,STARLINK-4319 - X-Coordinate,STARLINK-5008 - X-Coordinate,STARLINK-1657 - X-Coordinate,STARLINK-31071 - X-Coordinate,STARLINK-31205 - X-Coordinate,STARLINK-31564 - X-Coordinate,STARLINK-31950 - X-Coordinate,STARLINK-3302 - X-Coordinate,STARLINK-5524 - X-Coordinate,STARLINK-1221 - X-Coordinate,STARLINK-30976 - X-Coordinate,STARLINK-2263 - X-Coordinate,STARLINK-31597 - X-Coordinate,STARLINK-2110 - X-Coordinate,STARLINK-31825 - X-Coordinate,STARLINK-3166 - X-Coordinate,STARLINK-30391 - X-Coordinate,STARLINK-6039 - X-Coordinate,STARLINK-3888 - X-Coordinate,STARLINK-30518 - X-Coordinate,STARLINK-31736 - X-Coordinate,STARLINK-4326 - X-Coordinate,STARLINK-31951 - X-Coordinate,STARLINK-2658 - X-Coordinate,STARLINK-1372 - X-Coordinate,STARLINK-2087 - X-Coordinate,STARLINK-5589 - X-Coordinate,STARLINK-1852 - X-Coordinate,STARLINK-31640 - X-Coordinate,STARLINK-31387 - X-Coordinate,STARLINK-32013 - X-Coordinate,STARLINK-3129 - X-Coordinate,STARLINK-5106 - X-Coordinate,STARLINK-5155 - X-Coordinate,STARLINK-1463 - X-Coordinate,STARLINK-1262 - X-Coordinate,STARLINK-3853 - X-Coordinate,STARLINK-4547 - X-Coordinate,STARLINK-2109 - X-Coordinate,STARLINK-11139 [DTC] - X-Coordinate,STARLINK-4430 - X-Coordinate,STARLINK-3964 - X-Coordinate,MoonARTEMIS1 - X-Coordinate,MoonARTEMIS2 - X-Coordinate,MoonIOAGEO - X-Coordinate,MoonIOAGNO - X-Coordinate,MoonIOAGNO 0001 - X-Coordinate,MoonIOAGSO - X-Coordinate,MoonIOAGSO 0001 - X-Coordinate,MoonLRO - X-Coordinate,MarsSat1 - X-Coordinate,MarsSat2 - X-Coordinate,MarsSat3 - X-Coordinate,MarsSat4 - X-Coordinate,Moon - X-Coordinate,Mars - X-Coordinate,STARLINK-6306 - Y-Coordinate,STARLINK-5404 - Y-Coordinate,STARLINK-3767 - Y-Coordinate,STARLINK-30949 - Y-Coordinate,STARLINK-31165 - Y-Coordinate,STARLINK-32003 - Y-Coordinate,STARLINK-30485 - Y-Coordinate,STARLINK-5460 - Y-Coordinate,STARLINK-5971 - Y-Coordinate,STARLINK-5826 - Y-Coordinate,STARLINK-6246 - Y-Coordinate,STARLINK-31504 - Y-Coordinate,STARLINK-30467 - Y-Coordinate,STARLINK-32114 - Y-Coordinate,STARLINK-2415 - Y-Coordinate,STARLINK-1433 - Y-Coordinate,STARLINK-2507 - Y-Coordinate,STARLINK-31605 - Y-Coordinate,STARLINK-2433 - Y-Coordinate,STARLINK-30600 - Y-Coordinate,STARLINK-4033 - Y-Coordinate,STARLINK-2655 - Y-Coordinate,STARLINK-5329 - Y-Coordinate,STARLINK-30959 - Y-Coordinate,STARLINK-31531 - Y-Coordinate,STARLINK-3107 - Y-Coordinate,STARLINK-31934 - Y-Coordinate,STARLINK-3203 - Y-Coordinate,STARLINK-30117 - Y-Coordinate,STARLINK-30332 - Y-Coordinate,STARLINK-1549 - Y-Coordinate,STARLINK-11164 [DTC] - Y-Coordinate,STARLINK-31464 - Y-Coordinate,STARLINK-5351 - Y-Coordinate,STARLINK-4578 - Y-Coordinate,STARLINK-31720 - Y-Coordinate,STARLINK-32127 - Y-Coordinate,STARLINK-31850 - Y-Coordinate,STARLINK-30129 - Y-Coordinate,STARLINK-31923 - Y-Coordinate,STARLINK-2069 - Y-Coordinate,STARLINK-11117 [DTC] - Y-Coordinate,STARLINK-4310 - Y-Coordinate,STARLINK-31695 - Y-Coordinate,STARLINK-4451 - Y-Coordinate,STARLINK-5420 - Y-Coordinate,STARLINK-11200 [DTC] - Y-Coordinate,STARLINK-3136 - Y-Coordinate,STARLINK-30174 - Y-Coordinate,STARLINK-4361 - Y-Coordinate,STARLINK-2232 - Y-Coordinate,STARLINK-3184 - Y-Coordinate,STARLINK-31708 - Y-Coordinate,STARLINK-2335 - Y-Coordinate,STARLINK-31562 - Y-Coordinate,STARLINK-6294 - Y-Coordinate,STARLINK-4609 - Y-Coordinate,STARLINK-4328 - Y-Coordinate,STARLINK-4319 - Y-Coordinate,STARLINK-5008 - Y-Coordinate,STARLINK-1657 - Y-Coordinate,STARLINK-31071 - Y-Coordinate,STARLINK-31205 - Y-Coordinate,STARLINK-31564 - Y-Coordinate,STARLINK-31950 - Y-Coordinate,STARLINK-3302 - Y-Coordinate,STARLINK-5524 - Y-Coordinate,STARLINK-1221 - Y-Coordinate,STARLINK-30976 - Y-Coordinate,STARLINK-2263 - Y-Coordinate,STARLINK-31597 - Y-Coordinate,STARLINK-2110 - Y-Coordinate,STARLINK-31825 - Y-Coordinate,STARLINK-3166 - Y-Coordinate,STARLINK-30391 - Y-Coordinate,STARLINK-6039 - Y-Coordinate,STARLINK-3888 - Y-Coordinate,STARLINK-30518 - Y-Coordinate,STARLINK-31736 - Y-Coordinate,STARLINK-4326 - Y-Coordinate,STARLINK-31951 - Y-Coordinate,STARLINK-2658 - Y-Coordinate,STARLINK-1372 - Y-Coordinate,STARLINK-2087 - Y-Coordinate,STARLINK-5589 - Y-Coordinate,STARLINK-1852 - Y-Coordinate,STARLINK-31640 - Y-Coordinate,STARLINK-31387 - Y-Coordinate,STARLINK-32013 - Y-Coordinate,STARLINK-3129 - Y-Coordinate,STARLINK-5106 - Y-Coordinate,STARLINK-5155 - Y-Coordinate,STARLINK-1463 - Y-Coordinate,STARLINK-1262 - Y-Coordinate,STARLINK-3853 - Y-Coordinate,STARLINK-4547 - Y-Coordinate,STARLINK-2109 - Y-Coordinate,STARLINK-11139 [DTC] - Y-Coordinate,STARLINK-4430 - Y-Coordinate,STARLINK-3964 - Y-Coordinate,MoonARTEMIS1 - Y-Coordinate,MoonARTEMIS2 - Y-Coordinate,MoonIOAGEO - Y-Coordinate,MoonIOAGNO - Y-Coordinate,MoonIOAGNO 0001 - Y-Coordinate,MoonIOAGSO - Y-Coordinate,MoonIOAGSO 0001 - Y-Coordinate,MoonLRO - Y-Coordinate,MarsSat1 - Y-Coordinate,MarsSat2 - Y-Coordinate,MarsSat3 - Y-Coordinate,MarsSat4 - Y-Coordinate,Moon - Y-Coordinate,Mars - Y-Coordinate,STARLINK-6306 - Z-Coordinate,STARLINK-5404 - Z-Coordinate,STARLINK-3767 - Z-Coordinate,STARLINK-30949 - Z-Coordinate,STARLINK-31165 - Z-Coordinate,STARLINK-32003 - Z-Coordinate,STARLINK-30485 - Z-Coordinate,STARLINK-5460 - Z-Coordinate,STARLINK-5971 - Z-Coordinate,STARLINK-5826 - Z-Coordinate,STARLINK-6246 - Z-Coordinate,STARLINK-31504 - Z-Coordinate,STARLINK-30467 - Z-Coordinate,STARLINK-32114 - Z-Coordinate,STARLINK-2415 - Z-Coordinate,STARLINK-1433 - Z-Coordinate,STARLINK-2507 - Z-Coordinate,STARLINK-31605 - Z-Coordinate,STARLINK-2433 - Z-Coordinate,STARLINK-30600 - Z-Coordinate,STARLINK-4033 - Z-Coordinate,STARLINK-2655 - Z-Coordinate,STARLINK-5329 - Z-Coordinate,STARLINK-30959 - Z-Coordinate,STARLINK-31531 - Z-Coordinate,STARLINK-3107 - Z-Coordinate,STARLINK-31934 - Z-Coordinate,STARLINK-3203 - Z-Coordinate,STARLINK-30117 - Z-Coordinate,STARLINK-30332 - Z-Coordinate,STARLINK-1549 - Z-Coordinate,STARLINK-11164 [DTC] - Z-Coordinate,STARLINK-31464 - Z-Coordinate,STARLINK-5351 - Z-Coordinate,STARLINK-4578 - Z-Coordinate,STARLINK-31720 - Z-Coordinate,STARLINK-32127 - Z-Coordinate,STARLINK-31850 - Z-Coordinate,STARLINK-30129 - Z-Coordinate,STARLINK-31923 - Z-Coordinate,STARLINK-2069 - Z-Coordinate,STARLINK-11117 [DTC] - Z-Coordinate,STARLINK-4310 - Z-Coordinate,STARLINK-31695 - Z-Coordinate,STARLINK-4451 - Z-Coordinate,STARLINK-5420 - Z-Coordinate,STARLINK-11200 [DTC] - Z-Coordinate,STARLINK-3136 - Z-Coordinate,STARLINK-30174 - Z-Coordinate,STARLINK-4361 - Z-Coordinate,STARLINK-2232 - Z-Coordinate,STARLINK-3184 - Z-Coordinate,STARLINK-31708 - Z-Coordinate,STARLINK-2335 - Z-Coordinate,STARLINK-31562 - Z-Coordinate,STARLINK-6294 - Z-Coordinate,STARLINK-4609 - Z-Coordinate,STARLINK-4328 - Z-Coordinate,STARLINK-4319 - Z-Coordinate,STARLINK-5008 - Z-Coordinate,STARLINK-1657 - Z-Coordinate,STARLINK-31071 - Z-Coordinate,STARLINK-31205 - Z-Coordinate,STARLINK-31564 - Z-Coordinate,STARLINK-31950 - Z-Coordinate,STARLINK-3302 - Z-Coordinate,STARLINK-5524 - Z-Coordinate,STARLINK-1221 - Z-Coordinate,STARLINK-30976 - Z-Coordinate,STARLINK-2263 - Z-Coordinate,STARLINK-31597 - Z-Coordinate,STARLINK-2110 - Z-Coordinate,STARLINK-31825 - Z-Coordinate,STARLINK-3166 - Z-Coordinate,STARLINK-30391 - Z-Coordinate,STARLINK-6039 - Z-Coordinate,STARLINK-3888 - Z-Coordinate,STARLINK-30518 - Z-Coordinate,STARLINK-31736 - Z-Coordinate,STARLINK-4326 - Z-Coordinate,STARLINK-31951 - Z-Coordinate,STARLINK-2658 - Z-Coordinate,STARLINK-1372 - Z-Coordinate,STARLINK-2087 - Z-Coordinate,STARLINK-5589 - Z-Coordinate,STARLINK-1852 - Z-Coordinate,STARLINK-31640 - Z-Coordinate,STARLINK-31387 - Z-Coordinate,STARLINK-32013 - Z-Coordinate,STARLINK-3129 - Z-Coordinate,STARLINK-5106 - Z-Coordinate,STARLINK-5155 - Z-Coordinate,STARLINK-1463 - Z-Coordinate,STARLINK-1262 - Z-Coordinate,STARLINK-3853 - Z-Coordinate,STARLINK-4547 - Z-Coordinate,STARLINK-2109 - Z-Coordinate,STARLINK-11139 [DTC] - Z-Coordinate,STARLINK-4430 - Z-Coordinate,STARLINK-3964 - Z-Coordinate,MoonARTEMIS1 - Z-Coordinate,MoonARTEMIS2 - Z-Coordinate,MoonIOAGEO - Z-Coordinate,MoonIOAGNO - Z-Coordinate,MoonIOAGNO 0001 - Z-Coordinate,MoonIOAGSO - Z-Coordinate,MoonIOAGSO 0001 - Z-Coordinate,MoonLRO - Z-Coordinate,MarsSat1 - Z-Coordinate,MarsSat2 - Z-Coordinate,MarsSat3 - Z-Coordinate,MarsSat4 - Z-Coordinate,Moon - Z-Coordinate,Mars - Z-Coordinate,
SECONDS,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,km,
0.000,1625.3403,3873.4050,-3182.6827,4461.4493,3064.9300,-3396.2051,1092.7081,-2394.0756,464.7036,-499.9131,-4908.4273,3055.0831,6903.7836,999.2328,5779.3414,3969.7726,-5672.4531,-341.1638,3550.1241,2238.1164,1534.1308,-3458.4440,-3027.6737,-4583.5970,4126.2653,-5678.2010,-806.7415,2493.6712,-6085.2961,-879.8521,4739.6734,-4081.8846,-3967.8012,-625.0870,-4683.7095,-259.0544,6244.4829,-6763.4404,-5514.6378,6022.2918,-2159.5215,-4422.8981,-5851.7678,806.5890,865.8642,2625.5354,-1083.4942,-4562.5240,5738.8412,199.8591,-4706.7079,5940.3875,-5513.1780,-5815.2048,-3637.6151,-812.5081,-1904.6303,5416.2145,-5559.0089,3384.5566,143.6092,6516.4571,-6186.3770,-5723.2178,-5511.5876,1441.9862,1957.6983,-41.1311,-4717.2082,-4007.5588,4440.7642,5028.8304,-917.1026,1603.8900,-5139.2373,-5868.0418,4579.8856,4085.1037,-2781.6202,-4834.5267,-5232.7430,-3052.4858,-5541.5964,5469.7377,-2305.5309,6333.0613,-5361.2173,-3294.8270,-5300.5342,-1297.6278,2937.2441,-2872.1358,-1737.4632,4626.6649,-4264.1421,-4558.4600,-5680.7178,2396.3346,-582.8666,-3627.1990,232617.1444,214057.1166,212725.7652,217389.3685,211820.1525,214973.6616,220289.8617,217465.4513,-250439056.3908,-250477787.3624,-250441915.8353,-250456921.1517,218447.7421,-250454206.9561,5641.0265,5348.2814,4301.9195,-2676.6198,5313.6418,5830.2521,4951.4107,-68.4486,6584.0858,3439.6925,1885.9298,-4265.9535,552.2835,-6474.6037,3369.0720,-1357.1938,-2829.9612,-5641.1772,5703.3838,3873.3169,-5828.2592,4794.1566,-4923.7160,-2903.1431,-3678.9129,3835.7459,4945.9422,3320.8077,-387.8731,-5211.6325,3611.7959,1684.9030,-5483.3440,6806.3800,37.0631,-5817.2779,2111.6217,857.7819,1110.1435,3161.9558,3689.2769,3828.5806,-3739.4355,-5098.4712,-4894.6256,6086.4903,4264.5824,-1590.5299,728.2497,-6896.6382,-1412.4000,-350.6853,-1374.7864,1487.0517,-4187.8346,6851.4756,-5597.3057,3792.4392,-3115.4982,-4857.3010,6858.0166,-2109.9759,1623.0781,3514.4469,2253.0099,-6753.2318,1446.8288,-6883.3648,2675.2733,5669.5576,3323.6726,3534.1445,6269.6865,-4049.2048,-193.8940,-3683.9610,-1628.8612,-584.5059,-4192.8606,-2396.1193,-2776.2834,-4997.5143,2922.2797,-3944.1162,-6525.3373,-74.1441,527.3519,-5954.7250,1271.7648,-6207.0225,4610.8965,-4597.0542,-6672.8637,-3000.4094,-1546.2997,893.7398,-3948.7260,5897.7175,-4101.3271,4945.9450,275240.3634,246641.8653,264395.5143,269764.7005,264293.1020,266965.2484,260408.6241,263488.6226,185939440.2199,185905237.3697,185953433.3218,185949405.4846,264761.0498,185945558.0533,3689.5520,2227.9550,4374.9756,4580.4549,-3265.3813,-1200.0512,4725.7576,6517.3928,-2151.5594,6010.5126,-4577.1031,4352.2683,416.6747,2001.3319,1818.6636,5506.0451,2789.3541,3826.2046,1689.8754,5183.2965,3397.0110,3616.8657,3829.9387,-4331.5158,-4005.5383,1174.7029,-4641.0025,-5542.6213,3302.4964,4487.8548,-3603.4210,5080.8944,-870.3427,-1264.8791,5083.7268,3544.7161,-1792.4145,-291.5688,4052.0446,-620.4419,-5483.5703,3342.6536,-17.5776,4328.5667,4841.9725,1982.7523,-5088.6768,4944.9600,3820.6388,-806.2760,4886.2032,3532.2222,-3790.3748,3491.1566,-3977.1823,722.9854,-3599.8981,-2144.9158,-2762.2555,-3612.0989,-1001.8675,-503.6315,2493.3589,-1229.8484,-3338.3570,-457.1750,-6516.0248,-882.4881,-4335.5686,327.8313,-3980.4374,3202.5504,2574.4399,-5381.2557,4646.8928,478.7626,4919.2211,-5463.2512,4597.2760,-4375.1558,-3392.0559,3695.0291,-2974.2349,1616.1295,-548.7495,2873.4319,-4196.8226,500.5667,4169.4223,-2775.5637,-4277.9363,-4307.7302,10.7816,-4200.0363,5217.9014,-5134.4945,-395.9988,-2214.5843,-5584.7146,-3207.7902,160701.1596,155771.5642,153784.4715,162792.1589,159090.6621,148535.9787,150381.0621,156717.2345,-81170808.9778,-81195959.7944,-81180429.9152,-81176879.3780,155987.7512,-81183073.2779,
300.000,3134.3271,4401.6532,-2281.6739,3485.6948,4131.4749,-1999.8653,3125.3863,-2639.4507,2040.2696,726.8925,-3623.7425,1527.6372,6781.8101,-398.5313,6519.6040,2901.9911,-6595.5653,-2214.9794,4652.2855,4167.0177,-126.0694,-2615.2973,-4156.1962,-5027.5766,3083.0869,-4737.2066,1318.3806,4057.7826,-5319.8876,-2906.1178,6032.1000,-3776.6138,-4887.3516,946.9296,-3689.4598,-2038.3119,6760.8580,-6292.5170,-4330.0983,6416.0493,-456.1766,-3874.1493,-5298.8541,-717.3419,1028.6126,3464.3345,1073.9010,-4180.8432,5117.8268,644.0140,-5805.4158,6390.4498,-4769.1129,-4396.6222,-4539.4556,737.9606,-3430.0506,4316.4965,-5788.7715,1549.0310,1350.7077,5833.7283,-5962.0608,-4398.2330,-4014.9686,225.4293,3503.8700,-1253.3269,-3960.2433,-2781.2152,4922.6667,4970.8195,331.4561,-564.6714,-4740.6305,-5444.4944,2976.2691,3427.9424,-4315.0985,-5575.9298,-6331.2942,-3736.0769,-4002.1513,4814.0726,-3640.1521,6707.7527,-5428.6459,-4394.3151,-5550.6720,-2659.6255,4721.9988,-3634.5313,-2813.2144,4308.1001,-4097.6186,-3256.5804,-6004.5465,3680.9381,-179.3822,-1871.5721,226753.6768,208780.4030,207090.0762,211819.5565,206150.2074,209273.5435,214697.2808,211857.2586,-254437785.1589,-254475578.0612,-254440987.8698,-254456171.3244,212830.8820,-254452894.3632,4298.2894,3889.0814,5774.1725,-4497.1007,3691.7726,5885.6529,4280.5288,2084.0994,6599.3893,4890.6363,3598.1509,-5605.2389,-953.0198,-5833.6419,2361.8654,-3249.4482,-1813.5341,-5848.0048,5134.0924,3303.7094,-5137.4812,6076.5177,-3220.1904,-832.2092,-5299.9975,3972.0272,5177.2035,1828.7717,1409.4328,-5043.1348,2806.3512,3682.9687,-4156.0021,6351.0452,1926.4549,-4845.1362,966.1905,2314.6114,2820.1257,2002.6305,4904.1911,5237.4057,-3909.7389,-5992.0230,-3030.8881,4821.4755,3890.8491,485.7410,-1217.3260,-6763.4964,110.4238,-1795.7220,379.2715,2616.7741,-2295.5016,6538.6042,-5653.2990,3552.7514,-3788.9113,-4781.3819,6749.4749,-3466.5201,3237.5055,4507.1671,3559.3352,-6781.4068,-44.4762,-6312.5262,4506.9430,6014.5334,1283.7943,1777.5552,6781.2732,-4136.7800,1924.7975,-3943.1029,-2993.8392,-2664.5246,-2648.3711,-3349.1482,-1367.0769,-3266.4747,3661.0673,-4990.2887,-5825.1007,-1404.8345,2505.3579,-4819.6481,2938.1005,-6298.3162,3786.2691,-2766.4909,-6029.9104,-4645.3988,602.4324,2589.4625,-2707.5597,5627.7166,-5687.6164,4918.9127,280143.9061,251134.2797,269053.1466,274259.7494,268778.0003,271501.0833,264992.5058,267821.2135,180427602.0016,180393034.2889,180441986.9226,180436942.1346,269278.9755,180433785.6682,4444.7256,3747.5260,3042.0156,3960.5482,-4195.8599,-2888.4033,4466.8574,6074.9370,-679.5364,4876.4329,-4746.7751,3569.4857,-1124.0498,3564.2240,34.1002,5379.3803,1096.6343,2738.7781,-102.3504,4314.7752,4628.8564,2071.1127,4518.3518,-4715.5099,-2999.5482,3175.0479,-4255.3795,-5306.3753,4216.2352,3769.6427,-2055.1698,4184.1657,-2330.0973,-2665.7892,5517.9331,4338.4061,9.0218,1257.5445,4619.8786,1203.5424,-4909.6878,1727.4714,2196.5091,2998.5218,6154.5065,3548.6087,-5382.1962,5483.5714,4513.1683,1434.3453,3785.2908,1962.7667,-4875.7301,4691.8162,-4551.4635,2190.6712,-2044.6708,-4132.8743,-588.1720,-4778.5507,808.8349,1046.5728,1060.3582,-2641.7961,-4221.4152,1353.1691,-6009.4446,-2598.8837,-3493.6061,2091.6085,-4553.8206,4487.7294,843.2153,-5522.4579,4675.9899,-1753.9725,5476.4597,-5294.2896,4562.9093,-2434.4815,-2150.8541,4826.1826,-4322.4266,-178.6740,994.2831,1194.8290,-3297.8608,1999.2861,2771.1847,-1075.7705,-3398.6291,-5203.9346,1801.0376,-2811.2078,5535.1330,-5534.8005,-2157.2006,-434.0465,-3994.2143,-4496.4281,160784.7147,155841.8337,153898.1096,162786.0744,159349.2454,148768.1142,150259.5496,156327.0187,-81165490.7664,-81190845.3114,-81174596.6275,-81171613.7284,156070.9483,-81177773.0619,
600.000,4378.1168,4541.8240,-1188.1130,2210.1855,4841.4400,-373.3482,4863.7677,-2696.0189,3412.7492,1823.6718,-2029.2211,-123.8180,6004.8148,-1793.1780,6615.9175,1601.7154,-6863.7357,-3845.8380,5294.8024,5668.4892,-1813.4548,-1536.9018,-4924.8675,-5032.9907,1755.9754,-3294.5514,3297.6769,5258.8048,-4066.2718,-4641.3330,6732.1901,-3112.6897,-5330.1701,2452.2979,-2380.0810,-3642.7876,6577.3226,-5178.0647,-2755.6166,6151.2346,1251.5493,-2926.2883,-4187.2126,-2132.9727,994.0847,3998.6618,3131.0841,-3442.6561,4036.6643,998.1309,-6352.9496,6216.7925,-3573.3191,-2558.4970,-5024.6580,2237.4784,-4598.4203,2782.3674,-5384.9714,-463.2157,2433.3622,4564.3109,-5148.5506,-2618.2222,-2122.4101,-1028.7056,4746.6763,-2371.2829,-2855.0990,-1263.7014,4950.2210,4465.8377,1536.2024,-2676.9037,-3927.7306,-4444.0756,1109.2764,2479.1835,-5439.8215,-5693.3933,-6788.6970,-4104.5933,-2064.0213,3682.0344,-4631.8864,6431.2147,-4973.2885,-5064.0822,-5259.1655,-3746.8172,6050.3846,-4096.2582,-3626.1813,3593.1034,-3586.2890,-1677.9955,-5750.0938,4564.2915,298.8623,94.4392,220785.7709,203409.6160,201363.1018,206157.6244,200392.2930,203480.2936,209007.2776,206237.5163,-258315234.9352,-258352084.7968,-258318806.4419,-258334087.9705,207120.6554,-258330306.0997,2559.6359,2037.6032,6671.5370,-5889.3909,1719.8239,5360.1932,3237.7630,4010.4585,5979.6147,5876.4437,4998.1163,-6388.6108,-2376.9716,-4611.0899,1121.8486,-4847.6477,-629.8453,-5480.7997,4055.9215,2445.5423,-3971.1544,6754.6574,-1216.5137,1316.7826,-6383.0307,3741.5699,4923.8795,202.8857,3101.3521,-4421.9066,1750.0097,5275.8255,-2395.5625,5293.7343,3660.3125,-3406.1451,-279.4380,3547.7520,4291.1846,623.2369,5678.5131,6073.0354,-3629.5942,-6257.0431,-844.1578,3070.9041,3158.5613,2534.6133,-3070.9269,-5897.0162,1585.4782,-3042.8899,2133.7952,3541.3196,-178.4490,5598.0401,-5164.2032,2881.5030,-4057.3117,-4283.0792,5972.4055,-4486.2464,4520.2907,5066.7941,4544.4194,-6138.0188,-1470.0658,-5123.9510,5902.6825,5784.4416,-887.4818,-180.2692,6596.0688,-3877.9557,3865.7171,-3754.4263,-4115.1108,-4486.6248,-866.5078,-3966.8314,160.3498,-1210.5173,4087.9710,-5545.4709,-4558.2126,-2585.4835,4213.3030,-3185.5179,4283.7402,-5769.8408,2629.1092,-668.3745,-4776.0717,-5818.9744,2701.6356,4072.8902,-1179.7940,4753.4601,-6655.8771,4449.0790,284921.7095,255515.0032,273591.2013,278636.4666,273141.8669,275913.5799,269460.7495,272150.9940,174829801.8069,174794892.4294,174844557.3101,174838469.8407,273677.7800,174836053.2071,4724.9126,4872.2724,1380.9395,2917.2312,-4681.2291,-4257.0956,3730.4586,4988.0360,865.0003,3224.3145,-4417.9024,2385.6679,-2544.7825,4731.7541,-1754.1372,4676.1562,-713.8111,1344.5092,-1883.6196,2968.0764,5362.8034,303.5516,4724.0161,-4598.0587,-1657.4542,4838.2141,-3394.3912,-4502.1828,4679.4141,2648.7085,-289.7589,2799.7503,-3528.5955,-3783.8333,5358.1483,4644.4563,1809.4186,2665.3092,4693.9829,2892.6387,-3816.3908,-88.9292,4176.3651,1319.4287,6812.3916,4732.3557,-5047.9258,5432.1162,4723.2572,3522.0720,2279.4351,182.1881,-5417.0919,5393.3497,-4616.5545,3424.0684,-269.4943,-5682.8841,1648.5751,-5435.2100,2532.8041,2481.3924,-489.5204,-3758.0730,-4632.2769,3017.7053,-4868.7314,-4038.0910,-2279.6040,3632.9759,-4618.1743,5292.6768,-981.9840,-5072.0713,4205.3533,-3800.1400,5444.8999,-4539.0629,4015.8557,-234.6814,-668.4118,5439.6979,-5209.3549,-1954.3890,2431.1547,-610.4511,-2029.8181,3273.3931,1067.5414,739.8018,-2157.1701,-5542.6761,3395.1329,-1121.3886,5256.9101,-5342.4872,-3687.3210,1397.0574,-1980.4105,-5302.5397,160867.8228,155912.0125,154015.7783,162774.9222,159604.2362,149005.5385,150144.1112,155916.4470,-81160177.9934,-81185730.2696,-81168766.9989,-81166400.7457,156154.0391,-81172472.7307,
